	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.1386287228697184	0.16028441810796715	0.033645612083538154	0.020010467079331337	0.06221782502405644	0.05945613836621308	0.05834964741198262	0.031139194816977044	0.028830019913147556	0.06178638572429437	0.047856289375658195	0.0572419832691414	0.12725826046225694	0.12019880142710312	0.1507830737419309	0.13426701024187432	0.1481777893383038	0.14778101704673818	0.13750317649248844	0.09986541780240873	0.14631729887569989	0.14864942544764367	0.050356201259588826	0.05099549929848085	0.1112079152010044	0.12980812704058725	0.12940350337336518	0.13012137076241453	0.14852658223037232	0.17690551526103498	0.1451482327143406	0.11018997315186785	0.11711134243893365	0.14099601613481183	0.16643909177670174	0.043383526618799725	0.12647023271419894	0.09616301678104715	0.12415640240185044	0.09987294912520626	0.12629616093844315	0.1461453161191634	0.1285641746426506	0.10638450757786988	0.12409576878251984	0.14286533819402178	0.04263081982018859	0.04597871135122552	0.15132678125613974	0.13216527615152357	0.1355718715871559	0.14983277110381596	0.1450282164128159	0.169805933285755	0.15189289070207826	0.13846960227385371	0.1301492873197624	0.1760158876107829	0.16526263669742308	0.03864728981224588	0.18238098842517203	0.1441031892363013	0.16236622330518902	0.14837693331927193	0.1776630934761618	0.17346291588111476	0.1746001699539394	0.18376107563158894	0.16864633480994812	0.17421935776206693	0.1804639383421992	0.011294760087454435	0.15768812922708514	0.16469711134676807	0.1665811126535039	0.19527889917105457	0.19174085844025904	0.23132462423480976	0.206795449651258	0.10854575769416114	0.1735684204808096	0.17026360761688727	0.09573691376279234	0.020103978229801575	0.13237745560105746	0.11254691523025058	0.1377508416444106	0.14836891026297616	0.1508897529505548	0.1888961897387746	0.20317585910396654	0.18108590304759478	0.22071879898649882	0.22416022608922392	0.11846094492158936	0.050362289841622096
13	0.15280184509388595	0.14684893683796157	0.06532203215050295	0.03641647184972046	0.07781802532165444	0.06552158705416736	0.06734807277482142	0.04637140541279932	0.05098350346065891	0.04400395562249749	0.03777647073946507	0.045368155582908534	0.0998299949857958	0.11125658377974612	0.1355711319109656	0.15577521058033633	0.16056065260925517	0.15744312793856932	0.14026105325431537	0.10635944613358854	0.14963167893004936	0.15345306967157657	0.042479215486021585	0.026083393229745903	0.10024633708314384	0.11936118081580141	0.1428652688409207	0.16802408773531358	0.1664152073138846	0.1876529104234558	0.14853735590977774	0.11319885810516382	0.12215516866075482	0.15538853498139082	0.15222290258387064	0.05129502235076942	0.09957326308351025	0.09215857119532887	0.10183617116504283	0.12665629593577482	0.12696984771293135	0.14962425814351804	0.139982337688873	0.08238987430829263	0.12496159621662889	0.1432474168559461	0.04308276752912987	0.05399535597158623	0.14271077670985646	0.1271266068578561	0.13919334389432575	0.17012179583655324	0.16813949920101745	0.17989255784272068	0.14693857376337377	0.15364620589644762	0.13720262995244142	0.16105320742887544	0.1610794487508654	0.035325457862846715	0.18455184703854605	0.14307203898260845	0.15763241642544823	0.16219870645737897	0.18847985590188449	0.1891485493580622	0.16239875740130344	0.16275122842563022	0.16051734387246946	0.1811933263210851	0.17461516386083237	0.02874506482330196	0.1632047133903951	0.14876685450296642	0.18381324107059321	0.21395687825266255	0.22004697433567605	0.24776309759682189	0.2105632658627089	0.11922232400400945	0.16426651846724694	0.19132491223949555	0.0895407307095626	0.04112367428519367	0.12451811551326289	0.1052314934715391	0.14122652441981734	0.16293908486112346	0.16374546395651135	0.2032524694661152	0.1973222938895885	0.18775074342344095	0.2229048999670967	0.23773911921459195	0.11798316480891	0.05068044430521261
28	0.12635250004400478	0.11183250223150062	0.034270716698371714	0.03110954574455662	0.041005837539748666	0.03388279353331468	0.04526426100480051	0.022398069374979884	0.030844265904226856	0.035992717396313864	0.03740556337874086	0.02853961613414599	0.11308229422918217	0.10581326860667356	0.14576587088226206	0.17071117528767799	0.18259241238385188	0.16965579976089132	0.16388695462866054	0.1304092503542395	0.15855090828770346	0.13448701293865706	0.08203910448696765	0.03884564671496751	0.10547626882789911	0.10868451059385342	0.14007017470439834	0.17602891197230408	0.1747556907850651	0.18144966480546038	0.14209531255515148	0.11053444110124072	0.11691071462886918	0.11425093824417655	0.14914360282524225	0.0416598175886501	0.09731078737793972	0.09108749725576085	0.1039289007403362	0.1323091234148719	0.12175936878212981	0.1422639423625391	0.14233815017710028	0.10280270058999076	0.11936591541841218	0.13308923538490636	0.052252110434310245	0.056302951734419154	0.13233702313100187	0.12536577516673542	0.1471545344254916	0.16734775177463135	0.1498020568702994	0.18615463650801944	0.14560866013665721	0.1483966494361304	0.14832897888556207	0.15512096836840553	0.1685302644187256	0.06556818102175123	0.174760185793794	0.13331498399545466	0.16292879995657022	0.1466023635989348	0.17123869756192295	0.18180557602500694	0.17759793150404551	0.16181653145742048	0.16774297629076662	0.17831413244758687	0.16234842201575672	0.027777750352457387	0.16327041898522027	0.140527458190297	0.1793236565947856	0.20189961571289444	0.2013522992959682	0.2531180002365909	0.21263117055318997	0.12183374895288508	0.1830147972025053	0.17508004609880562	0.10894600895852999	0.04487942387271654	0.1295330823677689	0.1068740972058766	0.15560063825315068	0.17027123768818309	0.1524563635564761	0.20255067798220178	0.2150357289975519	0.1899285969386812	0.23709496950385506	0.21591957343026102	0.12870268761769094	0.05200353432610068
43	0.134094175340421	0.1389862010560578	0.03611873568765112	0.02911084416813882	0.06166438711847927	0.05356073926942008	0.0599956874523674	0.02761462476724076	0.04760451281988558	0.047823333105334515	0.049957237410835284	0.051245722535902816	0.09288873417603899	0.08179831251971989	0.13914612036328575	0.1756049662254088	0.17473418109418654	0.14964195756067905	0.16388500086038	0.1012493432047977	0.14409602851999492	0.15616895626927968	0.03962839586696011	0.04747249493968817	0.10939997787851145	0.12291270737094995	0.14113809706246933	0.16731799847968623	0.18658116442917227	0.1587358529473032	0.14484350651523376	0.11096856533476375	0.11512584082772906	0.14065618592657556	0.16804234677158145	0.06447032726278001	0.11730058282326883	0.10316284077513646	0.11580534487982395	0.15533575022574012	0.13633573789943126	0.15155769960750828	0.1492776689413555	0.11734318740640481	0.12109278064559582	0.15672864146025778	0.065435730888801	0.08523502572779282	0.13501824219466085	0.10613945037462535	0.13844163642897295	0.17968067262873105	0.16071573635897318	0.16224319629024964	0.1646148069316234	0.15819096677961	0.14615785615927757	0.16534113261330868	0.1739693711051516	0.05986382153093777	0.17713304757215698	0.14562479827945574	0.1582350806551942	0.1601871756007853	0.19077779597237343	0.18950188876518448	0.17458683662397703	0.18314739733428498	0.180850377945449	0.18690619434833147	0.16997893934653946	0.05493514338200474	0.17060212612859627	0.1568065101444739	0.18227523194982592	0.21855931343945473	0.21323780666156425	0.26030317846545425	0.22296148065797328	0.13271223930212833	0.18593597203090223	0.19521860099199734	0.10271573959427441	0.07380030034004498	0.1209266633189841	0.10346722960548921	0.1410098442060959	0.17933396015096223	0.1467476211278515	0.2043950840407841	0.2113171758453308	0.19851778757370891	0.2298837190778374	0.24099669112254635	0.1154343981733082	0.09139268232487369
58	0.12446120232755965	0.15364204854994878	0.028091907071346598	0.02026626140553157	0.07066393629801149	0.03310594360896815	0.05973373719338729	0.02682537608115372	0.032620742609543035	0.058793866099497015	0.03733789293348422	0.05182853054838183	0.08783985261163832	0.105765630511072	0.13300816664274628	0.1647041154089007	0.19701915125406638	0.15381251165517407	0.17074356076259217	0.0937911291180481	0.15144524400534382	0.16354615571322934	0.04878641970072688	0.06775762177607136	0.08513219911786579	0.12712163290801343	0.13318171791586753	0.17005986848192772	0.18355010373934838	0.15360547918016665	0.15482750182902194	0.09747748017653628	0.10459452095786557	0.135136986830721	0.14853096413678235	0.07267617884091795	0.09907009400335066	0.11817058170428064	0.07849206163847462	0.13057466847271104	0.13101636466515637	0.14521248965641162	0.1460416829967417	0.08417263940393435	0.1193909093136328	0.13681511804273985	0.017419719608362597	0.05736096328653016	0.1463312090169169	0.14478575160418092	0.13593425616431637	0.19112459562128764	0.18325640639690852	0.1798342787308776	0.1753562222656952	0.13900040780356177	0.14306051828787686	0.17183997108811	0.16769690173084917	0.08800699519887444	0.17360835266240704	0.16008571552211934	0.15856181853558649	0.17763734771038625	0.18176142446221288	0.18749980363659838	0.16385826279723498	0.16329566823524194	0.18460945936910786	0.17933032608146482	0.1567029447430982	0.07054874255245888	0.16479895202715653	0.17019540894598656	0.17327957407071898	0.221687705443038	0.20027852198500368	0.2593383424758503	0.22991784653758046	0.09292122841576533	0.1925605713462174	0.19905329955105078	0.0903180934813506	0.04730682563735719	0.1295041738946478	0.12178145763991183	0.1348876868000154	0.17694191412114013	0.15902188234790351	0.20013620299557341	0.22416859532688516	0.18530982147970587	0.22645562781262324	0.24466292501168974	0.10930204914082003	0.09780606678137266
73	0.14812009899575881	0.13427732944262433	0.0382267152819442	0.023389505882504293	0.07193801931738558	0.037294988165933574	0.07139424914355635	0.03308248507791568	0.028608995480736553	0.02976030582345423	0.053020148462015214	0.01033957634683651	0.12448784024884002	0.10768832001384443	0.15092561763483542	0.17168532297755515	0.19264688682716108	0.17439608025337733	0.17592922694788474	0.12369721966554281	0.14799653963259946	0.152891325793779	0.06557631420446296	0.022235618628037544	0.10835205808589596	0.1159546964458889	0.14077206011056254	0.17285434743181838	0.18912674063824558	0.1751833580327069	0.14169519486718388	0.10703895935879292	0.09184646143875977	0.12479773382100381	0.1695203169003989	0.04104808810367737	0.12339874593765099	0.10448127016952767	0.1041274988287303	0.13640821979691853	0.13974905708307434	0.14282791558852354	0.15345713876200617	0.11183372013293792	0.11764625701244216	0.14050990562015434	0.05094058356050003	0.04472106422730371	0.13900727346614256	0.12781310007648577	0.140859650116061	0.1851528564394705	0.16961543622447953	0.17287001961238635	0.16155950775313033	0.15550650155471768	0.13659656073124848	0.15689030246414987	0.18491615908466677	0.05057229013808168	0.18967485557554245	0.13843059059429907	0.16169415494164588	0.17327395360180708	0.18312723195920588	0.18923088531717075	0.1898526790476388	0.16785324941303448	0.16504657412002577	0.1796640012450701	0.19249022919564768	0.03826328954194527	0.17939190648743836	0.13466303867125218	0.17577295200428955	0.21855338252733877	0.2090315557157043	0.2536743749446356	0.21750207605115418	0.11762863437669205	0.18853872566124563	0.1840706607281798	0.11010995998741985	0.032450946010562184	0.14395717990447682	0.09698413108152248	0.15468937417838213	0.18140372076160513	0.1614509083611494	0.2004944253482576	0.21732206341808127	0.20152435299031185	0.2307741129418215	0.23833778626075858	0.12796401449226563	0.08339285521598871
88	0.15840222630932713	0.16085614224671385	0.06409873737492847	0.026594312046627704	0.05934219189792248	0.0767665996943575	0.09437128245891035	0.07094869145989548	0.054199574903172607	0.06277471909276686	0.058819511219952214	0.046815026700283875	0.12604456261291502	0.13752210452642466	0.15428709646532351	0.19359986602788765	0.19145737375916888	0.179825252170275	0.19001672312106893	0.1258363231525185	0.16404765116449171	0.15665711958299963	0.05526932350989379	0.04794030943768719	0.10578497247829256	0.13532950815531264	0.15334219914629418	0.18998408879462877	0.19009175415294172	0.19443253917900225	0.17106605470194314	0.1324616400288968	0.12925896667152817	0.1386140284360877	0.1633226462458334	0.048588485014838256	0.11884014554726108	0.1260501343777741	0.12621465845465385	0.15677660152913672	0.14411549460038164	0.1540686629691405	0.1753575939444551	0.13839375404731963	0.14410111715895313	0.14927688456626642	0.05701147741074771	0.03872868095251186	0.15316587018729694	0.1435404847049004	0.15098080873618852	0.20428106901609344	0.17173010091968507	0.17845921242934	0.180825374435081	0.18792620305955005	0.15292984873609122	0.1581815046336056	0.17191385237743004	0.0501210804303522	0.19339200053481065	0.1682864230679077	0.1902117536036001	0.1961949874877707	0.19222624513460118	0.19401469626689866	0.19065965108147212	0.21595577040835545	0.19067533574882528	0.18805903306343164	0.1778182965830314	0.055149528697850475	0.1888900568999731	0.17251743276891354	0.20027397400861724	0.2505529405892587	0.20821028782110407	0.2705669113345603	0.2266837371105637	0.136104376010796	0.21295537859477112	0.18320187008702765	0.099162121431612	0.04161374190708677	0.13758043978654239	0.11164505930073022	0.16178775760857567	0.19287207664914935	0.14723178601802123	0.21149529230409755	0.22605719705344013	0.2139604051222795	0.23795163457503218	0.23965019809547447	0.12004323942038313	0.07520846854942656
103	0.16447018601402486	0.1475689985619073	0.0687140983094975	0.038130297406620745	0.0363277911258854	0.08594118813116466	0.08226052249036048	0.05854178916982278	0.03820561229393268	0.08729656178738468	0.02211354663448585	0.08450423608378282	0.12456532476314716	0.10194864833182168	0.17809336265533587	0.17582554653624322	0.17749991404347426	0.16873724078697505	0.1874336264157849	0.11160610487215011	0.17091731513542718	0.18584168148062827	0.05605846691672363	0.07546064762691954	0.11876480002075006	0.10235496310442174	0.16958411796101358	0.18080502884342722	0.1802612181066131	0.19100099376576551	0.1663398337395462	0.10558311167505541	0.1038906557233689	0.15611510492248254	0.15562276557941984	0.08294726937384839	0.13187751818312088	0.10041380982216638	0.12114035717701127	0.14463210913657393	0.13367258734383183	0.1521990528966905	0.15655762698882336	0.10825684422851772	0.12626191120595154	0.1703206728959848	0.03109408998377243	0.05303659313151066	0.1565242231792851	0.1173100994658424	0.15313809626935362	0.19155054158903706	0.16670288508552739	0.16863079949617438	0.16442387970137504	0.1461815150561441	0.13863245421954212	0.17052533389326258	0.16253399767410434	0.06826216379999847	0.20148291344178126	0.1415178424056744	0.18177560227334455	0.16993968846577256	0.17908453393143708	0.19184777175180917	0.19022726321876587	0.18750210326548322	0.1755778317096897	0.21226109303730767	0.18100637174822337	0.06072807618635705	0.18061732267888386	0.14741421505123042	0.17873671797830343	0.23137748025953475	0.19166563789487245	0.26378089386876685	0.22496068429513055	0.11354538447470691	0.18635736541152792	0.199285657772725	0.09660797245357888	0.06794571045774381	0.14504424173489716	0.08126923622622462	0.13424297761114828	0.17470627750184314	0.13717649255559067	0.19707180830328466	0.22223724222699293	0.1982735345879534	0.2249777777338135	0.2494362595886332	0.09252916165360955	0.09834820819793293
118	0.15681075474919695	0.1501288066029161	0.05555130767067877	0.06075007745940399	0.05864074338793185	0.04858417140119778	0.08338032922173483	0.05450205732976497	0.058435392712832435	0.07655576792075536	0.08354878774692806	0.04798668252122944	0.12373574449005087	0.11498028493761715	0.16129314539845807	0.1990226531610663	0.18607256980393638	0.17871806918036906	0.17872821176082487	0.13588271123400672	0.159804717949799	0.1743758895670158	0.08017928185446727	0.016392582947180767	0.13657916954838384	0.12890823895507736	0.1620933952489168	0.19898939205318314	0.20576107388217077	0.1979661012888643	0.1737759078101611	0.12674316963308868	0.1231935790221986	0.1540579325069192	0.20346543267623865	0.04986610799521064	0.13243972927975134	0.09916484366439354	0.11646289596972759	0.16783855089159103	0.14307515598300571	0.1459451076208518	0.1448032350041552	0.12745818636536893	0.12266740758102138	0.15220562757324607	0.060919962612658286	0.04027683602137554	0.158941327394109	0.13466142464624917	0.14501207615037043	0.2131522846706253	0.1894500362172883	0.18022450669017354	0.1740477459810305	0.1890479043578347	0.15188374048820072	0.18021357962993875	0.1990416554031046	0.0508357250541448	0.20521405345029453	0.15003350198272455	0.16901711772563766	0.1908779900158426	0.19445883766712402	0.1932568073210273	0.19626845452842806	0.20352408237584113	0.18555081878551927	0.19503738392896036	0.21494674800467145	0.04071095173352279	0.18415022162981423	0.17111129772896272	0.19524827081347018	0.2488082257708299	0.22625000040923315	0.26427771597592264	0.21997846832758858	0.13568446521464667	0.19628839470574955	0.19663223266038893	0.12089921271286516	0.04378032558416471	0.14558470802639492	0.11101455465865964	0.15225856951030475	0.20049508035853408	0.15159731339523758	0.19947729092591426	0.22419235261161363	0.217669096088496	0.23731182792703004	0.2461923942205883	0.13280192328061874	0.07651060994872372
133	0.15403806934167968	0.18508281103219043	0.02868872713969866	0.01205802329034262	0.04387094431419845	0.04228409167672005	0.0630367365949342	0.027242654124668766	0.032353057047301806	0.03260995542409678	0.07646109527125415	0.03233024954071541	0.1229665254696741	0.1539813902965538	0.15891789369535078	0.1682361587302194	0.19058618358317564	0.19358631288265174	0.17935763417099446	0.13191928604498504	0.1598706599245376	0.17562571251844217	0.06265724868268678	0.028996134348214374	0.11525934766605302	0.14549551388963955	0.1505994497926053	0.1507137998261024	0.18501705584518593	0.18933092093960077	0.1792270866798538	0.11766337638352822	0.10082688157497949	0.16020567509589093	0.18982068398298346	0.058899562308752734	0.12514475077621598	0.14809131479696386	0.09782202763014569	0.14858868498124905	0.15427801877008618	0.1689708384288895	0.1657486465260066	0.12070665360651868	0.12376313890158885	0.16536776539207143	0.06931347807942197	0.05879409777496683	0.1686629391054965	0.16044699735078577	0.13501116915343558	0.20050740572767412	0.16772971293729289	0.19390971163796916	0.17165354971807584	0.15135144351413657	0.1417551759335024	0.18192010801776604	0.19264877019075022	0.06268021129797392	0.1986621500044192	0.18365867831026628	0.17171345896111084	0.16523690973337146	0.20245480020991413	0.20803983730168082	0.1896526465540238	0.2053661692798747	0.16552502113065587	0.20796944584199611	0.20816893926953806	0.05163357345579771	0.19648089552176526	0.21148436273151616	0.1909031809724495	0.2300871930824302	0.2233399186330359	0.2762803512295664	0.2363366662295745	0.11166861086069552	0.18850762041745434	0.19325502073645806	0.11310430052520921	0.03981453787856272	0.14359564759838528	0.11740339555212118	0.13990791473933245	0.15165512723112157	0.15376295063267087	0.21086588466784767	0.2247668601652794	0.20269374690019337	0.22751406807957747	0.25510755382204053	0.1324844446490936	0.08816791417651645
