	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.06299852004505202	0.06702996076893791	0.005664771066089872	0.005243246673717352	0.005115527555625705	0.009069756626855118	0.004237388196362205	0.004942564171923019	0.03485511371244725	0.06123732210822938	0.04869823806853561	0.08841377226945324	0.08816618682730812	0.059835884307551594	0.081723725879675	0.09786206355538692	0.13106931258826776	0.1419280256581959	0.1257622678034943	0.10059927695970262	0.0791163339248083	0.16430093289937614	0.07840189075384668	0.08270005164876049	0.11765437430351786	0.09467467484391084	0.09556458331505996	0.0973905917550431	0.12784784311759811	0.11779844422229147	0.12648427443564597	0.10315780736753463	0.1246357489543595	0.13145868523187426	0.13809439410391747	0.16321598382577462	0.12744405572530454	0.10134843949520533	0.1063812275556381	0.1169369980092826	0.15556639206963396	0.1558083575749389	0.15674291573349158	0.12498512079903736	0.14889220194124975	0.18831860204887574	0.172060293326436	0.18102711430556967	0.12135267789694071	0.07842337713256639	0.09630039349623498	0.12856953759725737	0.1534892504086637	0.15167656264102194	0.11916334231795891	0.13664675649797628	0.16082783112468402	0.16615901706319736	0.15940110747899888	0.17730217443759733	0.14077169619202434	0.09309379248233669	0.11113506824435468	0.12584082914463018	0.18748020876429627	0.17040765297779237	0.13463200722875707	0.14248167077629836	0.1848688090358102	0.20108948650582406	0.15881575299117795	0.2049888837135993	0.14518295962470884	0.1272648207680826	0.12962764329121512	0.12690931798796612	0.18728312287764692	0.16060034857155026	0.14777428761246156	0.15875993690575824	0.1310196024116636	0.1751267610959402	0.16292688375117995	0.18028624745869032	0.1800831926847548	0.18985846016810531	0.17505562799461222	0.19255146098985348	0.19701341348797324	0.21371591270289633	0.15973462024715346	0.07968244107365902	0.1142209685438042	0.23642273342070808	0.20193128277437117	0.23519620169460895
15	0.07372381213134971	0.082680803249045	0.011222413969117155	0.004229183440014396	0.007074315308647583	0.019724358283902975	0.01577788819397258	0.03209032238566035	0.021480279625235826	0.08430267293552134	0.030042043361819357	0.08035079099876775	0.09764092163052032	0.07071085289345547	0.0912724570288693	0.10192256724186669	0.1687932582511496	0.15239094664771108	0.16026659834193807	0.1505361499303809	0.082506058458934	0.19947071883954032	0.05696810231476539	0.07208772313658623	0.11133365674127113	0.07805520305041048	0.10875127091204545	0.11006922753912943	0.1312489716987068	0.14480172333484873	0.14358466693170807	0.13934099351247148	0.12233108097615791	0.15655132234381144	0.12874029805969278	0.16090908747355986	0.1267706340725654	0.11225968681853704	0.1251487446991747	0.12113559604013825	0.17596341102088492	0.16794190161159753	0.17765754234836478	0.18508170952268369	0.16160608490615852	0.22769878669020838	0.1650211078341795	0.20406394444537976	0.1160414368419318	0.09594168654399632	0.10884389189917973	0.12341284901404777	0.16934285195654664	0.178608088984036	0.15653703511647277	0.18755902175796116	0.14169041131540167	0.18665910459519383	0.1460877470673285	0.19364402300329386	0.1386047963933136	0.07566011225044689	0.11910881051962893	0.11023790055913771	0.18977855981597436	0.1813486486193378	0.15477563159388374	0.17203389519216727	0.18099276812892806	0.22264328553368704	0.17060680735950026	0.2091669596538777	0.16005171896063913	0.11808999029792089	0.14501981012891405	0.12602570065312202	0.19641074285105145	0.18173307737024297	0.1837388325238114	0.1993907339115577	0.12038816517133058	0.20962541052274153	0.14391864191967102	0.17431281403509902	0.20358289238981275	0.18806419630267823	0.18021600235576113	0.1949412243864428	0.22883756617226714	0.23091189261885214	0.18711551438797974	0.14772189325424262	0.09683778102436244	0.25259260084504637	0.18173506525065591	0.22877552897875558
30	0.1016438024797815	0.09681604846077904	0.009888673806748453	0.005784856808786747	0.004086645195449347	0.024431375442765545	0.021480225512149023	0.00695293374413383	0.020082547737362934	0.08781539213981912	0.024091798394137783	0.055168123115300005	0.12730451016055744	0.07619763183004727	0.10078248087043357	0.1116897459618689	0.1667579048884278	0.16947082720589335	0.16806247825658005	0.12805990586334123	0.0654133684515756	0.22163680080330062	0.04156054279365373	0.053190238237530205	0.12412478945375954	0.09163822479890593	0.07810267831564632	0.11028462168993614	0.11992174464289936	0.1635086619137462	0.14974116640191495	0.11243959444467011	0.12304817504254797	0.16007578438205827	0.11690115783359116	0.1399094804520476	0.147817379836428	0.10479407507690575	0.12730999081369124	0.12157643023628148	0.14483358585707592	0.17602763710784838	0.1930221046407975	0.14688486702914147	0.1465321541972645	0.2317171701454781	0.16638542704366696	0.18671345271800224	0.13990895885113513	0.10499435398295354	0.12163685596513794	0.12339063462150866	0.14908519616623517	0.18117971009824435	0.1572683321503099	0.17980460263313675	0.17515525944130553	0.19579878454668337	0.13898498734096765	0.17573927219921207	0.16268362716058082	0.11066261339016871	0.14235696007260973	0.1346248480416078	0.17377903299283426	0.21830352465779407	0.1882483675773916	0.16821743637267572	0.19993479592946836	0.2409159275577676	0.1529381141123265	0.2028902398359742	0.17059410817032106	0.1349576510449486	0.1455808840895447	0.13765027086388085	0.18848999792071086	0.20736306987942862	0.1898526921404966	0.18905255364913498	0.13004594652128465	0.22135974299222919	0.16177933034313513	0.184723781883003	0.2279477033660623	0.20288310715190977	0.19850886348296404	0.21401284463663714	0.22635184862341312	0.249936531991086	0.21357917448806502	0.12461825265610715	0.13476983396608833	0.25490684075281145	0.20215932702396922	0.2296232228505616
45	0.09343180532063748	0.11116864228200521	0.00583025021984029	0.0025362202847873366	0.008495002632494884	0.011355339160909014	0.002835548754298935	0.009767682578212545	0.02974815454294999	0.06613724897655639	0.03670419630141222	0.05475762829756979	0.11360769145815995	0.09215767972338851	0.07146269886714453	0.11033808507379943	0.16729331159076413	0.13950827548185848	0.12191617378415531	0.13753272443748432	0.10649447677112123	0.20089529263445915	0.05278105054153469	0.03964986828222508	0.11590285115680848	0.10543401991650841	0.0854840561273417	0.10332653166140289	0.14877698264018221	0.14989737196812575	0.12272167370923942	0.12982430566449737	0.13606800978753542	0.14449135636251856	0.1409251094186072	0.14345201240252112	0.11792218484771783	0.12572870278674442	0.11340408666006205	0.11317861650417188	0.17547272590404084	0.17962368200014267	0.1681207060781325	0.14393079993989907	0.193467416667606	0.2067686104125103	0.1743593657464499	0.17466088879648062	0.12141350009351831	0.12831708707373646	0.10972256268889785	0.1165702602169696	0.1586696710098211	0.16765567713646382	0.12548065380884582	0.16559578216463003	0.1882994578855275	0.16228362438546362	0.15720318919423887	0.1702941031982229	0.15253714623915177	0.11403457224633165	0.11075596114515182	0.11553760585214976	0.18166491983967387	0.1771587751971926	0.1311912280242661	0.15095647975427154	0.22055169423957788	0.21142845182033515	0.17419047546282596	0.1916568072580503	0.15267218795085763	0.13396087017244565	0.11476316861977158	0.11341701077602842	0.19057092767663963	0.1744170151546341	0.15056561973693866	0.18200486602196192	0.1452384922036925	0.18589002146731098	0.16898114093840627	0.14821285304000775	0.1787261027210233	0.21291605269394093	0.17850803520249753	0.16922667014343862	0.23541899252162862	0.21230341035401507	0.17884900006377047	0.11703495677662218	0.13429937021049912	0.25207953865703914	0.21583187636193424	0.2214305098309411
60	0.06293446084178883	0.12447641580406818	0.006387573400319545	0.003974162823348581	0.00454480460051538	0.01451270370772098	0.007943286717730915	0.021802805441244938	0.022119031938090852	0.07576274516743553	0.06125310655288362	0.04517221456927373	0.09332471865608637	0.0752796001514908	0.08205401914743055	0.12182862000488696	0.18160088786096384	0.14834872924581177	0.13915513016402725	0.17216622182784685	0.09547192221589845	0.21109071516850433	0.08417353895366739	0.03713168479408274	0.09218677657130378	0.09971220246559863	0.10060912381918749	0.09503028049833065	0.12522848347488108	0.15789901656624628	0.13555719694390717	0.14430051180765008	0.1561385548419319	0.16734387288762642	0.16385898511305613	0.14232328056701266	0.12432074628706469	0.12642663234844775	0.11634460440976047	0.11691066023805818	0.17552051664807217	0.1964939801540202	0.16728577545353285	0.1554061789159154	0.1856455006066681	0.23452021355455385	0.20734168575697398	0.16159654448652663	0.11152659177811844	0.12576208515932083	0.109717868672144	0.12293781985502358	0.16245211215626018	0.19444423808250558	0.1450037431830575	0.1935186908656626	0.18327160327491568	0.1880870037347852	0.19163277112463692	0.16273583971687983	0.13014932596564613	0.12377960096569077	0.1315759690085173	0.12360618662944389	0.19842611467279098	0.21765237712332192	0.170498498495263	0.1765729153372791	0.2317546504162898	0.2579417914419617	0.19298947604628142	0.20926388999999207	0.14722391044156674	0.14220830902824053	0.12711147590917415	0.13156263327760442	0.19506203435280126	0.19216846921923342	0.1853313109734782	0.19499956579773606	0.13502084885597804	0.1889938712102383	0.2126813876732444	0.17572560090314945	0.17902623438363913	0.2075979256202445	0.18414248847242864	0.19309493314055634	0.24407404677077188	0.2507860564153821	0.21656854907265283	0.13531604372390943	0.14538618113575663	0.26485871561720337	0.2301752141015668	0.2242069601311254
75	0.10024933733530914	0.12837059817400887	0.004544480441715936	0.00495776370573423	0.007632614474008481	0.02970223367055109	0.00991211733401697	0.004811343675331472	0.010922144535929913	0.08215967874690258	0.06300944195211747	0.03209751013649163	0.1350185895306915	0.06986655003270811	0.0812611548739684	0.15080182245454404	0.1920762195222382	0.164019074831709	0.14830460536587003	0.15221552098124727	0.09413080020334438	0.23085691227175473	0.10198980326209345	0.022069269053148384	0.1219695223576183	0.10039795297494555	0.09381737668428386	0.11587445789436591	0.13385025608402076	0.17304357448510904	0.14491674376158173	0.12824469904179686	0.13428549665075318	0.17203983724020538	0.16478147491600165	0.12718498903500014	0.1466233854120618	0.09642012745558676	0.12038368267699792	0.12057923204044334	0.1686618414328322	0.20758851100878062	0.15856563774225071	0.1444828795658611	0.18166414795891	0.23307814656386577	0.20875704391324457	0.1712757885182164	0.13703210106896813	0.11722079493578126	0.08712514784329989	0.13885197501643934	0.14774543111630944	0.2001976866813268	0.14905133429053774	0.1657994845090277	0.17447550264579298	0.17863427258366227	0.180559901050311	0.15986271040773053	0.1618071952998314	0.10185293595590528	0.1172210261477444	0.12489736843127004	0.20354326873889073	0.20899856058515529	0.15565337498555165	0.15134672784967387	0.20529286872578023	0.2422234537935868	0.20340633990940607	0.19406098806807537	0.18333691936966362	0.12420654659009801	0.12370177987776468	0.1482960201414099	0.184876673916807	0.22556084191270714	0.18944789934830972	0.20129866820473108	0.13894334015402804	0.21757671263911615	0.22143752443107545	0.17133508810891537	0.24318024872518051	0.21583716878031045	0.19105670157405108	0.2297679847637336	0.24974379834342053	0.26537804855737757	0.2380876899400799	0.11323114327907266	0.11657901391960471	0.2761526620147462	0.2517148900649164	0.2520739965261338
90	0.11477982385349902	0.15470180323656418	0.014980935157844582	0.005107995982644571	0.009054929214439046	0.055373439149061204	0.008244769106611077	0.013836197581392495	0.04748879041325703	0.09166566095122773	0.03669100734246643	0.04879201077471399	0.12409378657170389	0.11568281381835076	0.09295098155760159	0.17343160208302588	0.2207963261778818	0.19521812881657272	0.16538800382913424	0.19050010324725314	0.12037361475850406	0.2546696127325183	0.07568286885288064	0.05593834825018697	0.1314210706116544	0.13800752310318282	0.10146743952650786	0.14720682957483977	0.15736691762947286	0.19728204566185534	0.15352225253729734	0.1609263529162898	0.19153910519493583	0.1944664542853946	0.15896531487654847	0.17354427925803106	0.1496231958771901	0.13823955156423373	0.1402542137600426	0.14831145204074936	0.20169657156359386	0.2201289701253839	0.18557123221948185	0.15433113318204245	0.2249271700073313	0.25663261252358127	0.1864404915865479	0.21043019874691582	0.15702924961090337	0.14071653368962356	0.12343985963140752	0.15876499207541175	0.19804038575414462	0.21949735945043206	0.16003577604552657	0.18968501168955637	0.2257807203942906	0.18488275489017064	0.18687361483981857	0.2154679718050931	0.19504911402078687	0.13655249735700603	0.15124684227440255	0.15811521761483538	0.22097082281358466	0.2355150553514059	0.19542151171090666	0.18179707073484855	0.2593365712028548	0.23985549553501442	0.19614730405657704	0.24138588580626835	0.19206407492674837	0.1435315327501387	0.14757452303350788	0.16840688562666095	0.21682017752109012	0.23084588144450752	0.20023187904870468	0.2108009756979796	0.1728036127986121	0.22494422768848144	0.1959113903435099	0.21886686421649082	0.20920346788305744	0.18988516746970036	0.198485801594065	0.2125375398788515	0.2467033899999571	0.24985512118293657	0.23540070515981976	0.10322982026975805	0.176772474391878	0.26966848013732275	0.213676061045899	0.24792344686383122
105	0.12893606786656803	0.16581646677229894	0.0062593276293556235	0.002835548754298935	0.003967367923120656	0.03216334756697914	0.007798600918804871	0.004799855591344973	0.03741161173043734	0.08350089592966084	0.04177616925275191	0.06617519586968636	0.13520371968763265	0.11062374875725811	0.09264046432646234	0.18535832297334826	0.22636307009988482	0.1824487967390118	0.1621431195444052	0.1750756683353268	0.1265867541586293	0.2573568049230369	0.071505603177276	0.038097670567688216	0.13354319685775223	0.13464336731384607	0.10445861038403673	0.15005365960181022	0.15535998683601857	0.19303263839317825	0.15250012713493294	0.16011805676055163	0.19885540693878945	0.20573638867887495	0.1640420561790146	0.1657629895593432	0.17596873315691136	0.14723159825865334	0.13445783388975288	0.14585516881210508	0.184697082911841	0.22192158997126626	0.19322357620459907	0.1539445861745397	0.22401373602981545	0.2470432898873643	0.20447537584347705	0.21669172308903029	0.15951327356817635	0.153960507377236	0.12592153378059778	0.1364626164758167	0.18612640196855765	0.22095985058119588	0.16560659754202398	0.19941396473424275	0.23360939795867858	0.187643747646972	0.1708807446966552	0.2095962681426098	0.1932025717854512	0.12944498741351262	0.14438811199297208	0.14041107044401274	0.200583698824236	0.2245083585586406	0.18629933058324114	0.19394863214640018	0.2418460151910281	0.2559346847244811	0.1841282265497174	0.2538514238269364	0.1954703574731832	0.13711586132804707	0.12390082364015259	0.1722566961579125	0.2135177325511608	0.22078323410778555	0.1838720553325744	0.21659901868222367	0.16512903218757646	0.21429031487539282	0.2247603312365028	0.23042900297617808	0.23750258309102473	0.237937993408674	0.21295030276944613	0.23645149558994	0.24533648685684678	0.28773066269986175	0.2763492974802001	0.11917743012131436	0.172069671192352	0.26871124798260937	0.25336550308951683	0.26580733188093775
120	0.11046224174215341	0.17018812641018816	0.003974162823348581	0.004972664339304316	0.005830087517389995	0.018690345199479905	0.011157448952281018	0.021336562569718283	0.025877808354210555	0.06699234772545809	0.0829626015702134	0.09731653494464948	0.1422445427085664	0.10563400682957785	0.09066465941969158	0.21761969623003205	0.2422875914271414	0.16392571433878575	0.18351566844585204	0.19900346248328127	0.13356529785152915	0.2682970505674854	0.09747229509768016	0.08874209640010255	0.15057193149583126	0.11259037738539254	0.10980525107823752	0.16359071936440783	0.16029577676615714	0.19827306715544052	0.16737184359637447	0.15761957570804713	0.20391783070324387	0.2019539893679976	0.21333731263508404	0.219556249913458	0.158641641206313	0.1393679077198188	0.12458806357573717	0.16991734070018052	0.20167897955756794	0.2040917202566619	0.19516563585202817	0.16745307965914802	0.2511226666604132	0.2607304459836027	0.2445411843840023	0.26152314930745996	0.15860751214135435	0.12637759764692966	0.09935592739353817	0.17747340206346293	0.17360590317325592	0.217402773106185	0.17958674073901465	0.21915952802009436	0.228974319636287	0.1728172434054182	0.20817308215957597	0.2533339650012197	0.16900726704148195	0.1144794521118119	0.11793711133390614	0.1406842589296008	0.2105359620397103	0.2396463090159374	0.19497356757974052	0.20186163737128437	0.2505269254526385	0.23229547821508365	0.23898350309314578	0.29005499018377134	0.19422468104779128	0.11969179508460548	0.1133412925406804	0.18752419761468586	0.20998230075653762	0.2112533362310812	0.19958621683112876	0.2287247183489014	0.16222302574814873	0.1998071697643724	0.24113330403190741	0.2765609481325443	0.22859606470301935	0.19565933749253472	0.16561674848876562	0.2547036001892849	0.2283808864267099	0.27125055649065577	0.28295535598715005	0.12029463274995772	0.1381090015573373	0.25465654058914633	0.2761431536742971	0.28030822001117023
135	0.12729151712197104	0.2256412528114462	0.008956585215038698	0.013491231494679207	0.0066663247556994435	0.009814103076745148	0.012670915279827758	0.029174557907271748	0.04482414549470853	0.06314263944686613	0.06266782947547345	0.07266842908011563	0.1659019995401918	0.12979380671682691	0.11921069450693961	0.25853251013626566	0.2725859708444722	0.176376369386616	0.18807468735746463	0.22103864198879697	0.15038969854748385	0.29221379909899486	0.1015578987572497	0.08500334948134008	0.14372951415344343	0.14230825935434188	0.1361420467710444	0.19611624962168295	0.17116700891725484	0.19275996334687828	0.17765506307861026	0.197720730396631	0.22308776629004873	0.224528361201002	0.22139261133192167	0.21506715789569986	0.16375586938030123	0.15936227690257732	0.1605075376310917	0.20349823384488336	0.19444655821488083	0.1788559789237973	0.19825645713861714	0.17492848574949277	0.25204038825161623	0.2764591229448905	0.23791529639596815	0.2508035428205413	0.14772531399461403	0.16746976553852302	0.142679314713871	0.1779448920331842	0.17590238967837923	0.2120848300263126	0.19745485888794068	0.24446212873601952	0.24466382811577303	0.1928319076403502	0.2056868779937302	0.24636662078286894	0.1858819211296211	0.15340260208100293	0.16252619476782842	0.1956216124801337	0.21306215072333728	0.2324929169219977	0.22092697306048154	0.21272937825056737	0.28258289794844615	0.24697808915162517	0.23299299059342177	0.28352358521081766	0.2110551247395718	0.15554757115644963	0.16326385522350298	0.20940047005567877	0.2241661296399564	0.2118774719992635	0.22767494123679805	0.25918408290445816	0.17595999448064878	0.2026571832814763	0.24894126136867395	0.2658187433269666	0.24641376454288805	0.23501574832903377	0.22522421948169719	0.2700951239417984	0.24057581230234892	0.252673637207347	0.2981428455420791	0.1518837896331154	0.16384491681984403	0.2852653798287492	0.27985290217033676	0.30112627669445424
