	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	-0.012009369708349205	-0.041553914305791195	-0.1118262277171011	-0.11054951313173383	-0.11505439026518771	-0.11616993639924922	-0.1153940371157903	-0.11783347481837364	-0.11808091179306598	-0.11683071398774883	-0.11466302165770187	-0.11769251919560314	-0.007510698216445177	-0.05264624296890419	-0.07039344899871228	-0.08222482055357896	-0.0812758286423651	-0.046826076079229006	-0.06589746995325785	-0.07565386138866576	-0.10526726599008657	-0.07989929398575657	-0.11623005515910922	-0.11802172412548492	-0.02663887493066741	-0.061236890817664896	-0.07192585510097621	-0.08798272383039918	-0.056482669096424354	-0.04139190161756634	-0.031801842147805626	-0.09249285065694518	-0.10576687945948576	-0.047303860994764524	-0.07700328810479068	-0.0678973360737187	-0.08125315747483633	-0.1075470680830257	-0.09200203525368705	-0.08099749849194335	-0.05819024403400283	-0.05238496379089569	-0.06384637845382757	-0.11160527517803279	-0.10387530314647506	-0.10419281048752574	-0.09166892907677096	-0.09017669616779753	-0.11238389489503467	-0.10337218133904252	-0.06709038579234197	-0.06122632150434568	-0.0541772117983976	-0.05291623569040149	-0.06997105177261026	-0.08737751622432774	-0.06881831148685463	-0.061157925326489254	-0.05406816089229197	-0.04881810030362482	-0.11082685145403065	-0.08282382391039478	-0.0758939453765716	-0.06698175361232614	-0.024916621734257294	-0.03136104974859172	-0.05437677147317696	-0.07903080046234473	-0.06536635617004033	-0.0616394395914075	-0.046462660650256726	-0.0378081830072704	-0.10200826829757817	-0.07375057252429126	-0.07184498609930606	-0.06968075896683537	-0.049691390915606204	-0.04057204209381704	-0.055993551394330016	-0.07094940595645435	-0.10598281669386922	-0.051383040133685776	-0.050134781853493515	-0.045556601568507826	-0.10585222168806668	-0.08027760832922848	-0.05654890239138541	-0.05138828262259121	-0.06504874996759386	-0.03998283881047604	-0.04752157350084124	-0.10775672023805588	-0.11507113415695594	-0.06598081226104263	-0.061875595276842	-0.06217459333949543
0.25	-0.009288676023750442	-0.026139691388208486	-0.11173170333123406	-0.112374607012037	-0.11644611398388702	-0.11483534790019381	-0.09776348364827361	-0.11469832807095684	-0.11442902729572307	-0.11396311460843786	-0.11531014219052996	-0.11919911017107199	-0.011017391945944477	-0.047470573570499275	-0.059483119703851395	-0.070877768072167	-0.07339030601208146	-0.04324517169962738	-0.0506670184435809	-0.07664996911100111	-0.09538294208618259	-0.05927422710604249	-0.11616993842014961	-0.11919911017107199	-0.03589300419325325	-0.05840486455826513	-0.06771285263957222	-0.07108938565884426	-0.059023696902805706	-0.020267638909503893	-0.022486406680051252	-0.08434043142756417	-0.08764993579998315	-0.045036848143913955	-0.0895156386455106	-0.0696109104220983	-0.09144755146596617	-0.1032857507403181	-0.10084988193264433	-0.08830490382851597	-0.06650742364321366	-0.05151302869569263	-0.059578567043104436	-0.09491285364184968	-0.10628485245001801	-0.08889611072332046	-0.10079501664640306	-0.10606294744655775	-0.10543004341206388	-0.09806495523515768	-0.07565494807274864	-0.05137360369017252	-0.04506049819647573	-0.055746302152395594	-0.06539358283638683	-0.07055817199033612	-0.05779205072088037	-0.05819849597619914	-0.0684361016712361	-0.05823334512236339	-0.10979596246852175	-0.09632956048253782	-0.08678227249872938	-0.0741542114564672	-0.035767436750769266	-0.036715895694934275	-0.05273528627517565	-0.07454439581470154	-0.06391324724735337	-0.05594169538249563	-0.06418271095837039	-0.059977420040082635	-0.10047515171482038	-0.07591002870953731	-0.06885102030907433	-0.05450893759265804	-0.0554931973694352	-0.03754574931050253	-0.053085838644916505	-0.06710296704313601	-0.09231619647933872	-0.05352275630232023	-0.06178734622747917	-0.060422749926676456	-0.11067701158888935	-0.08074493714670669	-0.0745357200764539	-0.05283087135724057	-0.057751827069677075	-0.040450445834344484	-0.04856874722422877	-0.110475809520125	-0.1127832112597627	-0.06788827018454188	-0.0709490114713541	-0.08853094764716432
0.5	-0.014564947579221443	-0.031056427276973442	-0.1040008617371295	-0.10479037445628728	-0.11277570929113073	-0.11166550096385741	-0.0971360711217055	-0.11658392509301249	-0.11376377724685063	-0.11783163314808018	-0.11887149225810162	-0.11828563812255857	-0.005083753472016617	-0.04635698158073914	-0.0663122687587337	-0.06660650126745035	-0.06750602062472472	-0.04179555970899579	-0.05393766523425203	-0.07095980621773174	-0.07518243031540447	-0.06032000008144553	-0.11808784118461393	-0.11815398220525702	-0.03474380496784962	-0.05725191102962299	-0.058844659515376374	-0.08579860441184828	-0.04833736507815123	-0.020778291333478693	-0.0274297394608104	-0.09019727159544377	-0.0795943156885715	-0.051308283454040426	-0.10336590869965712	-0.057340735999651976	-0.08084809620742411	-0.0982252046115473	-0.09402582048936203	-0.08282600711726429	-0.054702146417425684	-0.04327658281139235	-0.054717556022139735	-0.1011818468675561	-0.08494317446995692	-0.0900003958677823	-0.10139445111355999	-0.08810361120425794	-0.10813455645358114	-0.10273992943134266	-0.06406584534713985	-0.057626111456630214	-0.04683535862449367	-0.04546765918225326	-0.06890516157139809	-0.07801162289450281	-0.05140088982876323	-0.06547409421243933	-0.07498168944292213	-0.03901650685875635	-0.11021983540330707	-0.08898313090934706	-0.07076552691423788	-0.06707420142858206	-0.032408408003165134	-0.02048184519113233	-0.04463307445761566	-0.06170455234596678	-0.036673060858992634	-0.05804653534364296	-0.06272040439022014	-0.02870933539099091	-0.10646162852876734	-0.08253016836072341	-0.06949741340307597	-0.06435082646715878	-0.05935218820178953	-0.04176301077437711	-0.04823499055337488	-0.07075103874076785	-0.09006080676766559	-0.05688614782860185	-0.06731726824339088	-0.04923260439370658	-0.11174958955183559	-0.07839922968168864	-0.05927419195685385	-0.05620093948237248	-0.05114464905897331	-0.0224969967281467	-0.03372464137349429	-0.09668804894617133	-0.10455394641929333	-0.05989033311485001	-0.06458407262857555	-0.06480936139917998
0.75	-0.022932311261159077	-0.03067528327870156	-0.11509303893844322	-0.1166862376750851	-0.11788208330337249	-0.1165870378067049	-0.10627166582446412	-0.11742095623379148	-0.11578281713122138	-0.11657332052273445	-0.11907156561816415	-0.11861553978308237	-0.02162151026802056	-0.04502483897656551	-0.0660124678073985	-0.08128617071588262	-0.06356042788776745	-0.033174427105309046	-0.053861788477253425	-0.06913102446215896	-0.0989920007314789	-0.04983425347420589	-0.1174872605511241	-0.11763442753948047	-0.024883020801743483	-0.05243077278720648	-0.062309122145623286	-0.07667517992172998	-0.049820276424289545	-0.02087506200046224	-0.021973835110112305	-0.07126333347868816	-0.0781842196506028	-0.042778712243629724	-0.08916761535716958	-0.05140660600090424	-0.09217308151407569	-0.10098343925481476	-0.09100649752397799	-0.09655129443425534	-0.059901767808634654	-0.04044640724529791	-0.051857969889584854	-0.09540798059263253	-0.09326305130353113	-0.08769246713809895	-0.09917573628516013	-0.0793563378122337	-0.1143065073800403	-0.09646203064115089	-0.07175982789798654	-0.061973363550724525	-0.052007331490162234	-0.04934048513853828	-0.06554217114435806	-0.07182016035516295	-0.052755821224484356	-0.06022987113934877	-0.06894370251302603	-0.046486029920901784	-0.11123060052462161	-0.08621392560576471	-0.07539344753970989	-0.06927019899827208	-0.035329822620791596	-0.033660319759005075	-0.05214310413704848	-0.07347668219912543	-0.05690906095290482	-0.05650707085839554	-0.05701495685152033	-0.03250403963520232	-0.10737496112500908	-0.06892070258785093	-0.07201858178605058	-0.06937413383679009	-0.05104481511074477	-0.035084803074036774	-0.057666557661086526	-0.06273054747987139	-0.08517199637781148	-0.04533181995452362	-0.058943545303070055	-0.044063097244272986	-0.1086338770950302	-0.07865698857580966	-0.061864262176436036	-0.06563687237583427	-0.04883843480831773	-0.034838631693968114	-0.038880439616129914	-0.10994747875289076	-0.11468097403023358	-0.058034752410405316	-0.06897607367937728	-0.06965254427279646
1.0	-0.008525150425150285	-0.026586341814236247	-0.11257847333614829	-0.11443874798163073	-0.11763686303779314	-0.11774947539695951	-0.11388685658878059	-0.11741744836177498	-0.11476954605959791	-0.11401721524494249	-0.11821305871478485	-0.11887149225810162	-0.004679782286282574	-0.0484847370954023	-0.06498825285615725	-0.06281567162506393	-0.05132109460683876	-0.027029417697045643	-0.05448235071430252	-0.06304076200898359	-0.08087038423539641	-0.04313782137143568	-0.1184768095866578	-0.11887145511354555	-0.03193615314298531	-0.06500022636779251	-0.05938634242200777	-0.07982223329863092	-0.048359365731348636	-0.01767587766079942	-0.032685367865361914	-0.0748812809532427	-0.07424263447843352	-0.0314229819855017	-0.08812950489464608	-0.053212188179004805	-0.07654137969688649	-0.10757299244746973	-0.10000478178241154	-0.0871048347131661	-0.05613948327520599	-0.04078829593544353	-0.05595391694126395	-0.09437048547738247	-0.07838292140638131	-0.08527892139501803	-0.08820712423480853	-0.09013237629665544	-0.11099251628540896	-0.10617582153257943	-0.06880221517359963	-0.06094531488587265	-0.04404727030560862	-0.04652847378853475	-0.07407480545777761	-0.07479729662481388	-0.05140715469206897	-0.04992593590401678	-0.0683216998810729	-0.06204163927863843	-0.1113688003688908	-0.09768433733595216	-0.08548403673618732	-0.06810691905168659	-0.02678962141835506	-0.023617872746463986	-0.0510558074495695	-0.062211005868147234	-0.037193053479697424	-0.06160207843121804	-0.05864507157752252	-0.035570346742698655	-0.10403000282974761	-0.07413639217653756	-0.06719012446272962	-0.06518636531884986	-0.05082584854754213	-0.04482989186481212	-0.051950702454809594	-0.06115389480400177	-0.0936451270633169	-0.03766316096605732	-0.06011199421813257	-0.04263961955831358	-0.11094798968557373	-0.07968040340451168	-0.0685887997459372	-0.049950864906712245	-0.04390311987794343	-0.03539841944342559	-0.037810297807030935	-0.10381977477369278	-0.10676551763765163	-0.05418271619380627	-0.06976155847626914	-0.07401223568029106
1.25	-0.012123396595000613	-0.019274708586576483	-0.10802782619216256	-0.11338926118061435	-0.11802172017053564	-0.11781603562456408	-0.10947652039005312	-0.1134222229941135	-0.11484258011830331	-0.11563316307372443	-0.11803034749558652	-0.1186778714876561	-0.009007297029196115	-0.05356109891153671	-0.055145807260379015	-0.060036571973396624	-0.057955131253521	-0.04287963003593287	-0.054011948622746886	-0.05274915393033647	-0.0853956476520441	-0.0418542625950199	-0.11675998813955255	-0.11887145511354555	-0.028654063990778744	-0.05701435274340927	-0.05240307462539545	-0.07290296442958333	-0.056030563920062115	-0.03042812268995554	-0.01775477837067263	-0.06832596983395478	-0.07288814862953275	-0.037695532199631676	-0.06920689803746843	-0.04730062628293191	-0.08122090456431486	-0.10727488130455012	-0.08661714582596655	-0.07804252309350238	-0.05980617088595036	-0.04606309387729046	-0.05218766113463824	-0.08941905030124331	-0.0800375690790438	-0.08570796829680896	-0.08683205242025918	-0.08131334750481378	-0.10551850466884952	-0.09820783859406149	-0.05527669928211537	-0.06694234575642966	-0.047748836157105956	-0.04272819113849757	-0.07094291846465547	-0.06464437649335483	-0.04401028353795461	-0.057698387769856446	-0.06826110946521838	-0.0386472236983767	-0.11271161315629943	-0.09666973416956812	-0.07586127524550948	-0.06403142588130098	-0.028483000084601695	-0.032778812514031974	-0.04592522061759141	-0.06020498558979101	-0.04718485256698213	-0.048332019264898385	-0.051486899440401634	-0.029087470474381316	-0.11050436466779082	-0.08133448803402762	-0.07449407829982996	-0.06310077112786033	-0.06598195664766288	-0.039250618290153416	-0.052704659069582105	-0.056788213667261805	-0.09460720573837719	-0.05932469710525848	-0.05798793546214229	-0.04435923409439779	-0.11395534549302333	-0.0862135109480135	-0.06071155591487973	-0.04957910023740597	-0.05482260407055892	-0.030276484061981024	-0.031287028950684526	-0.09866832848988327	-0.1123577334826324	-0.054375005350180056	-0.07097553564288234	-0.06527232955489934
1.5	-0.0009427214603606182	-0.014526337707724879	-0.11095940728460138	-0.10835831160306494	-0.11630430986899842	-0.11900597843661748	-0.10381702715865856	-0.11328032985758099	-0.11305767192489174	-0.11854606115240612	-0.11821305871478485	-0.11748397649097062	-0.0013456996261149157	-0.04206181643183676	-0.04378391076402971	-0.04244549075379761	-0.04199550322512979	-0.04048844536123991	-0.05681262003099083	-0.044913708902734994	-0.06892570288931121	-0.03721326131125896	-0.11722252975475969	-0.11588946945217296	-0.02531685585921123	-0.05361536423188512	-0.04199288192318007	-0.06468736184749083	-0.05129857761934936	-0.03374582817086369	-0.02663535380769888	-0.0685046192544077	-0.0696200747743814	-0.05421985567363055	-0.08074767301171987	-0.034488313216267	-0.07759901645414372	-0.10620083942149622	-0.08147535211141416	-0.07765388452345573	-0.05949130159310154	-0.04253655540718715	-0.05506168726790997	-0.07321224041716223	-0.07301977112241959	-0.09356667567911986	-0.09521082955674737	-0.06154887226071609	-0.10597186642986087	-0.10798215032514588	-0.04857562769053242	-0.04214226320230252	-0.04576979640546519	-0.045069291989979554	-0.06311645831431828	-0.05458766929087597	-0.044174454230674676	-0.058086608923285155	-0.0620547815423069	-0.003397783709162494	-0.10929389479604312	-0.08614979600126199	-0.0648697860267197	-0.05142512024875062	-0.03015043511691956	-0.024270537549763216	-0.04812258194862673	-0.04744285549557381	-0.041248425354161844	-0.050046237699178986	-0.04094512250831556	-0.004010670686115325	-0.09906223679425863	-0.07271832200861822	-0.059381377821201675	-0.05330267363808039	-0.04860012086305837	-0.04818628733200525	-0.048987015690613755	-0.04899653295145545	-0.08290785927829578	-0.0443499274332152	-0.052719675865702476	-0.00846202327944412	-0.10638929206742237	-0.0783759549263901	-0.0501539674185682	-0.03348738635830528	-0.042302670127952136	-0.032182885039458264	-0.020474372606637314	-0.09361104589282052	-0.10778538338976112	-0.059662568042334	-0.05690190358755445	-0.044424683172073376
1.75	0.005739453663844485	-0.016688230806965354	-0.11124260316055318	-0.10404629289274636	-0.11563094998723722	-0.11816095009244754	-0.11455147749645536	-0.1157026221744629	-0.11280326980585384	-0.1184179975838692	-0.11894054961418482	-0.1178892931146017	0.0055883389499897795	-0.04553663309817285	-0.0588416558073058	-0.04374139127149468	-0.038379850591327036	-0.04081820737737102	-0.0602279281899189	-0.04849490178545207	-0.07838708071241049	-0.03460669766892821	-0.11847695886134973	-0.11728420745361476	-0.021185716292109136	-0.06127280318983511	-0.04158786941766729	-0.05918218500226671	-0.040479255505189826	-0.02704551741687783	-0.028614323291185628	-0.07237332445349032	-0.06581463745995725	-0.03809040774767225	-0.07399114972949233	-0.028769125364499826	-0.07052604380712962	-0.1048918025753684	-0.07858505347982084	-0.07050336968361942	-0.04904500795382577	-0.0494784679410214	-0.05576114092459791	-0.08370207771775065	-0.07155810755626912	-0.0804777564077202	-0.09075993498016868	-0.05692238140436934	-0.10031231614899783	-0.10296576995367435	-0.046365461266520414	-0.04487733954402301	-0.04147931338506472	-0.04970431453426272	-0.06700959372691595	-0.05361517456568565	-0.03783108414460712	-0.055285802716185134	-0.06475756362629176	-0.030818313836759814	-0.10921050791870304	-0.09321845375490445	-0.06103117270738176	-0.049717273113214056	-0.01687990537179279	-0.03097566616251418	-0.05710344692976102	-0.052087653569211634	-0.03549812008819203	-0.04923810396904299	-0.044116845535432936	-0.008238991729710543	-0.10238551638928334	-0.07219598668964644	-0.06020117928616725	-0.046151588731984106	-0.0454669813616172	-0.04320007866836306	-0.053546217051025136	-0.05229033543774675	-0.07191329872199248	-0.04160027725396387	-0.04716836812806552	-0.009217970468390846	-0.09981694340835987	-0.07564827802225807	-0.05014764477062089	-0.03176386148191529	-0.03760943788877996	-0.030096278930414666	-0.030770860878346074	-0.08896293897492466	-0.10967547194372837	-0.047696662058409445	-0.06092494264689188	-0.04343295656006707
2.0	0.016523093292216295	-0.008109857851416769	-0.11422689472775349	-0.1128605074537598	-0.11775669450112089	-0.11570093209824067	-0.11483712836012702	-0.11841444375043667	-0.11478162251162266	-0.1163218648590483	-0.11861543193795213	-0.11919911017107199	0.018844647427925687	-0.04592578812702547	-0.045160855468401595	-0.04072568469098764	-0.022138067439225806	-0.01919541664612129	-0.054010218639275076	-0.04572079443350763	-0.07883548568620519	-0.012585052091206195	-0.11808091179306598	-0.11926451975624933	-0.016588957625567224	-0.05038500191713052	-0.046632962180200244	-0.06879841286475522	-0.0383319562045954	-0.01479049128407156	-0.020202820545911437	-0.0814860077471819	-0.07617673522532112	-0.03701518399478426	-0.07036176171843395	-0.05044512179342692	-0.06812658323513623	-0.10116321652670329	-0.07204938262375649	-0.07112553861765472	-0.04455363067920387	-0.03387004279392003	-0.04972733522839562	-0.09180515815397786	-0.06811757232310281	-0.0666419909405713	-0.07809765586828704	-0.07847606991287859	-0.09355682201769885	-0.10526134006714213	-0.038266147527239336	-0.04143852113930724	-0.027658852832394776	-0.033348197875536	-0.05318409559176435	-0.06352407465561863	-0.0342690387271265	-0.0410536580262455	-0.048537254085181	-0.02277119042506992	-0.1018650013526469	-0.09830502759923662	-0.05925736449247629	-0.059059694661210804	-0.014071555473363084	-0.005360886084609273	-0.04380961465581196	-0.05756078984892812	-0.039509942046998314	-0.039373491334107114	-0.04379975378193818	-0.01156538872498658	-0.09976650536303325	-0.07341182926068202	-0.05548826250719083	-0.05643707280550361	-0.05046269585697688	-0.02910779149291537	-0.05024141094999113	-0.055377960103101476	-0.08472862085486371	-0.03210412945329266	-0.044050894184107126	-0.02988389941841152	-0.10031525556669593	-0.07328226439610594	-0.05150410210674644	-0.04250666778517126	-0.04163263538531675	-0.015255988402823661	-0.016418795172139455	-0.10006960244503443	-0.11089517915362909	-0.04109834789418704	-0.0601862133883293	-0.053148704438274574
2.25	0.015174181504571504	0.016750781820137006	-0.1161128525988141	-0.11630270699953843	-0.11610966917275584	-0.11742092043888694	-0.10438378561286443	-0.11203032849345951	-0.11497169929034981	-0.11768835462650964	-0.11801474685652596	-0.11589862779475282	0.007823167766315975	-0.029334356256993155	-0.040011603923666594	-0.031696206985321884	-0.020784425540554763	-0.02732537402363827	-0.0442900682473964	-0.031049627709098304	-0.06800996659191147	-0.013937533746082142	-0.11703141097237527	-0.11366935676515924	-0.00977219838989013	-0.043670437648396565	-0.03755539783859385	-0.05216113639499803	-0.03938855278080511	-0.0066659493929884794	-0.013985617805356176	-0.05322035525422342	-0.06294292470047788	-0.034630676169505936	-0.06082976059082726	-0.014526340990343056	-0.0779286754065644	-0.10394061240293465	-0.0686034117756858	-0.07027178201107509	-0.054502384145856175	-0.04052466494122697	-0.04580576441680606	-0.08195972918847899	-0.06641161665784684	-0.07708222922945984	-0.07292125790193804	-0.05151978713614053	-0.08298153492900279	-0.09188058337837418	-0.036137051796421515	-0.037035920838271175	-0.026580682087378904	-0.03591186251041928	-0.045103565876817464	-0.04298532363208374	-0.025048215740618995	-0.043671623179887986	-0.03971180557736448	0.010484446012843651	-0.10498915995767788	-0.08468988536684338	-0.06019454370791197	-0.05918290712276136	-0.01948213244857211	-0.0013166579320329497	-0.035967254286714434	-0.038277790500779174	-0.03015585854805819	-0.04110333530064342	-0.038093803569203	0.007907150867941914	-0.09257850326238765	-0.06148517482391894	-0.050243124185308574	-0.05152286482894697	-0.03791772788807718	-0.027440430315068765	-0.037007249329445435	-0.04400251047599496	-0.07847076309402148	-0.044034622991536376	-0.03154777796853242	0.0011695595002795822	-0.09659363926554906	-0.05637767481730052	-0.04532612951916176	-0.03280947534977796	-0.03940872196730666	-0.010311908779321421	-0.007266080796009822	-0.09148302025829327	-0.10555782631927452	-0.044588943809678316	-0.04867565846843419	-0.032334634100548154
