	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	-0.144421923963243	-0.10016012569075389	-0.15219362131616954	-0.15219362131616954	-0.15043579331746665	-0.1397635020407863	-0.13443632097323793	-0.10931481199725857	-0.04479187074896318	-0.05819728007292829	-0.054983595404255015	-0.07853574851066547	-0.08702592447134638	-0.06536470516438853	-0.07124509503424314	-0.0733773311856698	-0.07036372253212536	-0.05159879740071738	-0.03766593800869111	-0.0337690834868406	0.05494898668546794	0.04425043043160931	0.054069067119572434	0.04680885032015586	-0.08623139283003012	-0.06477143643333538	-0.07439523418823762	-0.05832097345553172	-0.04999998552888363	-0.024755539611193977	-0.036050034584997226	-0.008779813243041945	0.029487928065690838	0.015060766897150246	0.025288077627268868	0.05270958302070966	-0.041735788676595664	-0.06107027696273848	-0.08291377056893612	-0.06203816654951744	-0.04894373586358425	-0.03378856950835457	-0.023613403811154288	-3.725936696691301e-05	-0.032114114290226536	-0.024471915410346046	-0.030850510281004606	0.056510790029012214	-0.05013322803100556	-0.03983097808753466	-0.035730747181729305	-0.04691566309017042	-0.0272240906606801	-0.00677406653590229	-0.0115003961681594	0.007306551791521121	-0.03798216503449919	-0.032923898335399826	0.010496785754319282	0.07000646539162764	-0.009747503145140668	0.0020178164305671986	-0.0013885768815667388	-0.0007368871317981474	0.030961864913881032	0.061796939406804585	0.025183186019809678	0.042850146626714436	0.035925937244830675	0.032968363889154084	-0.009853959698334525	0.08578853612257348	0.016995116384670828	0.0003393521726599569	0.022930554915055745	0.029198407750786692	0.05268933419494509	0.06470772445576717	0.05421837247662903	0.09258039976739513	0.07608098114164058	0.08677510906718316	0.0616088479375973	0.07652212899880811	-0.0047109683559314885	-0.006974054596289692	-0.00724112644478736	0.014768806100721565	0.015261145119776998	0.054592836919576004	0.062391892907852686	0.06589911054873904	0.05376927914543733	0.01533465002623996	0.03571710890187413	-0.056663874427127725
0.25	-0.13819382446356332	-0.12366620773568726	-0.15211327980235573	-0.15154981140704782	-0.1518720505141744	-0.14610370324855937	-0.14343961332602034	-0.13135025608730583	-0.047143880786362835	-0.053725415244471664	-0.05280176115484503	-0.05973986692675104	-0.09409805849711778	-0.08842868406087284	-0.06922353143284743	-0.07037917898875806	-0.0944225798709799	-0.06707868619915142	-0.064758354189145	-0.05084262357440228	0.055468321466299264	0.045080859627111	0.04594690149499442	0.04937435167913645	-0.06266652309345322	-0.08206907234862065	-0.05355869052003259	-0.05624203970820968	-0.07357324776943525	-0.026652987954054796	-0.06071354377690252	-0.02405787665757758	0.030550179724448345	0.018956112191508445	0.05293122569336289	0.07086282515220471	-0.045572391484557884	-0.0713224339690044	-0.05841864421319187	-0.06072934434911009	-0.07668698317055778	-0.027933839633282553	-0.062008510255902594	-0.01098344649888583	-0.03270477393505872	-0.032289756439788486	0.004766744166987691	0.06734438641954416	-0.022106164094203185	-0.059504658427698365	-0.021367943716888882	-0.04184951688906868	-0.034975756791517154	-0.006695421022779147	-0.021496336375048053	0.010505337460653796	-0.0005602432284534387	-0.014814506137354022	0.05672578679688195	0.08955796311651737	0.01445545028664591	-0.020657527665192688	0.004791601931029343	0.0018688238553039582	0.0034426147590346234	0.032699873658675604	-0.010533481613025808	0.032892425411661985	0.02595446029932874	0.015722367872062215	0.00857188285159699	0.09191264697128027	0.040234224206133706	0.03289747059901177	0.04227243384036822	0.03641181138957944	0.030191935312856077	0.06844508355840367	0.020884880724928945	0.09218840474402751	0.07999001984193582	0.08652956409217388	0.08526387868758706	0.08878016024046181	0.0032357283632019618	-0.03404029632715483	0.01470460935650858	0.002471756264088354	0.011078809050141747	0.03942655426300229	0.03369139804638016	0.05415032401978487	0.07209490261331214	0.030480111358633988	0.046249221806515084	-0.07311087096314728
0.5	-0.13116893155245418	-0.08761967001143317	-0.14954382868648836	-0.15203291933226765	-0.14816849585737407	-0.14223250937772397	-0.13907279066416212	-0.11525062749002135	-0.04781050272726062	-0.03652501390290841	-0.04010528149863596	-0.05578760619340856	-0.08160172420600581	-0.06356659280663357	-0.050271552952480536	-0.07803212103979751	-0.06616451889855146	-0.052218906717976576	-0.051636717406603194	-0.035411348863098935	0.0342500854697097	0.06759129003812797	0.059490512771575854	0.049561274137771394	-0.06615222778794233	-0.04639696832523227	-0.05800505845062187	-0.07146483473168874	-0.05124499060728521	-0.023376808662719517	-0.04213726947750773	-0.0033229192276776343	0.02979240398758548	0.047235167476377404	0.05216506738260557	0.06267806298535711	-0.051711812652762035	-0.05086650874362758	-0.07573833815953962	-0.07494953757093425	-0.0551033080603327	-0.04738576743538314	-0.05280913248230423	-0.011613961354375979	-0.04769685782824218	-0.017234339060146542	-0.0021001417580479576	0.056401795718417136	-0.02604615381123554	-0.00994496808834433	-0.0148072325049457	-0.04429396214511533	-0.024040713603329045	-0.009020894297015802	-0.012061359611375666	0.016838628885340212	-0.025574150952232366	0.0003198272362210375	0.03567754914131144	0.08200248483294142	0.014844886937313617	0.025304941038350404	0.010330979052157019	0.004608530460420812	0.03294642025598066	0.04206032268393739	0.021238248761924317	0.055088103161002044	0.028319111908048644	0.0485869171467615	0.018869353683493906	0.11326340517302919	0.026003328145731197	0.04708467041356429	0.030200326982783687	0.032031332436265714	0.05444453136213506	0.04962643753256063	0.05040001160690627	0.09893973659229655	0.05954805819730041	0.10693672193639997	0.08269999124130728	0.08829494068143678	0.001522780700238091	-0.004418352113137403	0.0028905757032824386	-0.003205631938159037	0.037042460603096516	0.03803812873880835	0.06077510156242644	0.07339541948302536	0.05692974676962054	0.04526663407860915	0.052656698703466176	-0.05589437533004371
0.75	-0.1359324981467102	-0.08138892005875276	-0.15219362131616954	-0.15211327980235573	-0.14889346709826762	-0.14823367425357614	-0.14534765802122002	-0.10475884637756078	-0.05471181594762048	-0.05566820785696819	-0.06619828940074285	-0.06680720010414093	-0.07598718337050986	-0.0423784695319141	-0.0642112154344735	-0.06908103052235176	-0.05660734894240971	-0.041102971767469076	-0.04273045903906442	-0.02029968903206808	0.0405872679120996	0.05486805520778265	0.07672049415199284	0.08484765931221266	-0.06368425981932668	-0.04246872758325354	-0.07334719190013217	-0.057671367658185035	-0.05643253827377176	-0.05063864773149518	-0.04072737159668399	-0.00965364795408341	0.014909297607616223	0.019001563347692818	0.053359837335431315	0.07648473559045837	-0.028690188370302072	-0.055473458733296954	-0.07284940794361539	-0.04557434082079875	-0.017259856460466627	-0.0316547706647296	-0.041385606385467344	0.006938245062330983	-0.02370528034991848	-0.016775185570960027	0.013136554123601207	0.07751555317547837	-0.014076848975745015	-0.045654893848567135	-0.03634750152838634	-0.028525602586528365	-0.0192318518647297	-0.014988657833056196	-0.008665641277612823	0.020027499609749866	-0.014057934289661844	-0.004926862067703819	0.04252412074357764	0.08882927263749202	0.028055940401540636	0.02149286503904929	-0.008396986717377597	0.012675500334641987	0.027137821417626717	0.02642643909340986	0.03566265177264122	0.04587473868417796	0.02389240697268641	0.024603309256961803	0.022253624038018394	0.09995565080957741	0.049542850420163986	0.046110803288277824	0.03425344312606765	0.048477586405831385	0.06581416173391114	0.04776870782050241	0.07560960472908002	0.09334145366701868	0.06772759989876836	0.1059173590876546	0.09093498601504063	0.09605707819696091	0.002009052529180877	0.0005495403488669504	-0.0004506300250991524	0.0010202562123314274	0.04386438896214301	0.03478083115723424	0.06184296097969727	0.08261454652120653	0.050446531669052275	0.03759661554802257	0.06711801218753183	-0.05659352657355815
1.0	-0.1304377165359138	-0.09780046546601323	-0.15219362131616954	-0.14873776367745978	-0.1510650120807912	-0.15211327980235573	-0.1384721163041342	-0.12007472922084278	-0.05090416793923208	-0.06017935228745008	-0.03251056260105911	-0.047535644068845806	-0.08669024297724542	-0.09751507297748618	-0.06412191394982564	-0.07425194286010833	-0.07824806818471342	-0.0477536467605692	-0.05400433285677425	-0.050712341302712904	0.044051100909280605	0.04713582927859655	0.06584069997598113	0.07603267635826133	-0.05835385560930029	-0.06589478675751476	-0.06519863530552561	-0.042406992852345116	-0.05358637947998102	-0.040965068458074794	-0.031108055171211846	-0.012435169506479327	0.03351357295219676	0.04240908451878417	0.05248401373244044	0.08325710043778906	-0.04149581679038328	-0.07021248891734216	-0.07635249185278475	-0.0490830916330951	-0.05171965872406542	-0.04575290826790823	-0.04803723305551377	-0.02314930519043007	-0.04942516232263122	-0.017289992977611135	0.01359770868789395	0.07366064223379426	-0.029729468905006662	-0.044410280303723126	-0.031063385562617896	-0.02762817473464918	-0.023552388246528277	-0.022208780074560452	-0.005116814486743337	0.014439896085540027	-0.007808061918667286	0.013746615873827916	0.03385661330363304	0.09678956627462892	0.007691002463657226	0.019647415009795333	-0.004594591376451185	0.009054748366999765	0.024503033103982108	0.025099535450645638	0.024421672235792558	0.021615599522765983	0.021871891316010472	0.01955745231549394	0.017726719416374548	0.11066706949893462	0.03198244818524404	0.032388642034005766	0.045468466900522586	0.04159168029813459	0.04818508880864375	0.06251149641028014	0.06294130199727183	0.07969714722527205	0.06670176475067863	0.09699763993575433	0.10738709473142544	0.1092527150526183	-0.005414519922223915	-0.02703155098120924	0.006399921655689367	0.030392248159278157	0.021857621004473693	0.043337162537281204	0.0566410678833103	0.05754821386418679	0.05601452035162974	0.06247001122939061	0.06771350997917708	-0.04614875972823179
1.25	-0.14749668676402983	-0.09542993570639136	-0.15139358544896592	-0.15116178133824687	-0.15195240340820093	-0.14242683194379102	-0.13312177155533433	-0.1388766166297412	-0.03677516930626523	-0.037540932714340225	-0.05937307827600985	-0.06565382481290799	-0.08418940080375353	-0.07277355000805402	-0.04270252398355007	-0.06251047809806265	-0.07360587430978677	-0.032924918613602916	-0.03197015479550874	-0.05453883913950236	0.05779045607052441	0.06996302555953265	0.0636452043007773	0.0606115097199828	-0.06139362823971101	-0.05932972129189701	-0.054361803453190305	-0.052270830215982556	-0.06368922152382273	-0.013434387718828045	-0.02967181611111791	-0.028028084457767388	0.03466203292562625	0.056540418659597746	0.05823782663897609	0.07880662942864164	-0.05231886130280833	-0.06243847086731841	-0.06050961763096441	-0.052392482074358204	-0.06352647137925105	-0.02279950607946518	-0.056639015708646046	-0.039874453537901755	-0.04205189115323543	0.004484635153583383	-0.005101065841737307	0.05975833988575846	-0.0408676933880191	-0.020489612988682127	-0.02128561165129228	-0.031112125117209177	-0.03619345867062468	0.010866955671692657	0.0013766626151640038	-0.011515130953320962	-0.010996287967499352	0.02327935799619102	0.02433213292718034	0.09339490633277842	0.004288808037413938	0.013485275760898141	0.014652881658419104	-0.0034487899358057184	0.012487851842320319	0.037823464048466426	0.018740414520148685	0.02415374116125707	0.039771294478748775	0.04568277087702116	0.003722048675920797	0.10792303070334158	0.023783946090987163	0.05278317007450123	0.03629179537031785	0.0432486453200967	0.05996389299487043	0.07700584848041575	0.07211276800237693	0.06766862402785462	0.094552111034295	0.11819831051748314	0.07470648489187787	0.10990007375998473	-0.007350963320769066	-0.0009058542871636655	0.013756331961187585	0.007264244929812647	0.03141979589276628	0.05423638731593089	0.052699308943284395	0.0457271196802877	0.07224258249460386	0.05824228390854996	0.04671888656780748	-0.05080571507881293
1.5	-0.13055129286001	-0.07867632437263555	-0.1516301487896743	-0.15219362131616954	-0.14807469588119804	-0.14431030614164952	-0.15082138982702292	-0.11831954678602619	-0.016190595468537183	-0.04099547742592141	-0.04435842316325311	-0.04186788400495001	-0.0687390016987926	-0.04904903275986994	-0.04467522635308985	-0.08596256249004791	-0.0527527764506609	-0.03687792105060639	-0.061366029081083295	-0.030486473921068957	0.0751547071060133	0.06207253207283431	0.05780120977825859	0.08981191105365921	-0.05098888005095881	-0.049243269021404745	-0.05938693860431182	-0.05320397927013659	-0.030371838258410055	-0.019294626479472776	-0.02802031697694074	-0.004545649584413447	0.05951392696627317	0.036721781944430265	0.05413556267741321	0.10294110508683058	-0.030056471319090172	-0.04657079056448665	-0.07733233941663775	-0.054613704036696575	-0.033494857587401894	-0.026993590664307343	-0.06296894701140582	-0.013368554084835227	-0.013827667934851295	-0.010776075438394483	-0.010260804997050232	0.08910886841289728	-0.013300180190961297	-0.01596444140179204	-0.01946852534642507	-0.021566012023029657	-0.017926040815574806	0.0070800230128864605	-0.015664767707329275	0.020510394978789537	0.013555042903134862	0.013722729994899596	0.02990642498046131	0.11474577205383613	0.006540529803292505	0.02823342269696244	-0.011491777294832806	0.012120542286627678	0.01691941662087354	0.04272144181216758	0.011024148803325085	0.04364915308833622	0.04757577926238349	0.041962698035042545	0.008181044618856659	0.1261002116557713	0.05305414909894873	0.05780790633638738	0.04864504406787734	0.04565455588180972	0.08491415320962464	0.07588257852281605	0.0663557472260004	0.10532871940516092	0.10596795303825185	0.10588796830561614	0.08552988873659811	0.1281602049348985	0.009156263905601258	0.008871552342417377	0.004492989719030616	0.020706691626047047	0.03630892730506613	0.03300162128904355	0.045640566962537765	0.06845504499177685	0.07003705622119166	0.056680563497492675	0.07382767997446554	-0.03132588413776538
1.75	-0.12215529436734318	-0.07124842917144891	-0.15219362131616954	-0.15123523697908448	-0.1465266658080085	-0.14651543593221505	-0.14417099376467746	-0.10966088974289556	-0.02559798458019069	-0.04348209215383059	-0.07154135111857285	-0.038698457379990836	-0.054974297220156565	-0.045677050063593405	-0.05949582293335243	-0.07135154337907329	-0.049644285831410784	-0.036533494192165616	-0.05070036318683441	-0.037228672033263244	0.06715185925655714	0.06522721213077082	0.06101623067283307	0.09386613765460022	-0.02678431374542173	-0.03572913862368382	-0.0674665373446997	-0.03590730628362687	-0.027115122606705788	-0.01857748582725194	-0.03185271186317523	-0.0005263623129737605	0.04935846459365151	0.04838530816100234	0.0740602916962318	0.09212329109259126	-0.01616974664096954	-0.04261001224583699	-0.06974934201748895	-0.03925894636113364	-0.026998031124190636	-0.027009974220158828	-0.04764523728314518	0.0033711396865376275	-0.0048589903793510025	-0.0013570148261324855	-0.0049566759167885555	0.10217255664046904	0.012976624817555071	-0.0040634203343764	-0.0291322575114476	0.00013043112466126772	-0.016996601061974703	0.012926410547152878	0.004011607250547666	0.040436860802308516	0.009926885398919782	0.01453469638686783	0.04039816363118859	0.12957632561905114	0.04177055860783169	0.03432281515334251	-0.00046053691131919816	0.0344742378341612	0.027709102474858416	0.04877003158002208	0.025014237344489987	0.05775322035331748	0.0625506236199827	0.03372614942991764	0.022595068334845425	0.1354449395076514	0.07407382807287793	0.047139216804785555	0.04083639294078273	0.06275514681490374	0.07312383389896299	0.07130881594474209	0.07473816366389613	0.10169157551440317	0.11400987890813424	0.10641996469083975	0.09853127470414519	0.13547442291477402	0.03479411804526372	-0.011408664889078657	0.0030920550224175503	0.03585339464499321	0.05310814481946663	0.04884313669237644	0.06236729087355414	0.09598576565781608	0.08528382206655422	0.061463922463539544	0.07133328413000434	-0.020880801290398265
2.0	-0.13458716876304339	-0.08871416958868406	-0.14938241135589497	-0.1514775560373195	-0.15075570004016614	-0.14247257427746446	-0.11823477479094302	-0.13012277642513254	-0.0397004032725114	-0.04603838451854886	-0.05514242861769514	-0.05794918250945408	-0.06060023095687295	-0.06682077332282921	-0.051232890173107726	-0.05654730289705534	-0.06918423710816968	-0.030628522848244466	-0.015859801219856473	-0.030288537637821633	0.064101713473734	0.06956649209573457	0.07089919367808079	0.0786410167846135	-0.044450481486020654	-0.04959479259062349	-0.03540496342215904	-0.04539336195397958	-0.04298732336533995	-0.009317020905966977	0.002964143162156374	-0.0089089776179056	0.04161751518980966	0.053949593969776444	0.09219518574699398	0.08601819139756889	-0.04027369442932949	-0.04447567134839536	-0.051707378719176356	-0.03783365458729132	-0.04667722201729463	-0.011792568275126869	-0.01945547341244841	0.005620616976778625	-0.014215136714105625	-0.004967675784607217	0.01718434375942307	0.09634312001180684	-0.010947061032611949	-0.01712552988604643	0.0053205604478249735	-0.021588574401614324	-0.012097944692424367	0.010596202212837025	0.028034442357012634	0.009389479101939047	0.0022279039643247067	0.01993269651424917	0.05631420997070086	0.10641645844358466	0.03325892608766606	0.027325646083774136	0.02247506974276564	0.03018016424466946	0.018286681843900088	0.0573429719299417	0.05226001338828451	0.028228164605258843	0.04444971187370145	0.06317122910464174	0.026023146110222994	0.12313758845104533	0.03612613611390819	0.04492749245823563	0.04283682286592577	0.058109646211398414	0.06355623693131457	0.10159886755525499	0.10266712739330591	0.0904665206604705	0.10312919848927443	0.12529340562298213	0.10467847146245862	0.11506799101400139	0.014561676389777956	-0.0016177466752179681	0.016524342046596863	0.03743783720365129	0.04346868989122882	0.0700261795716382	0.08135509625806064	0.05467361545214272	0.07737492518630446	0.09141049573262422	0.08136085244939734	-0.04372913437736703
2.25	-0.1132282413661389	-0.07243910431141959	-0.15219362131616954	-0.1464432856416203	-0.1480833988735532	-0.1463583816729952	-0.1426032420943978	-0.0990173010143367	-0.04880083520241968	-0.04298628466069693	-0.032898316794975735	-0.03410781195601609	-0.04594968477510658	-0.04580338337326417	-0.052367316742082726	-0.04212371515245056	-0.04344755230878089	-0.023820882891305184	-0.02152354838554854	-0.00955518546124312	0.06050004707257867	0.06594979059038814	0.07999232921457361	0.09743815146123319	-0.014807230989992981	-0.04683430531731858	-0.04813758328754092	-0.007638229353646386	-0.026347738679186994	-0.010725987164917739	-0.013155008413311742	0.020363149990052787	0.04492822693660964	0.06222046331693415	0.10493062336631437	0.09145729658961249	-0.01175681428079367	-0.03711715008055405	-0.05873584043196989	-0.016530542660552427	-0.016491049825089588	-0.022676700697307206	-0.026511087927532595	0.017210065363675253	-0.02333217351453809	0.006728221169248705	0.04080884444954075	0.09479825337770992	0.012055254851032926	-0.010461656546787712	-0.0034506839033636716	0.02462824506477207	-0.008417166946490695	0.011496981314554289	0.013302837448469107	0.03745367033658159	0.015354284302972199	0.03323955150487495	0.06449333577182276	0.11946256823874662	0.033689536660244934	0.031713297400278784	0.007301238111170505	0.04383714330616256	0.025057467056205096	0.040836571537187616	0.037970302643734744	0.04977896959175271	0.04501407200668278	0.05375445338934909	0.04186818210358262	0.14273168658641427	0.06598439618504254	0.04984854200533856	0.05192343372173486	0.08393295168628406	0.06609625379404988	0.0829946181460412	0.11046493547719244	0.10770653387659707	0.08625583548660903	0.1178247128334679	0.11269643412627156	0.13882462347572372	0.023982927788221142	-0.00985243028630689	0.021616430087897653	0.05697495432021554	0.054427572258886114	0.06479426987042664	0.07899230090833448	0.06959794340834297	0.07042366882081091	0.07622930277879897	0.09258335765934361	-0.05389094210858547
