	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	-0.020379621974162987	-0.06909556537684045	-0.08963403032477232	-0.0690305730220783	-0.06044942835911407	-0.07044821509692817	-0.045961223858305145	-0.04613136698930698	-0.037859368512074	-0.01982069305483286	-0.02290380912607487	-0.03612708777628293	-0.0009525225488897782	-0.02205542961929713	-0.02519703395261158	-0.026644593735266786	-0.040268069914177806	-0.01804797096857841	-0.018974316460499296	0.007256812745705887	0.019403471179847254	-0.0011831698558396608	-0.009074499080557352	0.005619280240087343	0.01243695988443927	-0.02713998756043079	-0.04285456247696695	-0.022098911833910606	-0.029386595418994743	0.002538264341234997	0.03461002374600042	0.04025299350145378	0.03305503262462961	-0.0229904002322045	0.053694737771320555	0.05548500466682049	0.013543965076359743	-0.026310420654994504	-0.027911395681540385	-0.03965901220643292	-0.005643610424025225	-0.00970553175749822	0.03247318905103447	0.023574395914209678	0.02885923616802183	0.043035057770643814	0.019089303082075793	0.036372860917189	-0.0007729606071733008	-0.03471213980386256	-0.05977968039118994	-0.07714772430507158	-0.06935881985144471	-0.06148405378915381	0.003022219745765331	-0.01930119437684491	0.0226857079124419	0.0191075411140042	0.01081827460339041	0.03404811821633941	-0.033391598523188126	-0.05786858767511069	-0.06865671443367646	-0.06703055090615431	-0.028846664795564025	-0.03583398157787321	-0.02710013669043304	-0.0025469842377165985	-0.0047920133304046875	0.009471128948983054	0.0026666315784786288	-0.047712374692299386	-0.043684883151500487	-0.05435584256052356	-0.07299204691892203	-0.07145415076912559	-0.0320419484035922	-0.03703912621125016	-0.029544719149560583	0.0028550727120401076	0.01605968362836352	0.02359006510486661	-0.016328518621140542	-0.028337167759954485	-0.022183139798923557	-0.05157038167804906	-0.06197919912704139	-0.08264458366494698	-0.060416904864057375	-0.04949192194411206	-0.023094483266291432	0.0023767179540323258	-0.013520066381001172	-0.014040608749057992	0.0027061079060691218	-0.03016350879549029
0.25	-0.013745673450139384	-0.07579366997549622	-0.06269098621731417	-0.0599436097698364	-0.06053744631190133	-0.07271475766161103	-0.05565512611058576	-0.04032086984565886	-0.03585750216755135	-0.009237178657059142	-0.028491236377404194	-0.049868948524518675	0.003739782618338572	-0.014100314184624374	-0.001109623217059541	-0.01681648217809012	-0.022852151566484846	-0.007862859492014318	0.002023614902012083	0.03289899000667729	0.021058195396789048	0.016380096073991435	-0.002889806266037076	0.016897879534982452	0.0072850262478948435	-0.020361356642732642	-0.01676680016664478	-0.030153642262020663	-0.01513711614235902	0.0016431216085791567	0.037896439783911995	0.030348086581610756	0.028598452305116095	-0.025218474226144816	0.0664460158236746	0.05202756579822593	0.004716006485135926	-0.029386870591741165	-0.029431760703706844	-0.0321924517384225	-0.004321626866104544	-0.017010227504249853	0.02598732015177202	0.013688690514731594	0.015198154487740756	0.03403661759011711	0.028835535404747425	0.03636795267872123	0.0013946041320279101	-0.03806005698385828	-0.020318045043341726	-0.0783624292964481	-0.06622345366683577	-0.06425023411256461	0.01415135156647468	-0.007184521840647218	0.04225647954785888	0.027585500709436606	0.03118544908666737	0.034004105311227384	-0.03625320679961791	-0.06598594035736466	-0.06290964194311569	-0.07747014979724043	-0.030882207861943123	-0.05668999286735929	-0.03350131729828337	0.004216708965370908	-0.020093497991675757	0.005529726755769293	-0.009937445539084488	-0.04971090870978245	-0.0415390870271482	-0.05558352474256276	-0.07036181196803329	-0.06760781830193738	-0.05854334543583484	-0.049454731265347496	-0.03795753897574328	0.020772495746414488	0.0033981819196817753	0.015043310924144293	-0.01857675070835907	-0.029627675307137336	-0.022763245107045083	-0.05024281316463003	-0.0672418647242932	-0.07908067458613424	-0.07029671332202891	-0.0536634489249212	-0.04295136706733049	-0.00039050006992685793	-0.009272322352101903	-0.004611656117953888	-0.008203384284418691	-0.03421547770214478
0.5	-0.026116142220214356	-0.06116615294359609	-0.05789836239444357	-0.08181759434746266	-0.06841390565616096	-0.05412866930794563	-0.042657234413679135	-0.05334030010037771	-0.03713374154204718	-0.019375088140867414	-0.04635822837458614	-0.07256626852373191	0.0006286318192930129	-0.005980052161709437	0.011112986605567365	-0.03117437574869336	-0.027206577298277024	0.006520584945281183	0.008632500575254998	0.004338185762446045	0.01810895973797838	0.007553062396610022	-0.023059746821468052	-0.007826848670955067	-0.014056520013843221	-0.004373975028857224	-0.004242883009167808	-0.04061930986008183	-0.025088562353945187	0.01604646113216185	0.043119195528332876	0.01878569993369189	0.03948727268065888	-0.009083246321401228	0.047612040433319514	0.03584384043967176	-0.009911491553064533	-0.01717150111591559	-0.01841641932182686	-0.025326606761214288	0.008367864168212391	0.0038799212735872723	0.04548023967612319	0.018312107656322907	0.028394182702292325	0.04476628143745032	0.01534551643518317	0.03379043190140801	-0.02291089894061843	-0.024130822340594382	-0.03131606896813516	-0.0945949631180858	-0.0676304592849569	-0.039454412831650965	0.009346552189765933	-0.025335487812762625	0.050985526904582246	0.020056149264803425	0.015440794411035963	0.02058713524538408	-0.04643865898482219	-0.05163872464224162	-0.05229073816026464	-0.07399626290589514	-0.027951421027095635	-0.03183176391926551	-0.026888661084782106	-0.012080005681306627	-0.0024000323184115713	0.003506632598500925	0.004047244906151493	-0.04491802477301493	-0.058114563699766475	-0.05106958267626727	-0.06609684215882264	-0.08654060878719105	-0.05065773154218989	-0.027011068512978798	-0.02729343648998428	-0.0014840929912230405	0.0207202796314942	0.007219415175748922	-0.031315433117823144	-0.04097991395582523	-0.035942770600165486	-0.03949568292988975	-0.04557063768644365	-0.08614754120633042	-0.05796623564737913	-0.040855477114183136	-0.044178603232642166	0.003277738356014248	-0.005683444972656049	0.0020644686548768054	-0.006851277342414808	-0.034606718105454015
0.75	-0.033036757836808206	-0.07778485103132873	-0.08814852913755788	-0.0869573295746528	-0.07520680355376871	-0.0789265555740282	-0.06477186773205948	-0.05006905420245611	-0.04583321475661789	-0.034415349342967194	-0.059824878417228	-0.054031640320733376	-0.005816405233578736	-0.01688497569316122	-0.006846534343732891	-0.03546032808752364	-0.038456270781459634	-0.011365374266487649	0.0005281899687713532	0.01179635831509901	0.028620964975242802	0.00930990804590126	-0.023352796420348265	0.0007998606613448533	-0.025190611905032023	-0.03454280642857821	-0.03835029541386731	-0.05075898826710312	-0.03873056805090902	-0.023952108191128696	0.03291920640215762	0.023882159513654022	0.020692828396009666	-0.03899935055126208	0.02043209428140108	0.006998460521027816	-0.0027971864698884685	-0.0386237273425839	-0.034969444772085745	-0.05582644504787465	-0.017989015782104434	-0.01004143862353879	0.0283013453459382	0.018792185822808283	0.010311471829374919	0.039025915427473246	0.004111551447050887	0.016400255491222926	-0.020350353322680204	-0.050282655206101756	-0.04462055257469355	-0.10347536304382546	-0.07357974099812276	-0.07351910526108663	-0.00565104124929755	-0.03248369935826029	0.0430352317123443	0.010216998127635823	0.0007365987703278343	0.01585031376157292	-0.05474194392866594	-0.0733964346903071	-0.05852698178917995	-0.06831062413094297	-0.032953424146841215	-0.041976057548958445	-0.032744531967003776	-0.016231311833886874	-0.019390693820612814	0.008828916399681974	-0.007216618640444927	-0.04499171790879475	-0.05453284909281603	-0.0481857209512615	-0.0918779732666162	-0.07495980589415402	-0.04103071001317682	-0.04541091261653207	-0.02701773411307501	0.000813908852473122	0.01891231908893104	0.0097295628958457	-0.034040726892902884	-0.047752965701676475	-0.023763040349096154	-0.055043937052142444	-0.06610690363963923	-0.0906514147418071	-0.07259864374485231	-0.05562106078545742	-0.04204551386514299	-0.01052688328860757	-0.017228347976915748	-0.023958608015318128	-0.021600290492171548	-0.026802770583564284
1.0	-0.027146769531716852	-0.09177439972371115	-0.10425314118440807	-0.09704126972040025	-0.08261710174385795	-0.06783723949619741	-0.06218290364535167	-0.06397067362326311	-0.046420098781951635	-0.04120060884649562	-0.060139807564492775	-0.05887659064067177	-0.010964858819539125	-0.03391671670257995	-0.03753505520012451	-0.03535873725316557	-0.0478812527787697	-0.011494417898393894	-0.0017956458143751908	0.013007977999712872	-0.007543809169213822	-0.0017964261469070597	-0.013381750822919092	0.0035897311350417405	-0.02960802481781777	-0.03902549339891204	-0.04119396729434821	-0.05413715550031728	-0.04296159710949532	-0.024403473841689727	0.030896856687785024	0.011461359647379321	0.011539268081717347	-0.04679931948545357	0.03349601389900497	0.041062313054193	-0.012658101259865828	-0.045727313136907866	-0.04746472056678985	-0.05383765341643898	-0.013192196281926916	-0.017870971796626223	0.02839967861070586	0.00018217146706844822	0.021216619931914427	0.021418159154292682	0.024237762111124384	0.02296597704038289	-0.02629784017757758	-0.05957796662751322	-0.04505406833544273	-0.0996168313126829	-0.07256569005310551	-0.07484044019391373	-0.0028636085382344745	-0.024900421408437012	0.03690386008891866	0.02269380767543766	0.008360674878748364	0.026491641416554745	-0.06144607548288078	-0.05853954241855172	-0.07191801141682758	-0.07563246032413293	-0.024862328220427776	-0.05232420951619393	-0.02035022062227787	-0.010703985676546846	-0.0029979985675055443	0.009681094648361754	-0.006835010470983227	-0.052546516919442565	-0.05319590478755093	-0.05980703599876855	-0.07826659788363746	-0.09781765536332837	-0.04948567955866873	-0.05680161446229226	-0.031442066858254014	-0.002894315790239854	0.003278129561145926	0.002726634617932211	-0.022488817094226676	-0.028218968607255146	-0.026781857142704646	-0.0650776750540327	-0.07059988996725375	-0.0925239640156047	-0.07578088673871486	-0.060227179885934456	-0.04143451793000047	-0.0016318065796013803	-0.02441848874366409	-0.004987726135130988	-0.021352143904542098	-0.030254030519370756
1.25	-0.0015051282062275573	-0.0753670133073352	-0.09504887381221536	-0.07376198053866628	-0.06213227333784563	-0.07417161469068834	-0.052052077522284246	-0.03566855194193225	-0.06318704360864849	-0.030145133904890375	-0.025744428601104374	-0.054861321040808986	-0.0009042815647455349	-0.03951911165594285	-0.028438240689510674	-0.023219164312557883	-0.022807947734217016	-0.04026233031286813	0.003266142557645735	0.00817294422989312	-0.001327536782969263	-0.014257412943514569	-0.024054101193897726	-0.030695629900279964	0.006402983313370247	-0.03035379748606254	-0.049170718912809774	-0.03696944905817939	-0.0302748757296028	-0.010684673437104608	0.04776098519637001	0.020711257563763852	0.0066991865656028105	-0.02796741451782031	0.047770820301267225	0.022257040963759134	0.004049324651032027	-0.03786400167890702	-0.04487501972524216	-0.04050476078767484	-0.006134963475899091	-0.023005660759365165	0.027901146588681758	0.0188251249490054	-0.005917859076073451	0.03280407985859163	0.015369696733040006	0.02194130118419435	-0.0013123405713155734	-0.04800277668124103	-0.05004759700092637	-0.09034832438922019	-0.07586313594451888	-0.06841899799976456	0.02005416726028736	-0.011807888844923897	0.022124672803236323	0.02595677154466214	0.01755439519476215	0.014184032877454289	-0.04009605205218242	-0.06163877668553641	-0.07277894224397272	-0.07394069075644474	-0.040363577816538876	-0.056228432034614834	-0.01607346110568464	-0.00848988572368925	-0.025841621682963112	0.007082597443856975	-0.0033725659391535823	-0.06622336249887384	-0.03903147337528218	-0.05945561982544814	-0.09296797102030321	-0.08165715128511916	-0.05648629158221097	-0.06143690070476246	-0.020893307776874592	-0.006309901156957953	-0.015132264106889004	0.022449298972702425	-0.03630506279466417	-0.04873346076625501	-0.020484098307823106	-0.06341072582804136	-0.07485462306306709	-0.09084174511684062	-0.07140573932389063	-0.06173823607874088	-0.04287050325443892	-0.0019359592817901894	-0.034438473130688096	0.006272802965006763	-0.005066877053128305	-0.047893981304776234
1.5	-0.013664218783839222	-0.08808721977886166	-0.08121557337820737	-0.08872164050861017	-0.08605981014243261	-0.057579683675022225	-0.055612630923783546	-0.05842270886656653	-0.031791032522430374	-0.049283861249291794	-0.03695652225491863	-0.039351386270326805	0.007689881285422362	-0.02558269783039957	-0.015832768771813444	-0.01588627166825668	-0.04701719971297541	-0.005735708906138337	-0.006123692302351602	0.004337243024317705	0.028443674483574377	-0.016756802114880787	-0.026020048338436352	0.012164065304640814	0.0028363197722648947	-0.02502077245355183	-0.020882253171020104	-0.04867689346858195	-0.03953860710797208	-0.004338307367250882	0.02163200909365398	0.022980894577782407	0.03396851388842348	-0.05042163057653065	0.04720544747229122	0.05786620772710066	0.008178102385737407	-0.04497455050990573	-0.023185831135085322	-0.029730419646310013	-0.018821335866249067	-0.00801305457455137	0.026134173742978217	0.01766800885298564	0.029098176466732573	0.033131675338973876	0.020267813023231995	0.04661407600691375	-0.013854316154790713	-0.05758422441965749	-0.02102540785107565	-0.0832303814948446	-0.07827903025892122	-0.04929201316540888	0.004063611183086735	-0.01770038769692034	0.043529762687269435	0.002657866120282959	0.008715313079501075	0.04210191627077858	-0.03420986305753326	-0.07097602389772664	-0.04729937996562866	-0.0733944419637832	-0.016896769550318547	-0.02155937721497525	-0.02753759943270767	-0.01058130388015166	0.009030991138022026	-0.0007504963342916948	0.0009698455864478595	-0.051111098006372424	-0.04041622653519228	-0.05565999920597403	-0.06610121298042365	-0.07956359097686083	-0.05529354210409454	-0.026765408068985974	-0.030992093627199346	-0.005809883146986605	0.016344713134589628	0.0063282809622361436	-0.028218828516718364	-0.03199432888333509	-0.021571100374720098	-0.057949690001349696	-0.04652628594220126	-0.08404281402431102	-0.07037497754697253	-0.03912891890322673	-0.03578993479656278	0.0038584561096511316	-1.67886752371893e-05	-0.009035272421215157	-0.007325022366088396	-0.039512005955172236
1.75	-0.03202595026118088	-0.09836187618472128	-0.07637734131579274	-0.091796093039754	-0.06796009486655136	-0.0633437033658307	-0.05706024418109687	-0.02746332387145206	-0.02750687497729931	-0.05536057507424866	-0.030757518963518693	-0.041237606665610216	0.008233524819258653	-0.02794895581397372	0.01073817625811102	-0.013952205581053478	-0.025622221710958903	-0.0039200649889480355	-0.012132538127248294	0.011871925450744392	0.011291806292319906	-0.012925011150431376	-0.016508325223416442	0.0001316870035141804	-0.010352666782822706	-0.01882095539947143	-0.018440172752621442	-0.04093195063945482	-0.042234051305169606	0.0016684288181666451	0.017500310972145217	0.04678348926418863	0.03138472488904426	-0.039645270151832446	0.06452626101136405	0.04355230756010409	0.0006533148457983917	-0.03925586998334074	-0.026440644134082758	-0.04832756520316961	-0.014903364258856855	-0.0008676051993912748	0.02091345780084447	0.030285709539618066	0.029981844265247137	0.02845263890707317	0.03512590048737463	0.04705488803462293	-0.026390929114969597	-0.05774266241452841	-0.02849560584732924	-0.09821005702096722	-0.06978695677001542	-0.05329659908919754	-0.0031484140119450443	-0.005099176021208185	0.036605009665338695	0.010642316912114091	0.032562544381157243	0.03662406294091014	-0.03607056495516442	-0.06839695916972358	-0.06134104125870435	-0.08432644000729464	-0.026081287212039672	-0.03880386054483054	-0.03356399165043966	0.001315774609645104	0.0022257181919400626	0.009323571022227917	0.012610835386285657	-0.048792908219793596	-0.06010994799191133	-0.06404801679840144	-0.07230602709033662	-0.09350173920971472	-0.059148626447576874	-0.039531686033072444	-0.04369368318783301	0.010451910601284975	0.009762449640242754	-0.0011503664252665025	-0.01927509495037527	-0.04652223456446136	-0.016648622636927735	-0.0620848208492574	-0.05781462753137864	-0.09493831815324602	-0.0679142648272224	-0.06313640077329385	-0.05083391911026208	0.0017225480582178654	-0.012101112318540053	-0.020360541066628046	0.007252607345461182	-0.03610089635478009
2.0	-0.0075172799584732886	-0.08690694215336073	-0.09347328692596671	-0.08214809695861991	-0.07429245984968386	-0.08119125227284033	-0.06340882129076078	-0.05037619196507298	-0.06621123928315825	-0.04976552438926818	-0.04267507077002153	-0.05734587150665055	0.0002277600709236216	-0.02232098487554579	-0.023705644798553693	-0.027525802140621725	-0.040376509674854344	-0.033111288354868096	-0.006660004838927536	0.007255630546697811	0.01158202489693494	-0.008006716233947497	-0.023481345447714852	-0.02146460740302336	-0.00952161542790847	-0.03620199577726424	-0.03770723711759777	-0.03496514750255442	-0.027952448142217312	-0.021336174489850035	0.034497451250388056	0.03492634556412766	0.0014188363127143333	-0.038492456755679805	0.04829339598274407	0.04141206733594782	0.018401824940627587	-0.03153236392752701	-0.03845599747037198	-0.035359632624534065	-0.015344212827665904	-0.01991099329714141	0.03842090243096857	0.02589247368208547	0.0137155423091187	0.03344699535147416	0.02544070291866496	0.03488235231770748	-0.008999514814374165	-0.04255089491636865	-0.05562254858980953	-0.08429082230582194	-0.07864178564373348	-0.07094430427522014	0.023682121313477078	-0.01281397272899959	0.03337488731472321	0.016493177384401536	0.012334553188750597	0.01888699651567677	-0.029062570277167354	-0.05331178483411608	-0.057079355659029885	-0.06831645769611289	-0.024605258963016796	-0.050741370946165154	-0.00932575483470155	0.016370419944154502	-0.014513680407103546	0.01395211025710702	0.007719078516619848	-0.0526370942848603	-0.02638090156767514	-0.05809284133014986	-0.07029192345634142	-0.0748131203884777	-0.059464730748350514	-0.05231192810999824	-0.013811036997113002	-0.003484108397246166	0.007543382945897736	0.026138777228349563	-0.02824198202103928	-0.04753939502219895	-0.010353703949415594	-0.05666833797172685	-0.05613082756816262	-0.07349165218829048	-0.06840202018641409	-0.058623960600944214	-0.03674534253467249	0.005345518005428929	-0.014109596432819782	0.011581128062088941	0.0014710330335446775	-0.04360293116904401
2.25	-0.024402925761646488	-0.08874462477541867	-0.104179981204776	-0.07052128996973772	-0.07422922775790242	-0.08507778761962889	-0.07473989785419136	-0.03483250249059888	-0.03982007317760866	-0.06219827765235478	-0.062824844693292	-0.052861810412060894	0.0037182504322141874	-0.01482732268732262	-0.00016615949543430375	-0.02345499805519602	-0.00795715730484281	-0.012731627169347781	-0.0024200630854740446	0.022943607064751403	0.031783275840431335	-0.006195318887979251	-0.025395843608634616	0.0024999424515939617	-0.008811582273771101	-0.03387125719263129	-0.03357184723568324	-0.03571669035246938	-0.025288916442813225	-0.01340843718552115	0.019722173811034915	0.032540754160023055	0.024595195050049923	-0.044306759389910744	0.040898699136289074	0.048320223171510024	-0.008787651145612974	-0.04299134844195274	-0.04717691236733679	-0.03058713453396794	0.0007121895998684624	-0.012085271912806783	0.029278071534003025	0.026401575723668524	0.020298719310564706	0.03221111248880654	0.005513855462809081	0.0533692803355435	-0.007885863840975227	-0.05305727090908291	-0.04357549722513493	-0.08290557546990815	-0.060374132797539753	-0.05609956943594116	0.015528887767713662	0.0028024529816873534	0.04746892259943841	0.010847482044118006	0.01293451786362343	0.03995705561541707	-0.04264933882809285	-0.06934656061025732	-0.06452011529069746	-0.07492196145124477	-0.01647468343796238	-0.05370006608579808	-0.03325087532615334	-0.0007715055726575382	-0.008166885147832426	0.00518224559223418	0.00038768495869717645	-0.038010310694405636	-0.03608224295984502	-0.06155920235356688	-0.08289854201199426	-0.06693275493717993	-0.044055723257372004	-0.04843877086547832	-0.02898787997413116	0.016502414318247893	0.004714687763524017	0.008350077235983577	-0.032474840629574286	-0.02476689912527008	-0.02212904939844773	-0.06155756265322193	-0.07872665108397245	-0.07839729131875198	-0.06281049088429405	-0.0590507867774433	-0.04251985414839193	0.0017056622956535539	-0.012283100700821947	-0.017959196611153305	0.004885392797038146	-0.022005697152689074
