	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.17429515113694702	0.11990512714609222	0.01380117081474398	0.03413321028096738	0.05055582790237467	0.06927848812032653	0.04493136575442909	0.08330860164550194	0.08857454391487742	0.10481243288376801	0.12203697142312477	0.11223322442789077	0.16794955061492123	0.12117427836680245	0.10613334618150441	0.16865749242416572	0.15846425231878125	0.15753043560064872	0.13327249321519746	0.15241894504187706	0.18791267663453326	0.1931304546185865	0.21358250986894267	0.10267535358298588	0.2116174236361209	0.14561884443766993	0.1724903418984316	0.20194913689318444	0.20015723843187172	0.20432933467806724	0.18620433792667518	0.17476007274075192	0.19020564709352994	0.19590517573676008	0.22298551393468724	0.11484787481248551	0.19817883682953513	0.14964946684648567	0.16662117819245864	0.186405326897167	0.15861453706355794	0.18738909008203525	0.16799081598933724	0.20878779537679054	0.20554983689985346	0.21747218121089426	0.22615843186282047	0.11772497848778814	0.21813567373388748	0.16460031058854246	0.16923200890651457	0.19257405334009448	0.1782279480767723	0.21431929549697848	0.1902488938372865	0.21037591254656024	0.21437208412521916	0.24120605062014655	0.25384360642637493	0.16571809308065363	0.21545111701961409	0.17304909952336384	0.15687541197981159	0.19134779128864593	0.190648821907415	0.20289545895746391	0.19389155125064755	0.21658398709886395	0.2556252205566766	0.24986157113886706	0.25473330670978467	0.17364315575459535	0.22310085293569687	0.20474350048847212	0.1872907996728217	0.21398671545635195	0.1914404272918266	0.2067854214876424	0.22220278730582887	0.24863702118531794	0.2591440223345731	0.24357443368810383	0.1576527893791583	0.1342311794180957	0.26943615425659273	0.24278766887370581	0.22352072007265672	0.22757483298406717	0.1898108195220417	0.20733605806498545	0.21352425017067728	0.23201805014636456	0.27212350880782804	0.29401117905939217	0.1871134635383131	0.19742438724283645
15	0.16259765702210294	0.11386284985991979	0.022280134487059268	0.04576968314649784	0.05415809761821774	0.08076816622805519	0.06938226699288214	0.09926364831937345	0.08399088153264134	0.08490338746896157	0.12187156441334136	0.11225243722416747	0.18556065251560408	0.130057107376367	0.14877817647392663	0.17641468973430993	0.16345523074712803	0.17949046226206994	0.1553260910357115	0.17838808715343815	0.19822098133290036	0.19117329118209528	0.23627446420035159	0.10507254441227112	0.2084663904388902	0.16537582956453573	0.1772615055969145	0.2141206837909913	0.198537263403218	0.20212041940267905	0.19446956822488948	0.18562209720697825	0.18263406161932502	0.15899606211581763	0.23902916706273863	0.10836426262860632	0.1909632198256257	0.1572474668897444	0.18633310434532177	0.20168477017461645	0.1727365234742294	0.18676723826740865	0.1904752171909767	0.20668176552368583	0.20828349254192952	0.21953673231987214	0.259748850651915	0.13415547076076415	0.21774801822369894	0.16197200330011075	0.16909029552232557	0.20272838329929635	0.18578070938100297	0.19665683079367965	0.2009289283324489	0.20378978585103896	0.21094286830528713	0.21934850555685784	0.25821150599445386	0.17017256355266075	0.20086303676561423	0.17426468177436066	0.18202919419125171	0.21476997432599348	0.18853262858613512	0.19573096084660624	0.2142968337570939	0.22175372599882426	0.24426849639982035	0.23898793660973974	0.2590643659072217	0.17274827475401244	0.2211816396660248	0.20423844738008684	0.18531037389825333	0.2260411913288011	0.19215523630895348	0.18931357921020653	0.2321978488694058	0.24557726896798865	0.2591296621175413	0.24983000301368483	0.1589551220930162	0.14154845208923544	0.2687065822798237	0.2551741762911397	0.2340701774235746	0.25701160327065375	0.20479910596282375	0.1950869997520746	0.22415832526272544	0.2435809317691231	0.27018093401749843	0.2943118765826259	0.20149129199707197	0.197887511424922
30	0.16851501240193675	0.1335966891765636	0.031853952954295994	0.03830828880568399	0.053373403008994874	0.06766346001000148	0.06120425609299021	0.09596960281064504	0.11036775960758256	0.10385665654240044	0.11410500126320852	0.10658698185606355	0.17436203536644052	0.14052688224078264	0.14483502793824402	0.15894398057243303	0.16312523610338825	0.15516752499843378	0.14216243089452807	0.1752854381093942	0.19862249536359006	0.19733426491431966	0.21837274662969675	0.11652792292072092	0.2015892567377876	0.18312995929325723	0.1839099103906571	0.2018010244118104	0.21569313161830422	0.2125891956419516	0.1654905148949853	0.19175363201781742	0.20807195970155276	0.19345065097751102	0.2194349607674675	0.10931018318488897	0.1993665592275753	0.16018138032339743	0.18754283320516185	0.18623151061418225	0.18242452669861967	0.18145823849144865	0.155963061408299	0.20197442305826718	0.19808267795894113	0.22106635363726818	0.23029952730413794	0.12482894781770751	0.22475819226613108	0.20026861424851672	0.1690560688292663	0.1885341988093474	0.18829131028878415	0.20193680991296545	0.17445221204352368	0.21707371300828482	0.22478249423682745	0.2432694156783719	0.25314096153226995	0.16710916178158847	0.1913323496733037	0.1961210003402585	0.1976043761571072	0.2110883725241242	0.18945971755855662	0.17178032374416555	0.20057471201789817	0.24116283535211736	0.25868976708789526	0.2360310966987449	0.25277391210642697	0.16304847192128186	0.22532406776616565	0.23238713711256673	0.1856484300555806	0.21537814181574044	0.19881348997351234	0.19409371703629955	0.21672748350371895	0.24597351570658965	0.2641479222974997	0.25228312677710474	0.13948718067164062	0.12039862621521652	0.2736040060746863	0.27328599026186445	0.2444408755742223	0.2375516860057892	0.19745125855445855	0.19588458376596657	0.20951972441358768	0.21811167342021937	0.26408600121953857	0.2790059978143372	0.1935378453842247	0.18756191000605357
45	0.167410360296631	0.13530016617314763	0.024624605082006232	0.05722617965357702	0.06975491214091195	0.08043324689735944	0.07593554729490846	0.10304096263715527	0.09556341482847486	0.123074917796345	0.12347966839511709	0.12024555052653998	0.18591028363823742	0.11949503101386516	0.15156023278380515	0.17810833611974425	0.1814280914542135	0.18144327892872164	0.13796411383519414	0.16793263076056272	0.210110002491134	0.20296719311604197	0.2264492377567689	0.13593032846660755	0.21308519403139772	0.16687543231908852	0.16895870839926563	0.20637200415928914	0.22225997132323638	0.22147161824896444	0.18800360020621848	0.19487428402267895	0.19964180743572552	0.2109219798462304	0.22561506661225328	0.13324242773063777	0.2098512687416108	0.16809937291495075	0.17404727097193212	0.1980972411231087	0.18595830575122282	0.20090647731620442	0.17214441576171158	0.21089439278854527	0.21958134885586697	0.22190587115545263	0.25276985058325485	0.13649175810555253	0.2277483880787818	0.19569878105460337	0.1546509493053263	0.19802323708604003	0.20167115384064335	0.2189181538310868	0.20033151863470072	0.227507728598757	0.2381838025714002	0.25449430378825705	0.262204137397973	0.18359778980475067	0.2123431977467018	0.19493365866849058	0.18274723370843662	0.20947254439203056	0.20355774279336344	0.21123280039406997	0.20673359646017764	0.23513931208394068	0.2556156272449376	0.2564944671726174	0.26171277491864253	0.17249573324360906	0.2425223190151136	0.22672088813865313	0.1843168203792069	0.21410416052807735	0.21956442120610634	0.21869104969815778	0.23199885128300146	0.24480965937167035	0.26126798824987474	0.2712155441608295	0.1609652854062392	0.16846028677810787	0.28596644909155894	0.26170242937045873	0.24058237553864492	0.23722219871831973	0.20133803928990573	0.22585089807129805	0.22269889481935934	0.2474453297452835	0.26923933877356665	0.3069054835704043	0.19943338425004448	0.22730238576416065
60	0.15345769155471217	0.12171866427529351	0.03907596663885608	0.051699148710792064	0.06472140202558817	0.06023529799342917	0.07604963454849652	0.09805273317344752	0.10198746895513883	0.1285635531223307	0.11337440043497583	0.13457368486379467	0.16954216400611677	0.1348887394761476	0.14158449565999434	0.18617794850416403	0.17885842034757715	0.1760268190277237	0.13814091304238735	0.17948921225877862	0.20522326621937245	0.20761883917300888	0.21486430216944435	0.12707140046094956	0.205061205356542	0.1652348772734497	0.18955113364502196	0.2106838468250836	0.21748192272332978	0.21853422031035397	0.18832309044768358	0.1975483281884811	0.20787477514923847	0.20473561728907047	0.22841664927521121	0.1443301894795841	0.18532523254513766	0.15585645482835925	0.1833799481768821	0.1973461754288041	0.1907335724796737	0.1977364681369377	0.1652268956620272	0.21239167186538593	0.2126908994198004	0.24202821533638047	0.25013453477390557	0.1397564875131087	0.21879675509637025	0.20076371914411745	0.1732428875325837	0.22048133561964095	0.18974907245778047	0.21930755040397076	0.1983592044045188	0.2140297552248414	0.23213764931462944	0.24491188698685934	0.25717651041167167	0.17174963783358516	0.19069847318974104	0.21114078603566605	0.19046567987574575	0.20534907232036118	0.20459913584837497	0.2094725893415898	0.21727853932973634	0.21518088434785915	0.2636014669279544	0.27085271870293626	0.26756361333100886	0.1891509450577051	0.21588094206490538	0.20616649620912136	0.18713258017154638	0.2387606888412589	0.2019103505389458	0.18038401614148314	0.22357434516553953	0.24493646088561324	0.27166984756572643	0.2652505721123554	0.15295556491077344	0.15610374367762686	0.2581931686971816	0.2777405311204161	0.23631357316077245	0.2519481428963707	0.20601275925860313	0.20708989736703204	0.23617771739250804	0.22957919343313646	0.27408558026500696	0.3057628319883175	0.18556366437599114	0.2338091889374161
75	0.1678957983180831	0.10030814997850813	0.03424848504177598	0.03355800733599823	0.03156856751893881	0.07059380667337532	0.07102088096718101	0.07933799200236678	0.09184124624604785	0.12033506215536745	0.0926281246432013	0.1083158762643185	0.1964579598992171	0.12645574131180015	0.1684725443611001	0.1897058658485256	0.16100402133807168	0.15599670854808967	0.13866837150428551	0.1776000213957215	0.2017442627123196	0.2154111540770106	0.22322174053593014	0.11496060469690347	0.216473831374921	0.15529750454820318	0.19009616525373102	0.2173272574353496	0.19575436662664208	0.2133453093956973	0.18025217339689592	0.17953813694115434	0.18088771294540598	0.19770406644741742	0.22481971675501464	0.1018121902669713	0.20564712981172528	0.16864488886811618	0.18461013559865858	0.21647896315160736	0.17558115683464187	0.21338786294353734	0.18161384404580488	0.20864036209063264	0.21147230850942	0.24398913641467157	0.2564634689714515	0.1303492793871885	0.2317799431406257	0.18995461533142485	0.18690216841406834	0.2166824555495887	0.1556341168831471	0.2185652805224133	0.18690655858205446	0.2065969468345739	0.2279333417881419	0.24612962833266008	0.25592134343347883	0.16033390919053786	0.20812994064728627	0.20780382584759904	0.2179186261667963	0.23091392528805368	0.18676735417688017	0.20231952701373024	0.20780841157814273	0.21168672966247976	0.2709931995322639	0.27163403696760563	0.26066497923905163	0.19090897737175727	0.24571893308848303	0.21444158620232728	0.2101727214304351	0.2332708350438858	0.19690667245008225	0.20695808567102758	0.21374300262792184	0.23108771693085645	0.276478809405192	0.279100824761108	0.13114503288974624	0.141880793185707	0.2934066110364122	0.2631858676747919	0.23859581860299753	0.2710698577732257	0.20395687194019044	0.224668819112049	0.22800094295121717	0.23364879815677614	0.2689620144409942	0.31575861898541147	0.1751196729635289	0.23134873311756132
90	0.16377469529431915	0.10910799672804616	0.03266615798624863	0.03531687737620709	0.046974677056203645	0.07573496228494549	0.07625271102363992	0.07016841575095843	0.08796115605047022	0.11205715531249438	0.09671447094400225	0.11632989606136246	0.1877874517354178	0.138494973808564	0.174806028523391	0.1881444996558894	0.17600454983705568	0.17039724402498463	0.17520760597278912	0.16628477428423372	0.20981719991812775	0.2316079886780284	0.2247864231630458	0.10765895784927001	0.21418141241401495	0.1611744141184273	0.19851199856383903	0.20441635884815137	0.21278603757697878	0.22499846005403346	0.20312520454680238	0.1847226845376153	0.20254609741812024	0.2113312610096786	0.22855627509451815	0.10084278259153812	0.19324419413752497	0.1627668613493053	0.19153381710954712	0.2004197002907474	0.1769494892201557	0.22428884220230177	0.1815613127014773	0.21440880913518345	0.22245999059067273	0.25075631747377486	0.25223152671952	0.12586513564923082	0.22088404009911206	0.1996732777264389	0.19296046933422636	0.22144922325946437	0.18405088948100806	0.2310775610686219	0.20798267438831342	0.21417097665530255	0.23647491553948885	0.25753534732549455	0.26089617238785673	0.1658992891891823	0.18832878446801346	0.20685685287010497	0.21857546639404132	0.21336281959920844	0.17929211969163944	0.18950754999909925	0.2096613936006525	0.20724249491107216	0.2620333103452719	0.2808339296804029	0.25954260859936507	0.15334146173094876	0.21173302096508229	0.2134848234136145	0.2120564263634314	0.225001311929378	0.194222110048996	0.19899799374260774	0.22225490273209902	0.23869203474650458	0.26154624195288895	0.26272105546439917	0.12815049655510763	0.13949400579454546	0.2755824306221022	0.25122911530855085	0.25583439663634544	0.24752722023289697	0.1926674263393578	0.20762156250494487	0.24616078198100744	0.21807157776461622	0.2824450069614999	0.32329927887054605	0.1761333071740649	0.21536676112245418
105	0.1657902212362606	0.12970139911602485	0.02330788270798196	0.02973139265173131	0.08172706153414157	0.062168621124966406	0.04484205235668645	0.09181517699715082	0.08695494436083682	0.10090500097933326	0.11409031958423838	0.12069431877310735	0.1848823698923735	0.13216662615987368	0.13189610673209562	0.20012488370718318	0.1979217870271775	0.17099125102527757	0.1433910251200899	0.1728276649587877	0.21069781017946537	0.22236227357160548	0.24988427259879736	0.12390636185852374	0.22415269899602008	0.16614895872862293	0.17911929336159266	0.2304342951896582	0.23028299189002327	0.22990078705303485	0.18346285317190617	0.1897036440367008	0.2108561240395604	0.20309810923068183	0.25052365167391166	0.11311212095709575	0.2189881738511068	0.1784751905248913	0.17345239684008606	0.2103089336163742	0.20288931957266032	0.22064311185140523	0.15381816064717613	0.2244862588858916	0.2161906306228054	0.2351974620974671	0.2663665585189824	0.13641683482207512	0.23090357794457012	0.21559851805272034	0.17059913258686515	0.23086312849034585	0.20145845216032843	0.22942771183165703	0.17718233419424517	0.21276359055773597	0.2321748741042133	0.2491946266254108	0.28143786156298145	0.18319213313400184	0.20798807944026643	0.21523342523180655	0.19704992817303335	0.22682871951717187	0.22225950256985666	0.2014811136519386	0.1991478749156042	0.23215999393455372	0.2710131376354644	0.2718688029142551	0.2884045442053169	0.16282375095655388	0.22767559550365135	0.2336952380101308	0.1764830377562359	0.2513452678974114	0.21104124711047278	0.19805327247545995	0.19443267918867516	0.24788495652803472	0.27466419347076937	0.2666916348611935	0.15781777659028615	0.1439834969742133	0.2874901062909059	0.27308597000913093	0.23484284308065365	0.25798879295617505	0.21887875068689816	0.21669407490749035	0.24211774815796647	0.2579987498928009	0.285669953835902	0.3047228428753969	0.20141569299613066	0.24793492204319698
120	0.19106590444031707	0.12269510205910637	0.029272498602828455	0.050321990626671226	0.05729960389328022	0.05778083458300767	0.06828654892459671	0.10108932846691193	0.08370697987243453	0.0921022656578729	0.12359648518041477	0.11255589390219671	0.21276911715154367	0.1363028426819859	0.1789020875073845	0.21573230831205784	0.19808863112800895	0.16395960727515552	0.1596089425749676	0.2004562854473557	0.20149638544168522	0.22728853730226	0.2591846641766501	0.12425437649420679	0.236988582883923	0.14351215619520977	0.2003275026428809	0.24281133565651986	0.2397005675463733	0.23902656213802245	0.2068390087309141	0.21197673162053748	0.19849308449610142	0.21893341089280186	0.25911474196078993	0.1231314041958601	0.231359995785677	0.18743974535682664	0.20356525794596791	0.24922912288018656	0.1990844881670298	0.2393817607992363	0.18453526694305897	0.22839276209655968	0.22244705042485907	0.2655752206132159	0.2745359796908047	0.13590514908894558	0.2489931379237897	0.21641903832080972	0.19363361007922641	0.22941644944255457	0.2007343507476086	0.24880463513506978	0.2079929711644557	0.21851703163658098	0.24469878117561406	0.25771496574728037	0.2935757485044795	0.1555684983268084	0.22061725939006732	0.2318943324120596	0.23174051451138436	0.2602276121917809	0.20311028692837046	0.19702354707726288	0.21928198611843402	0.2569276147707982	0.28658774535280696	0.29797979289337284	0.30869161147401614	0.15384468267681736	0.24594398329667178	0.22754748870960936	0.21022526039761275	0.2589005165239193	0.1918590316191704	0.20609025936829578	0.20913944864997436	0.2638684911455504	0.28634428256635874	0.274359626594535	0.16064286372816375	0.14149207503571445	0.27540114211165334	0.265964084013569	0.26630287435416533	0.2639850334523361	0.2145662504876391	0.2191046243623378	0.2593954609896848	0.2668251050728444	0.28345380567442885	0.33220172403000015	0.1964200177457448	0.2092728981804612
135	0.1925232367716304	0.14164973445117857	0.035038134638274994	0.03231536352439034	0.0933187683669349	0.09372804183628117	0.054721258200381165	0.09149298595981423	0.12557385421021655	0.10101420566371516	0.12340076842494917	0.1511415552185899	0.21376219059363777	0.15282099265513172	0.18358167165464145	0.2143690840368933	0.20533355170788883	0.17891621784769346	0.1531418730526062	0.18476963494398269	0.22433700060664297	0.232660838048798	0.24485885508104283	0.1347772611035838	0.23969190684979866	0.17969100178709807	0.19629244097991547	0.24122083527539662	0.2540524278341435	0.25890883511371976	0.18906902226018749	0.20976808426690174	0.22251352385377915	0.2280647084931245	0.2544967126026786	0.12989620935770757	0.23353031255182033	0.22479386241810245	0.19545724729087774	0.22038796289242019	0.21564851687082973	0.2542355021732251	0.18477328943077442	0.23628273609946066	0.25249304490020275	0.25749070017566655	0.28761838047286864	0.14813281532224226	0.24375932919722465	0.25112868880984274	0.1837388869612035	0.23694893214377497	0.20861908792422357	0.2637532291902626	0.18409932507263574	0.22686773190643356	0.257580622136516	0.26057591231708677	0.30008244913510895	0.17495545442618124	0.2162527475475869	0.2654962067264356	0.21642438290632515	0.24329994360467208	0.20529828387452956	0.21787561947057882	0.19922359823911512	0.24458239812537869	0.2995313085164767	0.2989455014808046	0.30869179487068776	0.17822701009438757	0.23899963887435965	0.2651458002854084	0.20286184379953523	0.2686619645666002	0.2268451321087213	0.20672500159192572	0.23028408062983874	0.2881998883578835	0.3063318911873417	0.2805949199461041	0.17938973381163228	0.152762289024939	0.28664737536549617	0.2808527993194509	0.2587117196192096	0.2640697149707003	0.2188115595642443	0.2190874767077577	0.23756989089003705	0.25735971565820187	0.28527021501011907	0.3309672808002887	0.1735572308494214	0.22608035637861748
