	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	-0.08272141672354422	-0.0978032685244703	-0.1473987762721839	-0.15139358544896592	-0.15219362131616954	-0.15219362131616954	-0.15146913555903269	-0.1484026754965846	-0.15043377111542788	-0.14285807855054133	-0.14067037222739398	-0.11964908659354256	-0.06948715894381818	-0.10049648238441011	-0.06449890225181792	-0.0861413101113816	-0.06003312639906305	-0.08585568019139794	-0.10153100774006973	-0.07688898257863025	-0.07247450936823274	-0.07837373461550567	-0.07124113546042243	-0.12887961408012988	-0.052579591767797196	-0.07544723900171257	-0.08287313247932027	-0.07013098844698984	-0.05898594864041956	-0.06963594961016634	-0.1089825832073007	-0.06492303925748438	-0.052604700318294506	-0.06951972069042167	-0.04778599576823389	-0.12077162859742674	-0.0463908732878936	-0.05816635569337608	-0.06661186446584172	-0.05417510937654474	-0.06761649472609443	-0.056778806463074316	-0.09024010007796812	-0.05707749628034925	-0.03346189663493271	-0.043468605747203404	-0.02816359584802597	-0.1284185117829869	-0.042588644323797054	-0.05737176900826513	-0.029170753356986323	-0.030463395735968235	-0.03762666140427523	-0.0494505137893575	-0.06929139557484415	-0.04978330936141584	-0.03350284743685272	-0.03157323730497069	-0.020957574212393693	-0.11328970647215031	-0.01962379560289995	0.002144613031250353	-0.0051857772166312155	0.00189497853271281	-0.011920618723527399	-0.04067327829668038	-0.03358925240290106	-0.01063565725086757	0.009730319228730744	0.0030102978903472355	0.007802763162449933	-0.08314314352621	-0.0036629245705929736	0.009416089606884503	-0.03177653999364127	-0.005040424528738818	-0.036736441531954045	-0.037642616058740475	-0.038373361628320224	-0.005005849790981343	-0.0068700037567403505	0.012760917009958572	-0.1050496921157032	-0.07878714495262212	-0.005166822240738778	0.00938562442923424	0.0120938021851546	0.031237385112803884	-0.02830609637309045	-0.032706727140375036	-0.028255216644403558	0.01590356817856481	0.012624051815094794	0.01895487714426186	-0.08741104194483801	-0.07230840949096168
0.25	-0.08877086436048837	-0.1177175434473875	-0.15099279632188495	-0.15219362131616954	-0.15219362131616954	-0.15203291933226765	-0.15179154207562556	-0.15009141293253958	-0.1518720049799403	-0.1432337427493524	-0.14309793749785632	-0.1340636995454037	-0.08223160549492237	-0.10324426208455229	-0.06563880557525159	-0.057389951752713275	-0.05604187996761478	-0.09247779616104718	-0.08739587959969314	-0.069956931082781	-0.08988012529124273	-0.06642683713059189	-0.056392371586861334	-0.1418779368233702	-0.06649097558410999	-0.07933974129107257	-0.08932274822318298	-0.05833910812730281	-0.06558135229133549	-0.07938204889359896	-0.09211060811029714	-0.07850411152037007	-0.08864442410695528	-0.0662094700285108	-0.050385426983715675	-0.14181444545693256	-0.049993541417985066	-0.06995481444674218	-0.06286113613328342	-0.03909662841982475	-0.05168644698666225	-0.06391043093371412	-0.06591885410068149	-0.04879151501405665	-0.04749765536800937	-0.020764557706380415	-0.025979254675782326	-0.1261211957563066	-0.04407450904494603	-0.0533022126794242	-0.04732199330308229	-0.02687396354247329	-0.036935769867146195	-0.04865601719145429	-0.059274839121712775	-0.040972113055329606	-0.03841246379533647	-0.010488251371784052	-0.031754459505726695	-0.09741737570766246	-0.020467719908872473	-0.008097153632999787	-0.005017641256248262	0.00762443841551147	-0.02310696903470183	-0.027301321036435955	-0.019457411822572268	-0.015173701785254179	-0.01696791594099928	0.001324274975222861	-0.0039018938967404493	-0.08280384850879052	0.00042896286523735894	0.009228637317628186	-0.0205584629586974	-0.0012903388448254893	-0.004844447163836529	-0.03491030061610667	-0.01947590434717089	-0.012338034402996523	-0.020292013073020254	0.013702464248150859	-0.09584048618203972	-0.08969998351057235	-0.003721391343509295	0.018507062459525325	0.03196776837487375	0.014030265407963316	0.0005164782399689205	-0.010020645059858002	0.013405137021109959	0.01678059710046026	0.008802374429486892	0.033269991406784605	-0.0797098288866866	-0.06954200930734916
0.5	-0.08934513759199242	-0.11441885972703919	-0.14708242136044386	-0.1517957868510864	-0.15138825777206733	-0.15211327980235573	-0.14815631244847338	-0.15002262882060935	-0.151791450946963	-0.15034172856908307	-0.13276354345060398	-0.12206060027122101	-0.07939632293095811	-0.08710942704773511	-0.07181965757804676	-0.07922413199193201	-0.06517806928230346	-0.09336458812069215	-0.0868741394070422	-0.08002660807738443	-0.08468235010885994	-0.082170847418571	-0.05280538694529935	-0.1361935297354815	-0.0747693656812749	-0.08317786680838085	-0.08116919299216985	-0.08367711627095309	-0.06734241756211967	-0.07972853523229351	-0.11775709176864879	-0.09081334519520351	-0.08164749948783767	-0.08945686844804018	-0.05625002694589404	-0.12522130196456865	-0.07338746093361004	-0.07749597320231805	-0.0803106375036261	-0.05643740023982574	-0.05862177100932825	-0.052663145114033416	-0.08693590748564595	-0.05661147250706977	-0.04622523647961463	-0.05361286877817212	-0.04755876163414896	-0.10885007600280094	-0.05606891356922766	-0.06277021200700117	-0.04458702014104815	-0.04053432788284839	-0.06151846147192258	-0.03779088449665924	-0.08384227232088665	-0.04787621768197586	-0.04029753628383276	-0.04227617895911251	-0.037957309267385164	-0.0754768128375285	-0.0314778860299727	-0.03354220273831726	-0.021875473805238355	-0.014480792192028968	-0.03752780162820574	-0.048382621229596856	-0.042857834308960896	-0.02170174875207942	-0.031624237842043934	-0.027304556750213205	-0.027946334436697917	-0.0756048105012388	-0.011778749434327496	0.00525691681120799	-0.005648162962459846	-0.00942218732176131	-0.004965366854349007	-0.017700139511164392	-0.04150113448635889	-0.017483410358640428	0.002481447037902096	-0.03187117644719162	-0.09551298133120517	-0.07066295075283308	-0.008973069841644865	0.00010807837264387166	0.03111721077506574	-0.006942283797321647	-0.010031893285375681	-0.004326062454332702	-0.001990905253950903	0.005867297090568158	-0.008689600311555079	0.007026915302502157	-0.07934382609903479	-0.06547434291011656
0.75	-0.08338512648940472	-0.10443997340393929	-0.1435075213961825	-0.14977739306979299	-0.15138802919595223	-0.15083084602712427	-0.14509139129368348	-0.15026676434957664	-0.1485602808537308	-0.1423390089413038	-0.12462578633456733	-0.11747116595604462	-0.06424045895603464	-0.08071143446098927	-0.05330834824567926	-0.07606904995234987	-0.06642208213015072	-0.08675417427595511	-0.07580253502001982	-0.0853868295594663	-0.07978638456947013	-0.08104435986417935	-0.053257418405339374	-0.11828236786393687	-0.07343061486431957	-0.0776509875822296	-0.08323719314911349	-0.07936307582054519	-0.07349821423987046	-0.08045650732955933	-0.09748967085858717	-0.08849383684577933	-0.07187873512543597	-0.08822046929864957	-0.041097004693785355	-0.12322855705217156	-0.05741132480090605	-0.07982576854023549	-0.06347717806326691	-0.06720860273089307	-0.05635984069209299	-0.06336337763240074	-0.06945568028122662	-0.061930032252204115	-0.048969991109901856	-0.03973114251045429	-0.025759546334263972	-0.10323368685640077	-0.044698502046320865	-0.05327811787989056	-0.04661082695005336	-0.03797486492218749	-0.05537368779608942	-0.030811790377705928	-0.05689271677762375	-0.050195024483513095	-0.03150122829829838	-0.021139218448583907	0.0011323472550135438	-0.09162083445645619	-0.026125960057843345	-0.006293036954930664	-0.02081271151688885	-0.008146693967435614	-0.0311227696562551	-0.03986764424812672	-0.03303749368367087	-0.04501621700551761	-0.011174316374629734	-0.020809678591738878	0.004153447516729913	-0.06938938257264154	-0.0029747978239297312	0.030916575538093627	-0.013008719382525513	0.0006491266449254463	-0.011844446440453849	-0.03213846341417542	-0.03325724852614653	-0.020308534247515886	-0.0004601309585019475	0.006001867061144639	-0.05594667404294096	-0.051218451503905416	-0.022347311223288924	0.013209145195593741	0.016463107623791162	0.002708534858880729	-0.014743773372547064	-0.011798782068708658	-0.0033325585284861847	0.007838068110702923	-0.004785056799960108	0.013145207998973174	-0.08624956721142335	-0.07013439510843278
1.0	-0.08956953678309482	-0.11536216442008751	-0.1399163969026112	-0.14977604530532695	-0.1508265797130619	-0.14766625642444786	-0.1465740103644501	-0.14993465979141185	-0.14261943731555887	-0.1446281286532976	-0.12556167783661015	-0.11396993300186431	-0.07354813006689304	-0.09266094240209238	-0.054431427261542376	-0.06808435781779099	-0.06694518564686902	-0.08864799834672327	-0.09391521730323582	-0.07618277613012459	-0.09168368005246297	-0.07847083444421277	-0.0632479274605261	-0.11817497276246791	-0.07901019465548809	-0.09387027704773476	-0.07299196468896008	-0.07372245926110271	-0.06463891182876458	-0.06174501691005013	-0.0855285109949544	-0.08810909818194079	-0.0776838555632855	-0.08885803094630751	-0.04815672761644452	-0.11834930007430511	-0.07293891793314211	-0.0755589689241748	-0.06590568166264132	-0.05058819661265962	-0.055527180983474755	-0.05242373315506982	-0.07286227875745155	-0.05443304040626007	-0.053241212301026186	-0.042885440616669435	-0.02606953710834714	-0.10138487257401413	-0.05099889092770865	-0.06846253377961775	-0.016136521567955753	-0.03968323859086137	-0.05144155961761121	-0.03732346523838931	-0.07285773199503287	-0.04749409204442345	-0.039803365522997736	-0.03165444426036318	-0.01967584093780711	-0.06771480225501764	-0.02361504627055544	-0.016558459625841626	-0.01616987118771135	-0.009453451338754304	-0.023363502159087002	-0.03994688581725675	-0.04981722529167454	-0.025773654447518668	-0.01568505588912017	-0.022099784359326302	-0.0138118643950077	-0.07049715240884757	-0.01859686513099168	0.0038847760047662216	-0.007454909003858312	-0.0163735561194831	-0.011956089866457409	-0.027545230440907897	-0.02438506114380784	-0.019421216957754728	-0.014955371647351001	-0.02734558243298385	-0.09126897754440383	-0.05943542670621943	-0.026998089003238357	0.008138058371951529	0.03187452837575849	0.0008346014773758514	-0.012488102172118598	-0.005556852600069162	-0.008099374708460783	0.015733913962147794	0.0001355142730466441	0.004656468384165613	-0.07469405305651855	-0.06651686137539131
1.25	-0.05330831071646219	-0.0780334280253398	-0.11979030283142139	-0.14411416498789603	-0.1331742694286034	-0.13436639796720345	-0.1277072771128649	-0.11816443970126367	-0.13564898262023228	-0.11671703557016766	-0.09217078276309021	-0.09926844969403975	-0.048401003529604913	-0.07340689955431384	-0.03068254708875029	-0.0600205963991014	-0.033715020666729434	-0.05764209108613738	-0.06608329537507024	-0.04202222941854733	-0.05726315420867534	-0.06305707133262228	-0.026382640841523364	-0.11542849755135404	-0.05464481744971866	-0.06415318371238016	-0.053170654305956355	-0.055920758246751634	-0.03313075671355059	-0.05390667690451628	-0.08460155740991876	-0.052385144777018555	-0.06182275865286768	-0.07325704629198987	-0.016634529707767076	-0.1160277310399418	-0.0453512902765299	-0.05152957951162529	-0.03849648810720535	-0.03485377112746735	-0.029910051468671595	-0.02595560676539621	-0.05283026749901859	-0.012625627387456984	-0.026875449803423324	-0.013246314819083449	-0.01457528143771819	-0.09282584755922219	-0.02078154558450046	-0.02094657825143198	-0.015500494331159853	-0.015325809894771503	-0.006847709806479529	-0.01486680800084561	-0.054186534479591264	-0.021260095323785477	-0.024107712183188912	-0.007133251037112598	0.012630535304356372	-0.07266101752290605	-0.011352005085001338	0.015834673199834837	0.018845012360084235	0.007280635326916751	-0.001290883588988767	-0.02390590778675583	-0.0077156386104771935	-0.005679405109635105	-7.45627260487769e-05	0.013727888009749056	0.025978433867597073	-0.06448860331135575	0.022512160456836516	0.027089549058124163	0.0115090913642652	0.01901808477818584	0.01313094640667728	-0.01369286671300285	-0.0054877114517004055	0.023840352805506504	0.014209427438919009	0.009918861328860162	-0.05585813126158595	-0.03946922908155093	-0.025410624876497367	0.028978816479681202	0.03381322574867013	0.028640645648279006	0.010726497928479628	-0.012951793460645289	0.004274627840831213	0.03361209350361144	0.013173508811244516	0.03887824953446489	-0.05877352430253069	-0.06663134994260544
1.5	-0.08165697581402759	-0.10116184998084077	-0.15219362131616954	-0.15219362131616954	-0.15219362131616954	-0.15219362131616954	-0.1461821387624786	-0.1517957868510864	-0.15076651043904427	-0.14503421626941054	-0.13308985541321622	-0.12012825659153176	-0.07061204244684616	-0.09816966986538345	-0.07087099564948757	-0.07572520344136102	-0.06124569712508671	-0.10618734084456277	-0.07055203997505899	-0.082829740593162	-0.07374956938902694	-0.07144405096048606	-0.06490659446042701	-0.13135451022168	-0.07110445636384588	-0.09057455524364294	-0.0884407352524304	-0.07177081436567934	-0.0693459021746698	-0.07821262882583219	-0.0849915998174165	-0.08483997535348398	-0.07678347368564054	-0.0698912106783014	-0.04988099596098444	-0.13192968988484177	-0.063478811812205	-0.07816947739664742	-0.07763878034332039	-0.052941124588297084	-0.06966820709073751	-0.05943694011092454	-0.060602799213155145	-0.05852156082664345	-0.05646674698133891	-0.04014679655805842	-0.023091141793364467	-0.09895281954038226	-0.04372010929571857	-0.07150868901404472	-0.05073060820932873	-0.02617935768538071	-0.06563366343114307	-0.048725210695322985	-0.06292640156300555	-0.06515210338972488	-0.05007065430190466	-0.03792132215392918	-0.0339744582789821	-0.07121789697472092	-0.044115877780819046	-0.022157578881206563	-0.0307257639247025	-0.002971287608037776	-0.04661057629923049	-0.04327157232835388	-0.03565064940254409	-0.04742762405078754	-0.017156966786053274	-0.022378646334998198	-0.008604639129795588	-0.07297062883358602	-0.009514979568742199	0.014423060124436005	-0.012945176284241966	-0.014081409135078216	-0.04010122154295975	-0.05187452438069473	-0.035876447275341006	-0.02795861681500128	0.0068547225263527745	-0.020192728741154742	-0.09956955422310443	-0.0750468714061539	-0.014219229316606796	0.008008948516905645	0.01195321911226438	0.008506813910925504	-0.025438626257644315	-0.04069312564334199	-0.023723029485768765	0.002167153469365357	-0.006331159465829794	0.0044774230044882235	-0.09049258773896823	-0.0754771454621338
1.75	-0.09082350660569105	-0.10753489302820501	-0.1491500876058613	-0.15219362131616954	-0.15219362131616954	-0.14978332924732507	-0.15026908226642044	-0.14660104525644913	-0.1502665798049697	-0.14887640338494235	-0.13201434056722977	-0.11830125474228975	-0.08633831243099038	-0.09052396205002866	-0.06909173708259686	-0.08713857126147928	-0.06822099365748835	-0.0961486375935669	-0.09862258239561811	-0.0686534489007467	-0.0636001338999595	-0.09344076969454757	-0.04942662481393789	-0.12148045885131825	-0.08636924682860858	-0.09297270296478133	-0.09124550003412568	-0.0965896806091357	-0.06672876301268194	-0.06580942696552189	-0.10241787664772961	-0.06115856633738981	-0.08482467816179506	-0.09564336515265187	-0.04557709121581094	-0.1340810488663438	-0.07311550147678081	-0.07668538230917227	-0.08337497525775833	-0.07710722465224762	-0.06974738160531146	-0.0645081248768597	-0.08082920657639803	-0.04258458963957751	-0.04920515029632849	-0.052791935465272555	-0.02837066242625874	-0.10876148207787317	-0.0653551603125192	-0.08002314297312474	-0.04812964197224223	-0.05094719340592796	-0.03577391752194525	-0.06499791948909728	-0.07624084254742813	-0.03349921811908263	-0.05160448034897025	-0.04199183384300953	-0.024881481060917865	-0.1049175735889255	-0.04228874233104507	-0.014421746176357164	-0.04709554348790829	-0.017743908038067524	-0.03770680702379203	-0.056400916347091545	-0.061156341426924776	-0.01935013039826461	-0.015252919435840895	-0.03857032478521438	-0.00882526950063256	-0.08321686514185184	-0.03204594789064669	-0.012561995866718967	-0.03092305305341736	-0.023975175643812185	-0.03819655071721878	-0.06059215120247663	-0.04096237892905252	-0.007698509192563707	-0.01040189524612789	-0.03000143410622852	-0.07860316501933123	-0.08672621413662152	-0.027758308114667785	-0.014408619294514424	0.009375156319722688	0.007201732486017742	-0.040694511377763476	-0.019052907610020875	-0.017660232561573397	0.01396335841209334	0.00177214233576517	0.011829297017578122	-0.07547593673285174	-0.08517749171011146
2.0	-0.05204659189751176	-0.06695346464907476	-0.13103324445759884	-0.14462220245033497	-0.13452120468757922	-0.14569623069845378	-0.12334652824676029	-0.1068468285583718	-0.12225275933821544	-0.10365669445965353	-0.08377326519367095	-0.091030525694476	-0.036747654654862405	-0.06912300771670893	-0.028346525700109704	-0.033366904234031824	-0.032113649493037466	-0.057362787176766405	-0.04432454893384391	-0.027753651138357815	-0.03591857966646189	-0.037361369379442955	-0.00890789666290459	-0.09914950265510236	-0.030520884263012915	-0.04558500306031549	-0.060967997042670974	-0.049273855352945595	-0.02914472691454295	-0.05025534218807454	-0.05009625278873103	-0.02094992152513775	-0.04976846456333989	-0.038702587336602645	-0.004749491878111467	-0.10993282284205785	-0.023480926948219738	-0.05521391331969949	-0.04586157001977348	-0.024261440716812854	-0.023167778367236547	-0.03737809942179321	-0.04516210677197907	-0.009141569043844278	-0.020719804716054113	0.00026458400196033294	0.01377097016856893	-0.08517459846842257	-0.02015686619375695	-0.02467769286188448	-0.01615238255297602	-0.008270754251864632	-0.0031293501406106095	-0.025206796090789352	-0.017783015935617652	-0.013412290585062991	-0.017416604076969378	-0.0002268797325226668	0.006073546036763522	-0.07129227090709339	-0.0023059648486645212	0.017448993677936675	0.0038464699363562893	0.00738862001569679	0.006751018472702819	-0.031152098608367207	0.008317186745360694	0.007930136087559492	0.017563901153714145	0.01953656795817743	0.03223795609672059	-0.053769588960091375	0.01082517740123018	0.01533626306781749	-0.020982734673778924	0.018703800861185227	-0.016832912022029745	-0.012467733819412352	0.0037990418092471723	0.026869361581317863	0.01678454319849826	0.024036061482541615	-0.06405569026868319	-0.06944369057116068	-0.005027353907060772	0.018301966950444448	0.03177633904862692	0.00011853116324617163	0.00041417742096949706	-0.00426242756026568	0.028798586724821218	0.027652887581245122	0.021530785253945417	0.0396184375091429	-0.0840291199914116	-0.06104029871089195
2.25	-0.09561196908815989	-0.09674175232081922	-0.15114941433316825	-0.1518720505141744	-0.15219362131616954	-0.15171950612331092	-0.14724689242653743	-0.15049788380445417	-0.14978382471673407	-0.1325727737146734	-0.13226038166488496	-0.12003733168512865	-0.07310483257124395	-0.10202309541966464	-0.0661655228289611	-0.06849025971704453	-0.07627763439463958	-0.07973466945980184	-0.06296966021493439	-0.07113027380200959	-0.06175564291769342	-0.06372570602611455	-0.05481096273894065	-0.12191818706026913	-0.06346304060735464	-0.08955404257761446	-0.08167403676978907	-0.0701609465320458	-0.07684100522743764	-0.06476744893106451	-0.08101466056935364	-0.07793195713817841	-0.07280973575718841	-0.060045296629518685	-0.05150726074876416	-0.1263128137564934	-0.0639084025221936	-0.08237562631835305	-0.059238773587588445	-0.04762451601253853	-0.059638273366838135	-0.04287419645738921	-0.07006406988393216	-0.04430297094285873	-0.03398155679955189	-0.03551864455625886	-0.029318046206580517	-0.10045248618555674	-0.04757342108265111	-0.06365277906834427	-0.031844882101729366	-0.026362248943649247	-0.04641438599316694	-0.03172718539724623	-0.043244804707355256	-0.051233251463481955	-0.02809751736158289	-0.024913163659909365	-0.034305010464993624	-0.0847307544835077	-0.036692220598572856	-0.0041540757875822565	0.0012982941458228314	0.008717950096264249	-0.016776171276058183	-0.025021305544651595	-0.013403721406088198	-0.018922673316537186	0.014238200090433029	0.010785624790611348	0.006588251943428769	-0.06467883299112542	-0.012439064275185652	-0.004929806939626968	-0.004109988024827149	0.0016499725143762634	-0.029153986635946705	-0.03175779792407685	-0.02435974309925587	-0.011081197083952332	-0.0037550003013944733	0.014831217220305504	-0.09858946469570617	-0.05806267927948483	-0.015868694030579777	-0.0031521041335022537	0.03168500578111649	0.004441100503492057	-0.014515283866115225	-0.018593030264639543	0.003921400831085775	0.00425579747153465	0.045903637183194956	0.027681209790438588	-0.0972235135108806	-0.042801191740767686
