	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	0.03172153801199096	-0.006216707919865061	-0.015771862918422197	-0.03479932958731902	-0.04638059952221002	-0.025039850130237407	-0.0422935522239169	-0.047175337120087535	-0.08468920021168563	-0.08294248969966192	-0.05681134566082793	-0.034310932894206725	0.038843597900588445	0.014942339571855812	0.022005283361758166	0.009273924801496192	0.03280495125305283	0.013322006357805671	0.000542554100907755	0.013755375774512302	0.02487189024065195	0.0029394984599076524	0.04585269537801334	-0.024380246992227628	0.030086859982812963	0.02620816645381263	0.03340018956064977	-0.0044753417433366915	0.002534105409838505	-0.01311339294674324	-0.009496478649460405	-0.025068462710466533	-0.02939773389084216	-0.019821464314958792	-0.012554281990329152	-0.011108518666618161	0.03992228730220987	0.009487761483633617	0.022004893425173644	0.020970187475077118	0.012925442544492571	-0.0034185296691904288	0.0016002883373687493	-0.023666006124104466	-0.02331079159610866	0.018603483747267724	-0.025499862582508415	0.010445946234716563	0.03657863911718928	0.05338557110513381	0.017689642598120392	0.02524829523311728	0.014246166240190983	-0.005119856001970069	-0.008871498215601792	-0.032454889272776344	-0.031188767665733585	-0.0001462480926864851	-0.00971208813884683	-0.015229369992111885	0.038275572934838464	0.045841831887494744	0.026454759891544388	0.03771679247557835	0.041085828660843815	0.007673120272953415	-0.01715697651772169	-0.016595494947190925	-0.0036023884932127603	0.007726750729123266	-0.0039323971543545055	0.0254823164226467	0.0375098573724959	0.03697542291353362	0.02347708067084492	0.037131249274738765	0.03794885971416084	0.006189308203142119	-0.006439964200343096	0.012578801800592565	0.03115553186805675	0.02492267777991297	0.009794081562507384	0.04840933478757281	0.03956649514444416	0.03786474939340434	0.036442458746465844	0.0414981513362237	0.03206796512860338	0.02117984152262986	0.044391236101942066	0.028122669058236016	0.012753149514014517	0.019245881455780378	-0.02883089825235552	0.08150807658654824
0.25	0.029551310508570183	0.0040641704794384115	-0.009658362246307617	-0.03528411295661976	-0.031126447564200632	-0.019109685180535407	-0.024500842998713523	-0.034608798424133114	-0.0747171559460929	-0.072118569969287	-0.07612870460412394	-0.04950178283766188	0.052986311756816507	0.027765164583036517	0.0378993724574041	0.007366164442255851	0.032305826109294944	0.026511421586362938	0.022147842398926865	0.02970738028204284	0.0399812652955156	0.025928808624430533	0.022002754066200225	-0.02141813079853727	0.03372233467108504	0.010643098998836975	0.027165297280519307	-0.023790173692142147	8.732264593835914e-05	-0.016431491832969436	-0.0016306244697700256	-0.02195611329355779	-0.0229368905699458	-0.02227374430597784	-0.04615588569715151	-0.030174661245638446	0.039407749544644544	0.016560495269317688	0.022865893155803563	0.0018347170097520737	0.011020806594720822	-0.0006727151939930343	0.005043085090506938	-0.018664647197448148	-0.005872294872503625	-0.00018323179178303395	-0.03908136829168979	-0.003473895785268022	0.053958579025277065	0.05700616418597926	0.023514263082675124	0.015486485415688644	0.005163345281550158	-0.002079033631431859	0.028985627785781953	-0.010270655478369473	0.0029962261951287927	-0.004406136689540818	-0.03307433021244677	-0.022748106655116507	0.027245749294974586	0.05597150919062782	0.01669829961275726	0.032743629773219596	0.021112358564174316	0.009617245143599462	0.018942319994672496	-0.000875155622625523	0.00801847248382298	-0.004862229398276019	-0.02855975810826239	0.022600277901262955	0.03001038153064911	0.03880083663677514	-0.0008914591040823927	0.02559734227712379	0.028828848275949615	-0.008781030440958737	0.007576218840200488	0.019426850203796697	0.034411564015390084	0.007801691036284308	-0.02597609149824376	0.05057034282040146	0.05456667276059063	0.03275807476151282	0.0364043731320135	0.015059886178344195	0.03627654177462891	0.02095681507436542	0.0429667561637766	0.06176922296933551	0.05963312233184559	0.013346308145408603	-0.06721605478366663	0.05390452050139266
0.5	0.007866808280787119	-0.03145168502705198	-0.04332932992407851	-0.05037847990959676	-0.05383363627363108	-0.023429780735219785	-0.04213431270139428	-0.033526280448678114	-0.08306311951553652	-0.08630889873951877	-0.060715316827406274	-0.035920677703798365	0.028526764487930567	0.018123549251894133	0.027895292512252645	0.0014062182881021679	0.022023011582365026	0.016756924079594893	0.0025930977668186528	0.01722277149615209	0.04185220619442409	0.015205845732872203	0.028636475558151187	-0.015021316997179679	0.03240274438230084	-0.006080294003266484	0.01882356333716717	-0.014215860107842704	-0.018497556530605974	-0.023185000205453554	-0.009485593989269736	-0.010031655015138918	-0.019230780991710605	-0.03306232568503947	-0.01629801286686039	-0.010752480792964592	0.027214043814043853	0.00409737888883982	0.006963612142629139	0.003942500845622587	-0.0009401582911526818	0.0070979774418784	-0.0013011716584652167	-0.009841555566713123	-0.01632812555111096	0.006976731224041854	-0.009471553406527944	0.006866919572132646	0.036656861761674375	0.03389316796200881	-0.0010544839045136256	0.024214911353842128	-0.0032622638536239923	0.0008222405582993253	0.011385266102270919	-0.004762982768899138	-0.008749610240676275	-0.015088663712374217	-0.015219903349728225	-0.016068524175070653	0.0017940479493150363	0.004270703565055212	-0.015168996405744262	0.0143104898908204	0.007291296931532409	-0.004330130426872081	-0.005661352944468567	-0.0180223892818539	-0.0062108971945012414	-0.01452240821726819	-0.015544142055233079	0.005022058712047528	0.02147485074583233	0.01242717995627085	-0.013946588740007593	0.01721525870564683	0.01642458624958587	0.005320443792304785	-0.0032663682470297495	0.027392021426973057	0.018521023916477808	-0.007901593377134253	-0.006705433388996429	0.04529917556292595	0.01364684042429426	-0.0007172619341561104	-0.02238001438514098	0.009462152383493794	0.014136145060538396	0.02064184214254139	0.054688583908718835	0.02482684126487056	0.03440629250666488	0.009736628038212458	-0.032833407507668166	0.08102711821351655
0.75	0.02440559255303032	-0.008808742571051575	-0.029618932604537573	-0.036075110476311234	-0.03461069767489672	-0.020098455746242083	-0.04510373390074446	-0.029763195056567215	-0.07197871074162573	-0.07558368175017965	-0.05850936416810257	-0.03939416356100384	0.04614168585954953	0.009835758565484187	0.023874462347362124	-0.0005304273244334801	0.04053990316108391	0.01851631799896769	0.007588395412346405	0.027883289579240467	0.043918537915799194	0.038803940857019326	0.032431188493325935	-0.024419196979022173	0.028795434238347073	0.017192044737311507	0.01660338920485771	-0.02187960864270372	0.00010512192736683579	-0.014454701780604429	-0.021719777657679185	-0.011114285376051247	-0.01497816210415337	-0.017758773578001597	-0.011247690563208013	-0.012811940970371416	0.030209698736477886	0.002691005875438024	0.0005352352111724912	-0.004402087244426034	0.0033489070779967878	-0.004802613853217119	-0.012780377131489273	-0.006165821348590117	-0.016230315446138566	0.011771233977304063	-0.019102360677181685	-0.005692250199920423	0.031657604737850786	0.03373322596981104	-0.013002805090866099	0.015726795722751763	0.004118534147840525	0.014435636391138817	-0.001308415405812502	-0.01467653349679826	-0.010379387881885638	0.010427138943822079	-0.018492719204185437	-0.023419574079864003	0.03719806789925939	0.03638190025456245	-0.010990471733763996	0.004644603613703002	0.01972305220020215	0.007222492867762276	-0.011835151925774612	0.006607421895495069	-0.0033525189711394177	-0.010491574340029397	0.0017145575815597502	-0.002437511873137843	0.024695588707982385	0.02355148909349114	-0.02130747969309077	0.019065994846522882	0.03184507166524986	0.007378818035516654	0.005130548785716227	0.02362805176776378	0.03582784667578115	0.017843640646024284	0.002455658665416638	0.032712116388203094	0.030740480596191888	0.005348096669339553	-0.009519924298923843	0.00224070119356673	0.02064523100323018	0.01853051474282913	0.033469750556868405	0.023332685893440952	0.0318060951234978	0.025103994842608945	-0.036613014827567625	0.06456507159316172
1.0	0.03590265232144263	-0.007743235789689273	-0.009134739892611654	-0.03838842653467267	-0.04766266069590286	-0.04038688217898906	-0.04314654071824903	-0.026233024760469514	-0.06804940095015022	-0.08712329801734894	-0.06082970964983761	-0.04556996278848391	0.044721158102626446	0.03329529976645862	0.028037737562523868	0.009317548306458201	0.0117714170032866	0.0037805462313329485	0.009318567870347683	0.038227279637219724	0.0541031051550237	-0.0039007964529659267	0.036362280114033696	-0.01147997759576419	0.04453940879586049	0.024951288805678207	0.026795396261796278	-0.02152745833367542	-0.01679589602605941	-0.03492886669281886	-0.016902704894384002	-0.009375071916519151	-0.011965501299967762	-0.025081762944996033	-0.020581608164274123	-0.008443579065802287	0.043956656042018094	0.011580343044038155	0.005076806069271134	0.0052168604489818415	-0.015321198249312495	-0.011763048334687609	-0.008471030904252996	-0.0011676125944479754	-0.005351275549003109	0.0009480631356776348	-0.014810087908711134	0.012709380830409345	0.052774268675121805	0.05338384681867564	0.009833854725071034	0.024987867151655574	-0.009723143992282746	-0.009171551966948244	0.009585819027670028	0.00695614773528469	3.820877601945494e-05	-0.011263021240742688	-0.01651857393606082	0.0025518340055697974	0.04707901483292193	0.038821176150626135	0.0001875405244609052	0.01798135569335335	0.012283950426200896	-0.0020822808180134267	-0.00019985225960456043	-0.0011966441144986573	0.00882545916468691	-0.01983794222640295	-0.01736126293627649	0.0011358598744603543	0.04700476459137837	0.03387406867828374	0.0006481411698232575	0.02025366932707756	0.014584335093894951	-0.00966678683299399	-0.007619094649826907	0.022984599679831963	0.03437485729922818	-0.009757858520464402	-0.0013254418840854543	0.03568632684355988	0.04166434241555378	0.016519275014088508	0.010608556303377481	0.022160113148437688	-0.001154532467197933	-0.018367651588432732	0.038476711541439945	0.05195632824417362	0.03040836963581589	0.00935873090862177	-0.037051292429775784	0.061249236497466664
1.25	0.01458158037488222	0.004704576130591942	-0.02452948423538609	-0.03118044258590419	-0.05582445963679156	-0.03753837849599234	-0.03260859167936975	-0.025994738971905462	-0.07836418559533309	-0.08536861457587963	-0.06003151208660368	-0.04273075187721859	0.0297177563452502	0.02061407031218271	0.022011664389397	-0.004493460794607107	0.007396057738663697	0.003441196223330778	0.016860248250237353	0.027739962367220317	0.03904473071169334	0.0015291860333437324	0.027221732067485405	-0.025952817294664587	0.008868232378450358	0.01952842860910059	0.011176675493612731	-0.023460891716989785	-0.0261330006293381	-0.03842032787502214	-0.015384027287685675	-0.012417626020322703	-0.027307738308034013	-0.030126023246633438	-0.032085363717818616	-0.022106229787882903	0.00360116104449576	0.016078258550787705	-0.00782180935880361	-0.021947647913926116	-0.03140565022732161	-0.028497328734505722	0.006007897954039387	-0.011317467346545707	-0.022701756747716295	-0.011506868159818329	-0.02907740393776942	-0.011271768392324077	0.03222529011049957	0.054535829539218816	-0.009341788987420108	-0.006917750929906763	-0.01766749979200366	-0.01884811911603368	0.018008050902649397	-0.00769570952169174	-0.0202971744327608	-0.01392085374080082	-0.02965444382113841	-0.012820489576695071	0.048087158502195526	0.037666348605515376	-0.0070390757882835	0.00331687078904086	-0.0002133932259609228	-0.006142368182453117	0.010230042114872329	-0.010396617880744918	-0.007762577904372403	-0.02965950946850887	-0.018200100989740065	-0.008090170673654362	0.03563815759497807	0.011544837110149808	-0.012428330317668712	0.01237493408105722	-0.0017752787920824464	-0.017590274498694103	0.016510937211169474	0.015024952820490378	0.0036828125821993796	-0.01453664608360894	-0.02533861102135676	0.02149557059437296	0.036664803768034326	0.019773066687239438	-0.0008298644061902061	0.01823889565346476	-0.009425561311688091	-0.00709241261640331	0.05017024501062323	0.03589319043432648	0.024362440827229048	0.01867684739325537	-0.053560485568003136	0.05100363393721741
1.5	0.010586687035370301	-0.015434010013841815	-0.03395058276819052	-0.03493040369736683	-0.04225838025466627	-0.020578891014408185	-0.0367997008101561	-0.0453072434347348	-0.0876219483288421	-0.08778062440945275	-0.06619635343936553	-0.03970924703704842	0.020881700258795766	0.011027651252623116	0.01049665150689899	0.009041025562643301	0.010862580533208321	6.633609936051998e-05	0.0005277451283533519	0.0029795737705968217	0.030934923070426612	0.01572666578442583	0.014729304010296984	-0.022488062428361377	0.005559330302490617	0.0017971246391981222	-0.010035994145423444	-0.030378964179792745	-0.013468336319368446	-0.03888222725342916	-0.016290565195272055	-0.03181201338746048	-0.04117900489814402	-0.03682070220137673	-0.031421354998414586	-0.040212265319222895	0.009804501045693692	0.005460926258043786	-0.01352938941519527	-0.0014084955348254158	-0.0013847148312472468	-0.017292888157724062	-0.012932010488337253	-0.012206862055981094	-0.02730590341383471	-0.002343387146269804	-0.03026977367563949	-0.004603145629861249	0.02384944136410433	0.03383005734078326	-0.00833741694733936	0.013418191136834734	-0.016167432975315088	-0.013650208351194903	0.011918277178363412	-0.020633896443127464	-0.0340089347522044	-0.019672302135562703	-0.038669724559596885	-0.03082096226360298	0.03168769250999259	0.02493071707986172	-0.02006653882449949	0.01052867869230717	0.010280845489420876	0.0074140067162411505	-0.0011959898760215415	-0.02064767204535828	-0.02571842277057873	-0.043247846127652534	-0.025345048028217687	-0.02343620717202005	0.015403303987682637	-0.013370612413178773	-0.035076425867522076	0.005646757206799691	0.004232949411291931	-0.0064377288859303605	-0.001178458367421087	0.0017344801732851467	-0.005522707466154242	-0.021453351989031477	-0.027282230728345958	0.01600393691441565	0.02253856660591097	-0.0033487436040718355	-0.02339946956471689	0.004121287606657087	0.012228724389836743	-0.0017639206513973549	0.033640939774252754	0.008250828062538684	0.002673433291508487	-0.016133086390222262	-0.05888527827399462	0.029007243116719705
1.75	0.01595095648944206	-0.00205002178549174	-0.03493817424381135	-0.04685938514367355	-0.04519967107648504	-0.038798218356978	-0.05832296090925157	-0.05810560575130014	-0.0932949456678534	-0.09119708358806561	-0.06385796168306351	-0.0421598037724672	0.020289354040955776	0.0154438941059864	0.00801493859183039	-0.010819714419978532	0.006739381498037267	-0.006594022014379419	-0.0016408296903349107	-0.01218070283539513	-0.006698340949354176	0.004867932105860562	0.02602235167153616	-0.016954205773877074	0.01924987613032092	0.024922874253688	0.005322562641066009	-0.03128942712548405	-0.014895612988106266	-0.02808660735548535	-0.028600241058112708	-0.0446505815188169	-0.04675175999385456	-0.03806798386183302	-0.019655891022601346	-0.010368398595948014	0.028131510348907873	0.018069140666068628	-0.008180549985959129	-0.012094305742570977	-0.011055763491166881	-0.016600283171132546	-0.011545831060836509	-0.03393415361547997	-0.052510425961017126	-0.01350237290852796	-0.027685257544331154	0.00918352977081216	0.03167952968714577	0.04641822804527629	-0.007052417573374936	0.010946527312977405	-0.025423390794747147	-0.016943709526658746	0.007855846880542694	-0.046044591582945715	-0.045866607000020376	-0.028326979248133266	-0.024036534146880006	-0.011694297806216225	0.03848956415946936	0.044757239923064684	-0.002540429868450156	0.007380993961239923	0.004749187800462906	-0.008683684213036003	-0.0032850152797071486	-0.04522800918721548	-0.048677430999719495	-0.04010705674896736	-0.016942583927030463	-0.004920511346003131	0.04550320013678483	0.014530046904160987	-0.008937212420203344	0.008054947798367518	0.00792236923020928	0.002017810317286428	0.007412875610899372	-0.01282342595635877	-0.018181178943304177	-0.02899072032240202	-0.015392996244073975	0.04032986763027824	0.030029994603200993	0.0096758471436037	0.019448458052917783	0.009241761885391386	-0.004035722230725014	0.004102692679200881	0.028874147131848327	-0.0003495491972845821	-0.01164763758695686	-0.02327180095933795	-0.038619660561781954	0.0489741678542745
2.0	0.018459589999739345	-0.013647694149889589	-0.044032865660209974	-0.04020546398965835	-0.057453274315188596	-0.032703807666616735	-0.045625438056145384	-0.042621378404784804	-0.08373338266261063	-0.08539391588224055	-0.06840937383847598	-0.04779948474030132	0.028216023947514435	0.0070120052389315846	0.019620073590682074	-0.01611108439290404	-0.0024927499548654253	0.009521845055492861	0.007226015602018299	0.01557914196448923	0.0259791053730547	0.008841480853870654	0.022326941296119118	-0.032046094042605555	0.023024675742371326	0.016295554902205467	-0.00013918915577826318	-0.029060276225196746	-0.019082518556449712	-0.03555839053785004	-0.03193428168524215	-0.02635996703709409	-0.026843998574497485	-0.025555541079277433	-0.03145550762811178	-0.031694602477378486	0.023004555324126985	0.008723558460853098	-0.02646333196217604	-0.02120700946165588	-0.01331526284504636	-0.015521108645719872	-0.012505665662814636	-0.017508411602374596	-0.039172208801966035	-0.0044407414705066595	-0.039877113728950364	-0.013590042254311152	0.022800805557764703	0.03904858450554893	-0.013541733543965873	0.00792421488861067	-0.010519280723521873	-0.008680559011760403	0.013020998448914911	-0.013133782663651838	-0.026552721781516075	-0.022487241026615645	-0.0453933923620487	-0.03846691080682846	0.03957856550919581	0.040891396040037	-0.022071486970599852	0.0026654986398947367	0.01552822097706319	0.012019906696206006	0.007185924268124588	-0.009063063022312301	-0.013913734968545088	-0.027564023979585406	-0.02628274116731144	-0.031443506973167834	0.0513513578002428	0.0071243375125348285	-0.02016443607375812	0.009847736562856368	0.008659257812081322	-0.012212428732368219	0.020896815322194673	0.023682325311527752	0.008994445164976106	0.0020553620128005434	-0.03157525672299538	0.0038087456788574725	0.07163806186469751	-0.007345155604389142	-0.0056320719856955415	-0.011184721437831946	0.0008009091263724843	0.0322644396278427	0.04355973391108986	0.016738612454984536	0.0032875429463035677	-0.0025012911096616852	-0.06157482533314593	0.017489164979410055
2.25	-0.01703367787289728	-0.045457959703023354	-0.06333926253247213	-0.05881833937028544	-0.07231773166093297	-0.05777488453087129	-0.0721437163860558	-0.0701984582877439	-0.1026832398405978	-0.11078271693802469	-0.10329025322505092	-0.07561126501682486	-0.005820358411606996	-0.019024642138157744	-0.023727015655660932	-0.024629012235798886	-0.024173820498068377	-0.021544639538172372	-0.021046595931614676	-0.017881682522271458	0.008968697036551232	0.004092136287301762	-0.011686654793477858	-0.03903802053095762	-0.003418007914446519	-0.018438358480237615	-0.02412302282408646	-0.04378520138008324	-0.04080850088523452	-0.06088270236653065	-0.04166480102323056	-0.05870106034138464	-0.056201808341248605	-0.04300536867824434	-0.05438365431434955	-0.05155393230013999	-0.00845194570238128	-0.02030571479711718	-0.04519851227669147	-0.03417483927421261	-0.040715228180491225	-0.04048586548633831	-0.03493799177189816	-0.03937484366773325	-0.04879642811607132	-0.031755207641077365	-0.06857398618700838	-0.022297462443201632	-0.0048354195559567326	0.023487941976574722	-0.035795988735895456	-0.020764049993177824	-0.04045312575419524	-0.04663861734142477	-0.015245338512709816	-0.04709261302867823	-0.0506192756297969	-0.06051996075307925	-0.06255051093484587	-0.047720962192536465	0.02441982878865484	0.016779439547299935	-0.03844116379768181	-0.018685294136134012	-0.021012873336783866	-0.023892102596782427	-0.028836338750010182	-0.02912736100741159	-0.05389574064375702	-0.07244543332935433	-0.060039280699738684	-0.047682318505414656	0.00968059671057242	-0.017731782902164206	-0.04085604999299164	-0.009793601380997496	-0.008925667956465932	-0.023529644948382333	-0.012841509310718313	-0.015608305372453557	-0.017816883496883984	-0.051529547201511094	-0.041715918711637545	0.004488782941677483	0.03426232134590079	-0.036669190664339824	-0.029079700133062658	-0.003291704277050167	-0.034900956907720215	-0.024641586760782264	0.012932828767107274	-0.017259738147091752	-0.02440330187906159	-0.04456823772106999	-0.06444318503554275	0.0023683935147649215
