	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.24692218432936774	0.2594980090806893	0.18180130480025175	0.18020700776777188	0.22538471777922675	0.22004783594608035	0.20181035066307618	0.20850349686928304	0.22422584113315608	0.24802824176269886	0.2227340975380862	0.19470907558822964	0.2328314277351312	0.24005458555669892	0.2359578105448575	0.24134777862589712	0.2674441793759403	0.24477942492222832	0.24943519664588015	0.239471883918173	0.2924917505572047	0.2850934097544917	0.2755824201518719	0.20120549416699723	0.23868410511492266	0.22660184154608407	0.22863622037733028	0.213804852112585	0.24827922005696362	0.21891310312851928	0.21598118959918025	0.2450387227220445	0.2765529270972107	0.26515396900836286	0.27157007532374455	0.21132132804211146	0.2253056061720243	0.2026935269524489	0.20187762513903068	0.2091646963783104	0.2119374139766359	0.1984969438327932	0.21047732632535654	0.23438291509495388	0.23901631471357132	0.2620393745257429	0.27740472104476077	0.1910205556694097	0.21842135072262112	0.18534143882936754	0.20524475713974272	0.19561869684887914	0.20363388611845612	0.18762141489515072	0.22070244148202547	0.20790341903532894	0.25291823410392245	0.2333873278764272	0.25181324321073945	0.17222435003918676	0.2296273349057517	0.20179217295811427	0.19964894794698063	0.22540124778260964	0.2006870778257659	0.20421975669399556	0.2236355383642895	0.21228345139785962	0.2650397967408263	0.2360202939222634	0.2550917170281752	0.2033597530173426	0.21209252825957503	0.2157322942853755	0.19406421976134558	0.20576048864549712	0.21646260319939928	0.1917999314666075	0.19798561777109566	0.23637430349799282	0.24195730223672285	0.21302016445139216	0.2161363301769177	0.12975379671648712	0.22276192106269246	0.2290089734644274	0.17871057375449262	0.20107497411933556	0.19182418953094688	0.19275733492075425	0.1731103465875598	0.21681858378595276	0.23256604326090807	0.20682418220637994	0.1052326286853528	0.16119701000739028
15	0.24142188475390997	0.2452492613844946	0.17534985197692546	0.18734104923756112	0.18576491528994757	0.21629813378721194	0.19779526989922436	0.18871834617812921	0.19554443518293946	0.18469694170986	0.22403206936418602	0.1695765900854917	0.22296617247799716	0.2511143517316743	0.24603329648056466	0.2301017522226726	0.24174550057749714	0.21184882117661538	0.22687659090354284	0.23505187307989883	0.2654271805668752	0.2750026040794382	0.26496898693586823	0.1656433066963232	0.2253384920785305	0.2043952820934226	0.23491504851514283	0.21721479403569968	0.21581843673534365	0.22115747344026726	0.20265216659677188	0.22745543744132346	0.2371276110837593	0.2493432216945003	0.24356223657571946	0.1955816055857107	0.2218930506988046	0.22633382552000775	0.2236209205305494	0.21827761409277874	0.21826994734996216	0.20019219894146867	0.2150339087335858	0.23267637000160585	0.23546260673052605	0.26007516372997813	0.2753399186066026	0.19852416354506597	0.22203479701272794	0.194834149839047	0.21753892225441798	0.17724784309957792	0.1803976626473628	0.19140807435411597	0.201752521691175	0.21013888200988323	0.22845932320476303	0.2276140678443751	0.26297377833080093	0.19063119630431602	0.22723261205577805	0.21926123907043865	0.20866772641718034	0.20104547436984918	0.1949567304623542	0.20960214014205464	0.2079315777695913	0.22764433573958534	0.24102642610238623	0.2234238375389657	0.24906535804350685	0.19789134318473706	0.2188179875803642	0.21388198610595402	0.20933027619524996	0.21761045294859624	0.1787940074646533	0.21747138395758356	0.20753622017984819	0.22402760654720405	0.21837799829819193	0.19583560336387457	0.20210177792954986	0.14864089196610175	0.22965202707246563	0.2230747036337089	0.18875343244723558	0.21489508821054004	0.1843745260053239	0.19785344120376297	0.1996432519503783	0.22352593156930722	0.19375807306890983	0.18699930255472788	0.10464617824518756	0.1551130702043518
30	0.22327913422210569	0.27198476119080656	0.17048976893502577	0.18150973918657895	0.20556410854224264	0.2209682411925703	0.2045261503899125	0.20085766717615963	0.2270213887457591	0.20214052412739392	0.18113540918690035	0.1962463810240119	0.21405749893487758	0.26945377379106117	0.24749484134524669	0.22365414260485159	0.2479761876585504	0.23736946961540997	0.25745914236201284	0.2581800025109245	0.2841205438621762	0.25499339607682403	0.24316833330294238	0.18287253974170126	0.19994670889322563	0.23111743630369064	0.22647770978369142	0.20786312204059065	0.23010632245539342	0.2204009965049523	0.24230533499965412	0.25601802832587695	0.26203023831217387	0.23268206585099732	0.23517061937574282	0.20208299877966043	0.23188120334338302	0.2114508043574136	0.207462538612635	0.20858208291251593	0.2120376787398327	0.1870400476300064	0.21876849207122906	0.2630386068405118	0.2421274307077716	0.23296844635974495	0.2574696216383314	0.19204312833282872	0.22095657719226153	0.20822867832143188	0.2130570298696366	0.19331674843855634	0.20073932433604308	0.18257691753231	0.21860092576384646	0.23248836502690268	0.25038127471295574	0.19772182191125104	0.2394151608282803	0.18221832829766088	0.24027540366914216	0.21778686908541595	0.20846088478133257	0.20453820996763208	0.2146107616108251	0.21627647200066236	0.22810490412053036	0.2554730009398033	0.25700860511071744	0.21214579326301564	0.2544019917853256	0.2108849635039141	0.20944770779862987	0.2254419230125178	0.20563730702187294	0.21332585709365326	0.19917275112146382	0.19949426893607472	0.22525925187431362	0.24618814028283587	0.23589640185054495	0.17359647823046495	0.2078998010128379	0.1687094934734453	0.21323403345295586	0.23525650105128224	0.16929004207482734	0.18337567324228526	0.17776889090995068	0.18688884776651954	0.21367450333413712	0.24500038345316186	0.2224485084796994	0.16817101304707474	0.07636117109275996	0.15998145998640434
45	0.1896272770272733	0.19077752400536246	0.11258583363053987	0.12315540415424042	0.1538582183482038	0.15338826034502565	0.15008186250174183	0.13447688605264435	0.16435047092837723	0.16924717191642988	0.15638145362380695	0.1372009073287745	0.1907475324304097	0.22168575292393028	0.2172564647790011	0.2078209785885549	0.20349141640521642	0.19156104618176945	0.23236124320378448	0.21391171386720378	0.2553884840171838	0.24837527640283177	0.2135963486572134	0.12689076459500426	0.17453790599604335	0.17621745968790592	0.19695528060774087	0.17565477803104557	0.18276840311901632	0.15904309340368283	0.19156200794047754	0.20280198730446386	0.21833041122284422	0.2297696864986421	0.2235057675222175	0.16009782566961245	0.18669294101404663	0.1977238981042218	0.19739527265435403	0.17407978437650012	0.18357669625733058	0.13992543548735753	0.18884833252703107	0.20865052521915142	0.21157941714414008	0.23703778514091417	0.22737603937009476	0.167645727589866	0.19375457464507645	0.17345570779778025	0.18458437857643606	0.1751959335747616	0.15312850445017412	0.14548376715694533	0.19858364849814397	0.18153828775340997	0.1955276456339581	0.19648539414748029	0.23120042258116774	0.15345943160816103	0.20975777970981116	0.1999367583028609	0.19287432970688984	0.1901557011806898	0.18324333988725916	0.1929012268486205	0.20498789130591577	0.21462680349409435	0.23201113197729584	0.1976374063860132	0.2157655571404969	0.18454128677056814	0.20666646822676915	0.20468628150760115	0.17488188466958285	0.19731139193938443	0.17389103063300215	0.16940570604805327	0.19772477165297866	0.21028597711809044	0.2011092940429995	0.1748689530166599	0.2066327910258216	0.12739613572072567	0.18562459537691878	0.19878120234006544	0.146832323156781	0.17175006697091405	0.13653689515834597	0.1711726083477569	0.1544818386103058	0.1977881729916582	0.19076692780074372	0.17383791303143348	0.05827826105600154	0.1264480573279892
60	0.2270983823217123	0.23838737697318219	0.13630784923498057	0.1703558975422016	0.18511241490960875	0.20954482189079027	0.17945961434947344	0.18597255157794745	0.20167329524940858	0.18192250044875008	0.20094991827488973	0.14955906928243362	0.20115692966212756	0.22388462188537295	0.22964730145176493	0.23539787795154776	0.22730114354120123	0.21127130434491614	0.23567522963597498	0.24989157985238458	0.26751995905968284	0.26766280293618183	0.2601025986411418	0.13758491409013007	0.22157453476421948	0.19779464321498585	0.2234825490230167	0.21153424916372648	0.21858472302262388	0.21361263737150624	0.2100621056311992	0.2324239011870496	0.23106818701936543	0.2356348971966642	0.22959005607062305	0.1915866065686363	0.21242321226636934	0.20589386760696426	0.20228753884180853	0.21654657595045163	0.18695467385915818	0.19650647518398034	0.20346119678749347	0.24623008693556134	0.2199264672631318	0.2426010753155996	0.276784655158775	0.17689035424612953	0.2125874408022237	0.19566303484784928	0.19329688651709348	0.21054060880090775	0.2001247154901942	0.19599753277733065	0.21763460354352082	0.21441830278601384	0.22601705210198023	0.21358293038087778	0.24363691134765086	0.170797395910909	0.21630687712067004	0.20076595955475818	0.191703977401784	0.20962074423864552	0.18140166863438073	0.2160856910772055	0.20477110136819973	0.23501587887169245	0.23317972334318937	0.21137737098846898	0.24393536510180622	0.19788243811619655	0.20648000707062186	0.20292731554919094	0.1794466765965229	0.20675134284735863	0.1740428408054414	0.20435421443397078	0.19875289807390195	0.21457794636505545	0.2039675057677132	0.1706850389390485	0.19871227558203786	0.13153062740200983	0.22326452210013847	0.20195395565954283	0.16912054347855204	0.20242760775104068	0.162928934535076	0.20116472432914304	0.16637780646053396	0.21506656443264285	0.19994995131941534	0.17231707198703153	0.10879807666465988	0.14211636463424593
75	0.1848038184339411	0.23326628458318824	0.1387041241406001	0.18996043751099262	0.1875276888236312	0.20041905492396267	0.18962496852049515	0.20241846440149058	0.18579169348400948	0.19347549595730734	0.1618228003378632	0.1595808889527545	0.20297029600887853	0.24518477033505817	0.21895030939558055	0.23970607310626613	0.23237660146423594	0.22105920436950635	0.22630025698552875	0.247528217459776	0.2653423050940733	0.28875755989351004	0.24100047455851706	0.16372749360604805	0.18119347929826185	0.1996256405983528	0.18788980993435378	0.21146715768198737	0.19931047924409773	0.20062404392322708	0.18563499203898703	0.25399576866846285	0.22503484437797172	0.24055008969849834	0.21652905169994874	0.2004881079200509	0.1901311385374876	0.21012954469770057	0.17530541478289258	0.21956686669736752	0.1779348023890826	0.1745154313317151	0.19366332925130444	0.25145650019547483	0.2015693538589745	0.2587186839692065	0.2506327233377617	0.20069819535164185	0.19599907777980727	0.20581214418925542	0.19233355810551178	0.2119010677653821	0.18347809045883665	0.1929606967070933	0.20365450420076325	0.24077360731985736	0.2120642173992751	0.23356232293977203	0.23438512163423203	0.1819632575204902	0.20916968718864182	0.21941553511897482	0.17827427685934333	0.21201461664712806	0.18091502751864255	0.22866519371352578	0.2217587539810305	0.2569338120027065	0.22122668348212984	0.22480696241187198	0.2121860664828245	0.19353521664866316	0.2027995479937716	0.20101694954492896	0.1591372756620803	0.2071186788969012	0.1615173084451435	0.20569227501327209	0.20919883849362608	0.23628466610195786	0.20475691313766253	0.1893495707227157	0.17827966483557967	0.147794834974124	0.20744885568223045	0.2136898444130978	0.14856167323827035	0.19937561065113646	0.1640662941547684	0.19802671695097962	0.1873863643259818	0.2142099705832003	0.1917248728258824	0.2150336062278408	0.06514371189931523	0.17491661739245967
90	0.1884304184503554	0.20606314556943578	0.15549354466303208	0.13437982045437963	0.1777059885394127	0.16213938434093755	0.1457741075603055	0.16361709092419202	0.18117212146303804	0.2020536836331328	0.16930639727298752	0.1549363676640336	0.15677657123728012	0.18837787792734967	0.21591860609169983	0.19638283149260108	0.22306749433038553	0.20013516612197885	0.21639179420546933	0.2229701051919489	0.2492094463751675	0.25571185571525723	0.2252077327103884	0.13017113644661682	0.1683436956731006	0.1513863880026779	0.19766383859249337	0.15113789187938523	0.1783168115940562	0.1826267772498213	0.18847470639928338	0.1963776159497484	0.21348919664314983	0.21768010808570287	0.2056953325099163	0.16457421330634042	0.17844428584485866	0.18144596234277843	0.19463814686496017	0.18345042195457578	0.18660089379990155	0.17998603147087847	0.20248814876012866	0.22444722928152566	0.2229260578539597	0.24637724606950764	0.2494479016639605	0.16745417235036042	0.18053884620174399	0.15750417426192842	0.1882963075908311	0.1765941445610864	0.15547449883363557	0.15529254138712956	0.19454978318618465	0.19544907959709296	0.19896960643163375	0.20132831870379825	0.1891611557954312	0.15021136720204686	0.20550111831177023	0.17627411177790428	0.1843656444074544	0.16657235328939402	0.2035541775808874	0.19529978575926	0.21592200808011391	0.22666802586798873	0.22822962891430593	0.207660258382995	0.2248360950556656	0.1814910718192717	0.16204840392646191	0.1778179020896412	0.16863737447698973	0.1772891015767205	0.1493972365019905	0.18741923078929063	0.20018654237850436	0.20807741702835675	0.20641355154599206	0.16315781632012574	0.1840306751362986	0.14246524145864764	0.18334899417192882	0.17495331863707486	0.1461201502286515	0.17205339918993381	0.14038714666329793	0.15368876931226433	0.18494918909045663	0.20476768386550342	0.17469146600987973	0.18201477318873072	0.062259925602628746	0.14559707763829222
105	0.22188241523659924	0.2127919036579342	0.1492641669729633	0.16517834464335338	0.18394388090945196	0.18820391485311982	0.16732415459452177	0.16835884020374697	0.16806219861719135	0.16303068246238644	0.19650239760444282	0.16593567217447497	0.19352662657181352	0.1976328020800716	0.20719409570438893	0.21865655170140152	0.2161681825653894	0.1984017636467029	0.20801065858383272	0.21022781016363198	0.23920777543859828	0.2511788142118233	0.2522657449875168	0.1509308772649358	0.20400815913493597	0.1654660753675139	0.20463205966590475	0.1857005559134915	0.19623102756787936	0.1829149738892008	0.21160321953304922	0.21128544137221944	0.2188779743970149	0.21435416107671842	0.2340416028439898	0.1673578698364658	0.20020813766953272	0.16413418402819563	0.18380604909773246	0.1887104706757347	0.1952404120944214	0.17166410837855428	0.19523761199632908	0.23710140308086763	0.21699614421441152	0.22549405371317088	0.25734166825863397	0.16666861566273172	0.17957872718137569	0.14123550819897074	0.19021689702292138	0.1850139972080404	0.15931376397555091	0.18257140775989522	0.2079656080441944	0.18951225972543556	0.2085693347608305	0.19527885743663176	0.23644317872385878	0.1442325312924671	0.20826584327745884	0.189166160964658	0.1834891360154982	0.19103983149188175	0.17465601572136702	0.20442203569676437	0.217458652300863	0.21758437815211668	0.22857823040520314	0.18758846977972238	0.2275268858990978	0.18772424126531723	0.1869911391377933	0.15163228860375091	0.15974191577334146	0.18960811703975305	0.15159405265824397	0.18563727124383345	0.19762209154205362	0.20625546172728756	0.17597652653647558	0.12764599111237282	0.21623115054191994	0.12448577524661356	0.20936420103049508	0.19464012579651452	0.16830942413900862	0.1640301951974501	0.14079806174853768	0.1860029592728052	0.17691612307997362	0.196995704382326	0.16103465002005946	0.16881004087470353	0.08351894356579789	0.131561807315063
120	0.21142269448634443	0.22972495960237493	0.1656071296583671	0.16200563439636928	0.20535225163603715	0.18887820350504908	0.1797210492887847	0.16190169786389347	0.2011403661874992	0.17144833935796938	0.13748139259431125	0.14215840104294847	0.20260983670649726	0.22097530826376946	0.24643054961969096	0.22316943757417274	0.23039100228414572	0.21519417303086943	0.22969118326332016	0.22672618997488564	0.278610111421651	0.2537080125829621	0.2372705184948164	0.15392566225221266	0.17189775989878814	0.2051586060863528	0.21852089335428598	0.18080526720556633	0.21256399157804937	0.17605819308939663	0.20896108537919567	0.2267748795768156	0.23318947079177482	0.21097569926335386	0.20301118503005494	0.1812491347094936	0.17227834537156259	0.18362675824198482	0.19748252424001758	0.17053737046411815	0.17307005817053417	0.16718599375928217	0.19062739506205012	0.21338788671550285	0.20355053514731813	0.227242882065067	0.22459859408869354	0.17803217546136121	0.18329495816572655	0.17394165379852491	0.19318221953491949	0.1553899516748806	0.1604629738810271	0.15099855406597334	0.20991459322914013	0.20879273581668595	0.20594468567723373	0.19261488744103888	0.19715846754463406	0.1561544844493465	0.1844933021503617	0.18881870102012466	0.19107732112628112	0.1714180162114335	0.16797034787486143	0.18948201751986435	0.21749416015121176	0.21261509478435223	0.23752347009915142	0.1904029046149956	0.2005214093476534	0.18586549146895132	0.17740625012537398	0.18722715886118496	0.16438078782685878	0.1657659961050823	0.1316980129249726	0.16436923160439726	0.19492293838586644	0.18540179754137365	0.1813833497697663	0.13916431439604918	0.17305940352272325	0.13508067473503907	0.2134986445222618	0.21551677361234545	0.15990217173791355	0.16848238790511388	0.13451632513190154	0.18586026826283278	0.17314768954740034	0.19303938055475003	0.1879823925525082	0.18097845893436104	0.034518095881729625	0.12949237375139744
135	0.2006110134112704	0.2283356439495145	0.16138197716915276	0.13845017473048007	0.17755171119499047	0.18927180723945952	0.15781533981209575	0.17342049765389994	0.18422851081627611	0.17066107034410877	0.13536332930896738	0.17898684507524043	0.1616194286387022	0.2208265207433499	0.23999393686582127	0.2154911405530048	0.1915635956859958	0.22270384071162957	0.21695505268541204	0.21280560599847986	0.2533351865722419	0.2537143655157451	0.23220107887897168	0.15558351667017134	0.14891491997208278	0.19858116268131043	0.21411627899303587	0.1939729480798532	0.17868583973439867	0.1915020588968439	0.1879506600203108	0.2213745489630996	0.22082733006143834	0.21555513379169988	0.20309417024723095	0.18677799432117878	0.17082661169171814	0.17643839711689324	0.19714745280018559	0.18726747498262888	0.17217019784460152	0.1762524547426576	0.18065059378915937	0.23386454577910967	0.1869505923720232	0.23421573071013524	0.2452078244968759	0.19161693678822742	0.17372144943650747	0.1861827881143749	0.17791501611153754	0.1655768005785172	0.1490830566322165	0.1560662603061968	0.19279806802352656	0.19417724900576838	0.1704359501174162	0.18141153198698828	0.20651757218651307	0.1654831807911095	0.1638410915905204	0.18758376186115538	0.1800524324896517	0.1798172294105495	0.1421159248023916	0.19335732337058786	0.19723157092492682	0.2155717526453271	0.21172438077589975	0.19022086104137195	0.21465607146432236	0.20553986880773023	0.14688161924201734	0.19965772669163828	0.1846156062851945	0.18142740559023157	0.1491202051688676	0.17312414488200822	0.17095033122714115	0.1916534549659355	0.1781347924009756	0.1420708351260711	0.1827144971930642	0.14734927747416438	0.17636094264771346	0.2169537405140019	0.1677103582185248	0.16675541218258688	0.13650676389002891	0.19175284083336985	0.16388142268150108	0.1975554647234431	0.17308033311220822	0.16973507728739973	0.045449703781099346	0.16232433245303607
