	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	0.04071635635234688	0.012601515095039206	-0.04945167249179816	-0.046138279362416934	-0.0546454768283306	-0.056458606062807004	-0.05566127322144285	-0.05637973811380839	-0.029735830352040526	-0.04089045354274534	-0.05137061376824664	-0.054316316296576045	0.055370855535002095	0.04878908664733289	0.039632409987582384	0.057218979906820344	0.04555547075049127	0.015897819716192307	0.02602303631733055	0.04961269504707633	0.03096624505243989	0.03989143646901716	0.04904879121225536	-0.03944134810777461	0.048111799781129505	0.03924432177646253	0.03699989369790113	0.04261438267329065	0.020453025182116502	0.016392403608184947	0.011126913761365542	0.02529930490134019	0.036025153152982214	0.027725891199855468	0.033175714306867166	-0.04635301345097198	0.04219969060208012	-0.0006279312584657748	0.003971762376526411	-0.0028829185686950476	0.00662410398137836	0.012398458423958147	0.025865032927211817	0.002132093694092174	0.02814028640149363	0.014628802357877002	0.016717349113157587	-0.052319586382438055	0.051772646452067805	0.002716919918313687	-0.016879814507575974	-0.004045384991852863	-0.006433654805633404	-0.013803511320151451	0.0014865872806039682	-0.005331743276665635	0.01525600057825266	0.014142907903296031	0.0029470278615371104	-0.060297042306674514	0.021569690557431298	-0.03726470753757105	-0.023953637810241013	-0.006843667822758415	-0.01648734859611406	-0.01604353047566831	-0.006959745288517116	-0.02638304156769483	0.0008619796717007078	-0.001218590973404876	-0.0013003346974959085	-0.07449775549253335	-0.029981806893601692	-0.039997556962767744	-0.02855975685468648	-0.04028923299600651	0.00026268586546779327	-0.01850251523708757	-0.013792219598007138	-0.026988445398212546	-0.009921466811083413	-0.0022688443300475925	-0.0985660805401658	-0.07710050389812684	0.0025512892153649047	-0.0436875127347926	-0.03153102017229098	-0.00989111588078262	-0.022464667478545863	-0.020199469258015634	-0.02288138754723157	-0.024506191765432117	-0.004551860446372014	-0.017719146041150102	-0.09913691122281085	-0.08431813262298551
0.25	0.02491403201500325	0.00735653433189859	-0.0875382335429683	-0.0754463760758596	-0.10418036460655178	-0.09289241442793292	-0.06362799914808254	-0.06192267700315415	-0.07244182074918926	-0.059938563616836166	-0.05891613874928839	-0.0689755562361632	0.012101436923699749	0.009201087921686113	-0.0015994647015500352	0.02564411170565506	0.004289679954540937	-0.027324956124860245	0.002118040346634764	0.014819388611403306	-0.0037266264689330697	0.0067363914322063345	0.032559465863885584	-0.07352184431898323	0.018098456839919286	0.021975762587330916	0.007303882160268393	0.009854797829730033	-0.02004994550085082	-0.022007298854646196	-0.010884330921351881	0.0018542283984308572	-0.018004140439785765	0.00011770747671752124	0.03392222563027658	-0.07713739261369931	0.012541441858293367	-0.033375735683592755	-0.01774654956473315	-0.017440539730615878	-0.03280163132437719	-0.026061112535945508	-0.02321259521932878	-0.015620881669486275	-0.006300642969555681	0.006698786212226582	0.02079386353225371	-0.06672129312201613	0.0073324799023406495	-0.03542843952842756	-0.04757051225191106	-0.03800347984616498	-0.045467116343718195	-0.042096811307520854	-0.03186056542415405	-0.030654041142146204	-0.03127857844301102	-0.0034884859129827306	0.010352049001385921	-0.0980421363360083	-0.007160966027771332	-0.05475404693694369	-0.04244878384120648	-0.031125681414169437	-0.043969232246986956	-0.04902537570459459	-0.03151088786008677	-0.040061102400107684	-0.04006379131776039	-0.02321472134993474	-0.004927144675713868	-0.09432878534810113	-0.044540328940909646	-0.05884181257598528	-0.06720360543456375	-0.06230298995613173	-0.0481460141937361	-0.06455951557355563	-0.04451128224665307	-0.054084893137172574	-0.05186361341829726	-0.042615243140461834	-0.11494322923047706	-0.11575169184464745	-0.021685202432835504	-0.05621188194031848	-0.05230812511122468	-0.0276763008423469	-0.04997695565823218	-0.05721766461011152	-0.04465584427731806	-0.04979338368400299	-0.05627320072396502	-0.03479114065991018	-0.11568114671846785	-0.1136629601930432
0.5	0.025893709178747226	0.03770001649652477	-0.06328479234858739	-0.09352195438326832	-0.07543678550258254	-0.04966254473194259	-0.0673697290748339	-0.07456886755961639	-0.07755019405056793	-0.05343368563965517	-0.0567822219949328	-0.07206329909931339	0.0164766532695802	0.04533416912518812	0.02580744611110586	0.023532711487044722	-0.0002095419922332753	-0.00454501113282807	0.004892988018026456	0.0010987514650731556	-0.016411636122519002	0.021638101015570566	0.04070279956883027	-0.0682747305796256	0.021329087801047975	0.03840305422582424	0.009227909383509258	-0.016051106262286285	-0.01848780587448029	-0.011474298846268827	-0.019863317876862685	-0.02973921949606806	-0.03802082508039134	0.008189583207056483	0.028088574931283694	-0.0874833622075046	0.004109900918825349	0.004528907485215339	-0.013278660930746755	-0.030405387513695592	-0.027413092530434224	-0.014148840936232976	0.004919876710444693	-0.03135939079194311	-0.00959494246322079	0.01718090586126164	0.020090841804476844	-0.08082567420044384	0.000906444893094549	-0.008038086254520571	-0.03514651706289318	-0.05627805421509802	-0.024146312454284113	-0.029210712672617267	-0.03000913453187304	-0.050214000652114954	-0.023818629536260627	-0.015142800380664678	-0.0033299155651437262	-0.09421552769594224	-0.00538837493932226	-0.03806810019850221	-0.046956942891966946	-0.053750223870766334	-0.040209273186455896	-0.03766869799857964	-0.046818729031174844	-0.05628599609918303	-0.053474494751783896	-0.014717275102696492	-0.008410993999467153	-0.10273205377396319	-0.05960860740773388	-0.019122115357731118	-0.05115888211205172	-0.08051456596613946	-0.04807029122848111	-0.03945651974950021	-0.039318698558510556	-0.071540971645812	-0.06751095546132185	-0.031527222125267484	-0.11535642252572448	-0.1149430411311621	-0.016841693212016617	-0.03472827511977156	-0.048969498940614364	-0.050686976939989414	-0.0399352585513475	-0.04268516480569512	-0.06111702676282693	-0.06955714743066271	-0.058683683824726995	-0.04393174863892002	-0.11522583358356361	-0.11741741057379454
0.75	0.016428317818396043	0.03137689906671093	-0.07196434415855069	-0.07636625998923913	-0.08128860603309912	-0.08761938947201633	-0.08425894102173118	-0.09918130908044911	-0.06736348596974348	-0.07061673568741059	-0.07549336397765807	-0.08512121934538086	0.00850503358632776	0.03136215782347768	0.032025430478902495	0.023212565703325694	0.012198688402890345	-0.013950549551666358	-0.02246070123016969	-0.007305242052429772	0.006278496467156558	0.02400487273848284	0.02183313345647475	-0.08841872638580359	-0.00040893020887006193	0.028506606971732296	0.018873481223008248	0.0020707589962433715	-0.012506505472793639	-0.013531897704650742	-0.03028658963566838	-0.021230762226532807	-0.005605085884436811	0.013778072784007167	0.016412455248504543	-0.0940702527777128	-0.014190733951699175	-0.010544200829580297	0.009004523451635382	-0.016764567033784483	-0.027700232890972953	-0.012985812029462973	-0.012711618266974534	-0.0306630234046269	-0.00321761635120138	0.008247703275865492	0.006232470212993502	-0.09033113403550799	-0.005517954612004938	-0.01440064491493942	-0.026588867371482416	-0.044486764581004645	-0.031058744421550433	-0.04020564575359298	-0.046914102074050446	-0.04952706836789211	-0.019997737398349147	0.0005640709917081321	-0.0033998641253169537	-0.0935353447318201	-0.011624002329262473	-0.03861177018254991	-0.03175283664006223	-0.03589523033656511	-0.03455707166061356	-0.04486390122264511	-0.046540256430909754	-0.06038197323479408	-0.03512585111030053	-0.019617426608968924	-0.020040381600561596	-0.0991941984937629	-0.0626661126486939	-0.033477609409994336	-0.05326611464291037	-0.07212388159839145	-0.03216694661553593	-0.03501246900184024	-0.04842454511038785	-0.06541477526391559	-0.044599461605581814	-0.028172414363221043	-0.1178158851800305	-0.1162163145623637	-0.02997228339400637	-0.0441199995536426	-0.03863378516406568	-0.033339027291886425	-0.05383313888161945	-0.04951040765492948	-0.06184264937991743	-0.07440969267521963	-0.04328112534234241	-0.045871040994054924	-0.11735085870970258	-0.11774962595923666
1.0	0.0014619957026741903	0.0007577232480323604	-0.09552807781998518	-0.08987957496554075	-0.07826218957492595	-0.08878480288712973	-0.08669401388602918	-0.0609644155014501	-0.06968873951197888	-0.07390840812740668	-0.08740585992192423	-0.08741172458673627	0.013882940645541297	0.01159740228167394	0.029742985256772214	0.02652361937284431	0.003398183398330701	-0.008430583510824374	-0.003172467988300509	0.030638441526891935	-0.00236795583428262	0.014008028068262124	0.015636120186670377	-0.07801758738876438	-0.007261922700357026	0.01207944720429277	0.002464871686606973	-0.014368746101498076	-0.016619008674466862	-0.024612606838080253	-0.020658215412654946	-0.007926010808772754	-0.01451298429534631	-0.00464410591394554	-0.00754234354647515	-0.09353481952538995	0.00457127258783141	-0.029922162701353783	-0.005132573760975312	-0.021530740107877366	-0.03065374994043596	-0.018253537452547708	-0.0023786050006844306	-0.010865522390621107	0.0012286722873443567	-0.010372771916135726	-0.003915589579014611	-0.09603672978327146	-0.005474355475808601	-0.04017708500209044	-0.04492101310519653	-0.044968399755124455	-0.03864068194638176	-0.05244173996255985	-0.033453067428840355	-0.033450997508594205	-0.019101791983431204	-0.010143155551028793	-0.015961789930006742	-0.09204256715976566	-0.011310242371259605	-0.055205404943525466	-0.03492763187488335	-0.043138457171416955	-0.0278858149987381	-0.043418151689760154	-0.05192584568578679	-0.04364826498850749	-0.029630750204598877	-0.02601762592738871	-0.04127895238992835	-0.09184480613824228	-0.06560205606570882	-0.053602971274291256	-0.05187241144500804	-0.05974010480247188	-0.03753865620767338	-0.04908932927447729	-0.051481449608817564	-0.04388611006208781	-0.0413151676593283	-0.03360995798463179	-0.1175504431782908	-0.10649204326088071	-0.021848072474801805	-0.0645365556960398	-0.04026963351032403	-0.02297347632445801	-0.03925547270452656	-0.05720809657792442	-0.07289914480752824	-0.049143066803985	-0.043093077904899024	-0.054320976454429015	-0.11808091179306598	-0.10858942290198637
1.25	0.028217981252677826	0.03562796355418646	-0.07400240509535622	-0.09392634953667742	-0.10775088647854683	-0.09522480906456077	-0.07998869706534226	-0.06938985067591494	-0.07467517849315702	-0.04753026002912358	-0.048715107040335215	-0.06935539117245357	0.013373707928817924	0.03350691659152372	0.020622334631729133	0.0051904679668705045	0.010902829955172166	-0.03182334139198556	0.00103970341270887	0.01792252208950529	0.0020649804371589697	0.039367246770521114	0.04514059603409193	-0.06321829005745219	0.02386663891912605	0.02107936359092938	0.013285072430929523	-0.014878807491465473	-0.041600114501056884	-0.032051096404239476	-0.02900740907974092	-0.02008603950081911	-0.010326646640248571	0.02475263368583619	0.03425526911859722	-0.06963904357776443	0.0222290888987301	0.010434372598369657	0.00028056572146445413	-0.024419881804530197	-0.039221883542959135	-0.010780180838127873	-8.828468941929346e-05	-0.018897433473720027	0.004702195210187499	0.018082916686708195	0.026549825981122432	-0.05858643291896243	0.016627038649150994	-0.008776882816013687	-0.027457743086276132	-0.05356285208859918	-0.05983380147617165	-0.055485098768561225	-0.026110283319399352	-0.03579394296696048	-0.015156694150574912	0.009192560722980136	0.007679709394602718	-0.06372335190440534	-0.0005720903998001625	-0.05002236513830938	-0.030969056612508483	-0.050489315770654075	-0.06237932627550857	-0.05978201428667937	-0.03618950897594142	-0.0515912735311157	-0.03683940546713943	0.00271129762341471	0.0012879142638421714	-0.08229364620871782	-0.0500467465577602	-0.02776972280285317	-0.05178024459230024	-0.07750256842399303	-0.0687541469018407	-0.05880138268043317	-0.04102971413099887	-0.055677898172281526	-0.04509557145500237	-0.018723396343800103	-0.1039270019887868	-0.09753443334216219	-0.01789380991642331	-0.045133186795286384	-0.036699993018632915	-0.05165794324270628	-0.050752136209256005	-0.06180652611544332	-0.06165180513524518	-0.049801645982866405	-0.04365804599522205	-0.029388041648138297	-0.10600404055709925	-0.10384391574399379
1.5	0.024066812144750926	0.011459327949983888	-0.08803376540107224	-0.09676555507974977	-0.079253748142464	-0.08096387616669942	-0.06448004362086238	-0.06962726493363453	-0.05688849175850738	-0.05251495707864351	-0.0676224532924278	-0.09290041187956719	0.024701840384862006	0.007850335772801975	0.006005793855595576	0.01359762210978166	0.010539010037076912	0.010467217998566647	0.0026901023099156762	0.015093100083284183	0.02390662356533424	0.028561342026090397	0.025865715596265826	-0.09139900678932722	0.03114036766818018	0.009983112363839253	-0.020480590009853916	-0.022718329693290573	-0.01770116038006808	-0.012197285607047803	-0.01758877048452101	-0.004361677958081178	0.012379972323214972	0.019611652665941448	0.008834325780976038	-0.0946580393633962	0.018193662121444076	-0.028642603296939906	-0.01751931095138387	-0.03312286924909941	-0.0352851627404111	-4.691459979327961e-05	-0.0031576641674200823	-0.002796192469448844	0.0014931923564397986	0.01344409320958162	-0.00432220978972403	-0.1031100510831594	0.01468849311589765	-0.03659750672005235	-0.046698863743032615	-0.055720773539109564	-0.04251984271577519	-0.03343564460505283	-0.01736909249723101	-0.025095368961021658	-0.01263982813761011	0.005236046175336406	-0.025468637804540117	-0.08724719381278434	0.007811258224592443	-0.05803230364961304	-0.05135928246357513	-0.04802628545931992	-0.0330547359902813	-0.03889295001000803	-0.03353720160169904	-0.029459566464574927	-0.015371339698209974	0.006033730217689548	-0.015762060480824014	-0.1026676985491067	-0.041565972209819	-0.05046511269511339	-0.07350383123214169	-0.06766172489096012	-0.04739543880236263	-0.033109751666860476	-0.03606438498500575	-0.04645892018533554	-0.04394066600905	-0.02110877809669065	-0.11728772181903402	-0.11248551317190561	-0.019881397721983052	-0.07545505998334848	-0.06148718379722845	-0.03756322977462734	-0.037609323685885654	-0.03495815268207747	-0.05556227462037927	-0.044703549095612694	-0.025341161485473662	-0.04361643631496559	-0.11561987048359434	-0.11121394224924908
1.75	0.03114493655147621	0.002872852722584196	-0.0879502709360323	-0.08689679056775226	-0.08003637403319455	-0.0700293340304374	-0.07719107503781106	-0.07763532568697312	-0.06335870591840265	-0.0558070772716763	-0.07656778168886325	-0.06449100345976327	-0.0011833290092387316	-0.002327234108538967	0.000773700847876313	0.012523465554134972	0.020196293631707052	-0.018586032480678805	-0.014915348129755424	-0.01376806073489062	-0.015103016531197389	0.016130688238847224	0.011385284376707105	-0.07406430445885523	0.02932459897749995	0.01323379408666342	-0.007251568650756657	-0.011643991326897307	-0.01814371816350674	-0.013677536784205024	-0.023719049037254025	-0.02050964223352658	-0.03023286059761454	-0.001759912518376039	0.009068491935915968	-0.07742620853804133	-0.0013392491292047448	-0.02575066043399643	-0.02113997629103348	-0.04107946471091539	-0.03419164573769362	-0.009260794556171237	-0.015799813887975245	-0.03915577047487684	-0.01576670080852166	0.005946260753563581	-0.0014375846257382308	-0.08040894542503146	0.007535898610580294	-0.036087880487339186	-0.039206870544548356	-0.052589466295594134	-0.033063737136780846	-0.0355747107745904	-0.026747580213779876	-0.043910324295627134	-0.026703315207703526	-0.004405399232965568	-0.010948970848458806	-0.0814606612551333	0.00717028654228713	-0.05183702783989669	-0.045403894035868086	-0.048857774045391766	-0.026863388465216964	-0.03419335999646039	-0.03580242545555212	-0.0551243331380846	-0.03874029443282251	-0.016747046029815915	-0.019094955905471278	-0.08754693515026746	-0.05127089804127272	-0.04970398721977759	-0.06068952838374672	-0.07500051611485598	-0.044279984223447144	-0.04824710651897379	-0.03777428253188114	-0.06198927137477939	-0.045250030595335666	-0.019764194860207807	-0.11501112725755805	-0.11250349968430931	-0.010697934559145916	-0.05387071469589638	-0.04990082408058244	-0.03340883533423489	-0.029936045153764523	-0.033048090794039586	-0.054991213368459524	-0.06232846462028796	-0.05164738667595481	-0.04841304853309919	-0.10639340091506316	-0.10644535598967311
2.0	-0.002565352243807939	0.01708719161523381	-0.0852767775743504	-0.08532383338307914	-0.08929523140671058	-0.10142977213487647	-0.08988872811495849	-0.09439069668927658	-0.06707038699654286	-0.0649655377731943	-0.08053459613019048	-0.08137475621221535	-0.01715853065941747	-0.003574875795158361	0.013458405704267595	0.0095949120524777	-0.016412603928637637	-0.03986803246872589	-0.026055308024809654	-0.007431235271537273	-0.020161524127584374	0.012195543058612757	-0.001588746862252688	-0.09081648859097732	-0.01774245108598005	0.0038894056383864117	-0.009368355932027617	0.003166511981653075	-0.020160809584984063	-0.04521638235706271	-0.0414200228410081	-0.03806343396756795	-0.03557860850569955	0.0012639265156974555	0.003456929771245676	-0.08395153625006929	-0.011363305883350494	-0.017951653998600325	-0.005914328467217622	-0.02787670040169754	-0.036274528598392364	-0.016314188651481598	-0.00731168040292568	-0.033418436237958205	-0.011676203070636715	0.012025360439128885	-0.009142216971378847	-0.07852630207061692	-0.022753085076920476	-0.02884291859921756	-0.053358101905798594	-0.050383266730074705	-0.045752852040846614	-0.053242481268787945	-0.041384684010695116	-0.05552962844599876	-0.030540020663185063	-0.02335793731783642	-0.018904070688118613	-0.08842538482216547	-0.017111204722671358	-0.05051365435668781	-0.0410560144579632	-0.042598596385302945	-0.03849692510586311	-0.05403450010948474	-0.05786178878442977	-0.06381344156469301	-0.04275229254428997	-0.022420896713245764	-0.029235077146582855	-0.10224349475914787	-0.0655830810439596	-0.05819273802310057	-0.05774263488818579	-0.0637144705822455	-0.04272363556229847	-0.06684241352072032	-0.04393943288302882	-0.0589289181332599	-0.051164691950570274	-0.022916140879181757	-0.11681667801183931	-0.10913804036505284	-0.039443349721033694	-0.056151290430609735	-0.05339592946838484	-0.03380627499622979	-0.042604475848304735	-0.050633054923715726	-0.07858782415252943	-0.05724072103114913	-0.04770499587994653	-0.05767683924994754	-0.11576478303112606	-0.11269913660288816
2.25	0.017715473971319062	0.02823091094061997	-0.06299221898175617	-0.08371943370673851	-0.10515467020844851	-0.09470464908270312	-0.09536913734189459	-0.07584836751679352	-0.07813698022119714	-0.05834643928354408	-0.05835770302138926	-0.046650971500785066	0.012406662411938552	0.03808739094620245	0.024809060718900655	0.01903586830654147	0.009883021059621577	-0.013874133009376344	-0.004305840190109489	0.006822380094921976	-0.017525761068338308	0.020954493024187726	0.039416453867959056	-0.05940619581510426	-0.00024966649485086423	0.04204948944634246	0.012776129372196632	-0.006709342717825528	-0.0385665967712	-0.03167267981040589	-0.031028473344094976	-0.02506636163329179	-0.01714860975470578	0.006403883125098875	0.0254964647693805	-0.06379708076399596	-0.007892847593616026	0.004062774739334141	0.0040810884634222	-0.02593075299298958	-0.04807347772753695	-0.028596517919705133	-0.016017658278474012	-0.028826287211854318	-0.0017685317161876823	0.0014018432046051243	0.018616654609804273	-0.06373906089098966	0.0019331019697110818	-0.0009247475898777058	-0.028320486004997814	-0.045635765658343874	-0.058751972929424245	-0.054729552924591446	-0.042740000130924716	-0.04306545806265316	-0.02929940188567043	0.0012110052087658807	-0.00166313605402163	-0.0677341983460226	0.00115346980127351	-0.03011848958636415	-0.02253294827679958	-0.04027075269718955	-0.04956879254650243	-0.051839524056587316	-0.05677008990896806	-0.05834053590314864	-0.04626435926429967	-0.014872493224326155	-0.0023708463481123543	-0.06026374599057677	-0.05125996748706274	-0.021436487575477947	-0.04332160217363412	-0.07119729389056517	-0.05727880643881933	-0.05444102997387601	-0.06439000978001994	-0.06153355713738046	-0.059996301594491486	-0.033163619785641085	-0.10384049567939266	-0.0827800915278899	-0.021241919149667776	-0.034858615708092344	-0.039148057313083184	-0.03893061627198352	-0.04538124556916073	-0.06334486993101063	-0.07430686504048445	-0.05258149883707158	-0.05705694958536056	-0.05142516516716433	-0.10364577997638044	-0.08644255176622145
