	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.20774332696339948	0.20065369127234012	0.11982647540533398	0.14269041163583285	0.08670263270313408	0.10371385366497018	0.1104816997595256	0.12672030718224211	0.07414728652003819	0.1478579494912156	0.1074478965147739	0.12195180404364704	0.17315953753991253	0.16906652439534742	0.21889730559960296	0.21242395305802472	0.2174264602214624	0.2292074686949772	0.23703189718614348	0.17828710180556606	0.2066359474223688	0.24536594858480765	0.24412264894779734	0.13655462656730127	0.1685424537037158	0.17021433145522005	0.22047190354843066	0.2293541756774694	0.23209490339049735	0.2497252735425997	0.21996875936474217	0.1524061489923252	0.20350278069807282	0.22843093199939696	0.24436801479418085	0.10342462504985944	0.16249066551220642	0.16870733094582085	0.17938668181919923	0.19664658022113696	0.21102040995016225	0.20339011438727758	0.18985366464911452	0.1914445623731837	0.22660080064130256	0.22512867865914787	0.2336075671626468	0.12737144972080053	0.2179256161479774	0.18858935072342572	0.22770935310874119	0.21596258094428586	0.21449859122041603	0.21782324919398355	0.2452577086585476	0.22119027315977574	0.21157487152642923	0.2497433580317802	0.22599093092360834	0.13337913913845773	0.21866184469429117	0.20141568240765317	0.22015288198287228	0.21725523753061643	0.2030450021084876	0.20813051576731967	0.24074315619563788	0.1862283594184046	0.19580263671299786	0.218182288963489	0.23532602343752368	0.10943649471882445	0.22037466921014054	0.2185203378309863	0.25705392735570465	0.25691420639367957	0.24570481214576617	0.260199132378681	0.2522376628903884	0.2189397453821118	0.20464034198547812	0.23790162263421633	0.14442127622631065	0.10138426162673636	0.17751048098154154	0.15105644266850865	0.18237046793977013	0.2141526389805644	0.1913091047476087	0.2141925935718308	0.26520985617877824	0.23388613718433338	0.25335932707100306	0.2682858501405878	0.13139252011612362	0.1290864231388978
15	0.23302898823911283	0.2504538688228115	0.12938415411088083	0.13072047575173001	0.1067590819946806	0.10833472832879971	0.06806651371875871	0.12441368785284429	0.11199295307134077	0.11219490393310444	0.0725214803004442	0.10394621902975801	0.18585294224472135	0.18148270876881156	0.19816590043089422	0.18844261902618706	0.2044005133556856	0.21993625620118168	0.20716891232749202	0.1482158642298917	0.19478383696257257	0.2329203097691922	0.2196548385259875	0.11672490286832005	0.1812792226268405	0.18707005956753975	0.20915177884110334	0.23641791911447244	0.23658187457292568	0.22265075326079753	0.1758959917225088	0.14614414875736276	0.18445868433941756	0.18165405768258136	0.21682660881697863	0.07912144149270375	0.19102352245187085	0.18089237288210153	0.15815649917377456	0.1748985257141738	0.2036525637247898	0.19463833687088355	0.1426337356834957	0.18823759652276495	0.18355058260318344	0.2072346622366597	0.21606802512187	0.10697272511285338	0.23191230347674047	0.19137665020611858	0.20672984624803084	0.20487848369370365	0.22878687424922262	0.2032982261152907	0.19715984523022861	0.17878834140185615	0.21092639700226032	0.21641262699135488	0.20209935485356506	0.14024888184397147	0.2372571728720808	0.2241424477809314	0.21097021854032477	0.1988378360666701	0.22877598297164442	0.20914460760898373	0.20335296669372088	0.1854707884708554	0.17864190951694953	0.19304672865292838	0.2062218264028702	0.09382787606997074	0.23003544057679629	0.2497175599829475	0.25115501670768514	0.23279632188578994	0.25313039101618495	0.24943103943863004	0.2021595562571858	0.20576116850818232	0.1914199823805266	0.21115352970423767	0.12324327852907233	0.08381929943859037	0.2086189656638271	0.19643374324806873	0.15351372892227394	0.19606194793278064	0.1947928676295996	0.19183542448461538	0.22560328687217282	0.2334333137893679	0.2342897942220022	0.23729318359011467	0.09428558659774694	0.12359743024746658
30	0.21674789961560867	0.24081747648285712	0.15005247165777547	0.14276698054730735	0.10732016812350559	0.08557145870031174	0.11398332379762037	0.16805137067419795	0.10247083043883984	0.12567660403989417	0.09652743985264442	0.11090900255466288	0.19198481424611624	0.1733547150794851	0.19091629067395785	0.1896103658614668	0.22976822278670203	0.24418354949107052	0.23105614227816884	0.20648450094688303	0.22152643408161266	0.24310908543935963	0.233587144889492	0.13146416408057313	0.18401013884552037	0.19018588493615163	0.24218067254337636	0.2515788704101146	0.23613901528883766	0.2429639876578979	0.223045429826127	0.18183799604760104	0.18640586758580235	0.205276165798581	0.24371012324580377	0.12191278889439602	0.18708371503553564	0.19939922931291088	0.18464081100969554	0.17938392712386841	0.21808334234711535	0.198195058932068	0.2012223116647326	0.22029159012106242	0.2093519161260738	0.21625778965101766	0.23686111721890107	0.1374846602133274	0.23402161512254516	0.1994372487077286	0.2242480997081739	0.20183467271131594	0.22344464452425783	0.2161545468053473	0.23279727154722343	0.23859872565505924	0.22239833963140554	0.23881561944777407	0.22052724021425066	0.13100591482109103	0.237866549957644	0.24247664851138792	0.21679525668984828	0.18511072451173033	0.22005600408228573	0.1992054832089341	0.22741033505761282	0.22259886628942682	0.19757231326798852	0.2089977919021147	0.21554358907119248	0.10272086652023893	0.2366426167910859	0.23130887370326841	0.2671564551054294	0.24116796106551794	0.24398447880175816	0.27828151106011223	0.24526628707914078	0.2402818258144451	0.21397062510595094	0.2293773133831502	0.12803808730905966	0.10509332801754795	0.18454954233696708	0.20180754753560262	0.18080259668859316	0.20133960735444165	0.17194114805462218	0.22863703690443832	0.24314137691941626	0.26021715540845314	0.23903464267981234	0.263313235240759	0.11757374671524543	0.1146142071038378
45	0.24116142190586176	0.25486587939355876	0.15474202901956863	0.14810503441074066	0.0789230937622705	0.06348452734175826	0.07629617149160228	0.12383617659903359	0.11698576604417255	0.12613307431914383	0.10836522052147352	0.12261502235792054	0.20662679104304815	0.18489194426208314	0.19553068472935647	0.18630998814298766	0.20146241332107792	0.21081369847552367	0.19779585833906163	0.18793108657541013	0.22218109997863755	0.22346109028750916	0.22634770810511412	0.12373809748878767	0.21285213501135997	0.18353104418093635	0.24689262183409147	0.2508598081823108	0.19811850757518173	0.2118351197993461	0.18566984724291874	0.16016948778118456	0.2062324133306715	0.1975069355783089	0.24066291567084375	0.1189515842530972	0.21184687195542276	0.18740514299180822	0.17255612394443393	0.17987705785044392	0.19207062670459174	0.1825639567276091	0.1507174147083678	0.20044012485002727	0.21928711484213176	0.2061570259485675	0.22462914541327306	0.12497926157690649	0.24607329514664822	0.18930006659792326	0.20002713346626516	0.19604381256738998	0.20066256142653055	0.17517461970252374	0.2035028757590583	0.21408164879097508	0.22219268683877658	0.2190880728211837	0.20170713745457383	0.13292104653387332	0.2555846685833454	0.23050885109654312	0.21827561316926908	0.20819144102750786	0.20315101096399538	0.20154535901903187	0.2010360688008239	0.2070692016019081	0.20423720903581527	0.20358606674393925	0.20773396639602204	0.10145115856413507	0.2544417986160244	0.24399169609007404	0.2587234951683819	0.24904451509265801	0.24769893460643205	0.2436134931474883	0.23504680577327872	0.23659347661164154	0.2166035740200729	0.21192660090858895	0.13278736203534516	0.10286320923761758	0.2052193906704078	0.1964583526012122	0.17681529326113235	0.2141562121564107	0.1818441474413775	0.20497180909107732	0.23734064837507718	0.23919360006134216	0.24433527764818735	0.25545144304436307	0.12532503013468008	0.11949243539109444
60	0.22093811126685925	0.23958747095782068	0.14326954094238264	0.14787426680918359	0.11093153679788119	0.09947134529145561	0.08792814867709936	0.11947938780045378	0.06273724930690919	0.1247239522448163	0.11332949475678736	0.1302510021855478	0.17394329574931913	0.1840904777554753	0.2188501585646072	0.1935253031768509	0.23568361645396743	0.22812893637268342	0.21021783917681544	0.16030484656474397	0.1836780598393566	0.21792813855134124	0.2378701433227943	0.1394834565457303	0.18396818816056587	0.19401388077545245	0.23129074023446844	0.2259779161544806	0.2339206565937858	0.23081709583948884	0.189584425333024	0.13391834652815776	0.16880850900289385	0.19944077215686	0.24211863590710786	0.11461432826471704	0.19860174258556118	0.16789313091405056	0.16606655207442922	0.1790795023735709	0.19120812764883546	0.1883289758972828	0.14404692201838787	0.15313564569009608	0.15181871291861748	0.1951546927833036	0.22499083650003876	0.11145233119657871	0.24347115941816105	0.19657949469533417	0.2135050011269618	0.20337440569499915	0.23601030433495557	0.21953678007257832	0.21204031313270294	0.18514383037204363	0.19480938134660325	0.22728912971772858	0.23258049869162847	0.12477352982664228	0.2394323172869792	0.21885665669659501	0.2207616965640827	0.20163009039799332	0.22078372829048543	0.211253142849638	0.188426276760057	0.16184098046870923	0.1683809203633327	0.19077588946577317	0.2101675707100703	0.10403615614427933	0.2479349142245223	0.24296165394637206	0.270521554877731	0.24493014713322547	0.24240123499094723	0.26021922122587837	0.21849735781998314	0.19590560058208745	0.1888931105194976	0.2150612947715526	0.14110348515663254	0.10136230971209789	0.2230432887003308	0.19795795616152936	0.18668486765270725	0.2147795755125912	0.18638753755766937	0.19785390908897882	0.2258893648913984	0.22874244063223453	0.21838825335830414	0.24636136876833223	0.12303289043465505	0.11842559770622454
75	0.24659255212455727	0.24655878627321426	0.11764971351488221	0.15818278266330277	0.09185284800519289	0.10779893327618677	0.06882835454922687	0.15362082903941715	0.10286021289442732	0.13333060782566236	0.0423171690795774	0.08610821646722858	0.21736450967225018	0.19164283920889713	0.19008744410889197	0.2077185405414971	0.24045157872506778	0.23700888330784625	0.20408039914250298	0.1959842173839208	0.22857677269477378	0.23660675605258788	0.21550339981975122	0.08907042599435354	0.22392125570290886	0.17793017121299615	0.21282482975920775	0.2439694535320169	0.2331839850132941	0.22265572921098498	0.17119206520983238	0.16709177461845848	0.1955532060868294	0.21344377477678025	0.2034613357315423	0.06034889551622244	0.2381047590954239	0.19422654586887683	0.16098865714591093	0.18910712831267623	0.2196690273019185	0.18914776266292782	0.14683092958550678	0.214662838408208	0.21826094444731425	0.2126291980336561	0.18803840226470797	0.10158240490254669	0.2691204191572825	0.20904815826863438	0.20350970015764075	0.21303513375075955	0.24073254929799986	0.22119918972096925	0.20591558780310804	0.22809665133413856	0.23553577451926752	0.24246888949373718	0.19805385221717758	0.10719467750271333	0.2615407880824368	0.23488077864616708	0.21073145701039128	0.21664921200644877	0.2318138390464917	0.21080445208480592	0.20345201155578319	0.20896781714355345	0.21660679576972236	0.21355990217407672	0.19472741591895637	0.08483379037456293	0.2762764845311907	0.2256598392572886	0.2485782031407074	0.25935391990801493	0.25998620512622583	0.2617954445362287	0.22883080345186474	0.23837938353922852	0.2257823453186146	0.22924009597378706	0.10181349909486524	0.07258937666194629	0.23354923975476324	0.1827469571980602	0.17157587547691483	0.2193944772323571	0.19723140232226583	0.19488388076988822	0.2254726523877077	0.2518710802972107	0.2553538521697694	0.24488577970081432	0.09110438336441634	0.10754888066227093
90	0.2353060647241918	0.24316957092213934	0.11254253600901323	0.14552583776751415	0.09958911736452525	0.08702312362920844	0.09153785775923493	0.12180734677198887	0.07039886369613772	0.09570010199565679	0.05929924609199262	0.09842253618351109	0.19708850482722623	0.1854826731250721	0.1850017547470862	0.20325543648281263	0.2370024263576791	0.23706418440280316	0.20285102064846516	0.18156072777354762	0.18761458405886644	0.22224588302638615	0.21406103956265493	0.12604456261291502	0.2109636376035245	0.20426848693499533	0.21974309043412799	0.23931525026490758	0.23040328894845477	0.2272068920101923	0.18521077859021626	0.15041891313920042	0.1931608431348808	0.21639629760783474	0.22661242269214546	0.10674873675297394	0.2146777396632437	0.19172589533652895	0.15936990276574325	0.18135883077266424	0.2018907180211335	0.20937654214389706	0.14243460319193507	0.18578801108761572	0.18346159710129145	0.20912798637122648	0.19460921194286804	0.11431324719171912	0.2555652416812916	0.2068334420777009	0.1952355225095921	0.21368806096177562	0.22723225594475127	0.22199742919799015	0.21491870968213397	0.2022380368307881	0.21373081790761972	0.21410429201509035	0.19219651418960182	0.1297335672398704	0.25674953682547913	0.23518774445662738	0.2164535715633564	0.19920707953890854	0.22118333780835525	0.21297902127568497	0.20454545368629776	0.1903349461833152	0.1975985061633838	0.20057046895963748	0.21395720663238565	0.10797464451801111	0.2591296621175413	0.2328792954192409	0.24902971664211626	0.2368638072232639	0.2503850106471912	0.24368966281007154	0.22579861398897835	0.21705140661880445	0.19689846712039932	0.21707940322781286	0.11470062782217114	0.07843575064231982	0.21640332147723507	0.19648698873463116	0.1665313009508626	0.20669764844672528	0.18411241108892656	0.20469230160358864	0.24096692373122627	0.2507711863886174	0.2375216583570538	0.23624153267784243	0.08591945663095417	0.11476580908430287
105	0.245730594952921	0.2552060303362574	0.15139140626928574	0.13759847724976532	0.09813162659409938	0.08166365082437546	0.10628977144202251	0.1419976538961459	0.1023799143851416	0.14481121035562122	0.08971578773192486	0.10727005314592916	0.1907782383123548	0.20017954541337427	0.21969651609241841	0.20343953856713926	0.23242501584405534	0.2411305630816001	0.2291173840748672	0.1779260657717604	0.22225479127837688	0.24758604276225113	0.25081932895223835	0.10147518874765371	0.2122941073864901	0.22071103202000883	0.24966171630036643	0.24153336898583133	0.22635785397864622	0.22350635360599574	0.19629377187884797	0.1726609219993192	0.20266236149862013	0.2270024379702083	0.2549869989844319	0.07720799646151141	0.22054081760684466	0.20552266892239132	0.1709180703044887	0.1994056039524452	0.19948259730209209	0.20346005880178797	0.17230928175695462	0.20528926360806504	0.22245962584317902	0.22008266333056548	0.2312342834467948	0.11485839441625134	0.2669158102462905	0.20958565293542838	0.21351604978877037	0.2144746141215388	0.21683256504239712	0.21375597580051428	0.2228268647264956	0.20833498340247128	0.2396603342004296	0.24373622374180254	0.22667573700661447	0.11897411481027118	0.2584044010796776	0.23462858074096488	0.2277139842756158	0.21492425647570662	0.22116553192275845	0.2050615805752352	0.22308796960549915	0.19350542859852488	0.2160213706344204	0.2224214225908642	0.2295669953699268	0.09883187039416212	0.27789594673410956	0.2470230533022173	0.2654223466083297	0.24442262959523492	0.2455429328264197	0.24006985819013016	0.23797795642142083	0.21561022839799016	0.23177202233369018	0.2420651503823552	0.13884421320482992	0.08759769038677832	0.20943951288175072	0.1962350566293612	0.1853608313495557	0.2251746633206657	0.18535456465884653	0.19145372848841324	0.23771889979703298	0.25055418795576007	0.2474903370766891	0.2551732220834456	0.12925508154284604	0.10923050343996774
120	0.23833909533149486	0.2541760479347722	0.12354577721181315	0.12741363397652086	0.06453583596855342	0.062259470462828356	0.08050795117754575	0.11536133827987254	0.07873201754455525	0.12070920391361688	0.07968751491552231	0.0712345541503287	0.2170134803555408	0.20040742598719485	0.216175762200871	0.18986139589409085	0.221986888504696	0.2467296367497916	0.20922647676956319	0.17456367897111272	0.2060622305214901	0.25600768119267514	0.2491397957350167	0.1095617747885459	0.224947058883515	0.2050408067924576	0.24728849293329896	0.2626758747594295	0.23931249537918153	0.21766328071168323	0.20631201663107712	0.17034463285884055	0.21100276664981582	0.22533228760804686	0.258005751117966	0.08610060948045727	0.23018036973111966	0.19002075803960444	0.1623070755728233	0.19684259024925382	0.20477941084303058	0.21703141167445855	0.1624447874810161	0.19608161156843376	0.20997552668359426	0.24009994575001686	0.22596225162274036	0.1055338312940384	0.2753341228106755	0.21497827381818713	0.21355242756235943	0.2321719060113545	0.21764177811814087	0.2143873777659936	0.22249499087076022	0.20980310612383957	0.2465585609786815	0.24006667311599672	0.21595263556966865	0.12426004700187492	0.26248391450989766	0.2263689450538014	0.2330665366689887	0.2120564378146421	0.21248496583368093	0.1895514014804422	0.20982640430724392	0.17935478617904788	0.19754261026608894	0.21187139237730976	0.23418656016109907	0.07754385928127971	0.30398322610047673	0.24617106843732756	0.2728031658490532	0.25822906580349564	0.25334255724969235	0.25233857075298105	0.23367815181977053	0.22375761666356728	0.24021686078104776	0.24142256628582193	0.12749968056540492	0.0758830481216561	0.21649154598186693	0.1914944423453327	0.18103254516555575	0.2396901675422497	0.18611062594078598	0.193589901370543	0.2313433590277721	0.23129133787288303	0.259362564654398	0.25754465249417074	0.1113294235772255	0.1070056341330502
135	0.23785859184760572	0.2675308178353477	0.1750448067980403	0.1501041020677496	0.10850239171827723	0.10094271346485131	0.07539693912515671	0.1280867183688835	0.07510244849727461	0.16362726752515516	0.147320040288828	0.143501155762689	0.2232362001028082	0.22464208815989345	0.2142736422591466	0.21786465328937743	0.2506769880435766	0.2564297356911826	0.1956500702999513	0.16197879461682932	0.20282395472210746	0.2713628183989421	0.28254365260505265	0.13486518496995747	0.22073189185087705	0.22070843935256124	0.24330464720424863	0.27099185620341026	0.2565613667591824	0.23152306422753827	0.20086274780975316	0.158753223522967	0.20034759334779506	0.253792841192715	0.29949892424740754	0.13040003353788165	0.21835916418968127	0.20695242294863503	0.19382191737234183	0.19178549744780443	0.2091025608631874	0.2250751589399702	0.14567033156921488	0.18408656458889183	0.21082185783970556	0.25441566638198776	0.26931542489167215	0.1239054513864862	0.2657650293467435	0.22097434874556354	0.22807948831580163	0.23299355860514145	0.23636810467279196	0.21557016769114	0.20249957100214505	0.21579600471900479	0.24219561805806988	0.25857720755169633	0.2528715005882193	0.13027212220821688	0.2577800633710572	0.24090972865921453	0.22635328380141598	0.22625704080809078	0.24272462974354242	0.20551687368749227	0.22149487458863817	0.18628665745935902	0.21617604806601592	0.22262787824704394	0.2580903949783261	0.12944202955198525	0.3032532547008638	0.25758750231751393	0.2737393347995732	0.26088658602142684	0.2685270110569727	0.2520740023214126	0.23861720301502615	0.22315822008618239	0.21602872190861025	0.24974956901740356	0.16408105927839353	0.11500165926916675	0.2067881624341775	0.20246992459634794	0.18785897511246932	0.24614674406430112	0.19303212061457692	0.22878630325183208	0.23094468616624114	0.2341164476319676	0.24571267267194774	0.27803622123357313	0.15973133764238528	0.15939601499905542
