	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.19593090168422456	0.1772992713508924	0.19630525056810263	0.1814585249824297	0.18952894544632098	0.1607210706072601	0.14831265294048887	0.12976584040008535	0.1547612633514354	0.1536653283039875	0.16505096735872243	0.16298110315568515	0.18414288891856503	0.20228159760810271	0.18230388157953534	0.21037816043816554	0.2231795598428547	0.212254456064064	0.21465847663934573	0.2023913263948467	0.24874822961059856	0.2635823132030021	0.2343698174180588	0.12726813109314056	0.19899821304135784	0.17090678185612207	0.16503949410750693	0.19622579397937592	0.18572388181209543	0.16354735854006863	0.1670268208459103	0.1718306210162095	0.21120094284373409	0.2214493393881416	0.23214415900931762	0.13165205732993973	0.22057224298511757	0.18497997633342805	0.14315225515507893	0.17770079751506745	0.17763870294310352	0.162762353420991	0.15146401604526133	0.18366917769046365	0.20808993877554344	0.2084832611825361	0.21941646994914266	0.14505754211756486	0.18636195535020192	0.12584401087767522	0.12662098745888456	0.14975159105234595	0.1675368940785541	0.12434605063154364	0.14682571740698097	0.11003697391123111	0.1998157238158786	0.19208184285359717	0.2025878260772529	0.13014256059156773	0.1736949844107487	0.14783509358260505	0.12819399163307457	0.18466710804072195	0.1672125288042261	0.14664900700489258	0.16200495387176445	0.16897160041221712	0.20660331626383205	0.21167315109369414	0.19656741646550113	0.13245617348012106	0.1768572399600066	0.1401734993850895	0.12947144045158987	0.16426925418594826	0.17756045718763458	0.12515149482568122	0.14668210504979876	0.1543304347927747	0.1843263351279273	0.17480189390370282	0.0831378364156774	0.08486551481653351	0.15537332023123426	0.12357600861960241	0.11141141220115164	0.14937086270740124	0.1663398144359922	0.12305803520664457	0.1320222951937174	0.14860380589440958	0.15641243757490483	0.1468811155862399	0.0393486871254211	0.08255380455561082
15	0.19658072498328022	0.15620175935974612	0.21082556246023063	0.15695354299970776	0.12176306620201768	0.22114891068529513	0.1585279109916301	0.1453195970378784	0.1675534034742273	0.16706942572913147	0.14975253834930413	0.14365071293260953	0.18389951194349863	0.18702608191560816	0.19697756913550268	0.16785933074762138	0.16249808562971058	0.20647392127916225	0.2197402937132179	0.23985268635718654	0.23601028166780852	0.23665814982264485	0.22188461642702087	0.10233394997272444	0.21174925778614387	0.1781189983920083	0.19329860321861075	0.13344465453516385	0.1443935634354718	0.20051296220885223	0.18032580420764718	0.2118554549147048	0.19930859695123834	0.20224133565410554	0.2334008590099877	0.1238356253652988	0.2059954778803127	0.18640622671615215	0.16067040248921288	0.0984341410422149	0.1135870102734694	0.18449646846663767	0.1765271367946601	0.20694141073959285	0.19748417587755446	0.21004822094743147	0.20245318259962528	0.12028849917938562	0.17899157994162704	0.12182453292548623	0.15095991597083652	0.11186764573948713	0.10166754715106098	0.1534911108479985	0.15880168328505087	0.17417153185733525	0.19675244143164397	0.2002879382038674	0.19283689442555232	0.10749417237609665	0.17064235201713318	0.1393280557147104	0.17111896381540287	0.13957619456886633	0.12675009938219445	0.1854548551809705	0.18254557164101262	0.20044360643425618	0.20534491505965996	0.21705249693122125	0.1925747184294408	0.11118619206555114	0.1418382295169963	0.1345035184770642	0.15967902791775954	0.13361762987111603	0.12394748319044092	0.18382570266143375	0.17722426348323933	0.18376432811458132	0.1729167696152292	0.181417585514378	0.0823801191695194	0.07655725938545117	0.13457419026241735	0.1340333676858398	0.13087719311645335	0.07673295408685427	0.112762865003695	0.15524108622722504	0.15281019117461653	0.17347745368163606	0.14041442438521062	0.15820222302138798	0.0194371159824116	0.06771230654333976
30	0.19614801456619818	0.17146866302014097	0.2052399686550747	0.154307336387508	0.1521434805077292	0.1948971810568953	0.17849045860557483	0.16444513751846848	0.17983370877908894	0.1624471599591078	0.17255282866303778	0.15142863899747233	0.1835837841005417	0.1913595682218211	0.18527005879228725	0.20192792348058142	0.1715950478427103	0.21463771831963158	0.23340598753947736	0.24398810716050282	0.263961305661861	0.25783452870100076	0.2199691869660555	0.14397623795823652	0.20047301657356623	0.15007320658270107	0.18457817379957148	0.15718457578049333	0.13256059305807283	0.2024009551302816	0.2104351891408161	0.21141376709571782	0.20528033110200816	0.2403149438572117	0.2234665004701455	0.1403475011858264	0.20188219914438266	0.16523344326780973	0.16046045320275626	0.14821784076492855	0.12322571886323389	0.1764012034032724	0.1911497735538233	0.19875446245342343	0.21181090939531455	0.23326272285997893	0.22425231178957472	0.15411029662789416	0.17449508392204824	0.12564299094738673	0.16295404601256325	0.1587573215287448	0.11674859260596804	0.1758843960892827	0.1805510238870785	0.1827558880070259	0.21935597254715192	0.22245827465201015	0.20099140713652586	0.14426278196385817	0.15979688908603645	0.1395100399833541	0.1707957138372665	0.17487757898266432	0.13311023654025034	0.19152391656524176	0.21032106372152912	0.19626207647270408	0.22434752088725618	0.23422535806508804	0.19848688317283902	0.15808758592823616	0.14373567316589214	0.13486887607798703	0.16622853322269582	0.15873751135313288	0.10791129054749822	0.17482606985552102	0.19182508578632956	0.1978953000717203	0.1969801955455113	0.19696653332625125	0.08034045749836671	0.10838587244180516	0.15018139339812867	0.12877162566316833	0.13775693304800737	0.09500025502834125	0.09869022364959021	0.15699202145404167	0.18242341479605462	0.1845518985439949	0.17096428368737931	0.17269633899869272	0.04090251931163787	0.11700544254398848
45	0.1519782889101574	0.18243131873477764	0.18312280926291258	0.12433747326360904	0.09752634387282341	0.09956556407680661	0.09832059909347046	0.12068391376121029	0.09445728461687691	0.08543188648840472	0.08232995866076412	0.1274007566385334	0.16264153589195365	0.18363734991915198	0.1599027378621765	0.15813479836320032	0.15877796599779606	0.1551086144054081	0.19931730795957442	0.22747378388392914	0.233823580834165	0.19579075812990665	0.16645946050214952	0.10337643253944073	0.18491907287483503	0.15739769472083753	0.18709691020503355	0.14690151522266945	0.10294217870339184	0.1313587633515012	0.16448223310877969	0.18522781534749483	0.17940274318867844	0.16615763050891094	0.17091939250916893	0.10647335888139936	0.1937983636260892	0.16871869325183303	0.13918481514919906	0.1355715521814262	0.10277320696213274	0.1217658139524608	0.1392347836796125	0.17379161660855896	0.17905165069578352	0.15171991957462727	0.1695993370518666	0.10087626512595038	0.1754007069075101	0.15046927486228562	0.1318322666284123	0.13187248905685572	0.08810202162142783	0.10958217040813087	0.14004923910875958	0.16297994625034704	0.18053967803460172	0.1443079518480056	0.17724933306512844	0.10420960888824957	0.16043919335119688	0.15923213032225966	0.15079345739818775	0.16105249191223758	0.099087637429083	0.13686412134909537	0.1513842592093182	0.17838195791822903	0.19988229992282502	0.17576861979826525	0.16859432453329407	0.1197303627461928	0.14785473722741538	0.1651589870247	0.12933462178995636	0.14131797680204425	0.0772994472951163	0.11606320804176554	0.14560548110210936	0.1890742487152804	0.1782957267468903	0.13661132706186685	0.031699023149744376	0.06730544947370647	0.14124582072900915	0.12757148545784863	0.11599056225657875	0.09510372580998441	0.08098567694429262	0.10245652884823886	0.1595680885573052	0.20631175173615202	0.15625141642520657	0.11921905853089784	0.016275260058729858	0.0734314464251356
60	0.19860217772586541	0.17980288617911436	0.19502993047199257	0.12793962130198716	0.13327988756862652	0.12662327072479676	0.131752257969865	0.08712127067473918	0.15092460061104157	0.14734815320410183	0.12506503157281335	0.14348541270964824	0.218017021091382	0.21949733987661268	0.17895073330280586	0.1782218047234197	0.19291350024470355	0.18640756105420023	0.22551607474855784	0.22426054238266635	0.2612439795303688	0.2653334303066498	0.25275026676497603	0.12597129252021147	0.2099332321985089	0.18755938218671508	0.18939371709907662	0.17108107983409315	0.14254097236613736	0.15255900053568533	0.15453470657056811	0.17633104945233913	0.1968079977960598	0.2165790554876218	0.2243548945892606	0.14339036444426512	0.22579279886857861	0.20390372881228003	0.1628692574800105	0.1850056275624333	0.13167583626474672	0.16024640906138393	0.16653158191313427	0.16719746386557055	0.22571279051052295	0.19720396372909738	0.22019669278382378	0.15279379707476282	0.2155493076608782	0.1573819793258845	0.1430415308553935	0.15657187976059533	0.13495451329376446	0.1422500632587715	0.14881014225668168	0.14904306890199992	0.19560075249983044	0.2052835486540206	0.2201628567011858	0.14805833773572052	0.17865874879675045	0.16637731052718888	0.1395362939280663	0.17150092037533748	0.1230092016565181	0.15585157540674666	0.17243866160838134	0.17421486407417336	0.22141543483061923	0.22289004951692684	0.19945696367243387	0.15771260907857285	0.16722971861582836	0.1524132136235665	0.1557771761039322	0.1544924071525151	0.14313882821527824	0.14955194843873187	0.157021641464709	0.18063327330455636	0.19318969928921897	0.19282118195940395	0.09916611281675142	0.11861933269177136	0.17061664286128037	0.1452459999514194	0.13265384367995253	0.12393037353710232	0.1113067065305847	0.1538044910063917	0.17009356288438304	0.20209570626081463	0.1674306003633258	0.16084452360713036	0.041904811975808615	0.12143130801475789
75	0.1630823903441993	0.14609760967034358	0.164470062532528	0.10524409701488914	0.13849043149706342	0.12537533367995726	0.1100747099986654	0.11096903317465037	0.10075869086146451	0.10885316503395454	0.10984227214062316	0.11057293448715902	0.16788557982685548	0.17807728788495042	0.15829721575347774	0.15685947871455946	0.15216507787665334	0.18361904693391895	0.1977583589665705	0.22787689445939285	0.23304669936539563	0.23160980141527726	0.22314173995766434	0.09688109001806591	0.20231634185648895	0.16256409070004568	0.14058556743118522	0.15385661858735872	0.11840178845226992	0.17051026259300311	0.18230030609874853	0.18814503406494051	0.18559813493877375	0.21395662600544824	0.20828944772864028	0.10720008066814482	0.20856345569339918	0.16994038690934565	0.14438316995289663	0.15572884607418963	0.10649127896417009	0.17782427113833155	0.16942179561733067	0.1712623288464084	0.18350273152724744	0.1965963381475978	0.19171835422731548	0.10806322934623236	0.1641379564384064	0.12983189624184813	0.10445892336062197	0.14391792905036482	0.10826159703388893	0.14367858296219502	0.14772219877732098	0.1425255110272727	0.18335747170609418	0.1809213269135766	0.17787504920774816	0.08863176150639551	0.16302032421454155	0.14062809328348203	0.10756003073734158	0.12495365508779292	0.1129655386761769	0.15001550233067906	0.16004641826726163	0.1663861829634694	0.1886604319293726	0.2006255478435024	0.16191147893870006	0.081382684419216	0.1332934291957797	0.14858427959130685	0.12874075086920986	0.14202448875980078	0.10735181359932747	0.1529734982177736	0.16564168794391462	0.16308801105170878	0.18667150299236326	0.15305425939023556	0.043938268725649224	0.06129954732607434	0.13210472944936102	0.10889237039076738	0.08830507372969443	0.0890219236901022	0.09819818591496243	0.14370916209264045	0.1737499701695441	0.17472493897651056	0.13736006943050702	0.12584670347381866	0.006078902736494637	0.06129842598499734
90	0.18690797027137263	0.17783342499530505	0.19752608035026775	0.1158171626859788	0.1179781374115665	0.12530516913562265	0.10832063030705368	0.0860317452983731	0.13477466489130624	0.10562218264490161	0.06153783587489814	0.10791732862182485	0.1950593063881605	0.1974358520794749	0.16614346253731427	0.1505423523687383	0.17557419640120947	0.17592890706782913	0.20860532126404036	0.2058730552917608	0.23022122749270946	0.2308752536651577	0.21408262306768008	0.06519990766813333	0.2164840757236146	0.17752764169582466	0.1870417206801112	0.16582386512062736	0.09471302331506437	0.16321120632280212	0.18029478813849537	0.17035647644603868	0.17447631844787165	0.2157915132896025	0.19603395041357138	0.086598825253278	0.2082235995397518	0.16583562763781218	0.14572546673232456	0.12779548498028093	0.10695771675974258	0.15095097685981693	0.15853065403649305	0.16209699036312553	0.1936279229461499	0.19297161282210473	0.18615757186540638	0.06529187020035868	0.19276220912490805	0.15578084757654526	0.1247818159864082	0.15408271195754247	0.10769534517679019	0.1522205233247646	0.16140459863753204	0.15532204116366183	0.1981874163989002	0.18736040197313394	0.16604115780071108	0.08746457161428031	0.16099680891036147	0.16238640582797392	0.13463397343004652	0.15355429692025718	0.13719906780005034	0.15649635252498562	0.1857863156793635	0.17362543636773858	0.2072558542255283	0.19879047139725786	0.17670553708464237	0.07353449186810931	0.16859921068650893	0.1496266546238133	0.12024876107743059	0.16538151561137726	0.10740486341869815	0.1319694362766864	0.15563065950789423	0.17052549744550563	0.1801028958285401	0.17263630159137694	0.02180275238072511	0.04720916173230532	0.16370061595710983	0.1392881035177948	0.10512556064465618	0.10365473660555069	0.07475778863925131	0.13379615447370516	0.1442388178210608	0.18295597047068612	0.1475509986746176	0.1317584820686901	0.005672298358893817	0.042057972124318846
105	0.1804656990366535	0.16838438028570527	0.19952747574049887	0.11722832234801589	0.14165782188768822	0.12497398313517363	0.11723985032692599	0.10979201349275247	0.12568010653411674	0.11334348287380802	0.13252301124591076	0.1427152770941057	0.20585812574829473	0.18763970007324998	0.15843225955803583	0.17552785611910682	0.1825165603243668	0.1867269289024475	0.21519752967143413	0.2297874643543882	0.24508361983336982	0.24724582344544516	0.22149780414056847	0.09644689983055876	0.21132195914396015	0.17277578938182298	0.1908501629647083	0.17143973435304094	0.14671584119745376	0.1730205673779606	0.19357278022584876	0.17322000135039903	0.22681570308035978	0.23526895712730733	0.23567820550288993	0.12630168640068434	0.21072963449350707	0.1877254702298446	0.14025991859186432	0.16953782164017855	0.11304850253842415	0.1550727560474211	0.1847670372788281	0.1848754955247344	0.213143613304204	0.20629940489549986	0.19986982943773274	0.1414246987845314	0.16984183882905662	0.13371631882400795	0.10763915638786037	0.15487146150261138	0.12372374727937667	0.14090984193591763	0.17723669047011942	0.154583601460986	0.206075643369876	0.19299766003531857	0.20116061582842887	0.11924768561625754	0.18179540679998366	0.15918077009679518	0.13719657460034657	0.16942047756354123	0.1401263966171561	0.14835641459542595	0.1919252932130427	0.18574575490653372	0.235565432538115	0.2210180746540335	0.20406680132666594	0.13464061769716248	0.1616062715229274	0.16538885292164013	0.13129802600707405	0.17932901766682163	0.12031791766052569	0.14596579338493	0.16855016854033883	0.1788954152332212	0.21279598687254386	0.1816038721661526	0.0746609892982052	0.08337926464134338	0.14602977131258832	0.10870170362142036	0.11311477340131465	0.09837698675347918	0.09887338978546606	0.137506791080585	0.17986144923497632	0.1903236761435106	0.17187357803236503	0.13712644436518545	0.010352160093061944	0.08097738788264211
120	0.1939788988707691	0.17428853575869568	0.16392659957360756	0.1013640468708083	0.09229849786866193	0.10142221319149702	0.07639793383474563	0.062253035443218856	0.1219408968592243	0.10164684312439806	0.11486474370994822	0.09845149340954587	0.1932515087454909	0.20807400075589608	0.16233006060994482	0.1329879315887112	0.16133011682026321	0.17621509325098328	0.21167844691179333	0.20331614793094463	0.21744049080231737	0.24540112499995304	0.22712296257683923	0.09038882302494007	0.20698238386272733	0.1835813086862111	0.15582176720903018	0.15871913309766	0.09879258773179114	0.15661375398423577	0.19545309140622658	0.16805862839140417	0.2095593092133322	0.21656591194750377	0.22713719415021724	0.10635134574677663	0.21312210020078823	0.1804118738486195	0.13513337814246554	0.1401594370651162	0.11340164731232716	0.1726009787310342	0.1690012786682548	0.1543946439361008	0.19579299871034278	0.19416688952954447	0.2087591170072315	0.11726920479159919	0.19664003189037366	0.12488522864768745	0.09195507478775723	0.14571207678021877	0.12356466871027119	0.13888168314480126	0.16575509724342996	0.12232736301375825	0.20905957878515943	0.19947997674249932	0.20081593046491344	0.10549536924740649	0.16788012337717	0.15229310845265315	0.12028608803185953	0.13365569513138756	0.12375785086098653	0.14732000067915302	0.19101596898646692	0.15728058566127814	0.22229459263488838	0.2047287298554783	0.20759741643646262	0.09568618090636791	0.16452577683334185	0.14089293196337144	0.08207741004889023	0.1674508446538224	0.10095363489625286	0.12051031334420631	0.17252755372399808	0.15373286051666132	0.19158977891639528	0.17232934962952334	0.06125035591129353	0.06424938094571903	0.1611013760736451	0.08207317466519644	0.07640782473697437	0.08549513019847987	0.1029109096977866	0.13403637876185334	0.1741402157640164	0.16662731984158652	0.1738812931424472	0.12537593929333293	0.011735007038900553	0.05512020522492313
135	0.19338739134090338	0.19996714486988287	0.19369252744985643	0.10077932841656534	0.14117787178519547	0.13511360845649795	0.12866101980154465	0.12372339980767137	0.1613575939809358	0.11940378047467462	0.11021996840862822	0.08884742915936658	0.20134872652610028	0.20596027507977366	0.16125017283656268	0.17217594496894034	0.16169459580693307	0.1951855585016985	0.22388808389964374	0.22768417477253042	0.2502328492676033	0.24179470665213973	0.22301604969948902	0.09691306904490755	0.21309387708283625	0.18744039809457616	0.17766384150240477	0.16708292177028944	0.12021093386818105	0.1766794923259945	0.19915858695249758	0.19108062785481567	0.2122865388838555	0.22629696089749493	0.21750044084894204	0.10868127038144568	0.23342229816281107	0.19608488497912596	0.1546645157122004	0.17125384934062643	0.14080695243962188	0.18098134199561172	0.18083942030390976	0.19637091603050885	0.20421324835085158	0.2140883125018999	0.19522658240984586	0.09484586635421444	0.18575596257302163	0.16148289152754902	0.11952055421430072	0.14932766354718174	0.1405638991519551	0.15771524063189546	0.18720684422638828	0.1561471236975947	0.21641904125786926	0.19019234253018663	0.18079302469064895	0.08994868914393869	0.20237951730093984	0.1727226951537177	0.1278670108165027	0.16655264016029198	0.1245999305963254	0.1720175327716651	0.19750240923406143	0.18214106285304715	0.23150032972233142	0.2047766930571379	0.1841218443130217	0.09293496722516419	0.1778315559295017	0.1696447694267091	0.12950942399017923	0.19742832289490658	0.13322446245448064	0.1596918453277642	0.19043198934515773	0.1965699524549962	0.21968676570481316	0.16805959432838413	0.0515570067702688	0.06001522592992203	0.18104715885641634	0.13939954414257205	0.1014414758980433	0.10871319613946423	0.13500460112889512	0.16476225645082393	0.18554103060111787	0.1990780848553083	0.18867055202386945	0.14349777259279875	0.005939737912620809	0.06743714599667368
