	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	-0.024793529106289847	-0.04632086739387209	-0.061849692364058406	-0.0804032389085565	-0.07635858465106846	-0.08759463381403873	-0.0824798526137836	-0.06803229917002737	-0.04121881651472015	-0.04738018431307206	-0.04543045632088066	-0.052728284082289245	-0.04393437739267686	-0.05372145717281973	-0.05087511491450386	-0.016110400558253357	0.00623372536966621	-0.030458492353980793	-0.014327972808469536	-0.03851691879934893	0.0028771534103632646	-0.010678740533681563	-0.0032528056105092795	-0.0773292702147019	-0.026487608616001856	-0.030607065318981164	-0.041028926987070946	-0.0272917345470155	-0.005944353770613642	-0.03355512875244693	-0.02222608241605889	-0.017584220662445915	0.02001858709089327	0.002170212171360708	0.004833679235574984	-0.035512625692579514	-0.0020213062704579343	-0.02655576006214183	-0.022920731006412898	0.01252637765992054	0.005092532298728414	-0.02347453536865418	-0.023861599456612204	0.01308055635339872	0.019753567078584	0.023840695895599784	0.040837698740849526	-0.028309370844254222	-0.006944019219743247	-0.015817932114763122	0.005399625457745971	0.04810156637380153	0.018947402830719495	-0.030408691724580328	-0.02926697841596293	-0.02191302919232091	0.02128170732844764	0.025311683193868395	0.03612870654672318	-0.03262181933475139	-0.0014715198424395948	-0.02452052081531847	-0.010030691567188721	0.03305352198078321	0.040869774468343	-0.0023841300714290137	0.01999802008447943	0.004597308062690986	0.049179470415454896	0.03201473558077511	0.02287777648868361	-0.013441841802234011	0.003236041880078422	-0.017871421529033593	-0.002700187254361941	0.027896902715021765	0.058575855225871	-0.004468407175073796	0.029147762710768688	0.02319043403543586	0.05385607347912136	0.05214390736146901	-0.022221050533727804	-0.029235816018133853	0.0030005120453200917	-0.008318228970573438	0.03603687374954784	0.0626215882374957	0.08410004183569952	0.028186923939773456	0.05189171042064966	0.06380543524564053	0.06440569266890595	0.047230802426905805	-0.04264223119633215	-0.019057015651593345
0.25	-0.043098282579368985	-0.05238356861827309	-0.042268439942311664	-0.10743150384732483	-0.11239643124187024	-0.06852809221167394	-0.06070531551343253	-0.05708252655404247	-0.058825064622807455	-0.04187059848519109	-0.054353578562565924	-0.0546925379368452	-0.05441207683773469	-0.039029948477320164	-0.04164586498615053	-0.05312189463841255	-0.033232030595952256	-0.0176126135994204	-0.007472166583741224	-0.02229752830903009	-0.026076507242596914	-0.01118623612869396	-0.01641377569424335	-0.10135871303241747	-0.035286802214057555	-0.03126578892462217	-0.03622314459561399	-0.05712450440960001	-0.029299408299991003	-0.015386915782597765	-0.01992552958484195	-0.011124934099007333	-0.024516151825525023	0.0008789281466769494	-0.007480413389668761	-0.05330345047775292	-0.015797974083040234	-0.011255094728971404	-0.0040639392241090255	-0.011296581434321662	-0.013541320518688338	0.0009637607079963639	-0.002402450332309125	0.025791559127695873	0.02166627709450053	0.026685066550501402	0.039769024427927735	-0.024500256407962107	-0.036763870499753104	-0.01513062460292891	0.0019203594673476432	-0.005912546276800823	-0.023428089859276524	-0.015069680766996663	-0.010380431355769326	-0.010502164804329361	-0.012614919155731097	0.013999583429902929	0.001496554208383405	-0.05374864475058022	0.0025798631244043357	-0.018095490158905547	0.003423037469902912	0.012090349138005385	0.004411354170356263	0.03309704862952528	0.02333550557573405	0.020142462888339485	0.025069851647722186	0.04553988786793162	0.029669227010870547	-0.03658966778046896	-0.006684330017181217	0.009393988044592239	0.009220328210257367	-0.011809248672391859	0.014558057351100828	0.021228975742669243	0.027402429046747778	0.019527962683537514	0.02789546441173013	0.030729647119978443	-0.025642584854872807	-0.05824812422857725	0.010515891764109164	-0.0030582984941538993	0.05739907622312068	0.016397548828051944	0.04319076339141348	0.05386759335186281	0.04989846631736622	0.05115613116859119	0.04992742214512502	0.056146845645994925	-0.047574697660474896	-0.013239319645245495
0.5	-0.04614655878963109	-0.045314187043416554	-0.034225888989149744	-0.08879923946399815	-0.1086954311936438	-0.06381913371712061	-0.04405352941577556	-0.04560913098687136	-0.025563162620251156	-0.025858430653979025	-0.056397317401546826	-0.04940123444345623	-0.04196917400650663	-0.05030449093603617	-0.0300305984692259	-0.039408843193064924	-0.04771046074775065	-0.012647380918816453	0.010144407326717175	-0.007015801209032113	-0.004629718159951723	0.001275718815362814	0.003925533691993333	-0.06759269666385834	-0.03076251167116384	-0.03007753697427573	-0.028708174866720282	-0.03938635376218769	-0.038766728292795705	-0.015993986521223857	-0.0016542468292872203	-0.0013225859225206027	0.01724780348427979	0.012542761217874676	-0.00200215210673077	-0.030511162961070704	-0.013837896626404222	-0.024200862142611634	-0.010095871559076763	-0.009928058943990181	-0.028905891672119433	0.0001928886914926986	0.009770121130208143	0.01448586738423524	0.02722946458493264	0.028456342415136116	0.029732934450630744	-0.01437592893246692	-0.0058856616587925625	-0.00705496921694132	0.03377758813593795	0.01973540729629697	-0.03662903019875041	-0.005403817246733278	0.005100885167033831	0.01404056327739689	0.03256000652495317	0.04492630890163629	0.028835637528313474	-0.029157347314233972	0.0013175648175735577	-0.015658920106491725	0.018176195854518185	0.009332256833582797	-0.00025648353710949756	0.04011518629420113	0.04761441572040448	0.018074653820015718	0.056931590680328936	0.03289149303021227	0.0382221234718782	0.0007441550155700138	-0.011443065881880432	0.009069213595845338	0.02774473479342754	0.0026637989877726365	-0.0011960187925282861	0.030267759639625524	0.05073049936028706	0.030891622304636768	0.05112192597801485	0.051110818307684935	-0.02223736121106784	-0.030870158744144782	-0.001861138152293107	0.013490384262910382	0.04559255698163506	0.02317430614561794	0.03667623727669689	0.05610012515249441	0.05963786900557566	0.04692128141355656	0.06668947017341292	0.04387484601118469	-0.047541799181561206	0.0005472096566711548
0.75	-0.046182818462184694	-0.03661952227365861	-0.049935583750206014	-0.10282276750889957	-0.11794855838155113	-0.10968990562217476	-0.0719757128557762	-0.06046342721855169	-0.06032192384315166	-0.0771076895246772	-0.06910093997159172	-0.0808042038718946	-0.050729689861465255	-0.055806735450278505	-0.04339617521301392	-0.05345414061739784	-0.057551415415623336	-0.06625725157885617	-0.021156357681431592	-0.026728663942592212	-0.028471611598298974	-0.04589422885903949	-0.03871615340975754	-0.09329264337847362	-0.03177341792123417	-0.03265410176223793	-0.04382810983799784	-0.05541963629048502	-0.05778182846937749	-0.0597688135622578	-0.04228491339588952	-0.003172927970319983	-0.005598230549161309	-0.03594001084640658	-0.02906386667241906	-0.060554960521907036	-0.03355494493117195	-0.025966003032481644	-0.018726601961800537	-0.019996344383002795	-0.04923749470951988	-0.06254758487855486	-0.030664868724631422	-0.0036382325427316564	-0.011168170808341371	-0.02613010971284263	-0.00709129554245419	-0.043007132047260144	-0.017908939953181158	-0.011914701700383556	0.01280060436919006	-0.0008346638669888828	-0.047640950956433614	-0.053750408666893346	-0.026190077027731684	0.0016776407966239693	-0.009709058693862904	-0.0052945193927386724	-0.02061170944940499	-0.052467843552988724	-0.000421533949743369	-0.002573584354043701	-0.0018217761119869724	-0.0060667275573926815	-0.02439419931984116	-0.02462209760228995	0.010075173950316874	0.022136234704127733	0.020732797547337534	0.0017388338643348211	-0.00906786976783902	-0.03738378177251689	-0.02483898132769191	0.015875446205127652	0.006426520062694674	-0.0084904921832622	-0.01059242440397734	-0.0323828813799788	-0.002849601286139314	0.01899335139116992	0.03269224437178547	-0.008153312971981519	-0.05780644797267884	-0.055722521684671095	-0.005217850771428667	0.01608296218246058	0.03469825728074577	-0.004026279969771451	-0.00881903328970468	-0.00020822692996486092	0.012281204232531706	0.05115794839052057	0.05075017597036302	0.007266276428261997	-0.07782965589378227	-0.026202170379754974
1.0	-0.030783168264415017	-0.03987566230031181	-0.0481196968663018	-0.08301070947447534	-0.09408433422778473	-0.08020654364648525	-0.0704773496014301	-0.06827851770930679	-0.03914969686373848	-0.04605559209555404	-0.053484624612897325	-0.04591443654165961	-0.02478718932713081	-0.031143958313018083	-0.02482919709122422	-0.040219138469482996	-0.03558716914678761	-0.04854857165265891	-0.015643269180414365	-0.02360327125377848	-0.0046760860462568	-0.009131178337601964	0.005431219940504606	-0.06870748832533166	-0.01664554225867476	-0.01816190486538316	-0.03721839368446056	-0.04184816392327345	-0.0364231829980422	-0.0414835862771884	-0.035112138893754086	-0.009796501583612116	0.0026699716968333065	0.0032884420683734206	0.01003331595876411	-0.03635827420701937	-0.008039280399389725	-0.0014906013612530633	-0.019116500639958345	-0.015216526399368546	-0.04476277273989632	-0.030137264911700656	-0.016378662805607014	0.015399584872289984	0.014495813664637591	0.015677559159619714	0.03617767130162336	-0.01534870277343564	-0.007052178779620999	-0.00226773302900507	0.0043864130132840184	0.012053151560095843	-0.01638755826871774	-0.033066763452204884	-0.03210020562346366	-0.01041234942419611	0.0289839795257697	0.0299320912565062	0.02385551502395572	-0.019450229085133608	-0.0002785720250257917	0.0029072998964430052	-0.008343219441087069	0.0030255674693650536	-0.0030264640919761	-0.013807032842351297	-0.008932439677093673	0.008016412520144234	0.04274606320896707	0.039000145305644274	0.032522416576406254	-0.006074139759201735	-3.185736780803028e-05	0.015599772431738435	0.01612714049395836	0.0030399478524958945	0.018309468238274673	-0.0159291013781363	-0.002797924322062939	0.010905292661220256	0.03253662822493569	0.034127381038223326	-0.022156334133567324	-0.030654335131682697	0.048797419531631414	0.03876222395323853	0.04676302261666326	0.02657613634137479	0.048169396716384316	0.0377232397935619	0.024852834406576707	0.041511255717936735	0.069312055451825	0.04277447504827259	-0.057180888354015136	-0.020154083146762702
1.25	-0.06801138152180483	-0.054964781472705226	-0.07302679396489759	-0.11083846213771445	-0.11409314303767626	-0.09305859637107111	-0.07673308424193853	-0.07335886640946457	-0.07936802807751087	-0.07026363302804772	-0.07172350777242747	-0.08589132405189501	-0.061069783339205125	-0.0551748755200408	-0.056877062202774914	-0.05574704686397447	-0.04604506598246477	-0.050695763303991614	-0.03938123992732673	-0.025313178726326713	-0.03660752669522899	-0.04019658467445697	-0.026592378905644476	-0.10541859710568252	-0.047941913576321604	-0.03816768406169707	-0.05103254298916987	-0.049943204534140084	-0.05445836442266594	-0.038905930666717825	-0.01904145353111203	-0.022774790058605443	-0.007015261729231448	-0.01968305388321223	-0.017905459527189083	-0.07116412262905134	-0.028894309566562193	-0.036340339112998554	-0.03269394940409687	-0.020270907529130022	-0.05087466446486377	-0.04004967733011916	-0.0184589361144481	-0.0016680332004680443	-0.0016462228653142397	-0.0020866455822948216	0.010593436547001345	-0.041706724127225314	-0.0312353576560902	-0.021824348437273877	-0.019739708351213192	9.905511260754896e-05	-0.03683647919090233	-0.04615109606666673	-0.02713460570594667	-0.01222950998918515	0.0002139047993972576	0.0027496735780142556	-0.004121287648917837	-0.07498201535879101	-0.01796467240568672	-0.01704561587825487	-0.022081134083619502	-0.01626332182108836	-0.014211116814255298	-0.011244406492632641	0.013593670517796974	0.0050741404805922374	0.027517234103656973	0.005989845482184064	0.006422587322056361	-0.04237795400261307	-0.03784250747144041	-0.0080582269636148	-0.024365128475207998	-0.003313626631350264	-0.010505457627954462	-0.012697900642325122	0.006402022811805019	0.0007382883425476883	0.01218090862291038	0.022123696790132208	-0.04096160351682865	-0.0688207669685694	-0.02471453718518757	0.001478242426358134	0.02777334978410595	0.010587500574815722	0.008306451045027474	0.024484931121872833	0.025740659001853794	0.013261327884289464	0.03993112390095688	0.02712705164442264	-0.08136347576397895	-0.04369543244818369
1.5	-0.028574502300560023	-0.059464889649456176	-0.053956906853538544	-0.11166811215152464	-0.11298064767458976	-0.0956901806364126	-0.07365061118014782	-0.083594512356027	-0.06466796399355876	-0.0687127147712881	-0.06731380954320926	-0.08932591292086481	-0.041071215780536297	-0.05120082914540558	-0.04833559747586014	-0.04473890792707963	-0.05647649929490803	-0.054703606645120556	-0.021840903486541163	-0.032406822901785315	-0.02659267329092213	-0.030373168919959226	-0.010791948904403492	-0.11309587043561053	-0.027005085819654495	-0.025869379125850245	-0.03881890438984953	-0.039908295646499004	-0.058841671047074606	-0.04914344780111257	-0.0387966243354701	-0.018267911188585673	-0.0025931410362396434	-0.009938986860566379	-0.012538202723841596	-0.06872768832292553	-0.0048018678916035284	-0.011749757874324418	-0.027282943441814644	-0.026702416838472687	-0.03640013514491397	-0.03128253238834311	-0.024182166511263536	-0.003803807495937339	0.01124390208272441	-0.0034738849168310937	0.023714419232708284	-0.047200314813052646	-0.004039021447674429	-0.007027058457988122	-0.011950882434200283	0.008709489643740409	-0.0197413109900042	-0.05420045468424445	-0.024538951713768742	-0.006164677359506987	0.019065803165886408	0.013963226618868452	0.015563921850423268	-0.0658044396381835	0.012992878390759188	-0.0012028509036124402	-0.01099477724205683	0.0025093953755531695	-0.004096059537184116	-0.017216003361919086	0.0002643417115709701	0.011513707754375657	0.030161518854080083	0.01954789865380091	-0.006347411898588895	-0.05123494824661806	-0.01182611053022753	-0.002034872703078894	0.015414958320941419	0.0034047287862060682	-0.010385662848740262	-0.01723551764641912	-0.0017138347310861057	0.01950254100763671	0.03736179699302389	0.019914168641256003	-0.04133665617480403	-0.06744151899287862	0.01340310023854141	0.006684238212164073	0.02827401239147087	0.0020951500546659285	0.025136286022681864	0.009074085480710425	0.03051335672423039	0.03960696646483158	0.04410509686488362	0.04147977783321666	-0.07858224358256602	-0.04596478063153736
1.75	-0.026222375924062513	-0.05791316478592154	-0.06475682198327334	-0.11166838883184121	-0.10943407685767087	-0.10321911306580134	-0.07627478624866518	-0.07528723292055176	-0.05397139659359329	-0.06205414953073804	-0.05885747411569969	-0.05402977644347673	-0.03474111623026083	-0.03683393138590346	-0.048922027421625325	-0.055769347250041956	-0.05233661013824309	-0.049839668167227125	-0.01079587343712507	-0.014769724595014744	-0.01927120650137809	-0.01778862918095503	0.002795165847712777	-0.0844905154348006	-0.03342859298493278	-0.030112281161323695	-0.025298055653762808	-0.04548643162648924	-0.05129686442023762	-0.0440277140578601	-0.01877338092347286	-0.028257378324793914	0.012239866754600426	0.0015735151628202826	0.0005712991899184949	-0.0430217279650878	-0.010174545121029221	-0.017521360202439218	-0.02014954484406406	-0.011810544515420573	-0.03998059246894803	-0.030909460293493174	-0.01717948011826187	0.0025218862961471356	0.015685915137787998	0.020056383024514846	0.047329947500476366	-0.02210637979426161	-0.005679690016796801	-0.004097987151522209	0.002835228129307754	0.009948316682971137	-0.03237469052115233	-0.036351485673821515	-0.01194770302449949	0.005487513796508303	0.012568884181949125	0.010843222639610961	0.023856726991460242	-0.04565109700007225	0.011821265396121883	-0.005316881082556624	-0.005045466774594387	-0.0002156972182238981	-0.0033212044013524733	-0.012173328867526922	0.017146963791338732	0.02530914685624952	0.04715977167190272	0.041815592265216694	0.01800671665382264	-0.009810613306830307	-0.01420584267753583	-0.0024398523922145032	-0.006143463800679705	-0.000733871158081989	-0.010068206691179082	-0.014439501460238646	0.012052716969748078	0.014734950997589646	0.04817658489158133	0.028349668901258174	-0.05261552348968823	-0.05896953533274349	0.002919920659672115	-0.0015956578970635071	0.02668951417390303	0.0009901173904081628	0.02594707480731312	0.01852390601693149	0.03657368895098306	0.04150705093127394	0.06425564884295809	0.03954583267086581	-0.07938253816105123	-0.028416740938375262
2.0	-0.049402781096508086	-0.06391411800942062	-0.06961803821203416	-0.11313029771610256	-0.11602236273838282	-0.10365392451208516	-0.08155746632203181	-0.09221744638528082	-0.05901900091775475	-0.06878326587563185	-0.06865756379969024	-0.07901128973945362	-0.047225754048004276	-0.05879331500783075	-0.06823695962180915	-0.0622380605822839	-0.0568057976560529	-0.05470892065109223	-0.015090986840188503	-0.0439749683959062	-0.022444108953153963	-0.015491492015235142	-7.242264757623129e-05	-0.09662498261554331	-0.03238537954299081	-0.04222291146264101	-0.055173434394488186	-0.05700007037116067	-0.05574414482019538	-0.04284352204195013	-0.029416396547558787	-0.04218534295360876	0.008509277766600765	-0.01639662452925489	0.016376707118610334	-0.06053283688005792	-0.003091855550959144	-0.030431098201456563	-0.04787402017223197	-0.04097332274107518	-0.044374626566339836	-0.03398356937981578	-0.0260674604540701	-0.017388514693089052	-0.000837755059151013	0.011741291205354665	0.033425932675577474	-0.044928698762512376	-0.0060968427731712405	-0.033513652572408514	-0.027257885851640462	3.4544881959364115e-05	-0.04238576286583717	-0.04369457550511929	-0.028431032540028878	-0.02839472383569075	0.012875788661105447	0.028089292898921037	0.018005254237751733	-0.052960617421072886	0.00858290138172152	-0.010344693357097035	-0.01217554431779816	-0.022290324470881917	-0.0028432794854991172	-0.009323080218953284	0.008840064971781858	-0.006632488061109276	0.04240614314472857	0.03281025911065527	0.01805750327026595	-0.0346859445550432	-0.01224102621566775	-0.0206139019280272	-0.01667859401956201	-0.010810802855889035	0.0005143498423645365	-0.007371801535401401	0.0034582030348376813	-0.002326028645066147	0.035427473650414876	0.03528811358611883	-0.043602219303825906	-0.05389684603194256	0.04166646328361867	0.02357579135864518	0.021460246745542588	-0.005019483713238182	0.029735389108431542	0.01915736502057197	0.02463156459566407	0.016874656458307047	0.061402401320292566	0.04365117222119763	-0.06221233838032189	-0.03911840561209101
2.25	-0.01789990867036878	-0.038384096475008456	-0.05256655724173753	-0.10806414570817086	-0.11382715988201064	-0.0808430589316621	-0.07116399593937989	-0.06831397015151972	-0.05455742424023874	-0.06448706396311146	-0.07028973923269463	-0.06887285432900284	-0.03143948293907556	-0.03719330927644604	-0.041321890353072654	-0.04607403341018884	-0.030187272868677728	-0.043130672447022456	-0.011799274394008852	-0.014729935904127023	-0.02900507939179514	-0.011960545674948198	0.000621964285816623	-0.0963143227370121	-0.019514676974538292	-0.023156343805925572	-0.029456275961502576	-0.041502643378130866	-0.049396856989044724	-0.023712330779600943	-0.01250019158254112	-0.01354805759989014	0.018495474138509826	-0.010566347541096477	-0.01568051649543839	-0.06011409369803761	0.0020695527760171695	-0.014503837433131772	-0.022190146353761153	-0.005500650336353774	-0.03205870081672707	-0.03208896401872141	-0.01880459301766202	0.0011935621268026608	0.023667752577624934	0.009692213860490628	0.03708016109291945	-0.04383072306726532	-0.004219070016391435	-0.0015911066352653491	-0.006509152933812046	0.008164482979662824	-0.033627453794698836	-0.037841332660987215	-0.009399701408801697	-0.0027862749647397655	0.020338594345625405	0.012216458062194402	0.005905144358436143	-0.05356946192777229	0.019369279992059896	0.011963086304789594	0.004213133704806249	0.00720153466403245	0.006220121439104165	-0.014338774705643986	0.017477643909938723	0.021074767909151637	0.05288579886876249	0.0217914181528871	0.030301358061469386	-0.04641031002673024	0.00783779411639679	-0.004352233634450531	-0.014593908625980145	0.017681384513062226	0.010509959113102318	-0.003792292148178278	0.02852785985417805	0.02001451063685178	0.039905127832284004	0.02312004511709309	-0.04057721878223103	-0.059090367390898124	0.0023571667724001655	0.0003302185103875588	0.026263398637676405	-0.00115452790354309	0.018253364848600517	0.035633368599129855	0.00866119150970962	0.04196000988394244	0.057724272827593626	0.01948821461410083	-0.07654171407476507	-0.045818819176607295
