	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.11987087367708597	0.09778614793700724	0.04287775826892612	0.13876496989600237	0.07979354070506739	0.08829708493304225	0.08063786790413821	0.08371784114303757	0.19647085782990586	0.18527243731582188	0.17567548361700908	0.16530757184300454	0.10681026037473118	0.15024085992223063	0.15937716080201836	0.20726588817978525	0.17941132289359013	0.18560370056544748	0.16272736837206775	0.16042733428072914	0.268292635853721	0.24402343329123238	0.1835264130406821	0.19095623437871595	0.14542868287882554	0.13719191202710262	0.12979582593766217	0.20387710887494237	0.18512684294414355	0.17577994408385356	0.18392770866599445	0.18159925130460325	0.25354553246885314	0.24700840284510084	0.17488096145788723	0.1847354819068253	0.22158852799317647	0.11732948739910595	0.16516634259301216	0.16998765672091465	0.15301013438242791	0.16202439376753291	0.17558501726353887	0.13313787846637154	0.20329676787552464	0.19968571892464237	0.11406877918920932	0.19432247174135575	0.17712836057714704	0.19381422269344678	0.19688584384441613	0.20231658148614753	0.1854769609997846	0.1263091721423595	0.19823703140118593	0.12033509623834909	0.2270801455508627	0.23640653235442805	0.16940698846630292	0.1488944846286778	0.19422643778777096	0.16719997520932256	0.1869999497872623	0.1981816087569117	0.22326153210561	0.13431963453639328	0.20999552769115987	0.17921180018376032	0.2491594080751811	0.16193213393171602	0.16145146651724396	0.15576954051587188	0.2561349926859028	0.2402357163972602	0.20997355818623403	0.23217691818752206	0.22330812062611072	0.1794061735913249	0.26715098256854375	0.3036240432078547	0.3008322692834573	0.28520848281660194	0.20509187421441105	0.18869280578297265	0.2028899241531255	0.22505040926393727	0.2014001644500799	0.21264460791149414	0.2120054775499003	0.20357024368700766	0.2073744180292985	0.27800922400740063	0.2561757523054414	0.25824925830980755	0.12642606015013616	0.09759515199747534
15	0.16079811020508228	0.11354587394675052	0.048478416799241184	0.17185185840297176	0.07983998048880617	0.09023228091856214	0.12314118221289101	0.11921143231141706	0.18787117387238148	0.1874494100569134	0.1728290015315767	0.14605430369106898	0.17267099725674026	0.16354680352643425	0.14964349117619247	0.20680099219930095	0.18802803270864948	0.1794081416344544	0.20489625270835005	0.17534139517012698	0.2411624266598425	0.2588944908630123	0.1781039533200537	0.17105122456145536	0.1713056242351007	0.1479977285138787	0.13859216753828882	0.2195673398657812	0.19948156031044223	0.19710742447387783	0.24416894536233386	0.21734531047348127	0.2592594229073243	0.24223663000230677	0.18868662989772067	0.18921106440015872	0.22857867060162962	0.12189400545587845	0.14773720319030986	0.1807954925587013	0.1388945968020838	0.16195687720522317	0.22036502175914463	0.1370858365823653	0.18466654271105543	0.1962042464014823	0.12074481364458063	0.18194823225313547	0.2140836766636262	0.17982029128438531	0.1738789856241709	0.22583398453520448	0.16766083263205422	0.1326827623175068	0.24224584849506398	0.1277480607627284	0.2060860211153851	0.2559499907149073	0.1557958998499946	0.1687849547024464	0.22375387214718567	0.18652705363436406	0.21730172515754265	0.2321227080035027	0.22669473511993507	0.18988179633402763	0.26878038980336255	0.21648011284896357	0.24596705731377966	0.2186468103566015	0.17345373599248687	0.17240366522167927	0.2975609375919784	0.2243252899530777	0.21731519992764664	0.24395523340959824	0.22295311118207678	0.19930161520339879	0.3032426640856606	0.32753366412461693	0.27934182569895255	0.3013350408872746	0.1737465924407524	0.18469583422358427	0.24099301904616702	0.22586762138587263	0.19533430264897111	0.22770404129403365	0.21077461056289082	0.24269911059246896	0.26288450689191734	0.28020156130346363	0.2525303318351397	0.272531637763169	0.17631428924616002	0.11657360930272345
30	0.11394343562415582	0.10943752943838081	0.062306101741132866	0.16981682636556578	0.07240876082431026	0.07577213323379978	0.12742838756028357	0.11526872151376814	0.19463539275150796	0.20266002024713634	0.18041560354305536	0.13353707951188196	0.13904634965095575	0.14690982965026278	0.1682715256245093	0.19361628207203885	0.1697902664667657	0.18477774859019053	0.2088808747928529	0.16923843012935352	0.25112327703923754	0.27144187410728426	0.18256465189886462	0.1667512785595033	0.14552664071788785	0.1494465675516628	0.1634477308706989	0.20595742409084644	0.1817668862998923	0.18685800401947195	0.2376886052621481	0.18806193395042448	0.2571162654406836	0.24245526531800016	0.1951075221844311	0.18951244578018972	0.2157667164252847	0.1360937902720305	0.1808170871793237	0.16996036235383571	0.14537928556397298	0.1748636520146009	0.19808130897564424	0.13712798501721313	0.1951660535077343	0.2042861766670075	0.10645269347874613	0.19114299729624545	0.17224563302873253	0.20181163797534868	0.20737030362587633	0.20046227291829088	0.18044356180294044	0.16130450998774837	0.2400689603862152	0.1261903984798361	0.21036076962979816	0.26599812105445364	0.16196305239132458	0.17490126364422817	0.20377986120798386	0.19187133807015277	0.2026915212309276	0.22056512097192255	0.20175864699260032	0.16089085856779817	0.26733641735317204	0.18197053795136126	0.2591846510257412	0.20978591089633933	0.19749033082488343	0.18769838612680756	0.2782250461777331	0.2626949277732902	0.2439740484382839	0.23095838550876502	0.2334419017813485	0.20719611647571418	0.29180975813800936	0.31890964290101453	0.29016785145909507	0.3101810256899178	0.19822048285279456	0.17053555446833887	0.24018257134312215	0.23660706057154526	0.22199918579021993	0.22491354523597562	0.22588135401132484	0.24269142524224696	0.26176453914106856	0.2560116452538759	0.26221194879456333	0.2698519798359238	0.15555834394939344	0.12588841888632352
45	0.16048882490924787	0.1176174714225276	0.04253292417875279	0.16648765246103372	0.10011644966386937	0.09764136490526085	0.11147910911743747	0.13972174287460623	0.22456598606878336	0.1839790828010659	0.172655903557859	0.1722616455114763	0.15993265553829777	0.14468800024769954	0.16180742617788543	0.2053127600965798	0.20472753703232988	0.17986677157028244	0.17865129212114306	0.19339325313775207	0.27917598054046844	0.2555312230174186	0.16960826668283027	0.16859148530175344	0.18323659662155578	0.15879952682288884	0.13658760683184173	0.22764204549970418	0.20619512643320306	0.19830641167382562	0.21370545747273495	0.22322889871217194	0.2722605211216036	0.24449186425976083	0.16328554361672923	0.20371480589059876	0.25150737245765564	0.11965157587263846	0.16041792042196068	0.2006285936557503	0.1710809319832884	0.17767796645485756	0.17765958598140102	0.15505791988437673	0.22307801745943667	0.18180788996125166	0.10087927348324353	0.20835212444981177	0.2139025317378186	0.18972254018079732	0.20105746184315296	0.213517563070203	0.19847171857060397	0.12518348821352923	0.22770925407451853	0.16536902045829274	0.23108835348755175	0.24296088693789036	0.1416786740383228	0.20022737614770103	0.24266886328932283	0.18970252189291936	0.21376080617443205	0.240922409287544	0.25025682945573086	0.16425352266641613	0.24566653995234256	0.24092480291724253	0.2773780865995712	0.19418697070836832	0.20067609566513692	0.2151874081864883	0.30463011122915973	0.2504653681654792	0.2256050523765924	0.24791126888708637	0.2588708824105479	0.1938829967745949	0.30272361364781386	0.3437129365944681	0.3125726166377525	0.28295742993340245	0.1872746245552136	0.20991204029950136	0.24657817641394014	0.22451533554366138	0.21858694708174994	0.21968394995252227	0.2381615585514708	0.23262762207790333	0.23753849722384618	0.30835425033198893	0.26068956842879165	0.25231637879543467	0.1590090901932011	0.1519222160218025
75	0.17283393924260487	0.1505522751737435	0.044523572508570884	0.16604195788941806	0.09291236233977174	0.10992766327495344	0.12527838753888543	0.13970551924089003	0.20127936970907667	0.1699140056458333	0.1494506632011088	0.15388127584559372	0.17036313716313478	0.18004407904390768	0.17017956864612627	0.20555541746850467	0.21046500531538423	0.2197589490931358	0.20638423262365704	0.17819982206010065	0.26649633670501477	0.26517653752793546	0.15837278394085808	0.17895537436515752	0.17519860892527722	0.18295158018878552	0.14689449572162847	0.2137719399675908	0.21399657233594033	0.2307015491350724	0.23923519317575903	0.18179308316767695	0.2839985057896002	0.2270732824149735	0.16654920786526978	0.20554952581551472	0.24336870137970223	0.15591331336119635	0.15410014155695717	0.1775331192705525	0.18729467832584928	0.2202090966010927	0.22605248548589063	0.1617135521658901	0.22079522232420923	0.2057081183345981	0.10307094439791026	0.21638114076589815	0.21479301454097482	0.22704849911907218	0.1955127542725403	0.20483906150341058	0.21283108472411721	0.16706462797998756	0.2530026500965541	0.1477656365822509	0.22354754133142596	0.23751947447228983	0.1446047540034629	0.20546931850476008	0.2501744276289257	0.22209227187402322	0.20927185171311247	0.20133132494859554	0.24239501480657638	0.20222918419546787	0.2679586218629565	0.2028140311407072	0.2635813787154429	0.19005746359013143	0.178719993901445	0.21247333816052072	0.30437606828874775	0.2584266747213994	0.2193774862751093	0.22704258868330413	0.26967893327667347	0.22608683952248687	0.31241477545892693	0.3359206189772561	0.30637247005232954	0.28385814107644536	0.18422456383719282	0.21389783204259633	0.26372602092743425	0.2530498495471466	0.22158962242692937	0.21454543408129417	0.2602114191091688	0.2696182458660519	0.25884247372022345	0.29939539115896135	0.25532899435107415	0.25491028904828483	0.14739941338240303	0.15483368970733313
90	0.15721984559406454	0.1238982260554923	0.040091061528167826	0.18968539866568335	0.11185722155311996	0.09845045303120314	0.10513368543643906	0.10979795924610421	0.17589193340185005	0.16309729418982355	0.1804009033482762	0.16838807690262486	0.16638574744505225	0.18101573718368197	0.1501530207601358	0.21252881324791806	0.22059035722354836	0.2000430328571948	0.18394068031748306	0.17588879919800254	0.26623076995753303	0.2746634930510784	0.1856606004738267	0.1929977681179823	0.18421681357186487	0.1537057042116216	0.15495955266932188	0.22474621194697936	0.20798896723132332	0.20759328616138548	0.21820427218639632	0.20153767278181986	0.25980605892014197	0.22891143452328727	0.18265651460459742	0.2104500143982896	0.23195683187787713	0.1178336796260804	0.1567280350383561	0.1703212563093223	0.18882831142493742	0.1761450229848051	0.1855604670285258	0.12067276067585864	0.20740929986567902	0.20204116837810712	0.11718380045490245	0.21696935855720895	0.176822086173252	0.2110258829098413	0.18492621179274787	0.20531007709013668	0.21293032201388234	0.12891648356900182	0.23342109386674906	0.1369303602955142	0.23120475505014842	0.2268375248537824	0.17226289786731674	0.20662784416139612	0.23278341535392774	0.20599229301955196	0.1992962306484441	0.21324025957289705	0.2547131256245711	0.16692570760845699	0.25297970842284745	0.18434745433208483	0.25984503358818145	0.17732741504965105	0.18688840320025588	0.20649321945282514	0.28498974659835385	0.2696655031224789	0.21127555094575878	0.25351159797171874	0.2669594334448854	0.21867502619110996	0.294951828041232	0.32898832071467343	0.30752521594924975	0.2807296998383376	0.21096713584858812	0.2050820450444857	0.26201384975219966	0.2407043635161412	0.21949973784280014	0.23272750253198934	0.26761948446333916	0.2436506512350431	0.24879601440195354	0.28218583922998186	0.25097938428151423	0.24956225701318976	0.1663059780920208	0.1522322716193064
105	0.17162559168240882	0.16790737703189412	0.08663472630890508	0.20742179071651304	0.07443564321888363	0.10411909200049488	0.11529294060522224	0.14321223343297065	0.23194733984292953	0.19864148987864627	0.18024081145271162	0.1613862401729499	0.16098456864035587	0.20432453690594632	0.1801878398203852	0.21225448441414418	0.20862002777063077	0.1877346301064094	0.199457141009678	0.20100963156379553	0.2916678176162512	0.28659374365110707	0.18074482496362587	0.16620062504563646	0.1775741862507605	0.1970294526788125	0.17589293086621388	0.2275584889180745	0.20519939491131617	0.22271152671939265	0.2392350570702393	0.21969245282642302	0.3046990911714994	0.26202776613956646	0.18499533111455824	0.18894052090253982	0.23414341990520637	0.15501921738651236	0.19628928218685543	0.1984930798554861	0.1709848812443734	0.1972591336473338	0.21145482692786907	0.16308521830332803	0.25022943410724074	0.22819295511014698	0.11134149332511972	0.20332833151407936	0.19543796154340204	0.22564278524138737	0.2127422020593288	0.20353193456402888	0.19804377793025268	0.1380757851790621	0.2556140406272692	0.1496993263010889	0.257122461476581	0.25677082601839807	0.14691721766029003	0.1817603345512602	0.24703217971335162	0.23518123844714403	0.23692589732774338	0.23498604280005486	0.2556174445018525	0.19567402164775313	0.28215651105831174	0.22659934801623421	0.2909095342930934	0.1857011373031957	0.1778810961298876	0.18061514434442333	0.3067137384919031	0.2642303548489966	0.2347882321460997	0.2507274710895022	0.25007714941047726	0.2203497725742694	0.30229991095219566	0.33931285568253133	0.33663163292052506	0.28963280734483754	0.16874686705468106	0.16840848460182156	0.2693947182064655	0.2569444859611829	0.21459493053908518	0.2276724818045859	0.24266297403648296	0.28075479143161985	0.2570192261113581	0.32327437357749006	0.2818959604028928	0.28592371681011447	0.13657220052359847	0.1304572038108191
120	0.184969975036788	0.17709783183771788	0.045063095703711684	0.1871405619971949	0.07944865259699946	0.09780915439683566	0.12675834595583946	0.15104331716836544	0.19930524955021597	0.1783053539664377	0.1736364734681704	0.15182450704765826	0.18143113179427744	0.20600563278930842	0.17180241294434084	0.20329334350563172	0.20869684663170424	0.20179637397548322	0.19985897226513194	0.1918057142124558	0.2712802678235923	0.27447504973166165	0.17060951810350464	0.17314374277201838	0.1878194094999976	0.19969112538361689	0.17693965723796798	0.24484361546005237	0.23220761848952692	0.23524340168401747	0.2330859729538582	0.21650558479594878	0.28247990260676964	0.2402932345781197	0.18041242558956855	0.19868205218755683	0.2751902109889643	0.16797632399673212	0.1767258829665827	0.19085361440784687	0.1994596237206568	0.21749965558875517	0.22175353950770973	0.17991480087439907	0.23006987993767036	0.21773199753128603	0.10803815207797737	0.2182447051032062	0.2226799647613592	0.22785670537831104	0.2141666552463133	0.22099411717069986	0.21938982421189526	0.141581115179223	0.2653323553228629	0.15426192591409327	0.25512020528838764	0.23949946316756443	0.16730288693332634	0.18690119005099748	0.2628571156779702	0.22110705456685253	0.22700634510143985	0.23970862636212426	0.25404475470897253	0.16210491505281557	0.2832734958793801	0.20463819009015555	0.28285811604849054	0.16406754019590236	0.1718076865122449	0.19687538102362706	0.3299280550925464	0.3058653517063182	0.24925777556496317	0.2593159531846457	0.2882230777726099	0.23187617671036542	0.31502626086285124	0.35342612050024347	0.325856998606443	0.29828389945749323	0.1764693423176516	0.21784703147703688	0.27955465076254754	0.24282185184296806	0.2235303900401129	0.23023433284711797	0.26762646820264224	0.2629053790120092	0.26090937621377686	0.3143060034152855	0.2664696938313358	0.2486969878939977	0.1449543640804444	0.1392908350812868
135	0.19364916087101336	0.18037696746131665	0.05218068094684941	0.2216054925460383	0.08379337946606341	0.09881927115888206	0.1123254864724593	0.13441919934148627	0.20852119520873735	0.1992138821861018	0.19556508479470963	0.13663120263400202	0.15794375433715893	0.18025612170563768	0.18372758813598133	0.21745408053445675	0.22071840914475538	0.19933796666984277	0.1792287957618946	0.20346091687351314	0.28892424941698	0.3063780453866155	0.1883048883743846	0.16139584190466122	0.1971793445662433	0.1935080532075572	0.19697594149655256	0.26246769638058604	0.2135246628825922	0.23608469986605657	0.21395377178636782	0.23002474153515354	0.3010781609152506	0.2757454026657069	0.19753614949066253	0.19785889833928436	0.2536989755371818	0.14323981915387995	0.19868647937859815	0.21419553518514634	0.19338854032483282	0.2010951606021104	0.21603140427985013	0.1734180958491489	0.25157217753664807	0.2387569943784537	0.11584994330910084	0.19690213628203118	0.20486360561121142	0.19973831502526826	0.2319630258196841	0.2413783446036249	0.23477299430530849	0.11224027477450818	0.2631854272238583	0.1751472525360694	0.2549033655589157	0.2669488171462193	0.18259421329415373	0.18702768509211626	0.2518538483812831	0.21477008838225323	0.2400985933639537	0.24748505129344095	0.27263408722867155	0.17018371884385847	0.2785150356682775	0.21539517389073623	0.300634476524799	0.2110038708985455	0.19573039289742836	0.18619449826711348	0.3127578962632873	0.2678238557901895	0.2584079234277122	0.2745629769833571	0.28221165753722155	0.2021826992788109	0.2970216636388828	0.35155445644037275	0.3391906115846688	0.30736041016260585	0.20007680109657602	0.1849558036989106	0.28975832009275276	0.2725131217677875	0.2474543370924141	0.262452949188682	0.2744156774061451	0.25625426709376475	0.25489709229362034	0.3216188755770144	0.29219409165098276	0.29371903114759673	0.1796297990140886	0.11963667184051713
150	0.19108949841051293	0.19068853658417417	0.06158462873227141	0.20942956663374085	0.09343859502083036	0.09775023195542681	0.11932977361903062	0.13335437973136705	0.18222797082725345	0.17831624360226928	0.16029334056022213	0.14146142838145717	0.17009274123845536	0.18875759389929964	0.19024393013132077	0.209219809224443	0.2033489231944957	0.214786894466921	0.2013150493537656	0.1863256050790253	0.2830789608228249	0.2778632278944053	0.1551392404467824	0.16360676429731513	0.19766483194623574	0.2057212128267229	0.19168616474693623	0.26024136816615895	0.23497145227570287	0.24383572790383404	0.24552075424971412	0.21766645817908328	0.29265639371451047	0.2538775645746743	0.172009795222209	0.21388628792039627	0.26882499328742765	0.16027346463861336	0.18534803679395598	0.1890487626501126	0.1994330696802215	0.2260748391831593	0.21251197136690736	0.17534270407142544	0.22149024079411506	0.21141939384435468	0.10374664174140402	0.20714876926690307	0.22511001538942957	0.2341089362141821	0.22644975170870513	0.21537891939273096	0.23693595232403855	0.14227520615088696	0.2675458654634396	0.172107786113195	0.25385532655316123	0.24401408110986772	0.17826932307664134	0.2133077364133134	0.24659265597228855	0.22639526574277294	0.23211991649609892	0.22962817653206619	0.28035389550396395	0.18261858640782438	0.2736789607128631	0.20002271294521978	0.28614657248149133	0.1490249910416303	0.16546612496198843	0.20491987168769968	0.3270429460952208	0.2934971724987221	0.2620452855316773	0.259986989212188	0.3085022976167807	0.23066175156050855	0.32033757600799184	0.36370228238777524	0.3223318090011116	0.3084563706082317	0.1967847601181556	0.19862865077713393	0.28144595434417197	0.26782306472965367	0.2133981339488104	0.23219281418218546	0.28402254982835196	0.26420678719691143	0.25691441831330186	0.30662697071836537	0.2732568429839573	0.26938303911736405	0.16435691169154562	0.16474248505278824
