	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.2460545791755449	0.19904920320376743	0.08257209712408332	0.10664919413766158	0.12470844649950338	0.10346374653353267	0.12888730538613197	0.1465750114858466	0.15474155814657103	0.11281249116980843	0.12232912933807005	0.1591202135509066	0.24122910025914818	0.19863053621502152	0.17952779644135558	0.21667136764641748	0.21158700818916992	0.21101710901293907	0.17358357593914636	0.2039492621909558	0.21942061509755562	0.23539111750326447	0.2306295455615719	0.13217374136998084	0.24727106302537993	0.20914850103378257	0.2174354046550271	0.20719095338852778	0.19654048808357966	0.204978742980385	0.18713946536305087	0.21319239634737716	0.1933522194200158	0.22337597389746966	0.23739891219646164	0.18283089017756876	0.23809254960967852	0.20075597755778063	0.19602517203865746	0.19686844527208816	0.19634491165757287	0.20597783705186729	0.18214210197450753	0.20062052873757813	0.20835429844379655	0.1997186470767986	0.22227230697231187	0.14216341292785845	0.23937777702535973	0.19628112727045774	0.17289500135589547	0.1751389831258545	0.16899013107564903	0.19209141602329213	0.17551027645071812	0.17754720115548125	0.19085785924672205	0.19323678063130503	0.19937595348115664	0.1745593011207504	0.22196356007392207	0.18079664079541094	0.1712644831279932	0.18056564725046137	0.19460488520273103	0.20058974512333438	0.1979770496361882	0.19076665527013942	0.18814532129843126	0.21529246523424647	0.18892894575248687	0.12016177909026522	0.17511198796574395	0.1594324026356131	0.1531456038968339	0.1850130375099699	0.1610032612722841	0.17608628817699817	0.17524876353006796	0.1861708683860686	0.1916230544154412	0.19539686307492282	0.1028809537978056	0.07636371181134274	0.1756789438519301	0.18699929349848848	0.17926804531419793	0.1873084155625226	0.20506481406820257	0.17707632459667935	0.17629505353621105	0.18908290034519426	0.1824790405664734	0.16561789987111036	0.144737503268152	0.1451425383401604
15	0.24935827350547984	0.2037742374697542	0.07165701037582205	0.0567354748712089	0.05602507977886811	0.08641125825030052	0.11353867979902871	0.12890370524684047	0.07855326225860344	0.11038457574452988	0.09317395153037966	0.1199929861417253	0.23554443572196207	0.1937134469614637	0.15504625135075203	0.15960685347984657	0.16206426339091204	0.15849455713315946	0.16246905280548568	0.1717224133452572	0.17312895382852406	0.19030578702669443	0.19585255194022175	0.0689421884581567	0.23375349839069678	0.19411311356391286	0.16495164842366183	0.17283596287836187	0.14059369901785274	0.15566219107831697	0.14478741293277508	0.15161377863450246	0.12048210401047957	0.1963990090336689	0.2095456886893703	0.12946365837225943	0.2352725848154522	0.21271949458575523	0.16208309975926077	0.16491350864831897	0.15159431373044388	0.17195712219692022	0.16041973162858325	0.1697632683922321	0.16781178611394437	0.16095429071986617	0.17971996761326875	0.05490712782618834	0.2401975198457576	0.21051926348003588	0.152331110610964	0.13638578310523694	0.14315876178821424	0.17150981855251263	0.15470980286626837	0.14266015916236213	0.14729400040737065	0.17199996419255614	0.1642459446250934	0.10448638278366465	0.21623233317462015	0.18882071474807544	0.14001645159249682	0.14497598059606912	0.16621551851755823	0.1763888627907483	0.1822229959623145	0.1551856681145925	0.1420154873007171	0.19876840444638352	0.17366734656947136	0.04581172896945114	0.14680217741484566	0.16183192563334597	0.13636243169103635	0.121234692058425	0.1205497172370575	0.13366543529164843	0.16957533697891597	0.15088435178742768	0.1327871765594406	0.15666015941080436	0.06723923747385964	0.016767627162342112	0.1883976378276871	0.18575215125829045	0.12997938867300574	0.14996997612190438	0.16757689878590926	0.14042858656661963	0.1457396800393126	0.14282497569370048	0.11105882601098069	0.15081167794205846	0.11663480942479537	0.0860375703521532
30	0.23691051220348067	0.19972883345076792	0.09073783925546461	0.06567408834050702	0.0903098027800598	0.05611855166293393	0.11059214242745806	0.08892521506867912	0.09590308839126963	0.09452655742442681	0.09366099509080578	0.127689331682804	0.2258304107366214	0.16383405576855498	0.16600279851599814	0.13307204034859693	0.1480673481560984	0.14847993132258558	0.1279776087193461	0.14350053909616012	0.13728686394561557	0.16852979495574189	0.1739104099255641	0.07710511828496466	0.22163670573928118	0.1734456941072727	0.1924035834838508	0.15892570467969547	0.14796773666593177	0.1583135237664547	0.11938091668222775	0.1503177021688611	0.10587269128900692	0.18419259414970668	0.21671885819068387	0.14723726865872055	0.21499453723504103	0.19247374075685564	0.1387925544544784	0.1514743837342303	0.1165913280119743	0.1317831341809012	0.12640203792852273	0.15135562350348702	0.12780255348672678	0.16394158928453967	0.17545621808218878	0.036981002573479124	0.20107001514354148	0.16143276353849445	0.1194236212194307	0.12151833168689513	0.12895877704077094	0.13237642858193133	0.12244311191402901	0.10356604478108761	0.13637450580936938	0.14816400369273253	0.1541574784785536	0.10079917637300911	0.18454124373040165	0.18452652340867226	0.11430877730263289	0.11559324533294577	0.13609381012101668	0.13905278091559037	0.13307356384910848	0.1271108406585214	0.12756383169134927	0.16850817598338175	0.14853765679984013	0.016147306294137465	0.15432968827378057	0.1595305476453447	0.12756259858703412	0.12973876047251456	0.1307908858118189	0.13531854910527594	0.13430640638301886	0.12597328815506711	0.12793076824732755	0.1558202262845792	0.06577188874097242	0.01137069767809195	0.15657795072936767	0.13542460697829517	0.1197736159511806	0.12667403591756327	0.13809786425476905	0.1370837510542312	0.08748738480005724	0.13134918621794378	0.074254766956297	0.1371441045863001	0.10162106903362472	0.0830560035980541
45	0.21887336386426323	0.20995390243405837	0.04244381574574819	0.05844546345465483	0.030543842715904736	0.031338043805967296	0.07361845695473353	0.0886341166761337	0.06413071995137273	0.06316447806548704	0.06950121032246036	0.11804057514904112	0.2242645317032067	0.19029643564227927	0.13687294959316176	0.1521506485269885	0.15222420132996858	0.12465609899827756	0.13592124146330364	0.17379034285413042	0.17757074919720617	0.17360458749175942	0.18305656386793256	0.06717848181096263	0.23093591159578308	0.17783672529916855	0.14017300072406802	0.14586960260965398	0.12941409931538927	0.1385177437105024	0.12658733810815376	0.13992080932116904	0.1042220683800712	0.16427961242235853	0.18690351667447652	0.1090776500817662	0.2096331816907685	0.17903715648009366	0.13896814286510467	0.15565216117358668	0.13119148368226474	0.15108875438040503	0.13546878831781725	0.15535843374301697	0.15099341457716986	0.14929668380884997	0.14999039682118623	0.046114163573570385	0.21731112922139023	0.157539281052189	0.11239953784983725	0.11828734969281629	0.1305676715444743	0.1389063326169543	0.13174842531312403	0.1319795709686311	0.14645174011337028	0.16360687848354163	0.1500743639778534	0.1200335662979266	0.1913928550436728	0.17282141535130327	0.1344812987277919	0.11359961972980423	0.14214826331522398	0.1480688430516803	0.16611871509450482	0.135806889457389	0.13212298565134334	0.17999142780907967	0.1571627365853872	0.03166671637332248	0.14613529868689734	0.14160542136818505	0.12433662378553809	0.13347296549752835	0.12217466115271261	0.10184162884190098	0.13244405057668573	0.12926224796591224	0.15400190153373955	0.15343697133386816	0.08000286951875873	0.02393461825062246	0.1747753838059556	0.15095684849896104	0.13583378501608112	0.15099768501535804	0.15813607564265042	0.12964703323635524	0.1360242166104867	0.14490353317526056	0.13817284575621358	0.1439240498401054	0.1167612834902289	0.0899871946178177
60	0.22963100284253252	0.20611757177879342	0.04268676649131785	0.046440443565536574	0.045981512508773595	0.027139809464253706	0.07823604023247721	0.10885705659011799	0.07232591703487748	0.07373646774769577	0.04096908899917143	0.09745549904951598	0.2155709221175776	0.18165668695363835	0.1508575373964621	0.13438375509066064	0.15884295460730474	0.13167104845733127	0.14303984983698567	0.18995443331850378	0.17017559560411916	0.17871955765545028	0.17779597694387503	0.0686268890137296	0.23705757736471034	0.17662795701818296	0.14012808925437154	0.1509443541863208	0.13748703623391412	0.14924867115590318	0.13469339469873617	0.14815572183849246	0.14690534659629279	0.1832752460904172	0.20614196533096746	0.12164186589996341	0.2174048139429	0.1984484770925553	0.15886290628618366	0.1415802980560707	0.1311499327183769	0.14657475662101174	0.14908814001694543	0.18991319076762125	0.16729648166663097	0.1581251053478564	0.185719975130354	0.06827938020899432	0.21690389075271765	0.19277778643142768	0.1410929743558686	0.15156988967160806	0.1329000707207635	0.14966653794151064	0.14246434339281186	0.1424680011265604	0.16083367238456997	0.14665598092464954	0.14872833515125924	0.12982646894651834	0.20979807042032783	0.18350335168216095	0.13311670317174673	0.1347043646092698	0.138416480965457	0.16670371398614903	0.17788622869512133	0.1479061341970262	0.13919397732253463	0.17274358166426912	0.17583361717274243	0.04196435877131363	0.16176127780111083	0.16063763713181298	0.13510169465898386	0.1284524868737334	0.13126962073957443	0.13506154388574812	0.1433456162504761	0.15099154104091067	0.1548436821159355	0.14401066500994697	0.09088016420083603	0.030529103915439983	0.18624867938275655	0.17961248398018614	0.1412510803542347	0.14077724960109703	0.15931627064796774	0.12261076661101171	0.14083320888758816	0.14470082636472978	0.12684424550232126	0.15080095858813633	0.11770735939972277	0.08656698808888474
75	0.25333250909648664	0.17169384514137914	0.058387344132268613	0.023636019964389576	0.05786786360451207	0.025812483608297	0.09234207902283154	0.04752450548119368	0.03844887031449643	0.07322707812272052	0.04165217979953857	0.09894896791622068	0.2362911238603611	0.18123435786887274	0.16405853692912498	0.12555320257531477	0.16424050366053947	0.14659486099836008	0.15227582929801925	0.14313042859120212	0.1553676092284484	0.20432042070609346	0.17893539155874058	0.07195805415487978	0.23872903443880245	0.17707789917148914	0.15112347060042092	0.14637635813396865	0.15674910896105967	0.13641327209823426	0.16973713979866378	0.1541545593069861	0.1072788933859326	0.21053455801680443	0.1925263641138211	0.1504029588867627	0.23163331227581424	0.185661077662526	0.14595543212333406	0.12326162795688021	0.15684846693317772	0.1626493431112922	0.162762676157251	0.15377674006686456	0.14400529774145987	0.15956688867636204	0.17036120798340254	0.07879717638338687	0.22856240094405428	0.17831782502247717	0.12559820653625112	0.10650621322420542	0.13058948219024408	0.14609735551354783	0.13720118705515333	0.09868416033949795	0.14440954141772172	0.15653975526342173	0.1280136947719865	0.11574554285199738	0.20236224198240604	0.1790423111414836	0.1394426893228716	0.0974421063098731	0.14451651208127236	0.16039699093677326	0.17426934847628045	0.12042703505668528	0.10864881624973687	0.1666544374627043	0.13941741563761606	0.0347382207813202	0.1702291055024323	0.14194418502795042	0.12817091787573973	0.08477062718414738	0.11403427240201006	0.12972930842215996	0.1412397615288945	0.09910880944067235	0.12608340076073463	0.16287855744160956	0.05099216801971803	0.005544117273839468	0.1958744487160869	0.15508696198350214	0.13256109176743114	0.11353749141963418	0.15850849582558257	0.13606095456586123	0.12909443329292009	0.11483000306186103	0.09565956537634131	0.1485956631022045	0.08820420849836477	0.06963861828265508
90	0.19609672572625536	0.15760379988961482	0.01624886480892768	0.035244005999073014	0.04387402628506294	0.02791121588191356	0.07805680683283345	0.07780364759404206	0.07871866156216259	0.05761703809622967	0.10086279251770977	0.11721734897312666	0.17533775041358451	0.13428603812307727	0.13525790642024127	0.1255707459931853	0.1378733046296663	0.13606179224143725	0.1287389319948548	0.16127333999118143	0.18055238860071868	0.17426915459768078	0.17561644458944578	0.03593085031597443	0.1839092343301571	0.13275592489570115	0.16911381289366598	0.13966744085480257	0.1386442493435032	0.1422028492621228	0.14985280067563894	0.16637330967602243	0.1442004427205198	0.1724473745844575	0.21250550954664238	0.1264455426420522	0.1519916898538873	0.14021420979559457	0.13316305928145933	0.10805588560182962	0.12311445998706036	0.13316463132571787	0.13077939312700443	0.15133191578918367	0.1469040714390884	0.13590824186113692	0.1791777409912456	0.04697240317881536	0.1584146922263301	0.128169397262426	0.11359848859261579	0.0962545077447001	0.11921605349738941	0.12928147563866066	0.12015793411108375	0.1266067039165688	0.1547027356376257	0.13999631006514074	0.14330320508004069	0.09058486006437269	0.16535471482091407	0.13042780684983263	0.12601409928179358	0.08870050627620864	0.14729677368923616	0.14073689216685192	0.1736274420608841	0.13434863947135894	0.14635909179772166	0.15355959123048116	0.15880681007966102	0.029623902483264943	0.0985151952838762	0.10720906792045273	0.10831717271534066	0.07423594129411445	0.13296688003378931	0.10590462495076083	0.10746162823699501	0.10459656357062105	0.14341547347451394	0.13327730766026832	0.06154118720849082	0.00910817305914115	0.11366909502675829	0.10498524501943918	0.12080152768155814	0.10462396052354397	0.13672823004769796	0.11553415273172206	0.11243328109299075	0.13539363693188444	0.12572948262505523	0.13641466243845085	0.10640266296675763	0.05454102880460508
105	0.1697215969481811	0.1412713720351784	0.037814756085080906	0.014503783189799863	0.030369105630990413	0.005807870410342364	0.05109825246564347	0.06150135203299442	0.0056890946543366235	0.04973127361131869	0.06274300153974605	0.07863739811777326	0.18258837697449953	0.13411347763124237	0.14172073111806915	0.12741907194753527	0.15630344709227878	0.12867452080594166	0.13102494154422487	0.17489077781890938	0.14102322674702947	0.14012884777045143	0.1847980816750062	0.010662119076581605	0.1729843086939053	0.12217643206512052	0.13338295349197293	0.1293847536711553	0.12380130927128746	0.1343326877399172	0.10424997160857007	0.13790723291185053	0.09633193376790093	0.18527250112019875	0.19927745437207295	0.1043703084639024	0.17145113614318142	0.1362284313828369	0.12747196672058106	0.11471468267882012	0.12803955174817638	0.1288785033715419	0.1205045711601223	0.1517069808216242	0.12296945871804688	0.1419863623810828	0.16801700539283787	0.01947528988745124	0.14064975005561509	0.1262152522285729	0.10057457277033843	0.09718401592494835	0.12264968931740602	0.12839197014217774	0.10525890051688322	0.1052679415960237	0.11667245494056244	0.1323092652477071	0.13855126554852765	0.10309887670369235	0.16278782561286617	0.1330731242665673	0.1505970240067218	0.10369510964976886	0.14485242666111553	0.14467678144937396	0.1565023453753392	0.14139121400794313	0.10737429746135191	0.14573999751131528	0.1525193232303298	0.0311429963347161	0.10093705617849584	0.1072622689658718	0.11018952336608535	0.09374116035007712	0.11377414651363124	0.10792856205554752	0.12280584825538603	0.1177943108143578	0.10644684964434803	0.1159182285210868	0.034464252571757927	0.0068211897194479934	0.11158488390024895	0.10277188572512509	0.12113171028678074	0.09191588029305271	0.1423818697310379	0.11956226340508813	0.10316505885594879	0.1278270310602112	0.08860694005575971	0.11298427037015363	0.08128338396667034	0.045503327477929595
120	0.20624171863657978	0.10991840149796894	0.0319801279043329	0.03231383820654027	0.03914545750698321	0.017698672549170118	0.031484649920616864	0.04555721372221715	0.07558234774842565	0.045185413433790414	0.01676219756074738	0.07827827233665603	0.18874397794082964	0.10654438469259854	0.12745304809805014	0.12647609341132626	0.13274303474222665	0.14817384338364792	0.10351209273054124	0.1476479484283718	0.17866738459040776	0.1691005358766881	0.14848282696481446	0.07918997848657833	0.1840133013666595	0.11046323664845664	0.13806231561545407	0.15042528286758286	0.11256991255261872	0.13637204817398846	0.10119666585687213	0.13689423314696847	0.11576414249928679	0.1764272360357474	0.15631810125207157	0.13534873781423787	0.17997595868607952	0.13734379495324123	0.1259915588786894	0.12894544992647783	0.12195446150031868	0.14214121991993306	0.09974772857241306	0.13622292699429295	0.16139464044908902	0.13518640597908646	0.1341315669178666	0.06270853137196614	0.17620714894674633	0.08817028743508301	0.10394193490267103	0.10058767073783692	0.10555100838759415	0.11392603653948621	0.09405610411866294	0.10954518108162112	0.14682055384521037	0.12500507257365168	0.1038595035312512	0.09826315731044076	0.16158866648187853	0.09976392975462949	0.1305075864920512	0.09035995469005123	0.13251404146520013	0.140025557695319	0.14611541721687027	0.12531996943382973	0.1295903857789646	0.15014905224705727	0.09552084646792425	0.034488499398835366	0.12343908457802988	0.09387553395059145	0.10630209186301245	0.10419511182822735	0.12356691397189773	0.11209019870392106	0.09283287359196801	0.12119807190690568	0.13119654140457687	0.13634443985782108	0.02405392824385827	0.0178146754681471	0.13287096346248078	0.12063194728086621	0.09793469786941192	0.11945256134636083	0.15694835967761275	0.11533625044205935	0.1164587634518685	0.11950761033943963	0.12693833425219153	0.10785026562002191	0.05794586432280348	0.04427264352491599
135	0.18468249513882795	0.11698949511913179	0.05642401887974129	0.053495179885045846	0.0326633796145729	0.04995522417271223	0.04961904547890639	0.023019713159606638	0.07166148860430104	0.09378111482364834	0.0345264351436633	0.1325177030051845	0.1731735644666004	0.10930281827005409	0.15564887400383143	0.15271879684263595	0.11711482716843125	0.15223431404169882	0.13167755762189737	0.13588240574571891	0.18089489956833277	0.1750082197559084	0.1374912622229409	0.05175013387949316	0.18268129038374847	0.11854460433356162	0.15409112707706807	0.12964693439757757	0.08723187831765897	0.14412199349020444	0.1243467746771961	0.11704198954769168	0.1502255770173973	0.19007447548380374	0.181532496992035	0.13432453479490247	0.16078737670862964	0.13396508424459125	0.13827929044510356	0.13154093596294014	0.09404600330536808	0.14844238657941772	0.11975351174744658	0.11833795446175124	0.15184386949017442	0.14410169081423108	0.14848649907958117	0.061428260571194056	0.15217421553468166	0.11084064424921022	0.1239594836374398	0.12770477758640406	0.08380499253529744	0.1437327967890294	0.1258234219544775	0.08989731153036254	0.16412618113530458	0.14899042148915553	0.118510956182742	0.11658958616626111	0.1457702879684009	0.12427675521842738	0.15262986236300313	0.10775541926536313	0.11996840575763051	0.16139140191566537	0.17244076691395438	0.10239447369390772	0.14559944769102406	0.15932668354290563	0.13972878751094386	0.03425534838497725	0.10187248221496015	0.08344769662308466	0.10712224128415129	0.11151765239697525	0.09686824170992622	0.12769551934302326	0.13029706695357804	0.08986596796360076	0.14175093353207727	0.11810432577827035	0.038706332744926186	0.02440462227045728	0.12657267251567375	0.09106156536750522	0.1271769656674965	0.11780958194854307	0.12091869210350684	0.1332673383409681	0.10840425402282579	0.0856132894757051	0.11975737576152712	0.1266560692751154	0.04022595109105506	0.0784537151326393
