	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	0.00648340539367015	-0.03276946554494503	-0.08787359744231005	-0.09832459667817109	-0.08189122893562806	-0.08127045329556573	-0.09592165647574905	-0.07852139938109462	-0.08831139084949388	-0.07430397151262322	-0.08216735473363662	-0.0835152035298442	-0.03949674253630714	-0.06933226794872002	-0.047427529925751666	-0.05579914226514132	-0.03487119947224415	-0.014427709455093418	-0.03964186874550141	-0.0488833341090289	-0.02658809544834939	-0.01095604761253166	-0.032183232309505705	-0.0928031130313787	-0.04606703440107163	-0.07503083225181367	-0.04422886099360129	-0.03948525233077704	-0.026944235890227652	-0.002336616206309039	-0.05190621799958828	-0.061354538030256645	-0.053566996609206774	-0.02818984176438094	-0.01962466924542422	-0.03830671075271336	-0.04457016998574387	-0.05872650473092586	-0.07809733620338094	-0.06187943417163613	-0.04068932043359952	-0.025592436614346403	-0.06341362775243795	-0.0583951423510474	-0.030241400603032542	-0.04670016810856159	-0.04054534324717002	-0.09646561925596336	-0.01999314498875332	-0.05609062537785714	-0.019332442470453792	-0.012881042642148677	-0.013293465770005009	-0.0205517841355895	-0.02787945056150648	-0.026377123795205626	-0.012137459782083804	-0.0077186026333159186	-0.019565192356103878	-0.06972198084293596	-0.024346730068206035	-0.0166082030109177	-0.02584631825201461	-0.045133603492579555	-0.03945822702917534	-0.039905691463272	-0.0348598707608635	-0.04066045521395922	-0.023115932796656247	-0.03207162920361145	-0.028915143281679268	-0.08655656761750066	-0.01403808164828213	-0.015294246187651128	-0.014191627770284376	-0.0006403119343262875	0.008968206875587859	0.022959054908522847	0.0007827044909204939	0.000979945579860586	-0.018194078891479226	-0.012097938161217792	-0.06830378533875078	-0.08983862399352815	-0.05396825443020997	-0.06696365527851336	-0.06117225640665866	-0.05224411260484979	-0.030926079723820443	-0.014122209234273209	-0.0063452482541359045	0.010761365024097413	0.016822176109100584	0.013279809251032337	-0.0687943552935063	-0.010335061776293286
0.25	0.016339304738847038	-0.03713309956480837	-0.07025729396575911	-0.09067308254365566	-0.07648123066197432	-0.07660538809819939	-0.07761097073638099	-0.08489217971161198	-0.07648283444193277	-0.0828128104269267	-0.09192104275630661	-0.09135772360792527	-0.03453809151583204	-0.06498864634858639	-0.032768515321672964	-0.046235961070428044	-0.034185016340675944	-0.011686091237077145	-0.036189768219488994	-0.04622274509715574	-0.02961756717770142	-0.014913851419981417	-0.03471264172292465	-0.08152406579129703	-0.03573224807252312	-0.06988515902221945	-0.04396949950916401	-0.043928263908131926	-0.021472987270318766	-0.003412490423251646	-0.04111399835800622	-0.06353765914085388	-0.07539267553484597	-0.03100080374413977	-0.022358036811884474	-0.06366423986665742	-0.015773879901068877	-0.03787652666865621	-0.05679079166859505	-0.05976159879069046	-0.02454281645815376	-0.026492695458102344	-0.05744559569984148	-0.05726294804209728	-0.024077189496328588	-0.035343865467164004	-0.03136094464078998	-0.0842273460317497	-0.010419578823004372	-0.0400909865913357	-0.01989334655732794	-0.008238835221424323	-0.0047102182693052885	-0.008887838748447618	-0.010338112880667216	-0.015073299816669827	-0.0009792138798345729	-0.007859569692245938	-0.015631740166956565	-0.07990940443909639	-0.018392382515365457	-0.006811848414749189	-0.01808918212869859	-0.022045769897025058	-0.004309353236295721	-0.013294320515292835	-0.008559715686985547	-0.010259403555427593	-0.010224202229032142	-0.020333628680254234	-0.028493377528023167	-0.07988525073993713	-0.009876179807961849	-0.009852977226146586	-0.00218755716474911	0.014347136988526521	0.027449211092634263	0.024524888065493966	0.008399335067147573	0.020812014089149677	-0.020408530799945312	-0.025892140982852585	-0.07126661168566173	-0.09352748139656261	-0.058893745759144245	-0.06390106041804264	-0.05399802010255356	-0.026923094755795574	-5.7778234224536984e-05	-0.005117719326690251	0.008381051133483752	0.009843915395718716	0.012780042838430816	0.0164148374293116	-0.05485680555209879	-0.0077013334591040095
0.5	0.011794263830252505	-0.03465069186526937	-0.08467043673931804	-0.07722531890089523	-0.07899457021956308	-0.07142597271102086	-0.08578057624868124	-0.0829478738128499	-0.07040514993277297	-0.062251750206486794	-0.08128915276556203	-0.07936193016262624	-0.03660212631480414	-0.07132876477832797	-0.040724841847179616	-0.049134059479038594	-0.04617105377411207	-0.003943428588153164	-0.049025987741969645	-0.03820288879481737	-0.011981709052678868	-0.0016613280011288922	-0.027813819689064823	-0.08630068405159363	-0.047635667001245274	-0.08158600712433509	-0.05627844222442854	-0.050201523842520024	-0.03648732455645026	-0.012899103410511648	-0.04985108537902977	-0.07012812583258887	-0.06084203166551069	-0.0228209207445641	-0.03204714033217859	-0.06908090902561684	-0.018515255440784306	-0.026028522457078818	-0.05828556387238845	-0.05875351203021345	-0.024660122469475965	-0.028312061815692735	-0.055355491886123265	-0.032077839067741365	-0.003769219326134443	-0.016642921526246524	-0.02505046437013897	-0.08512736465556262	0.002897887200848437	-0.03732122802485638	-0.02362403131860319	-0.015385113074065038	-0.006365423175257401	-0.008121127403108719	-0.022338524169378315	-0.023495066818358057	0.0005553654796079388	-0.011236185582214453	-0.010933244956732369	-0.08797990766695152	-0.016248335770691846	-0.0014053491253703254	-0.013030051661464925	-0.013421980126797461	-0.013847942762221899	-0.022486826081781763	-0.007451643202314617	-0.009721344559836587	-0.0008814324619318414	-0.0161342405451404	-0.03646927273617112	-0.08636683045313229	-0.01216701865204145	-0.014851511191300348	-0.011886195527182564	0.009320651141890013	0.024812211354394265	0.022104682592126612	0.0004298103630968053	0.027934020305720952	-0.013273320985796866	-0.015546177072129352	-0.06591122218077619	-0.10294349083535492	-0.05158944245861269	-0.058370863462389344	-0.05667002440766275	-0.028031538228629416	-0.013883470872138426	-0.0030152916106143124	-0.001264218522575189	0.00741528611607023	0.029258702192253017	0.01846551328955459	-0.047587944574215835	-0.006682510975829115
0.75	0.01591503461518995	-0.0259129367706587	-0.08574876376032048	-0.08856915133820001	-0.06282314208379677	-0.07240588033630507	-0.08008600857370357	-0.08432115622180761	-0.07568869564213895	-0.08524639702932221	-0.0772628169812972	-0.07302205565797232	-0.04231516973176919	-0.07276621441903419	-0.03449048432464802	-0.048800510446199374	-0.029428332057074846	-0.003011531126082434	-0.04037850209740934	-0.023957760703653463	-0.0059838585708225644	0.001014285119489644	-0.01532434163278118	-0.0649162662180432	-0.03772475471760656	-0.07006393711280401	-0.04131672704825706	-0.04130219487203235	-0.027826382844394093	-0.012578133560544658	-0.03546149266230847	-0.06969344605748787	-0.0511867345110964	-0.02517494249822977	-0.019683170195613664	-0.03678630786879822	-0.028804904747855964	-0.03591706738147338	-0.05798020857932279	-0.04389298747870962	-0.01912896876526554	-0.015888884026648953	-0.05359038833753299	-0.038009969664685284	0.0009758421951373553	-0.021370571115574277	-0.03264675455274213	-0.07628240384526558	-0.010520680029071694	-0.03801777203106871	-0.02056615045605953	-0.004913236522496034	-0.0023724586510611156	0.0004900281818831509	-0.019392593449622353	-0.009005181871245549	0.001780822202146759	-0.011784344285651172	-0.00937991049003134	-0.07796740601488214	-0.01868304363307216	-0.0065623975425773695	0.007011083242983995	-0.014278711638295694	0.00506729898572067	-0.009474387249465033	0.0010008194604586573	0.0007798532588454976	-0.023453900169366937	-0.024883163526519536	-0.026639333802976672	-0.0770519475722892	-0.01752162897907772	-0.008456885310690276	-5.111244144001548e-05	0.02257356675236183	0.03440172393816665	0.02562654795917424	0.01117579717995898	0.027425248400813174	-0.013855678125627158	-0.009341428771305227	-0.0598982919721569	-0.08068478032541107	-0.062009507355463234	-0.054257630842339394	-0.036218352740379045	-0.018425960471418645	6.260719797090974e-05	-0.002934671002869149	-0.0018730805330823275	0.025509004990057316	0.020617224887677976	0.01976973039727914	-0.04604538024300825	-0.0047788784247457805
1.0	0.018071033861894015	-0.025346410136707465	-0.06534774694315776	-0.08475106367912627	-0.0631745044137561	-0.07241435928668724	-0.06935040729098746	-0.07297540253224635	-0.07500312466466766	-0.07368002997609546	-0.07907946398796167	-0.07781526743611622	-0.043923974369454055	-0.07050399063295335	-0.03664454646647203	-0.054409385661876086	-0.030007513893066884	-0.0071252916078295425	-0.03984044621849708	-0.029892516052749674	0.0030001243754680385	0.001021972532014137	-0.026628194728848198	-0.07831496909778768	-0.04106769766855045	-0.07642976584558761	-0.04344842851550362	-0.04036946498574295	-0.016321246551106616	-0.017698423623437876	-0.054293398945060356	-0.06709208142278236	-0.061447466844357757	-0.020440343268310956	-0.02291587184933641	-0.05321513498670527	-0.02518631649789549	-0.028655183027814002	-0.050422647086314776	-0.05769030908049533	-0.022913414969937096	-0.017943135239969266	-0.0626202298216961	-0.034669039444287064	-0.002263941832791494	-0.03153685827449282	-0.019427097478292965	-0.08101683513634583	-0.006234072827807913	-0.04568880520670021	-0.011021875920684487	-0.004899886440749013	-0.002672181107716387	-0.021899439645658547	-0.01794463515433914	-0.017152676932701283	0.008731669332411929	-0.013102938317840596	-0.01687290045606693	-0.08013414284373216	-0.014165576392052515	-0.004376526415755755	0.006190115719470812	-0.014957553760390652	0.005667951090784662	-0.015052626988673157	0.01292322090623882	-0.0050071219562530245	-0.0002550974258319072	-0.025556520369930558	-0.02940142477173413	-0.08746977466675487	-0.0037680006757211393	-0.000876135435444958	0.022366999893001116	0.018939837921990388	0.04380041400689688	0.023385330477882438	0.010028491981805276	0.05099230866391552	-0.002738554644950819	-0.0032653040165716574	-0.06133005092195609	-0.08812868834051205	-0.0568330674349026	-0.06518657789449414	-0.028293749364940335	-0.021918794961848176	-0.00308120468670825	-0.004062779888994172	0.0037981901811030006	0.017450659620016573	0.03927431857322705	0.02404441745047442	-0.03825845371391412	0.006463539421945275
1.25	0.009615682360870792	-0.018544532291679405	-0.07882998520737663	-0.08015911949850152	-0.06315645347132645	-0.07291824174032116	-0.06525712723588364	-0.07710904142147931	-0.07186086085217164	-0.09286205062591538	-0.06830596196387978	-0.09584497506762119	-0.030318179765266906	-0.061783479392659824	-0.030803561147593916	-0.04797598400127723	-0.02489318370374577	0.0024112352878725707	-0.03365925813898968	-0.03320304474286517	-0.0033025932811477365	-0.006773108011301987	-0.009339405275661405	-0.07263805433219586	-0.03706247444980254	-0.06631699476292938	-0.049152730143863343	-0.03999185206239292	-0.02777290580358699	0.0016452932341448623	-0.0439178543821111	-0.08267594946861509	-0.059702293125719536	-0.025074351160797703	-0.014701328506698141	-0.06391807911243383	-0.02012475201590541	-0.0204746736890154	-0.05743123770304548	-0.04867745301837195	-0.01896437194844397	-0.0068308798840734375	-0.05254513963809043	-0.041291912493358895	-0.0058624663287162315	-0.036987600971195966	-0.020678052074692477	-0.08607933656747524	-0.009738010667885377	-0.032942902801876284	-0.02104560347180412	-0.01809783012062799	-0.001247690391440237	-0.0065578383312904776	-0.0168528198337492	-0.02372728461224516	0.011617795742206949	-0.012534430949174058	-0.005846433032376419	-0.08520707727540838	-0.014494855287677466	-0.0023383282610646705	-0.007530096930991992	-0.024139148510248176	0.0004315958178521817	-0.007711399078019654	0.002705587727915071	-0.01360809340662511	-0.008294047964589935	-0.019705425996511206	-0.02772131137403444	-0.0817748481503063	-0.015976913429060713	-0.005328212199153692	-0.009241627115620543	0.031178683094517767	0.029955200549502625	0.02354697136199152	0.0057390969487623456	0.03262997581765503	-0.0057662059335983895	-0.011460365883884382	-0.06344535565179915	-0.09700130026353557	-0.06196892216809907	-0.06053153376192977	-0.047497899418385836	-0.022958883428999932	-0.005059370923034767	0.004853928641313787	0.016771678261148115	0.019659716873236366	0.02903923377681472	0.017760735375253967	-0.04792110345804751	-0.006086385453994869
1.5	0.012343404002174763	-0.013864443834604001	-0.07571336535645126	-0.08606894854084532	-0.07100162098585044	-0.0821195393881034	-0.06968739347001535	-0.07965121265880115	-0.07569361079141484	-0.09323123532593017	-0.07656384042473452	-0.08132093037866078	-0.03162942758073306	-0.07747600555862777	-0.02624169816600802	-0.04569224355547841	-0.034428493317026077	-0.005464269460128901	-0.045005757671446434	-0.018012491415660525	-0.011014712942285843	-0.009178896134235615	-0.022454300073772304	-0.09165405268187066	-0.033605631778810985	-0.07634071586165886	-0.02686956159336701	-0.04130248301560702	-0.03430004904060058	-0.01322445936401151	-0.05225574298698088	-0.08504524711523442	-0.05478148821879955	-0.04333586527344202	-0.015528514243453362	-0.05847359902155991	-0.020678726684026316	-0.03861251077213668	-0.04696386153389581	-0.048723521923748125	-0.039198942806555837	-0.029407381619124096	-0.06803692597240638	-0.04005841262761467	-0.0031458984323819994	-0.037790769289754556	-0.021031055460990378	-0.07980510041628838	0.0014331015249229306	-0.04207894350079716	-0.014738513562596256	-0.014117151491961633	-0.004766293811435618	-0.02029316004691495	-0.03293646777176079	-0.03224827023221771	0.012776842847189496	-0.03258357243777121	-0.01582211785107035	-0.07546683391899425	-0.014539957837927275	-0.0069766852920905564	0.008842688258716924	-0.012350954133177328	-0.01493295439379344	-0.018103077813344748	-0.010243519275047186	-0.013614899920199597	0.0002720020852581828	-0.03392694296645726	-0.02535966001230011	-0.08478990095855818	-0.01073794809639489	-0.005201610545506663	0.011772113449709298	0.011824626551829476	0.02421562113416792	0.02712564245201582	0.006808991790942132	0.026125982097819578	-0.005272698272920484	-0.019080235823256797	-0.06448555036941558	-0.09507790079546358	-0.045791756351416246	-0.06348192699392341	-0.03020348860833788	-0.028548336679626307	-0.011872959017832974	-0.007467757813959419	0.0011188657645094802	0.015258130346393728	0.04036688609619071	0.006300418063384439	-0.04521484361916783	-0.012278975742690323
1.75	-0.0014149664696868625	-0.0251845692997123	-0.08293739755366517	-0.08229096475284359	-0.07155019522604658	-0.08229101931810215	-0.05918333158940611	-0.08412663582652166	-0.07408067458342249	-0.0931094971638892	-0.08696105993087927	-0.07672771895479402	-0.039734638427444846	-0.06754314420579366	-0.054797905114118944	-0.034319938162220676	-0.046209446528520104	-0.01786663945308381	-0.025715144723223227	-0.033715607599024755	-0.0108153993634445	-0.006335022871651275	-0.037414674672902104	-0.07010083729108216	-0.04760784504454979	-0.059126020406842394	-0.054553318839874576	-0.019409022401377707	-0.03950507880225501	-0.02004770757922092	-0.04139190110337776	-0.07182243605916494	-0.06593139358540812	-0.03259312630621142	-0.03660424037033555	-0.04195669582995709	-0.031974471819751105	-0.03169364865476376	-0.06937547835860694	-0.03641987501543692	-0.020120121195993546	-0.0471347395208106	-0.052976026005848276	-0.03630886547421508	-0.0004752198066966251	-0.03436695934615269	-0.03143443446664629	-0.07501532537654118	-0.02595629200216487	-0.03842687143522955	-0.029862609734557344	-0.006475731493481851	-0.0016854615279910945	-0.02571189835490112	-0.012865335940793643	-0.023699734007534945	0.00369992249162604	-0.017345165276651586	-0.03389868252702083	-0.07928720609550849	-0.020863009542715583	0.002958302514751765	-0.013653782399678682	0.007346681927284271	0.0009862339831823164	-0.023051830518199867	0.010028795661479128	-0.003933120660269018	0.0036466158513665525	-0.01913805751693476	-0.016888026656894928	-0.07863687775678804	-0.020604961004291822	-0.002859439646293982	-0.004920805962846164	0.013413288769433096	0.01810237954881161	0.013960754371639239	0.01312557544907933	0.021953940006467887	0.0021245434437461297	-0.027041991155903	-0.08358203913145781	-0.09130240970203174	-0.06907892985185782	-0.061366092431288405	-0.048125865836095516	-0.015360681194513448	-0.011362761923914444	-0.013892313465771633	0.015204368635241772	0.01201807974597352	0.04378038526577577	0.013902534665420963	-0.066510004079113	-0.0025247070735656685
2.0	0.015033779872347663	-0.024146591606340195	-0.07986707787559072	-0.08493131851237229	-0.08602570872692594	-0.0753182046184003	-0.09101733892749805	-0.06011774332244807	-0.08133163314753358	-0.08858689145566523	-0.09204504956936477	-0.09147647158506866	-0.02283012018235231	-0.06457935983894122	-0.03169370951324402	-0.03899631196571468	-0.02583292471401416	-0.002895630294089735	-0.04811302131062817	-0.008921180318163746	-0.009971041991531204	-0.000755330285445277	-0.02052551423648935	-0.07278418926900376	-0.032570628329739226	-0.06195222611738821	-0.038268042698144045	-0.0429931322121499	-0.010920961932397666	-0.006326265894709748	-0.051890276726006546	-0.052719408018585545	-0.05429614393274279	-0.008588458142542221	-0.005565771799541319	-0.03342326722383443	-0.02069848412731845	-0.029019039680634795	-0.05625864706977601	-0.0609451582705281	-0.019407379826772098	-0.015287596038885298	-0.06892231551236824	-0.025432894250058513	-0.002008081256595795	-0.015363648295638632	-0.02108612399332005	-0.09147958615939988	-0.0025564406065339274	-0.043718560942488494	-0.016070140612557626	-0.019802213281334358	0.003353447080818861	-0.00358606902919667	-0.030898396849736	-0.004320733220526174	0.005358826334076527	-0.011795451859658024	-0.003611185157190666	-0.08814864190706564	-0.007283800200112989	-0.0011660122156788577	-0.001003924607665796	-0.010046900589148033	-0.0041031269745140375	-0.013717682753512483	-0.02492758505184528	0.020595647738200662	-0.010796066774952928	-0.014575559476686761	-0.024552550299863418	-0.08779480043507817	-0.002042702455954226	-0.013800891804150561	0.007944858395462606	0.006281862227755952	0.027508371356570582	0.03514492083293774	-0.0002360398355626403	0.03935161861071235	-0.00371666892503697	-0.014925393833675693	-0.06425831905412566	-0.09796989100491976	-0.05046891105472184	-0.05356950465227028	-0.025086303291519396	-0.030487464283652344	0.0018004141459622147	-0.014795691626250496	0.007165420158365909	0.04576063982706691	0.034474586935750506	0.016383108689674686	-0.05539321289321397	-0.013216995359953188
2.25	0.01291959616521604	-0.009720528713344778	-0.06326176530073316	-0.08621619118880355	-0.06395488754221845	-0.06954896940593194	-0.07942215497464089	-0.054000977972591735	-0.07917087678248455	-0.08392158686579479	-0.08631897271951938	-0.08777439282978783	-0.027712411839138196	-0.06078658723959335	-0.029638339534994673	-0.046218671348858376	-0.03435420577784537	-0.005686808877732319	-0.0333076816744825	-0.010677303495669754	0.006500922391789066	0.0033547184282966547	-0.03222775348675028	-0.08321377377638275	-0.040353076598827975	-0.0747510711239982	-0.030639784657564673	-0.03187677808710904	-0.025170765245926707	-0.008204930430646351	-0.04587331824863572	-0.05209484949280707	-0.05407625570281305	-0.024639314084649977	-0.028403414514106717	-0.039558616931151425	-0.018019464219173997	-0.015087169333062422	-0.037332665632843764	-0.055037413671850055	-0.026122346438149202	-0.029682861867607824	-0.06307574923425913	-0.016566716392400038	-0.002287405768451989	-0.018300851203399637	-0.026258242216925354	-0.09912864262461712	-0.009175417900864957	-0.04592100133105598	-0.012230835058069933	-0.018459597662383365	-0.004071068231234598	-0.02233512498435891	-0.02209924095813315	0.001512293189795344	0.01079551704945686	-0.013108701489519758	-0.023715251216844646	-0.08879703096065211	-0.0210400391678518	-0.007137468623083287	-0.004039441805787358	-0.009654404250065474	-0.01678032461867407	-0.02871603826317859	-0.009503323069515457	0.021420451972177845	0.0019075748765017275	-0.020758954828729637	-0.03246033211010729	-0.10046724390207334	-0.0120562034659345	-0.007051778419390975	0.009494643007499026	0.011444683429249314	0.03808555473241032	0.014258637021394571	0.004903552655383725	0.04335893558341236	-0.0002541356880767509	-0.0247583650866971	-0.07848041927578425	-0.10631413195564665	-0.042032658733323625	-0.05733511793876969	-0.027415531650373692	-0.02058075469432813	0.0020784207483110495	-0.0092968759204205	0.010992592680192259	0.04517059015636349	0.04861199239628433	0.018555219001148815	-0.06437608562426758	-0.010335615447001512
