	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.22361388809812027	0.20229115133647446	0.071447269538086	0.041377421876938915	0.06695075653897661	0.06217421503018972	0.05729362168050804	0.12759830443122916	0.17014248890053735	0.08267343229725715	0.07744611927524106	0.07567625875463754	0.21720210205138585	0.19917269168923113	0.2049098061159654	0.16297843699220346	0.19143542406252784	0.1697225662260844	0.1959768791601521	0.12958119265351564	0.22575932714460398	0.2023631714981302	0.3050310032197572	0.13555839172402362	0.24922809789031003	0.22402721981109652	0.22384344278658774	0.19113011046970763	0.18440023732817956	0.16440922844965428	0.21479966764935288	0.2245535406112211	0.24685075739610812	0.22718708315080471	0.15941109055793312	0.06645777213778262	0.2554379225195115	0.21325752828212324	0.2327309461498628	0.20262767706158966	0.2294810448377626	0.18918173432205726	0.2317127982949339	0.23194059724175742	0.2657084606884421	0.26007861346788863	0.2720781220161057	0.19697329105827954	0.2563601325114097	0.2085244871429635	0.24253536772460377	0.20211478193367646	0.2140092496941418	0.15860769607925834	0.21261158540236794	0.2261540845081343	0.2798237330770867	0.2549777066331935	0.2509403884680914	0.16788009278418997	0.264955542122605	0.22542836021505552	0.22951407253459244	0.20788394481883604	0.24558215338497874	0.2156911922800006	0.21754438831517936	0.2713234120438962	0.31235839880322147	0.2772617526578932	0.26545753375991027	0.1268917925892541	0.30791997297894913	0.28725121387501257	0.2952290190967839	0.265650023205684	0.25266055964389983	0.2811547201747387	0.2569743546004224	0.24025970352261083	0.29295060315335264	0.24528008481034969	0.14730043479663257	0.1108687934576065	0.24658752620200597	0.2629539406490468	0.24470137321885593	0.24852079351916967	0.2593600080602112	0.2695085784563499	0.2793083704610415	0.29631317715176886	0.3472399062653045	0.292924487595486	0.14716619767796485	0.14861601054869356
15	0.22464418259027671	0.19039176835680421	0.08581948067395617	0.016278598284953157	0.039135967391341286	0.05074255154304019	0.03911261222621726	0.0915935129312895	0.12231649702264047	0.06634636311269947	0.06856929329239372	0.07396319574154192	0.2187662937536332	0.19021568526107968	0.21851839761736697	0.15902165595596238	0.18115865225270386	0.20250525291527643	0.20945914793476575	0.14132203563519163	0.20933142829638768	0.19323760731867623	0.3079429737798318	0.15533585457049687	0.2616070244508678	0.2259450730007228	0.21849111397766743	0.18777290095975052	0.1799692529457287	0.18145157564001113	0.20223706874556685	0.19700722267896245	0.22767930102844103	0.2012930359911203	0.1467676183515136	0.09621547999885847	0.23158662416403492	0.2108325292685223	0.23571230569736767	0.20127478181300798	0.24386787596485682	0.18901612747848706	0.21913675305131952	0.2283660488834077	0.26957962305607286	0.257277504272374	0.268747591720623	0.174716530471339	0.2569452860147084	0.22177256258992228	0.2208265439095795	0.1956388823547849	0.22719457998520481	0.13869717461881675	0.20829274812735687	0.23009319832362973	0.2612348582436239	0.24163451977031625	0.22989995980847333	0.18305213015033445	0.2552746681368151	0.24476952891186626	0.24108552516275472	0.2275800288584753	0.24211173293166943	0.2115767779637211	0.23397321219749462	0.2630972734845226	0.2913205244163206	0.26836625749113563	0.27885650205030976	0.13253250925937343	0.28718384009678216	0.30262856471190425	0.2936317495163115	0.2596406721864699	0.28894107251146217	0.2565882281130149	0.2671145261366872	0.23846053068847334	0.26475417926914036	0.2625878848807955	0.18485825046030152	0.10349323571748673	0.24365810361199788	0.2694430100116211	0.25259318658314883	0.2521007110378028	0.26956083737069936	0.24966989847410914	0.28382899562219444	0.2601325710427223	0.330933864862445	0.289156356126956	0.15184293269638727	0.14285622553505262
30	0.15598498874870842	0.17012689363644093	0.032902388891219936	0.009234895469528773	0.01483155762104536	0.01105868477252931	0.014842974069626064	0.06582105825327587	0.09436600816230634	0.03060586015209174	0.05794558115781229	0.050065381363015804	0.19474104534963838	0.1690930624571888	0.15279166981854994	0.12413875929044318	0.14005117205086554	0.1449063261598751	0.1735746835320191	0.1055179028940075	0.1717555368546153	0.1814728152708118	0.3562366822104276	0.146288551288868	0.2249710836977042	0.14998563207950538	0.18635184591059567	0.15472023663872667	0.11961121889836501	0.12936700399598106	0.1639399666188382	0.1638689242655822	0.20741959057936799	0.1897280287694448	0.11071326001910231	0.05302146075609754	0.2139974301626818	0.17306962926715208	0.1833683505025391	0.16252741332881793	0.2012115003609105	0.15217878013047853	0.16983404980542827	0.1978824456440597	0.227985285363891	0.24058727837131183	0.2467982830274868	0.17426917444659032	0.2134576109232729	0.18413491723136896	0.16793694369618242	0.14834630142430907	0.16671213463410384	0.12058912088124166	0.1667139100481026	0.179846552981833	0.22770710070302694	0.20508941683117354	0.21959332888037472	0.15843113906603262	0.20831811021381977	0.18908305317882712	0.16355377049691217	0.17309253076737213	0.20265431825230854	0.14335730408536795	0.17808737331728697	0.21789042198240247	0.2408669348690608	0.24054942894211517	0.2328090341180334	0.10362666910967819	0.2562937855639001	0.24301026149955623	0.2397725188185416	0.2077245812989055	0.22911891789264438	0.24137554059044333	0.223777855690517	0.20945078574881137	0.23963807544142024	0.22927228120296178	0.12093417574563853	0.10330625717042763	0.19317435116570647	0.19881819714421284	0.22219805246667537	0.21802891963977844	0.20969232208603855	0.20839704653738783	0.22935883713127353	0.21267735321809506	0.2858760756346347	0.258079718081951	0.14914652886343593	0.11647476056028105
45	0.18088693988600174	0.15440103471113936	0.03500026979381533	0.007980367119571233	0.023294151940383527	0.005258309594003569	0.008222024690540636	0.07183943114981	0.08184654465768365	0.02845704135954693	0.03753960242226681	0.07444132992110195	0.16493284878556458	0.15400429526090842	0.14364063657404647	0.1269644245125965	0.14337145151510997	0.15258954198061853	0.15152092650568627	0.10110665355517696	0.16931516349272324	0.1447282678459978	0.32972084798362605	0.12836755407617603	0.2098922510731128	0.16744679041400656	0.17616971655102612	0.14800601432756325	0.1458721619015446	0.14216474370801702	0.14816699565254482	0.16854257572222275	0.19487315482341244	0.18831661808696937	0.11897220264522632	0.08059582322922745	0.21238615015564508	0.15508613487848977	0.17857370975240475	0.14506249158157483	0.1752327825344205	0.1402374788775863	0.18338468263917218	0.19499558986639895	0.23944586373088916	0.21770870129470188	0.25050652880206825	0.1767833121174877	0.22900105609212457	0.17429275826885832	0.1705560708378281	0.1473088932100502	0.1636499092738798	0.11461849320207622	0.16352903790799167	0.18373788644404238	0.23197513643916273	0.20975991541661984	0.22226593764494312	0.17015791281470277	0.20747773143838324	0.1625212716916744	0.178320101513941	0.16259671807454434	0.16150635288598691	0.12503896570685638	0.16725564789621747	0.20442232229173563	0.22951452871235845	0.2301920998118721	0.23538585831607	0.09827480440570785	0.22983211819463373	0.23086360562069982	0.2426391901711116	0.1930725593279738	0.23708279819080935	0.23062622188937662	0.23179918867607233	0.1874894027788104	0.2329519415647544	0.20572686087290545	0.11880297513054092	0.09261262776001906	0.18685906967484966	0.20896378803871182	0.19522852963752052	0.21214200010510276	0.18776734795312935	0.19546478326416264	0.2176005530384235	0.20715455999893118	0.24939368597084102	0.21970178803885285	0.09548505240247304	0.11599181699117517
60	0.2013596378772377	0.17742105959655724	0.08457012402192315	0.026691787377726473	0.028566654683144906	0.054948839466803005	0.034077810351032994	0.10193694822746395	0.12356327613837581	0.06467664178775676	0.0699471154483885	0.08529500952169244	0.20736697481871136	0.18315844780321783	0.16913367791588918	0.15041900599607005	0.14837994963184312	0.16827898889184495	0.18764605788875982	0.1269995317820792	0.19354091596950135	0.1698626630357742	0.37576000643514623	0.1532506135201201	0.24557010507702343	0.19751761320416306	0.2184926560919544	0.14959142416575572	0.16333679628233072	0.1994816591386269	0.19454540459560873	0.17750310207941447	0.21218111650795235	0.20118393734877085	0.1400830139531049	0.07920602464599522	0.24431570141588366	0.18889402638419203	0.2133128781183808	0.17202667835964972	0.20524429485724918	0.19793895234970063	0.19947138465232955	0.20779291133067385	0.24485900117625964	0.24610287693217892	0.2696745426289769	0.21176137487731292	0.2603191467193931	0.2328598303190754	0.22519063247971616	0.15122457618482527	0.20245868151615032	0.1615596672629292	0.19123609598478597	0.2092262120645182	0.24488933625268725	0.21380424918596275	0.23582355208242944	0.19225885240157586	0.23440422466875527	0.17537323589577658	0.2162424785673181	0.16215010612679684	0.19501204439845526	0.1808009843893465	0.16574072842741688	0.20639905395626942	0.2507137754544996	0.22660411411144243	0.23129382753501976	0.14275030643306674	0.26842203883347393	0.2633381257610993	0.26442696202215604	0.21993525067486566	0.22312612190599526	0.26718311231488406	0.254110351345797	0.20705919609811535	0.2508914386633211	0.23257250815597846	0.15359639710950146	0.13748094515235992	0.24019403998424885	0.2334735951024436	0.2612867225658949	0.20066794627349388	0.2509780941441595	0.2501359348616023	0.2616717137423975	0.2646840530762778	0.2984807720337437	0.25776799150518925	0.14761218554073208	0.16042140574865466
75	0.18491280043196792	0.1792332014077146	0.049219883283706384	0.02323757630595189	0.04069511031268321	0.013992701764114806	0.04517858552510287	0.06158927315421681	0.11871986673105889	0.05133272873939039	0.048707745097627375	0.03638400694918739	0.16262426705292404	0.1567456981280178	0.15633575310034753	0.14858379744616235	0.17750887314361738	0.15452229498068626	0.19116716601765965	0.09470706828554733	0.18579236833334464	0.17236668429559532	0.3661249233215137	0.09335831858924185	0.21727378768274236	0.17913511227154255	0.18979834126815323	0.1525699822765345	0.1637041326204886	0.16724795954322957	0.18217519588925826	0.1457371438843414	0.20088230263050544	0.1977041427137996	0.12432391708907403	0.04849372156650907	0.2104646848155784	0.16727956115002138	0.20521729143498824	0.16738670499872754	0.19906307621838593	0.17279812414715717	0.192207772952305	0.18055718752644162	0.23110718334756697	0.2429089309610148	0.24707361979516473	0.14633622394039117	0.21581855199565708	0.21313900846201483	0.1929526393693199	0.1678766966625872	0.19251484450904574	0.14389731732424516	0.19489481967170635	0.18035265484990365	0.2286072336089156	0.20769252091808105	0.2195256316833405	0.15301171022788407	0.18090199422570913	0.19766310628802175	0.1739087459337964	0.1786415267313104	0.19575070424922908	0.18196969062229224	0.18380307308995864	0.18982320295407581	0.25506828399683035	0.22034531064502086	0.2305698100644769	0.09534080163129979	0.23549655976470674	0.2538219589464483	0.251733511459152	0.22303213161807728	0.2251293881824719	0.2313269622843211	0.256940009761776	0.20009414482591523	0.24998480746179091	0.20450979902567712	0.14449758825941833	0.10448853002043833	0.17742611235316147	0.23208107688982388	0.22690677398428616	0.21210175588847335	0.2507182139595887	0.23552618535047803	0.25364441207969635	0.23233503500034935	0.30359404818046787	0.23580939459313058	0.15570538047970964	0.11418564467951131
90	0.18975425215954986	0.15582288421614135	0.032610629659996934	0.02460501692170068	0.015990165768689713	0.016550560061690638	0.016263063545208956	0.08222348867589929	0.09497378048259017	0.03728223961092994	0.0605206144945627	0.04614890231529447	0.17184063536040775	0.1497106076432459	0.13182781007682443	0.12276792293809852	0.13517128987893418	0.1490813623240103	0.15577217678722594	0.09300918339024301	0.14684393463472334	0.1706190781456986	0.4204781577185625	0.1115440171943852	0.22501357647229908	0.18559645914553227	0.17358397903432288	0.1557718358291274	0.13795708300288084	0.1520315738121581	0.16971107996360263	0.1616616248271551	0.1976731456506765	0.17891787583318114	0.10276535501157302	0.06510560667401916	0.20336480071305618	0.17398207364514923	0.1655699864494808	0.15467143140124484	0.1685959502777144	0.16021064411143682	0.1774493340651273	0.20470895030920128	0.23506365213154798	0.2231756608585251	0.25781614507708595	0.15773850420189323	0.21431345722752046	0.20567441739042414	0.17847265112028568	0.1556447332002303	0.16225728737786282	0.12359252465615354	0.17261546058840815	0.18280234506869147	0.21827567181689606	0.17811427121406875	0.1821556840530862	0.1541310762730359	0.2028943888388336	0.18077434368194406	0.16590194047315426	0.14535816171403174	0.15690260232859538	0.16316260111094788	0.16947454438936632	0.20912532282258817	0.2234769397878968	0.21407098965016808	0.20684669487412694	0.09149676661524532	0.2476986506560741	0.23218918890710394	0.229613121655018	0.21467570305876663	0.2158737978061353	0.21511893962900297	0.21303680189174834	0.20016016429231548	0.22196989398736633	0.2021038251364431	0.13440025522093418	0.09825805973347085	0.2037368090764598	0.24084791214860468	0.20162061075714138	0.20309664467527477	0.20938355685048937	0.2044130554986244	0.25003048225023067	0.2094265874619191	0.27749874601824565	0.22099421819848458	0.12031865766451497	0.1142574648899688
94	0.1444817704179296	0.1326088155685124	0.025038171663460902	0.005687387003518902	0.004259240661865914	0.00014141253272003572	0.0035318579350655617	0.04026995504026471	0.08144640093169034	0.004679658355046852	0.016389363916169804	0.025603972414739017	0.14285406831248554	0.11603408709413127	0.12361430772378534	0.1049999464347387	0.12791304390352246	0.09076924748620166	0.1525744615659322	0.051591557107825495	0.15151767305428765	0.10507479144651251	0.3671161132130563	0.10433425580594152	0.19017966295395397	0.16169553832736358	0.16416124994424913	0.13730896210326488	0.1273275164187776	0.09829083919649428	0.1670391431496832	0.12931041084178058	0.16387505487915952	0.14343398723246947	0.09637574760630299	0.024464527714002676	0.17825746866972392	0.14330617799998865	0.16616865422029603	0.153845844864483	0.1606088202273615	0.1168793581596389	0.17044043779006007	0.15057036965995768	0.22163822047530082	0.195673776901635	0.20554782385929954	0.1376726506192724	0.18897043875790692	0.18057205410826377	0.1625859615755087	0.15170198182336014	0.15593634759330088	0.0714131467756037	0.17082857308160976	0.15659058250228475	0.22544291666185318	0.16974031376748822	0.1849084304391187	0.14668429596753585	0.157544750960654	0.1605441874319418	0.16070947566621263	0.1690261190813401	0.16711204690631953	0.10435138862195434	0.16372843617009308	0.17828978545620308	0.2428436352752677	0.19318989433688039	0.20372708955633334	0.08151049369997929	0.1987751176522461	0.2223589821624143	0.2235573733719039	0.21082912870166248	0.20807878150989778	0.21046178765649742	0.22491156587004724	0.17586975739016503	0.22454577874169124	0.16165967390669062	0.10153545416380766	0.08183392466996775	0.14635158481299299	0.19105909069644775	0.17398126197481695	0.21696914303953652	0.2042723432660271	0.1578673035497754	0.2181972077919201	0.20237702782394387	0.26261334503393213	0.2017622474366511	0.10991364919081884	0.11203088101846567
110	0.1783836148548762	0.17092351907934916	0.05365321483821553	0.023148915106823632	0.0068095867585702815	0.013484086620472704	0.04235814097003866	0.06821779341251488	0.132395335409345	0.030091327298115242	0.05100340878313929	0.07466118188482762	0.20364997021381914	0.16921198613986163	0.13214989455171583	0.137025982412933	0.15090569579983232	0.1399241365669705	0.18828139303727592	0.09907703636560666	0.1897199857834862	0.1631977116486304	0.39216707346988133	0.13870804122711697	0.23399777345851944	0.1928692704152139	0.19917913515487365	0.15838808439384044	0.16108480845326711	0.14222976599792847	0.18805235649629892	0.15781891834303333	0.20604357453445502	0.18635183588836945	0.11638760560532146	0.05904725459838994	0.21613234065952722	0.16979170254555687	0.1686523644595896	0.1589983915743382	0.18669810293444924	0.13958191234848938	0.20418447113835642	0.16343845324087664	0.23526300143671433	0.22393929771073778	0.23523775098079847	0.1618289669996495	0.22716587101940994	0.20939472558341626	0.17137230241146867	0.14501076888125208	0.17545898794472023	0.11391556509213091	0.19544834499299857	0.1664175803898722	0.24128905295868458	0.19348439455584565	0.21193400398667023	0.16044209646388302	0.21740375497530992	0.2097243557360972	0.18982306722761466	0.16972310004443472	0.18205708346559438	0.16448311333540433	0.17756279883226883	0.19186365340558448	0.240469103118852	0.17527976546137497	0.20760468271292176	0.12373584471083729	0.24814177796954529	0.24797399367658196	0.23535178522608968	0.21345081939480795	0.22289820370349897	0.2354423708475437	0.24447865649868955	0.1811256531517365	0.24020271704984486	0.2039157232056933	0.11937459865549425	0.1080427954724826	0.23685784821794287	0.2329851387217313	0.20657296302748926	0.22154883473085055	0.22931278223505336	0.1970566631023869	0.23162787079703662	0.2032923389839369	0.27546564427993514	0.21056441553088523	0.1339469361172644	0.13611816272638855
124	0.19809138849188704	0.16011208971480204	0.04155128131215588	0.023006429047214234	0.014494111803419397	0.04770422398058438	0.018237224886404425	0.030000589432919993	0.10714525736142835	0.046393311716142596	0.03439661169459198	0.057879985990429025	0.19067074920949673	0.15491806230142613	0.1563333281813605	0.13740664002291283	0.143816057190002	0.16726737859441643	0.16950894435774416	0.054963848256388656	0.18318207622655078	0.15305196971346435	0.40533903849491626	0.12570171128892788	0.2226566343467281	0.18573503057402563	0.20170332666434726	0.19071941832067077	0.15598529540429076	0.1761436732069965	0.1561244017061576	0.12784472873413716	0.20291753754063402	0.2067751855591486	0.10481401581800628	0.07519313209612344	0.21251116141034543	0.1623248034007146	0.2007919617683445	0.16052184337249448	0.18773684093687287	0.18282625279540765	0.1764962621926868	0.17014793402844208	0.2271308473940079	0.23239978593240995	0.23902877512178766	0.15651022769765893	0.23081116456725106	0.18841080948616623	0.16238172510076992	0.16079201592059955	0.183775522916104	0.15352051571308256	0.18080458935522495	0.14579624712323921	0.24134369472195905	0.2089828999151302	0.19686856262301614	0.15741453345719786	0.21347008068239615	0.1757409741150302	0.18559390246442303	0.16541418360497534	0.18489626300712955	0.17262105356548488	0.16707850100925853	0.18530731701819855	0.2490194994111471	0.22800191248197216	0.22104448625985929	0.10321272724517305	0.2225904879209211	0.25275737568402556	0.25426642158136725	0.21244512891590356	0.20347043031750134	0.2564196789882117	0.22180973521656636	0.16193302966357379	0.23059758325353577	0.20750368899495414	0.10195348159064292	0.07905521824241817	0.21597803940150456	0.20821030597420676	0.22987098230776593	0.20697067800594007	0.2124846177902804	0.2294383581916997	0.23969117655864372	0.19468187791701114	0.2902285738054434	0.24400013920146477	0.11221511013991414	0.11720289156011518
