	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.20243120459167294	0.1816102594005541	0.10022297869589689	0.03439886910374611	0.06972888602169847	0.07716907939045387	0.09952681364263458	0.0879016916128757	0.0964977288499668	0.08238120891226458	0.0969128940024633	0.0911869035786578	0.24986744949340126	0.19946836097713333	0.21130100052695522	0.22393798798479772	0.23707859933365952	0.20715291321703552	0.2235526678111547	0.20902700609350283	0.14289131857181392	0.19909506910850383	0.0890859726665448	0.09632814954786398	0.2748147190150355	0.24071508823501186	0.18196535859233004	0.15298134536165786	0.1594080091947962	0.1985089581200834	0.1970679404596779	0.1682115569406295	0.2103414950896874	0.19707124300232642	0.21110374084570105	0.20405880196341541	0.2353155603657524	0.21135537644686198	0.19460055151598268	0.15955493204477766	0.18470551509689404	0.1887073002959614	0.18914652570246726	0.16574755294635243	0.17573861519139827	0.1980825154054335	0.2051956896816332	0.23119782933551358	0.2621207583753234	0.2404251558140929	0.2097887620276631	0.18081772192718396	0.1948405353214333	0.20839594350564192	0.18070764494941235	0.17459914053385403	0.18513786146709943	0.20560569400532624	0.20811745339097215	0.225793076954315	0.24651658108659608	0.2383105463568383	0.2100500185276147	0.19722140565656457	0.2141446205208659	0.24119901391838383	0.18359342402854356	0.1855769946598275	0.19584232254280326	0.1993791153420126	0.19750647947432748	0.23071346135877638	0.2603525342591112	0.25750846786746506	0.21704789095801563	0.20456954852990783	0.2185117550576762	0.2268203785408603	0.21245859265022415	0.18791591798968724	0.1496138766998028	0.21279895480262562	0.20167451007673268	0.2388916026121064	0.277777373776802	0.2563762032726883	0.22747931845295355	0.20352886298612458	0.22643317057079015	0.2651534528264716	0.24219487556155084	0.16620942732777727	0.16692101201920054	0.2213323616364078	0.2238544742387953	0.22391456643537272
15	0.22089671050660986	0.16593189250877616	0.07337315514170062	0.08140331292978083	0.044981458215559114	0.08335805873190365	0.08746920263859904	0.1075400914728316	0.10353302419239516	0.04863569789588387	0.1346505643783918	0.056324402879630614	0.2594300066816731	0.1796527336741171	0.18098306212054174	0.25534878409197037	0.2238151044734295	0.20085274762283967	0.1787010062582416	0.22055449804001911	0.14344083664706136	0.15469970615759226	0.10016328758015403	0.048614414664828715	0.2755079256446453	0.22261823592100777	0.16713144257539717	0.17520577314661773	0.15446128168280515	0.1796841185097699	0.18278561411761807	0.20473559507674294	0.2009239712845942	0.17332696661445396	0.23200490531328644	0.18815816497532895	0.2657670007056588	0.20004041704508868	0.16904023988883102	0.1708081711978521	0.15564395466278702	0.177919873713815	0.1787095559595391	0.17765710096758341	0.17769634696803346	0.1719777404423129	0.23467035728609825	0.18990311001746774	0.2774558522190471	0.20652084120723252	0.18635746684596932	0.21167520099645118	0.1762053304520423	0.20103010031842128	0.15875905191295936	0.19221273163629832	0.19521731473153606	0.15039368699950398	0.20067605618943846	0.18909195365318385	0.252844016770027	0.18952653374556327	0.18786197928873655	0.21188967445008372	0.18549762089247873	0.20281654382105035	0.17482889784964947	0.20045645836548176	0.19342950289843025	0.1595326538206419	0.219112910008185	0.17018035893287814	0.2776660078642607	0.2385406195678328	0.22271253284808368	0.23747932289464196	0.21918710396561625	0.22201056225641247	0.207037499902128	0.22500811457247588	0.149850831259059	0.17497204272690486	0.24476503704243174	0.21686789358342656	0.2576383508953367	0.21569462306913473	0.18962440229219785	0.23690532375157172	0.1916907698891778	0.23682278100677864	0.19904296925468273	0.17794354626807396	0.13136931079460495	0.1831319398328964	0.2539075632023088	0.17425090273770363
30	0.19462429208774124	0.1477307316378063	0.056135828052824736	0.07117137857915967	0.04074529960197051	0.08832946042769207	0.058940411057711556	0.06413555184078987	0.10439195243224829	0.06003268953674726	0.08172034805106815	0.09870053564629794	0.24294089383243067	0.18372296808983005	0.198877287292676	0.2620046066341156	0.2092628109416657	0.22082736606971248	0.1876954066407578	0.22016073282325563	0.17006863342542267	0.1642387040591386	0.07532208741544995	0.11692476508545016	0.2524063147367555	0.20900633990614684	0.17424861442957335	0.17750558506983655	0.14700643981365374	0.18628821835841328	0.1646151832202302	0.18314433376364078	0.20042937392295745	0.1596012710615362	0.20071569794728505	0.23471590180923524	0.24257458195352027	0.18280028317670344	0.17213339646129838	0.16762677717600183	0.14671346055890166	0.1864618519540499	0.16788027002277872	0.18878158598715805	0.17811150271963105	0.19207194807026662	0.2028430277922976	0.24829542280197428	0.2532169324975571	0.19621567723690908	0.18124794622173296	0.18292345314795147	0.15865665092263315	0.20143835744779454	0.14593188856972047	0.16978512438722781	0.19257033163761614	0.14370777934955717	0.18104259093971997	0.2432526447827083	0.22892324344926485	0.2147234231533148	0.19879006853091377	0.21446762572120298	0.18303026406174108	0.2226001079201445	0.179431939951103	0.1862942686958566	0.21410077368470176	0.16229807213911257	0.2045239603554342	0.23485237916797466	0.2518961863203509	0.21202988235816692	0.20435971775082568	0.19505072872016088	0.17288091032856653	0.24252389075046848	0.17478915420896135	0.19845803078025187	0.1390834820753172	0.17459447007452963	0.20760913679113915	0.2242316877192861	0.23978340267061798	0.19233051585859462	0.20306562937824957	0.2141441691505855	0.16697891192201966	0.26514030911616565	0.20231907640383467	0.16291315205999585	0.1398610184259158	0.16960398168634438	0.2050766880924386	0.23931133128773718
45	0.19040293731425573	0.17998466616349906	0.07919890894424397	0.05085688718074775	0.08096555851209888	0.0543677494345698	0.09049703206634863	0.10255363946773094	0.0927655014123911	0.0650374345688121	0.04732180171933614	0.0889610941308843	0.2209585040256773	0.1965708289452303	0.1730505730340115	0.23517486877150834	0.24553617368834357	0.18180191896718978	0.1983205178502769	0.21297890464295158	0.15032133234522227	0.16908070887047333	0.059113711883046295	0.08156491133130818	0.2344400793788981	0.23985210825741532	0.17843358950404498	0.1584837604427893	0.18028283364625625	0.1470350126943736	0.1796983275331272	0.19306620082888978	0.2088340281751604	0.18816682399537626	0.20149799377316263	0.22413714965733555	0.20910667454401044	0.22285017390994227	0.18332458564652876	0.15355126373063555	0.18312687311253792	0.16605693225989682	0.17736681174581098	0.19248370566174175	0.1942099085062571	0.1936633413537595	0.1851317941160516	0.24115770660522973	0.2359232335472829	0.232931944980186	0.20818591737073894	0.185703010371786	0.21950650477122474	0.21028038642245997	0.1718864975541558	0.18651168986531416	0.19962514858496683	0.18227213304275147	0.17112598655044925	0.24266474727757173	0.225560776137574	0.23330474386293767	0.2129464900646748	0.18788777300647036	0.23238842900742987	0.20796317470790043	0.17938971804518944	0.21095510603052287	0.21359644240052023	0.1765205854180977	0.17616219030843977	0.23691050745830333	0.22720807322558512	0.2428036475805569	0.2104319023639094	0.18480176261246886	0.22454950416826852	0.19942800857782833	0.20578892256020384	0.2130621892117357	0.14458897108330487	0.1788180893985205	0.18540980605390678	0.23623088418303012	0.23274443842177367	0.24087430083670064	0.22685869561564914	0.20864343790300324	0.22732213313116248	0.2350720210834469	0.24050522962435544	0.17402281509218215	0.15646794700414876	0.21782353388458858	0.2069367256900443	0.24358880469365185
60	0.15686179787706594	0.19235188016216842	0.0826582173659571	0.03856441740975257	0.050613265689363585	0.08155749495299962	0.11810919134835621	0.11001025854123297	0.1038296819801821	0.07186534945645057	0.10559947415447238	0.09001467907770058	0.20125609013721635	0.20288482135807384	0.19344390687566299	0.22214236441763	0.21631499299722787	0.1985542899495446	0.21994237376188436	0.2351764073234764	0.15914969380907212	0.205118632402002	0.12095329130559751	0.08874848301959581	0.2372727998808266	0.2369580220886749	0.20325655794187175	0.15822407740723898	0.13682519859327974	0.18786688473246727	0.20468697288466225	0.21313390248979724	0.2130051794152934	0.20267596726311438	0.22321637177657822	0.22282500545646175	0.20219568949501232	0.2244472109364488	0.1813498322418738	0.14128373360602026	0.15839110635084402	0.18174948782896275	0.21644751654126798	0.1953642141622661	0.19647863597950505	0.21011816553098378	0.23422911110207004	0.24590588506831382	0.2182190962360212	0.2335597435362684	0.21058880757636034	0.1711563618914747	0.1944454156474627	0.22493422472891667	0.2008323757997896	0.2167657622877011	0.20082106653849252	0.2035121893870483	0.20202622878034746	0.24503935569207336	0.1915485255675692	0.2227756256715332	0.21372221673286382	0.20384557767894362	0.1700716418908026	0.24806946860379664	0.200246589350984	0.18484044767132524	0.20877909478699364	0.19122154921572154	0.21719980036942302	0.2245498194884887	0.18011983016995436	0.22789481729412392	0.2043721633998281	0.1735880249677844	0.20901769067189613	0.23401108864952014	0.22427725007277324	0.2120925393142783	0.13701392053971312	0.19813532149719582	0.23232084315709117	0.2424260740949698	0.2094195320075546	0.21731540429502766	0.2289750568824732	0.1936573228043716	0.18408949811888192	0.2792365667339108	0.2604495669678421	0.15228506169533412	0.1385824492600055	0.2036601485841641	0.25176537879080285	0.22949439143546355
75	0.22851780214726258	0.18118431936738055	0.031129527513542518	0.06975407260748848	0.09347088660970763	0.06279695965176454	0.0948488798488167	0.10649329559672235	0.12996031882560635	0.08388923139297211	0.06388046619941377	0.0852570672129929	0.25153748704056283	0.17583329532142022	0.14873398616741978	0.2529623735381099	0.2532314280023365	0.1888621556175579	0.19687296206197752	0.22774349496872054	0.18119552005900397	0.21899111527837983	0.05336551979722967	0.08350380533406623	0.2759753360166529	0.22226183135748506	0.15306801946888776	0.1909361040323228	0.19361841956487502	0.17365097261656287	0.18834417127194883	0.19144739054947357	0.22477783011175023	0.21230090429129023	0.19610276324848364	0.24063312376207843	0.27452795297004984	0.19521410700440603	0.14312607608763195	0.16650485912925633	0.19365204967196847	0.17336600926624599	0.17990655348022272	0.1829458405403104	0.21765825498314784	0.23652848316947095	0.1916929974149018	0.2268864149876964	0.2817844872007887	0.22702004151966446	0.17078481171190482	0.21412736168423624	0.23835942494570025	0.21809904567028085	0.20535119268919624	0.22752363630094558	0.21850440029227028	0.19642971385081803	0.17586305047778494	0.26129350499386794	0.2646349046752928	0.21449367863155466	0.17154640305331964	0.1988559489749252	0.23662942132208775	0.22879946453549727	0.18716293894496178	0.20468042063327907	0.23620257341055212	0.1981361129214565	0.17367483087673116	0.24509110163776543	0.2799523731428946	0.21795529780136466	0.17085997175388212	0.21603024448882044	0.22876429434729043	0.22245554793351033	0.19654038326524315	0.23254799621416256	0.1782162742478963	0.23071290517313353	0.1988991088810822	0.24072338322822942	0.27585929171844487	0.22571079998360366	0.17505244605472267	0.23879814466159688	0.24441264367444213	0.25911526128163526	0.26650684411328396	0.20637987970224733	0.17997709654251492	0.2281029381686394	0.2174629872970641	0.2460291698226324
90	0.19241008350649927	0.1501806601038425	0.07435301201386732	0.09947657834526734	0.07512324619794408	0.08517826750257737	0.10639904832809191	0.12108068500056224	0.12316528335111568	0.08010350018405367	0.10212296060515666	0.0889008349388904	0.23921320133775287	0.19190767201951306	0.21357475121164632	0.2907753722037735	0.2595189891315308	0.2141078913452443	0.21647648168233768	0.24617796630435088	0.19518130152773652	0.2139483457083347	0.11307541203447222	0.0923970534502848	0.2339983070177552	0.21745515652241112	0.19388729170354857	0.21279490008031365	0.18040430442591238	0.18707767635941233	0.20111189176948935	0.22056939175102885	0.23533347202217256	0.20547705962100804	0.2416109423591009	0.23726368897299194	0.23852531414439226	0.1881942367185903	0.18528223200470376	0.2020432083700175	0.20837393781070374	0.20980028426009956	0.20264809673315953	0.22285369970951563	0.22960842937331963	0.24198981405054937	0.23839741359598215	0.25490639672481474	0.24192635340602198	0.19316050052653994	0.20753878484397473	0.2211600053349429	0.23255810666552884	0.20836933164579136	0.1851270768502734	0.23063848896651826	0.23792912923173093	0.18671981855787712	0.2070973226847879	0.26354733131826785	0.22079254380417174	0.1961297233971443	0.2059475089861717	0.2159586065298571	0.22956784413549508	0.247645383415559	0.19786218825895652	0.22741209764911097	0.25048302974368075	0.20042199867209282	0.21930460857191791	0.2568356575514186	0.22838106503658773	0.21104382675445243	0.21814148983426324	0.2421555367781283	0.23725969114326212	0.21432568239972236	0.20616754853529953	0.24586372320971872	0.17858957332907488	0.20301347580440487	0.24386257696584962	0.24111148193509402	0.23432239167310803	0.20238398201258317	0.20669706165050883	0.2580376034454541	0.2372101348348706	0.25535616981034326	0.2544267043080972	0.19060674546126088	0.19395090782533836	0.2267897617828203	0.24020059184023557	0.2542243749126384
105	0.20982617382087887	0.1919601521221891	0.03997343875230931	0.043756826656116625	0.08450100922383125	0.08578547230525953	0.09714381497436175	0.09380929685098574	0.10142564364041967	0.09841544866679483	0.10360526938024665	0.06483459477057293	0.2671022755388373	0.19704662670422965	0.15321834324824252	0.24097434874330814	0.2694243928158748	0.17626788943060823	0.2010651264700004	0.23086342797805254	0.1515110560574144	0.21667857847147823	0.06139304239316497	0.07770963543227966	0.25634490282901107	0.22593376869662293	0.14546592497217148	0.16831866075039248	0.20088625851444242	0.2034994907203558	0.1788563362986849	0.1918274682922913	0.21975909606581284	0.2270995098067689	0.24141973819499127	0.22822143604456657	0.26324240846427965	0.2078574262960724	0.15366861948078575	0.1676707720937732	0.20453254143114658	0.18941718712295375	0.18154177749874242	0.20886559962196585	0.1978630124066531	0.2560075140115735	0.22321118064268314	0.22394743500594105	0.27838388653035995	0.22509809000270942	0.1554202248498772	0.18157276534735006	0.2184603940928252	0.2222422197490646	0.1990663411141841	0.21826666496132344	0.21466919799554232	0.20753184442054778	0.20854220901011064	0.2502644050879701	0.24256182594190673	0.21941638433665733	0.16577384490428498	0.1958619468676529	0.22311265226486648	0.23042928033508014	0.17394555236651893	0.19063945108733615	0.21364426684240825	0.21847163713050513	0.2146484609149213	0.21909857324200904	0.27379087975818367	0.22668282767224743	0.16610341969621858	0.18256108769320495	0.2306211874082434	0.24009448859630866	0.20120754311884725	0.22352160984474903	0.15758780801277628	0.22195902492880676	0.26304287221216854	0.2515415050097075	0.25074527575517835	0.22417882828047458	0.1776769261249671	0.20172512995649816	0.23872116885132752	0.2662214423417676	0.25289242209757534	0.17257170321777837	0.1555450178331747	0.2378694860828836	0.23342917917319422	0.24918496863586856
120	0.20365170476716107	0.2022280396944681	0.03556888928101183	0.02524352149487573	0.07455651279971758	0.09034726792669134	0.07239523672265882	0.11166539718670335	0.13586541868084656	0.10117493461640298	0.10052590466662342	0.0811787989316158	0.24565486374341708	0.19456707206794133	0.16357590144086792	0.2470756119887641	0.27392624882167005	0.21204232182593669	0.17053767239501566	0.2442262651249986	0.1936917197188665	0.22075832189630484	0.0745252899502025	0.08602517587620483	0.26215482911428284	0.22055689932525674	0.14629360214461506	0.16449836543549368	0.1817971927378167	0.20021756327403695	0.1371510881918599	0.21336127530604604	0.2502038078757617	0.22120504816163877	0.2338988939878507	0.23974492326315305	0.2439722298653209	0.19544828034105866	0.15805914749068217	0.15827804846133842	0.20125611663572135	0.21557190878315882	0.16571972140066948	0.20669764880942537	0.23063753484170846	0.2526165328169581	0.23131696673885907	0.2500588048197735	0.24561712783857745	0.22391453422016516	0.16517524467167038	0.1744511725044594	0.22371330653554466	0.2192949407654638	0.14949296221542552	0.21910203879519688	0.23751321786246865	0.18828659997342115	0.1759031108575097	0.2584233759370059	0.23635002030439867	0.2234053578367779	0.1670565747880923	0.1700130896483867	0.21856534027869828	0.23726161212450825	0.13497017426937163	0.2123096064286631	0.24068702113504903	0.20595666342436836	0.20204796733543443	0.250286894663466	0.24248661048607534	0.21422558324548457	0.1638523140707923	0.16395684276430683	0.2232897628161215	0.22866257386088334	0.1705406458999162	0.2363800499253632	0.17319212414347807	0.20065258201671266	0.23585148704179054	0.24989678076849167	0.2438771820039442	0.2144890306476066	0.19827455601649072	0.20134325494044686	0.21960896776973754	0.2723587600799358	0.2071320801809272	0.18391330534184486	0.1664067792742387	0.2217547080957476	0.22285562171636367	0.2608972123270831
135	0.22815876864981868	0.18313354205167745	0.046180454664262	0.05052340260388523	0.07304546295779224	0.08046406137015052	0.09548972524117247	0.0813570159342299	0.10824136128207743	0.06725747358256273	0.11268493289335343	0.09642513560117064	0.2681930603137045	0.166434437454789	0.16946738499965347	0.2541973997928478	0.2655701495783368	0.2034441315002518	0.21018670397296113	0.22967635641174183	0.16393527938094848	0.21964907181931875	0.09650641836892837	0.09936382612910175	0.26439853342635644	0.20348083129572475	0.1522647227371723	0.17545081750400193	0.1696735808206604	0.19662788095110123	0.16745944735761084	0.17947451429172173	0.19827225802268011	0.21040811215870783	0.22263015628210317	0.2313196349612811	0.25635753934950367	0.1790150550135128	0.13381275370178738	0.172558106330281	0.18538439744116642	0.17981326523283775	0.1800013792935833	0.188033371153364	0.1861610296430582	0.237352689232269	0.22757069447694503	0.2490078799347109	0.26750366609557186	0.19754360349461617	0.15324678458236812	0.17794246651825685	0.20814616814925244	0.1901077866300604	0.1788787201342782	0.20131661884464536	0.21231541353132752	0.18650303861389478	0.2031103549662501	0.2598373655166388	0.2440693282614925	0.17840140041063923	0.15237994678196146	0.17943494183303776	0.1916321737386422	0.23600572220610083	0.1718777671961283	0.1755253625740885	0.18313794017816382	0.19020726390388937	0.22990195680636427	0.2540087719204702	0.2509892604213988	0.1714669106668864	0.15226456128536262	0.15859773831678842	0.18677905084347152	0.21472588733341771	0.19123487309885479	0.20471762106050362	0.1158381226770629	0.1774898481274328	0.22509473870382474	0.26168857909886756	0.24530783815513518	0.16074287434678797	0.16204639509689817	0.21372216259720478	0.18775864153085947	0.2557811705836648	0.2373304753785292	0.13882494829400271	0.12479333551238594	0.22417984820574527	0.2077066913053759	0.24637876595566674
