	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	-0.06465096276711468	-0.06143367564800278	-0.09241870226467339	-0.08655632968153226	-0.08834289282056978	-0.09935929123934967	-0.08402903261372391	-0.06523660835334857	-0.05516458910234809	-0.06536967797382379	-0.09242659311387463	-0.0938504240287773	-0.05510618775390563	-0.07674427042490117	-0.047354983484210966	-0.026831955730520607	-0.034361616388348504	-0.0398336381267515	-0.0340776118377733	-0.004114216146893501	-0.046699644255221495	-0.013844704858562151	-0.08377828458073858	-0.08517598845216626	-0.03542705855957523	-0.025951613089086167	-0.03834511147285957	-0.015319929858184145	-0.02649796468750515	-0.02539723858746873	0.00394947297456677	0.016055254853539314	0.02418787930250127	0.01823547749770038	-0.022441963598281156	-0.022066400247224893	-0.02162567822840622	-0.031652216208959916	-0.019003778439371566	-0.021847554824137472	-0.00856951671715206	-0.02358791424869311	-0.01723649928656873	0.018234610643760252	0.01293055905134588	-0.012367591670205125	-0.028787149154884895	-0.022757144236302707	0.003898917742371999	-0.01952956309695819	-0.025170921078315034	6.840280770109564e-05	-0.006560049447305039	-0.02966376355102085	-0.01517335395467695	0.021838066550389	0.027740222360438938	-0.026779988162916102	-0.025520548439099733	-0.012132154899548553	-0.01771298941794236	-0.01080316336776782	-0.011872363567152933	0.005315303698639584	0.009480071222420283	-0.004191083811087792	-0.014080000718837249	0.007592861699075304	0.02721910164548136	-0.0028374713631806325	-0.028232265092271613	-0.02087950444740183	-0.01152553978675569	-0.0017642360779727695	-0.012128091746706371	0.017398327838541505	0.019331839467323753	-0.0013273303394171765	0.005343342817990537	0.017062230296454095	-0.016461236806739388	0.0011203794557488878	-0.011345547473593898	0.0034825121824699212	-0.019382478645448065	-0.016526126313328504	0.009091428448170347	0.008669983943066839	-0.003577714582912561	0.017195346223295993	0.001758127423484801	-0.018494286941451554	0.0026574008554060002	0.019414686379287893	-0.005094456932677904	6.557630709080886e-05
0.25	-0.07308620006634914	-0.07593710746497598	-0.11562565045621662	-0.10430623960209892	-0.09910610269081901	-0.10287111868917456	-0.07439899684122667	-0.08741928869504056	-0.07970950583659317	-0.06048926086919315	-0.08669913726699743	-0.07953815094028521	-0.05182385934394279	-0.0739532335355316	-0.07523658928903476	-0.03865773687811214	-0.04342200159988596	-0.03762977051555921	-0.006683470194581209	-0.013612802778514843	-0.05914879767655529	-0.011402826377834796	-0.08688807847200289	-0.05570391929264773	-0.035203176096116395	-0.03260113949969773	-0.05806245908181312	-0.036044564202507345	-0.035494723776156534	-0.04080324948465591	0.009382448919876718	-0.00819799813727523	0.008798165649788747	0.02425339797186582	-0.006893391753439726	0.0004473750916684227	-0.006665584612031761	-0.03566017658271797	-0.04167392272534132	-0.031929513244025653	-0.014236081221979335	-0.003360948258552987	0.0193763913233147	0.016375806830750073	0.002225512630989135	0.0017268583984236807	-0.014203906721000192	0.0014101685030682432	-0.017261558884905437	-0.028749815325640193	-0.042584959933410604	-0.01742056831393718	-0.01940142112138138	-0.012005481836458776	-0.0038917780793678025	0.003822937994124531	-0.0008614636664052155	-0.0005594408712131793	-0.019641756947475886	0.009993633987818218	-0.022059055099420022	-0.012623895870450985	-0.03497175408848069	-0.02058720685229337	0.017283277773876393	0.02297582358406014	0.019599142083549626	0.005521483812826133	0.007300646293093849	0.025290874137452957	-0.003415936426934607	0.023846528536061062	-0.0181870889459248	-0.010395569351134337	-0.043008770343488656	-0.006268043168038473	0.008274166786667758	-0.0009673597671012168	0.0227126165868497	0.013279818417881728	-0.03985957242863897	0.023755364836627713	0.00551701422569284	0.029914248602558535	-0.024908047211676276	-0.011628689358113287	-0.018950216172771317	0.010897341738488997	0.0016108115735404827	0.022415074751849284	0.057926356202094464	-0.011978811974997283	-0.018378229981241778	0.07868778607856625	0.009172670562651308	0.0548993779860098
0.5	-0.06773143085686695	-0.07285829657025328	-0.11643832704624216	-0.11024562517037725	-0.09623465031453271	-0.11074093374795069	-0.0730536711431902	-0.09957986265673341	-0.09283836001363524	-0.07622155956400084	-0.08912091645290987	-0.10614232381937033	-0.05768117511149745	-0.06866431082451518	-0.06752234836846832	-0.03526273454920048	-0.025007686133247664	-0.05649794600967689	-0.020739348039125582	-0.034715828128767834	-0.0762342691649883	-0.017866811019536688	-0.09947363928570147	-0.09431950703486999	-0.024937647295287746	-0.03493999726355074	-0.05101782502836533	-0.04201103615858742	-0.04152032677960943	-0.04376992472533303	0.0005474835065362171	-0.02062552671964696	0.001990576640049646	0.0129704987158758	-0.003910461355214334	-0.02099142531515913	-0.027235839864404365	-0.03815847132365191	-0.05316698639616263	-0.029792972116807093	-0.011732251627564694	-0.02096267263282825	0.01825522928001022	-0.015635715991200727	-0.019899739129896787	-0.02141260839503184	-0.013548064825788242	-0.019608942372210836	-0.006572933197068143	-0.03691454940057709	-0.05321046452306971	-0.025067535411085085	0.004185426460639963	-0.03216379486092269	-0.002829801015804767	-0.018775915779627006	-0.008488977361752248	-0.004493035508753407	-0.03646940033892371	-0.02610738710308741	-0.03177047519805687	-0.027790727935113668	-0.047735888600818954	-0.040315050743222336	0.02770370293844321	0.0010362749920392322	0.0077143449366502415	-0.016903784928250898	-0.007058112280743434	0.008057809683356454	-0.025700338154018287	-0.027710708408937412	-0.008705299476692907	-0.019778815759327217	-0.03778971116619517	-0.019674909127389062	0.015862305204542848	-0.01448215626230237	0.010963179629000785	-0.021481015287994842	-0.04911790401953009	-0.011117673211418377	-0.005098429762314616	-0.010383618118164573	-0.0264747254561416	-0.021933014892872194	-0.03090062108719277	-0.012352391024742171	0.006948817816043951	0.003029740435535	0.024581727729835634	-0.047914453482271635	-0.04203093068641861	0.02296291049666621	-0.009071260944639392	-0.027665018309397882
0.75	-0.0711875410692745	-0.0685612868691724	-0.11542598678914295	-0.1067444230977691	-0.09589926395106277	-0.10130537860323319	-0.10511218434161548	-0.06647196729887878	-0.07829341277198099	-0.08030499111166509	-0.06354889292640267	-0.06941923361617786	-0.06496324267183937	-0.07260395983270193	-0.06931212000951059	-0.0404857110433941	-0.027428536996052633	-0.03761606041950977	-0.03548225732116694	0.002496504604748151	-0.06386327342925491	-0.02817380122536489	-0.06516083471824899	-0.059494813048200756	-0.025127678714140067	-0.026199494545008084	-0.050396122708430025	-0.03952231507119852	-0.029618936599161816	-0.02999085077259911	-0.011219213244536952	0.04016181597543872	0.02187196321560858	-0.0033103835355433042	0.031811545327417645	0.031885382870717294	-0.020742693321945505	-0.03543625380326565	-0.03879297447958635	-0.022348611925775752	-0.013070263336916688	-0.010373039847256293	-0.016794237591796546	0.03401203731558716	-0.0004542813706707727	-0.02558792669293286	0.021139075350471714	0.02473895198081988	-0.009043050524487672	-0.02247417047607414	-0.03778214690942677	-0.016489614711025613	-0.0025195403202493694	-0.017469404615085282	-0.016212135316701237	0.024949688296348582	0.009316726209147697	-0.031063939115364037	0.025634014159417795	0.02236735945743351	-0.03580939618585083	-0.022198100848357327	-0.039300818696581585	-0.021722167921167934	0.020195938293742943	0.01470403999150749	-0.02485486084317018	0.01078112933210662	-0.0019250852355205406	-0.025486392437270078	0.011151188128924072	0.014337597059713159	-0.02544634988839617	-0.024338975385717776	-0.040564496147958984	-0.018637423417395438	0.005249704008400746	-0.011673542648528767	-0.009642083802102686	0.024260054125703756	-0.0326001534908304	-0.029693665477423636	0.024353516018135013	0.028013508118442332	-0.014290986067523881	-0.015172154479818345	-0.025071057047289347	-0.002957082236997699	0.0033984094348185057	0.01242406020520953	0.01707454267596409	0.0018595860968342315	-0.036981259972726666	0.008097541038637357	0.028754251121168972	0.025414254899177424
1.0	-0.07193826950795032	-0.07273402903830595	-0.11173050928784456	-0.11333249500755702	-0.1047986452929863	-0.09063231294911234	-0.10234563421710155	-0.08438925314095089	-0.08035322959941127	-0.07395519946148141	-0.08288255707011058	-0.10020939799418924	-0.05046432831481401	-0.06700396306038975	-0.05624120506743671	-0.04874372781899844	-0.032670274966174695	-0.022078590533186726	-0.025316731116905522	-0.018422438934987295	-0.05494535144764304	-0.018381112842366876	-0.08813053031954704	-0.08466024532220004	-0.025707763939976258	-0.041080005906541206	-0.03984899073556469	-0.045331909302757656	-0.04391709552161349	-0.009042706849584525	0.00962398156604577	0.004709514259295111	0.024068601131802703	0.02576964070297527	0.012994151139215648	-0.007317155596767766	-0.02778902071644862	-0.04118449726000434	-0.03889130904831428	-0.030724109099543484	-0.018421323062828343	0.006276462908493874	-0.00944434191569632	-0.0002169656798812758	-0.0016437274660360268	-0.0260379021701736	-0.007726093556371549	-0.012674167727865393	-0.0034579841479175366	-0.03617556264809574	-0.03877948913874796	-0.029486855160167524	-0.004931621211009207	0.005239823143418587	-0.028045586462601635	-0.007900715232592614	0.006083602403163413	-0.005399600268331639	-0.02477902141734012	-0.0036525175173320323	-0.034899554087923224	-0.025193589420702156	-0.029894357112006054	-0.021692657602159993	0.009049046393062643	0.03201903190763361	-0.012685538579726097	-0.0061882724107361065	0.011214692729549225	0.008539926293705424	0.00600561224312135	0.0003198827897699652	-0.023704071344793687	-0.02167511716722126	-0.03365797512964541	-0.02516383609023548	-0.003436698451898812	0.020267820215571553	-0.0024991261780577534	-0.00985593732141199	-0.05162499267695503	-0.0002632661556055127	0.00920650529717365	0.012050985120523994	-0.038041839683175205	-0.02374019691192375	-0.018285976221452116	-0.020900160902564358	-0.00148662208795447	0.03385547198891942	0.018528481706903688	-0.03037067754450462	-0.03900788766794461	0.03046861782579363	0.002399048168227391	-0.00029135603923463593
1.25	-0.05921356516423407	-0.058704933564120654	-0.11528819868406573	-0.11360138413451631	-0.10378043052128491	-0.09205517122755391	-0.08216310479705066	-0.09968955855182457	-0.08544679599165667	-0.05262104925364308	-0.0805527993399206	-0.1122180759259708	-0.05043597321571147	-0.0733859290795798	-0.0696681821425228	-0.04376441208607318	-0.02642457803615106	-0.011757643998062839	-0.01756812514225181	-0.027399597339579418	-0.06480922276936854	0.0008943064603115225	-0.07156986628545431	-0.08924185553672404	-0.01952047913513244	-0.015397183587459395	-0.04830905520517442	-0.045622166228262984	-0.024197539943451918	-0.01602441121506526	0.01426661806162749	-0.013738432696630332	0.020073161122984073	0.04018573460830832	0.022695170900447925	0.004917463588449578	-0.016619053158279273	-0.03254730401494421	-0.05306411685687157	-0.04427485518932128	-0.02598798960810328	0.002432442754190134	-0.013223998770344525	-0.022654081515810054	-0.008850013734826856	0.001004922131827124	0.0065943723081846595	-0.011505395260476448	0.001275788758771046	-0.013565838384509754	-0.04006758925911047	-0.020447372489809934	0.0017573748277921464	0.0029023351823679877	-0.008099211924765148	-0.0026611947758850563	0.02164935636076215	0.017559139259164025	0.03026414283146167	0.014373472958179812	-0.04057979344488133	-0.02176270384841783	-0.03844569100992923	-0.04517131750654263	0.018940298958131097	0.02261807479159933	-0.003284528401380382	-0.01898529318652914	-7.178294019366538e-05	0.028471294114196022	0.013872979107167116	0.003721698446253807	-0.010471086143510722	-0.0012386524353937278	-0.03702154286614323	-0.025963661778144798	0.02180920741171649	0.01974833272460863	0.015411951765861687	-0.01502355970602487	-0.034848764073416694	0.02613930633749051	0.041146456211875404	0.02211356364323752	-0.040176126328643647	-0.020098817827120197	-0.026216105863334338	-0.02494427587351944	-2.7596535981999626e-05	0.030639860138393704	0.03459996361804529	-0.04512193665871994	-0.033524417523780714	0.04472153347574759	0.03565411758544362	0.005479229511990202
1.5	-0.05884135719550129	-0.06053025664365322	-0.11291801009551486	-0.09904621546117567	-0.09918586085757389	-0.08219661053214464	-0.08725709461918951	-0.10119891524582669	-0.07981873865553415	-0.0476167464808841	-0.07575565415165644	-0.09959866219279101	-0.042128362243023854	-0.06701177159736213	-0.05653566888275907	-0.03778515063212978	-0.02232551761145385	-0.008414323206861918	-0.010889193959828403	-0.02489492933901566	-0.05429472646239272	0.023376782119665318	-0.0687225778660461	-0.07569017136675504	-0.0029608813621335717	-0.03176994175587472	-0.03961846218037979	-0.029006682535056727	-0.03372390421614774	0.013108310235045939	0.011061594513230355	-0.003903995486045586	0.037953133951457774	0.04377427005797879	0.019236868401588614	0.01640080224376622	-0.01909171889016692	-0.04298838164948632	-0.03840942248593987	-0.025164355558421947	-0.016636209797772306	0.0194543702980704	0.010618082796053085	-0.014952683307112635	0.011964248984083325	0.028081488918660413	0.014316140999247773	0.000934894544813214	0.013890513648712521	-0.031079340848760684	-0.033478953761513275	-0.012112972529887633	0.008882697681120932	0.008800158642326972	-0.007459804884540788	-0.00658060741201244	0.014711111861074877	0.021630975989568424	0.005289907679478678	0.0005191570361866571	-0.036982866273402915	-0.028633802811918962	-0.021841906285578028	-0.022969837350328093	0.02615498072107897	0.03715523367446988	-0.0007548480676075053	-0.023075380760148534	0.015028875749099613	0.04282222231229493	0.014396368720818509	0.008710149776291587	-0.021999558204402136	-0.012666913114821154	-0.027121370494030794	-0.020998334774091132	0.019899869507020218	0.027186941551365418	0.015191152552948617	-0.02274551804610364	-0.030395882219206305	0.029217863745879702	0.026999898129104527	0.009326264153110275	-0.017481401048407674	-0.01142639681218599	-0.00844841194714735	-0.013800337847275301	0.009173147594309705	0.04423579994452703	0.04010412894455889	-0.04187484420272197	-0.03219282616088748	0.055283586363361004	0.005260138856289398	0.005018625513031005
1.75	-0.06939399124072845	-0.0591363535350799	-0.11583410671535804	-0.10724365359278243	-0.10419536413705494	-0.0965886034035473	-0.08835166724006752	-0.08301003755915662	-0.09195571467724648	-0.09553488801815999	-0.07455273712139704	-0.07761765030102416	-0.05139199538401984	-0.07288778434467999	-0.07331121113221084	-0.03481083677427116	-0.026989265356566483	-0.021067103743258264	-0.014043861609171981	-0.009954079195469312	-0.0625408663750269	-0.026754750796833537	-0.07094445807598052	-0.053438291583137565	-0.026256067426074114	-0.04008349673917566	-0.04691738081180741	-0.04447730256348231	-0.03364892716876583	-0.01701097324780132	0.017907288166403135	0.010348965355261586	0.017546316542674634	-0.011909739447770462	0.027250615924165777	0.04355573108181615	-0.009783415507414295	-0.046034832847199725	-0.04134666122657116	-0.017322487399669184	-0.015821084562588072	0.002369413469791859	0.008216489928970672	0.009099727397692492	0.006544110712097151	-0.02368629208248446	0.022325476149684387	0.03665875696297627	-0.0011595072732903944	-0.014802110821027059	-0.04638241713117153	-0.010538980628855832	0.0007459380786355996	0.003351009895622925	-0.0033161942751105955	0.02174589211961997	0.011087380807813463	-0.018380118407919088	0.009614214061210935	0.05838888808027487	-0.03629742981883022	-0.029062086072662363	-0.03519147127190814	-0.03602041652419968	0.022805906928693442	0.022305799118716496	-0.0017172553122766776	-0.0007330013060287688	-0.010063621634015973	-0.008333056946550788	0.012710045818009386	0.037323740565500474	-0.012706792350259455	-0.009548880116786174	-0.021663807802129065	-0.006715435170777995	0.019255912893721694	0.029686248073433952	0.0038970083215268403	0.020469623670680115	-0.03522634574186212	-0.005027032212608917	0.05445106480851586	0.06359376929172439	-0.037280301224771495	-0.03204202928014893	-0.03755172036881732	-0.017528658261722785	-0.002560459215073807	0.02885652925074511	0.024771717967745688	-0.025479429676670273	-0.04565596004964312	0.01979826161972259	0.023543079655882426	0.047718106694922546
2.0	-0.05752462462896399	-0.06668734119565572	-0.10984955079584605	-0.10160690549934664	-0.10905260533403086	-0.10753347110729763	-0.0778072884702134	-0.06804822386081644	-0.08595570730857277	-0.08300919484961933	-0.07527511268144083	-0.08972925368280271	-0.04749601495302108	-0.07619097347044049	-0.058117520828374236	-0.02622230901856365	-0.03090549567792955	-0.0349451745552839	-0.010943936324692094	0.005689461418721675	-0.062917980497773	-0.016111082773605345	-0.08073022950739264	-0.06645262896014933	-0.022343785298909846	-0.037061895269671574	-0.041537070367559825	-0.02000983905283238	-0.03770229240925593	-0.028775617632688377	0.03996977866440099	0.024791738690899956	0.01994786967827733	0.00630740647647926	0.028505337297652367	0.04340540815809174	-0.007389399846256639	-0.05219049123424935	-0.04232130742640433	-0.016539169396822706	-0.021408846966415818	-0.0017474914817261489	0.018221390554095773	0.027036640228924824	0.008125253956808909	-0.01757585184680549	0.013636956555729718	0.020063200305249773	-0.006258225978509335	-0.037550651187790884	-0.03112635972251465	-0.002569323452466188	0.01355999960760551	-0.014788197717210572	0.0034488527782026712	0.029674200941512796	0.007296873652606062	-0.012107726394245955	0.004557147690071761	0.043545818004786074	-0.040075867782559504	-0.03166348245614842	-0.03971960135940139	-0.007667581094628451	0.011272118802938713	0.03073562573016675	-0.000823691865175058	0.010101339653173114	-0.0030606671608661706	-0.000976429632765341	0.015718593780335355	0.03107340276904408	-0.03201552731402907	-0.02453805483414684	-0.041104002094506153	-0.014244194135276833	0.018565640953398355	0.01126628428415205	-0.0038877875046306465	0.0195801301095061	-0.044392687673273645	-0.007261860399200237	0.0390267359048842	0.03619182881136207	-0.021325997809789998	-0.03519558889155888	-0.02125298532134201	-0.010103812231822051	0.004415205297415903	0.03513155543280588	0.05655405547323583	-8.98134590765487e-05	-0.04578042510458602	0.033525114773250764	0.023481743997558202	0.03583010779500029
2.25	-0.05509925851306324	-0.05754302192852548	-0.11722792888601952	-0.0965119885672332	-0.09164902197095251	-0.09476141335512742	-0.08963266186247676	-0.07577353709833387	-0.08117373427294666	-0.062294845485493494	-0.09323214306134181	-0.08919847210337375	-0.03951858948500203	-0.08159997327429147	-0.07438812835480768	-0.0300795757101171	-0.0022141232944227762	-0.02689997655274995	-0.006281962330902113	0.006927192825474104	-0.059136621891375474	0.0035976471459689408	-0.08881028250517606	-0.07556364824858566	-0.015075663838381992	-0.04181733146418137	-0.04951012445551767	-0.02635997660998335	-0.02859731882272415	-0.018936292076279115	0.006110146811612371	0.01842616004397163	0.02375537347672857	0.01028917075019431	0.009065670335039633	0.03108401165797381	-0.0008791283768660452	-0.0606368495048035	-0.0606458377182425	-0.011612512357908167	-0.015360109050219894	8.849404990668441e-05	0.006935668656919913	0.00933925169372879	0.0021028198316155877	0.0007404482616692465	-0.015298997696779726	-0.0026607381692607124	0.015700980210832605	-0.03753506810584484	-0.04625655572032594	-0.015464471884630626	0.009823258199522678	0.0018114364793774262	-0.014630836144421677	0.018010540168666045	0.015385935086132618	0.006650786039062273	-0.018576268005481955	0.01438645640260644	-0.02238880152845396	-0.05137448727917682	-0.04865940009270925	-0.02934129308255784	0.0072996777922286205	0.021749832867675845	-0.013493574364469463	0.0007720456712595469	-0.009380014605172127	0.007823802047699668	-0.017421626322984496	0.020129211146665993	-0.02569217304486837	-0.038805391173970916	-0.04892935966255868	-0.021392297505535562	0.0213214459533847	0.013525401472776422	-0.0229761806717651	0.0008901474028783496	-0.040910528693675674	0.0040425965073711545	0.009076015704527762	0.009343422183673178	-0.04351108560157246	-0.05734010477616405	-0.0500272821906394	-0.022065737187443757	-0.008090816830328751	0.04166064507559414	0.022963419503519433	-0.036461462118284105	-0.03927743053515492	0.03223529720959478	-0.009344689211932933	0.003764407423932248
