	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.1875464554704642	0.08158155795391894	0.05238595906939215	0.1338988954006997	0.156499475362084	0.20489096792831907	0.16864385572323687	0.17785536552702283	0.1033538844142665	0.220402054923014	0.13149038623452577	0.15394993986825783	0.20590639895441376	0.17377081237878966	0.16645400423668605	0.21994217339980135	0.15982045846663764	0.20635210390721692	0.21258675946282884	0.2382349434731405	0.21582828853530694	0.09218469933982901	0.07621047442283183	0.14865444575125591	0.2016801114419216	0.1714806583908633	0.16980027636024295	0.15831062900831017	0.1715580769220183	0.20222803531297234	0.19462449376262905	0.23577851746920725	0.1857838167004738	0.1186463784265234	0.1428607400912085	0.16330145889048556	0.2145002945133756	0.18748810741539967	0.21237074835233344	0.19651006206863675	0.18118730931431837	0.17126903631877566	0.1824813749653204	0.18278768334058465	0.1774458496943283	0.21620378485530006	0.16424518082811468	0.1978788390172661	0.21921981803616336	0.17113458089975025	0.18904902322199024	0.08468681574581105	0.07356672407292839	0.13608848662167683	0.16000726169638702	0.12422322509414106	0.1633009038939996	0.19231103359091242	0.1705025191687768	0.21216821348892595	0.1966082118352201	0.1666198017231314	0.12025057945578149	0.1988441870479769	0.16878248384005204	0.17700820601205797	0.17856309823750777	0.21079286430237132	0.16087645319139704	0.17605461791323523	0.17342814019429548	0.0794976435207757	0.21052475882677896	0.19776923648873826	0.15428331906699505	0.16841781805002148	0.15186921203914294	0.17851882162749322	0.18400118406408056	0.18454637132425816	0.14933513523594255	0.1702061746265907	0.08915436998121865	0.07474085346124376	0.19752603735788604	0.17182039851029854	0.13445223072113577	0.13153856084737314	0.16748792841975021	0.17139064637892898	0.19769184678307294	0.1792790358828647	0.1317529517653401	0.13679413078593108	0.08940745640362882	0.04228712640527503
15	0.1678237487607641	0.0834580288522156	0.06292598019545285	0.10576196834397403	0.1478039472064142	0.22677857959881692	0.17847823857822864	0.18838345443152246	0.13713668335591994	0.21662502722469779	0.14444951378547405	0.14456790222989468	0.21524467407380005	0.18924308926867328	0.20242886658760673	0.2196533771384859	0.15174655698416561	0.2316716992029753	0.2119697907180948	0.25475794821106756	0.2403155395224984	0.11448131411430798	0.09979225210478415	0.13877843431177334	0.17994889674761055	0.1590023381147255	0.1744585657967344	0.14981814845332114	0.16935883979898306	0.20086755660901012	0.20313240657605242	0.22349010724342705	0.20760788396368957	0.14064939870799317	0.12937107928316144	0.13719841599851323	0.19797416114384403	0.16031334058957858	0.19835670090829183	0.16967534350432834	0.1721966757822002	0.17259809665143305	0.18028241743332302	0.16557140155934813	0.17837774001567996	0.22171473101590122	0.1591436375201224	0.1782098404609209	0.20866391933467116	0.1803793476893532	0.1806294323773429	0.08625587113721214	0.0893146166075891	0.16248899089346205	0.17126891519926377	0.14773591880367	0.17812029600999088	0.21415018011998874	0.16297927682893876	0.1980967491638858	0.17813934354751992	0.15480178358208996	0.12442517820407095	0.17590398444981958	0.16113331935164638	0.1945015524922171	0.16956003010048282	0.19527954436448786	0.1578905220875093	0.17445703115782413	0.14612562399208578	0.053417352677262664	0.18871224134065445	0.19505637064004072	0.14325885463158805	0.14283482844760642	0.1607192466784967	0.1786782201798883	0.17571348867927394	0.1662932616501908	0.13987924415613645	0.16713470895993193	0.08039650018164679	0.035596361120544665	0.17793422738419004	0.17384530891807165	0.14207626174057222	0.12803019064791443	0.17250174303714935	0.177913528875618	0.1815629368419152	0.14484234939847032	0.1237974703402481	0.12150925667373047	0.07959321111163471	0.005209753796224924
30	0.17908016351525613	0.08829647053675665	0.08538985773384533	0.11771366256725481	0.15196196341417356	0.21333111503064756	0.154609050218329	0.19480515790936587	0.12387586101776552	0.22283774293874745	0.1239758367656846	0.09895699867867902	0.20921136851128086	0.1782473808707894	0.16319815920307812	0.22463962665506415	0.17954799827082302	0.2327089608967591	0.2145228398907832	0.22005016121068793	0.2205312481597381	0.1336256397213323	0.08580303473982934	0.12667191450348306	0.20434464397526186	0.1488550974345579	0.18044272352190416	0.1630686762106409	0.16493887744503682	0.20687752831632056	0.18106461664259177	0.21264121865908833	0.19682407693244378	0.14521326185407066	0.12317383684445704	0.13581898829108002	0.20876510494358513	0.17053546997596847	0.21099713799745184	0.19642423974021556	0.18567056190120151	0.19846484882751858	0.1608485512862158	0.15819724400547225	0.19341433555067056	0.2431628641744332	0.14679752174528352	0.1825605727442272	0.20840398062544488	0.16009179921575978	0.18079422261867878	0.08877451845630599	0.09914734618916922	0.15421331350799605	0.15181876176493223	0.11483405099653718	0.1658804000102742	0.20471032865594802	0.15630766572223045	0.19728903678020399	0.18450063266338318	0.13915515141536972	0.1396175875893028	0.19592810626657703	0.17322285516744768	0.19308184648044374	0.16285863119497285	0.1928513189822797	0.16368099922559298	0.1765604712186733	0.1608031090589721	0.058900962205038807	0.19119100841396364	0.19241676228729915	0.14739151397867084	0.1606480036576738	0.14435415929205517	0.17482547553538696	0.1228458345001348	0.15255012274803917	0.15848536892397033	0.17021012275952369	0.06254646430810301	0.03270827739196759	0.1634252262782638	0.15797763597488496	0.1429778385176256	0.12687346512164707	0.15387517998221284	0.18415468915510178	0.15781294135766932	0.14425911821807502	0.12696868314099963	0.13893720274345253	0.08313825470264519	0.022948647549709784
45	0.1520811457647769	0.06499119216461843	0.07847150420729736	0.10111663407241007	0.11338056915176112	0.19363189054102045	0.1652091195670824	0.18298426915675187	0.10469766100791955	0.20488486634437192	0.10991344460361764	0.1056512634933269	0.18244375099074106	0.15915049941141263	0.1517923480799836	0.21196693823642643	0.16901630181687843	0.20980543974165577	0.19859947945070638	0.23042277697060282	0.21379624273419912	0.08940370903816984	0.09923497914934684	0.13845685960113366	0.17229956001236307	0.13126928006547653	0.14708095935153082	0.14705352044162467	0.14595307074748218	0.16580019319566536	0.16747440490041476	0.18959300080922348	0.17873567798024487	0.10693764618036306	0.11662770136756377	0.1314139436583177	0.17863169764477163	0.14550311833148777	0.1755052226410418	0.1711463922793769	0.16389576941827072	0.18066663916723236	0.1714260268541805	0.15091206441936186	0.16749415418413244	0.2073927541997998	0.16085966949780311	0.1728705150302328	0.19148506482613628	0.1499992135328274	0.17173463893009458	0.07958396479442609	0.06902133168412214	0.10050523644727216	0.14118317023124738	0.09796609572262091	0.15747992893622148	0.16904431760482713	0.1612455452367481	0.18562198768119997	0.15744891145557405	0.13697105399960913	0.12251463821501787	0.16030611690309077	0.1614608942690123	0.15790710872702007	0.16538394152944114	0.18352972720303168	0.13018934172296664	0.15392050506145688	0.1455062263771041	0.057463938025273525	0.16611198937908236	0.1802386132999278	0.13046805814779663	0.1421184992136445	0.14573167853812186	0.1547828254455641	0.1608588738997372	0.14846354833447029	0.1386352545198684	0.14889008839168727	0.07100280825180533	0.05199408557222991	0.17019411873888884	0.13898628363532062	0.1284199142187319	0.12145156813316627	0.13714870052554692	0.1473210376224031	0.16868314340081958	0.1306780078189793	0.10912351721625799	0.10767794346050308	0.0721212984483954	0.013656199034271906
60	0.18784618197057013	0.09715542379021974	0.07083556292610524	0.09509869601564296	0.13646826078401075	0.19465670030940932	0.13584306953728115	0.17620866210639197	0.1142011803196154	0.22207235538208492	0.11296214879167338	0.07901422817152529	0.18700414873619164	0.17693274358296085	0.1540353222069452	0.22594119227328846	0.1726273636902133	0.21160963800902563	0.17974120755075781	0.23108355638921074	0.21525270735326518	0.10645413839068743	0.08629713211058115	0.12710198112365337	0.17961351523271785	0.1527737110595142	0.14831037646534243	0.15279869280375408	0.14252810233606003	0.15109087271537702	0.1724205986626382	0.20466100305723425	0.18891891780808293	0.11950078174486732	0.11772964152165435	0.14244856746049223	0.1892536263384209	0.14697206489951178	0.20330582437835398	0.16658187057042423	0.15904844912205046	0.16004353706950308	0.1659356038983319	0.152886302009957	0.18218835808817227	0.2135332426125077	0.1658299800368592	0.17776204031067105	0.18956187884100162	0.1512720118968851	0.17325086849966564	0.07618448747751871	0.08713900110230424	0.08924305740913382	0.14760142727334968	0.12548346341447086	0.1659658897662429	0.18978995812314314	0.15302820836616893	0.20781290996488028	0.1780851430428464	0.14397642608702615	0.1189377467686009	0.1747616387385097	0.1777277266579241	0.18572290132787336	0.16521927803827247	0.2106987142678305	0.14396657089977882	0.1709071217681684	0.17114246919851805	0.06145131179384255	0.17783955668682383	0.18628868964487022	0.1336271345634583	0.14368440093961315	0.155951977894204	0.14281594046343776	0.1536726280123857	0.16421482693457937	0.12021970817809499	0.15262284855698333	0.07985287703624692	0.032601557957628216	0.1716783931772305	0.15832846832383066	0.1278410021933977	0.1025353468425538	0.148847495275633	0.16807315272986195	0.15823397703219483	0.14737466265837523	0.11128060137804252	0.11285449576308042	0.07505528976373724	0.005899707911607053
75	0.17633618358765796	0.061086044707441466	0.09031346423744432	0.10679642240659934	0.13620458499571905	0.221784000864958	0.14486188127934496	0.19530030373005103	0.13506238021601266	0.22894486482784843	0.1164738440615912	0.12377471506180018	0.1899915875451907	0.1614009933882344	0.15925262400342116	0.21628473085577188	0.16426929497916642	0.2310822425853586	0.1898593560805641	0.19785625615491206	0.2171746946167482	0.09511539884181058	0.05889154835279082	0.1514388562125155	0.19941642858869152	0.14724256302620278	0.18494991223091967	0.13798745045784486	0.14885490357921954	0.20421890267148113	0.18214815253237737	0.205728996618845	0.18549291977114857	0.12722150972832616	0.10557394040330673	0.16079360880539942	0.16635084206360343	0.14150756354540484	0.22372446001608953	0.15992978789033963	0.16824394228931472	0.18945619784532647	0.14722290162569612	0.1275873880106233	0.17628245426087708	0.21821436620531123	0.14759182856814146	0.21454514424050636	0.1974840434341935	0.14245727863126323	0.19326214088737698	0.06922087644804166	0.07726853225385254	0.14039581247001715	0.14534998605828942	0.10325288034438837	0.18463905546689816	0.18725210731371672	0.1451790910295801	0.19500394350260236	0.17835283561804094	0.12927039018035572	0.11425769161803678	0.16284691852141692	0.15292594525685715	0.1938816769438329	0.1415785539032338	0.17053557876045872	0.14190979130846365	0.16374429956816133	0.14761970039406944	0.06917545374152508	0.170331435447353	0.16499506921376386	0.1442875319100274	0.13764713161860687	0.13696760145897247	0.17323430041823418	0.14117729967125753	0.14940056402653867	0.13623615468423644	0.14376996930294145	0.049764166843905645	0.040336309285735956	0.18256098188733952	0.13333801942663048	0.13301311733821108	0.11878425610719773	0.16405614145217737	0.17321768070075233	0.15253726294050313	0.13363201372446754	0.11649860053812774	0.10693226219142217	0.054594911651700634	0.015705672130757468
90	0.18504492149693538	0.10024195026808758	0.046868460398064804	0.12583927109722265	0.14662449438066574	0.20574602463774158	0.1813288884736244	0.17520634153768155	0.10098876362979992	0.23345840591504236	0.10627076429974405	0.11750604284733569	0.23389344422623368	0.1958265437369647	0.15206355624941342	0.24893138584959973	0.16725588224464372	0.1991705909678364	0.2217716980425268	0.21808963994645225	0.2155159195322432	0.10888953014124772	0.05569628629057912	0.11876187195401494	0.2161984081670173	0.1741714226320632	0.15703011017122998	0.15482660913736998	0.16107565932465195	0.174360885246478	0.21617860452952745	0.20322091657161037	0.1800017542383175	0.130677766661375	0.10557259820416942	0.16342602805248052	0.22498727529455348	0.1600872955234225	0.193438870210992	0.2073914550585947	0.169041502511028	0.15624482759290176	0.1868480486694824	0.12892568100447724	0.17182616170924941	0.23704791289500374	0.14743391864194638	0.19681619608710177	0.2153459868814163	0.16084685376615182	0.15089949720181994	0.09869889168710634	0.0810787837875751	0.1108222675755178	0.17382187189960652	0.08179151523943146	0.1864765152880391	0.21372136408193304	0.15807281831783604	0.2152063139781863	0.19141079649301285	0.15235812542289195	0.12005452279716783	0.20096448185879986	0.1678672665404195	0.1854892738593784	0.18767221085311536	0.18243740757361251	0.14611354316554143	0.1833730107317663	0.1395522512659485	0.06585911341198067	0.2155545219044399	0.19189789138552327	0.13250756775371592	0.15911813061578542	0.1524013630144915	0.14843246575684357	0.17907188076594416	0.14886990664722236	0.12633116771017305	0.16805890761664122	0.06619334663472906	0.052973821664479115	0.1988815978883929	0.15282690947371388	0.12341488549416849	0.1443253924635431	0.16793753594046268	0.16936925376228235	0.19376838579691583	0.12768497679169638	0.11072867844157261	0.1351420978415967	0.06285518033905341	0.039632418593395856
105	0.18508027685546624	0.09982195241992559	0.0455796119285482	0.11418523252741461	0.16628415330521634	0.18779210716501205	0.1785677243583976	0.16624322446718498	0.08792720611439223	0.23911333487185538	0.09155524895476339	0.10289551103806033	0.22853970000200946	0.21305356943773576	0.15653063346795915	0.25519010921370144	0.20590633447603734	0.2264274590324202	0.2240575165871732	0.2323967523765021	0.2287181789346791	0.11476664460986556	0.07287197147821124	0.1496159308544471	0.21349694385959245	0.18203209350568	0.162832196255145	0.14665188438568277	0.1871060974110301	0.17232097161387766	0.21906651566854424	0.21764981432065378	0.18794982255921133	0.13754350604913632	0.11355024810997423	0.15349635762883024	0.21787470385738858	0.1524116363712611	0.191888061020441	0.2063245962841172	0.18595273602443407	0.17343400636406403	0.19966518942761138	0.1438855114122155	0.17788620899734073	0.22601084609691574	0.15126117880372392	0.2041423579029541	0.20379679658976518	0.16155342722622634	0.16630927027429782	0.09728936202053631	0.09633180600221541	0.11722771828426212	0.1844055178244955	0.10253392761607127	0.20520594269383183	0.22370235016808393	0.16409652472720843	0.22183657227446918	0.2029193251404952	0.15503359012603796	0.10719213544965897	0.17360311837457026	0.17806897742621902	0.17830108792573768	0.1958418740732828	0.19410189322223184	0.11603685991310908	0.1883400275732707	0.15377988472149956	0.07354580532296129	0.19309309376825307	0.18550314014327712	0.13375490512431498	0.15658791710554848	0.14236520493261423	0.156355179965399	0.18142986293983238	0.16667998018691532	0.12947259094746685	0.17149142516679888	0.044826123493360896	0.03943657728258407	0.18791273808274622	0.15797502207227176	0.12010792466921774	0.0881935248602736	0.16470882249729357	0.1536833250814521	0.1939881044496706	0.14387411180541682	0.12144987642402269	0.1587987418573762	0.04892121524496021	0.008179044244936335
120	0.18001688163265792	0.06725831786964001	0.07684427428077091	0.10490969258228108	0.13538898737265728	0.21507047743503072	0.15614534288585746	0.17987876512068607	0.13096035878585005	0.23173331287917337	0.09847072242619065	0.1209548271329638	0.21311677636148474	0.1831341124506305	0.18056710332582318	0.24155923037957192	0.19319892895370427	0.2265768989160312	0.1957821504242654	0.23022893009785625	0.24454811341492128	0.10084534994309408	0.07275414981168002	0.13765325209755572	0.20290178313431828	0.16808064486491398	0.19767368986654332	0.14609265585795717	0.17482892534199784	0.2155336057049748	0.19448798452534077	0.2184250379063552	0.20722188528036092	0.13878838585979275	0.12230246441996134	0.1728151527248225	0.19994933181069435	0.15034616198726328	0.21956469738450618	0.1928345642826464	0.17820149854469913	0.1967887939288897	0.1801573318416701	0.14472952255718693	0.18648747753865308	0.24066865948718452	0.17087165745509042	0.22213105908907546	0.21385482269405315	0.14374661052723747	0.18949932139988845	0.06851887918297789	0.0698060449493359	0.16789750583749413	0.1436575361832894	0.10939611381035352	0.20943542841645296	0.21996935729802797	0.17345913460350165	0.24197171816386975	0.20206413791354533	0.16150024153623654	0.1418494104035291	0.1919525218224034	0.168451216999868	0.2260422920669578	0.18338532328619123	0.20634567575554283	0.14928867089519343	0.18509445663482782	0.17687713980011194	0.0741996144461278	0.213738127031247	0.17629979868055612	0.1545265880180967	0.12525210097561368	0.16730903435958175	0.19434420925158385	0.16976073189094606	0.1740082480004105	0.13393687898949916	0.17552704944978526	0.06662795475245467	0.04694293618467049	0.18848541769332416	0.14977725328367567	0.12705525000544107	0.12240475408005026	0.1772603353450367	0.2003041879145458	0.18472435985220323	0.15090359518250013	0.1462526448495553	0.15219049980584076	0.06837568652254375	0.02592159313603233
135	0.19214043126091998	0.08097605064850943	0.0433841920174502	0.09218838016890263	0.16830674378109217	0.20435421580659963	0.12006805687654354	0.20221728274230671	0.12903387619881737	0.20599962097711055	0.12040574720089961	0.12366322081128488	0.23859044403048202	0.22304454654957728	0.15913102158124137	0.2566870796425583	0.2549281509629905	0.21871061116111956	0.21058434784668917	0.2509473126513036	0.24544168237075004	0.1032168995237123	0.09503104793690874	0.16295354234384568	0.20708089897165566	0.16920053157474238	0.1538338661843625	0.13042104787988903	0.18466055430261874	0.191167143371266	0.18761420840598603	0.24831522825618763	0.19282271058849937	0.12815273061126076	0.11900372986539562	0.16952138590529242	0.22391336999236594	0.159912798941442	0.19247721988105942	0.19560748000116493	0.19844401742454598	0.18573054694776825	0.17113957341034403	0.178662649104201	0.19339817606134374	0.21126493116815961	0.1821713320505171	0.21467044725446474	0.22479018758331148	0.15849037884667774	0.16708918402648282	0.07943797696128252	0.11745191464049079	0.13428882119926805	0.1496535938306793	0.128688288373053	0.20617342916436138	0.20486440464448508	0.1839455688048098	0.23531010620736087	0.22880630047106312	0.16688705419649635	0.11869556095951286	0.18129960407325796	0.19848705776979347	0.1882997581669464	0.16231895602359342	0.23838468237233496	0.13298175455113118	0.161763159253525	0.19622889623265488	0.06788365243439401	0.23301495072862558	0.20489167597770228	0.13857007762344034	0.13695121836585225	0.17511147221051687	0.1790500702792421	0.1614216376729115	0.20655341077329614	0.13201559299573865	0.17346938570895606	0.07625082265958985	0.05308792062545302	0.21644515433785327	0.15426190135549872	0.12105840097665084	0.1058660920053896	0.18314453889128712	0.1681258510196863	0.18846609726687008	0.17614030658676116	0.1286946223699041	0.12458643756848453	0.07492850843552715	0.01984089451188284
