	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	0.030164972446553084	-0.0674807523264084	-0.04846202064451738	-0.04535981618035784	-0.07468062474023385	-0.046164401296916735	-0.06262213769621888	0.0074289997950849895	-0.02647451220810987	-0.026767203004268603	-0.005456909265625587	-0.026900635612937485	-0.007050364047528401	-0.04606345035828757	-0.054064066463615335	-0.0266664516756579	-0.022534221098022056	-0.011916675334928462	-0.017298802120769396	0.006845537569874105	0.0240174008889536	-0.015573020001861837	-0.039928154233869306	-0.02318917800485426	-0.03363979863242467	-0.03999577875690219	-0.04745601022175394	-0.029118784968337474	-0.023381683215092264	0.007654744723345708	-0.015349434256693995	0.00721387719019928	0.026094468132929483	-0.04180472473689173	-0.029179174635111993	0.004315159052486972	-0.028608764802575626	-0.04405618294985225	-0.04446720786546865	-0.027001566064353	-0.02832834669329204	-0.03166758072224446	-0.025454216138673047	-0.027049946421940085	0.010228103252484577	-0.00461049257183227	0.0021708390722853244	0.020426365991859097	-0.03523641213728024	-0.06036943206584691	-0.03631658869778176	-0.07479703273718413	-0.06552215436536052	-0.03645544971136089	-0.013591673600069187	-0.035456786160664944	-0.021803089694051536	-0.013818130560683428	0.006194994284201338	-0.009910287331726386	-0.03569542841343143	-0.06608876922629023	-0.05651223560133217	-0.04508903138655351	-0.031050529106094016	-0.015601913149646873	-0.03053793288520007	0.015939990891873035	-0.008526978742698477	-0.00834918560997916	0.010944154923546279	-0.029435975373105494	-0.031428431386874456	-0.062066336398165306	-0.06020971025187419	-0.028603867105945924	-0.034718295763898954	0.01060923910883177	-0.019381725873302225	0.005867093512614552	-0.002578364818114187	-0.009669658369220735	-0.040154190704574544	-0.04258820309535599	-0.032512764817849205	-0.05550571044776373	-0.049252448094219914	-0.02860493007025927	-0.02974117789369768	-0.015591059010744646	-0.015060621909333272	-0.0185758936412036	-0.0160345833573578	-0.02407430703596014	-0.020049444611495715	-0.024507828511793672
0.25	0.05482222647630436	-0.062287043302128364	-0.05078547017211338	-0.062373261390118784	-0.05970436962806008	-0.040971126549418535	-0.06327756196160036	-0.0012729886637347088	-0.03525791022701702	-0.0372146002842797	-0.026916860906124607	-0.022182723378029123	-0.006742354820195973	-0.04441701436674805	-0.044402628253996934	-0.023927355935805306	-0.017115209571836654	0.0018886059132307564	0.0029932492627087193	0.006748986908127308	0.024077514195384453	0.0008985776376374544	-0.04420788672802456	-0.02329669629892689	-0.010065847397520367	-0.050173694341705044	-0.048693383254015954	-0.05654998832709157	-0.029895396101453864	0.009412430536996086	0.00637342631311566	0.018628931077693922	0.027992330309548452	-0.046045800961540484	-0.02205421069249791	-0.011677305530923499	-0.03575677897581214	-0.04908259393454695	-0.05846661751235732	-0.046228200281508924	-0.03716859558976998	-0.023838101885353236	0.0029473129563624134	-0.016702195262509267	-0.007089412924226213	-0.02293667315974396	-0.0071481673057753325	-0.0044186196878319706	-0.01745545623411565	-0.06362336977879601	-0.04287281022917183	-0.07801433106337674	-0.0740591901416433	-0.04685153162138761	-0.004993576254724519	-0.016033344851681064	-0.0168752311182766	-0.0031528873945921854	0.01871497671254635	0.0005185791339586965	-0.057331493178865184	-0.07603899928015723	-0.07415363838723077	-0.05108293769637867	-0.0564889601422679	-0.02649373848769193	-0.02319711568933497	0.007388503567561655	-0.01375669647089256	-0.02066386861678038	0.008527761748489404	-0.033060854089552394	-0.048598927041959894	-0.06754085845114774	-0.06302461340996002	-0.04025489012746486	-0.04096727089769586	0.00929763108463294	-0.006285889120163757	-0.01577269062012937	-0.004733517170952051	-0.011796376230026606	-0.04420081855829783	-0.0390015672835623	-0.050829613014945985	-0.054273737170489805	-0.07021408838558177	-0.0499134504321187	-0.03581419437188943	-0.005367551736443432	-0.015085554888228658	-0.023243647351389063	-0.036560094596659765	-0.01918692825106133	-0.011800703090246223	-0.029236248116576102
0.5	0.04350157880779659	-0.04995049126301182	-0.06249272629696517	-0.06149054754723021	-0.07905392946655693	-0.051745617089522966	-0.04415358335551145	0.009126568267506463	-0.01882769818654212	-0.030246971235053266	-0.007709741644861268	-0.01865198950522895	-0.004188745523870274	-0.0433213985911296	-0.040352183406499376	-0.02333395123075538	-0.00880761557794546	-0.0010072632712344598	0.0028133857706159615	0.02187652064922896	0.019786818502332826	-0.028690940658286812	-0.0381589570790663	-0.030677852202511513	-0.028288578235635187	-0.037670964820970376	-0.05029798114922612	-0.0397316518939852	-0.031782001960543205	-0.0001960910827296103	-0.010573762964621425	0.021890370256765268	0.013014099667331802	-0.056033607380590295	-0.00867851659040847	0.009163000813189437	-0.023531093957905758	-0.04648796003220418	-0.04402708663267163	-0.03740914562401371	-0.014672696421466569	-0.022233781553969212	-0.0035701487148988575	-0.010619112859818536	0.007029263357175797	-0.023191004728294107	0.009881452022605763	0.0243003955169937	-0.02755339465939316	-0.05904954961385042	-0.056325722751913304	-0.07950990580103434	-0.07051122617762959	-0.04820700519606569	-0.018416415210286974	-0.02757085365543782	-0.018817468290971806	-0.02824439298023984	0.01044529457322324	0.0016875618325659092	-0.04751873183544342	-0.0651656587691001	-0.06899637784708304	-0.05236731880070894	-0.03719176322185963	-0.027314602581658576	-0.004018155426381176	0.009994197221929901	-0.018797222253152723	-0.029269878229610524	0.020077516370195503	-0.027516617388466946	-0.05026104417256788	-0.06790826685439075	-0.0627060161847218	-0.04745675570085195	-0.03731488289188034	-0.002908473560677527	-0.017992409861614767	0.0033364700595758245	-0.009599403348110491	-0.019239234341690226	-0.03936397046583673	-0.035556736280381473	-0.04140892143285202	-0.05680210049444623	-0.055464226309975606	-0.03845892891912489	-0.02726898022317359	-0.016179033944615617	-0.012761754690454374	-0.020625858131723906	-0.02077758709217642	-0.025190982976201814	-0.008722490327431276	-0.022878351337543124
0.75	0.019582015563605226	-0.07658981081771685	-0.0762982192118642	-0.07321587254633741	-0.07050289306340615	-0.0457490201706382	-0.09051619943212927	-0.03340341895599991	-0.04085292317286182	-0.029194457857835532	-0.030596439932881025	-0.05762278030592699	-0.0011549817669632145	-0.05145292521103351	-0.06580132377571155	-0.030237514076549732	-0.01965290460033081	-0.0026384283160570954	-0.027220271988271816	-0.017544158417385658	0.018609103907609337	-0.003559619727576402	-0.04628197716582472	-0.02894394170798853	-0.05618428038433507	-0.06480958240982929	-0.0726040134138626	-0.05251558150232227	-0.021484164524179117	-0.02124095325521258	-0.024452453907805094	-0.0272855502606561	-0.013147930399622698	-0.06242815433416293	-0.039397968066251454	-0.025190754331679166	-0.03543967531026071	-0.07191396578055542	-0.06445183278489272	-0.05138505378825259	-0.023864578185546714	-0.03218532393876972	-0.025703854269772897	-0.035546999554110836	-0.005196123853383305	-0.014509748798386679	-0.0017908221697245374	0.00022220562861496873	-0.05168984384790082	-0.0745042609650827	-0.06835481266340215	-0.08862954108161777	-0.08296744657070348	-0.04446180506028519	-0.0378471344337275	-0.05616403909565443	-0.03020169951064655	-0.01786324699653713	-0.004954919970114158	-0.01782349827274049	-0.04768185952449877	-0.08168190786546492	-0.0810135400612162	-0.0567761762001332	-0.049830164830694135	-0.024653872593214	-0.04009750006145024	0.0023607178164241627	-0.03397255484547723	-0.015240658504503957	0.009920743379061348	-0.052518574597285705	-0.044064567995597215	-0.0753097258036288	-0.07485885087743974	-0.04143397632283946	-0.04612190672771699	0.005525791017900017	-0.0211615879432539	-0.02333517419198511	-0.003467887171088868	-0.015060638332066278	-0.03829941141046361	-0.04796738400115802	-0.049953524804602245	-0.06558370712035796	-0.0760500013476624	-0.046773685277569366	-0.02594524900520173	-0.025430295421368154	-0.021981887105475495	-0.04369153392055036	-0.03248249871610387	-0.023047534566000116	-0.01504094248992488	-0.03554666946168411
1.0	0.02768120441378491	-0.06584160729206626	-0.07212409412130244	-0.07657750420808168	-0.08349098124193713	-0.053949211167071576	-0.06384914092654428	-0.040292599052060674	-0.029363678716825492	-0.031472274231794606	-0.03502480192838986	-0.03480121334689501	-0.01750995586342774	-0.06581170360457123	-0.05816061191747793	-0.03758846304489005	-0.0257010634841644	-0.015247909924954284	-0.025901508816036867	-0.012348443469643311	0.007228096035705844	-0.014841910645062073	-0.05764153088308646	-0.0376471962902038	-0.0382115915753215	-0.06539005383013108	-0.06730378948099791	-0.05026679751730184	-0.04254817991796234	-0.005870445666920798	-0.024360812891720873	-0.022840125942290068	0.014579219210952732	-0.05809785943374096	-0.034834726356616996	-0.016882188893102335	-0.04071206714226672	-0.06778607036837911	-0.061298490634831476	-0.04940304275948221	-0.022080200759269808	-0.02964283880163021	-0.032689990286791926	-0.03585721092518146	-0.010508172823706585	-0.027853956293888205	-0.009555613883375669	-0.014143911567110645	-0.04009479676949651	-0.0766629520905249	-0.06875642231981499	-0.08311301488431899	-0.07388034867988333	-0.050704474068085426	-0.026875000009236427	-0.047523711081228937	-0.014381420183311011	-0.014921418535899122	0.003162749809832277	-0.011288369536184506	-0.05680756715269919	-0.0794436076167716	-0.0789080590328183	-0.05792753296521852	-0.050936884245229075	-0.021522310207589435	-0.04799147341978227	0.006385602486903008	-0.015363427836444954	0.00310749607759786	0.003951701594621104	-0.04815442466436326	-0.05578214405265827	-0.08244378463063007	-0.07654383246058394	-0.04907881676849635	-0.04491372289661105	-0.011258584934220273	-0.03205865697446614	-0.020492585754340653	-0.00255245419412653	-0.008934753064434697	-0.048246195281826776	-0.05097595300291419	-0.05163224338940964	-0.07524371216655742	-0.06621260428803327	-0.04987798900999674	-0.04230741681773342	-0.03297508214786582	-0.04211020460392578	-0.04382526835146627	-0.026952678407622832	-0.023699309004249214	-0.024720002945059827	-0.047293195839628155
1.25	0.035278143815248464	-0.055155510257916845	-0.06560175297057247	-0.06336300004063714	-0.07434172618497698	-0.03198008405022135	-0.0648274522567937	-0.004030708280422901	-0.012128162475152082	-0.029075011791196537	-0.02387598604264829	-0.020595049803014798	-0.0346952703583589	-0.06960486410389533	-0.06759979169111915	-0.04919605330759841	-0.0494118241158355	-0.012260982407654997	-0.020643803413623374	-0.000878888278774137	0.016213929986478415	-0.027731286687583734	-0.06243197534463282	-0.03221149361498998	-0.028443735066275566	-0.058859442749716356	-0.05376978949585748	-0.041566399976643464	-0.03532616986195608	0.024516833343794786	-0.025470585262189205	-0.004524553974298073	0.02385693922773635	-0.0633543388719491	-0.03190377041343362	-0.005977195513764966	-0.05851229528117252	-0.06024695384649162	-0.057975182063894015	-0.052524760586463604	-0.0428047023783637	-0.022078201190319224	-0.025431198900346785	-0.02947949005693462	0.00934441381156631	-0.03046899121392882	-0.011779441141690716	-0.01044245480599415	-0.046610498337468664	-0.07727232938237871	-0.05636101883926062	-0.08683451334017961	-0.08244246651000761	-0.036937173066452	-0.04421817214458601	-0.04081021843743482	0.0003365766573663054	-0.024905297336190013	-0.000662050842889117	0.01422114394706081	-0.05029028325919804	-0.07897907146351005	-0.08588117637787776	-0.06828448915187443	-0.06116111640070376	-0.025630869719218574	-0.034326142404225046	0.006114518000380431	-0.031063847212958184	-0.02818194117277728	0.0020684293691513034	-0.03670171894009083	-0.049175603229057896	-0.0780825358370986	-0.0691525729328332	-0.06355143193854554	-0.05876294486511377	-0.005425359095015181	-0.02580747036813985	-0.01603488061412517	0.0012097614960484004	-0.025697299389554396	-0.03663057872184333	-0.0524960448578759	-0.046857027355612924	-0.0727289677653492	-0.06566178670192752	-0.0470713752193499	-0.04974224917202169	-0.022532599621228167	-0.03397697334874439	-0.0242500140838543	-0.014099078439844814	-0.03461501357726754	-0.018278693729759266	-0.03038570943230884
1.5	0.049015602797311764	-0.07183596224079972	-0.06502478112241294	-0.06110460088889366	-0.08170930206863686	-0.046931951462147625	-0.05941669385875914	-0.008787261790538625	-0.022784461898417208	-0.02299837371077218	-0.015420608903372046	-0.038296341329892736	-0.02829712185615102	-0.05238034845020639	-0.04971158185908903	-0.034961295181662855	-0.04123267107012424	-0.005816483839618136	-0.03772437756876512	0.007968381311979633	0.03595315648467523	-0.02555365567633361	-0.03170929472947376	-0.04491440634926769	-0.04463573584260161	-0.06653274303116205	-0.05949228022385286	-0.05342591909391853	-0.05109499364373138	-0.0017846704868859087	-0.03375464957641927	0.011057474017150626	0.020181953661910057	-0.057462210295840394	-0.011698236202494772	-0.016902421246585808	-0.04986028663224473	-0.06112878115951728	-0.06489564112243193	-0.05636306218792894	-0.05081711497341934	-0.04455288926063611	-0.043328653537034245	-0.02279356001397509	-0.004818720692172651	-0.02911101549861622	0.00635402441883981	-0.0043110063675698695	-0.04740003875373161	-0.0762454834253449	-0.06096382693782812	-0.09406053682389029	-0.0881987662267329	-0.05319317041268745	-0.043372507344930034	-0.03801993239364593	-0.008636335310138687	-0.01949624701940539	0.0041579421330004696	-0.0012158411725805562	-0.03707404886007698	-0.06889874592440012	-0.08053782823576613	-0.061474687475486345	-0.055316579708332564	-0.017618135929411194	-0.04533192417509341	0.017532765132201977	-0.029444261016049245	-0.013358374011219698	0.017219910970916574	-0.043921842182159665	-0.043099262439308395	-0.08225911419832962	-0.06838889302743856	-0.048872556690239544	-0.04423872903636439	-0.006681670406632534	-0.020610172937295168	0.00883607776137002	-0.007005150455952902	-0.020776095253869586	-0.03091939001401106	-0.05745508208523237	-0.02767705454116315	-0.06068344350444718	-0.06646036971441072	-0.04056513289049285	-0.027020588686274438	-0.02697254267075999	-0.026131205619475795	-0.023634508128185683	-0.02016975193730125	-0.028304303579443968	-0.000663100439726616	-0.03960836923359601
1.75	0.023536021972057675	-0.0646079166807138	-0.06822362429848391	-0.06553008119638004	-0.08792922607139733	-0.062147647941491524	-0.06782082496190708	-0.021697761519225534	-0.007842319935237207	-0.04081869106395214	-0.017403101940793697	-0.03706825971127148	-0.013658896672434473	-0.025280935797891813	-0.05766481208076665	-0.02333110585686521	-0.039769744997390555	-0.014987586230326144	-0.01831601394438853	0.0012649100253770418	0.04036881367308487	-0.012257640238151346	-0.03387255773340542	-0.03610698213540009	-0.04320901179737063	-0.051286685192812154	-0.059013729933564685	-0.04266162317515776	-0.04165149052903805	0.009634104206856287	-0.028743708192732698	0.0032295598052748953	0.022316326545339826	-0.0675999582377827	-0.019057330631660818	-0.008616706250758721	-0.037543912278078906	-0.062288464237918534	-0.05846341179460002	-0.0484711315992471	-0.03556650636260256	-0.021437833142002538	-0.03593279346350692	-0.03305292050266401	0.002960170061049927	-0.030379630744904462	-0.0025558254833566996	-0.004659385728349896	-0.047799260179223535	-0.07781879885005824	-0.06763376988029945	-0.08683570393379011	-0.08931930831650661	-0.04953651799039166	-0.03519622673508721	-0.05036093984528445	-0.002256137536136571	-0.02456193577991278	0.011921901308302674	-0.017432148568292727	-0.029137687592338812	-0.07564987562257569	-0.08052434655319651	-0.05848036981847182	-0.06344024180663163	-0.01991813971599843	-0.03456201081508292	0.009730024448067642	-0.016415428014301958	-0.02963706303624808	0.009501540706819966	-0.04580555158534583	-0.028343557774787698	-0.0819163847281344	-0.08233124400240169	-0.058205179197732354	-0.058967343539090195	-0.013516374502244188	-0.030625766499803586	-0.009192993083545764	0.004251478552922572	-0.03666540672698737	-0.0466637879512552	-0.059588865554858345	-0.029263272274978158	-0.06994709734572144	-0.06750197030826094	-0.05049260022825136	-0.037568560729180245	-0.03260408026687489	-0.023693316905706252	-0.03483220410608201	-0.0025287560886094185	-0.024251523610093195	-0.024499117575769336	-0.052409233628109675
2.0	0.03361106361221178	-0.07205686787595814	-0.06441936399004888	-0.06568384381817072	-0.07108430843567987	-0.05660368294389764	-0.06605403027013859	-0.03089263717680485	-0.026488214766615725	-0.0224487257142853	-0.03084859680317914	-0.028222096660015572	-0.03685956854474981	-0.045514180506336765	-0.049952410612517484	-0.01765902350652887	-0.02465254190893218	-0.010305049937885169	-0.03131004374680413	0.0019471972044403651	0.047112690803727875	-0.01955315819910375	-0.06037758087665418	-0.038643692939668794	-0.05482253196176512	-0.06180497260579709	-0.06349738424927462	-0.05386556425319511	-0.03577781833940763	0.01668066080692776	-0.031181455001387748	0.017009564083445672	0.022204174944917277	-0.061594912329903245	-0.037188209771069236	-0.014448824738774346	-0.05108558954301301	-0.0658116316233128	-0.04606817492152743	-0.05859831554396161	-0.03596227759155263	-0.022160523967163837	-0.027802206869847856	-0.01064952418794185	0.01094577324597018	-0.021295665513712758	0.005918967132863717	-0.00579793784605831	-0.05693444678526388	-0.06840418751161545	-0.057257291734534255	-0.10940480355887866	-0.07673772056505138	-0.049277304194680405	-0.03377976997408633	-0.04591987271503167	0.01948879326051267	-0.016020153561377704	0.008470279104847822	0.0020488664119551747	-0.017608948087544374	-0.07986505931627202	-0.07008421587110022	-0.06446619390755756	-0.041569375226342464	-0.015494517367006688	-0.043809874358906764	0.027002278827985893	-0.010734584410729997	-0.023292033326771988	0.008503765767132465	-0.035222718090000216	-0.016880737609160812	-0.07613097884520634	-0.071667235638634	-0.07145423542970447	-0.040600613963499455	-0.014797444274150195	-0.023854220107268398	0.0031505790026513103	-0.013373525538049769	-0.02560585149131056	-0.04895873195959488	-0.05388765738891782	-0.014019946134004702	-0.06478661244937528	-0.06999162251131644	-0.04615194726607191	-0.03878871111710208	-0.028117293189480363	-0.02911228246694686	-0.025486383544743196	0.02339132447279041	-0.02006281085187367	-0.01591683676120742	-0.03622581989119161
2.25	0.01772426595420723	-0.07533124006224065	-0.0665390941562693	-0.07215700162813393	-0.0822975120797699	-0.057329447943889805	-0.05053025698471125	-0.030868575107421914	-0.01613718546893822	-0.02636629166101706	-0.03039163492522784	-0.03764690060693049	-0.025984632976942146	-0.02939274150828819	-0.040107491314591515	-0.005964516830894717	-0.013665209342702545	0.0066769137448476346	-0.02064221220660095	0.017042013981621196	0.05653468540044754	-0.0204338746189629	-0.06115665869059825	-0.023017519834926614	-0.0523052082001601	-0.05882207720914234	-0.05692204233145093	-0.054363179990230215	-0.053575836687341394	0.023444607582780053	-0.01579927983351731	0.005161403734201708	0.016813786949450515	-0.05362907014073609	-0.05076414177053501	-0.01270995418679699	-0.06863282203380272	-0.06889280422978517	-0.056477201789463055	-0.04009503553540944	-0.03043256777097697	-0.014510063473334167	-0.019468747966072897	-0.031553474232090484	-0.001908879569135824	-0.004753338171513077	-0.014164662602386136	0.006520177577309938	-0.055143006044401754	-0.0765287631722707	-0.06560305127415147	-0.09739321092892428	-0.08521059347373028	-0.044997219809431	-0.03829903495378045	-0.047494214486689834	0.015724378668792838	-0.010582214952088997	0.007876847111961294	0.008344519787037152	-0.0018778911749440241	-0.09073021554445643	-0.07788565597953495	-0.06072657946002366	-0.055191413419937746	-0.03191658897921218	-0.037806168105843585	0.020100612010536978	-0.017030940175347065	-0.03575063396523337	-0.002383854632405924	-0.044211082199846596	-0.0005502694598950586	-0.08779364966448386	-0.06810688001288814	-0.05303291911004171	-0.037963036014952545	-0.008957150903803945	-0.015202639424376552	0.020440134211387462	0.00954133873589963	-0.02225134035580989	-0.04755325462537807	-0.04604746292183226	-0.008947369602582245	-0.06404129624546573	-0.06762382079830095	-0.05220515567739359	-0.03812794348337978	-0.024106037074735243	-0.008760231470298085	-0.024738532679537184	0.023850902938566787	-0.013621887200289617	-0.027521893543893228	-0.040267146141959254
