	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.111293231703298	0.08882693240446918	0.008381731374217527	0.0014066915574124427	0.0	0.0	0.0012739939482778462	0.0066365182233794435	0.00308997486644019	0.016212581782180727	0.01994927299613107	0.05471483224338697	0.13033669878194737	0.08472491882051697	0.13736042754846378	0.10627219082815338	0.14357940536076613	0.10669316223559418	0.08314174840480143	0.11976048080499387	0.12609060714490355	0.11761631106759657	0.1278473189559884	0.03969683227787112	0.15381750100886613	0.12183522663649937	0.1110713739767706	0.12942412642127463	0.1450283990327919	0.1301259243500233	0.07161310962464681	0.13676641133125036	0.1537833040647028	0.13029057867726143	0.16031072370349347	0.052908435034289866	0.16218736397022188	0.14616004206792202	0.13439530659936935	0.15164057705296996	0.1329803470118865	0.14807102708334896	0.10019846016432404	0.14766017449656155	0.17930474695138032	0.16609929392281017	0.18618065777652498	0.040456038359097155	0.16727228129135313	0.14725512210664526	0.18487966852213245	0.18320575755291685	0.17384397362842782	0.1580639937398824	0.1306139011205395	0.15761378163175527	0.1792512943687285	0.18176482586499748	0.19540751473441192	0.06484684079655746	0.19709986578231908	0.22406576981988752	0.21511995474358026	0.22376330821500257	0.2067815644830154	0.16981755343297417	0.17913849537802143	0.20838145200247063	0.23318471122819373	0.22511346827265072	0.2308806684529055	0.11067632687075124	0.21698942293733092	0.23280971053174931	0.18150049773310364	0.21529864297606816	0.17501540344840294	0.17382295819044835	0.17285963108337288	0.21534113932842022	0.21304556961491755	0.23678942584550527	0.07772546782413503	0.11701792659835297	0.21514325992101563	0.23277334100087932	0.235997791338452	0.2583091710352676	0.18599675504513286	0.18028960701377014	0.1860624238837223	0.24050466648696545	0.23662709943024685	0.24409002214471348	0.10439722878315244	0.12632748573715208
15	0.1023827083791441	0.05781039016309662	0.002110154121979309	0.0	0.0	0.00028282506544007144	0.0007073827821162417	0.003689246788292811	0.0005658902367489826	0.015568582094142854	0.015801472373654903	0.031094380198417645	0.11200893487200783	0.08051066370549725	0.13576262288732263	0.14723008544421484	0.14908347833480606	0.09685640753399852	0.10441965304420035	0.1296709746685668	0.10073435548357038	0.1346555423180109	0.1486021568836951	0.017889584572153533	0.1345653461890829	0.1162171454495837	0.10156317995440498	0.14592169387250217	0.13584325727070906	0.11615579233593001	0.09740609122515717	0.11742766349106658	0.10257031012107187	0.13496111874643618	0.15679836523328516	0.017998055387388034	0.15732920137481438	0.12967397585740553	0.13964865731628195	0.17190463616690077	0.1550326648735289	0.13818362498764628	0.13536942574918787	0.1589545031455671	0.16069906495103498	0.19565271760535252	0.1889926006652985	0.044224310805518724	0.1652902891873831	0.15283253653807977	0.16093552603057037	0.18784241991150213	0.17475330848574622	0.159137438389978	0.1446290072053262	0.16942115182342632	0.17280803982345155	0.2085647122639519	0.18152921177229575	0.0894123902959223	0.19602961655816123	0.2115296113204124	0.215326646592096	0.23066706539844234	0.19267018322062313	0.1872922564954308	0.19731064529475506	0.20271200273118933	0.20045558742814368	0.22307125978599723	0.21669644736008603	0.11117269983905959	0.22198397095959116	0.23258589375544647	0.19591442403241388	0.2198904626147175	0.2155394819773817	0.17741125965681304	0.1972872221208693	0.20626092582289002	0.1962526022900012	0.23790494058060874	0.09179884581506287	0.10100235321596268	0.21691775610410396	0.24356517081221785	0.25914418528746863	0.23829282211809635	0.22209033877425444	0.20914568665534672	0.23755290111505523	0.24153739293397583	0.23207662741630627	0.26063007845364605	0.11568024349827401	0.1302590072760499
30	0.10152990885507948	0.06306028994049004	0.008930642449838096	0.0006999192565693632	0.0014160480788060056	0.00014141253272003572	0.007065274982080076	0.003809575891978719	0.0007075430112691084	0.0032511472273412108	0.03326348074213421	0.050827482236162125	0.1161350911728267	0.10484314279987614	0.12702396281382825	0.11638476628851185	0.13640895075722456	0.09552678981803206	0.10519076698400434	0.11522029603559097	0.10841936225548027	0.1120976539109601	0.15350990594788366	0.02752405345532509	0.12280824599943016	0.1106255051164137	0.11355838175642087	0.10989431593227347	0.1333666991819732	0.11565309262771804	0.05774716869995555	0.09934407859091149	0.1128613041831953	0.10136384671245326	0.14879768186143066	0.04569396746977651	0.12478695344991514	0.11888483622539439	0.11480759928371392	0.14854029212484543	0.14553149665144166	0.15370369679489057	0.10509952765435326	0.14830107458239922	0.16240977960071076	0.15240860047625357	0.16061678710712501	0.07182006541289081	0.1490463675124721	0.13977543776099793	0.16460512869104998	0.1700017806565452	0.1415181012451172	0.17362762406210147	0.10965223574499115	0.1601891597578115	0.17031560008266242	0.1676882455571597	0.1734082942823713	0.12179274037380088	0.1818887586239439	0.17919991988131176	0.19424006559568385	0.20358114178831527	0.17397417509714683	0.15950637965516198	0.16691369504098041	0.19446119583245852	0.18169852742985293	0.18728808903665206	0.18646093393265425	0.12160882207867482	0.20695841379861202	0.22782393525243738	0.21455116979817995	0.20988841597351404	0.2153908937118616	0.19953229222691138	0.16871876621990192	0.1998057244347661	0.2244736421524282	0.18137741445047662	0.09229330042450193	0.12866906646726525	0.21044519937703485	0.22159380041346807	0.2581716696233851	0.21295638472583134	0.20913171797916696	0.21617606522942956	0.21903531656544642	0.22855822527175862	0.2107963583732549	0.22995077785935747	0.11621122206737969	0.135993413604592
45	0.11032206566753058	0.07866751502287259	0.015098808162101534	0.004238388341597435	0.0014164495032812237	0.002394174232198066	0.012373812336853996	0.0033823823366926314	0.006362069547972421	0.01710128383964199	0.04666455306279205	0.058204096115514	0.13772209648153638	0.11422475468931081	0.15282416655479547	0.12094128811728995	0.13466222860293392	0.10536793111235729	0.12132460314544172	0.10738353045489979	0.11556912083049675	0.11374017859252239	0.15289364020522977	0.05690683570069556	0.12472526134810444	0.11866100730135234	0.11053866381659658	0.11618330724804027	0.12462860970239723	0.11459553891417676	0.08930275111510738	0.1027936626465557	0.1269398196166099	0.10319891156258239	0.1692554064878331	0.04893564017645043	0.14720065456776002	0.11551194589354355	0.13878896957275008	0.13355524048142026	0.1486468470300358	0.13894787117486176	0.13038128144495112	0.140945679034164	0.15871345781741797	0.17106557476654197	0.18927470651641387	0.08052693980510764	0.16445598815937082	0.1528654049195304	0.16189188453345044	0.17338515315518208	0.15000002067632845	0.1827538020347751	0.14791437485442469	0.1570563373240778	0.18185842189407836	0.19517666723201893	0.22283834411113002	0.09813850290226986	0.18880415677496845	0.2137570020344781	0.1955915537162605	0.21146833113425195	0.1823500956131096	0.17088491556100366	0.17985843444809196	0.1640307452899496	0.2077112948444955	0.1955954062538717	0.22649416975435305	0.13047516685106958	0.21783226499411273	0.25794203592079823	0.2054234385478126	0.22225152613530438	0.2068765246850862	0.18102964697364674	0.17957180022530062	0.19623163915884678	0.2209022784822784	0.22871999255924347	0.14921415554648337	0.15566841166028658	0.1936390636588367	0.23732073102298615	0.2411637455009195	0.22474846627169973	0.20325142430122844	0.20693344497762678	0.2173942148976984	0.23092294881770653	0.2156124484263937	0.2372449721577922	0.10611256041762474	0.12941929407776287
60	0.10119634462385617	0.06156369625360559	0.02123171483614225	0.004240744157865841	0.002401654455706413	0.00791723096260402	0.009811740578258156	0.003963431389204283	0.016621324450491366	0.013172122999389354	0.045138508083633386	0.06377122142676932	0.1245572314826549	0.09658204749463067	0.15129011872371642	0.13232024908327855	0.13392621449130504	0.10256500776178631	0.09469971342804143	0.12077764682788152	0.09804457309840992	0.11747581907145725	0.139109033307233	0.057078741463905236	0.1166948284527273	0.09476725903721608	0.12535205238587435	0.12430787896889833	0.1371644051426097	0.14120307031089327	0.10717499269495775	0.10336393320195505	0.11861353770569746	0.10225334350462945	0.1598110464092731	0.056799673350539634	0.1254278069511652	0.12167469777276889	0.13538792605767616	0.15652351506559176	0.149789601900588	0.15402973121174884	0.1255372362761324	0.15128791245416956	0.152915745344664	0.16687690872512093	0.18887663938277682	0.08336563794750312	0.15596644072143845	0.13178615701756963	0.20150221050673245	0.17112896240281347	0.15536541534404757	0.17424320301270838	0.12554372774776099	0.16070386251610208	0.1709699948393199	0.18165925696836288	0.197033918110714	0.1328417073541921	0.19202129781701924	0.20097127086577418	0.2014602626083189	0.20984963784295763	0.19234264248356328	0.17078001484977517	0.15756788053100307	0.1892565956656097	0.20206978547731633	0.19395442563142332	0.20441900582233738	0.1289045003878978	0.198399627867415	0.22616995282126096	0.21232348572052223	0.20120399940439468	0.2067373392365106	0.18697803052264725	0.19103654060929173	0.19735648812302103	0.20298599733941525	0.18723524722671092	0.09866412086457682	0.14440687932698842	0.1876826776475838	0.23128208972448944	0.2590376529473893	0.22247683274125052	0.2060736371329819	0.21466353428778634	0.21152686403834403	0.2403046882844218	0.22162717026191486	0.2271007145472687	0.12291625231538347	0.13452893987396644
75	0.15282421775155322	0.11810843478066935	0.05448788585806344	0.01405656113145129	0.03257909853646014	0.030588248293375746	0.04162520572895487	0.05709559892596006	0.028438926911737723	0.0594075756798319	0.09731604377713848	0.08659880853126181	0.1594815803037563	0.12475916512486387	0.1829215028649107	0.14359676400842736	0.17897427088449183	0.14688279528711778	0.13513842466250126	0.16802609910976457	0.14740465707443634	0.13937536304505	0.1884743062889886	0.06145831511987994	0.1509981981956405	0.1378441813282571	0.15301197700754676	0.14924972197165637	0.17973680483191778	0.15200737988992685	0.10853804151815825	0.15408226479138865	0.14109493033028783	0.12497335335291676	0.2008754991238673	0.060505493176391645	0.16358194224136718	0.15524583606953793	0.17269716342049213	0.17748527249478324	0.18392288460591893	0.18902297099581714	0.15347600214180085	0.20590195049194282	0.187840507431716	0.2051264711744736	0.2034626950349592	0.0963349058069774	0.19563114069643367	0.19542148639608936	0.20230165845707382	0.20252103977161745	0.2130730749945855	0.20309710507865592	0.1516249600998889	0.1950229982968555	0.1913914233037976	0.21272069022474022	0.2366347900438976	0.12582451225359703	0.20749006413311605	0.24042346526851352	0.24396130008249284	0.23025503215494214	0.2198897981467396	0.19164951073028993	0.21200132632194524	0.21451271907372388	0.22137160959625146	0.23793503306559535	0.25226226103578814	0.1373748441961805	0.24824301274554544	0.2535449493016538	0.23530308107317888	0.24416406626209675	0.23722807236208893	0.2045679334801893	0.21474860382732042	0.24978627826565278	0.23850471546774854	0.23340960424741425	0.14933566153597588	0.17141206317489133	0.18972244953254047	0.2557196666296618	0.26124884535445186	0.25533098077505223	0.23437199948988613	0.20549456765710614	0.2266403456556489	0.26101982167685545	0.23727850683014728	0.266987585963393	0.1453219065334442	0.13436789425012657
90	0.11284748531764101	0.08370716341842901	0.0	0.0	0.0	0.0	0.01048998815894978	0.0006999192565693632	0.0025069653435770877	0.012472395904025688	0.03271981926303355	0.053944416579814525	0.12874136618351123	0.08827051630365564	0.12837351149415951	0.12143577940152483	0.14189716727121815	0.07596377295874604	0.128826570192598	0.11113483539680406	0.12426909255915967	0.12755865715746786	0.13678945372090967	0.03560539609116845	0.12804167641415248	0.09970012623510649	0.10287240361452789	0.1270935204943513	0.1305367322597875	0.11784933952036895	0.10796487715441062	0.10818775327627314	0.11991255750362396	0.12976415294984245	0.15748156514055278	0.034650510729130696	0.13878668803278593	0.11791173971819141	0.11867863665401657	0.1533249179940323	0.13008021915154755	0.14440478556450814	0.14278966803381277	0.14566985917716763	0.14849996926974135	0.17051528958303258	0.19269038553503237	0.08707949264296641	0.16576361782288984	0.12746667570595582	0.15633040363365058	0.1887355525128016	0.13576984021216093	0.15904402740285595	0.1395576376501203	0.13644535536912666	0.1572247837768868	0.17345572819208901	0.1786353626915993	0.12788036849255124	0.16523501363004728	0.19388080727992466	0.18286543167917038	0.2178365613943664	0.16189222133348286	0.16636213871395633	0.17644109244373424	0.1607933462351016	0.20021734046872092	0.19359912927866593	0.21090156731168902	0.12538252266590474	0.20977331435498772	0.23875727908636984	0.20550283529120375	0.20408152902219845	0.17057565109709555	0.15477698174978013	0.17614488983633597	0.18644509265397607	0.22974420086156916	0.1963785652111666	0.08613988644678666	0.12241010521410527	0.20390890124564437	0.23112754898085597	0.23583083440758268	0.2317232600998618	0.18968652993884183	0.16979123423242376	0.1918832976522252	0.22409307270516676	0.21371002088470115	0.22688489117894595	0.09982229510234744	0.12179226250265388
105	0.09932892273227231	0.07387031316837439	0.005333883384549732	0.0	0.0	0.004228012127891823	0.0033783249369824537	0.009764920537144221	0.003382705371792343	0.005811205301038465	0.034509849275263134	0.0568765986534662	0.10598166951694019	0.09977553604867073	0.1308964869981626	0.10480006983633301	0.13212733530305276	0.09133323757850167	0.08758200994494049	0.13151634967152354	0.13861723675467394	0.09541242875586049	0.15809629819095516	0.0517649733093718	0.10593603745424574	0.0961147292877558	0.09869917611318207	0.09066620392064616	0.13423083383821052	0.1355230956696831	0.08178120501213627	0.14201820415555114	0.10821023435209974	0.09209650065807956	0.163279310844668	0.031065382521802798	0.12517559588922142	0.12005390826095066	0.11033693120099991	0.11944579208297605	0.1299680230502147	0.1373475172527349	0.11405338102752441	0.16727768087058004	0.1583957096603378	0.15352823498129692	0.18591341134640332	0.07195839559343745	0.13616060721830825	0.11522532910245188	0.1598475669069221	0.1560365928095011	0.1762794069439516	0.13666147822286168	0.12069407747529266	0.17925603186548988	0.155144060876378	0.16806652451643797	0.1904008199496367	0.07792972352239806	0.16767152634799076	0.2036551468897387	0.1612402156176836	0.19947705735704474	0.17373839853719242	0.14859041774885132	0.1420212945482413	0.19744651303788055	0.20261255713085868	0.1725997134341411	0.21062831851320749	0.11056842116574117	0.18115004189492037	0.20598139427021184	0.18260939452537855	0.191560936666685	0.17309285935103969	0.14280443891567463	0.16943406818536746	0.21202249687019353	0.20867204726739583	0.1838045130118258	0.11728429930866027	0.10540921503497311	0.18670338987902935	0.2036715981763167	0.2327608435929924	0.23016043051428883	0.16978939659239117	0.19782277334156792	0.19958264943978113	0.23821367259234105	0.22361442164561857	0.23568362553775812	0.12179399904358547	0.10769151745927269
120	0.15454296779424936	0.13391455854916778	0.036138084558345426	0.013182328358862247	0.030329235888702906	0.01132992874421154	0.0487442194518188	0.07494015395247117	0.05051663542300287	0.07987555319814785	0.10975339596389266	0.0990200679600436	0.175000662459729	0.1308522370243853	0.1859445690756702	0.1794287210247985	0.18106194090149824	0.14726748922030203	0.16495611630318058	0.18670939370661555	0.17608960417935798	0.17419330779645445	0.21052595342163605	0.08678000236798258	0.18313120393946086	0.1632687041647891	0.14228284647898184	0.1583028432732891	0.18491332357838536	0.15697462622879485	0.15719011716223352	0.1954172384080869	0.15763387116078	0.17242511309484143	0.21565613890711305	0.0701268848374153	0.19219265512491077	0.15021897183173435	0.1628978183626291	0.19119474545207465	0.19259255822711402	0.17417128383977842	0.16383537926571595	0.2102363668545874	0.19570955625399544	0.22178413079427853	0.2379860232202104	0.10769577301456401	0.19642405783955721	0.1906618748829059	0.20148226057072596	0.21131484409228563	0.2176430670035402	0.18998385205038976	0.1994276997877051	0.20491893295235397	0.1998899841642259	0.22118624634640877	0.22880614042557756	0.12777458822981752	0.21865034116659746	0.24232325587576986	0.22612371303018933	0.23038447768071496	0.2296197543616992	0.18231200738162212	0.23149643521456714	0.23103319320579946	0.24245825386809441	0.2447710945797261	0.2594527842226271	0.15219461883851518	0.2344894819787937	0.23983569966776574	0.1953755441838369	0.24379581032201314	0.2006256650593428	0.2060990608281156	0.22606645693168892	0.25329097951104423	0.24154203555788908	0.25001334240283535	0.137980530492769	0.1303982613834433	0.215314708636337	0.2433246396180027	0.25892544522886474	0.22160651419516514	0.2219659985915569	0.21625416314921111	0.25551254602136625	0.25419422875856224	0.2471001662475347	0.26782164664573216	0.10937824278611699	0.14218245538373747
135	0.0921438954053439	0.09043603839308123	0.0018353574335546294	0.0005658101561745897	0.0	0.0008340283569641367	0.008645329530247083	0.0029776838526963767	0.004227146057991438	0.03358108992163278	0.034100822799278264	0.05409068295066897	0.12519083710536782	0.08238721931898402	0.13502288114744207	0.13174698137443375	0.12064112051376434	0.11564418898455961	0.13949730118689685	0.1280049688854391	0.14118829051902854	0.1384417989585448	0.1507708108190292	0.051057753523866684	0.1388087122500568	0.10121938237046552	0.11282260535257259	0.129381629593016	0.11982963840548458	0.13698438848097882	0.11378342211693804	0.11825509556085978	0.12561224831094697	0.14356254464461687	0.15527615944377524	0.04391090503857928	0.1381864605262808	0.1117985829693734	0.14467888243813673	0.16052823809579558	0.1441261801617088	0.16689189221085116	0.12951904239221146	0.1649849621659058	0.17862608706803113	0.17661418918751662	0.18468916703104393	0.0847921551383585	0.16059704689817017	0.13854369203053316	0.18141161516486687	0.18850051776170218	0.16215578462888083	0.18156467783162414	0.16639783812958997	0.15564831702945067	0.18626591561055428	0.19036022397661234	0.1782032784139438	0.10834824809406846	0.17507353361078565	0.21638711785207299	0.22303973580415737	0.23197571231776698	0.2006971325216899	0.190221637453234	0.20492964972279393	0.1979875651640532	0.23853873764872963	0.2344423955264371	0.22942437984536423	0.13710850120276924	0.2061348442097946	0.21543459419066902	0.21644120797699706	0.22346630608254758	0.18490134995542948	0.18152487049474464	0.19106894510508743	0.2078272000945786	0.21687655536321263	0.23923952020598588	0.08763238145664809	0.14630303991961757	0.20183898356869687	0.21761520725111388	0.2588210535432752	0.22684109813381143	0.20353790755055748	0.19840447629066174	0.22621415982611218	0.2266176335299948	0.2748575718313843	0.25422685314312354	0.08970629297814142	0.1669891660645234
