	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	-0.040355264568837035	-0.07264829889478686	-0.13428159169106646	-0.13557960397936225	-0.12432186315184818	-0.13730401811342008	-0.12995043321584926	-0.13044659108389817	-0.12249410749503903	-0.10129854167343155	-0.10681804624489677	-0.1081951970124918	-0.06636975163778014	-0.11078557683094892	-0.10432732621285595	-0.07166211236398007	-0.04672156009755385	-0.06284805190326592	-0.07038869139391729	-0.09027071335333942	-0.04928127374629421	-0.04030239495549015	-0.011753191507349603	-0.11755695598858784	-0.10034524739094147	-0.13698390447669417	-0.10230925503781285	-0.0716532101195716	-0.0860414594756983	-0.09938678243078003	-0.10639911392539231	-0.11567444024016443	-0.08543546144148473	-0.06569104482257676	-0.0492330835110259	-0.13781892400292822	-0.09593486428133025	-0.10258545388441437	-0.1232334566862392	-0.09834812537982834	-0.0860264944659862	-0.11796073458671641	-0.10173706037789582	-0.09764633237425574	-0.06063911454906612	-0.06371591551552885	-0.038404760920505765	-0.12778060544297132	-0.05769037481800504	-0.07928912412286188	-0.08286847198792019	-0.04811212060438852	-0.0754770210575213	-0.05715697891686833	-0.06809682623636204	-0.06366422523563409	-0.053532364993501114	-0.06228530947180844	-0.03339926586504166	-0.12145991263050948	-0.056199857788082064	-0.06412889559596285	-0.06918153593745019	-0.04806595261938268	-0.052246795726252515	-0.068076549678525	-0.059044125561083904	-0.055562291828988974	-0.02380051014614143	-0.0383803135682943	-0.027275827006225828	-0.11294099085005832	-0.05319342722502446	-0.08348353119336122	-0.05564497132701868	-0.023434119862652703	-0.03232156739489528	-0.024864799905535584	-0.03483947506188356	-0.026083709383660503	-0.008667776197391064	-0.040519985582057494	-0.0981952816702481	-0.12318112629758404	-0.10270320103650232	-0.11527791299143958	-0.10394673544715766	-0.08597748400475513	-0.08269874753406353	-0.06134513178410589	-0.01387914094811138	-0.008649784766379065	0.022770144294979533	0.00918994833843828	-0.06752114850376173	-0.0737614952806167
0.25	-0.037428098063265414	-0.059559647646237834	-0.135627186674243	-0.14217373130721062	-0.11815901666906214	-0.13640322661042903	-0.12579213236203268	-0.12466735523625938	-0.13596832329687075	-0.12820123704553238	-0.10399082347711996	-0.11639823194185928	-0.0813416075790862	-0.1085065311145616	-0.08493234313663611	-0.08135695034180801	-0.03884215871347063	-0.05144196665689227	-0.07731122706280708	-0.09651844614410293	-0.05050506176645081	-0.03818009996350619	-0.016105827530493222	-0.1098380101839464	-0.09401059868976619	-0.12245439976278388	-0.08441086001485687	-0.06392244097400523	-0.0725764653805317	-0.09029235429500554	-0.08834001722511331	-0.102217675586395	-0.07487031845600428	-0.060498818065725046	-0.027320484703824033	-0.13040558979934375	-0.09450772452731654	-0.09813090916387668	-0.11192212125141932	-0.09731110423461109	-0.08034581435832588	-0.1036720657296864	-0.09852340387437597	-0.09238915071107351	-0.06840501149396294	-0.0569038248375745	-0.02830889884892901	-0.13473855169181786	-0.04980018655834484	-0.0765697903886684	-0.07350959639444082	-0.0473049463779488	-0.05390335667061125	-0.040020904924983336	-0.060985310174181684	-0.052540459281505414	-0.05379782844142811	-0.05507499670556876	-0.02737750251460913	-0.11892960058580782	-0.06585602189645878	-0.05307397193494079	-0.0696431173989383	-0.05448929768291777	-0.04653201096738341	-0.05779040560879817	-0.04935917073555113	-0.048432876131549174	-0.026843456338092597	-0.04753943184324233	-0.021773796848469973	-0.11253253549653142	-0.05223745179606387	-0.07058413516425599	-0.04052582531840487	-0.013393112720903544	-0.0177621850188614	-0.008151959789834018	-0.014378224368593873	-0.012930186341748306	-0.02109919163981655	-0.03822928472218268	-0.08867633984703005	-0.10595203391031804	-0.11037097020275383	-0.11249712113804572	-0.09446100969078974	-0.0825597995021915	-0.07298120399183616	-0.050489927514017596	-0.01178257252323145	-0.0027416777845004625	0.0005284447201462372	0.006057646368500924	-0.0655368873102577	-0.06970582561084587
0.5	-0.021903283586527766	-0.06466196506916666	-0.115707732095011	-0.1415725787272583	-0.11727041101523383	-0.11917911454032004	-0.12137601441174284	-0.12874323997118492	-0.12626227367084958	-0.1368472233071074	-0.11183481362152736	-0.10377112990116322	-0.07283135199274393	-0.10446097996851939	-0.0699960460802353	-0.07439931289299967	-0.03915396973332447	-0.049108613271320656	-0.07708063469449189	-0.08246771158593857	-0.04267745766437053	-0.058213307096911804	-0.029364221762195275	-0.10108328324141397	-0.08391035445326117	-0.12194741584045704	-0.07794498054110016	-0.06940953892860735	-0.06622670368575789	-0.08203349124197973	-0.09571256611197088	-0.09709558965826814	-0.07797071689047286	-0.06739745093178856	-0.040129998628339825	-0.1323240690806748	-0.08272020854812434	-0.0756275629682005	-0.1060553369062216	-0.09250250229599333	-0.08588390600050078	-0.09558789989022148	-0.09806729863968677	-0.07974745715176329	-0.05396484564174053	-0.05876820252392295	-0.036311278831392846	-0.11762430092671389	-0.05117552302460027	-0.0731742507095311	-0.06624234684235808	-0.05731634970439431	-0.05332395999432821	-0.044057826818412305	-0.057434901256832205	-0.04856105554503376	-0.045432631955002856	-0.06208315559780081	-0.03623210580475206	-0.1166722502176189	-0.057120521139969516	-0.062045554688540616	-0.06610117160890061	-0.057814923847556265	-0.06234889715683739	-0.06916669445927082	-0.06658498894040726	-0.05130375231945811	-0.027625439701625898	-0.05609877947665037	-0.0350188943956809	-0.12948372789405999	-0.055084945088436144	-0.06179877527487421	-0.043419013865820255	-0.031993567417136826	-0.029137722775766428	-0.006126063916008784	-0.023099737546383448	-0.00783907562279973	-0.01436144512793136	-0.04009211905661575	-0.09774699977918871	-0.11970926595782466	-0.10224966578711703	-0.11071800192529352	-0.09466053508315059	-0.07943381808365146	-0.08530138416030558	-0.06028984415884264	-0.023411272928493265	0.0005246236104154423	0.013177599039884635	0.0003270543893043043	-0.07084893181965285	-0.07777243341417955
0.75	-0.041899324002400484	-0.057689063303382304	-0.14007669371279147	-0.13924743541155937	-0.13276033429331024	-0.13166917862289568	-0.1240479998513413	-0.13169582301455984	-0.12097418342850708	-0.11206194952589882	-0.10061622361514694	-0.10324809530596174	-0.06702749245819278	-0.10694982475109222	-0.08206632861140162	-0.06361923396678576	-0.03507077457137048	-0.04614278558168339	-0.0682694911318093	-0.0857725101084304	-0.036101650103759986	-0.02886488950318683	-0.02754940926242211	-0.10039493222966761	-0.08867891023524788	-0.1245543847796578	-0.07951570431006333	-0.04600683214936768	-0.07042528395591391	-0.09164806274130016	-0.09218888535003333	-0.10231080448316587	-0.07625011145454413	-0.05620982341146402	-0.020213705911800772	-0.13300519605852368	-0.08980874477314765	-0.09109945322658897	-0.09533100026722419	-0.08751684766900664	-0.06273745177365758	-0.08189790776498868	-0.09798911213375044	-0.08453148477182632	-0.047149662554203164	-0.04035631950511642	-0.02627142666000226	-0.11927526756487267	-0.048145367445883214	-0.07156995670779803	-0.07154826634244443	-0.03737343752697553	-0.05135425851221953	-0.03974077595014813	-0.05102069014714855	-0.043884444190563976	-0.03809793962207236	-0.04416832452312214	-0.022898761437340986	-0.10676594787448068	-0.045980028502146386	-0.059705683186562386	-0.05363652890910414	-0.042862842011886226	-0.038292307514419976	-0.04567603173293899	-0.05938945301974419	-0.04574942753532263	-0.025210627200869418	-0.0372192394588719	-0.02334604144719382	-0.09838438843914832	-0.041698262878264225	-0.061361956946193785	-0.037514511153452335	-0.003582354962186396	-0.006509175769729314	-0.000848014077027559	-0.02666211282738007	-0.014898505799117334	-0.010659704498092115	-0.024868065744452883	-0.10034442458911103	-0.11593354848079546	-0.0962630755807457	-0.11601049495115168	-0.0897818077783461	-0.07060920193001641	-0.06327839172521671	-0.0508252600297438	-0.011952753511579095	-0.007457592881896957	0.02696349319397423	0.02072821059303559	-0.06290485601944173	-0.06184273268486906
1.0	-0.02377043493940273	-0.05822269515003292	-0.11578515402090472	-0.12577036216617848	-0.10960678265929291	-0.12295927450271649	-0.10704391330027724	-0.1256201049102036	-0.1160378636386249	-0.09939257450473676	-0.12290648032462859	-0.10589104511335712	-0.07063727475423581	-0.10282750333669638	-0.07192110408995123	-0.04855612246435681	-0.03311288918871097	-0.045141993438811756	-0.06962697919067146	-0.08149015848692931	-0.027042038966462567	-0.03680278502910039	-0.021932497072225277	-0.11681939930077484	-0.08473084336868464	-0.11960398962898855	-0.0730077784269813	-0.04824543533806225	-0.04529232605137207	-0.05159575503812902	-0.08614947084264979	-0.08821117250952476	-0.06534758815518549	-0.05639212609726707	-0.026599198818125447	-0.12758487271961344	-0.09564974881529953	-0.08449947710104477	-0.10566761592889773	-0.08565698071974487	-0.06298142237358872	-0.09719890507140388	-0.07998752564972367	-0.07412583950372342	-0.06450488315316927	-0.04371692213223388	-0.04315195292390328	-0.11968050403815494	-0.046112095710830636	-0.06565215193826318	-0.056754569205252625	-0.03503116413785323	-0.0415178237545587	-0.03268188722419341	-0.035170351048787185	-0.03651996357506454	-0.03294509457363676	-0.04103882483822063	-0.027065065892127205	-0.11595126772152065	-0.061152135441506494	-0.04742522627266699	-0.051187039374622934	-0.035327659954209334	-0.04780875337647139	-0.05437911740427975	-0.055583105949568834	-0.04626143981259523	-0.01768689366304438	-0.03125504763078246	-0.02885242882991801	-0.10279822228197827	-0.04663578267522933	-0.06934383542729572	-0.0361314911164074	0.0025949090142840525	-0.009887739124855355	-0.0029092259008737242	-0.015770972396080996	-0.010152631685074687	-0.013073863383774642	-0.04183982652199736	-0.09297398337538315	-0.10684003626126604	-0.10692996920860831	-0.10722005903500498	-0.09619946644237126	-0.07294863960732878	-0.06664651965918206	-0.05374746877070802	-0.014644744148904376	0.00036501734744709413	0.02525655680634825	0.014087719480077088	-0.0670555826557877	-0.05388134456967464
1.25	-0.02416449855789976	-0.05737566797985233	-0.13719111244724708	-0.13185012150049452	-0.12618047722515924	-0.13896084535837422	-0.10985680061928932	-0.1337469992760243	-0.1190087722726082	-0.11551765053474955	-0.11498755997335969	-0.12486128756236342	-0.058531591951799244	-0.11507571277498424	-0.07662898925906286	-0.04995345938861234	-0.041577871478968464	-0.04548640815293503	-0.057041211568447825	-0.0765762910421578	-0.03444879405946655	-0.024881109260358414	-0.023773545735565282	-0.11968063209175811	-0.0718996572376584	-0.13274231585704516	-0.08367673707733281	-0.04064469680254701	-0.07173316741871538	-0.08544523787751207	-0.08580139067415288	-0.10250781065549802	-0.06623748804581897	-0.05311530514562968	-0.04166779995477382	-0.1413833276429145	-0.07864998478739504	-0.0912551797136888	-0.10052465212675632	-0.07703451615591361	-0.07610922246550467	-0.0837605340285889	-0.08179404444784405	-0.07475285150085648	-0.054755132305499055	-0.03894610260611536	-0.041136293652201616	-0.14278510480270962	-0.030848563676349527	-0.07191320591906658	-0.0631040198898809	-0.025324663610871823	-0.05159260995929904	-0.04106252357692097	-0.053379031909524144	-0.05174277702800584	-0.05555271406865109	-0.0390520619508995	-0.030927401960755496	-0.11234377514613053	-0.045205282634431965	-0.05756344904767274	-0.06147235254137462	-0.03256601625523714	-0.04276258486304302	-0.05715431696297907	-0.05038391937478787	-0.046280629410218266	-0.022448982396685246	-0.028604519698271824	-0.023337313569725293	-0.11852177968604133	-0.03331281511623746	-0.062499531929384566	-0.04056764566609988	0.0020416001890128377	-0.02247436999625224	-0.008304209725650935	-0.019846478110317756	-0.009025015784380086	-0.01297325003929678	-0.012800138152030072	-0.0993471023937858	-0.11374520307793856	-0.09812057152202264	-0.11753426716402893	-0.10110345683274152	-0.07001162946344325	-0.0805494963342332	-0.05921246251061646	-0.006497300315036203	-0.001267293828341176	0.008882326538720842	0.012581377890677425	-0.07084886957732439	-0.06947285111703339
1.5	-0.023986374512609376	-0.06403929086112253	-0.13396607770043012	-0.12352115750661918	-0.12060770126406462	-0.13896247903698133	-0.11309962827550646	-0.12456565107033901	-0.12663376336227805	-0.10082399921543861	-0.09984241501029595	-0.12594915060827627	-0.05527540835062855	-0.1057909017637026	-0.06300727169778814	-0.03888541088306474	-0.03346022551886818	-0.044474423162360555	-0.051318600995670705	-0.07598756206338486	-0.032064696156759	-0.016239443918323715	-0.016338883108421576	-0.1028507472334872	-0.08843448943777443	-0.12933245717287462	-0.0877986514921148	-0.03990574931874624	-0.08368267135085405	-0.07312204222516666	-0.0863218767298628	-0.1085200558770516	-0.07810683553682857	-0.0430648905707392	-0.024443366051691673	-0.13578752662124216	-0.07974980158495759	-0.09471485560554749	-0.09368699689450027	-0.0716684089162754	-0.07029217152757239	-0.0917310938779421	-0.0739076537794413	-0.0725064822209045	-0.051568643505938816	-0.04019763170439555	-0.028947127694913755	-0.1287014998053917	-0.04546345262005563	-0.06808924098986108	-0.05798956193135957	-0.03269445333135629	-0.044779646167630305	-0.03252315076149015	-0.0457613408884871	-0.04073584109758699	-0.040734071740569755	-0.03612390137913396	-0.021114086422720224	-0.12408033407140057	-0.04869828972933837	-0.06193681294234116	-0.047185762741918436	-0.04074729076886785	-0.0422399807434764	-0.045418510968580905	-0.03869766820477066	-0.04245121001055574	-0.021380153239448307	-0.025774822414481535	-0.023092999892609767	-0.11002550844792064	-0.03991764489129379	-0.05934130340213517	-0.03320019320715106	-0.0063544836471321475	-0.01838503071867431	0.0020972446525929778	-0.008188095483119828	-0.014051441746128712	-0.020625105911357744	-0.027795459064527295	-0.10164760662430766	-0.11932681742759238	-0.09481298236993135	-0.11577880229575332	-0.07841516861900139	-0.06278577797743434	-0.06046418097842787	-0.050962596493807244	0.015189735645023739	0.005236458921020648	0.023899697080989324	0.019076112186008187	-0.0631942020768208	-0.06309526398623178
1.75	-0.028309834153576685	-0.05024918967252062	-0.12729674910511052	-0.13421337392258093	-0.11803215910116321	-0.1389859634503967	-0.12885564728373416	-0.13433651867108376	-0.10287340894861835	-0.11971157351490702	-0.1183673708531991	-0.09299712510970254	-0.05557101363684591	-0.09258802048963255	-0.062334674674370816	-0.056047719764740433	-0.03220862707048522	-0.03827284509969209	-0.07031750283450672	-0.07483761641254583	-0.010244337437912587	-0.031939727461165524	-0.019574871102201685	-0.08961834395467805	-0.07572430033771388	-0.10100534075506118	-0.07746572776164068	-0.04185768577900839	-0.05692388885392097	-0.05932488500057892	-0.10199390095949296	-0.08498622514222703	-0.057203987348785235	-0.0419036815653675	-0.023196280594556362	-0.12885509209316165	-0.0850973444323379	-0.07674404670706353	-0.09176970185712618	-0.07672464942296064	-0.06557218878199567	-0.07563059896177515	-0.09098968605249341	-0.0833694471299174	-0.046833384920168086	-0.040378797501864516	-0.027817004465686634	-0.1112528588342449	-0.047603537340796864	-0.05757442935073054	-0.062318810574079786	-0.03753129034461539	-0.03854343077996536	-0.030996627970071355	-0.060231525565436206	-0.035836581784855936	-0.032047691852306326	-0.04773710098225076	-0.02983003830273312	-0.10734621796797555	-0.058062293111619145	-0.0438246449507671	-0.049404627719235206	-0.03843255361766573	-0.030700391494051127	-0.039254912378404117	-0.05180582900354419	-0.05094075493961331	-0.010222800301376733	-0.019574867633613657	-0.022262489533527996	-0.09654264715989952	-0.0650444861295858	-0.052494574394615634	-0.03951106459930215	-0.009479931850558898	-0.004108113560226501	-0.0027097109675829345	-0.02622251419946714	-0.009325668263556519	-0.0046529497744402515	-0.027780568537769057	-0.10196433139261601	-0.10159719070424705	-0.10802302468766495	-0.09817362854340328	-0.09771763521393495	-0.06774865274127312	-0.058203902622422365	-0.051295122455364495	-0.0121307310879058	0.0031333284882522072	0.032162274197634455	0.023329828730778213	-0.06997408524436499	-0.05013630078110015
2.0	-0.009502518438588292	-0.06312531508509012	-0.13488957024352233	-0.12373612372333892	-0.1168876011978951	-0.13640793745457463	-0.13294382856780973	-0.11943538768558554	-0.12254411123537601	-0.13389162722630976	-0.09493452957181714	-0.11072809658340671	-0.044681080157225106	-0.10367570025901951	-0.06634304608852531	-0.030111145958377883	-0.01825762178364687	-0.03823357656311088	-0.06633669180818469	-0.06766824822390155	-0.027361226027310614	-0.01606390480568426	0.0014290483073359228	-0.09821223828522019	-0.0703395318263948	-0.11574912354081429	-0.07453922148559577	-0.03753758218939679	-0.0594879586229734	-0.07669956646246956	-0.07780986723598249	-0.09053964380136148	-0.06347668010690677	-0.04635319855861775	-0.021183205164961194	-0.1224851299860637	-0.0739036097085164	-0.07855444527804895	-0.09774487031359236	-0.06779400552984693	-0.04880425189657639	-0.07214965542764235	-0.08092275712382418	-0.054858906071502345	-0.03596295976806019	-0.05008027435272344	-0.015452959748113726	-0.11645025708859663	-0.026410666257028703	-0.0659573723961791	-0.06159617422100239	-0.027647321442057338	-0.035303552653418335	-0.022241286517307113	-0.04077801183272434	-0.024951481125736363	-0.03187650576235518	-0.03150868175007793	-0.017553954807313088	-0.11397586575639179	-0.02731529234767527	-0.04898173061530281	-0.03874741721601327	-0.019548029929331967	-0.02516859154690393	-0.033290120069160545	-0.03310722814482614	-0.030683954619454834	-0.017914735875307508	-0.020096209648039265	-0.005988817347187314	-0.10960481838667552	-0.03239231975477341	-0.05755964798309149	-0.04884780144249157	0.00847769393303982	-0.009324132058408763	-0.00024412418997182828	-0.014863111797531137	0.0076106591576858285	-0.015896875696771062	-0.024702348760355153	-0.10455430300037222	-0.09868162924748547	-0.09565123867511449	-0.10236731123911541	-0.09150039323415488	-0.06438784857011831	-0.05847920206310264	-0.046518311970459025	-0.00016943219792087127	0.017042985954124623	0.030214752223336416	0.020828437811732214	-0.058212541358038605	-0.05344322897025777
2.25	-0.01873946482821154	-0.04532830076649419	-0.10333889148505465	-0.1331360787171772	-0.10288405520628591	-0.11521370003336712	-0.11877604191743013	-0.12318526174608735	-0.11229245336971772	-0.10231835941826778	-0.10398543377570096	-0.10020014398499677	-0.0598388024593165	-0.09911550097074134	-0.0543367921296074	-0.04599606025792591	-0.017488130617493103	-0.016376716508648193	-0.06114101601254629	-0.06676721556236959	-0.019280662205220567	-0.013465176671640433	-0.005611927997913879	-0.09558421545148593	-0.0688120919794677	-0.11735273664778262	-0.06841712100739045	-0.03575212630924929	-0.03991153846894724	-0.06181948963636974	-0.07392689760187388	-0.08559210939825196	-0.04650602894775763	-0.027973296701199246	-0.010187141619888707	-0.11639186984061711	-0.07315646185056374	-0.06806581495795294	-0.07911003985997911	-0.07089458536650539	-0.04103282194571961	-0.05526067374825283	-0.06633858600572767	-0.07556756843186624	-0.02672531147354673	-0.026263272373550584	-0.02050289478047629	-0.11459109505318749	-0.03359466355203711	-0.051455988885701465	-0.04722419399690375	-0.011331710285113816	-0.024442762259435535	-0.004164806573804303	-0.04256555753764596	-0.02887988812761283	-0.020490432558536054	-0.025996991769327293	-0.010860254023846772	-0.10198846566686565	-0.04160983619621389	-0.036961781406525396	-0.03044214780948823	-0.028179816418130388	-0.021129973142220926	-0.03622944901161684	-0.03736233678534734	-0.024881645150477638	-0.012813356874314674	-0.006553752359461762	-0.003420147360535142	-0.08542905972652953	-0.04670207777866342	-0.042450654988858194	-0.026582499053984132	0.0069095766004255155	0.01369323092856961	0.008527321680647237	-0.004508443320444366	0.009072696622436649	0.006697840114407494	-0.017797523177729258	-0.0880635979579284	-0.08680433251639674	-0.09091131685490822	-0.09643113299465961	-0.08364182021989042	-0.06743468207362663	-0.042585897057291155	-0.02204857455323017	0.004511259335553963	0.012826935946087803	0.03681002093715441	0.030817204473748305	-0.06462056919998133	-0.040992246825827805
