	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.07484039972884299	0.04351821617676996	0.055065302034343455	0.0357766471186005	0.05809341484737948	0.044741829342692885	0.08263497420044862	0.09374489653745263	0.01355930189619795	0.029393127830839635	0.04303148590143126	0.11203710597020064	0.055536780522234847	0.04566460891559716	0.048244439598698036	0.08288823562548266	0.11764534492127704	0.10855810109979755	0.12214025719941546	0.14736259759047618	0.14785350203956255	0.11886553584810947	0.11291776419185609	0.018566372063003267	0.054644515620494105	0.07923811481022836	0.08080357018252946	0.07377819716317116	0.1035031036266984	0.09007260213611687	0.08980424766605381	0.11082134788649382	0.14169147405855043	0.09720892430390171	0.12064711162113609	0.13734961765164777	0.07916541922184508	0.05518928761547506	0.08759527610452744	0.08390176811208742	0.05824571681482872	0.09544499793810649	0.094801129883155	0.13082821691127836	0.13539929076659296	0.10582223365623972	0.09941800920585131	0.16156879610001063	0.09724518338700419	0.09101590944868096	0.1067482116387349	0.12164098229062714	0.09179747542171213	0.10853844363294222	0.13672332544441085	0.19144087994595627	0.20941292407561696	0.1642788327847005	0.14318157670157125	0.17714411547396736	0.12600704979722566	0.06878496775577331	0.10381350353378455	0.08617725527428294	0.1352084836479407	0.12967219559624868	0.15344875204562786	0.17545674180498885	0.18941295045130174	0.16525337145953928	0.16046287116704572	0.21772782144533054	0.1307875351657099	0.10488152371999233	0.11092516186811523	0.10623669622413867	0.15419693227248715	0.16118156642080028	0.15813700095953015	0.17210229619020997	0.20380398048213724	0.18417617681725337	0.18531548596514452	0.2240207746622589	0.12055710463784014	0.13070684634845098	0.12952874081770027	0.13565734844811883	0.15960278783784013	0.1710517462419421	0.20836490427093052	0.2107427558634161	0.21773704412454759	0.18576167493321985	0.10717976613552015	0.2565256282091549
15	0.06960566926023595	0.04373577673668107	0.02807225105050095	0.028188552269211097	0.0679673090482052	0.04519676776736904	0.07988749619370761	0.06569863437394297	0.002267169340144222	0.0105318848554358	0.0229994995438308	0.041080557707236315	0.05933333628099624	0.012551000680140673	0.03019919833012808	0.08250147244707964	0.08708585130760024	0.10564134245269652	0.11530260792526228	0.1358210465881431	0.1087700150580863	0.09389523461669302	0.13293362392056457	0.0024091433905610925	0.0509263403964464	0.06753647925551298	0.05492369224689747	0.09096925636086539	0.10244628437317035	0.11301882357163515	0.08697314672974885	0.11148839682995237	0.11125255058727462	0.07674431257906293	0.10188275097707142	0.09086873868730513	0.0872295808711555	0.053356948468673365	0.060478913771215476	0.11696781654241445	0.07894397808370288	0.10826172454591045	0.10839888363226272	0.11996604734792227	0.10517318831284798	0.07433556779353154	0.12250890351963505	0.0942528128844646	0.10970005254052605	0.09740418979669166	0.06480647438024391	0.14001190381627898	0.09570376254256202	0.11547307018860709	0.14777513924338959	0.178957934281733	0.16715517147255915	0.13596433474487957	0.13159329733008154	0.09742041444757175	0.13827565742752104	0.10978216597243523	0.09913581877783248	0.11344515433320132	0.12990730164370223	0.12731402479528992	0.14640742607355367	0.1611564606492008	0.15850286488934806	0.1273227261300549	0.16533104467787801	0.15279953811606298	0.14443672378125008	0.11186044350319513	0.08142422416536665	0.1203655096450076	0.15454242336021107	0.1743161707732792	0.12434022914454178	0.14930057308087014	0.17043915368599766	0.15246292077647067	0.1737261270705101	0.15611092306143162	0.13376874802278638	0.11203709691348268	0.10536355775964745	0.15729404502687916	0.155177835977861	0.16997891199953702	0.1885998119217929	0.1904549253103452	0.19635699279390373	0.18044884921510657	0.08883448118154941	0.24750132912755266
30	0.07666365589576919	0.04855720586378297	0.034810905826620664	0.028885231992550532	0.08533232822524717	0.04454335776726726	0.04655995797316995	0.09324750517816827	0.02520622367162684	0.01484257019414012	0.03126842165219335	0.07897022327349898	0.06382182698505755	0.03732740278306665	0.04982773515786329	0.05758270769903521	0.14182350616557532	0.11425922847393519	0.08619363180292	0.15141047876049613	0.1418123734969346	0.11501585359450939	0.12161453085940373	0.0065381561418665695	0.04402675097362588	0.0834789558105911	0.07287915861590473	0.06790186941156764	0.11102616039280508	0.12854992943015564	0.10813062648634972	0.13936320602160202	0.14142343780406352	0.11249999029025062	0.10422874409531971	0.1206589444661853	0.06436961391123144	0.08572464326982046	0.06844810803963183	0.09733669895880395	0.13392359350213728	0.13316087015267059	0.11463040932678337	0.13991498667765181	0.13896164131034738	0.12481473713259691	0.13151147975891903	0.1435838822591164	0.1208110977682824	0.09327932583956254	0.10332259825671833	0.12027512479014871	0.12284698157140161	0.13448138988510244	0.1306769488828991	0.18712648469194942	0.21881387780796785	0.1586881585799469	0.12969015616625248	0.146250229639511	0.12280427585293577	0.09458913354181184	0.09523179225045539	0.09523058270864312	0.1548862398779676	0.1584609003094864	0.12248176109897974	0.1711936734492127	0.18377982978901297	0.15011992843097133	0.15668362094034283	0.18715859150164357	0.13105357419303998	0.12089087415248043	0.08008916375466382	0.08704711236244424	0.17813030294110732	0.18714516370314938	0.13370972763173794	0.18819742413718277	0.19726826572003425	0.18853974487347058	0.16903422937009832	0.21105281405702994	0.1263390775189115	0.1436384705631532	0.11785304527877552	0.11215540221060037	0.18638361987359336	0.2056239826713922	0.1501373876343615	0.19973113974374682	0.20467332884057618	0.18072916640847736	0.09026532843391637	0.2443989937914665
45	0.09567679359465767	0.05370551197792954	0.07436514878927661	0.06103800648546001	0.08852132292749545	0.05770389323722536	0.09548166798185925	0.1098691274878485	0.04104526767332764	0.04621202795260791	0.037307180950817476	0.09364847593750432	0.04773239929920481	0.0399646545686996	0.06801507595251463	0.09232689483528767	0.12200951780083749	0.12877404961594868	0.13949206455263446	0.14804994688309925	0.14380998703664785	0.1328940514285521	0.14960239462180502	0.0035468696036383756	0.049235258225356286	0.09921089658277385	0.10247263487392244	0.1296217513254953	0.1253420442084887	0.147683563652952	0.13530242639550938	0.15382336843419075	0.1412265666153682	0.10796044282922412	0.1139452987481917	0.11994670255658452	0.08898491232587193	0.11637947582682023	0.09871595548168322	0.1377498031894588	0.14336754427430326	0.16760793269483487	0.15386647315357777	0.14687452303067097	0.14412039816618122	0.1390048319654567	0.13767655198091816	0.12495555657950448	0.11337170343313949	0.12614179144750165	0.13535189869647896	0.1582740792251504	0.13704325404837814	0.16819362360954815	0.1469721072259022	0.1901229779900306	0.22039192356623688	0.18318706427058862	0.16230466360904303	0.12734786229380304	0.14946570208149848	0.138359638284485	0.12714928576815876	0.12251852098925353	0.17882932003088814	0.16642118741589368	0.16454191400325777	0.19179870555158657	0.20024466105022493	0.17563253335175005	0.17296249038523492	0.16895086729210307	0.17087468612011003	0.13828341366270847	0.16030449267856056	0.14785641151539364	0.17905135823101176	0.19357517833897364	0.18423469655088975	0.20394206875442294	0.20487313688014913	0.2160758039581805	0.19869562042373146	0.19593406093938984	0.14174711125262063	0.16021008275422152	0.14287784354440466	0.1890187158420249	0.16551758122162102	0.19706956762967254	0.205087593523049	0.22632691059236315	0.2170197270342587	0.2147564008250552	0.09221129517722294	0.2498279552580318
60	0.07022957807132563	0.041375588312700905	0.08132436419655378	0.049261348107829256	0.09218706860386755	0.09571652035777149	0.10097297895969364	0.09948685951054514	0.006116220463390817	0.011087853483942924	0.040027179626770756	0.10351046163432914	0.04641751822364712	0.03004518366159979	0.06604467797884647	0.10383440312140718	0.1488320230072154	0.1283338731284058	0.14725798210249846	0.14700622633869342	0.1410095745644016	0.078064557104729	0.15201218836288233	0.005258472019140216	0.03775008451776571	0.08036208466467151	0.10610737505994805	0.12575562893920014	0.13665193429634898	0.16292155856913093	0.1496656698409501	0.13988963949563	0.12866617785521886	0.08176604203948773	0.12376293704799085	0.13450821817603353	0.08683878312091513	0.0903831097207336	0.1025059953699069	0.12644235163031975	0.13667379991203416	0.15650311893802868	0.16000235377283767	0.14101492823787323	0.14171481572449646	0.11347132689301004	0.14831967109526395	0.14504279560735248	0.12026725573856364	0.10380242994240457	0.12168413502309647	0.15282706092048587	0.1509402541949893	0.14724244831427927	0.14421459110296347	0.17747987921904337	0.18296249968019512	0.16579323901593662	0.16532110160820918	0.15169140830799538	0.13997367435511254	0.11779899292470353	0.12519302334665586	0.12805071570020132	0.17167697006533783	0.1721197684286254	0.16249553045695467	0.18295758344591678	0.17210760176720208	0.15017356256630843	0.18227090958786868	0.20657026516852917	0.1406354278680048	0.11072973363517795	0.12643508662598996	0.1306338191665429	0.16466225583634025	0.17901752333522147	0.19112374886061295	0.17854130529929294	0.1865511833195378	0.17156080649133537	0.19101255014512952	0.20343153489271248	0.116048603050829	0.1168060466723177	0.11604938592728853	0.13576765809218985	0.15499749663150525	0.1906771576492208	0.21591334923267314	0.20702602187990993	0.17023232223003332	0.18495965712599355	0.10063588305669184	0.2591722042884519
75	0.07816844043199422	0.05201751359533559	0.07297883197911154	0.06691870759012541	0.09516942969483445	0.08965000454076978	0.1143208930178167	0.0811100717533221	0.0019831407495541175	0.009976534775059873	0.011405798909053959	0.09550539436188318	0.05057064319738056	0.03369833170056945	0.0697271142117519	0.08887900585105318	0.14419510302917618	0.14426992708571817	0.15729037227994283	0.13855114161328358	0.13035480649465891	0.09260067404395134	0.1310816192652962	0.001983221170920208	0.053278816051912044	0.0931517965925632	0.09983268497234588	0.1339352034108063	0.1589740081545329	0.1538509601082144	0.15912731056878684	0.14156507552840636	0.09785556449659351	0.0867624339158005	0.10796562080911833	0.11776109153909722	0.092065285203777	0.10790736340665116	0.08905054649712238	0.1319353388620801	0.1483249624537426	0.17233878519653728	0.15387895083599912	0.11979184427337003	0.10628875051666914	0.09661483062156263	0.1259466270038211	0.13103298305295732	0.12206410597604753	0.14097740617856175	0.14306695480447718	0.15622144353187103	0.17549959862828154	0.1636990915787816	0.16409676938653914	0.16542023488340063	0.18319107136229523	0.16261132315080418	0.16789642414110634	0.1507924225569026	0.14086862797409663	0.11279746842799585	0.11403359124810517	0.11696808226099106	0.19444470371028183	0.17873576741038968	0.17037789919151503	0.14783859409438604	0.13648409283525137	0.13977165467694377	0.1710785246605307	0.1832387041134021	0.11317423048108317	0.1151359624906508	0.11759946701764114	0.15603503188550977	0.16575189319303624	0.18647249956046802	0.16223982305096385	0.17481329104353838	0.1557577396210342	0.17685404063175514	0.16886065367397757	0.20149348990335866	0.13058675294638328	0.1333361695002467	0.15006448522314225	0.16354281220212913	0.19532232092269136	0.22105800151172042	0.22177650839971136	0.17855387926811747	0.20175097515173337	0.16068289883414033	0.08555622416647718	0.25072476449879305
90	0.09260297761580445	0.08426128795370953	0.07316450365871491	0.05388447969583454	0.07848652676845005	0.08403238577926486	0.10958675158191174	0.1102797968220233	0.032893749910591116	0.053033522929700885	0.05278588857701966	0.12279177734567737	0.05441546648276849	0.053082695479102604	0.07558105713464142	0.09005986283923931	0.11519852077048293	0.13028472728904153	0.15801080713417545	0.15513195703818153	0.1482343175769646	0.1458826270276063	0.16254900259281954	0.006673869187664244	0.07084329372517705	0.12606025822905786	0.1143961897732847	0.1290370138228351	0.12243149119564306	0.1545262480397263	0.15637439965239402	0.16677092913439054	0.14262363749513818	0.13256240104747957	0.15574243282885503	0.14436715565563912	0.10389702334936042	0.11360237457643656	0.09391237403897791	0.12586060009730243	0.12587093777385983	0.14697410080409934	0.16497755172612238	0.15059800539836496	0.15400656598194504	0.14968123078031148	0.16463317890947643	0.13946874837491385	0.12515133293965586	0.13665159540146674	0.13178479002779123	0.1344872720737781	0.13066283167295256	0.13248403051368182	0.1654893828233021	0.17993004392527157	0.20699715628305398	0.1831265479591829	0.18354393203520603	0.14740984575811078	0.15268566462483565	0.11757570315021766	0.11780822048488704	0.1157150686519878	0.16052068309096157	0.12239006457938914	0.15945555893229224	0.15564979829097453	0.19164777877349334	0.17412901528013713	0.19689212329308242	0.187504648374326	0.13883746475547357	0.12211074053012552	0.13487806122395324	0.1347327856191583	0.16229914393271527	0.15139241304060375	0.17256574469089433	0.19643674025783836	0.21393540731037666	0.2034701254257733	0.2033134999636232	0.21253933528564595	0.14763481477173812	0.16922919854632965	0.13985796522556257	0.12484888950778239	0.1674229244361529	0.19059412298278078	0.2067679067688496	0.21294412652068806	0.2206733432043646	0.23235694646885174	0.1312226909816085	0.24248617513812343
105	0.10132410898984373	0.05907274793872666	0.06288747307443426	0.036215518124176796	0.10562082349567402	0.11618397462738725	0.13123902246619967	0.14373652601449322	0.04319951691714653	0.04307053432930409	0.042585654178147817	0.12488461462557159	0.058316037051520594	0.018798187873555895	0.06134062765098096	0.08805565755718048	0.13882014434636003	0.14008302098939007	0.16436638176634077	0.17664091235462262	0.16716232205806925	0.1431980470625801	0.11988485660600061	0.0026858440942770893	0.07076563666171617	0.08764659928095496	0.07171323026374835	0.12809201791029645	0.1376726807926202	0.15768112933231665	0.15320524144042474	0.17498458570997405	0.1519293733504805	0.13053365771255657	0.12370293837255408	0.11493242943345103	0.11379801562397468	0.09847917768389355	0.0705842059255419	0.12013379507230748	0.15288334990706956	0.17310228385330678	0.1641196040870765	0.16199515764964847	0.15691781170103344	0.1283342683014288	0.12809194581481076	0.136224332559992	0.13436580012811708	0.11341007398997999	0.11868588012628709	0.134896626615582	0.14806269246772769	0.15773136232490612	0.14361957874516607	0.193282959107824	0.22026390578847702	0.15934274781555197	0.13820071460163968	0.14557920804919122	0.160453490257199	0.13057710034494574	0.1275786737151176	0.1268511125847306	0.1871636967788559	0.17253848040490805	0.1828805784098032	0.19604986236982863	0.21194838528438048	0.18654429787593352	0.18066024559802912	0.18453946451243505	0.16792022310896665	0.11899358438240389	0.12909960635916046	0.13187829629214814	0.15436529897849527	0.15884051638382682	0.1645270759208829	0.20461621024843518	0.21217463405163717	0.21173860654058568	0.18947472012365946	0.20734282903219733	0.14594241714353304	0.11993592579112894	0.1292724651733756	0.12168534857909388	0.18514361141787117	0.19495197891598207	0.20623488909637355	0.23059939992141287	0.2227873753316651	0.21518904621699178	0.07159233664165637	0.2450457374036446
120	0.09757460314997186	0.08319082942487738	0.07357746452612773	0.05454914024639148	0.08708107926509501	0.07334219961304876	0.1175250291032035	0.15161877874429117	0.03457825297512716	0.05603157304576002	0.04996541895730389	0.1282431743929156	0.03966931099178249	0.04751413366595986	0.07714280963190259	0.10380322639502483	0.1417896508693266	0.12769813812023847	0.17546238444554718	0.1781158232052495	0.17362206154593812	0.1551996508669688	0.1760171193163588	0.01009780648508746	0.07709619894140043	0.10177034527596839	0.12059450193090804	0.1303673381304366	0.1338387679088175	0.13953960649424424	0.15790082967170266	0.17455150811419168	0.1469826995706343	0.14453641437161754	0.1584285749745079	0.14232947198907686	0.104519059971487	0.12430049821586797	0.11276265306756048	0.12489657405524696	0.13995062327082097	0.15754031396538054	0.17284747230773628	0.1432186507888764	0.14651877807064317	0.1549223490096655	0.1607092309451111	0.15359313460476787	0.1181661133625788	0.14261851360576122	0.13641167858647246	0.15692802453675397	0.130337738643173	0.14802198755471319	0.14873491943170633	0.17604861902516405	0.20175359209518462	0.191726892090406	0.1892110002169503	0.1382926859139488	0.1505402274512695	0.15180248958783588	0.11336277878382092	0.13070297735156644	0.17016196077964607	0.16248492144382762	0.15664363030411152	0.1803154613880968	0.19639670965605632	0.19911776595499933	0.2102334446685152	0.2125947326619383	0.15498070484191656	0.11862824207646286	0.12897667093660786	0.13194983940764551	0.1701863612662186	0.1509021802037973	0.16312008669199282	0.21816760964573906	0.20458885537276988	0.22360410393926627	0.22419880677337634	0.22750843649551553	0.15026843490063851	0.17053204655246834	0.15265008737576707	0.1576470437939597	0.18419905710794546	0.20747197974072293	0.22813841527874865	0.23846542249690827	0.24247669376282324	0.24598710526918127	0.14216581560689073	0.27270733379487966
135	0.13261930883973783	0.09908107136920984	0.09518217343271965	0.08312709052218714	0.09651616518885237	0.13305082662108086	0.15837726803660235	0.16118362983016696	0.01322821994591996	0.029222605297412566	0.052605508826061034	0.15010000961087702	0.0951152584323865	0.06199785433232677	0.09230406437167563	0.11233553424238868	0.1635180861326414	0.1422477470443989	0.18911221259428163	0.1673407721336963	0.15242885305357873	0.1286902173798807	0.1643197139274326	0.008795185294473802	0.09943921127176882	0.1200953585835822	0.1249224184332109	0.13660732046303073	0.13234784848316478	0.1628196989063126	0.1724939137723828	0.17676864862600364	0.13365696958588935	0.13363044430796417	0.139557263313077	0.1348909769884088	0.12571551359209931	0.13056972245641668	0.12790945096130413	0.14061279949764743	0.14930308311108262	0.18441310270242928	0.1761740424507907	0.13795632401240165	0.1253950785655428	0.1492050888709694	0.1559521079621496	0.14846059116827517	0.15077779477824976	0.14303566461286238	0.1412707572323345	0.17696346972864768	0.1466457040303633	0.18872745194760887	0.17155586349825475	0.17363779315843336	0.20221949311544923	0.19063180548580277	0.1699791989100798	0.1608744930166639	0.160495513817988	0.14614712161906512	0.11989372064005796	0.1498264335388419	0.2098933515232163	0.18373414766977975	0.17054694865049375	0.15837125122179263	0.1916689937765766	0.18274033507013004	0.20574053912767026	0.21465006104594322	0.1809897390608182	0.15627173268288147	0.15227169896538548	0.15784514653226606	0.19610884772848175	0.21692172534087012	0.20902328581047494	0.22152613534903043	0.22999577674587285	0.2143976639761154	0.2277439176843168	0.23745448763071042	0.16177152413739995	0.18055621816025552	0.16621798235579188	0.1511198145733049	0.2024601872036864	0.2317211526945011	0.2225648130517563	0.23282633709536665	0.2167342673251342	0.19921655779207023	0.1313785213904725	0.27964872518381745
