	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.21047170764473652	0.1941017335638991	0.07529990051301423	0.07239395858196734	0.110641745296595	0.09094822191776397	0.10211403937570776	0.12763892508800112	0.17751809119043305	0.15163863038821918	0.16346835541451196	0.1595672069239383	0.18408948781035755	0.2078013002781655	0.19440291443666757	0.21854045773419128	0.21116903140373372	0.19981499114178897	0.2243786459327327	0.21459894350978553	0.24834261933186919	0.25246703852534674	0.26085829276674094	0.14798857054329922	0.20489384529475346	0.22904017795888515	0.2444621617046168	0.22935822097300834	0.24475163508943887	0.210850758141617	0.19689585675169902	0.205518413463803	0.2683722739765103	0.25059859594787826	0.24500621406356204	0.16251291124801887	0.2391676384486813	0.23945062029832137	0.23908188891690166	0.2500223979234685	0.2379307814928804	0.2073713285155393	0.21485614593850058	0.24049253832849854	0.24421577421486346	0.26439256855597504	0.2847609354660515	0.2253204585109756	0.20841486723200903	0.228576268509882	0.25733565606704023	0.2860732827491316	0.216453851182444	0.2064560045987271	0.23369797797730835	0.2504883630599913	0.2632979641306994	0.2704761866982429	0.2857488664309433	0.2009173622867301	0.2637203973895639	0.23187919674751278	0.24953275340464176	0.2684759783767694	0.26994757284065607	0.22406696164346834	0.262002074285997	0.26863530898321997	0.3140951050142625	0.2670577594165974	0.2686653341910405	0.2039539072093699	0.2599198394226769	0.2340544807238276	0.24227853222085977	0.2712823686352668	0.28052162979896267	0.25708922960076924	0.2638867429151073	0.29679823657407317	0.308798649146549	0.2972762909252334	0.271842138827744	0.20196982777713499	0.2839262437434611	0.27207436195807533	0.30299569009394967	0.2878956336149905	0.31849474126423283	0.27492531229437983	0.2938199780027439	0.3044818120241968	0.31844368936933476	0.29564087247605364	0.20999148845710164	0.21053167743077775
15	0.19300219777501545	0.21285162823793707	0.09399987026136819	0.08187173480363197	0.09108785857086343	0.0732438508419696	0.09597162244820104	0.12741270744950023	0.13538790868963302	0.14353954618013212	0.17252335126846052	0.16053680314669547	0.18524303611280327	0.2106061133413828	0.21032785554677447	0.20777980118750367	0.2252168155851412	0.2085731863484115	0.20150540378957027	0.2039458383519663	0.20829364711537626	0.21866260189432135	0.23146421682725343	0.13033973162884244	0.20785608026528282	0.2166694080641384	0.23726519188223744	0.2134946500920376	0.23671937715771474	0.20597653479747324	0.2180634192372881	0.20253409324540167	0.24097733475652683	0.22599229317167757	0.22445683644705886	0.16005814776364793	0.2492994161878073	0.24152947382776574	0.24320634392154772	0.2411255147610565	0.23249633940702447	0.19935921709417634	0.19550140514194553	0.2392997011900891	0.2220443933870157	0.23621687907822309	0.2860924931567621	0.2087610188181276	0.2136631157530685	0.253303053064337	0.2515283547401382	0.2635030275572941	0.23780343693906325	0.1842556929618464	0.209196544133759	0.23118001314242873	0.21483835479780658	0.2550393910413899	0.25466780779764286	0.2001157313241964	0.25917163458304127	0.23184121609611572	0.2379620331635178	0.25488741273328674	0.2638403686479249	0.21358137945259809	0.25378720831322155	0.274500973255108	0.316600088741727	0.2613405958411831	0.2589754258641428	0.21278160694517467	0.24943713198678485	0.2402521695559409	0.2415768967371073	0.2642570441183084	0.27066232231143816	0.2466495695530942	0.26352041018012035	0.28699813715887557	0.2803413357685066	0.2545824148393041	0.25877779413255186	0.17151781751152154	0.2850602206574977	0.2762682747856158	0.29565830846404473	0.29133025959223846	0.3182910576649104	0.30032822162454503	0.30790127642221143	0.29957245972559754	0.3125033102192491	0.27681960559810337	0.2150277697240726	0.2222731305623291
30	0.20252530757681222	0.21342682732166113	0.09674105036494536	0.09412903421105748	0.10677621218608283	0.07805382404195721	0.1325138089835745	0.15577437948265227	0.18553345727741793	0.14228071524002783	0.16464275091815278	0.18182477307394107	0.1739472318377673	0.2084393571377229	0.21797941589466824	0.21116310452295847	0.23537344842024868	0.18738937680600876	0.23669219534640246	0.22092988682780385	0.24101922760777325	0.18861831002611756	0.2218319651537381	0.15476145626717241	0.22094858981032883	0.22062304715240139	0.23722524758770847	0.20935591306224108	0.23864964701475333	0.19454738379590936	0.2290867778718037	0.24405431552804502	0.264087525341301	0.20765744099370487	0.22280391749654488	0.17680118711699977	0.23702019579922107	0.23647565471880255	0.2526142110163343	0.24442146279851146	0.23519824290920344	0.2016164156471673	0.23459441741498227	0.2519984392684436	0.24801458342152144	0.2186537218016043	0.2696897332644489	0.2156239270532302	0.20969668286889792	0.25232278218617676	0.24098161441140165	0.26340384804394346	0.22481999321030188	0.17565753503289694	0.23033650260934774	0.24254170533484176	0.26256219424586563	0.22747747047045236	0.2634826591772101	0.20167548352620923	0.22235816645699527	0.23393934986311613	0.2286440474231799	0.24913971390838544	0.24559311422065555	0.2122313949892971	0.25632767191698186	0.27417943596878636	0.3182513421009532	0.24223006925850638	0.25320461726957516	0.19344434556490953	0.2501470462862147	0.26589856592842864	0.24345015694992464	0.26326903314924605	0.2558450266449388	0.2220995401181065	0.26294655981118253	0.29404149251380574	0.3032756000453637	0.2501990224236946	0.2807261275984205	0.19697101747193468	0.2629564292567174	0.2738222230347138	0.2913417054506481	0.2732027833263265	0.31118585364578755	0.3003344220241638	0.30039843185650905	0.30309706184607865	0.31963573332909	0.2836829000461683	0.19796769290332705	0.21921243935530493
45	0.17895126669699743	0.1614280891479917	0.03336111467160334	0.05272677921473405	0.045979850371989414	0.04373539142234445	0.07937572080766953	0.08584305947556095	0.12325426567558898	0.13095834527173478	0.11266338100877005	0.14371550072259967	0.14298559693535245	0.1591282163038813	0.17025580833914633	0.17096352509596743	0.19271690919103027	0.16890199951918275	0.1796407930497307	0.17911768825589905	0.19680793862319598	0.21030584011755435	0.19892018373546233	0.1122213732924505	0.169038826648298	0.18652171517357796	0.1881901883171237	0.17686162555496743	0.19908001550007964	0.16090985573249206	0.1981352237904059	0.18166361058912045	0.228944240032538	0.1939045155061121	0.20279762184772218	0.13323816057851273	0.20303454561664394	0.20602221557171796	0.22754866105803145	0.20378534182534352	0.19356545139075337	0.1866304374121886	0.18318159083482338	0.2085808914737428	0.2162686410931382	0.19993723957309983	0.25492620229885593	0.19251891630750173	0.18568227961135025	0.20721894513043443	0.20337741663632053	0.20779340265460422	0.19678760399143302	0.14709015550012214	0.18821527582805542	0.19874209112968969	0.22119275111931896	0.2309658754084838	0.24446778930076674	0.1781655147787699	0.22482403429703335	0.20119761743262474	0.20341897085837707	0.2275585651736663	0.2145839326063803	0.20009832742114161	0.2401788777951434	0.23232936675589846	0.293770067663763	0.23111149092822608	0.2560975583784634	0.1718316454756764	0.2056595377921545	0.2154065285849881	0.20010394192926378	0.20884187897232454	0.22324547795357885	0.20682685589227343	0.23297645096481562	0.21497661380724126	0.2674055999328466	0.23342734171419924	0.2407859720539271	0.15338116329123666	0.23351620331898912	0.23350342401848462	0.2761988837354454	0.2637015803764863	0.259131736577386	0.28087729135743816	0.27836836637757295	0.2558015629138912	0.28668986232648286	0.26013435626270764	0.1690125872414141	0.21580515420001883
60	0.18370057167346923	0.16716979011251853	0.07056672863788481	0.08599269833946344	0.08157083395765759	0.09949812052857201	0.07699758900224482	0.12206861586438483	0.1566601229156133	0.13888857117830625	0.16271565060154478	0.169156098313974	0.18506854100139364	0.17819373459435983	0.18347368303990833	0.2082354399980978	0.19976110804074648	0.19883247053694164	0.19982394513002943	0.20057562249091573	0.23131174717759811	0.2269301066377904	0.22487977252628905	0.1348420454494634	0.20124420637367743	0.19626201329621962	0.2150060454485773	0.21307031137467747	0.20117067044585496	0.19646931664635026	0.19967741563881602	0.207091952757823	0.22644220231327117	0.20455290173549828	0.2325320136328795	0.16710085154591137	0.2282126915114619	0.22532563768574576	0.21845376525368937	0.22352873030386694	0.19414216932289113	0.20122092904652583	0.1807021816556248	0.23412812772268082	0.21571953397247373	0.2317975837281103	0.29172157677226707	0.2094647505663022	0.2162692189931401	0.22583396699456032	0.22875146656279638	0.24228026432314992	0.19600573550957845	0.19068360687859376	0.20476537624686653	0.2270697691477128	0.23948027402909558	0.23217970546316974	0.2647290348394512	0.1998447073485367	0.253861793165572	0.20168613066382055	0.2313270699036537	0.2498438153687971	0.24553902430695973	0.23718295085733998	0.23992660906424498	0.2717262113027946	0.3002218901896696	0.23678732218531343	0.27265327449416343	0.21545998167311503	0.23771694300429513	0.21499943008991707	0.20495674081283816	0.24314209259298314	0.24360048780954696	0.23756146537779532	0.2272774832182539	0.26135269200484434	0.2771604865932632	0.24151965695590744	0.2628389147656788	0.19614846140313347	0.26046506411424886	0.24407395171060364	0.27914698213507716	0.2860720625122166	0.2933652786840383	0.29943005569843195	0.2901448877221725	0.286490279838321	0.3093063568279978	0.27838154786345237	0.22187252349827502	0.19437889726495666
75	0.1633020814117769	0.204643380357957	0.054489489296661336	0.08940661418273878	0.07852667282732642	0.07730480573218808	0.08962419066850424	0.14777583562178856	0.13505519587642428	0.1636251143046241	0.13899018676669447	0.172421060527917	0.1485969836935203	0.20304876120387244	0.17100482369062192	0.21676794108644634	0.19165484846066777	0.19159837241399935	0.1930254553311844	0.20441778400681632	0.20711700405143152	0.2323056252638133	0.20374512742653828	0.14879347730438713	0.16182832041767908	0.2234986577620894	0.19548686379967928	0.2019547937585477	0.18748242357471404	0.17063053064556843	0.1799236551738591	0.21349521253324172	0.2169432147324709	0.22254403352041507	0.17405697476975604	0.15354112035522866	0.19920911579529804	0.24024600334225585	0.21337804218668366	0.23486805165832053	0.19686439734126862	0.19589598420458854	0.18342634459257318	0.23888056975186212	0.21274995046131986	0.24619375450807457	0.25566407820125536	0.21210791337432106	0.1803447195635026	0.24276572357049475	0.22684195539510854	0.2597993310479504	0.19085820460446495	0.1797778811933386	0.2032394126787159	0.2321048173775498	0.22911929965783678	0.2588736196184185	0.22525445147373058	0.2057723705189487	0.21628937531640935	0.22288670002409572	0.22586755135051587	0.2568989483620028	0.23942585787705495	0.21877079604888275	0.223876254619504	0.2567050528625652	0.2746309950609048	0.24241133485367106	0.2425412255909256	0.208634607373998	0.21674727315495812	0.22422647521716438	0.2102708884350797	0.26376018031095305	0.23725889398137787	0.23569156909195116	0.22169245174746277	0.26224356202293986	0.2593821038456358	0.2661126238446705	0.2408936296611403	0.17226551928519898	0.24003118246605304	0.27090345964033125	0.2662676253274826	0.30250313916783533	0.29910034816560416	0.2909876277298809	0.28125568211014396	0.2951650273361966	0.2915067214951851	0.2877557955880419	0.1707793791559289	0.21262786031651343
90	0.17577133384148258	0.16758241453853656	0.054639381698956796	0.029226725274057175	0.04592815795175375	0.06003723541581751	0.08241067107959826	0.10270183480008613	0.11463038827573688	0.13788155182653178	0.11603448416647151	0.15735649897825182	0.15892374636440493	0.15813869963016758	0.16346258755798768	0.1270857417408462	0.18735744949170752	0.1607360112566708	0.20078621485028803	0.17880000787412337	0.20213155212406136	0.2207950874388348	0.19609298031441263	0.11711462627462338	0.16114882157826982	0.18465850431721453	0.18936064157255555	0.14217859020620083	0.17193921067828402	0.16793023132384433	0.17290558751224025	0.1849432591948602	0.22056173013732566	0.20652319556545543	0.18785456222565625	0.14811049330570653	0.20565120324207653	0.20322054094730563	0.20638963701944815	0.2006822450585987	0.191219002402125	0.18431629602974398	0.18032213048026738	0.21230123645127336	0.1888661400666542	0.2208985470602613	0.2531132439698949	0.20598424503794255	0.18283436586623913	0.21857587081849694	0.21243908819376192	0.19849766198591745	0.16035378087129845	0.15472499939082912	0.18895807221299166	0.20071114634860404	0.21496731604153324	0.24054060556767934	0.22602678055859302	0.16402832357369979	0.2125986482820536	0.19736597975743048	0.20514415182074272	0.21595875479547094	0.22417766878381487	0.20123776967044632	0.22386728508484896	0.23257495866121475	0.27805467320730204	0.22877731960617606	0.21490842312665318	0.1828566503848037	0.2001944502072951	0.20927401738086526	0.20288604913904507	0.20622939561741205	0.22628313992938387	0.19325054187616655	0.22534625134033415	0.2455120543453207	0.23697489759011198	0.23865960352280569	0.22275373464257486	0.15902456183064514	0.23670511849984527	0.23229400281204296	0.2699048697267241	0.23826069441555364	0.26806505227418814	0.25804539068145804	0.2567415451974957	0.24684861836876273	0.2767368540138303	0.2662990015557534	0.14982616749495636	0.19617478337094824
105	0.18518032673830698	0.17718540972040164	0.08366620498174802	0.08296260258700265	0.09143870932454051	0.0892538369416602	0.10424081118829516	0.12863812007093467	0.12684377641791592	0.1395517406468891	0.16481320937849622	0.14422855822558042	0.1817971475392553	0.15956102681549528	0.19031000015093846	0.18577871421247433	0.18638575362239762	0.19792033799313152	0.1908985998254067	0.1944448851160857	0.19182187048001792	0.19814549630366723	0.2178676292927639	0.11183813797169564	0.18810545149947283	0.18505998984889954	0.195857535446133	0.18031856737108268	0.1906588067653684	0.17834048886081189	0.19266606623836935	0.20057793095252205	0.2102690293359218	0.20092202922024366	0.2068754672762325	0.1430318248731412	0.22168468461705393	0.19897417966551773	0.21057274801128306	0.21765342849919145	0.19319966720151255	0.1895328930761243	0.1894427955193454	0.21673375449749022	0.19329285184824682	0.20415095343373005	0.26583449479193394	0.19122885479023966	0.1969042281708382	0.22599850481159908	0.22988129700372684	0.24160854631912265	0.19399906541282108	0.19050414034260488	0.19369341116228256	0.22051204875205274	0.21478551236240273	0.23218561842851707	0.2514144535843421	0.1769064993532239	0.20827422997816536	0.19748812887466993	0.2366120812553949	0.23904283313205	0.2290047016881267	0.20193816582242535	0.21946557003155548	0.2530912471238606	0.28776949226329696	0.20778082929389155	0.25227565569581556	0.17590204195603962	0.21602863048973098	0.209451986040726	0.21881997855645585	0.23858983040559656	0.23521071030185178	0.23509283502949657	0.21703802705055875	0.2565223931897265	0.2798471352158371	0.23530368330036006	0.24527053007658667	0.1593064877840865	0.25171050328625333	0.23825004575124226	0.2670294388634238	0.2731193082580838	0.26627491948936344	0.27653189740397865	0.27929775240879084	0.28727753771297426	0.2921568986042452	0.2484776223179963	0.16356956934692202	0.16587207417732638
120	0.16604657029577657	0.1808201801217089	0.06672776918708259	0.051906234251724914	0.041138019185688365	0.07124239390224438	0.07173541094772394	0.08879109671107338	0.11181196338276828	0.12520238596376423	0.10531134571079102	0.13379845611367794	0.17582744255516655	0.17996483794532991	0.2006187760389197	0.17528105469620206	0.18817446735447535	0.1995579838585882	0.20477648069704404	0.2050197751867951	0.22086159023874186	0.19968727851807866	0.17761742539491465	0.14377269269762472	0.19843333452300652	0.20155779929894427	0.22535212270108113	0.18061939471180777	0.19632768345206558	0.1920872589477811	0.2026354069173566	0.1966617528264737	0.23849459979078086	0.20796607766674652	0.1802628555863079	0.16969100288430883	0.22253437199491768	0.2161549839721248	0.23624030465250087	0.21544726135608985	0.18532643257221265	0.1911365731237848	0.1976741011430596	0.21126865676853698	0.21198299310340896	0.2283795618377018	0.22964299279311495	0.19954167794914723	0.21300194394707675	0.22201003446379414	0.23216842109128577	0.22372461524149104	0.173911503622204	0.18540580152050024	0.20513904799923333	0.20651151843373644	0.23072115291282877	0.2317028989892786	0.2035404946099145	0.19522431753176545	0.22194402387704126	0.20372677605279066	0.23595276951644148	0.23885504348763997	0.21284542704016576	0.21212022485111706	0.2310252746257688	0.24201213502074492	0.29684682262046946	0.2086294130631699	0.1985990501272789	0.19317492155322863	0.23571612019653798	0.22925707567803902	0.23587358181900425	0.2525315958271116	0.23768178570927717	0.2267038613883146	0.24680672891829103	0.25030960355232657	0.28722928473224196	0.23548973195170136	0.216123280180413	0.2152587735618625	0.2463197139699204	0.24838807342132668	0.2938216988168125	0.2611737460028619	0.27440370135209163	0.25724141492832375	0.28633252992778735	0.257121648316771	0.3050003001915704	0.2500951127306628	0.1404118447088614	0.20566922253129177
135	0.16273507720568153	0.20398476568713633	0.10565587246359529	0.07604548524936655	0.06544381124999957	0.08791455326400001	0.09296973922397503	0.10030797660106032	0.13302788458171635	0.1437514167483545	0.13076588889515528	0.1690540263917999	0.14727142471146487	0.19573961997570302	0.19543947607058715	0.17890998564939722	0.196282646077232	0.19522869581355276	0.19659986737758806	0.19209301086282743	0.2144089089882085	0.20248727184717086	0.1913226358189392	0.12557620747745157	0.16487930031963405	0.20807873740132946	0.22233701564648245	0.16694324070157773	0.17838020914241937	0.1840795409249438	0.19812373498820163	0.19360585045741696	0.2042708958361301	0.19399183319036148	0.16634659641226637	0.14386200931411097	0.19793731563229136	0.2216811033859479	0.23608324675048903	0.19577694368435783	0.19044451262938883	0.1932402919895695	0.19847546450749182	0.22042676211124698	0.19993386787577552	0.21208196563032294	0.2483968497595685	0.20637501067303854	0.18380749895195625	0.23664883750314092	0.2463249037165816	0.23488417070435086	0.2141385461361536	0.18253673303246423	0.1910584707347633	0.22714244985414356	0.20977039042241005	0.23421389779686305	0.22162980680178665	0.2083488074031582	0.20281184128059626	0.20226912917137507	0.22682319735661757	0.23839669166846209	0.22289448188449124	0.2097995032346932	0.2232712176897235	0.23551047462768088	0.28333298606856727	0.2245647940495164	0.20775373574251982	0.1877815573877596	0.21419469539999852	0.24362762765106052	0.23233051828077433	0.24998302098974068	0.2490363481680297	0.2346365149770454	0.23510655450361145	0.2522251515368811	0.2464538382767122	0.2303957750849603	0.23341693445604833	0.18671302046829746	0.23510430545227284	0.25560097453665076	0.292098626716464	0.27393088073368266	0.27310501030632706	0.2781490637168732	0.2734961871439545	0.26748324287931946	0.29741490062647	0.27919523670166446	0.16132484778301048	0.23530001235798906
