	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	-0.04370841888448235	-0.03779078007901593	-0.07830306185033278	-0.0912697243547145	-0.09548362791369891	-0.08327017056897554	-0.06669800436637036	-0.07497520669171881	-0.07769435754032405	-0.06550003389637923	-0.05340314906040777	-0.010410244795639678	-0.016514192736320266	-0.02911283229330075	-0.010078407428338043	-0.008748100816824589	-0.004798002184404959	0.010927543043923016	0.007097694843969382	0.010281390095330356	0.0049897782706916916	0.015047515387271226	0.030532642765581597	-0.068887915511923	0.0034919172049317493	-0.013237288265001479	0.01607208539894528	0.02843720196214483	0.022861513675995482	0.022675882283797744	0.0448551221963967	-0.003994969495377865	0.005693434674922615	0.02025572156454636	0.03641835981299174	-0.062061474947137624	-0.008022753411360661	-0.012199602519076813	0.0020574249901429975	0.016230236263164388	0.021311998151651912	0.024423856503091035	0.03785483583166005	0.030122543531436285	0.014129924176761066	0.033144490456287645	0.035266760221476234	-0.04532455208237163	0.04541945226630134	-0.023713112615354526	-0.007053698871113734	0.0058102976186582556	0.007111481272288445	0.02268417003347728	0.05054383211727792	0.05578548809655359	0.020095277128490074	0.04123917020911916	0.04723759447324	-0.01474511685929053	0.014679262089642708	-0.004486579227399756	0.008508630111017323	0.019922962974948888	0.008938792883923463	0.03395353712882909	0.05719476157678155	0.0386375655397439	0.035497366519611995	0.08247510037866607	0.07128952756113655	-0.0017461399226182395	0.009381627457540342	0.024912483061373836	0.0270793656886546	0.02779359273381593	0.022664066093143587	0.028455871773139685	0.06842043522202301	0.06758913222243795	0.03990982224222123	0.08600790927827912	-0.03231965476510362	-0.061091308907726655	0.03112309602458324	0.042748469445027915	0.03796912992202833	0.05060519604963587	0.012217707788782561	0.03429750832147954	0.07318584134891304	0.06436562615919883	0.06839175868998204	0.11071916411767124	0.02175793166686857	-0.012304938784632624
0.25	-0.03638634146597375	-0.01995007234526086	-0.09871939677881356	-0.09231739739165384	-0.08485585209660709	-0.08896859178902564	-0.09952854587757054	-0.08607455907342815	-0.07699101917184151	-0.08520840804345947	-0.08991812356935655	-0.03353003964193113	-0.009318760834681639	-0.01749353563513395	-0.034360768416082044	-0.01594545745835152	0.014553561069332921	0.0012917982816976759	-0.0067981271105688745	-0.00911448006057708	0.006741766456182852	-0.01790307579554784	0.0024973875786544752	-0.07934455071422239	0.0009008262552912538	-0.01167920062079536	-0.012697253785779072	0.006742190894400368	0.033687593244756286	0.011926854071827586	-0.006230954269481059	-0.011282922367597648	-0.009233042129895286	-0.02415324581911732	-0.010076627706157415	-0.08596413973768766	0.0034637483299605476	0.0039038146319714806	-0.012575941894157117	0.00222339428173296	0.01672748082465092	0.012942172855017198	0.01657487367287841	0.007065428381929306	0.011160849418546503	0.0002985321438112587	0.0026493009277237523	-0.04615903721810416	0.053101536799043725	-0.0028346552094786204	-0.020358381320358165	0.013538901572672124	0.01604443949321338	-0.003597326335890605	0.010955629572852121	0.04503321034193458	0.012870313881213402	0.028768305011427797	0.017287762754040648	-0.03303237972781725	0.021878860585087756	0.0059124846127047714	-0.008644285894383263	0.008410055161243102	0.018831889044390204	0.022872255753097648	0.009783989182149455	0.011334197577304472	0.0429514201210221	0.06318991730374118	0.02975686250066023	-0.027099484220091674	0.028977558344048138	0.021289036283587914	0.012642238909366887	0.009517196996121469	0.04409364107830749	-0.007441397577104547	0.04337720780044696	0.052154674159220815	0.028512349745336174	0.06374556526384251	-0.08003212316310343	-0.06922618338667769	0.040442636749512095	0.046820848031508544	0.03813312874693581	0.020835037103339837	0.01725785618565645	0.02649460295365591	0.03425968864916673	0.025243668929836816	0.07110819176096833	0.06868817457969778	-0.0331981876031906	-0.023129555802025914
0.5	-0.04282557982970253	-0.022637591051975603	-0.08908162501749664	-0.09782640447086985	-0.10116009588312386	-0.0798423375268622	-0.07965301656031093	-0.06888419338870058	-0.08707771280088603	-0.06971626321348326	-0.06020116800192438	-0.03178219900021856	-0.019622599987928258	-0.01325042245543434	-0.018608964350102564	-0.02588029069973191	-0.005720542629040426	0.014549672922323842	0.0011238628496503256	0.02898074298075909	-0.009161807365507313	0.013741315943217702	0.02892823698826713	-0.07621361697114304	0.003967132682268282	-0.007322079997373998	0.0015595227134956868	0.012658251652205688	0.01330112704202846	0.021673817633859005	0.02544932576508746	0.010118624560107592	-0.00053537248732477	0.00034782458219334567	0.02014821166816938	-0.08099875304240076	0.011482066924370316	0.0157132210554633	0.0012176220591135767	-0.0031623086527138855	0.014553713045550198	0.022338617725024545	0.03220535612640968	0.052880403107898544	0.025322712789665025	0.030219447823178647	0.0430642159695111	-0.047196650822377506	0.05665076544206077	-0.0004946996960296657	0.0016987105663433533	0.0014950751327299505	-0.0014913456293345617	0.021986195274331988	0.03231977602802699	0.06881174625043662	0.027900138874716984	0.039417207388883824	0.05391310097967472	-0.03274278933664254	0.018098115391421477	0.008951742894840353	-0.01066607459648683	0.004076114064165304	0.025936138301527634	0.017747778815490778	0.03138506164553562	0.051505190256051714	0.03831389538704949	0.0660907352541849	0.05778475559017732	-0.008318432093868344	0.049466495407383404	0.044087905349163126	0.03064497349347689	0.016196456235815226	0.02194525555588145	0.02350455945015717	0.0641584929465745	0.08971917789364536	0.039397027360041526	0.08408018055075356	-0.028385524504059123	-0.0861652520978885	0.05490403135089289	0.05676237637281101	0.041302912876507336	0.03179790854199771	0.013693745504460952	0.028850653664220516	0.047151791503027396	0.07887226088011917	0.08180096898815276	0.09274616159854487	0.01309925479220675	-0.019635293010406785
0.75	-0.025269008647986424	-0.021785890986828038	-0.08871799494693053	-0.08964305520188218	-0.10427431756651143	-0.0987818290534686	-0.08143072623945877	-0.07692147595581178	-0.07647164959485359	-0.08795503829933174	-0.07425798647086199	-0.022463246764516276	0.005818334670066594	-0.008323954599733063	-0.010796336233023285	-0.007269043270979325	-0.014635991660216341	-0.001611788104135592	-0.0017160390532139913	0.010156460323130667	0.0009976735211993382	-0.005408113764375833	0.0300484802910283	-0.0639613987846896	0.006294051387358224	-0.006527384392345126	0.01068865822778875	0.03048209561956916	0.00867588137733255	0.007306399979928435	0.01375865817323113	-0.005111985445937439	0.0012338228002639062	-0.00560246638538292	0.015045595599692152	-0.07252161229407147	0.020256043073523966	0.006566964287563204	-0.0031350762780008035	0.026684693395470693	0.001613209302799623	0.012247412585830342	0.026869575678663382	0.03578867363515048	0.01680660757339497	0.015175519945920313	0.0309756197084759	-0.04022813601702241	0.0585248401749211	0.0058351116409092185	-0.006714715119153503	0.028315966482347188	0.002383311554378209	0.0033717969194606012	0.017419949165250137	0.062148578240233454	0.03434200344557081	0.023841270288010752	0.034584852150115974	-0.007622381186151217	0.043228006983146494	0.023024914926028484	0.014328435163059261	0.02513213262238878	0.010327379662564307	0.013380885009946386	0.04128259155155445	0.04453299241802994	0.051084537952020115	0.06524828262779242	0.0666968480991903	-0.0025623107910079934	0.03975542430956408	0.04090093999148514	0.02524809715409604	0.027404017226682786	0.01719483884459505	0.01629383937629053	0.0421639515097878	0.08552455856843044	0.046401877798709856	0.06609819103543613	-0.05825190760143431	-0.06817525327739588	0.051309019137873446	0.07434643493249915	0.05923489334118387	0.04350855351176752	0.016166988780373315	0.03999153163503866	0.04357040801932044	0.04937798214990474	0.08624543341648333	0.08410537824868441	0.0035498717157363413	-0.00524575759606466
1.0	-0.043810142907061145	-0.02163930865144903	-0.0815231427177654	-0.09616112305313401	-0.07965553074468648	-0.08341736295533747	-0.07741824364120192	-0.08896730270238357	-0.09159488422570167	-0.08010588382983602	-0.06571097371399173	-0.026526257167831357	-0.00883786100929368	-0.0040690815898671295	0.000783654493292818	-0.003716657952070712	0.012725913329565575	0.017280687592157506	-0.012739640993993051	-0.0037707633373834093	-0.00046334037556683416	0.006397815431923803	0.04874622889246222	-0.0675330678956044	0.01678911785896159	0.004446218440866845	0.016713892961103483	0.023569763035350966	0.029699176295404472	0.03384151901046284	0.011295001266436455	-0.01676120292648764	-0.014734357578182478	-0.013447395096919446	0.03071244625785824	-0.07739152591056866	0.0266942218529016	0.01049877097453894	0.026456643662766732	0.021714733831384114	0.022153714234833755	0.028788603015351966	0.030381655098300986	0.013581711079464986	0.006293703003431905	0.030028836696533612	0.04265699721192456	-0.030194770551712158	0.0476336215551314	0.007858254260605102	0.00562994129725386	0.017736730703726167	0.02651238580304377	0.035069236524891634	0.022624183853652502	0.023499674614706867	0.009164045098674689	0.018470563769239057	0.04085593829797973	-0.01971669566922335	0.04611511560792125	0.006472285623190022	0.0182056485905982	0.023187623660050782	0.03641848704954975	0.04865933565924685	0.02734636698932491	0.004890190648782766	0.03969607563705879	0.06290794360235569	0.06855129186764475	0.0028971639823633377	0.04170070535340065	0.015464240841713328	0.036622818496982124	0.01755885669723045	0.04800307737201259	0.03022807012444151	0.04590891232412725	0.05760795665730195	0.020310260931892754	0.07227144767877991	-0.051378321574633734	-0.0710821087262131	0.03063046302517397	0.08193543129346376	0.0525387134751788	0.045480597341416795	0.04121568853896118	0.06668143597925091	0.04387920133696316	0.05232322022441532	0.07342932513591055	0.10681006159871681	0.011757984891021755	-0.012521411556779605
1.25	-0.01497462471058103	-0.00876347742847694	-0.0890402255747064	-0.08896435671687494	-0.08184121069661554	-0.08940759562020892	-0.09224121151997308	-0.07525878286336407	-0.06505710202827975	-0.06749807877141237	-0.08408054327356762	-0.03924141608092474	-0.0057281535198398514	-0.013925841956855811	-0.025028382384423953	-0.006838143438378463	-0.0035735981956028784	0.018773785980615798	-0.015668158947204358	0.011591635232485908	0.022781655129098577	0.017214312065478132	0.0054994265498756745	-0.08941930511037818	0.0430508427326321	0.01110572320111175	0.012762141420741002	0.03999284149990062	0.029159424202380435	0.03256112619635193	0.017946974007187477	-0.0017934068747361143	0.018234849227345085	0.005935090669491605	0.015097987518577938	-0.08540398865553561	0.041091887948903005	0.009662567552590706	0.0005117881411863534	0.026500129257803984	0.01544925413537579	0.03285851776200255	0.03167595816501767	0.034079422562430184	0.03767480868859463	0.0433915185658722	0.02253976799597668	-0.0639431007311631	0.0729605589659792	0.00918122427806578	-0.020340889919270688	0.03203895965974901	0.012540676728169164	0.018750682452008338	0.01124716926877034	0.0705553844983412	0.040519131147155385	0.05268366691598386	0.020624853109851737	-0.038583633161394626	0.06818437473901218	0.017737570476508868	0.015434237632820036	0.030405377553263502	0.032814214960599886	0.0337924845546394	0.030763183719294762	0.043937915590604115	0.06992033601826841	0.08671181038659398	0.06103920357281173	-0.01981466789422648	0.07983430730024282	0.03811006722535104	0.020826801210526658	0.03827187292387907	0.049000655068774046	0.03748898405455747	0.05776390971931111	0.08368101452723242	0.05918276497824709	0.08787239962942156	-0.07263565668392366	-0.08035935583803686	0.06208831131244358	0.06113096263120882	0.04089539566002903	0.04938265852234419	0.031581360249113066	0.02762291279803991	0.01551165716991626	0.04830331439048291	0.1099436853181191	0.10992455107117044	-0.02865122409572901	-0.04483230082535672
1.5	-0.02717834030332722	-0.022141678816616828	-0.08974364292510228	-0.09077405462062563	-0.09830892935091029	-0.08776411384665486	-0.08733964009812256	-0.07835906042444074	-0.07387580546181449	-0.0809303637700044	-0.07759350012733479	-0.023088881580402287	0.0022737902311805724	0.0012624638240097963	-0.022873191319591868	-0.017172011351329175	2.6339879856729365e-05	0.020791226857477585	0.006755281676588565	0.025210573656145818	0.01543706219002583	0.0029538290387227106	0.025967786936767878	-0.07647408075175455	0.026454171896537204	0.015953455073869582	0.01084971660286288	0.040075430554489755	0.04040124212588447	0.04145459544945773	0.03920622839893623	0.023525430070313158	0.017937545059155235	0.00983459926531205	0.019932889241234764	-0.08462056206171104	0.021402539322702308	0.02459049243873268	0.002364087321331476	0.034378961070579694	0.0133558013648018	0.04621156520025543	0.045532356955912956	0.04586784101440877	0.033279816443300525	0.028554613823480568	0.03718896812222	-0.050649549149538786	0.07342434281723198	0.02093326949006219	-0.010688438467199357	0.03202285851548964	0.01831863490166885	0.03167684233028817	0.04679751682511846	0.06231904267730182	0.0411070962167418	0.03396849846517158	0.04259777720621527	-0.024037923419311047	0.0686656988567883	0.02404496042240284	0.01203116496792217	0.0327457202815421	0.028731437923730785	0.03887283922622431	0.061859407602453675	0.04734490287310783	0.06796729928596962	0.08346176604558547	0.061329156965319875	-0.004426493376258611	0.08903883975250076	0.03826187831713035	0.03586582265013577	0.031087634834265576	0.04176939249683448	0.0476093908844194	0.08002592701439681	0.08325464566556168	0.03975746076510872	0.07443028696174692	-0.07068682313259411	-0.0722113115771709	0.05536973765391384	0.050472935385012074	0.04019624034609354	0.036804017680646284	0.035570580118121975	0.05073242161151337	0.06253120698204301	0.07157408743526994	0.10492585942442528	0.09128841619719336	-0.014931810338903173	-0.025782206916669992
1.75	-0.01654564755732285	-0.01475055130078573	-0.08055232854350505	-0.09302430058741806	-0.1019021073938369	-0.08755065172654258	-0.08906905732285214	-0.07751131764754707	-0.073672430903819	-0.06770511143868371	-0.06856722708480859	-0.029051372847774037	0.00815806220690879	0.002983939725015594	0.0004161382747292497	-0.008042630776533444	-0.010485628117609391	0.017577433136776954	0.02373119345448954	0.029744747371525437	0.023060327973739303	0.009945680477377872	0.037094724423798575	-0.07034084317841699	0.034059989222107234	0.018593222053037373	0.02893276219658336	0.04684003954472726	0.024334170598246774	0.038255006985731865	0.0460583109362826	0.02794100443782893	0.022343472577231516	0.013433506867736256	0.033164871550623476	-0.08998640118710435	0.02197744027778248	0.02091599763994434	0.014838146995702739	0.024385625646778653	0.0011363722955606281	0.02403646984883856	0.04144344400202593	0.046456987204312294	0.01856075586603534	0.027546598846980186	0.03802534024608861	-0.05988484609631467	0.061441320527982735	0.020779414055077827	0.012106687923598702	0.03460017770657309	0.005038709150735843	0.030028998177569488	0.04842962348808405	0.06967295152354552	0.04314002122476834	0.03936939713935206	0.049689737791680844	-0.03497948913787313	0.07020941718659773	0.015504761812931589	0.033658023344687094	0.04199951743917296	0.02114851366948234	0.04638060630722701	0.051560437953221516	0.06500691455145496	0.07273859849494996	0.08968449573429849	0.0547693678904283	-0.01664985430829735	0.08554446835004842	0.051544226738536925	0.04239518196626724	0.03812972410346904	0.04526948484986454	0.041818832022219865	0.0658601024598447	0.08254201717116127	0.060464799405642256	0.07666264749886059	-0.05597105976670477	-0.08320967963916506	0.06428192184942305	0.06311879074512688	0.06417567759617543	0.04568307420315637	0.027401427878635087	0.05770908607556402	0.08322291689795064	0.06713359799905283	0.10468090301597394	0.10464779057501139	0.0012747177193007109	-0.029358788378086587
2.0	-0.006589054157885077	-0.01236356432175062	-0.08608946843365481	-0.08250261415902488	-0.09093372970639488	-0.09006834143546602	-0.0802472209204011	-0.07595705497618921	-0.0804611281262319	-0.07386200624579525	-0.07118860750980205	-0.024813510344956324	0.019502156133915982	0.0068427995555502275	-0.007835359273136	-0.002501212523544183	0.0006121286734772635	0.03986293992061152	0.01570859419314874	0.046978928592335045	0.033679693033700886	0.02921918705180404	0.031467392227142066	-0.08682650912414916	0.028748390558319126	0.0129378257240656	0.02701098452075562	0.05001476938059812	0.031140572618529427	0.04726471529460824	0.04375399696880272	0.03220492898341509	0.023874041172748328	-0.0036011410533333676	0.03626870781927061	-0.0880004956802441	0.033348812224252566	0.025411160925303433	0.015399727309491795	0.047199057527327615	0.01287630503687226	0.05453888145107766	0.05214422480044806	0.05097984973553277	0.03285906636067021	0.040921818289959	0.03506017637440151	-0.05163090258550501	0.06709138231828227	0.01590984684357072	0.004583986518645111	0.049575290041072084	0.012526885309653235	0.038483518821514184	0.05961880264640318	0.08618933847657767	0.044746827342149686	0.0513039826618677	0.05895893736403163	-0.03381741795609622	0.0968355349226202	0.029544836085067028	0.026221223132164295	0.04278862240817466	0.02148607777839917	0.05313946092228111	0.06778415249108644	0.06275913825348295	0.07895572248617244	0.09610597644512381	0.07271793963755274	-0.015187374762995864	0.1185458397533532	0.043956656042018094	0.03863153452321744	0.042852188686617776	0.05909300460938188	0.04859133238689867	0.08033879116330517	0.10617082222981777	0.06216553079016901	0.08275326306279307	-0.04455056115521033	-0.08578615479133841	0.04648037283263029	0.06598538724327457	0.033175583455440416	0.04842636735353151	0.03809976250835434	0.03601410693411583	0.06711831253999867	0.05335607645273155	0.0858041202988753	0.0836725232320798	-0.013778045174343945	-0.03678113530558863
2.25	-0.01058787420817231	0.0009296103519200183	-0.07388353390943433	-0.0772220055593266	-0.08187772064942705	-0.08112819663730395	-0.09133244032107118	-0.08110503564694735	-0.07910609372007618	-0.05965414260997817	-0.04392584796732063	-0.012611213998498294	0.011878590852593574	0.019403627959649783	-0.004819893591898328	0.011932651780315717	0.023013260465146512	0.04208693910748823	0.005084143253231144	0.044709857738151004	0.012183424125233322	0.029073717340508565	0.07207482872395526	-0.05600751104807439	0.030910459962137815	0.030961553841101774	0.03898971555740399	0.06541632064555375	0.04862095501167807	0.05633666389208941	0.05295651990078992	0.04152004112259494	-0.0008288917984718425	0.024387406498412645	0.060201932359273846	-0.06631533635279821	0.019722257099191565	0.047402679516267476	0.0319948763325788	0.055723883903949056	0.017069470868069703	0.06615952289387539	0.0584368093082267	0.05575303938409054	0.019441016678597267	0.05189639074803393	0.07094013929368331	-0.029643604118298972	0.07186132841045206	0.030403140650465565	0.02247686087530837	0.06252120543941658	0.02724594503941319	0.055313855022120884	0.06315114373602132	0.08899265308798182	0.042193404120843825	0.05758014467833883	0.09173222799708369	0.012705153666104474	0.0965702693857407	0.03326682392352254	0.027638862629532968	0.04873521866170866	0.045860005760590294	0.05473268558998107	0.06445987790598301	0.05434030154781666	0.0627545640990963	0.09123523205880096	0.10658125939834084	0.007573623312653988	0.1256362612072937	0.05939240101643978	0.05812662133143581	0.06314593777666999	0.08687286093651653	0.07629423856110135	0.09443148418380576	0.10204546601743414	0.0541613562002935	0.10309116717320893	-0.013183159655809684	-0.04260604763848419	0.0525268990070773	0.07718270169064839	0.07801220923508118	0.05428390675651201	0.07696482029678453	0.06498569493862372	0.08411673505145545	0.05517640954074965	0.10864108864475258	0.11834002095332163	0.03507204889134219	-0.002559648560672201
