	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.1183138970913943	0.15190348195802497	0.04851853305573885	0.04151719640687866	0.016450876802040257	0.0077836251894591105	0.009676591306903116	0.014129237675893077	0.041806320186383764	0.018809271856645285	0.004545209799308884	0.006545704872115407	0.13145564712136448	0.18298732830963	0.2187483369220442	0.20719332688877662	0.22350832200788118	0.20400471118040886	0.20152078042161536	0.2171261558424346	0.2049844060384039	0.20062251381286828	0.1780803897054421	0.0071003338970554945	0.13600957692560678	0.20682383064896798	0.23299387944605587	0.24442946893038334	0.214750219731909	0.21585797441091148	0.20618828330618108	0.19913323901976082	0.18050696462804677	0.19023143759016914	0.1827650945139797	0.06712333223226148	0.1673482502817774	0.2068169821398841	0.19938764686639254	0.22953655569165937	0.22622762878886354	0.20821259499000333	0.2187689688268286	0.20678989534710807	0.20949313740815131	0.2071634350175404	0.20864934096578988	0.07750268452738088	0.1759528511587338	0.17691441230440513	0.18739406584439328	0.21733683446460839	0.20923992764582028	0.19705581834478536	0.20708625489047544	0.21567735576253244	0.19682788585616162	0.21914927977691967	0.19070999245379466	0.024450906009192037	0.24013845777908913	0.1866091401919282	0.24445251199904605	0.23418545723718115	0.21957632159866347	0.2329632178701505	0.23263743073035179	0.2204582701440586	0.2290010178635508	0.25014938942729265	0.22838809617922626	0.01347546856749883	0.20623444827212664	0.21904920434939182	0.22738759329780373	0.2223099801535206	0.21568813497795927	0.2384838700718887	0.24626051243757424	0.23993226598717785	0.2353896969628342	0.2658498333139918	0.07853677363629469	0.0427224374990003	0.28327048670933563	0.2703852680241096	0.2697059124301718	0.26418579634191375	0.28017568727131703	0.28332272565555006	0.3119023457789384	0.2730525404226286	0.3310100033546388	0.2790438150932851	0.17581763510715837	0.17951646769058263
15	0.11877146590347679	0.15153932491563954	0.044833995083439014	0.0499074919354285	0.04157893396410779	0.00997547687537607	0.007103833985054579	0.015559381946205895	0.047275325802266496	0.011091537713734593	0.006834285034432837	0.04691283798203917	0.12739421040644078	0.1612807360533534	0.22672815448839803	0.2070233751091895	0.21392877408952943	0.1806728308004524	0.1958567657090209	0.22566042764579625	0.20489612791620154	0.17308450956748925	0.17706877942982585	0.04759754455536473	0.1468401532986925	0.19369518645610856	0.22552961063499505	0.24088479831356369	0.2283429725014691	0.1899340278744915	0.20020594933304597	0.2019277431497859	0.18044724004510793	0.1763697636268035	0.19687766019978503	0.11143353893063532	0.18967488327070575	0.19547280442309023	0.22280224276485286	0.23888776778292908	0.21124129054597357	0.21475885652022295	0.22904198794543676	0.21705163299874086	0.21974737673207628	0.20322625809278977	0.20129287864819845	0.1027423913949349	0.20898251829497916	0.1826398732782111	0.21547838075359504	0.2164364551694671	0.221998957079866	0.18562557883967	0.22177588158889405	0.22948448534944782	0.19477629348592418	0.22272249053022763	0.21480805630261912	0.08380132841455515	0.2308810212565191	0.20276641408610735	0.25186809082646094	0.24858528632851024	0.23030134653050352	0.20798878042252864	0.2286451004924686	0.2289085561436751	0.23595459668077112	0.2259117490777297	0.21633286440996097	0.06256795014641484	0.22328385144924456	0.20945510397100386	0.21339675125766117	0.25061561487824646	0.22304887861025618	0.22754797588943781	0.2116671179076564	0.21190124481075978	0.23114103910410744	0.24855436026775768	0.09248507411692233	0.09721226939389359	0.2896196495538741	0.29932124609084326	0.27420234205642746	0.2794760751792209	0.28437639197142556	0.2813813190740789	0.2840272997859139	0.24902183615184564	0.32149692157777143	0.25448800637105784	0.17176609967399697	0.16262550876143206
30	0.10922135313989008	0.14851565337014472	0.05638091831878861	0.04008233070644139	0.023330268832922905	0.008108569516058615	0.009100817889797816	0.016284938287367396	0.03998541745449623	0.007255787867662061	0.00866532280355006	0.01197027952702908	0.12609152572070687	0.17303519099583306	0.23566696392374586	0.20924406755162564	0.21768613462245762	0.18279852907415478	0.18801562628630267	0.21603595767709383	0.19422533436750944	0.1689427231735327	0.18230958453552779	0.025370158908046087	0.12241846240875348	0.21626649439999887	0.2332473288217386	0.22127964172866496	0.2100307690006611	0.1826721298212659	0.21797971280345288	0.19890430751588467	0.16905872911863642	0.16069348782089043	0.19169625752602892	0.09838813116819811	0.15711073109439633	0.21364731857437375	0.22904240733014747	0.23427545516923592	0.19988822766553116	0.20390240197942158	0.22654797376686792	0.21355088199698108	0.2061556532746613	0.17097859129521187	0.20376870538860697	0.09493995465197783	0.18374838838157825	0.18369728155048298	0.20235775272492051	0.22642111403335363	0.19485913153404794	0.18439063090990399	0.197171609452713	0.2212266628865967	0.17623992748078887	0.1954503660541732	0.17593244145433512	0.04559832636879323	0.2413032880876096	0.19961345771480388	0.24244091884807895	0.2538516164835712	0.219959576579406	0.21648987830568275	0.23002951586189957	0.24122747170248243	0.22809255411048984	0.2200121914710675	0.22903484931840556	0.039968258552539784	0.235791182538985	0.22495227865148254	0.21209468724537145	0.2382728374260762	0.2159891718127275	0.21710592580498353	0.2131361207300318	0.20694574070849708	0.22536034750595846	0.22504607957697947	0.0795743697442388	0.07783469505522095	0.2740347250407288	0.2962782524947757	0.30040376531170276	0.28758430525144457	0.2768185021434243	0.2737321929790658	0.2753944214634636	0.2555937388270735	0.3160731005014404	0.22781210144651604	0.16226060448427893	0.16223617653141997
45	0.10769365786851239	0.16312896075466105	0.03443137164088888	0.03336128247024095	0.01696926350610482	0.014650353699378345	0.011252750136906325	0.013859576861015924	0.03425162466894548	0.01655428760295096	0.012748336007052162	0.013927334543841395	0.12021327267652407	0.173817080616816	0.22843103596152065	0.1988976708682461	0.20818609943253474	0.18023949824131982	0.1887583479158994	0.19131342333021625	0.1814640246014064	0.1608620699026732	0.18476834719120716	0.029123961806538617	0.11637488106697254	0.20636655147838834	0.22538018204816318	0.2121635371515993	0.19487870307066793	0.17676914750904726	0.220419511579555	0.18241304897194202	0.16462725675999967	0.15789828559659974	0.1899338053267908	0.11185663395627699	0.15150127483094922	0.20315095252289025	0.2141898999192139	0.2243359293649858	0.193398341307376	0.21246704612874473	0.21807174129574686	0.19921178511660792	0.18923753497014242	0.1816106015386925	0.21579247351538006	0.10875811059722557	0.17529492762325796	0.1793018518167022	0.21472938176930542	0.21488886341391622	0.19788939701877412	0.19887734478065944	0.21722802009718656	0.21540671116367155	0.1909884060197184	0.21216967979103596	0.19367102308768339	0.07957124942948031	0.2336308896797262	0.2092325601133621	0.2584576739210408	0.2392641168995026	0.2058314940463249	0.21643667668223063	0.21599739469495788	0.2326471959275933	0.21626274605198154	0.21766589906828054	0.21769238735155677	0.024244530792162905	0.23089758883468287	0.20691391480462118	0.1866611890939513	0.2281866519941068	0.2021762977170441	0.21329890562436177	0.21479203584288684	0.2178914788643301	0.2177542490104261	0.22315521015231854	0.07583197625300325	0.07279732269409231	0.25986411250363833	0.2903455932403386	0.3072657155514492	0.27074000491226863	0.24874947993427016	0.2799435230760154	0.2696470731087894	0.22691319119535325	0.3101048233272233	0.24819746187885722	0.14641141481552447	0.1565743146424051
60	0.07754736738272938	0.14964138465411908	0.0352542238294975	0.04088083690785659	0.022118241771532005	0.006259409084770708	0.01137846436559312	0.01899824904525914	0.049217592543748294	0.00950195939151852	0.0223744246848045	0.03885099021409699	0.11065597947908903	0.15744892159034565	0.21815538792907962	0.19736634495969738	0.18990046050967113	0.17229244350969325	0.18645484017502856	0.20888793976830278	0.19341490457458047	0.15878030929705003	0.19564944904723636	0.015398127877319884	0.11983754962608148	0.19584234142954257	0.22931587678824833	0.2298876230184973	0.20694561325101843	0.17929831856760914	0.20886421320377935	0.19081210626896167	0.18003876646514366	0.1651956041088469	0.20377920387269238	0.09583070612027124	0.15502211140729388	0.19615317198112314	0.23696651991009532	0.21251218330036362	0.17480277375590902	0.20698630038396343	0.19506629295918643	0.20050015626959458	0.20003106261355647	0.17473464018915474	0.21418197240217912	0.08667746412358573	0.17179604506854107	0.17074329930612867	0.20055648965204548	0.22058454522771617	0.2059347980124619	0.19732897570669722	0.20270130279122878	0.20759895410043666	0.1960693661495192	0.20693282490246068	0.20731142513859613	0.08154865704027035	0.21393532125798265	0.206764796621004	0.2487458847782517	0.21768605303475194	0.19906296471294865	0.20887120485148683	0.22093202036990656	0.2182036635054697	0.2090503455292526	0.22903586864244077	0.2270324880476586	0.07292154915124753	0.2238955228101951	0.22282690512923042	0.20397979983632863	0.244621346400841	0.20236031811610355	0.22181576467547753	0.2100385281385002	0.21808799374872107	0.22201746136743544	0.22969605725528408	0.10190173954308449	0.09314057335556677	0.25173064807853857	0.26452689105340266	0.23833719108069823	0.2608798299727464	0.23141534707946404	0.25811262706004967	0.2699540262071039	0.24595715398072066	0.25584969656397694	0.253833955665121	0.10091843937203764	0.10011686363067616
75	0.10361676788124756	0.16129129820709803	0.046430821457176585	0.04960970192304244	0.021197235154863048	0.012328554634735318	0.021973867667067423	0.03727817461465078	0.057679555820813494	0.028298485082922945	0.025738806934366202	0.02192765518449036	0.09612594316936962	0.15846494371234277	0.2164686043045761	0.1902220155354237	0.1872459147155055	0.17173448922426318	0.18576130300379737	0.20634092869818282	0.18634146473756008	0.16698375239854035	0.161632325527854	0.020145562073517392	0.121113607978008	0.19751849596453291	0.23369079914605556	0.22865310832928526	0.21344337484859308	0.19467711367934137	0.21440595674188334	0.20600556837562536	0.17887060944118546	0.1617945958510854	0.20923439246808084	0.09333785748402411	0.14772297168998255	0.20784743935693561	0.23843046958175274	0.2287616093378426	0.18924318327813572	0.21887873379736802	0.23284768697608554	0.20659453523546883	0.18941631840779394	0.18855421194866023	0.21707361102929718	0.09017369291247515	0.18101947236293336	0.1888980465955984	0.20657387341704214	0.21847129051892364	0.19869009324552614	0.18957050110804738	0.22562218162963488	0.2060557067285654	0.20209868210590348	0.21791095442134373	0.17152796362145395	0.045548471600289964	0.23945704267739354	0.21002385454157174	0.25900061874952385	0.21565627404106397	0.2045560492246314	0.20923318108779793	0.2170734085915223	0.23731722945609485	0.21845862615177591	0.24718415371823071	0.2332437369277436	0.027234880624066024	0.2377449018108893	0.2280457254017628	0.23084070162535703	0.24883542716552937	0.2022305267847616	0.21929285597733283	0.23251554907154193	0.22857404256210423	0.2308679622147774	0.23624663376619004	0.08926254180066559	0.0689907607334698	0.2738188247850514	0.3092103134671925	0.29426445995912875	0.26406629687334815	0.2609994158589807	0.2794744280131478	0.2814477722963423	0.2663469275483362	0.2933967258071725	0.24498629293966656	0.1674585879860565	0.1142669203822961
90	0.10886481081724414	0.16081258423201805	0.07048556655941773	0.039940329646849966	0.02469339381238734	0.008528891069257583	0.017748666372589754	0.01482889839600815	0.035709741282684004	0.006786928352304357	0.01112612082212307	0.01856393870556789	0.12832257984376313	0.17911371509014512	0.2345265573082292	0.19504857687797006	0.21082573947137484	0.18526703548160375	0.1877177425890466	0.20135530255339873	0.17767109934044087	0.15708310798622097	0.17539869997655427	0.03383620039989571	0.12606412691906171	0.21131275027537977	0.23093350212717953	0.23217059150886835	0.21200722030372118	0.1829625840541564	0.20477294322003695	0.18134236773172344	0.17066193351716674	0.15251684735017643	0.19719431043127283	0.08860887823430091	0.17205835583977797	0.22188244800914636	0.22459322129570558	0.22727798078790062	0.18462274316750665	0.21750431189656275	0.22665860725603243	0.20200345433170735	0.1924144982912484	0.18668286077295768	0.21768650470249767	0.10914307442453708	0.21535460309296334	0.19945506974912935	0.2164480323792816	0.22031773090539136	0.21683190714116024	0.18524508471649942	0.19859134083036536	0.22679369802242813	0.2102073969420316	0.21880927860073035	0.20213995776543706	0.05408629238790613	0.2524813337139975	0.2281479996586	0.25805880703039086	0.2420482871400843	0.2156642645350138	0.2139956221476951	0.22496716192011712	0.20028846229898556	0.222040424614864	0.2087582022523683	0.22378185492851255	0.022378196219750374	0.26933692856343894	0.23109138919900357	0.21785515688101947	0.2377498977215805	0.20392861657563577	0.19683711441829446	0.22301251354902385	0.18836545433940172	0.21744945260268655	0.22485955022477588	0.0621566339447374	0.07449075032737512	0.3002034375682183	0.304101030415061	0.28389807060795486	0.2604431929698624	0.2571296169234516	0.28731051815780906	0.25553252525016	0.23058636529024232	0.3007017465039494	0.22072336414326676	0.14373009046708804	0.15825118704574687
105	0.09215267325859477	0.1508960074432497	0.04634745058052162	0.04636444046030531	0.04025578342239765	0.025580906125547878	0.01602209925272665	0.026671218023900416	0.02615397463541308	0.010343317359928368	0.018154821059162093	0.018110381589532088	0.11481301515767972	0.16709133728905803	0.22115539611314672	0.18615883175545656	0.22290658717710216	0.18709748553176658	0.1686360115579646	0.19231898271212747	0.19603321975177357	0.1624887149176641	0.18014181214434094	0.05295888439708447	0.11962776757035523	0.20605316207258892	0.22244962931628798	0.2343641595706474	0.21569896708691316	0.2045124469991623	0.20765109922588854	0.1871196734289366	0.18255758208924977	0.16191947998291956	0.21220071925138648	0.13217437893392764	0.14712032977390305	0.17890200100698878	0.21174021861177483	0.20381529056063902	0.18613156539614906	0.21331046465470288	0.2112599065542805	0.18862781357263148	0.19785308476106622	0.18711131759464722	0.21042583081920485	0.11322524090233699	0.1958501675617176	0.18789842279272195	0.20654872807974495	0.2172327442699423	0.2197369269137635	0.20321191415057463	0.22357962463282896	0.2152897405979996	0.1942529410592889	0.21871740654115696	0.20208523770787312	0.07001648252619672	0.23789856335417614	0.21386811010304585	0.2614782640753089	0.2456257825238059	0.21950728550275672	0.2084234470866464	0.21605550814191393	0.21630889806143597	0.22518260311676858	0.22544338603416675	0.22139918462898123	0.06569026890326057	0.2526920896987588	0.2176939738189499	0.2224605755882579	0.24217130004465864	0.23241688515893766	0.22672950395917754	0.21556056801189066	0.23456590929535942	0.22472246295874598	0.23877777425140995	0.11624727895381312	0.11032784998278423	0.2747927780887589	0.2921492773845188	0.2883572815950501	0.26452145949357664	0.27306955898925656	0.2857565271108031	0.26988259987515884	0.23032211590971258	0.32308449916878834	0.255476719169042	0.16305523744808	0.1754200285009515
120	0.1069737225007214	0.15651822629858422	0.03963307771172088	0.04245251807812228	0.035107604735362424	0.022117495050165296	0.018187440696783522	0.02460818095139873	0.04943403393605165	0.015481732403619136	0.0231180705231655	0.03470522387187753	0.119456261136416	0.16824528947280343	0.2155821738564416	0.17694961590481745	0.2178287483253524	0.20158743500833526	0.1767986376890238	0.19007950210472224	0.1965241714370332	0.17616934639079487	0.19802438116631998	0.026034141197577066	0.12262142300404807	0.18949770760918883	0.21754324449649276	0.21236938040032122	0.20948324067983584	0.20150534307288365	0.1931261238028336	0.1768179096006141	0.17135661342406538	0.1580373802568789	0.19903682782137092	0.10598122904943919	0.17238247212013058	0.2150320682819578	0.22618977213338398	0.2267011842836312	0.21415585548877641	0.23733952287157428	0.2199468900340445	0.20514357823355117	0.2161794933785826	0.21514746150201808	0.2252872952936943	0.09870744678700732	0.1799506544133822	0.18708453452728244	0.21225869304904899	0.21688475137047497	0.21983663859768945	0.2143711658618015	0.19486809740437644	0.22524557836259806	0.20410249388563678	0.22057534362548448	0.18925377965535323	0.07967578707033818	0.26629018830240303	0.2099897172906568	0.2492279577397617	0.24573055978003377	0.22488300076797496	0.21310685122400275	0.22340196152964353	0.20784583803862766	0.23242775497894377	0.2357807828707995	0.23534296554207593	0.03992121469722996	0.26044473116422595	0.23686481664860787	0.2096949510814271	0.2512328509745332	0.20022422132796364	0.22102098717774538	0.20769802511562258	0.21614791425329927	0.2302940970769978	0.23495252355988944	0.08927917424074512	0.09820080629620309	0.2695091436396247	0.29434036837411937	0.2786762204960907	0.27646914025270186	0.2531715426268353	0.2685754990339684	0.23713516015667735	0.24320218060087623	0.3190014067737437	0.24814468152722294	0.14090372937364343	0.14564340260431866
135	0.10534930596004916	0.17405989763979926	0.060199745584189585	0.0607929104125991	0.04846925944993359	0.03135224401533604	0.019335727883581507	0.01573960852355488	0.05526516784952726	0.016576389805144243	0.02826701042127948	0.029030172492299944	0.12877338572220043	0.18612112989978846	0.21890343330908968	0.20471566622395804	0.21738879596130672	0.19693678979759216	0.16981003756971147	0.19468273886056398	0.20538363762106743	0.17320147554865611	0.19467598655926915	0.062009572356087346	0.1189933710172916	0.21072675870143326	0.2307050825865618	0.22997064921154103	0.22056629247916254	0.20758709808554432	0.18558717978406433	0.17471834555243335	0.1912377279566201	0.1732238570755075	0.2069128247518856	0.11461626549546595	0.1662971576932136	0.2059659676448648	0.21853164253695395	0.23196386094534663	0.2158802655224917	0.24840247372398588	0.19485202480053265	0.19398025168965266	0.21227555998799125	0.2104270865006174	0.22734582070430553	0.11616248333929463	0.1884557814573598	0.1986607044307236	0.20022939321661748	0.22648157034876437	0.22541987824155885	0.2179532557062967	0.19066011944303718	0.22668866958735256	0.22203284475407573	0.21768811565917479	0.22722887215851573	0.08038264495279995	0.25955141473421744	0.2295015315413071	0.2636412257981085	0.2524939278625522	0.2370030092889972	0.2248491258768285	0.21834352630249668	0.22558694259916204	0.23625158808357644	0.21675323245174363	0.2427064108725067	0.05233981620245092	0.26616922572914403	0.2393388137138675	0.2317962756364264	0.2602344136023728	0.22834738795502624	0.22964266968468988	0.2086629395507001	0.2296247102447569	0.25033449827947785	0.23922317682466274	0.10326031153777435	0.07789376785489938	0.30488255295819067	0.32849317447385407	0.2895411098010708	0.2901921789622775	0.283383843088281	0.2926690462724566	0.2609799834585692	0.2663490650469852	0.32918979342897936	0.2707487517337761	0.175934441149252	0.17697217879509444
