	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0.0	0.033167692053841014	0.05967796716577006	0.012045896077770846	-0.057778902838161644	-0.07181696067669716	-0.06406461679143188	-0.06343247956540546	-0.08006909861063849	-0.08722556240364271	-0.08478350117589556	-0.0673406419144737	-0.05551708856517859	0.0712078627402511	0.04089447903688731	0.021147011616944544	0.017085312929295438	-0.021992095178525906	0.0180918828895949	0.0020437762702928963	-0.024746953772000424	-0.05001010775846948	-0.018971356663822325	-0.01686594240925815	-0.06713010580222284	0.05010253660272712	0.005887383885645858	0.00950790892811848	-0.03510316425771137	-0.04166520938576762	0.024034706964555452	-0.017186283653585155	-0.0469361611449674	-0.06804064061192466	-0.055482395679849694	-0.029094800810106458	-0.0709936746640075	-0.02088475611476298	-0.04833582211956017	-0.02689899544704205	-0.011400550335363524	-0.031884887051158495	-0.015322993879004543	-0.025343365997419043	-0.05903924828542187	-0.08495700926372571	-0.07818757203423476	-0.058490654018792665	-0.08852179987002032	-0.05432221364791037	-0.04438092150174422	-0.007521958509344728	-0.005331587435872309	-0.014533865845238136	-0.003594608882178274	-0.022012705630078566	-0.03407760693300543	-0.037545747597654666	-0.015192421730822747	-0.011054612293032062	-0.06107799224329313	-0.07492850400697637	-0.016199159151202958	-0.024138128453647767	0.010455739798203967	0.02382689640873331	0.010334842730572169	0.0013245922324364723	-0.01796742352394287	-0.020030052666753395	-0.0116457308426961	-0.011765078272400031	-0.021424089077790642	-0.07574596677039716	-0.03792400788598266	-0.028930788883320735	-0.020584879444629556	-0.02519126817102929	-0.01118115125562752	-0.01827606688653477	-0.015686005391152835	-0.026508656296636623	-0.03523210875224314	-0.06638059676033276	-0.03774291055617601	-0.085629984403612	-0.05534122370340136	-0.0260186936101664	-0.030609876358960952	-0.03135628291496945	-0.03564595426148337	-0.03906056482297576	-0.05396507517500698	-0.054005851084144074	-0.053152571559170914	-0.07009619603206871	-0.07805153577570759
0.25	0.04280213747594214	0.06539930649894582	0.017992260708552532	-0.06316443443033337	-0.08048070058304593	-0.05492362758790717	-0.06900935945373052	-0.08710178094459081	-0.06508861506530439	-0.08432460524754509	-0.06700170345013995	-0.043295621966656817	0.08172677964427927	0.06690477345180995	0.04541730455525239	0.015668767597266375	-0.028162550788811302	0.02596048101443299	0.015212058048306665	-0.01807602413278231	-0.010601477017044114	-0.000855635278526945	-0.02000649762630452	-0.06744467500750875	0.05311447564337962	0.009646288589435947	0.011758654958478554	-0.03721735747517463	-0.05647141670895528	0.028877266581920136	-0.011262704120125977	-0.04335791928664651	-0.0510523850671496	-0.03401666643410739	-0.04626423724986983	-0.07035258474924633	-0.01138381803296079	-0.060446899603085885	-0.014926406201263509	-0.02646559721269115	-0.03401934634996817	-0.010375096781731208	-0.026438728623095153	-0.05602847992293822	-0.0857427949853336	-0.07510644016640824	-0.0787570411673959	-0.09808461490125484	-0.04652207207381043	-0.050292160421315346	0.011684838627481875	-0.008420843960904034	-0.01900659771771801	-0.009056616195845246	-0.02326594074588051	-0.03787359543929758	-0.015306745022996449	-0.01598554504124744	-0.03401256846152151	-0.06810801769798677	-0.07220041354653436	-0.006507614652504823	-0.011462956124770773	-0.014949084032332749	0.007608526638941904	0.009782791443286865	1.5245416504716669e-05	-0.039287001032213054	-0.008221432450514543	-0.004166826307793026	-0.02470666600765986	-0.027574326342573452	-0.06633850426426927	-0.03780838528087649	-0.026339257291366103	-0.02014597023029502	-0.03162538415458499	-0.004627930324338891	-0.020013457938930335	-0.025450292356263615	-0.019910500745486615	-0.038258835364318455	-0.0746374382290958	-0.035561365324829286	-0.09124433388090897	-0.04992158168807648	-0.02951368160137252	-0.03995266830985722	-0.043553861931109494	-0.027224657029493893	-0.045894506315454164	-0.05637666206252498	-0.030485109531364407	-0.05167997181940798	-0.08336835138341969	-0.07999832740612353
0.5	0.04626014101108794	0.04932122302275993	0.018088269798079926	-0.05980263565290045	-0.08437554769325958	-0.07368768641439241	-0.07217282572402825	-0.07081251378861636	-0.09669122035474115	-0.0855506680925728	-0.07936712172374805	-0.045936136414609974	0.07333200964283298	0.0474580895801035	0.02574599335011496	0.016019802174854214	-0.023474839076273013	0.005206953903829192	0.005470656643391414	-0.01750341923582055	-0.013457811162472744	-0.01726941934154319	-0.026724581971218353	-0.08053096986547403	0.052481322786843365	2.7901985719391842e-05	0.009353213190471221	-0.020430293126009136	-0.059192128768734836	0.019796548926466206	-0.017108225305981495	-0.058860124476162096	-0.05290772069277816	-0.05062148047517978	-0.0423364863247801	-0.06955724505500763	-0.011566061589077192	-0.055387800945418786	-0.028342391952328128	-0.01675886695429618	-0.038941753593335626	-0.02330091962138875	-0.028832820258400782	-0.05854840819697674	-0.07507359616951992	-0.0714727815110883	-0.06528647025617587	-0.11208737903319	-0.04277959891734456	-0.05655110689157555	0.006628030156884623	0.007765709191651982	-0.00532365096328502	-0.008745832027034162	-0.029550480096788456	-0.022830066452245	-0.017735732800331916	-0.008399155053348761	-0.015125170487849893	-0.07117170398189082	-0.07337382131083509	-0.01813291559542307	-0.00268037006554922	-0.00864909967277061	0.01672903493687572	0.009350848648651655	0.007369039586801074	-0.02545953272856094	-0.022167467910672645	-0.013026766117012811	-0.017696436651700675	-0.03396559642506586	-0.07290416623030604	-0.05459299557782182	-0.03805237824515195	-0.013033105812617185	-0.0396704277648634	-0.0063188621660487665	-0.01680856576308526	-0.02764650469586194	-0.02620870404888309	-0.037314612975639094	-0.07288161551324304	-0.05282029304021296	-0.08180659907705448	-0.06702715307123988	-0.03327530747400076	-0.03698617238862345	-0.04763124117611728	-0.0298783630227914	-0.03835878919199981	-0.05262170204999622	-0.046438411703820515	-0.055658522393490645	-0.08891739235023405	-0.08726238831875432
0.75	0.05051413292638307	0.05178717842788788	0.018517390104384468	-0.06356336237843199	-0.07968686118739518	-0.07460164767433708	-0.07611167091279167	-0.08422041909657577	-0.07910430034869126	-0.0954530503324606	-0.07478487227822167	-0.047024818998183004	0.08066622053011024	0.06572526143819735	0.036196587439531025	0.02332230872891594	-0.010538980628855832	0.023188877678421982	0.02040310446773319	0.01010162926613467	-0.010146120336412379	0.011714387563264206	-0.009764872265320912	-0.06365468069105695	0.04739282070610684	0.00699707067615396	0.016179004575623546	-0.014607149178294199	-0.04735013662454135	0.026784354030973734	-0.01856613404238444	-0.04296948644459986	-0.04146618000837321	-0.0345635224858048	-0.03167521642997545	-0.06536734073987951	-0.016924609328366036	-0.0574780246118983	-0.020618660928780452	-0.019062925225664384	-0.03431177992348594	-0.015094973585464022	-0.02639030382156532	-0.051611791737665114	-0.06446449530684029	-0.07354703809783394	-0.07264024771606334	-0.10946975598649664	-0.03177352969429598	-0.04370980983051603	0.012432378293666668	0.004531612039108013	0.002651743465591494	-0.003425932134146714	-0.015475109270684517	-0.024874081031351136	-0.016571805281248797	-0.0028064726888017977	-0.01714172378011447	-0.0686436515859778	-0.07269134358671059	-0.0171498482546113	-0.004866453130769444	0.0071128553228202995	0.020666573723461534	0.003266938228338734	8.833311572703506e-05	-0.014233912756643097	0.0023026423395128837	-0.0005712087765609164	-0.02099424707523051	-0.02740450729484839	-0.07454636263225431	-0.036263671841522516	-0.028922712226715386	-0.011056263705378322	-0.016961617194016287	0.0031997139778164874	-0.009068805342544839	-0.006133603752206507	-0.002964716279986346	-0.013479087451560123	-0.06827014818611446	-0.04822912217689551	-0.09005054062170634	-0.05746831731484062	-0.037140839762141165	-0.02838064370678023	-0.029672613380121615	-0.041203389374086075	-0.02518189620611977	-0.04264062103032301	-0.02203070578644728	-0.052732181971461956	-0.08279581663784744	-0.0777340841936722
1.0	0.03973848094818655	0.07074574621665053	0.023057892408278213	-0.06496927920167092	-0.07719150178812373	-0.050955461446052175	-0.06556652323668594	-0.07647211347312263	-0.0890007772569282	-0.09035703620028823	-0.07568107171087513	-0.05529405328462553	0.09959277204057654	0.0712286029653631	0.05193223511327094	0.04099133839951297	0.005323304140117946	0.047265846475339546	0.04463824480232337	0.02403593406982185	0.007868428708353747	0.027561183545525003	0.0012999892223052867	-0.0536372208006623	0.062442557027968415	0.03270121179291019	0.015309572001175775	-0.010488378544088295	-0.035482051216404076	0.042149814483484815	0.0003031618299075278	-0.040107475475252785	-0.030161637632748706	-0.023261230079389794	-0.03951098536271963	-0.05729807372280776	0.004992617017477663	-0.03498191392703498	-0.018836760839003652	0.011927783217865973	-0.00861639817186749	0.02209615698420969	-0.00945159750692659	-0.051518141642691084	-0.06288019536452255	-0.0577792189278542	-0.06384067175493607	-0.10000234592277144	-0.044440615617786894	-0.033169885988760583	0.018949793996185016	0.026700630616056598	0.005474592170051751	0.009136191379816527	-0.011723941055401588	-0.0018663821759987709	-0.0006394173504511991	0.007185853218590055	-0.02213993146553833	-0.05742343986114609	-0.07206096883900112	-0.001079067078152418	0.006198060923608695	0.028240529080967025	0.04712678298527789	0.02854914276909487	0.02320578554345354	-0.007511064116340671	0.004722819361694386	0.005670653946488857	-0.01726411860871141	-0.02085406797591488	-0.059644034720437306	-0.034583748064333064	-0.012351222510611437	0.014647801771878743	-0.006950626487301104	0.016875570117998784	0.006008236835224057	-0.009278567539869276	-0.002144882440575091	-0.0075994140674596755	-0.06679644041705116	-0.04129577174056348	-0.08290422485821508	-0.053744794780224925	-0.01993623311428322	-0.01281075824035749	-0.014450751336402612	-0.012781141452057276	-0.009318547143479239	-0.02459841165550053	-0.013060985384928281	-0.04221532491459018	-0.07871450654326326	-0.07149691375329653
1.25	0.03552377224362052	0.08280325172548342	0.03330307167324814	-0.06254222397623038	-0.060511854871742043	-0.056346221121764295	-0.05782651658138685	-0.07341911200358472	-0.06999547107548937	-0.07305641793044895	-0.07051117819328453	-0.04349952246480121	0.08596999056436094	0.07997253251641279	0.05094292309332055	0.04015596738827465	0.0012530614861587797	0.034360500559549756	0.04088372485971731	0.027150394101134456	0.014956175127504578	0.018046003883715023	-0.008183258640476643	-0.07243064937885552	0.05853427672434258	0.02670081755666759	0.03547176005882857	0.011916942597553937	-0.038725887847750384	0.04747599094507382	0.010313375231886912	-0.01762098681734381	-0.03488268374244674	-0.025644187614697	-0.021340921728672302	-0.07663280216758539	-0.010395534764842618	-0.023029069532328417	-0.007481951922453434	0.008857875819978878	-0.017187753221488966	0.010108571879064776	-0.004270671989634767	-0.034957660216301034	-0.04975569685147552	-0.04214655442675669	-0.043002175199972625	-0.1063191423676833	-0.03607911696994209	-0.03264284635866821	0.0213162314018146	0.04286364587980668	0.014074287642362293	0.03172206014448964	0.008125311468942964	0.01176593864740294	0.015218324325083021	0.01129644813920827	-0.0028196975688395964	-0.05493974353755085	-0.0628388814074102	0.00609067008935904	0.012543858959396192	0.031375538495373057	0.0351928564953608	0.03423670708834431	0.023214715963868537	-0.0022230565163707805	0.00838559773499914	0.020162522854305642	-0.007179277198466283	-0.027905304362289107	-0.05923640691433979	-0.025803695054871068	-0.011888627107406569	0.01944010089937037	-0.020053184871972995	0.0201495262330319	0.000567377350213838	-0.001168823337067193	0.0029836160078553497	-0.002912915294856877	-0.07519968251549428	-0.03443189066076369	-0.09553535858599402	-0.04307439715285549	-0.017416836854629636	-0.008857406589875216	-0.03366143011098405	-0.022317654336588777	-0.01445005449017761	-0.033043282204895275	-0.018327144890006752	-0.0411282686871825	-0.06861274951661017	-0.07628872553678959
1.5	0.0369885191227326	0.07186149194273611	0.029198357053627166	-0.074838086116956	-0.08010224459468976	-0.06558379779781323	-0.0669901873743611	-0.08354291733044422	-0.07415945279871422	-0.07342912894261183	-0.06723190548982161	-0.03889936380210196	0.09111616118970184	0.07114676985137264	0.041259846751405316	0.040839129570329535	-0.001648125707786996	0.0316807106500977	0.016013798565933213	0.013118787681437039	0.0006947022123584001	0.015050736009666499	0.0023418207030519445	-0.06931992160669379	0.048865835160085636	0.018774495520045176	0.01756952647452059	-0.002406283146928867	-0.03990015912407585	0.04859548912619377	-0.003842582691638563	-0.02377604907086861	-0.03168500061656293	-0.03660707292336013	-0.023909826979464144	-0.06536283478080668	-0.002868577261060934	-0.03206110759598896	-0.008780980447462117	0.015068386974954606	-0.015616486690985643	0.004178203784605039	-0.0161093463538175	-0.0394165461120608	-0.053399364194382015	-0.04997744354954098	-0.05052511873795751	-0.09653951743029265	-0.04641310885310812	-0.03832022013083808	0.02010897528646788	0.026817228087125555	0.0006363234843375642	0.006796301983398867	-0.020179530446524263	-0.002730577000936485	0.009998566241303186	0.0030351321535377895	-0.008720588034071441	-0.067132887197142	-0.05581431439277765	0.00975682814703277	0.00708521173154264	0.017655934758027125	0.037261536268349715	0.023489335946141665	0.015504183506628577	-0.010337771618515401	0.008885890291917276	0.011749551842312855	-0.0022058921179715085	-0.022596016436731425	-0.05528655215284953	-0.021276629603212027	-0.0186903340064814	0.02128377221497474	-0.01176522820048409	0.012892954225207365	-0.0014819762522758073	-0.009452154713814054	0.0058093157444985	0.00019381232071130627	-0.05798261438651112	-0.033927268043234704	-0.07926217026717261	-0.05233358852041092	-0.024091855293500497	-0.020644944549397193	-0.027811014325172023	-0.027959653100477933	-0.014684024784782257	-0.023429112882058456	-0.01362677797997286	-0.04190204641190548	-0.07334633783038175	-0.07881272072745055
1.75	0.04346714550578884	0.07192959885279204	0.03408392963848417	-0.07283409489767087	-0.08595588357467096	-0.06365843161211177	-0.06991367239815074	-0.08037644840439603	-0.08950250740805288	-0.07952698914210943	-0.08564210223438412	-0.05824942270254049	0.09065863372554289	0.07624984402104562	0.044874240431511336	0.04221948560629618	-0.004137430807287068	0.03592052308790067	0.037124876477231894	0.024495903330758406	0.004526055744312973	0.013938941625920132	-0.008886974337601106	-0.07086635995789828	0.05408039969565587	0.01938125242355343	0.021629205711960753	0.001722021887015368	-0.028970477875141565	0.06341514332420284	0.01123054212274005	-0.01761375070332366	-0.01927875991836142	-0.02216651049271584	-0.02935683698722702	-0.06810137119559109	-0.008941090021832021	-0.02039082902898104	-0.007609472775737591	0.0016071854901710814	-0.018682290157575	0.023864359215899134	-0.012206936818756009	-0.04026767405297721	-0.05580566852879862	-0.04992202305154292	-0.059208615508021006	-0.10871548720646068	-0.0395607329333682	-0.019675678397422014	0.024211293941028333	0.02303387378292643	0.015265618182548846	0.027907347019506923	0.0053413377398195405	0.010304633448251388	0.02150313621986716	0.005193797004871437	-0.008450227335480065	-0.06327169593923668	-0.05852595270621458	0.00995018245824797	0.01103015105771904	0.023313525030985605	0.0466910688881183	0.022088019667819203	0.018718290642768032	0.0012517334683281311	0.008057714719381659	0.02315149375339004	-0.017463446506714886	-0.028981274572609017	-0.06123719988654963	-0.021657365310654764	-0.018840970551425307	0.03549990959258709	-0.01439278902280805	0.023436945267320763	-0.0009548710331699906	0.006312087825432855	0.010884506837034624	-0.0002140683372739982	-0.07277125868965204	-0.03519220434256781	-0.08448316454618154	-0.0562171975209898	-0.03667263722897601	-0.02094761523800015	-0.033790327808753295	-0.020295941130044515	-0.016733557984950242	-0.024524317723818412	-0.026320392834782547	-0.04854049858608617	-0.0917876182334822	-0.07324701760221941
2.0	0.043301100042251406	0.07829814006621683	0.03939205365379955	-0.061010961686794984	-0.0733986023516578	-0.07446750867402993	-0.0696270589988538	-0.09077891124867782	-0.08891808324784811	-0.08558540001841983	-0.08728786927251178	-0.05300725708434206	0.10796200979368165	0.07360578232396825	0.05275818755529543	0.039138727206326496	0.017733101128787232	0.05066834147711963	0.03164878096892987	0.03275934528944907	0.02574558780447056	0.02140829025187302	-0.022725860827055022	-0.06279136970833357	0.05117665536441646	0.028680115583798682	0.03942370479477625	0.01025740703096334	-0.025937853073143613	0.06353486957501397	0.013310838842408523	-0.01590595887527213	-0.02112168294978528	-0.024938473338962985	-0.03076663694214743	-0.07338986877209275	-0.003081976292464872	-0.0347155472076609	-0.011254562538010215	0.01196710255375788	-0.014521374915726581	0.0244360572142841	-0.008936002429740852	-0.026608032078940302	-0.05518530141774544	-0.04964192177423582	-0.05559137905267664	-0.10710015638102408	-0.04283272761573598	-0.017805188396957827	0.03187929398724604	0.042128647251869544	0.013058434334761948	0.03175769662884359	0.006188446166925876	0.023728962367009	0.009962628775713134	0.013286130285595388	-0.014016966380346496	-0.06104029361318705	-0.05305046467769342	0.00666802656874893	0.021487079629568362	0.03324098826527566	0.05843894762009694	0.03350838851992771	0.026527655948518025	0.00630851383584502	0.019390026623081924	0.01672694442444167	-0.00918176886781541	-0.024176335433709117	-0.0554217033247473	-0.019491765601773292	-0.005716166441583348	0.043702497300025844	-0.01107963882717361	0.012405124404118062	0.006974198968585921	0.012081360007756003	0.019747753851769634	-0.002069179022285761	-0.07868315379372529	-0.03641182185230324	-0.07614431521755916	-0.044618857805535095	-0.016319253122133448	-0.006856263743430402	-0.015736478965892475	-0.024989817157677063	0.0023415607631640523	-0.01768632112531482	-0.017434199506833448	-0.042627726369364516	-0.07977621600589432	-0.07532943454740215
2.25	0.048548737631239236	0.08290371041223205	0.03961092194100102	-0.06529147526733473	-0.09363368058031585	-0.06802885319500945	-0.06308803455457301	-0.08004322056717203	-0.073298804017114	-0.10216045289264672	-0.06527202652395489	-0.05714652938236253	0.10223939438800028	0.07873569400224223	0.05758511951317835	0.038896771886677006	-0.006180755110186287	0.040205843631499816	0.028428004035516707	0.03936761286492929	0.029146609720119177	0.023366579115178754	-9.10830625727721e-05	-0.07506013213252877	0.06672720407222055	0.03549650317353864	0.04396324371172372	0.016689004850772626	-0.024779143981859708	0.07010782670926441	0.014052092259735971	-0.002726497913889736	-0.004977199340188365	-0.00812928522340095	-0.031400733378088796	-0.07018332532810886	0.0006141149253174882	-0.029896267460691905	0.0037686572792183792	0.024405715305096276	-0.017594070375021864	0.03432769696541893	-0.004789575424722248	-0.02598508277831668	-0.04382865198112629	-0.03309550047745796	-0.05982594603083638	-0.0961143541742206	-0.03892877686794333	0.0010027100913535536	0.040777405720836435	0.048918692145000886	0.016578303714348375	0.03542757596454105	0.007917907569649718	0.040519737556824864	0.019612310940819666	0.018250716771618547	-0.005547167511363027	-0.06684415825779169	-0.04573280004119451	0.019385723686091316	0.016200117665824965	0.029898060316931263	0.06184311996180969	0.026272745401248188	0.025255027299249055	0.02266843040625488	0.030218356983576056	0.018602499609532197	-0.0059891967586439	-0.017459321373329284	-0.04334849286963427	-0.01276478519765012	-0.005099996479665414	0.04122698398726099	-0.0015958345568670151	0.020668422517440332	0.007468572227122217	0.014842828465589097	0.026325079873016022	0.0006741524673514188	-0.07037642105123529	-0.03202120599361341	-0.07481955284121153	-0.036222681056156614	-0.02714052899880237	-0.002271476668086192	-0.025521364328527973	-0.01618668294197706	0.0070194041018241116	-0.004786318056969163	-0.015370846366706992	-0.052999482091692196	-0.082518435860857	-0.07247578748943795
