	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.3414222618690469	0.29521157787460356	0.31884501539610616	0.34252298820534416	0.33085333374692893	0.34420444258109417	0.3505441254984364	0.3411743835656331	0.3413611958849898	0.3303464876082336	0.3431451569230539	0.35614358977120875	0.3443943620990091	0.32353106757013833	0.3222383686168385	0.3133297353321083	0.3175703577716201	0.34084037604892625	0.2748385819880425	0.335110854298031	0.34533412121790047	0.33922899671711637	0.32089335792683776	0.4111205681201295	0.36493060902050056	0.36257781982980164	0.3145359847671184	0.3152080089225602	0.3301380461680956	0.33112494342281196	0.343207855126059	0.33908878950066157	0.35395181539687987	0.3795536102705275	0.34829963777101397	0.3508690285969077	0.34589507326649604	0.3195756419466964	0.3302291197661526	0.3019583503685148	0.3173447228196057	0.3225062805957493	0.3369461460407517	0.32997648888623254	0.3213493397098379	0.31469050733486925	0.34650266649049566	0.3608893341374041	0.33813759336613136	0.3225572017820404	0.31892289552726344	0.31327029082757907	0.31542367502439345	0.3162397259335448	0.3274160707508311	0.3267239774986801	0.3464998818011999	0.2770509428753982	0.34902717360391805	0.33694971649258243	0.35748629741208043	0.33093899085432255	0.3126196261518193	0.31521345716720756	0.29849443203764436	0.2510984818166506	0.3011322428646712	0.28747828100021866	0.3293298991231689	0.32135508730669804	0.3274561615469186	0.31770266971089345	0.3533668913356686	0.34422799754631	0.3460052115140432	0.28100776010294803	0.32598089340080494	0.29001093452813587	0.32174980790395813	0.29026512683340666	0.31475499624844894	0.2903023406084459	0.30394367028172387	0.3384302596320792	0.3282165021970443	0.3344295785199962	0.28636385117424645	0.2923813032259196	0.3414549088894715	0.2810408515835868	0.2803333124650793	0.27415905575663224	0.3345662530302028	0.28499280227204116	0.2970602160023744	0.2455864318836974
15	0.3416227866413951	0.2975219421436944	0.3186251293813984	0.32871079538789816	0.31814815733810053	0.338148814615713	0.3482289452339037	0.32911774202882554	0.34703168653811756	0.33543872900308547	0.33134073396501407	0.358974428597268	0.3444758458416778	0.3207720521200804	0.3190445898096608	0.2854044893077627	0.30956620897528886	0.3378906013327331	0.28376361380386317	0.33084892448548076	0.3556797274831015	0.34574256499444644	0.314519030448559	0.41788604389727446	0.36892422988068335	0.3582683513703169	0.3252138358012606	0.31550184726742964	0.3105871953821946	0.33039012459522565	0.3324597954824339	0.3332253630108274	0.3429381037951608	0.3822435146167896	0.34570699433703805	0.3439511251008412	0.35433872981645914	0.32936597498759485	0.30697494054364743	0.3029686490440179	0.3072094570189321	0.3144391854327313	0.32375601127681886	0.3301091793405076	0.3326366221451535	0.298257793419375	0.33178192811153007	0.3547916388654804	0.3386355464303572	0.32918904365114965	0.3223011880494939	0.2940043955553233	0.3017972228487095	0.3039166264215869	0.31930419860036086	0.333961504054328	0.3441384494603159	0.29021753404586087	0.345203987211108	0.3447318587725884	0.35159457844981645	0.32080611489484734	0.3211216740527771	0.2928279215596362	0.29725175942949417	0.26396656061175605	0.30517239447182654	0.2815434360795051	0.3373627119822078	0.32503616405271096	0.3323529517305379	0.3152697247876352	0.3427205055559809	0.34771758056652824	0.33866342600896104	0.2756627750426406	0.31345691917111695	0.28070977542889874	0.3115915293433419	0.2737557402525941	0.3351379511950132	0.2808539679592338	0.30413841504675143	0.3404456230772074	0.3346318379202942	0.35386257583681546	0.2808114277532202	0.2958957157948501	0.32962221013989634	0.28375084280785234	0.276457180258472	0.281230146823898	0.3352960431699214	0.28286533035573347	0.3013929990301622	0.24413254559341724
30	0.34212572546810277	0.3195500228819909	0.31761446949500205	0.33237830883372016	0.3247537779270029	0.3359049114813375	0.3688653805860228	0.35332068704964975	0.35405882278935175	0.3418058345748407	0.34287604423165174	0.3686042645416533	0.343951550114826	0.32792663046233694	0.3245160141314003	0.3001476553586472	0.3079978827078672	0.3319040994283187	0.280477884855651	0.3441392368043475	0.37160815459480057	0.3371169243065381	0.31350761263881566	0.4150692273061941	0.35519472463162427	0.34272853570900647	0.325017892956538	0.3098516052622675	0.3117771224795708	0.32620567849246773	0.33892445824047124	0.3447175539803442	0.34800924037499914	0.3686635201234876	0.32944008487167054	0.35722587290954405	0.3482048290948013	0.32642799236311926	0.3123022585822488	0.3055578598187736	0.3027636568891296	0.30829516018130654	0.34266438817571776	0.34875980313559696	0.33513408779827214	0.3070842559950445	0.34395151860815865	0.36181834778135	0.3326306035553542	0.3286371366222902	0.31685374889628837	0.31265355572852027	0.3020737298638257	0.30802677836051195	0.33064995768484234	0.33362527207778886	0.34119913255308765	0.2827948539428977	0.34164057090469513	0.358269581859011	0.34167677786625983	0.32080163482747864	0.32476530917860563	0.29892593156999503	0.2992389629998734	0.25012303803571967	0.30555185444812416	0.2850764186051221	0.34765571016183505	0.32506804649752885	0.3314081444061297	0.32506227926217945	0.3511014682097061	0.35176475250494954	0.33245377716422236	0.27076805385484537	0.31014063692884253	0.2790693627820643	0.3341978590478055	0.2865101700267283	0.33142831757353164	0.27989044625678405	0.30632698962639404	0.3417177406736464	0.33840376953093254	0.34336065406781424	0.28055183258625077	0.2744074032818453	0.3362124857310764	0.28080569785166676	0.28495970657335645	0.2940241038904783	0.33568992438223644	0.2839718308120246	0.30867847159395057	0.25271047786222545
45	0.3311174049158163	0.29374385698523375	0.31256741869063276	0.31691830048493896	0.30699365590458216	0.32497227710586996	0.3500917655376441	0.34271045806178846	0.35925662999874386	0.3421787306398125	0.31711927558699166	0.34466366055155906	0.34168043011088206	0.31447786723656135	0.31739454148847956	0.2900308887351174	0.28001022361390365	0.31644994662248305	0.282644247442712	0.35053551760365276	0.3697327128421495	0.3577894470998839	0.3193051116065705	0.4075415227919901	0.3557031883122977	0.33511449321921	0.31255367161351105	0.30134416888509596	0.30199345438288666	0.309872165902782	0.32617187732725916	0.3414233525941167	0.35211916571322277	0.37631783014643905	0.3167564763402919	0.33683778776406725	0.34444900564582936	0.3041673968959404	0.296104947279621	0.2688953834874428	0.29457701037560113	0.2918540620148839	0.32056135636333033	0.34321265680276136	0.34317223414055853	0.3084760818588911	0.3331988542716714	0.34896194353169596	0.3313650032969922	0.31866621102666803	0.32097309536026786	0.2986563237121183	0.2875882784757714	0.2994503562520867	0.32428476558602126	0.33988397355168404	0.3549360487499937	0.3066402041310456	0.3319301272131507	0.3330915787354202	0.34444267433105014	0.3189104869656795	0.3135345351360911	0.29497787035212786	0.2952102407852973	0.2494451413069072	0.3017901823784601	0.288126051321984	0.3562863492867315	0.3246611412938798	0.32201755012612776	0.3082652613097706	0.35080015047275875	0.34504808733882153	0.3259296720554896	0.26844657833829777	0.3089348488916413	0.27530926654259846	0.305864306912522	0.280978561514294	0.3528468521785857	0.30157490612547905	0.2942497095551907	0.3191233518964013	0.3341643290023004	0.33347883509780607	0.26584353853682197	0.2679732592523598	0.31667319569971897	0.2622886018399891	0.2734531059111912	0.2865215970048039	0.3475024334845653	0.2835365181710072	0.29578169190889314	0.22538678480311145
60	0.34720778273213865	0.3019758476354031	0.30603391840460137	0.34674114644451387	0.31953706327140957	0.3316185725334747	0.3456608071254327	0.355714582461239	0.3655767273467058	0.352574988076165	0.3446511858078757	0.3562135780599914	0.3527786996437509	0.3157202812446489	0.31422101588028556	0.2974710270443136	0.30346985375861657	0.3274103563439579	0.29331293080539694	0.3530997540935413	0.3832620870845511	0.3713394510108249	0.33013148394029346	0.4086484598283133	0.35120872233850053	0.33635298564149596	0.3162439278553044	0.306071831196759	0.3065546354826395	0.3183529040198063	0.3309000986679464	0.3419192336367587	0.35033253745791426	0.39293720811537036	0.3242560047713434	0.340606319469293	0.35056303538811046	0.32599551949072436	0.31063753036547576	0.2907361990533909	0.29989992991629455	0.3077446079217886	0.3502286652263755	0.35158204421641215	0.35491423897256436	0.3384299122268575	0.3503389574954423	0.3513002207411382	0.33631349041147485	0.3188832332780792	0.32131726136498107	0.30054745412985595	0.2897315010991279	0.2989632446601721	0.32985975710701737	0.3329025943712815	0.35745989923773	0.3128017044894619	0.3470035467284622	0.34571708364813164	0.349796441272042	0.3104703126912321	0.31792020253030556	0.3001152278552637	0.28834881784331534	0.2474006476823587	0.3034299553907681	0.2982108793671978	0.35290595442607176	0.328896520568424	0.32400406898069356	0.31839906444552724	0.3513028585341905	0.33974821272760236	0.3424603938641317	0.2822796314676519	0.3056217568655678	0.2812577931402511	0.3191173177244861	0.28719332563380684	0.3567326901305824	0.305863492474738	0.304398697604634	0.3326423332311262	0.33546116323654707	0.33573680744466133	0.27761244197510826	0.27164908668690435	0.32464154786038774	0.2691434717171428	0.2840083210925127	0.29010594321452426	0.35622611706717694	0.28931932304901775	0.30803152012576246	0.23001737469452319
75	0.3308299190420333	0.29490857187111064	0.30845063905845693	0.3323954284217351	0.32051942633632835	0.3398906105417444	0.3571459062217809	0.34015322735529735	0.3514642284318641	0.34086050183824596	0.32711671744896	0.35307160073657834	0.34438091098933643	0.3103244411060211	0.31620713312195153	0.2802339539413661	0.305051436076418	0.3192518368784277	0.2797913605574151	0.34208573531018305	0.36814196244328556	0.34667064618334265	0.33689180435179356	0.4061201792466834	0.35948609765066447	0.33766525437269757	0.320836308316061	0.29603269505387375	0.32938623794015043	0.3174207254890039	0.3443868776840296	0.34371169750597497	0.33359482251421846	0.3728602877549057	0.3267073660842461	0.3442216664542035	0.34082735286546423	0.30006923583823236	0.2897583227930583	0.2819141257073024	0.29396777985133976	0.29407194958708827	0.3291233049052223	0.35641857524164655	0.33040160052474365	0.30722121633080346	0.34445527450531277	0.34951843517422976	0.3271051206635889	0.31665503605876016	0.31009948779019153	0.2963146912969451	0.28901390758736956	0.28976496762114	0.3210488622892479	0.34054413569059283	0.3361677786283649	0.28237717405142404	0.33751565633137515	0.33117716210138914	0.3366307765625457	0.30490108444009156	0.3038211213797972	0.2763608903749729	0.28879721865064506	0.25219271923114694	0.30346840162570626	0.27376542511836865	0.33990510562282283	0.3079046278338383	0.3329071807874908	0.3144738787342776	0.34921991292913035	0.3277019268257152	0.3271807085051718	0.2639909995091414	0.31128465882234035	0.270032636193871	0.3202571259728678	0.26885593976597566	0.33467951957862313	0.28560256197694955	0.2975026365017188	0.3191363725017441	0.3452938049895081	0.3245310766512265	0.267150035400213	0.2649179498045351	0.32031977520195687	0.2645969473014671	0.2869280895591508	0.2863348650397838	0.3426481348095913	0.2741477393405414	0.3062756741239775	0.22773985505246502
90	0.3232316979585597	0.28610185003262834	0.3129896127765124	0.3302105768244581	0.3158573741903572	0.33115009812391	0.36137186157338075	0.35468858687107313	0.3464422553114936	0.35306439785077304	0.33068380380298595	0.36156422394792515	0.33260884720768435	0.3264604079788554	0.3259578864291639	0.3014865568770051	0.3006033696335605	0.31886488542736746	0.27763264373898877	0.35411502606507794	0.36709766015006795	0.3611110292590351	0.3266982562995253	0.41780958068905116	0.3368382560253688	0.3411504679456067	0.31273119668858773	0.3067655161906784	0.3077034498635699	0.31113236535005206	0.3209983168719377	0.3432125413234681	0.3394447238680065	0.38137025876089925	0.32573401776296906	0.3654903929444675	0.32522708085450225	0.3296423158246371	0.31687471805778766	0.2877061754325523	0.30485441665285096	0.28980936222618014	0.3457281201648581	0.3533992362844095	0.32575400070565164	0.32225141540943386	0.34774600508464126	0.36469709310399057	0.32522420316423617	0.3176558838734188	0.30993636102046995	0.29798574565654035	0.291349861720002	0.28886735577797296	0.3171811902141295	0.34627466864147527	0.332386349430881	0.28303604499718793	0.32722720173426645	0.34923512188104533	0.3293927671716341	0.3217963730568184	0.3181427380801043	0.30497186932905984	0.29326829603893867	0.23636127520585398	0.2947534400927132	0.29072123721319065	0.3386390511832933	0.32079527495912386	0.327128819773194	0.3338468106503715	0.33012994306248894	0.32837997543843367	0.3303929439001688	0.2735786928655476	0.3238157301850181	0.27215395577825097	0.3137778548832477	0.2835636863617937	0.32768520589176076	0.2939735339549747	0.2961269448318621	0.33031279580290035	0.33069309961103555	0.342461474167686	0.27671540405855033	0.2658057922268432	0.32346777160208895	0.2671979407931722	0.27938018693493516	0.28904451663870934	0.3446908075963372	0.2865001153072764	0.3147674828915406	0.24590289845270794
105	0.35380714463591045	0.318035577358704	0.3264106464950456	0.3391598555721701	0.32817836507501214	0.358064011764347	0.36833006379098493	0.3644434546184906	0.35774212525085236	0.3579316761857294	0.35081054462244177	0.3540447656706298	0.3507595676620646	0.3219908335971168	0.3272202891337721	0.28861272396587495	0.29913946019955034	0.3279472557680201	0.2904692129562936	0.3660767242814028	0.38220767774108144	0.3674044081036295	0.3383477172130166	0.42489876435814844	0.3626546578582736	0.34940128016325056	0.3302085131819086	0.3126091222232658	0.3198889168328247	0.32419321714034255	0.3404002675394814	0.3660309664299765	0.3297090409530198	0.37471026192663526	0.3355906043587331	0.35778088788440265	0.34576850240666107	0.32888028750660536	0.3120416990826522	0.2940409293122014	0.30078850990891387	0.31731997900844217	0.35227446101214366	0.3663561990490743	0.344673282870741	0.3144716216864888	0.3492914679315646	0.35695183163113736	0.3451521587644927	0.33014261695221175	0.3281708484041369	0.3007742477559886	0.3010004949242494	0.3026626564130974	0.3381506999395232	0.3499720944236201	0.3444014116716594	0.3115823621191113	0.3483951519674172	0.3464224987164721	0.35469624416044904	0.32471455002502325	0.3222377795779464	0.28614292414359754	0.2897574199944763	0.259053800467691	0.3055515898447554	0.29088106461186924	0.34979554654607625	0.3147678367006241	0.31662853665968904	0.3366259671949785	0.3515816834577016	0.3520847882226648	0.3424364046124861	0.27692162705904877	0.3259904740266537	0.2884106567383805	0.32082811380124826	0.29032012172093213	0.3388824703598402	0.2977409642641228	0.29497787035212786	0.3240371783965076	0.3531233089030967	0.34190787155828795	0.2769096141667242	0.27168352584125577	0.3379572795791901	0.27479384798669737	0.278506258304682	0.29123343995982637	0.3386676580898399	0.2847347271029832	0.31400289241970175	0.23990908082494616
120	0.3406334144321885	0.3043478587203358	0.32124579103222217	0.34946533192415863	0.31982283466424144	0.3471772695977071	0.3622174812078074	0.35255892303433295	0.3784085103351529	0.37153405280231455	0.36103293415413806	0.3621018133080118	0.32765909032827434	0.33579540542008285	0.3261185561640596	0.29943003450100825	0.30251978808601176	0.3291750146412119	0.2871696699875762	0.3587065614432147	0.3832692437210544	0.37310343487037456	0.3498105504373381	0.4297031809423603	0.3681952717788782	0.36230868231787294	0.330605594304785	0.30768344907159284	0.3181860589668	0.3214969180062312	0.3426200296353862	0.3371227597356579	0.35826184261572236	0.38328203368822733	0.33888953598984106	0.35975767103523826	0.35079595913695993	0.33436912771264876	0.3196145582133753	0.31109992803009334	0.28998300183487663	0.31132984980512296	0.36392708701357857	0.3670415777642475	0.36737283717626734	0.32916240002243125	0.3497237592537602	0.36792019281698607	0.33338949330338985	0.33939689027481545	0.32421855608475225	0.28903311076283755	0.29354575345261247	0.29819887993663297	0.33641325368486463	0.3510929153584754	0.36395049570024735	0.2913747602809198	0.3577756545070723	0.343709953725996	0.3566568910850575	0.3210474414671194	0.3179573650625709	0.2925476388206934	0.2867298422745498	0.24806129930263315	0.32327386129830027	0.28286286180119435	0.3721682393400595	0.33165185392800084	0.3168924572314635	0.337629835866634	0.3477936626431789	0.3407068822653235	0.3391512795047797	0.2750478147779093	0.3084445610303985	0.28286522354223953	0.32913635114735784	0.2780318403397436	0.3548659540292341	0.3005581471463074	0.29163639632986627	0.31642187245526476	0.3389162381334936	0.3459346895529317	0.2741331370558167	0.28150508721712975	0.3207602781408496	0.2715979379500285	0.28519431236631354	0.28937466373804893	0.36010048492038255	0.2937512562537886	0.3247561853569981	0.2389241098779648
135	0.3318088897139964	0.3120390330151186	0.31884481666481646	0.3497764115833286	0.32403674091250523	0.3449082180060665	0.3536165364947025	0.35155495158632727	0.36809956800576815	0.3717517845787222	0.35595260680214885	0.36888822708298313	0.33902914778829873	0.3348403103169134	0.33107842002707777	0.2974847836667337	0.29941145060739205	0.33262260291308715	0.27775095154501944	0.35178244795886193	0.3992472877029248	0.37232825164678574	0.35969049534043995	0.4283324638958059	0.3568891247933149	0.35257388938577217	0.33010415764661055	0.3004027832991373	0.3118546274523337	0.3137649614772174	0.33208726624421836	0.34832643960294796	0.34314463192154765	0.36892515701958445	0.33645618010802825	0.37417883365524307	0.3464321535749385	0.3456736332704255	0.3072382374768611	0.29654611374141593	0.30414203227465714	0.3055773174043257	0.35956059036512905	0.36465786825671176	0.3631883607112133	0.3212916008267195	0.3651851458959284	0.3765464928079224	0.3338713832771077	0.3361186143830499	0.3293956905369978	0.3051265982870882	0.30701171353583856	0.30081826943188894	0.3396927145950938	0.345437316148974	0.36112195015946197	0.3060519025224716	0.3551108323307468	0.35796088144757643	0.34543973201185857	0.33092766478155766	0.32418562255595246	0.2935454028758402	0.2867805073777051	0.2519915115004928	0.3157270625785951	0.2865383698126105	0.3541273119192093	0.3082393486768489	0.3103994396548463	0.34870543186222647	0.35284145673868805	0.34365631856466383	0.3439703759461841	0.28811298477196967	0.3309521868686958	0.28584031030932183	0.3409002556287256	0.2823685608372782	0.3616268260251604	0.29001811550092926	0.2902856197266117	0.33565918173817666	0.3419450184424029	0.35487081627352823	0.2807369317123568	0.2745896072219925	0.33190562085620323	0.2641805112079509	0.28933693409483024	0.2911634309214975	0.35669801315604766	0.2771464164772272	0.3171404546335506	0.23891285501897386
