	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.3364009410608976	0.3154692781858539	0.23683982258431044	0.2529675614158379	0.2511188597156781	0.25224866358964626	0.28607041033885167	0.2590614864482813	0.2689209458687233	0.23574037572578826	0.2309986141913462	0.22195351489405463	0.32619371883979986	0.28374167036348685	0.2748282492344769	0.30370935769012664	0.287053381797544	0.286744794254305	0.3251985199709333	0.33013010772445894	0.3166540213972765	0.31068865130659984	0.3025157321128871	0.2116034876993957	0.31127254652051184	0.2761691743712615	0.2716466789216858	0.29053909254354054	0.27958282591702655	0.281965576928679	0.2844629915663207	0.31181725181612246	0.3081692878394712	0.2853916224754376	0.29161235237624406	0.20673642383248678	0.3123093505350997	0.27328621736354863	0.2997028137516019	0.29667333440062266	0.2845073120229351	0.2738447667436632	0.2815081496164107	0.3055788041447066	0.2809874679567965	0.2844697223367727	0.2849992401657083	0.2166004923059624	0.3220103947774344	0.29144567518861975	0.2780758745360392	0.2833809123538953	0.2662543528120656	0.25256691977272033	0.27257989175806485	0.29169255955791895	0.28866992223426136	0.27963294818668116	0.2860633984498195	0.21888148784016498	0.27261870955464806	0.25511309133168497	0.2283623040190637	0.23087411166836808	0.24359379289703142	0.26311893837615696	0.26075535661588306	0.2742358677367144	0.2678966095103086	0.2587175910519722	0.2755477092594887	0.1674851736173732	0.25709982471157844	0.2658379041440633	0.23810381461097027	0.26289323381353336	0.24133982919163952	0.2583169426188574	0.26501918818385084	0.2490926956727163	0.2478761638135732	0.25603347001975574	0.17470441554890884	0.1638439371602297	0.2809919981812383	0.2407722000750087	0.24486856647930294	0.2322486367755385	0.24351667604355748	0.2542170509472401	0.26434365580929	0.2515476065214712	0.2330037314668697	0.24357502957025745	0.16022208412924882	0.15121151543623965
15	0.30926073543611643	0.3013159562422718	0.25023895349874037	0.22897253067242104	0.23728485958480178	0.2619465147690988	0.2761026772502327	0.2424942421359868	0.2424070398231606	0.22852068172079537	0.21798966798746822	0.2372950123379725	0.31203182486466463	0.2889936879831947	0.2814723307657343	0.30064332959486717	0.2757144955369489	0.2942393313282908	0.31929159874163143	0.3178628998476199	0.29918566083440223	0.29986485558203513	0.3017722730415237	0.24015118905012267	0.2980160254746934	0.27140002883170544	0.3004488493831057	0.289120771908687	0.262496177765152	0.2950526703029264	0.296321200649827	0.2881364820311743	0.28649173440285336	0.29467225310873735	0.28542367001395286	0.20345382921595512	0.2958897427723607	0.273218880074952	0.3097395313635217	0.28330265226880014	0.2914750740113904	0.2775219553981415	0.2956965090674252	0.30612541749162525	0.2750490968524222	0.2809623138582128	0.2806805094067414	0.21921579486380194	0.29544682571592606	0.27486171180945707	0.2826191295090563	0.2719366005072825	0.26784381093209897	0.25814128507201173	0.280875641388287	0.26914859596796403	0.2720743837947191	0.2583465823235812	0.26716192397438343	0.2085634457821642	0.28018166486330104	0.24654465210218068	0.2478645611847569	0.250031348634505	0.24722628498653945	0.2691544098753146	0.27684514708304575	0.2803210108477847	0.2696353256783236	0.2626075507885914	0.2714983894579671	0.18317933475926035	0.25919262240598145	0.2611450604781684	0.2600212231615838	0.2540357633750187	0.23600352776230482	0.26962266455735817	0.2814252288604404	0.24637821565956114	0.23909265139151964	0.24173099735127557	0.16627078475362006	0.179018987195395	0.27290101039979286	0.2470016990405055	0.2533317844243552	0.2454261250111981	0.24554325466817323	0.2587751283449563	0.26834070432082846	0.24399910217139437	0.22749565365507723	0.226221593246336	0.15760351937226913	0.1533289618789878
30	0.34388503929662917	0.32102750232829425	0.22978268124329826	0.23591247121731995	0.2502387428196019	0.2825694507088692	0.27391950236362966	0.24847830721670497	0.2471761068211275	0.24255977297665868	0.23835852576225425	0.217807470372751	0.3366133959244418	0.2970156324899078	0.2836661934605022	0.2995855616181475	0.29476145242128643	0.30012113659865275	0.3200039258175158	0.3261925134071572	0.30625789374504886	0.31909206736495577	0.3166288948056987	0.23181519518901372	0.3170869234010521	0.275424121639313	0.2617603607425445	0.2883349115973096	0.2835258419495924	0.2910839761748724	0.2934666766269539	0.2979480828929777	0.29283408670335975	0.2994750412600956	0.2918970599606454	0.21098107251368942	0.31638415044741025	0.2756649775816913	0.29211472238815395	0.28612303534393846	0.31141715645427104	0.2823235266968892	0.2922807416039637	0.2923161657878911	0.27982690366259955	0.29429996847259776	0.29307213776320296	0.20917240233460838	0.30751535710308564	0.28049732943751454	0.2662669145166025	0.2682619252327344	0.2702755829517405	0.2632955672900362	0.26827638543831567	0.2723695159820051	0.27349559243461985	0.27028755960270895	0.2738882511373619	0.20224923457237093	0.26780160883888876	0.26624303479448597	0.22071572893043467	0.24654645979042616	0.25465697846886753	0.2793726473103517	0.27636840777053917	0.26711949420513303	0.274912390465102	0.28200174534413014	0.27319990749254214	0.17305427662529616	0.2773453142767366	0.2555259376157137	0.25732267329739356	0.2511865376702462	0.24372672103589482	0.26828762824421404	0.2726130481538662	0.24625610063973175	0.24080550050669464	0.25862380697812576	0.1739343564097809	0.15854668484784734	0.2810916744226364	0.2675988308933297	0.22746812344112644	0.2414019059311059	0.253778926702375	0.2665250404042822	0.27003560401477733	0.2537999425076357	0.2316975537788334	0.2393299773299687	0.16362491377920724	0.16292320346844036
45	0.34063417976881205	0.324558597061981	0.23984316941301934	0.23738291684604096	0.24222651133603773	0.285815745298929	0.26108283853991343	0.26463458929380435	0.24606161728766857	0.2492909272872222	0.241318167780819	0.21395367937747028	0.31978376456151003	0.31466445203853766	0.2961911349629601	0.29284193232896316	0.2904665207524613	0.3071387096668745	0.3173392848829093	0.30296849856605357	0.3086677786136105	0.3283883029596641	0.2993954746116476	0.20328843330735544	0.31950531953226646	0.3015035362309124	0.2809944576887585	0.28096757278654316	0.28741591579233455	0.3197379655938427	0.3042288038014892	0.3093935696443544	0.3139710680288791	0.31852762031814397	0.2961347940038691	0.21100792014616732	0.32798151839501855	0.29655890229074433	0.30088376158508345	0.2714323173028469	0.3135033820187054	0.29758544564012046	0.2902913628218723	0.29507072751056695	0.2897967444487247	0.300362050576372	0.3044759385889629	0.1994874906559629	0.3137000088718939	0.290521113114931	0.2750798057271225	0.2606381489678664	0.275938454166015	0.28652427302378575	0.27204920716948117	0.27986475236096997	0.2825997598884351	0.28392298815640404	0.28497051210308655	0.198882392150948	0.27074463972887897	0.2669269675458763	0.24377364879069316	0.24292823169765027	0.2588887418814018	0.29217517020699146	0.2626675610851913	0.2559891652795087	0.2794072675545197	0.26806029856784985	0.27649094564985244	0.17451675318058815	0.283784418632613	0.27626001003883727	0.24731034241228972	0.24313412242460092	0.24742202977741895	0.2637484307640726	0.2676102017450215	0.25271671424105463	0.2519886230183854	0.2694003903893287	0.15610982107731403	0.15483824813727054	0.28168914020918	0.2649283803849621	0.23751685209132872	0.23213296819921336	0.2624377609134676	0.27738871794205455	0.2629133309285874	0.24658032904276356	0.23066124188737003	0.24459975100947198	0.15741419112013955	0.15108854671327873
60	0.36777210234117896	0.32797646637894395	0.24477195914887007	0.26625146930437504	0.2626025739526183	0.25987772695708133	0.2834777551254559	0.2720317289566045	0.2645975505975361	0.25485823743230845	0.23868002414690714	0.23708683149430754	0.34722238249552595	0.3022439590859878	0.3271609069268259	0.30412041361400854	0.29257446999287867	0.301756550470051	0.3195316082458961	0.324172483201564	0.33958984644175383	0.3161263931446957	0.3034244290029927	0.20989494120523092	0.33439121788005677	0.2963655722961891	0.29760461655819653	0.2863277681784035	0.28498448196006876	0.3107936289930601	0.2995981440030855	0.3232023385845427	0.30937406367829895	0.33909123474586594	0.2980310697340969	0.22320997059698172	0.33764404054862596	0.2747705447591353	0.3089734571593685	0.3051222954171744	0.3128182439822739	0.29329565388364426	0.30250072151399837	0.3237964773942541	0.2930026156290466	0.2953591883028013	0.29826145149420447	0.20799319324741627	0.3188913899047713	0.2793758091182946	0.282594283076505	0.28540895597567206	0.2776093846066723	0.27683049207314436	0.2675020860905961	0.29677952507969974	0.27690273421145983	0.28492383462965415	0.290086961641423	0.19822355696798727	0.27169493098992253	0.27030748442969	0.25310588997681016	0.2628690557517027	0.2513385742670562	0.28846054745679234	0.2792374499390647	0.30131893291360573	0.2842610220944456	0.27779517697556616	0.29711992911384166	0.17320388671845705	0.30041138425023106	0.2891737858833565	0.2660411986633321	0.27327710924918025	0.2638111492518107	0.28585879821970495	0.2789833884619435	0.27579886175491264	0.2550849900238055	0.2802966959243528	0.15964814611716543	0.16725006668556963	0.2697135700066167	0.2535863620110804	0.2540604853472954	0.24136115776940842	0.24876915564898505	0.26310709501807417	0.2698678558892191	0.26048914487868835	0.24325934327105625	0.2454006210805441	0.16387951093110253	0.15703483660653506
75	0.36688509709390427	0.32065819439653853	0.23156883698592193	0.24532166960851903	0.22046978566616918	0.2825460983613371	0.2570208212672842	0.2455808461922193	0.2645742923461194	0.22850552759912374	0.20177435091858875	0.25179362674158895	0.36526752578940747	0.32524628138900347	0.3456885915030193	0.3096171359152534	0.28354326785496264	0.32365696836288993	0.3192669184890671	0.3392696165324416	0.3856124574891997	0.32152054657651574	0.30269201851228655	0.23991845761600022	0.34870716828018655	0.3018025096681694	0.3180948159135187	0.29729937607080953	0.2828331336331091	0.334323063817459	0.3096157650326316	0.3357892193555226	0.34637493364847727	0.3451368052242072	0.3257023379835061	0.2513329171423937	0.35056342926894746	0.28312702384368005	0.3299526749385329	0.29821752271559643	0.3384922494575315	0.3311008716506472	0.3132428518071334	0.34118434783993645	0.3331318857216711	0.29866571749669524	0.33795015106131376	0.22329790893802298	0.3168458823629279	0.2696825701246053	0.2977357470948617	0.28429673548287254	0.27299719089454644	0.2825406694142682	0.2710108716033529	0.3096645353520691	0.310128579796927	0.2757392939842532	0.29905481151955343	0.22725502039934325	0.28910576396300525	0.2687469819164928	0.27409357966116443	0.2782629801092068	0.24527596444887623	0.27989135273634974	0.24700523360637222	0.30274991271945473	0.315451644352327	0.2718870564293891	0.3115802544323434	0.1857327060884817	0.32263817352033436	0.28377861994293385	0.27578153299592056	0.2895412388616717	0.26157136626936583	0.28547245835605006	0.2682328773378069	0.29192197157599586	0.28167050351786554	0.2746133297678197	0.1720429009750236	0.18193314643313135	0.30444614572266404	0.2509314543494773	0.2895477576004453	0.23789847396008396	0.27440304435890867	0.28947863297370025	0.2844591809738146	0.28096708524345654	0.2812428668391143	0.22804108103723336	0.15905144304805235	0.17546864951596175
90	0.3935233410225081	0.3358825565307729	0.24459945136813668	0.2548300498530582	0.2422407470896058	0.2671261439947516	0.27393199898939635	0.2352935826940239	0.26262005427144525	0.23378335529399683	0.2155604673589065	0.25523645814458706	0.3735605226146626	0.34159687075681977	0.36655007422674013	0.326925321250664	0.29500392680196874	0.35128580567261974	0.3269918968044754	0.34995927755096035	0.40631896203964424	0.3401609283511201	0.3006084146950805	0.23546872308698663	0.3649736212943303	0.32819161715036005	0.33511692255231734	0.3034386378090677	0.27211010759831755	0.34538458727095955	0.32009580133438165	0.35700975691190395	0.3566854036201358	0.36741907331833246	0.33118534130721633	0.23297744317910085	0.3639578065350625	0.2766232818118268	0.32812516806526193	0.30347592239579424	0.36012008359861086	0.3298736227060777	0.33513696619643707	0.3571995288585151	0.3535833377578725	0.31655863120625893	0.34446390960515294	0.2176540456573571	0.35875000010439945	0.27366408762202515	0.3048723158737711	0.32327526615962154	0.2914577862336642	0.30749605557455006	0.2849302867042894	0.3184067103206109	0.3348639185249934	0.2773101691412196	0.31816057308501355	0.22905724145439652	0.2944735983930495	0.27277262875727293	0.2934755146064417	0.31038401573693103	0.26775433693223794	0.3090596182269343	0.28125381724080006	0.32722738632834153	0.3366330186124014	0.2630882016712003	0.32261065430584435	0.18807055687478613	0.33368219331063276	0.29047333022399746	0.2775701934286382	0.3174823393338444	0.2705829456267977	0.3013623397360097	0.2730560967636076	0.30204281850860737	0.2872251455583942	0.29735170975429115	0.1471925313290275	0.1811417294197016	0.3156948136203641	0.2541036551343838	0.29069826963600087	0.25937244646132035	0.28633848850614163	0.29719777593311997	0.3169196876696768	0.3092443262663014	0.2979808985592302	0.23768177643552102	0.13497527950475446	0.1678489828630273
105	0.413190325456114	0.34987933787689063	0.23357467507220875	0.27341815715372164	0.24548364594538166	0.2745532950449689	0.2935200944338408	0.265731778749038	0.2616770383569854	0.2514516814497355	0.22493361242477322	0.22180021892934576	0.4102870189688257	0.3870391083477502	0.4139551954608455	0.33408645593692166	0.31567784166180035	0.3741437872049325	0.3657363119496442	0.40028147835404226	0.4300795265016497	0.38861870350062744	0.32276861492785064	0.2161545861990688	0.40061099598398875	0.3694673976068058	0.3752978628119771	0.3217548749768495	0.2789122935316717	0.36340858634344697	0.36812160323364956	0.3888340894338115	0.3754728658782007	0.41417867592895175	0.3480302796490417	0.20323990348296242	0.39215469286637783	0.2951359072422798	0.3624223872749237	0.30951629644506184	0.390548168422393	0.3504750513489896	0.37260749191979947	0.40260675845398985	0.3701855212591779	0.3498049060368605	0.3694598636906786	0.2073314861474263	0.38896067611449814	0.29282914340352884	0.33863044592151625	0.35439772870506003	0.3126110867721017	0.3328821136390331	0.30594544721029054	0.3697122441082453	0.3561789515040282	0.32925625297808814	0.3337000293018134	0.20367826826778362	0.31856797110549606	0.30228254156729106	0.3200730114183542	0.32720098978527146	0.2720213667002733	0.32151754685684286	0.2982372901741215	0.36976906261697207	0.3710396426805569	0.3099551746117478	0.3450238311778589	0.16688216678522916	0.3679129635895082	0.3266926773871156	0.3032103042488472	0.3404633467549121	0.31332382580195506	0.31156926391568124	0.31326176655632865	0.3441960966723483	0.33163317605953585	0.35824810232135185	0.15890998315265967	0.16726134829757236	0.3381305087543795	0.27781524705906757	0.32105608457317353	0.27673520946170294	0.31137808886984014	0.31066816414097853	0.34951879223828186	0.33990469686288194	0.32245262009301806	0.2893406832180676	0.14606690117746385	0.16041220386191324
120	0.43041317548485425	0.37350622001927647	0.2574144304824872	0.2521908794169387	0.24394715844629816	0.29259562469281075	0.2989427101892006	0.25529562485473184	0.2543280476136133	0.2592294109692607	0.22580288812811614	0.2244595723434923	0.4198333697458507	0.40947087019128314	0.44543647380147955	0.32865255160267937	0.32077016158015875	0.39892672289165276	0.3739191215811489	0.42325440371354056	0.4589714116344884	0.398898658802548	0.34086228489959564	0.21942424384973674	0.4058270464969368	0.40138425350674467	0.40507807888022207	0.32277276454354115	0.29203941501671093	0.41753465027846126	0.3851495880034016	0.434964178359195	0.3944802079441664	0.43919614837292165	0.40678503829360424	0.21532965200417328	0.4055853272597139	0.3000568896391167	0.39519462159343977	0.30279690534230363	0.40809252015994935	0.37328030694924663	0.38941717247611984	0.4223806861265545	0.4066880030000622	0.35231677332673084	0.4103573138471329	0.1970398022555701	0.41067816213536046	0.31379169661666206	0.3737382364306211	0.3779421263003797	0.3637421083768933	0.3681505505234403	0.33204529510436886	0.4064535655246928	0.38088800125668937	0.3436563043652787	0.3889154171944391	0.2196919123326312	0.33641969972570684	0.3230153747158635	0.35309209362983485	0.3660778645712139	0.29140705572050085	0.3644690574730928	0.3126466890368452	0.40698237937618925	0.38810411123898825	0.3294739611059504	0.3881384248676588	0.18509758070567772	0.37795626263754367	0.36686758399003927	0.31556024930032545	0.3650924219912227	0.3257372625981303	0.3318904422123885	0.3349074440403721	0.37534016325811687	0.34189874339738285	0.3710527066354448	0.16781350901169878	0.16998895656725505	0.36348096913111066	0.3011227972491378	0.34273777043282816	0.2864141104656786	0.342233288067051	0.3378906061123072	0.38969154937702233	0.3832620032169648	0.3462135093815929	0.2942047381776295	0.1525549050674766	0.16741297167182723
135	0.45074323914205483	0.37959689801695123	0.2434567515810389	0.24585958569045696	0.23464571827974995	0.2843779396093491	0.28214158510524245	0.24170929287364368	0.2528965211191695	0.24654902902985498	0.22984115198811808	0.24207386050213964	0.4474767055454837	0.45094632959724323	0.48331273176761447	0.34646995503004624	0.33807789481728723	0.4212384437507032	0.3757129614650955	0.46681252218049313	0.4865940418309286	0.4332439340273332	0.3753122263142435	0.22677668307107243	0.43811321120645774	0.42488395073564267	0.4363822687067094	0.3371167745334045	0.2993795949489233	0.4389585326466963	0.40172212019443015	0.4640095952073786	0.40304510909775115	0.47007921502659605	0.4300482175940015	0.21404145143876532	0.4329598799551334	0.3087246189411136	0.4289077924798662	0.32037703574622023	0.46651949916941027	0.40309033835028707	0.4156265246097251	0.4700797155840552	0.427509753626632	0.367230095125503	0.4589872853879961	0.20545263718243534	0.4269814334439353	0.3089192707610102	0.4009333957117185	0.40591840946007474	0.36601378704122695	0.37199677310277013	0.3510381864351274	0.43609650911786124	0.3975873926860676	0.3698983403509401	0.4195803124275628	0.22122815209140767	0.3580413886072925	0.3454509608376448	0.3827484884115192	0.38649603016803635	0.3176375640562644	0.3899844773354241	0.3252516168457982	0.44696296876910996	0.4197875051067693	0.33339182580189775	0.43305246594578717	0.18061077112610147	0.4298268297235973	0.3948844978726973	0.3398772389392979	0.40454930770186764	0.3668153365828116	0.372341241221413	0.35383462009055416	0.4152954106251955	0.37235588812499687	0.4111369558100878	0.1695995097876291	0.17339414380495194	0.39846892894660424	0.3220638655740935	0.38514471501329905	0.3046789560533109	0.3674068643446904	0.3584588587592671	0.42375949253118095	0.4215691411880118	0.374693731500262	0.32128396790256153	0.15839626142010946	0.16840963631231584
