	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.18041863815985504	0.2071471930387941	0.03293186620964706	0.06391898558720926	0.08540061755441589	0.05823749943389198	0.08579981379671583	0.07717449096898821	0.11923591122575866	0.11036026061021617	0.10974656134700642	0.05974287449222384	0.20354593055293832	0.16420498827273394	0.14813663896665086	0.16232815581786808	0.16612276212837124	0.16362280691628756	0.18139984061064734	0.17955081957160812	0.2112943875485369	0.25976502330318185	0.1791708422043167	0.1563158807937186	0.20167442925800536	0.23023261763989436	0.19652422636721079	0.2083678272449856	0.21077937844423322	0.20349835471251607	0.2752978171496314	0.29632190641904343	0.2757399445277097	0.2671421392974609	0.18442052256310293	0.18838514304221654	0.16747987161717753	0.18293877701950573	0.17599055643275183	0.16102358228108993	0.16144342429508687	0.17952034470476752	0.25289734480879106	0.2551035065817969	0.2264603340552897	0.24815660526615962	0.24310304900927707	0.15166276396229522	0.24304578852029912	0.1379166662353667	0.12800782638559655	0.1340994303902147	0.12978410592059014	0.12458511392618266	0.21477044196509354	0.23233128831280425	0.16558298570736352	0.2270376058040275	0.16946688581291697	0.12491609449467939	0.15595871316091192	0.14301302945258537	0.12611352616801766	0.12851833418801883	0.11991319591594896	0.1111391216395835	0.1749117316599798	0.21771084493172554	0.2268578150622496	0.09101488268864973	0.13733787604194753	0.11816203252844415	0.11966746532284608	0.12396104545478284	0.12037477378323352	0.11700859344812028	0.1307459690873996	0.15560809329159214	0.161859883013439	0.25746649803346217	0.20595747241417242	0.16455888308616162	0.21072669533434224	0.1235559895685563	0.13269128395206797	0.15093288748446182	0.1449090347973032	0.13828693446835383	0.151935994073516	0.157313279545401	0.14213609026107232	0.23617918464790477	0.12732583945684448	0.23176656593674685	0.11769560495999726	0.08593717648477928
15	0.2081795879934588	0.223649092538134	0.06094418802298482	0.07676645193250953	0.11308330990009234	0.0829471433341602	0.12547445164223195	0.1338931862958847	0.13206320891622012	0.12249449247953365	0.11282166939150545	0.07399382855811545	0.22206619848233605	0.18949897892085865	0.1744525401938234	0.2001319388023384	0.18014745974632246	0.17292245775264198	0.2325624491595334	0.2325037653018937	0.22579595425700943	0.2817816070676135	0.20000677660479077	0.17587305549962673	0.2208194044668843	0.22624867765907744	0.21086372950901916	0.22136566931036294	0.23178473269683045	0.21813982841552898	0.29263155705420596	0.3135286120532886	0.2764441929001003	0.27756609425065304	0.20212923691280615	0.2036059155563124	0.20398658676655512	0.18749395713783218	0.1771284265406029	0.19526003793913863	0.18492340002750934	0.19411595851467606	0.2550927154439659	0.2715506176147917	0.23209892822350503	0.2608279949938618	0.25976829880694885	0.15379887735144382	0.24801930641561723	0.1661970920956236	0.1394733996847387	0.15560337854577216	0.1553939993942042	0.1269294327570072	0.26356063433626165	0.25751612459273177	0.1922835254714137	0.2503272883353904	0.2035743710112441	0.16210299044366794	0.14332351562039874	0.12463641271194509	0.14656272992330122	0.14980893796548675	0.11411795796966004	0.11322941766635637	0.16195313099569833	0.2360900786414344	0.2518175904854887	0.08649380355970794	0.17497966544541105	0.14150699767551472	0.1424837971782391	0.11945154544504441	0.1485618497012624	0.1355226654613748	0.15433830388448397	0.1484482670144892	0.18114921225463068	0.27350673971235473	0.23645489404393816	0.1648418881697996	0.25432528996554593	0.13095540691973917	0.14010788531919294	0.1349137307580148	0.15927204622637198	0.14711088098176933	0.17888877107036685	0.1671442867956815	0.17508140091492638	0.25586624975190486	0.1202084787134671	0.22899563085800417	0.11935360679137888	0.10154520744427921
30	0.21519875628300855	0.24587516108233748	0.10718819604719594	0.0922280905491566	0.11519216507511743	0.09199606032264672	0.13277661542535574	0.13932639699984306	0.1356847274208131	0.14595013995719117	0.12370620109199075	0.10747102794713903	0.2370997246439636	0.20690779546653953	0.18887642584529532	0.20832654376302137	0.20095532338511493	0.19456543299050771	0.23345289354430665	0.2359348982716769	0.23685207835405764	0.2918849761787592	0.19399254296370239	0.1813021977705921	0.24178250571912713	0.26062598728525616	0.24336050678285442	0.25311685439723	0.24631594886412095	0.26908029297449393	0.3133305724965758	0.3380897172027826	0.2922900180270484	0.2993612219689511	0.19270097778623224	0.22603062652010683	0.22708439586968227	0.23339918561087125	0.21170527733072267	0.21460559346206334	0.24949728308477467	0.23688057437490684	0.2902542287055425	0.2878874679223584	0.2513656535200256	0.2828764788686266	0.2746069079681833	0.16694023659609047	0.27235254195766834	0.18475767691776257	0.15813172104758916	0.17420556538642418	0.18068197691249663	0.1728906146963488	0.2629289255922066	0.2704816389825171	0.198016778886056	0.2637912770632177	0.20333382816683337	0.16671765575006214	0.18757102567991216	0.16274249043792766	0.1682900913631419	0.15350472849828894	0.1753942475867094	0.14665464568802666	0.1990386012579017	0.24392008630045392	0.2542694197082308	0.1336372648027015	0.19144099238013276	0.13710404219474787	0.1695619911055757	0.11814690480510825	0.1511331399658729	0.15391845368041118	0.17676610254980257	0.17095197060645556	0.190534965621716	0.2752959106289228	0.22735480237621458	0.18102369589763345	0.24896875679519292	0.15843578475658715	0.17025626322293952	0.17254842323442005	0.18121195737912676	0.1711646474910723	0.20335426028148007	0.17115583788367106	0.18491770913625338	0.2577340480563469	0.15805291714882613	0.25010813558815326	0.12340246314090053	0.12520778038746805
45	0.21834767664963012	0.24330538741046084	0.08501127113021384	0.08414440805537529	0.11024833440806253	0.08290717652996404	0.12772226206421827	0.09994063022846336	0.12277128677759987	0.1511297366346444	0.11895647720245382	0.08023094140490555	0.25049667227197	0.23243006869596275	0.2052919974919234	0.21870217954696508	0.24160254312073579	0.20676871312153	0.2544468503651012	0.2308063904869116	0.2639453470096629	0.30777614025595007	0.20512877237129368	0.17506985289187027	0.24173765125619157	0.2863209751374981	0.24678314531638454	0.2508731595310429	0.2601596163690856	0.2732132193053035	0.3249188062401203	0.3393720679809993	0.3149655066060334	0.30203198061146763	0.20441991725837397	0.21999013793052435	0.23495090067550445	0.241244693256913	0.24843827231337073	0.22150179722856578	0.2620767693959344	0.24960627735148694	0.2932283568431895	0.3005486275470125	0.2715440025173038	0.29423131601159747	0.2979891200657924	0.18422449566819227	0.2729592056052602	0.20029091743449823	0.18176705200170457	0.1845215124917872	0.1924569372529069	0.1735918339337275	0.28728166828290413	0.2817014322660395	0.2100463201070618	0.2720314298533307	0.20737602781414374	0.16121397253919792	0.20412387401786677	0.18594390229777846	0.20086519485207366	0.17288551488686668	0.1773663162876708	0.15047972681165922	0.21085903434623557	0.2573642382499519	0.27037353399042535	0.11160278557257672	0.18647260586585881	0.16288869953593227	0.15926309543452152	0.1373457880050261	0.17927918742895332	0.1728651477195725	0.2125884697215224	0.1726346029140392	0.21978125268852022	0.29562743490450377	0.24072799093737013	0.19113319896657088	0.2568950324395444	0.14427860347922758	0.18686661199006926	0.18229177302003913	0.18719031980759535	0.17960757845672687	0.23477664793672293	0.19094600850756038	0.1910175473002711	0.2665962842861562	0.1571616259215281	0.25992351674797937	0.1295653709052098	0.12295830817134112
60	0.2553455242262278	0.2408463667367715	0.06511991797854658	0.09071734494857717	0.10287859974901245	0.08240957121147173	0.12589836735658944	0.10969913706646178	0.11746801013043007	0.12008516106525906	0.12067062788732086	0.049587087700802	0.27342484722277294	0.25458312149815554	0.227631432574447	0.24826131246659178	0.24668565915177937	0.22617408159101848	0.2665945923553434	0.24707673939899644	0.2664464253301122	0.32320227433949733	0.20360997808059936	0.186123290319133	0.26379407753811357	0.2941401708992748	0.24779578872270855	0.2794328406012934	0.26576807240001743	0.3027173221844752	0.33184385772587066	0.33462154846276715	0.32007130353734414	0.32369698203337505	0.21155916138735945	0.2030657102862492	0.25357593650586274	0.25997454810148257	0.24004803079424827	0.23361111106211002	0.27582552740079036	0.26887702320909096	0.30579483243492167	0.2942054131112596	0.2640798664078149	0.2969846958248742	0.3205176530298903	0.16406331309167818	0.29952671994469116	0.21646668649293827	0.19941210313595426	0.20227365873913256	0.1959507064515703	0.18454585243133553	0.2961021073551212	0.2823549468236244	0.23678285864602377	0.26754880110654633	0.2278837177996043	0.1517948623339448	0.22897915526999413	0.18764854122385644	0.202969617615024	0.2072128990772934	0.19761314233046803	0.16690202365825146	0.22647226377534752	0.26158434739319925	0.2835872836365664	0.10774526304350751	0.1857437333443693	0.11284116286282683	0.1980217846044279	0.14615660971118574	0.17367439811299074	0.20287047505457506	0.2262828526105633	0.18554695204832417	0.21084034062262402	0.3089734571593685	0.2481662620480457	0.18544104662694783	0.2824819270174855	0.1366604732219658	0.20837371682847056	0.18262760846142956	0.2052820225302015	0.20615578382462874	0.25359485645577473	0.1893659419927976	0.20793884145612718	0.27879308112515216	0.15659602743083278	0.2566521832889632	0.12321227473226753	0.10918992323405889
75	0.25850725410734243	0.296097265097708	0.10784807069878107	0.09195149971804206	0.0985830257565579	0.09084039348756848	0.12068232427475103	0.11871016247829565	0.11737121178957256	0.15158052116054221	0.12652521325400387	0.06653920416055946	0.2951753979792522	0.29090698470566845	0.22864005588878392	0.27523949882753734	0.25693771562156625	0.25328746882450237	0.286042775340388	0.26354007266228385	0.28539189398969433	0.3237294052096439	0.21676033862602923	0.16601469157273108	0.2655780647693301	0.3225092238108001	0.2951779591025609	0.29111290805336687	0.28842929885571866	0.3449747228512611	0.34063991957533657	0.36997795376285986	0.3291913671552551	0.33732881179352386	0.23061229572769779	0.20658767251909982	0.28008385305453576	0.2716723541629176	0.2613722522467923	0.25489535009009917	0.30413011598516515	0.3070291090698619	0.31343117192954795	0.3103757380992243	0.2924934268405239	0.3051211714704848	0.3469341562874454	0.16865875365705474	0.3043874125041002	0.2394423018739604	0.253179203661605	0.22806337829119053	0.21522147663426716	0.19880683700051044	0.29943063816163906	0.3098931774628717	0.2515895600480069	0.29547203108578934	0.2646589039024286	0.15956738961780176	0.22247822953715518	0.2293384863172097	0.2175478235169912	0.2279558513453171	0.23729008572695787	0.19996719242980837	0.22718118221235523	0.28127536210287246	0.30722860244026445	0.14536494110339265	0.21413454414194377	0.13586811885109137	0.2260417348940994	0.15951198400263084	0.22580004896366918	0.21998130676695088	0.24709175169949765	0.22271714593430442	0.24808594746573207	0.3061194463265777	0.2656270203100539	0.18860205284140302	0.3027878229702119	0.13312715310148504	0.23892133311284167	0.2267238896427874	0.234614074030531	0.22522280317431126	0.2803467903602203	0.22603146862234266	0.228161521940663	0.2812587954070578	0.14500992212185165	0.2768873263239699	0.12745257281670752	0.09384331310743316
90	0.2898176150293691	0.3224604111485351	0.08870141433285195	0.0646339153376695	0.1054124984915652	0.10642495651126321	0.09217100440791585	0.09286332373514676	0.13261113725222973	0.1394743568798145	0.13587154062690282	0.05944184170348263	0.30629648286130423	0.31844492527109725	0.2920302456537263	0.29889289052041923	0.2872279794956145	0.2745967431133385	0.2883670006015058	0.2736232137896657	0.3031337254901955	0.3465179985580119	0.2076956914646194	0.19134523446067267	0.3142609651373648	0.348998688121136	0.3244683434506217	0.30651904557261106	0.31299817044133804	0.35972485621658434	0.3657501989036732	0.378895097473382	0.35331077093853325	0.35130423145887113	0.2561926441104367	0.21268387468608696	0.29189799877639044	0.30491269708336466	0.3039394239704411	0.29868427314536494	0.3419349818534413	0.33737976713298035	0.327390493288593	0.3363345123727499	0.3230136124600857	0.3446440034903623	0.38772303601410985	0.1707529762597529	0.32940943991825855	0.26529590109584394	0.2564878943141674	0.2507454282084167	0.22988233232901634	0.20835936646469388	0.30534776012157294	0.31251578329197116	0.2532783397203012	0.3071631113936827	0.2637539996668953	0.14608778349563517	0.273475070190838	0.2669677777480475	0.24595422863388477	0.2564421531477452	0.2647298128623795	0.22116533101508218	0.25867695021952447	0.29971683439587976	0.320118241637642	0.14318260832021523	0.23509502286246203	0.12546054638660234	0.2673603638729216	0.19680046250366312	0.2472593624865156	0.26207597703224117	0.2926096725850808	0.2332302565765102	0.26808333185132804	0.33761164635648555	0.2879284353562814	0.20429691864441868	0.31380705834625033	0.14303916145834494	0.2692484567463521	0.25654027893591747	0.2589883240976276	0.25625540698617555	0.3191633168077004	0.2638327838419191	0.23755547367892227	0.30016941576091744	0.18183994656689556	0.29073752377426965	0.12881810098334645	0.11727655723817605
105	0.3156675100337502	0.34595761061223984	0.1042807511413694	0.06654752243786952	0.11452626001260449	0.07924689667460316	0.09710544908076524	0.10972142083262144	0.14310333135904557	0.13805816164148565	0.11439095204946687	0.05503815467449011	0.34096781188801734	0.3629997016485175	0.2971574712650461	0.330195300831327	0.33405486105052107	0.3053246496313193	0.3144796526926319	0.3070188753818263	0.3373376880783002	0.36865173577331445	0.2356584272533379	0.18423910452347025	0.3222321146056374	0.37609238118369726	0.3474963535690764	0.3398448380095851	0.33836785280048665	0.4019844372552611	0.38083045145694133	0.3956721136011494	0.37579708573639004	0.3683821166684682	0.24962462690250253	0.2006068741438044	0.317642577010609	0.33066590076234503	0.3157051354191288	0.3225096831601728	0.3712542567471452	0.3750176480044025	0.3328626032927051	0.3456599309629551	0.33812329048922646	0.3408689494498689	0.4052854041347205	0.15395063431930742	0.35667908249089153	0.3034949024578455	0.3058522149157342	0.3020136721221961	0.2701583670812456	0.2644264488541757	0.3336035800651878	0.3250099496531679	0.29515358414485793	0.3223521787538292	0.28979345829686765	0.1512208397628247	0.3133045088723112	0.3027963861854065	0.27644238037574087	0.29163711587762775	0.31592500634685117	0.2275193027816535	0.2696686169018175	0.32529102585132075	0.35082638918560727	0.1418522101515055	0.25338295118362736	0.12598963351482056	0.3053634202328924	0.2261664596735275	0.2812856808931029	0.2838419945464299	0.33394494515375495	0.25721192049873765	0.2771757654653624	0.3495470341538719	0.3094134004563961	0.20187520594267194	0.3368928758714902	0.13390991590351464	0.3022912603545902	0.28428876863421493	0.28780825067701155	0.2781003795873247	0.3616550466468262	0.2892038733905471	0.26745610365519756	0.3214146910221531	0.1940939656303261	0.32332129068335524	0.11526167491722529	0.09862855054104777
120	0.3311451995944412	0.38705911977199703	0.08483934208432159	0.11804405858045425	0.07263072969245288	0.08275577250391072	0.08667133756345374	0.12045554167059622	0.15105369969644483	0.11320814130665421	0.12936194364092812	0.093832154236956	0.3574469555970348	0.38026111996585954	0.33916228012850114	0.3657300982383734	0.3690095363854186	0.29673067081571614	0.3375583231291446	0.32884726686511734	0.343411235080773	0.3872823568909016	0.21224866646211402	0.1903741562442089	0.3505429998730362	0.4136055334520538	0.38975580835431234	0.3945569177597432	0.37444346057018535	0.4542614429435984	0.38185936644187357	0.42722303055833455	0.4025184844586168	0.38430847630214116	0.2605688264203549	0.20799853213347222	0.34624929033540497	0.36502339405855405	0.36315370484387066	0.3582562324783871	0.4289846279912368	0.40743692422626837	0.3556723722537226	0.37708386117994475	0.37078806405133025	0.36193529808532104	0.453024609883834	0.18079334465479435	0.37154629514261356	0.3262201125940934	0.3257235660189338	0.34143188423381077	0.2914209182737012	0.27416825754306506	0.3533099574738403	0.35980293461129	0.31133685792109633	0.34547288632800294	0.3055331816788862	0.15552987649557534	0.35881916646248446	0.3371598962091967	0.31284954081970695	0.32201903998156023	0.3611035762755316	0.27073984527047323	0.30225827894789425	0.34997909936727567	0.36846939828580083	0.14650435410664675	0.27379812307602824	0.14373706949856785	0.34879762524560765	0.2578532945324775	0.30851180179253446	0.33492326100499564	0.375493960587215	0.27794451437075207	0.28825325928751194	0.38142727694395895	0.33893922062366366	0.18947229469461843	0.34675860166269024	0.15717133083703305	0.3384109286308795	0.31651270158274486	0.30538144892790964	0.31740393932457445	0.40262261149173295	0.2887283826988798	0.2737995099188765	0.3447460888704371	0.21703708513219436	0.3294369218045008	0.12569606242376458	0.10669594135118779
135	0.37416749776694813	0.42692187739243936	0.12228916543240326	0.11843397456560262	0.11668068225142593	0.08675760435935112	0.12177972726087397	0.14859533190984148	0.14297854811298893	0.11967974934855274	0.13088543024516336	0.10449025121540881	0.39559249392450235	0.4421701660622303	0.3890941103842053	0.42603900245893467	0.413399490548816	0.3351757890417836	0.35251289160067323	0.3406042488005623	0.3867434929828038	0.409492444744137	0.22259892416901253	0.20237249434839444	0.38373866293862946	0.4536194969750656	0.4260561389330346	0.4257259670903029	0.41279907255881343	0.503560046019034	0.42740081766925564	0.4553683666642927	0.42887754950524537	0.4092115857828533	0.27298567541863505	0.2213346844328276	0.38617181156205466	0.3929001174964577	0.4097285156765324	0.4039081795100806	0.47007921502659605	0.46865036256160575	0.37862742733905763	0.40137003704257246	0.4008247719978465	0.38299605365342093	0.49820029723666936	0.1888362899348361	0.3948985858675127	0.37157188218996473	0.3938080557230523	0.38782550757132866	0.3255140810061746	0.29772983213091686	0.3803045152466578	0.3694607930979734	0.3284299992802048	0.37522804815858446	0.34044070202085464	0.1733758605061933	0.39022938052079853	0.37688487280688493	0.34286373339095655	0.35950317109405217	0.40613048000441343	0.28560888162017534	0.32525172234042105	0.36158276069257667	0.3953894389009599	0.1430885661207042	0.2998293371707909	0.14802476090514854	0.3921520650531788	0.2998956716541771	0.34187824164880265	0.38460804183644415	0.4187447705826365	0.29591606812907045	0.32797226494215403	0.40360618324277364	0.35746028696994747	0.20732703607115696	0.36919016161835694	0.14723227796616173	0.38765684932908256	0.3582900592347783	0.3577552511871709	0.36222907307299507	0.4590464506642492	0.31525138525233154	0.31819294038597973	0.377421211490876	0.2311115928355285	0.3590831969331163	0.12795833479841587	0.12195143040829395
