evolved_compound,grown_compound,strain,repl,growth_rate,rel_growth_rate,growth_ratio,exp_name
NA,M9,MG1655,1,0.5747677312350904,-0.08935491745785396,0.8654541933877533,12PD
"1,2-propanediol",M9,12PD1-4,1,0.8863361826849988,0.22221353399205446,1.3345971326672739,12PD
NA,M9,MG1655,2,0.6196985218244934,-0.044424126868450986,0.9331085501211533,12PD
"1,2-propanediol",M9,12PD1-4,2,0.9501298201794732,0.2860071714865289,1.4306541450580217,12PD
"1,2-propanediol",M9,12PD2-5,3,0.9222113973399987,0.25808874864705433,1.388616092456713,12PD
"1,2-propanediol",M9,12PD3-7,1,0.7705967922977572,0.10647414360481289,1.1603230123447288,12PD
"1,2-propanediol",M9,12PD3-10,2,0.7000082619865913,0.03588561329364692,1.0540346174976463,12PD
"1,2-propanediol",M9,12PD4-8,3,0.7215708361854278,0.05744818749248348,1.0865023766401385,12PD
"1,2-propanediol",M9,12PD5-3,1,0.8519612502347235,0.18783860154177912,1.2828372167572708,12PD
"1,2-propanediol",M9,12PD6-3,2,0.7677775952402516,0.10365494654730723,1.1560780177446288,12PD
"1,2-propanediol",M9,12PD6-9,3,0.7339264065357844,0.0698037578428401,1.1051067268677262,12PD
"1,2-propanediol",M9,12PD7-7,1,0.6732798442063289,0.009157195513384564,1.0137884102152017,12PD
"1,2-propanediol",M9,12PD8-7,2,0.8290522483641947,0.16492959967125032,1.2483420795779925,12PD
NA,M9,MG1655,3,0.7151363154661496,0.05101366677320529,1.0768136230161778,12PD
"1,2-propanediol",M9,12PD1-4,3,0.9751221464302869,0.3109994977373426,1.4682862395212974,12PD
"1,2-propanediol",M9,12PD2-8,1,0.840908255955201,0.17678560726225667,1.2661942151953216,12PD
"1,2-propanediol",M9,12PD3-7,2,0.7131371587364508,0.04901451004350643,1.0738034008326196,12PD
"1,2-propanediol",M9,12PD3-10,3,0.7476787031127193,0.08355605441977498,1.1258141919782756,12PD
"1,2-propanediol",M9,12PD4-9,1,0.847092246589637,0.18296959789669265,1.2755057341543674,12PD
"1,2-propanediol",M9,12PD5-3,2,0.7508016254076805,0.08667897671473612,1.130516519629813,12PD
"1,2-propanediol",M9,12PD6-3,3,0.7222872263144965,0.05816457762155214,1.0875810781879303,12PD
