	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.3419785378926091	0.2797054770713019	0.28358658332750497	0.23777394294465726	0.22119622266122546	0.23735171230272012	0.24328053832689014	0.23990980310583956	0.24070358247806584	0.22517400813248092	0.22000092619846634	0.22418623829351733	0.354722415136787	0.3092669241004521	0.3116035794465377	0.3078437312115987	0.29637792882208747	0.29265508315854327	0.31426715620554946	0.3232936450010326	0.3483075172507256	0.33406055645709065	0.3240663779536488	0.24745551932173024	0.3604139873532187	0.33122644054561867	0.3294860644100337	0.30276088411625596	0.30156826218507005	0.3316674355743372	0.3263008521528905	0.3125515639619309	0.3374099440171574	0.31847677157683196	0.30064435154909175	0.24660494456458182	0.3567882811455868	0.31900491868971304	0.31360571150160615	0.29714787209926546	0.3162395502137706	0.29916587049672216	0.2884577324940462	0.3157478144602729	0.31069077376380716	0.3349700049272464	0.30902747580876033	0.257542575830938	0.3656622359798921	0.32753898792520886	0.3498936705198755	0.3194149848653234	0.3240440897719401	0.3255054524954609	0.3384513479853999	0.31317087790457554	0.3282659511546097	0.32051590358088433	0.3311441267404169	0.26829851469034494	0.3555026682933753	0.3669394808961218	0.3279808467802911	0.3381832190137693	0.3406460779419941	0.33366270070428916	0.32921712320562746	0.3317820297585592	0.31739644651648125	0.33121740766195273	0.3389522746472356	0.26670786360979565	0.3529598998034664	0.34424762775179296	0.3129065947879601	0.36092572783075816	0.3464543652011163	0.3596649798496687	0.36145481022857096	0.36828896746508116	0.3898881839104924	0.3534366749531575	0.27507399161155	0.2895852417585828	0.3309807538905219	0.33317718772961946	0.3243113970528146	0.3063816371093343	0.34123900010218555	0.33544424954989693	0.35965068012611034	0.36971655072082515	0.35008133894520843	0.3635000891906196	0.2691517069478092	0.3260329389464777
14	0.33225378222220925	0.28869971268081707	0.28801044144553184	0.22123194962313505	0.2208079471000174	0.2360829067365712	0.23018753901678735	0.23285195037827244	0.24465137559684347	0.22708632139052903	0.23197469630238804	0.2279393953091525	0.35498984446109383	0.33298244010728706	0.29501592823879086	0.30564717312314604	0.30727280896899756	0.28799725947399707	0.2994685942616331	0.31987670504451715	0.33763685290068396	0.32927144673207365	0.31377139764370193	0.23172575986292188	0.3349531166047953	0.3263452173005824	0.30066206277756974	0.30348927527704117	0.2924248328997078	0.3067889511106267	0.3089672019617433	0.2994705220416018	0.3399593720078269	0.2922203120511615	0.2842659790713397	0.23775300380290365	0.33922449658824044	0.3031903516272827	0.30258162307305414	0.3008670717271691	0.2957270201603574	0.29783607842891296	0.28751621941818795	0.3033118605097516	0.3040391603605336	0.32627804910679814	0.3063263940376058	0.26562895142598536	0.34882113319869323	0.33698951112850567	0.3364319225762442	0.310230795995026	0.31429855913579985	0.30558335460954184	0.3172642700802014	0.3058449875271283	0.30283143959003855	0.3165000312686684	0.32703748022390333	0.24531433501805236	0.36785562949692496	0.35677435132781143	0.33923155838902846	0.3379603975326091	0.31915581227533474	0.3147050714571878	0.32113796711335607	0.3087910893984781	0.3092488476484002	0.3291961264321467	0.32206248548731237	0.25095974639054486	0.3290956850560017	0.32459176702351233	0.30036573456744764	0.33574105270856136	0.3181604666518003	0.3280008853348094	0.34446236265362407	0.32719319977432515	0.345701177623937	0.31501649116453684	0.24919837843781184	0.25840354587970693	0.35617325117411214	0.33766371294632114	0.3456714569694094	0.3395834818339391	0.3316053346734528	0.34168541372363215	0.35549549351528376	0.3726414792991661	0.34455435784666777	0.34018737534033583	0.2555488398397215	0.3282040237655376
29	0.33691359809572263	0.28887512122142883	0.28029023285440346	0.22642498686899856	0.22795047248410175	0.23746496790187402	0.24480715449683071	0.24614065628710396	0.25160134034532633	0.2312821157182524	0.23666221587184838	0.2332602082617044	0.3445576899765136	0.33517365715387826	0.2945557299901047	0.30752816471097255	0.2897905081113603	0.29009364463685694	0.2970848580049843	0.31991471879558886	0.32547958057338267	0.327705961027794	0.31505864240552417	0.2475069472877446	0.3534240375373411	0.3455470987622581	0.3238356121670455	0.2994985009131072	0.29708499912561515	0.32187253361426776	0.3325132930707182	0.3112209974006992	0.35265228736737664	0.31042717778077605	0.30040323729639695	0.25075632615264354	0.3452290265980616	0.32108782773452293	0.31218221567826576	0.2987259911526006	0.30661610346250323	0.29680921466574034	0.2945169349009919	0.30949612974856155	0.3155018020287164	0.33344318636748166	0.3166472641329796	0.28130289208231607	0.3536382941077103	0.33066865138683615	0.34351607942377016	0.32778475528645123	0.33217641736535647	0.29265650352459766	0.33466136504446287	0.30612266326808735	0.32032980046013615	0.30969746486614524	0.3267861806631371	0.25560070306782556	0.365347446543849	0.363156299647033	0.3330380207525505	0.34997623252057	0.31846411023625165	0.32573825487320185	0.3218486644751978	0.3093414665904521	0.3285025011287486	0.33674199022404167	0.3301905350031987	0.26264058183551564	0.3643921012695637	0.3377269701205371	0.32058552162948534	0.35058750426366736	0.33195717127018787	0.336932127163573	0.34721210627607835	0.34296744428776804	0.3736236850686421	0.34520313920193263	0.31277478439991535	0.2881888872688807	0.35185534265415036	0.32041385125210803	0.33016910024222934	0.32574505538019294	0.32187958915590886	0.34254158907250687	0.34019242256339505	0.36800176692024367	0.3564739167264911	0.33056712268360333	0.24882907010017496	0.31763860088394547
44	0.3310137700415897	0.28730266316136466	0.28057691245373606	0.22434926391904614	0.2184854274199473	0.24635961219080177	0.23898218635749002	0.24417834970351365	0.2516361018395912	0.2315010087784116	0.23624800794851253	0.22271845223009207	0.3483547275574732	0.3344328923890819	0.29876569849827017	0.3126169781378485	0.2840663083508951	0.2924670447762776	0.3023141098847435	0.3121640331613734	0.33165352716694724	0.3324451140431751	0.3152653108432014	0.22500011947625204	0.3534200309820533	0.34911322257131683	0.318673953316124	0.30783996558765586	0.303200724260977	0.33221685193001843	0.34094217594235654	0.32204261037632076	0.33998093422080855	0.3123609949894278	0.30917017074126824	0.2533309390904942	0.33372804722957305	0.31106611812700485	0.3089993947446805	0.3094779647783381	0.29690868084170347	0.29332024281888003	0.29823926710318327	0.3220845377031637	0.29900898228106243	0.32930390405572896	0.30631966833373725	0.2542349727450672	0.35495533851178174	0.34707475720499503	0.3473089140510387	0.32649973429638646	0.3371880063966167	0.32204615912639833	0.3284960624446511	0.30461916428424857	0.3316721680456463	0.3206273835239676	0.3371579459062446	0.27581373840665735	0.3510948963798972	0.36817106479427997	0.3424705260273243	0.3474814054042924	0.3109340800091165	0.33389239240344026	0.3208475096597048	0.32182858046907714	0.33423702819837975	0.32575815388302765	0.33488712356418393	0.2669958455574946	0.35135708077270944	0.3382239173843088	0.31917595291854095	0.34275671174006506	0.3377570489801872	0.3392506938453119	0.33716483449293777	0.3393558672779643	0.37921013536438725	0.33530002196070685	0.2671703269394398	0.26378909839952497	0.34088016563481166	0.32547170025528693	0.3273270902427524	0.3104281249579566	0.324007262396614	0.3336230324042876	0.3419725763375653	0.3429520548402733	0.35161127186837937	0.35436537329683737	0.2828259911427604	0.33994051119231194
59	0.3305332495947231	0.31137140216318876	0.2799218029505735	0.23071101795245402	0.22900701558402478	0.22898873979490286	0.23451793159445777	0.2364367157739699	0.24333967286750552	0.23813728305580906	0.22033921261516454	0.23502502012304444	0.345816953661896	0.34450279928722227	0.3030461132995957	0.30947024040951526	0.29380611409275015	0.29172983912959527	0.3106902711902766	0.3132832327422328	0.34572814298186916	0.3304892418380265	0.3205945574204061	0.2325786924789249	0.3596279044804622	0.3585986508169088	0.32239618488885025	0.3220204275090979	0.30774327614819863	0.33169056894527893	0.3311179273915513	0.3240639155411424	0.3439851080227081	0.30515300054326805	0.30988429291757646	0.253837442953737	0.3369747038665624	0.31762215866005106	0.3214003112289929	0.31213420841905637	0.30897576665743054	0.2985575256138473	0.2868237700511523	0.32335237558217894	0.3024554583743052	0.33619454206162724	0.30605876110699004	0.27229523983887227	0.35190103460394007	0.33546419902085534	0.3376831642344439	0.33414980686678225	0.32487164833931115	0.3191070816913415	0.33415486621617435	0.3106278330198443	0.3329426243869219	0.313091666318392	0.326961731657152	0.2556032536302588	0.35727625638509497	0.38594882979094847	0.35315609864237785	0.3621382657388908	0.31696295596839386	0.3411646182687875	0.32621235049828556	0.320504382339031	0.32821539090698726	0.33735704507708025	0.34856525528820836	0.27485530676098446	0.3498454947234521	0.33432868714529185	0.3222963280134187	0.36193080573218184	0.3275669138144052	0.3240066738433056	0.3475330313350672	0.340273555854534	0.3697876074452615	0.3389370753285883	0.2746810888719752	0.26891260051754756	0.35110139462932216	0.33641442927557114	0.3479691490030701	0.33687878449253916	0.3414531275059385	0.35442993718747695	0.3500698926716699	0.3776162129041841	0.3582962031927761	0.34524913272185276	0.28543967659695235	0.34985356519235056
74	0.3334365392709687	0.30540166181291495	0.29522232550892014	0.23305517602827736	0.23048651668085157	0.24570777299041033	0.23549027904651432	0.2526854353393978	0.2531531578818576	0.22540446457559138	0.24267968458944378	0.22997256107333183	0.3404734940868087	0.34823636517464607	0.3047219562318275	0.32180385594137934	0.3020603847995724	0.2935432357382044	0.3087822892232637	0.32504598064274637	0.35802522150106375	0.3452107868362704	0.32350139659621946	0.2370545885599138	0.34403583852740116	0.35754452120233615	0.32070714111611387	0.31915003565647515	0.29566426381559097	0.3289598071560958	0.33665262101624405	0.3191032682355349	0.34503538413134616	0.31786165041442643	0.307782201620178	0.24784635487356926	0.328499733128913	0.3187254532487517	0.31357991748230496	0.3068224486050769	0.302527799796717	0.30063685452860245	0.31311580253396576	0.3262763128488807	0.3131766824388429	0.3462952259878747	0.3087643932737478	0.2591350917488813	0.35236509068842814	0.3419616391951591	0.342995114023382	0.3314479505490503	0.326450057655329	0.3382035158544115	0.33367937994500135	0.33394028591772873	0.33917000390659646	0.32721612591216714	0.3361768575562361	0.25954704081995594	0.3471030392314689	0.3770689776172373	0.32802164602697553	0.3650711966433899	0.31819424213767267	0.33297498491999633	0.33018334993987414	0.329203517419844	0.34062729334936703	0.3358976436939587	0.33422973583994253	0.2621913255254509	0.36431578529785014	0.33568917798257025	0.3488323688084212	0.3527199902520842	0.35276503751381183	0.33834033482794523	0.34395859369521337	0.36013933562097467	0.3913217044557241	0.34451533282083013	0.2707856557421675	0.28335398769139697	0.3557952182618618	0.34361085080619136	0.3457950576823167	0.33611385607856464	0.34356803064797087	0.3414030584763842	0.35059699613180073	0.3741761279298245	0.3596814101887193	0.33672939869488394	0.2667145256125171	0.3295423413459706
89	0.34371095876775626	0.3198666856495028	0.29712787132171703	0.23278824773718643	0.23134103985525437	0.24333017592134104	0.24567798989006767	0.23706599005624385	0.24769184664645327	0.23193518827031806	0.2351336094237808	0.22964728117696742	0.34349513003362964	0.3516213378971188	0.3061236793878577	0.33317906677806414	0.312098372875396	0.29480437056665754	0.32110770690904156	0.33291288127316776	0.35573828225659343	0.3650222404735437	0.3313758631334235	0.2400685102437926	0.3577115221549465	0.37602324411672194	0.3362333974299312	0.33167914938525356	0.31411968565450504	0.3485096606791888	0.34651245921756135	0.322046724337211	0.3663210412273717	0.34069819829082015	0.3206220365392614	0.25466873023676506	0.3296624233502502	0.3384322123921573	0.32062158437670424	0.32162660156712575	0.31154111899417214	0.32084268338853494	0.3257424146623831	0.32255179998727385	0.31769748882744797	0.36142718912142013	0.3230134470525141	0.2803705434959709	0.36264753364130026	0.3595810874438171	0.3593472122183514	0.34732031319967316	0.3429800748928068	0.34243570754447217	0.3580307026401316	0.336207855214132	0.35284136287952533	0.33917750915686606	0.3543600368853977	0.2666776635792785	0.36686758399003927	0.4073023497032443	0.3556573148020088	0.37344853870387773	0.3311513486507225	0.3480581845039128	0.3346544212697258	0.32706373654946297	0.34675956517156886	0.3429936224403545	0.3528602370665467	0.2689467944379262	0.3670690945852668	0.3414765775837354	0.36554200052841124	0.3645379882775356	0.35966560438693784	0.3455994693691028	0.3454872753483237	0.3585414146928362	0.4202846472262849	0.3392487116402647	0.2678261999338933	0.25001056477838485	0.36504994763692	0.33321933437908025	0.380150179385631	0.34043224027033936	0.37177124583348986	0.3608790344878507	0.3580018244551487	0.377694834305589	0.3965655868223846	0.3468101839542864	0.2617484743823082	0.3296454273373104
104	0.3511758755955906	0.3394628441102617	0.30876297844715983	0.238805811982708	0.22392142861359188	0.24436255506513077	0.24006090590932463	0.2374905724228673	0.24119925661445313	0.22283812417086668	0.23300841680167372	0.221354088186743	0.35059664782455924	0.3687937640478883	0.3213345795546496	0.340208170549228	0.3260084184517795	0.3095170889561958	0.3369481383672863	0.3434488617177518	0.3700265208668347	0.3697461363661935	0.34449639630524387	0.2435844152018831	0.3660754333567949	0.3819874305168189	0.33866354369483775	0.346548158994238	0.32114123728676025	0.36340056484507244	0.35568346212534085	0.34444335714894087	0.3787588558594718	0.3541233264685179	0.33149503749842857	0.23293419982733976	0.34350539190869783	0.3485714573071903	0.3284544075229948	0.34570840073875686	0.31999405667878056	0.3357369937706387	0.3181952966627669	0.3296892702745337	0.35964324814700366	0.3700529001997643	0.3249950957799326	0.26828323080391514	0.3665945988161714	0.3694870773986739	0.35857195845887885	0.35981570655757233	0.34390688806700753	0.3452475090310735	0.36476588405258525	0.34678234092037674	0.35984260546931424	0.34951203063150205	0.36168759209524354	0.27621723164218903	0.382307856371589	0.4112026948455885	0.3614603808527675	0.3897762536765328	0.3376438688437563	0.3585250538981015	0.337646087348154	0.32995571832789733	0.36353110771855446	0.344670199411065	0.37236155574750557	0.25747891753355123	0.38164584631930853	0.3531625067595894	0.3644882998986235	0.37689279827783084	0.36421785844243154	0.3544500502556923	0.36477379968722723	0.3668907482038293	0.42294061707696307	0.36376180186281215	0.2687547137355776	0.2606177864816114	0.3862304478018308	0.3580188886982091	0.3937398745731492	0.3583036715781732	0.3779360605032752	0.36716527519801	0.37052130388496707	0.38239169867591005	0.403676318603727	0.36958889227449815	0.273256921423793	0.32302655629366245
119	0.34962804515032464	0.35856414138920534	0.31945466419494567	0.2383896601652426	0.22603459105141388	0.23839502149664427	0.2344821313963481	0.2439571984356484	0.22899503862204212	0.21994194315915616	0.22892040076000458	0.2234155350167562	0.3630011824252976	0.37509968295425805	0.32775927289920315	0.3624001528730858	0.3257485157133724	0.30896823047601374	0.3289429886299091	0.3469817326515138	0.38791154974211656	0.3902579143668164	0.34851608114952254	0.22825021176678278	0.3782351564862012	0.4083529190159191	0.35136615100953444	0.3616472978443451	0.33817021533423736	0.37448519471693187	0.35963523185694657	0.34420009301643073	0.4052448146555766	0.3766082283619476	0.33869728731766646	0.25483109984366975	0.34224019375371495	0.35008866767487473	0.3500786444704841	0.3603943650772218	0.32379508703204607	0.34619567092777176	0.3437163150896391	0.3327159295993334	0.354934325211791	0.38106776291429456	0.34241371889679273	0.2559695587470705	0.3723892640701763	0.38032950691794953	0.36735309731252563	0.38220015270579644	0.34855719357054366	0.3564592762414587	0.3644960182477316	0.3582374405460926	0.38002590203171543	0.36477270126179195	0.367076028103976	0.26311819727610974	0.3808513302021235	0.4130344497477822	0.37684434818846846	0.3926843199280653	0.3386297575820251	0.35933386788637967	0.33116242973170096	0.34494756640735946	0.37606465501015074	0.3461579078263629	0.3813913161617486	0.244529432328348	0.40915634884678	0.349558778070428	0.3692420166509848	0.3968853154312091	0.38007356420175475	0.37719438833791197	0.3718196553101687	0.3697702664268879	0.4516351576145925	0.38145768342303205	0.2680390674977544	0.2716821841928477	0.3989699425271762	0.3674312054326574	0.39626958334710405	0.3658129010192307	0.36287518921397455	0.36508021626275755	0.35852385190496056	0.37735733708012126	0.41877055576063815	0.3634505224328328	0.26640176524630677	0.3112659309827953
134	0.36063441243066385	0.3619570938712685	0.329216738772702	0.21750430789438469	0.22193345412574358	0.2300295962940027	0.2235004746402982	0.23117454833383125	0.23864967345315588	0.20781003957974986	0.21251965983572302	0.2149609132186323	0.35735969170943727	0.38402166414487554	0.3322473341998694	0.3521008334802026	0.3341826380485594	0.3080075553145326	0.33745472788478503	0.35107763781906764	0.381200391306069	0.4041808059542436	0.3552141588168454	0.21871663093657645	0.3734703195405048	0.4156529020516496	0.3596649785492855	0.360581538097814	0.3329468991909179	0.3892013838823669	0.36347862370412143	0.33250756459258474	0.4067185320944723	0.3957062356855431	0.3456465179246281	0.22640432953773731	0.35653590416874426	0.3652853839911439	0.34331013394829646	0.36665128826908117	0.32553338783472385	0.3354670340941576	0.328671229724804	0.3416505806223351	0.37852405773851244	0.4036912960010689	0.33817054535289226	0.25424105950334475	0.36971699329893326	0.38056232776437743	0.3726637338960429	0.3763250502354785	0.3516203988468263	0.3562450014106218	0.3693953683601122	0.35444945930827	0.40502548546515194	0.3589897807099959	0.3661178809042635	0.2515663674491978	0.4015025838678493	0.44074004292151536	0.3838178537218735	0.41176403126702366	0.3500497879307787	0.3758341613392491	0.35027795011174895	0.3702903865960452	0.384273479721726	0.35851792178603004	0.38274036459204386	0.2480322410912813	0.41366507411584796	0.35591074734696826	0.38937861071510804	0.41312507657993724	0.38916455072926603	0.3907963103198966	0.38284337962529347	0.367168746711642	0.45644776427248945	0.3937976591605271	0.2420373606607309	0.25467434263340016	0.4023831556736791	0.3758626017066312	0.4014354107204476	0.3715573369669242	0.3941077383334995	0.3808758605503634	0.37504119803896985	0.3763493752467363	0.4230210229607741	0.3598498713866739	0.2421144968646729	0.309815486746157
