	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0	0.26577050440092553	0.2232969817016136	0.09035570369226413	0.13981654006091487	0.10272795532784029	0.17598135051704214	0.15930590735016195	0.16672082990281067	0.14167159936463936	0.10090327129097201	0.14132426883103147	0.11860824282910142	0.2551076293796475	0.18661311294827873	0.19076598654194127	0.23676647964555053	0.23896565870372316	0.2180797119361365	0.2393329717551907	0.23429547626778702	0.23023435476247167	0.20911278119749094	0.24722313201011442	0.1309733261385692	0.25625701445041155	0.17387649925267468	0.18391301611954886	0.223479805095274	0.2243852072260989	0.23254147516234283	0.24892163342538348	0.25024702157449186	0.2387400989079845	0.2113571173243097	0.2508929647245926	0.11963770328714181	0.2471838204331708	0.22067388542572142	0.18450810282116237	0.23150083316283565	0.22097542599856257	0.21677673499915273	0.2172650839941988	0.24371377187061566	0.22075103499372078	0.18581158849327759	0.2173993926153524	0.09378464083064118	0.24639080979684305	0.19677349885431317	0.17682939668874245	0.19207327532736196	0.17205125286621012	0.19247826137664936	0.19265394648580772	0.22585113926572686	0.199465460071167	0.21485124064024141	0.2085697568625109	0.05950552559143035	0.18696828378487718	0.1904551755806114	0.15742476030691022	0.18485246510047076	0.18542441987635933	0.18150167811271659	0.19347123299706434	0.2062526764752226	0.17767514548595242	0.1888364910598243	0.2024870264942405	0.07711369671869421	0.1948698531406939	0.17192913502438384	0.16257664739240135	0.17076155765574125	0.16551231497901003	0.17843544741588196	0.19804994659122005	0.1806467716675761	0.1444930564462316	0.1986658915346043	0.06758650396876777	0.11191904751018092	0.2065353342265629	0.17418211668439476	0.16123194143994718	0.18516331825234653	0.15576773009018738	0.20451145415600236	0.1893572554021566	0.2089581204374153	0.17881423172229094	0.19562449733173415	0.03433826156058912	0.11010333483700166
15	0.2516034351606636	0.19566099581505936	0.07670969125784641	0.12137426286984405	0.1071952573983104	0.1510472119574358	0.1480912473149382	0.16737097870436246	0.13384596616730438	0.1311594825809906	0.10701856809216087	0.12834347806973667	0.26330323799244315	0.16457604765018097	0.16245591378876004	0.218275314863269	0.22702074996228977	0.20461899644924209	0.22175068368562645	0.21672309244596477	0.21511256858665406	0.18896092520174482	0.21990724267220826	0.08619042215265361	0.25932983741457	0.19276883300886694	0.19144858948897	0.2053265070109862	0.21838757685803772	0.22177679537980688	0.24485536765772592	0.2467014723930831	0.22111028807475397	0.20175344021590735	0.2359166199240043	0.09826258116393105	0.2507228418335182	0.21448244854366116	0.17239277145922696	0.2091514369411713	0.21536518740176336	0.21179521915511712	0.19064393047196435	0.2274648232869843	0.2093766198681865	0.19590617130764326	0.21388639193374653	0.06663077881916979	0.23924956973866549	0.19583176961768706	0.1953798287428025	0.1869253195258505	0.1964333340840688	0.18664596821527568	0.20088816754869276	0.21280006439147486	0.19508192648602263	0.2230057456555724	0.20196615078777952	0.07673376714571328	0.2020300973223536	0.17285471156342963	0.13878800113424725	0.18307262444588723	0.17409832260769464	0.18375197730017506	0.17523326861288496	0.18750369140658846	0.14058696273301535	0.19794206565283723	0.18547174704885344	0.05105194119848354	0.2016785565942645	0.17944980833698232	0.17322339426081693	0.17632473292462011	0.18161620195533673	0.17075445962236535	0.17358643710263366	0.20248764390858812	0.17164841504518952	0.1914204258526982	0.05861738142583453	0.09979542057541455	0.20226807519848178	0.181714661623769	0.1527846846508658	0.17651930939289046	0.17300322348680364	0.2096199847572276	0.1389535511878074	0.21044185582980476	0.16821357051123903	0.1956076305969791	0.02838313054550564	0.11390270267750469
30	0.23550946460054561	0.1651182993678143	0.031485045170187784	0.08198430176853364	0.06233951604532059	0.12335037509663035	0.1326034305404456	0.10936090107475224	0.11888503565123222	0.07776735204310356	0.08001107054708426	0.10612320793888387	0.24047346055465332	0.15370744686209425	0.14005041858476622	0.178584005580825	0.21677319449872529	0.16580755040627565	0.21100441764285685	0.18968473208086217	0.21405112321927303	0.1801700904336494	0.2011365531753675	0.06891796412569956	0.24085496153870906	0.15601168488455183	0.15676021852302338	0.2032597542720168	0.20077592937609784	0.1963310002397068	0.23057138151825401	0.20916197632806963	0.22699909245224348	0.19397286804895847	0.22356986519818156	0.07955225496110405	0.2221992977034054	0.1714228212580362	0.15722279412015389	0.20368866976224448	0.18986840258083626	0.16621183968312164	0.19677063763915503	0.2001499846388779	0.20001819562039508	0.16415210661386642	0.17394673339729688	0.059201606987839286	0.21381264952828688	0.165173146454115	0.15679524131152484	0.16752628654056526	0.13583605947028182	0.16045398993779886	0.1687058044194515	0.1729950339096646	0.17530588192678792	0.17923070827119683	0.18668382262366345	0.03864424971313325	0.14056174974126973	0.138719857389733	0.10718033761484469	0.13384562053845062	0.1409281466650405	0.1515883608096464	0.16273995252504153	0.16385055409382215	0.15009405819110105	0.19185174352482462	0.15422313222516926	0.014203264648159672	0.15337154207149095	0.1285091027547903	0.12184021634602446	0.1537436022798772	0.13990263323180668	0.1525660813602988	0.1612269390550507	0.15018332116462774	0.13980195410242874	0.1578502379168069	0.021870851562250535	0.05860236571138486	0.16206049248116977	0.1482841415638804	0.09807004628349336	0.13065041914006453	0.12354273873709742	0.14536887154272743	0.15894263233814876	0.19074914294827575	0.14644503990324853	0.17824316445605193	0.004205532350373875	0.06445206079101384
45	0.2716549577628182	0.1742067053282292	0.062440670367114426	0.08866922294556959	0.10034759845081088	0.10947526645828934	0.16082454485559095	0.11628827625569116	0.12439791506532392	0.08128976796777442	0.06088478559385453	0.09539489179914315	0.24540284926619663	0.16706229868643185	0.1596093594867791	0.21095559292529498	0.24409583261920562	0.18213015555470288	0.22781241714155243	0.19815487239293816	0.23622087574744224	0.19853534822024743	0.2210607769703674	0.09811295141145138	0.2532437755175582	0.1566856134228235	0.1658859246053041	0.18704095581911934	0.2285221887009951	0.18366142804917274	0.2228676908678769	0.221549865208586	0.21759874293645204	0.17123052438219066	0.23086580010822907	0.0592627161185232	0.23806635714260577	0.1692663100999228	0.1758223485934448	0.2064803612761532	0.2077610631614581	0.18642655010357861	0.19122666075702002	0.21042806481072324	0.1919173265767862	0.14581280434233745	0.17435563435803536	0.04496706185538313	0.22160430065250322	0.1642740741430011	0.1551262263742742	0.16854830484561895	0.17225927271794853	0.14599719175410708	0.18595660142280546	0.18443850420594193	0.19475181730117272	0.18038583419462662	0.1904021652751986	0.050921478652484725	0.15938827318037543	0.15557946896461244	0.1243178878931557	0.15215004639248528	0.1638971621310318	0.15559393647008224	0.16834674288611995	0.17267706582333475	0.1452137046599511	0.17145294769374309	0.16069332874830397	0.014773512982448288	0.1751514256380113	0.14756053391112112	0.134079414194812	0.17227920080163023	0.14793712745201842	0.1501330449944001	0.17058283977622746	0.1715811304893988	0.15036755026246051	0.17453842867715466	0.023398737231260236	0.037077255189757095	0.1703745017277593	0.1484492191586808	0.12052415037982131	0.15653120620449576	0.14403389392188765	0.14530232049163755	0.14642595447687518	0.1745333416669262	0.1459224689946706	0.1515921297388197	0.004747211568882942	0.08308171298586764
60	0.24339273536471137	0.20679856009318154	0.06741787912115393	0.08809387121791548	0.09705436290840455	0.11631372001641148	0.1417328746463145	0.11884650872849856	0.10986424072224185	0.12034098590910405	0.07036923730493971	0.1171597113379299	0.23932336099628593	0.16720899964860225	0.14883354688076042	0.21709020434749593	0.2410036797245334	0.1840035467601539	0.21543453633572954	0.21240447133447327	0.22130483024528902	0.20173275367495191	0.19613297303637867	0.06117485808419966	0.260370892652128	0.19640117629632103	0.18134283946332133	0.24384540416195555	0.25130837915815496	0.20710947320233	0.24102015750945222	0.22287353002637067	0.22283339755540713	0.20351873853879313	0.2374160147258142	0.08160613202264796	0.2266085987777973	0.18774058031413643	0.18710829207244495	0.2074797325158801	0.20931325596790892	0.19421204535266234	0.1868303656971862	0.21846880056484175	0.18469541301469017	0.18111031358101437	0.19577291645572703	0.02984812735537321	0.20000112771206324	0.1745461343671328	0.15871106262120668	0.19033781789864992	0.1579625034344051	0.1710976247679409	0.1702487157732835	0.18519367006625104	0.1708624440812723	0.18791684797035726	0.18935844844891309	0.02910941266493737	0.14257935887903012	0.15951432196055063	0.12074016074552255	0.16508586999917574	0.17196166380203134	0.17048150823770092	0.1502906038604664	0.17903878841730334	0.14444405261312204	0.17469517439681645	0.18648782148321208	0.013205822779004993	0.17013601098915798	0.16435581710503266	0.15638499933148348	0.171866138525828	0.16172179610400944	0.15408355816011943	0.16665084848758438	0.19301825990325472	0.15069476849049077	0.18308634447133293	0.021190663003366226	0.062303853474656765	0.1700546265968372	0.15062086198630698	0.13211194267928522	0.15074322773807794	0.16533320577712057	0.1815960195004621	0.13457732604681266	0.2024116651162352	0.16139667191228407	0.17919404059856547	0.012050956814511207	0.08744264983213576
75	0.2856019789881188	0.23530109856210735	0.09624841644932308	0.130102155115142	0.12488181157061307	0.15306997069792544	0.1645716028341085	0.13963303938690902	0.1398214826423912	0.1138764089003908	0.11834767892099018	0.14934964234470405	0.27587203198460736	0.23153658092823867	0.21557585858686934	0.28074900412371945	0.28099734206889604	0.25079713731833336	0.2556788951539736	0.25654524136077866	0.27901118830309285	0.2539308272747166	0.2593817830440172	0.1146768863749862	0.2751447441252822	0.2136123288761741	0.21745738072672	0.287645034060072	0.2812667314709647	0.22635489867458802	0.25502010250466994	0.2517268917214008	0.27385109482781733	0.236395968114439	0.27680492299822684	0.11019355006048173	0.2747830096033445	0.23790625933520426	0.22639859037047838	0.2612813961141709	0.2530633433772517	0.2304377495307455	0.22827814016685477	0.2543584176140998	0.24262324092145293	0.2238284910123325	0.21860222602490237	0.06071488360053232	0.25280901517759796	0.2306159667950064	0.19496878784574476	0.22702044145183436	0.2293105003761538	0.22300515878527777	0.22569406750622276	0.22526828624413667	0.2259556894572498	0.216349513712905	0.2467764582653953	0.11597112402893889	0.20538322110109813	0.19979309576002213	0.18169559991995268	0.21737702222503702	0.22933333463554767	0.21428641391740294	0.2134539910451354	0.2289339108131494	0.21090325794058346	0.22897815379154834	0.22362830799797503	0.053924410299186806	0.2151034305608824	0.208905631798308	0.175490614260235	0.2240872104960125	0.20182702312765854	0.20894219079477278	0.20039205228468282	0.2149065243129532	0.21822500287261615	0.22329735940830567	0.0536958281345111	0.1173513680138315	0.2046076125572111	0.2145170297581463	0.16937318931635958	0.22452042474984418	0.2038170839007496	0.2188425073141523	0.1825298701192995	0.25116504737840173	0.2124338559533257	0.21394187505219614	0.0394310258853834	0.1488608586464551
90	0.2599461147238473	0.19288000171957884	0.03344115013942833	0.06510087960694035	0.07722074223269529	0.11058081876644439	0.14369541560202992	0.09743861133721292	0.09750165484000267	0.0717694546751644	0.07944966557053736	0.10606797378741337	0.2587967356682921	0.21461211793514418	0.20275427685770134	0.26148323126073575	0.26999191543170264	0.2307572203036472	0.2554427729089733	0.2121177924102535	0.2523357618225436	0.24761122479535658	0.24733732261412888	0.07137933942499916	0.26047090937556927	0.1847466285159386	0.19074194700758756	0.26236651488857277	0.2625606524309516	0.23484048954541484	0.2531066267725988	0.2353788097434656	0.22931038793334269	0.2134575390410528	0.27774715641831194	0.071420572105593	0.2638669390807937	0.21657538618285738	0.21179518867844652	0.27052914025260927	0.2460072798475318	0.2284965758518273	0.23295482398839557	0.23780595906012644	0.22156565987099108	0.22872025512387745	0.21614904639037102	0.03705880682444711	0.23599392346881393	0.2030585524076772	0.17846420796861703	0.23525876916043392	0.19733362484743294	0.20056649351489753	0.2141965103297252	0.23224660722981655	0.21648829201005756	0.23720405231427927	0.23016099940639415	0.05874041734140853	0.17391536678909694	0.1741267489362388	0.1486181296116268	0.21060730637623828	0.194357622466155	0.20891851028089836	0.20892563742175546	0.19154633749525468	0.1964181316740169	0.21177963332932695	0.1985635947010423	0.021044319732236513	0.1978025562198355	0.1924578043880541	0.17383599001061067	0.21449397293080152	0.17622881563912104	0.20324520986633665	0.20426985804330533	0.21572373378234388	0.1752403823514974	0.22658372317447512	0.008765109096318092	0.08412436086857378	0.1771952098435464	0.18818759570050658	0.13663506142713888	0.20268324413887567	0.15796873213130103	0.2015832093261304	0.1647164905257954	0.22349765206591388	0.17340784858561276	0.186067251360652	0.016228167533383096	0.09831319299024212
105	0.26732379806352713	0.21128545008260458	0.02583194167312621	0.0755496447010372	0.06907884408319144	0.1125834808963781	0.10865818902361646	0.09062034324738635	0.08035812431928768	0.06689031964644082	0.09318294668502634	0.09998392450812979	0.26684922450900117	0.23546270491325794	0.21984736805537872	0.3086757332594723	0.31239201768556046	0.2680996358629825	0.2686319192406669	0.23605335919553283	0.2952794748689782	0.26816943198035936	0.29199045666611767	0.09999800733344377	0.27731091524014906	0.1859837462717706	0.21064949517222353	0.3050577936056005	0.29531576991369934	0.2541586502678149	0.2718026899179485	0.2338191829792305	0.26077213804318533	0.24210355885464743	0.2929782659811828	0.07173967557054113	0.27681961023968615	0.2192045319131365	0.22697529588489718	0.27165367601719237	0.28052946757150343	0.23078860748993152	0.26283799380886025	0.23465081656876696	0.24239151149931207	0.25084942018427103	0.2614770799120623	0.021828261026502586	0.26439568756093357	0.22433290241686402	0.2042452177520611	0.24886809901406315	0.24561719278032507	0.23914343654605824	0.24690533088050892	0.23491657923475845	0.23767242538859684	0.271353879387354	0.2668039088079809	0.04595890742756963	0.18855702305407918	0.1812139302566016	0.16206327204164034	0.22913962289686673	0.24047630526253871	0.22957118860436834	0.22109918761385497	0.21130132499887155	0.2186859859880419	0.22804698288911268	0.24001926517296218	0.02675693539255977	0.2026331262596044	0.21355304428603045	0.18214928148418558	0.23831359395824236	0.20241097749175957	0.2287942126927507	0.23929653190406527	0.22828755656600397	0.21158185438303478	0.24956522773735013	0.024679620696354196	0.07429372450704431	0.19484850207057042	0.20278153187917547	0.15630267242714482	0.24007053827170718	0.19013310863684318	0.23062413197141096	0.1772691718959315	0.24501517998299255	0.21155964458436802	0.2297880730409374	0.013554414404168488	0.10397843239617839
120	0.3257113741910668	0.2834955556046569	0.09317541775714955	0.1311540417256709	0.14682192427251456	0.1551249269202615	0.19445502437110568	0.1659279731592373	0.12081270919263785	0.16041659705084116	0.11397938616704886	0.1750967084610863	0.30855282483809165	0.2897091484071812	0.2754525130924712	0.34283645873531965	0.35450337305402135	0.3187161301810697	0.3256066595893986	0.2783731619684173	0.3558298290389449	0.3195322613545136	0.34769908401394617	0.138745541457369	0.32095880064560706	0.2609571221216288	0.26865642194370687	0.3542924703668108	0.35810339240996825	0.3219918794790878	0.3290378539266764	0.2809074383515412	0.30117320164589295	0.3109624340465562	0.3355178570588957	0.12305411130741163	0.32172646433315	0.29867701553077197	0.2765446411689625	0.34330839251326606	0.34078675082291626	0.2972281006546622	0.31410655488658334	0.30245909433666673	0.2859482790838174	0.30677919733257836	0.30933037109089384	0.10391255213337393	0.29938128342726567	0.2890606252156195	0.2731164484963099	0.3070072876026727	0.30454542787822525	0.30434265680195605	0.29959104290236716	0.2899454481134198	0.2795584676657133	0.31540707517237837	0.31536738611847487	0.12390330796477353	0.24056505973084558	0.23890276501305457	0.23956577291312	0.27633383225257613	0.29153552941581784	0.2703893184655996	0.27937273502308313	0.26548750009977395	0.2686928687380854	0.29478384413787484	0.2955401368424607	0.07315623096441234	0.2621635309534367	0.2844465276345477	0.2506880210017677	0.29088051735419296	0.26486028544479395	0.2740762970387073	0.29038368092567907	0.2911595791000533	0.27623163831851466	0.3126750870806725	0.06356944521751248	0.12054271197443012	0.25272002294964	0.26573549649258643	0.2384569717827277	0.3013245168376927	0.2691388248828337	0.2888375832551831	0.22557491938772395	0.31888525040800464	0.25970463533739085	0.30747052505077055	0.04529656720720174	0.1574668622609668
135	0.3163806434455747	0.26333994707500497	0.040211090337702704	0.06598176105155595	0.0704611504613053	0.12793204819347398	0.13488612157710667	0.13743525354059286	0.124957150394735	0.07425973885730575	0.09551059336110851	0.11285924354956481	0.31468695451476114	0.28504910345810974	0.29483761405506614	0.37574825821396923	0.378108039207384	0.2995856864615243	0.3243826589708648	0.2731775547367037	0.3651771208214245	0.33604563665902065	0.34673468102104865	0.09606009475681924	0.3209466079947428	0.262282057584162	0.2810954647987596	0.37802429130057225	0.3641223387504465	0.3148579762658506	0.329019564085603	0.27819036899934974	0.29670308510082544	0.30958566361433104	0.36979403757296825	0.0819311926599121	0.3050775061286517	0.2930289162058468	0.28208676516504855	0.3612756050248832	0.35741205759048267	0.2988905919693004	0.3043418225923214	0.2862387193261027	0.2841760061098807	0.31010914882762364	0.31131122420792046	0.03925643091085754	0.3085073677292782	0.2816000478141767	0.2729232797356589	0.3170621300060039	0.3120086318474101	0.29432310742521184	0.2953027956103736	0.2788471704154992	0.2756125951706373	0.32709597283687386	0.3216598805464571	0.09110750897535347	0.22702952013916256	0.23984185395883761	0.23355387685639506	0.29863846699305197	0.30267972016118105	0.2596772939460802	0.2815492126643704	0.24929236190373194	0.282091598844407	0.30766765548842256	0.30956688689976336	0.021573639910304122	0.2487060176234237	0.2801035213991353	0.2412889777211238	0.29623436233505873	0.270444061190242	0.25987964219729587	0.291346857072433	0.3143504844779178	0.2750354063869116	0.3234766767790408	0.013885574558600886	0.0764242708254362	0.2283500751514288	0.2691266992925063	0.23962185353462223	0.31968725013144417	0.2704867921978422	0.2725659380723573	0.21013798495165897	0.3268673475363656	0.28185017742153073	0.3052584902826121	0.016232187941880326	0.10067807548534213
