,,,,TIME [h] ->,0.00502,0.17159,0.33843,0.50504,0.67172,0.83839,1.00519,1.17174,1.33833,1.5052,1.67171,1.83849,2.00519,2.17194,2.33854,2.5053,2.67192,2.83861,3.00532,3.17201,3.33868,3.50523,3.67203,3.83872,4.00551,4.17205,4.33884,4.50534,4.67212,4.83876,5.00553,5.17214,5.33893,5.50555,5.67228,5.83886,6.0056,6.17229,6.33902,6.50566,6.67241,6.83902,7.00563,7.1724,7.33909,7.50578,7.67247,7.83908,8.00582,8.17254,8.33919,8.50591,8.67264,8.83922,9.00592,9.17268,9.33941,9.50601,9.6727,9.8394,10.00612,10.17277,10.33942,10.50611,10.67276,10.83954,11.00613,11.17279,11.33951,11.50628,11.67285,11.83956,12.00626,12.17302,12.33954,12.50636,12.67311,12.83969,13.00637,13.17306,13.33979,13.50647,13.67313,13.83986,14.00656,14.17311,14.33991,14.50654,14.67326,14.84006,15.00661,15.17327,15.33992,15.50669,15.67339,15.84005,16.00673,16.1734,16.34011,16.50684,16.67355,16.84024,17.00684,17.17363,17.34018,17.50699,17.67361,17.84032,18.00696,18.17371,18.34037,18.50708,18.67369,18.8405,19.00721,19.17372,19.34048,19.50723,19.67388,19.84061,20.00725,20.17385,20.34064,20.50733,20.6739,20.84067,21.00739,21.174,21.34074,21.50745,21.67414,21.84076,22.00745,22.17421,22.34085,22.50756,22.67431,22.84091,23.00759,23.17435,23.3409,23.50762,23.67431,23.84094,24.0077,24.17443,24.34099,24.50778,24.67449,24.84114,25.0078,25.17453,25.34114,25.50777,25.67451,25.8413,26.00781,26.17456,26.34138,26.50786,26.67472,26.84129,27.00809,27.17474,27.35206,27.5081,27.67485,27.84144,28.00811,28.1748,28.34147,28.50826,28.67488,28.84154,29.00821,29.17492,29.34161,29.50828,29.67513,29.84173,30.00838,30.1751,30.34176,30.50845,30.67507,30.84185,31.00863,31.17519,31.34193,31.50855,31.67523,31.84188,32.00863,32.17521,32.34196,32.5087,32.67533,32.842,33.00876,33.17547,33.34219,33.50881,33.67553,33.84209,34.00881,34.17562,34.34223,34.50891,34.67567,34.84223,35.00888,35.1756,35.34241,35.509,35.67584,35.84245,36.00909,36.17586,36.34251,36.50919,36.67588,36.84249,37.0091,37.1759,37.34262,37.50923,37.6759,37.84253,38.00935,38.17598,38.34269,38.5094,38.676,38.84278,39.00943,39.17618,39.34274,39.50957,39.67609,39.84288,40.00954,40.1763,40.34288,40.50963,40.67633,40.84297,41.00962,41.17643,41.34299,41.50969,41.67651,41.84309,42.00982,42.17648,42.34319,42.50973,42.67649,42.84333,43.00985,43.17657,43.3432,43.50997,43.67664,43.84338,44.00999,44.1767,44.3434,44.51016,44.67675,44.84352,45.01011,45.17689,45.34354,45.51028,45.67691,45.84355,46.01024,46.17704,46.34356,46.51023,46.67692,46.8438,47.01041,47.17714,47.34376,47.51043,47.67703,47.84379,48.01046,48.17728,48.34391,48.51048,48.67718,48.84395,49.01059,49.17717,49.34393,49.51058,49.67736,49.84398,50.01072,50.17746,50.34413
A01,X1,MG1655-1,M9 + 38 g/L putrescine,,0.387,0,0.234,0.354,0.319,0.292,0.215,0.264,0.569,0.314,0.366,0.201,0.405,0.23,0.356,0.242,0.445,0.373,0.346,0.417,0.37,0.325,0.308,0.462,0.351,0.314,0.3,0.364,0.351,0.419,0.355,0.405,0.427,0.487,0.319,0.248,0.221,0.274,0.264,0.309,0.336,0.42,0.344,0.346,0.335,0.415,0.398,0.343,0.474,0.365,0.415,0.477,0.382,0.375,0.385,0.509,0.447,0.522,0.515,0.6,0.522,0.56,0.589,0.651,0.777,0.559,0.794,0.637,0.716,0.794,0.671,0.695,0.924,0.77,0.624,0.705,0.797,0.815,0.716,0.739,0.774,0.883,0.743,0.692,0.665,0.798,0.709,0.859,0.753,0.801,0.719,0.631,0.682,0.689,0.781,0.757,0.923,0.72,0.869,0.736,0.764,0.818,0.9,0.828,1.046,0.876,0.893,0.954,1.05,0.924,1.07,1.129,1.293,1.026,1.091,1.057,1.323,1.258,1.269,1.18,1.297,1.548,1.55,1.433,1.528,1.539,1.432,1.687,1.672,1.785,1.76,1.771,1.88,2.044,1.946,2.011,2.095,2.082,2.044,2.274,2.144,2.382,2.391,2.404,2.682,2.387,2.495,2.574,2.706,2.607,2.792,2.784,2.906,2.868,2.982,3.032,3.168,3.157,3.129,3.289,3.192,3.481,3.422,3.395,3.649,3.745,3.597,3.643,3.728,3.876,3.806,3.806,4.027,4.109,3.987,4.009,4.055,4.129,4.158,4.214,4.257,4.357,4.402,4.473,4.404,4.559,4.641,4.71,4.703,4.693,4.837,4.923,4.881,4.952,4.858,5.088,5.086,5.114,5.233,5.251,5.327,5.396,5.41,5.572,5.538,5.741,5.701,5.803,5.809,5.823,6.231,6.257,6.13,6.266,6.176,6.38,6.362,6.403,6.444,6.525,6.498,6.675,6.625,6.762,6.966,6.921,6.898,6.966,6.979,7.225,7.21,7.335,7.633,7.66,7.632,7.56,7.805,7.878,7.931,8.012,8.268,8.08,8.351,8.45,8.634,8.649,8.587,8.886,8.942,9.081,9.22,9.256,9.205,9.257,9.45,9.672,9.774,9.82,10,10.186,10.902,10.787,10.973,10.815,11.126,11.417,11.728,11.975,12.105,12.646,12.932,13.198,13.174,13.51,13.775,14.3,14.527,14.895,15.086,15.494,15.952,16.095,16.541,16.699,17.461,17.762,18.315,18.43,18.992,19.525,19.98,20.619,20.977,21.469,22.235,22.81,23.248,23.717,24.545,24.676,25.393,26.182,26.95
A02,X2,PUTR3-1_1,M9 + 38 g/L putrescine,,0,0.069,0.241,0.323,0.429,0.652,0.648,0.59,0.682,0.819,0.79,0.783,0.932,0.917,0.774,0.661,0.863,0.762,0.762,0.779,0.84,0.821,0.803,0.794,0.982,0.81,0.767,0.832,0.765,0.697,0.687,0.684,0.676,0.543,0.649,0.576,0.495,0.359,0.595,0.451,0.585,0.586,0.459,0.35,0.42,0.498,0.398,0.398,0.257,0.394,0.389,0.477,0.384,0.514,0.469,0.431,0.476,0.442,0.519,0.441,0.442,0.591,0.589,0.57,0.561,0.533,0.605,0.612,0.58,0.631,0.726,0.697,0.814,0.824,0.897,0.952,0.989,1.143,1.153,1.231,1.321,1.321,1.399,1.648,1.621,1.753,1.964,2.033,2.09,2.274,2.493,2.649,2.754,2.814,3.288,3.26,3.619,3.818,4.109,4.221,4.543,4.978,5.261,5.627,5.9,6.382,6.777,7.059,7.513,8.072,8.932,9.167,9.96,10.913,11.804,11.804,12.519,13.867,14.807,15.811,16.639,16.741,18.978,19.566,21.068,22.594,23.742,24.423,27.426,29.485,30.597,32.154,31.908,33.52,32.21,32.26,31.685,31.741,31.225,31.663,31.299,31.401,30.67,30.388,30.89,30.989,30.807,30.826,29.867,30.58,30.287,30.909,30.141,30.132,30.133,30.842,29.996,29.723,31.534,30.378,30.214,30.415,30.223,29.867,30.424,30.296,30.242,30.414,30.523,30.686,30.677,30.949,30.523,31.121,31.409,31.422,31.094,30.895,30.878,31.71,31.203,31.251,31.086,31.22,32.39,31.827,31.746,31.745,31.411,32.169,31.699,32.021,31.573,33.025,32.833,31.801,32.075,32.266,32.5,32.862,32.91,32.745,32.281,32.665,33.676,33.243,32.86,33.565,33.703,33.215,33.623,33.927,33.729,33.565,34.553,34.953,35.387,35.003,35.142,35.502,35.197,35.206,35.488,35.898,36.194,35.478,36.163,36.549,36.354,37.607,37.004,36.915,37.117,37.771,37.789,37.565,38.682,38.452,39.585,39.515,39.88,39.716,40.164,40.045,40.69,40.888,42,41.482,42.421,42.052,43.006,42.951,43.68,43.63,43.981,44.38,44.953,44.868,44.817,46.014,45.293,45.658,46.084,45.891,46.668,47.061,47.023,47.735,47.55,48.111,48.474,48.725,47.937,49.133,49.821,49.042,49.576,49.138,49.22,49.408,50.27,50.173,50.109,50.426,50.365,50.613,51.01,50.834,50.611,51.321,49.838,50.2,51.538,50.772,51.538,51.878,51.648,51.4,51.019,51.868,51.265,51.071,52.892
A03,X3,PUTR4-3_1,M9 + 38 g/L putrescine,,0.056,0,0.21,0.232,0.277,0.236,0.274,0.209,0.243,0.43,0.239,0.252,0.317,0.192,0.286,0.307,0.48,0.294,0.402,0.366,0.48,0.432,0.441,0.538,0.456,0.42,0.456,0.522,0.429,0.468,0.432,0.456,0.58,0.444,0.499,0.478,0.478,0.508,0.607,0.574,0.571,0.707,0.854,1.151,1.112,1.054,1.063,1.173,1.631,1.55,1.6,1.77,1.894,1.915,1.979,2.184,2.177,2.252,2.381,2.303,2.415,2.615,2.593,2.654,2.235,2.425,2.497,2.667,2.855,2.961,3.057,3.243,3.966,4.223,3.963,4.1,4.111,4.127,4.63,4.871,5.366,5.393,5.749,5.966,6.014,6.69,7.07,7.013,7.457,7.919,8.01,8.682,9.277,9.248,9.834,10.141,10.784,11.184,11.545,11.877,12.595,13.247,13.336,14.634,15.261,15.875,16.647,17.477,18.293,18.831,19.615,20.607,22.056,22.777,23.073,23.679,24.626,24.302,25.564,25.812,25.893,25.588,25.389,26.385,26.133,26.131,26.319,26.319,26.368,26.295,25.746,26.098,25.934,25.879,25.958,26.543,27.007,26.191,26.289,25.876,25.975,26.809,26.057,26.256,26.264,26.568,26.872,27.549,26.503,27.104,26.703,26.525,27.088,27.141,27.445,26.649,26.404,26.652,27.393,27.302,27.218,27.361,26.207,27.275,27.287,27.854,27.12,26.423,26.836,27.65,27.752,26.828,27.462,27.298,26.971,27.292,27.026,27.313,27.317,28.133,27.786,27.825,27.939,28.352,28.215,27.491,28.442,28.091,28.541,29.034,28.399,27.92,28.787,28.903,29.475,28.386,28.846,29.255,28.975,29.556,30.199,30.036,30.417,30.825,31.296,30.861,31.759,31.588,31.731,31.596,32.194,31.896,33.277,32.705,32.74,33.335,34.092,33.9,34.092,34.587,34.718,35.134,35.39,35.663,36.287,35.707,35.902,36.696,36.175,36.692,36.907,37.007,38.055,37.374,37.747,37.986,37.986,38.136,39.434,38.68,38.857,38.967,39.575,39.099,39.579,39.284,39.327,40.477,39.946,40.449,40.53,40.033,40.006,40.907,40.552,40.782,40.936,40.722,40.864,41.154,41.468,41.729,41.143,41.643,41.532,41.374,41.697,41.614,41.602,42.028,41.861,42.285,41.721,41.651,42.731,42.114,42.217,42.567,42.267,42.23,42.601,42.367,42.396,42.149,42.722,42.267,42.287,42.58,43.46,42.226,43.271,42.827,42.627,42.764,42.353,43.146,42.873,42.645,42.577,43.323,43.342,42.426,42.611
A04,X4,PUTR5-6_1,M9 + 38 g/L putrescine,,0.086,0,0.137,0.381,0.47,0.485,0.66,0.669,0.723,0.686,0.823,0.774,0.827,0.737,0.762,0.755,0.722,0.711,0.764,0.942,0.761,0.909,0.894,0.946,0.966,0.955,0.892,0.954,1.02,1.117,1.105,1.183,1.189,1.121,1.27,1.374,1.292,1.282,1.297,1.337,1.34,1.456,1.558,1.46,1.452,1.596,1.444,1.69,1.732,1.596,1.815,1.768,1.857,1.985,1.943,2.058,2.005,2.242,2.229,2.397,2.351,2.571,2.673,2.621,3.1,2.963,3.114,3.204,3.261,3.503,3.684,3.781,3.774,3.924,3.985,4.231,4.599,4.312,4.79,4.758,5.058,5.14,5.281,5.44,5.538,5.697,5.834,6.164,6.136,6.382,6.503,6.656,6.788,7.139,7.372,7.46,7.668,7.77,7.723,8.163,8.637,8.909,8.885,9.474,9.501,10.008,10.509,10.765,11.033,11.678,12.16,12.487,13.198,13.625,14.245,14.809,15.749,16.275,16.952,17.701,19.577,20.073,21.234,22.039,22.69,24.847,25.17,25.584,25.878,26.68,27.355,27.71,27.546,27.928,28.202,28.391,28.796,29.754,29.841,30.088,30.6,31.059,31.037,31.145,31.813,32.012,32.082,32.592,32.351,32.683,32.772,33.948,33.516,33.877,34.006,33.959,34.314,33.683,34.82,34.864,35.06,35.293,35.932,35.85,36.48,36.023,36.754,37.032,37.048,37.57,37.363,37.526,37.537,37.701,38.188,37.8,38.136,38.273,38.788,38.451,38.85,38.456,38.845,38.499,38.995,38.945,38.755,39.101,39.076,39.029,39.16,39.237,39.26,39.523,39.543,39.768,39.646,40,39.845,39.822,39.825,40.172,40.273,40.07,40.712,40.284,40.712,40.976,40.902,41.019,40.692,41.089,40.976,41.303,40.844,40.902,41.649,41.668,41.84,41.993,42.003,41.947,41.768,42.15,41.405,41.374,42.514,42.468,42.569,42.323,42.451,42.386,42.895,42.596,42.986,43.01,43.283,43.168,43.258,43.911,43.8,43.82,43.901,44.148,43.952,44.016,44.148,44.512,44.64,44.852,45.253,44.685,45.297,45.224,45.843,45.81,45.514,45.945,45.92,46.299,45.719,46.162,46.231,46.417,46.927,46.637,47.364,46.817,47.778,47.601,47.611,47.805,47.644,47.668,47.917,47.985,48.464,48.572,48.681,48.625,48.311,48.926,48.724,49.066,48.981,49.118,49.133,49.202,49.609,49.718,49.47,49.855,49.991,49.936,50.155,50.086,50.265,50.319,50.593,50.347,50.32,50.511,50.634
A05,X5,PUTR7-7_1,M9 + 38 g/L putrescine,,0.498,0.367,0.227,0.19,0.125,0,0.16,0.143,0.173,0.068,0.085,0.149,0.157,0.191,0.203,0.117,0.073,0.153,0.207,0.118,0.124,0.236,0.19,0.203,0.204,0.196,0.366,0.378,0.367,0.514,0.451,0.421,0.678,0.622,0.569,0.71,0.71,0.877,0.732,0.727,0.832,1.049,0.953,0.95,0.829,0.986,1.022,1.022,1.046,0.992,1.068,1.101,1.146,1.14,1.286,1.276,1.482,1.476,1.5,1.53,1.558,1.68,1.76,1.904,2.004,2.14,2.157,2.273,2.46,2.347,2.634,2.822,2.859,3.006,3.432,3.459,3.47,3.65,3.961,4.121,4.372,4.454,4.807,4.917,5.295,5.563,5.559,6.016,6.223,6.737,6.961,7.28,7.848,8.175,8.597,8.828,9.331,9.981,10.691,11.131,11.688,12.747,13.569,14.158,15.439,16.49,17.724,18.499,19.916,21.382,22.659,23.628,23.6,23.801,22.73,22.793,22.838,22.952,23.033,23.287,23.526,23.53,23.869,24.1,24.152,24.01,24.394,24.581,24.878,24.995,25.022,25.128,25.128,25.619,25.671,25.821,26.498,26.478,26.466,26.518,26.589,26.958,26.863,27.446,27.756,27.784,27.843,28.108,28.598,28.623,29.291,28.868,29.644,29.311,29.613,29.775,30.02,29.912,30.137,30.183,30.592,30.546,30.682,30.901,31.539,31.058,31.031,31.639,31.068,31.394,31.494,31.82,31.965,31.992,31.874,32.266,31.965,32.365,32.43,32.636,32.428,32.885,32.61,32.961,32.772,32.753,33.134,33.106,33.071,33.34,33.63,33.218,33.885,33.924,33.895,34.114,34.253,33.736,33.861,34.196,34.57,34.705,34.621,34.679,34.71,34.712,35.091,35.308,34.928,35.311,35.392,35.288,35.716,35.716,35.288,35.689,35.469,35.602,35.714,36.019,36.313,36.24,36.386,36.386,36.438,36.812,36.598,36.547,37.007,37.552,37.657,37.648,37.416,37.879,37.898,38.11,38.491,38.778,38.497,39.131,39.035,39.282,39.344,39.113,39.456,39.761,39.832,40.05,40.123,40.352,40.653,40.893,40.893,40.92,40.866,41.177,41.551,41.446,41.587,42.097,41.754,41.905,42.441,42.394,42.366,42.564,42.256,42.721,42.79,42.997,42.776,42.899,43.345,43.113,43.345,43.302,43.623,43.591,43.864,44.238,43.762,44.074,43.911,44.371,44.348,44.246,44.293,44.804,44.758,44.562,44.515,44.644,45.02,44.828,44.91,45.185,45.02,45.177,45.516,45.55,45.68,45.56,45.798
A06,X6,PUTR8-10_1,M9 + 38 g/L putrescine,,0.064,0,0.143,0.196,0.2,0.404,0.277,0.388,0.311,0.335,0.379,0.441,0.341,0.374,0.412,0.326,0.227,0.36,0.279,0.433,0.357,0.387,0.369,0.435,0.491,0.401,0.597,0.556,0.545,0.556,0.548,0.653,0.691,0.688,0.718,0.693,0.83,0.645,0.854,0.768,0.954,0.953,0.805,1.126,0.95,1.133,1.087,1.196,1.167,1.249,1.269,1.357,1.431,1.479,1.597,1.479,1.685,1.706,1.893,1.978,2.006,2.156,2.234,2.406,2.451,2.533,2.714,2.775,3.098,3.095,3.327,3.542,3.716,3.863,3.989,4.507,4.463,4.889,5.036,5.36,5.637,5.937,6.319,6.482,7.049,7.045,7.587,8.211,8.465,9.172,9.453,10.153,10.884,11.616,12.176,13.104,14.239,15.312,15.816,16.856,17.975,18.898,19.928,21.692,22.646,23.695,24.489,25.839,27.398,28.377,29.194,29.735,29.681,30.339,30.857,31.205,31.668,32.078,32.452,32.933,33.464,33.987,34.604,35.159,35.64,36.271,36.911,37.45,37.956,38.513,38.877,39.401,39.865,40.357,40.799,41.269,41.604,41.918,42.324,42.713,43.036,43.476,43.748,44.066,44.406,44.611,44.939,45.283,45.601,45.828,46.051,46.276,46.58,46.678,46.906,47.142,47.306,47.433,47.846,48.134,48.472,48.877,49.308,49.472,50.449,50.286,50.766,51.013,51.425,51.818,52.201,52.609,53.084,53.519,53.957,54.457,54.879,55.274,55.697,56.035,56.335,56.652,56.799,57.434,57.911,58.318,58.59,58.846,58.945,59.711,60.283,60.462,60.831,61.489,61.607,61.951,62.177,62.531,62.661,63.229,63.524,63.75,64.112,64.422,64.461,64.807,65.032,65.395,65.385,65.704,66.031,66.126,66.593,66.566,66.861,66.826,68.152,67.26,67.58,67.813,68.152,68.108,68.233,68.424,68.838,68.817,69.47,68.947,69.334,69.47,69.857,69.942,69.906,69.852,70.406,70.384,71.147,70.669,70.596,70.753,70.629,70.627,71.384,70.881,71.441,71.41,71.423,71.864,72.219,71.912,71.909,72.192,72.049,72.052,72.649,72.507,72.36,72.787,72.425,72.958,72.898,73.423,73.406,73.441,73.458,73.674,73.896,73.595,74.228,74.156,74.498,74.092,74.322,74.591,74.486,74.558,74.888,74.54,74.704,74.884,74.948,75.048,75.006,75.109,75.403,75.305,75.197,75.39,75.485,75.603,76.192,76.04,75.838,75.866,76.085,76.21,75.948,76.266,76.432,76.497,76.404,76.622,76.705
A07,X7,proV-1,M9 + 38 g/L putrescine,,0.233,0,0.292,0.274,0.306,0.332,0.413,0.473,0.423,0.369,0.413,0.476,0.403,0.302,0.368,0.389,0.371,0.532,0.37,0.415,0.529,0.398,0.379,0.445,0.312,0.493,0.445,0.35,0.474,0.512,0.423,0.474,0.484,0.453,0.457,0.377,0.459,0.411,0.457,0.345,0.53,0.556,0.409,0.376,0.498,0.38,0.443,0.552,0.606,0.442,0.462,0.467,0.488,0.673,0.518,0.647,0.606,0.682,0.571,0.547,0.791,0.672,0.716,0.808,0.69,0.636,0.627,0.633,0.653,0.595,0.661,0.608,0.558,0.758,0.59,0.617,0.653,0.535,0.735,0.595,0.633,0.606,0.653,0.578,0.664,0.689,0.706,0.659,0.539,0.61,0.633,0.627,0.679,0.607,0.561,0.736,0.653,0.619,0.599,0.602,0.715,0.66,0.706,0.687,0.687,0.682,0.619,0.624,0.581,0.726,0.735,0.761,0.651,0.716,0.807,0.641,0.659,0.868,0.654,0.789,0.818,0.696,0.934,0.764,0.807,0.815,0.959,0.824,0.894,0.897,0.795,0.995,0.886,0.968,1.059,0.969,1.036,0.96,1.05,1.086,1.174,1.189,1.146,1.207,1.319,1.253,1.301,1.38,1.316,1.38,1.374,1.417,1.526,1.578,1.723,1.742,1.496,1.651,1.727,1.833,1.924,1.882,1.983,2.12,2.186,2.078,2.15,2.28,2.288,2.406,2.366,2.366,2.56,2.56,2.582,2.643,2.777,2.658,2.926,2.965,3.005,2.932,3.093,3.145,3.155,3.203,3.366,3.464,3.454,3.451,3.512,3.75,3.797,3.92,4.072,3.974,4.213,4.458,4.281,4.409,4.591,4.607,4.759,4.945,4.833,5.117,5.105,5.146,5.404,5.525,5.47,5.629,5.8,6.045,5.793,6.03,6.088,6.294,6.551,6.602,6.769,6.969,7.055,7.055,7.097,7.405,7.466,7.915,8.12,8.202,8.298,8.555,8.91,8.365,8.72,8.783,9.056,9.346,9.618,9.451,9.682,10.23,10.446,10.817,11.274,11.316,11.418,11.69,12.128,12.569,12.46,12.962,13.209,12.853,13.045,12.722,13.427,13.854,14.526,14.849,15.486,15.889,16.648,16.73,17.487,18.464,19.293,18.39,18.407,19.274,19.074,19.336,19.61,20.853,20.811,21.419,22.244,22.614,23.105,23.544,24.302,24.965,25.375,26.373,27.097,27.884,28.65,28.98,29.721,30.121,30.784,31.324,32.181,33.22,34.014,34.519,35.19,36.571,37.113,37.482,38.289,39.227,40.208
A08,X8,cspC-1,M9 + 38 g/L putrescine,,0.212,0,0.284,0.535,0.41,0.535,0.509,0.566,0.645,0.643,0.606,0.667,0.46,0.572,0.583,0.417,0.317,0.502,0.502,0.36,0.446,0.556,0.456,0.44,0.416,0.408,0.494,0.426,0.389,0.481,0.554,0.389,0.559,0.499,0.478,0.614,0.832,0.649,0.369,0.448,0.524,0.467,0.513,0.559,0.464,0.453,0.516,0.598,0.679,0.597,0.507,0.595,0.48,0.72,0.592,0.641,0.652,0.592,0.565,0.703,0.674,0.91,0.761,0.69,0.682,0.6,0.646,0.679,0.617,0.696,0.679,0.682,0.712,0.693,0.663,0.745,0.617,0.854,0.699,0.668,0.597,0.679,0.753,0.679,0.712,0.818,0.753,0.704,0.831,0.793,0.761,0.755,0.753,0.736,0.826,0.757,0.701,0.695,0.891,0.894,0.899,0.79,0.862,0.815,0.925,0.864,0.911,0.943,0.873,0.936,0.944,0.997,1.079,1.062,1.207,1.042,1.059,1.132,1.136,1.19,1.164,1.042,1.142,1.219,1.125,1.298,1.387,1.334,1.404,1.407,1.469,1.477,1.641,1.723,1.596,1.86,1.71,1.933,2.106,2.006,2.039,2.136,2.094,2.155,2.322,2.337,2.386,2.711,2.538,2.575,2.843,2.777,2.856,2.852,2.996,3.152,3.343,3.36,3.602,3.462,3.527,3.704,3.834,3.752,4.172,4.196,4.24,4.505,4.511,4.658,4.644,4.671,4.919,5.001,5.073,5.387,5.436,5.645,5.971,5.84,6.155,6.361,6.244,6.617,6.656,6.811,7.029,7.315,7.39,7.598,7.47,7.8,8.003,8.265,8.578,8.673,8.916,9.053,9.361,9.298,9.593,9.824,10.164,10.41,10.59,10.821,10.97,11.132,11.514,11.583,12.1,12.375,12.685,12.93,12.838,13.145,13.54,13.688,14.003,14.499,14.466,15.279,15.721,16.403,16.059,16.289,16.641,16.986,17.485,17.485,17.522,18.078,18.739,19.365,19.925,21.082,21.218,22.09,20.361,21.007,21.055,21.946,22.131,23.069,24.109,25.416,25.255,24.993,25.526,26.256,25.971,26.217,26.794,26.916,27.667,28.509,29.432,28.717,29.301,28.788,29.277,30.183,31.131,30.615,31.733,32.362,31.65,33.265,32.034,32.899,33.703,35.805,33.363,33.446,34.483,35.011,35.774,36.476,36.695,36.434,37.544,35.751,36.256,37.951,39.85,39.535,38.685,39.035,40.26,42.523,39.703,40.418,40.926,42.048,44.839,41.906,41.802,42.722,45.499,43.704,43.585,44.721,44.084
B01,X9,MG1655-2,M9 + 38 g/L putrescine,,0.097,0,0.63,0.93,0.952,0.955,1.04,0.988,0.982,0.94,0.913,0.91,0.903,0.863,0.91,0.849,0.893,0.93,0.93,0.839,0.845,0.828,0.811,0.858,0.774,0.899,0.858,0.842,0.774,0.923,0.75,0.855,0.77,0.913,0.824,0.919,0.81,0.78,0.77,0.733,0.76,0.872,0.848,0.851,0.705,0.923,0.824,0.824,0.953,0.817,0.841,0.848,0.861,0.882,0.947,0.851,0.953,0.947,0.994,1.079,0.974,1.093,1.07,1.049,1.066,1.066,0.974,1.144,1.087,1.056,1.07,1.12,0.94,1.087,1.131,1.213,1.141,1.158,1.168,1.165,1.117,1.062,1.168,1.199,1.089,1.168,1.134,1.175,1.232,1.171,1.281,1.219,1.188,1.277,1.205,1.316,1.239,1.279,1.239,1.27,1.296,1.486,1.27,1.39,1.444,1.464,1.508,1.379,1.475,1.54,1.632,1.528,1.664,1.67,1.681,1.7,1.749,1.738,1.777,1.769,2.024,1.973,1.976,2.051,2.036,2.184,2.186,2.277,2.29,2.293,2.322,2.443,2.525,2.579,2.7,2.709,2.741,2.807,2.852,2.864,2.926,3.027,3.008,3.188,3.164,3.196,3.141,3.301,3.325,3.501,3.52,3.595,3.551,3.648,3.707,3.73,3.839,3.828,3.937,4.015,4.082,4.044,4.15,4.15,4.212,4.415,4.212,4.395,4.37,4.546,4.421,4.584,4.506,4.697,4.791,4.707,4.778,4.799,4.965,4.937,5.172,5.082,5.18,5.142,5.318,5.337,5.255,5.514,5.4,5.415,5.505,5.62,5.658,5.757,5.826,5.866,6.029,6.11,5.957,6.002,6.133,6.201,6.242,6.351,6.397,6.492,6.397,6.473,6.56,6.655,6.764,6.791,6.991,6.964,7.036,7.022,7.195,7.018,7.277,7.386,7.386,7.482,7.76,7.596,7.582,7.673,7.731,7.8,7.949,8.004,8.071,8.144,8.222,8.303,8.356,8.393,8.447,8.549,8.519,8.846,8.801,8.94,9.158,9.013,9.115,9.157,9.232,9.258,9.477,9.672,9.536,9.737,9.685,9.957,10.203,10.372,10.42,10.574,10.481,10.831,10.781,11.159,11.235,11.295,11.69,11.843,12.045,12.045,12.339,12.47,12.62,12.886,12.972,13.362,13.573,13.743,14.052,14.146,14.638,14.826,15.093,15.428,15.547,16.034,16.329,16.577,16.966,17.438,17.915,17.955,18.38,18.967,19.214,19.57,20.172,20.305,20.91,21.269,21.962,22.123,22.591,22.884,23.436
