	MG1655-1	rzpD-1	sspA-1	MG1655-2	rzpD-2	sspA-2	MG1655-3	rzpD-3	sspA-3
0.0101	0.315	0.13	0.109	0.196	0.396	0.114	0.193	0.252	0.08
0.17173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.33844	0.047	0.073	0.08	0.005	0.105	0.08199999999999999	0.042	0.08900000000000001	0.069
0.5051	0.08	0.272	0.151	0.085	0.142	0.21100000000000002	0.105	0.168	0.188
0.67178	0.124	0.33399999999999996	0.209	0.18100000000000002	0.16399999999999998	0.209	0.096	0.086	0.325
0.8384	0.162	0.284	0.33	0.1	0.272	0.321	0.18	0.21100000000000002	0.29
1.00521	0.139	0.31	0.33799999999999997	0.142	0.23399999999999999	0.377	0.122	0.133	0.262
1.1718	0.22399999999999998	0.289	0.337	0.084	0.305	0.361	0.175	0.225	0.375
1.33847	0.273	0.441	0.48200000000000004	0.233	0.402	0.461	0.254	0.313	0.424
1.50519	0.22699999999999998	0.41200000000000003	0.457	0.301	0.289	0.41100000000000003	0.318	0.35	0.457
1.67186	0.203	0.47700000000000004	0.418	0.23399999999999999	0.257	0.5660000000000001	0.183	0.282	0.415
1.8386	0.275	0.515	0.474	0.23	0.321	0.44799999999999995	0.32799999999999996	0.34	0.467
2.00531	0.312	0.5660000000000001	0.502	0.26	0.415	0.419	0.355	0.27699999999999997	0.525
2.17187	0.301	0.5	0.425	0.183	0.37	0.406	0.369	0.231	0.508
2.33851	0.33399999999999996	0.609	0.513	0.271	0.39899999999999997	0.467	0.3	0.35	0.47
2.5052	0.377	0.513	0.5770000000000001	0.4	0.406	0.569	0.331	0.385	0.564
2.6719	0.41700000000000004	0.569	0.578	0.37	0.442	0.606	0.423	0.386	0.593
2.83869	0.337	0.556	0.588	0.35	0.485	0.556	0.433	0.491	0.603
3.00536	0.344	0.47100000000000003	0.593	0.355	0.46	0.562	0.375	0.434	0.608
3.17191	0.35700000000000004	0.584	0.604	0.366	0.409	0.637	0.385	0.35	0.555
3.33861	0.377	0.643	0.619	0.414	0.42700000000000005	0.655	0.368	0.36700000000000005	0.5379999999999999
3.50539	0.425	0.667	0.727	0.42700000000000005	0.441	0.5770000000000001	0.506	0.474	0.645
3.67203	0.40399999999999997	0.649	0.672	0.40399999999999997	0.513	0.711	0.48200000000000004	0.48200000000000004	0.652
3.83882	0.466	0.6920000000000001	0.696	0.461	0.5720000000000001	0.708	0.41	0.47600000000000003	0.706
4.00535	0.35100000000000003	0.569	0.743	0.413	0.5539999999999999	0.6890000000000001	0.42700000000000005	0.45899999999999996	0.691
4.17211	0.5539999999999999	0.682	0.753	0.455	0.5660000000000001	0.608	0.531	0.47	0.701
4.33884	0.43799999999999994	0.633	0.7929999999999999	0.526	0.48	0.648	0.444	0.415	0.7090000000000001
4.50544	0.45799999999999996	0.5670000000000001	0.778	0.48	0.593	0.762	0.522	0.43200000000000005	0.629
4.67216	0.546	0.652	0.867	0.537	0.5870000000000001	0.85	0.517	0.426	0.782
4.8388	0.483	0.715	0.772	0.474	0.555	0.7240000000000001	0.517	0.395	0.687
5.00554	0.47200000000000003	0.775	0.883	0.45899999999999996	0.573	0.679	0.532	0.506	0.797
5.17224	0.504	0.7440000000000001	0.883	0.5539999999999999	0.573	0.679	0.532	0.506	0.828
5.33886	0.514	0.758	0.9229999999999999	0.46799999999999997	0.519	0.878	0.47600000000000003	0.451	0.899
5.50559	0.51	0.8270000000000001	1.008	0.585	0.5429999999999999	0.809	0.496	0.473	0.919
5.67228	0.5870000000000001	0.7090000000000001	0.9309999999999999	0.508	0.6859999999999999	0.667	0.547	0.522	0.812
5.8389	0.499	0.8759999999999999	0.905	0.513	0.629	0.705	0.584	0.528	0.8170000000000001
6.00551	0.52	0.905	1.048	0.593	0.616	0.818	0.599	0.449	0.927
6.17228	0.584	0.799	1.023	0.6	0.62	0.758	0.544	0.456	0.904
6.33891	0.534	0.818	1.129	0.579	0.632	0.866	0.649	0.531	0.914
6.50557	0.6990000000000001	0.8270000000000001	1.103	0.68	0.638	0.9670000000000001	0.654	0.536	0.919
6.67225	0.605	0.7959999999999999	1.198	0.68	0.638	0.809	0.591	0.473	0.951
6.83908	0.64	0.895	1.232	0.619	0.7040000000000001	0.907	0.657	0.47600000000000003	0.9540000000000001
7.0057	0.562	0.951	1.3090000000000002	0.633	0.6559999999999999	0.8909999999999999	0.67	0.489	1.061
