	MG1655-1	ADIP1-9_1	ADIP4-8_1	ADIP6-3_1	ADIP8-3_1	kgtP-1	proV-1	ybjL-1	MG1655-2	ADIP1-9_2	ADIP4-8_2	ADIP6-3_2	ADIP8-3_2	kgtP-2	proV-2	ybjL-2	MG1655-3	ADIP1-9_3	ADIP4-8_3	ADIP6-3_3	ADIP8-3_3	kgtP-3	proV-3	ybjL-3	kgtP_proV-1	kgtP_ybjL-1	kgtP_sspA-1	kgtP_proV_ybjL-1	ADIP3-2_4	ADIP4-1_4	ADIP3-2_5	ADIP4-1_5	kgtP_proV-2	kgtP_ybjL-2	kgtP_sspA-2	kgtP_proV_ybjL-2	ADIP3-4_4	ADIP7-2_4	ADIP3-4_5	ADIP7-2_5	kgtP_proV-3	kgtP_ybjL-3	kgtP_sspA-3	kgtP_proV_ybjL-3	ADIP3-8_4	ADIP7-5_4	ADIP3-8_5	ADIP7-5_5
0.00508	0.0	0.353	0.0	0.071	0.076	0.015	0.0	0.0	0.034	0.428	0.212	0.111	0.09300000000000001	0.064	0.003	0.0	0.0	0.599	0.153	0.16399999999999998	0.027999999999999997	0.05	0.044000000000000004	0.0	0.07	0.0	0.631	0.115	0.326	0.021	0.5429999999999999	0.0	0.068	0.0	0.7070000000000001	0.057	0.287	0.0	0.23399999999999999	0.019	0.0	0.0	0.512	0.0	0.616	0.08900000000000001	0.297	0.0
0.17161	0.20600000000000002	0.122	0.002	0.0	0.0	0.0	0.077	0.12300000000000001	0.0	0.138	0.0	0.0	0.0	0.0	0.0	0.136	0.068	0.32899999999999996	0.001	0.0	0.0	0.0	0.044000000000000004	0.08800000000000001	0.0	0.069	0.358	0.0	0.239	0.0	0.305	0.156	0.0	0.01	0.39899999999999997	0.0	0.193	0.163	0.217	0.18600000000000003	0.259	0.22699999999999998	0.5579999999999999	0.193	0.56	0.13699999999999998	0.273	0.06
0.33827	0.305	0.059000000000000004	0.09	0.195	0.12300000000000001	0.242	0.095	0.36	0.182	0.0	0.128	0.287	0.17	0.19	0.061	0.299	0.215	0.13699999999999998	0.0	0.11	0.183	0.114	0.0	0.20600000000000002	0.231	0.13699999999999998	0.10400000000000001	0.179	0.086	0.07200000000000001	0.124	0.342	0.188	0.102	0.132	0.166	0.027999999999999997	0.247	0.0	0.10400000000000001	0.43	0.369	0.134	0.191	0.17	0.04	0.0	0.16899999999999998
0.50498	0.415	0.001	0.18899999999999997	0.26899999999999996	0.28300000000000003	0.337	0.068	0.45	0.26899999999999996	0.055	0.24100000000000002	0.321	0.353	0.257	0.185	0.419	0.321	0.136	0.034	0.231	0.166	0.293	0.151	0.389	0.289	0.13699999999999998	0.038	0.21100000000000002	0.017	0.261	0.0	0.32899999999999996	0.20199999999999999	0.152	0.0	0.29	0.0	0.233	0.053	0.0	0.586	0.389	0.0	0.384	0.073	0.0	0.075	0.316
0.67167	0.585	0.0	0.18600000000000003	0.45799999999999996	0.371	0.41200000000000003	0.152	0.711	0.36200000000000004	0.114	0.19699999999999998	0.469	0.409	0.413	0.18100000000000002	0.575	0.433	0.0	0.044000000000000004	0.41200000000000003	0.395	0.37200000000000005	0.307	0.69	0.379	0.215	0.0	0.355	0.0	0.45799999999999996	0.09300000000000001	0.5589999999999999	0.327	0.147	0.055999999999999994	0.33799999999999997	0.003	0.415	0.138	0.006	0.614	0.35600000000000004	0.111	0.34	0.0	0.155	0.076	0.306
0.83839	0.595	0.195	0.243	0.49	0.406	0.35700000000000004	0.24100000000000002	0.682	0.484	0.231	0.317	0.536	0.496	0.523	0.209	0.74	0.385	0.185	0.165	0.429	0.436	0.484	0.435	0.588	0.41600000000000004	0.255	0.17800000000000002	0.39299999999999996	0.057	0.413	0.297	0.537	0.424	0.21100000000000002	0.107	0.384	0.11699999999999999	0.414	0.254	0.12300000000000001	0.6459999999999999	0.539	0.145	0.871	0.055	0.209	0.134	0.377
1.00495	0.5579999999999999	0.18100000000000002	0.254	0.504	0.589	0.532	0.257	0.718	0.45	0.249	0.336	0.447	0.5379999999999999	0.589	0.302	0.7509999999999999	0.5379999999999999	0.325	0.185	0.39899999999999997	0.45799999999999996	0.5529999999999999	0.38	0.687	0.435	0.243	0.064	0.413	0.092	0.57	0.319	0.7120000000000001	0.366	0.171	0.275	0.217	0.188	0.45	0.325	0.196	0.743	0.4	0.133	0.812	0.172	0.35600000000000004	0.231	0.373
1.1718	0.47600000000000003	0.29100000000000004	0.418	0.5579999999999999	0.452	0.5	0.257	0.768	0.509	0.33299999999999996	0.33899999999999997	0.534	0.621	0.613	0.215	0.831	0.455	0.5589999999999999	0.21600000000000003	0.545	0.408	0.46799999999999997	0.305	0.687	0.604	0.267	0.319	0.36	0.109	0.5720000000000001	0.29600000000000004	0.6759999999999999	0.4	0.109	0.23199999999999998	0.307	0.049	0.445	0.271	0.142	0.659	0.49200000000000005	0.132	1.345	0.215	0.435	0.22899999999999998	0.32299999999999995
1.3384	0.6459999999999999	0.345	0.387	0.585	0.45399999999999996	0.524	0.341	0.6779999999999999	0.43	0.419	0.342	0.65	0.62	0.581	0.23800000000000002	0.9109999999999999	0.7070000000000001	0.516	0.192	0.469	0.385	0.493	0.39799999999999996	0.7709999999999999	0.523	0.29	0.242	0.36200000000000004	0.265	0.519	0.496	0.723	0.462	0.215	0.469	0.39899999999999997	0.271	0.495	0.41100000000000003	0.22699999999999998	0.797	0.529	0.243	1.4369999999999998	0.287	0.45899999999999996	0.451	0.32899999999999996
1.50497	0.69	0.501	0.289	0.627	0.5539999999999999	0.424	0.385	0.662	0.56	0.547	0.359	0.584	0.72	0.623	0.336	0.813	0.583	0.735	0.265	0.6	0.515	0.535	0.446	0.899	0.484	0.262	0.289	0.379	0.233	0.48	0.515	0.609	0.425	0.242	0.436	0.39	0.259	0.563	0.315	0.271	0.672	0.408	0.287	1.261	0.36700000000000005	0.557	0.523	0.264
1.67175	0.682	0.49	0.36	0.644	0.43200000000000005	0.522	0.375	0.7859999999999999	0.5529999999999999	0.595	0.35100000000000003	0.6609999999999999	0.7090000000000001	0.721	0.406	0.7709999999999999	0.516	0.624	0.23	0.541	0.537	0.579	0.44299999999999995	0.889	0.47600000000000003	0.413	0.369	0.39899999999999997	0.435	0.612	0.594	0.614	0.44799999999999995	0.19399999999999998	0.55	0.359	0.248	0.6890000000000001	0.445	0.23399999999999999	0.8290000000000001	0.489	0.361	1.117	0.456	0.7120000000000001	0.597	0.42700000000000005
1.83835	0.7070000000000001	0.515	0.44	0.7809999999999999	0.401	0.46	0.371	0.838	0.522	0.706	0.32	0.687	0.649	0.632	0.402	0.907	0.597	0.737	0.369	0.539	0.535	0.603	0.555	0.7170000000000001	0.557	0.303	0.36700000000000005	0.424	0.465	0.46799999999999997	0.536	0.6729999999999999	0.418	0.225	0.466	0.386	0.35700000000000004	0.713	0.499	0.259	0.797	0.46	0.386	1.228	0.486	0.652	0.537	0.397
2.00505	0.6759999999999999	0.5670000000000001	0.405	0.777	0.51	0.623	0.452	0.773	0.5489999999999999	0.7040000000000001	0.374	0.6579999999999999	0.644	0.682	0.33799999999999997	0.8440000000000001	0.6779999999999999	0.8270000000000001	0.48100000000000004	0.682	0.506	0.682	0.784	0.769	0.527	0.37	0.509	0.39299999999999996	0.444	0.607	0.762	0.652	0.446	0.17800000000000002	0.442	0.301	0.297	0.5920000000000001	0.467	0.22699999999999998	0.764	0.40399999999999997	0.353	1.2570000000000001	0.379	0.73	0.504	0.368
2.17177	0.741	0.547	0.442	0.757	0.547	0.517	0.461	0.7809999999999999	0.5579999999999999	0.684	0.38299999999999995	0.667	0.738	0.718	0.375	0.937	0.6579999999999999	0.723	0.40399999999999997	0.634	0.5429999999999999	0.605	0.509	0.863	0.62	0.21100000000000002	0.376	0.402	0.596	0.615	0.6859999999999999	0.5770000000000001	0.54	0.131	0.48	0.395	0.39	0.77	0.475	0.235	0.8290000000000001	0.442	0.33299999999999996	1.266	0.5589999999999999	0.795	0.569	0.434
2.33847	0.642	0.674	0.368	0.684	0.475	0.7559999999999999	0.389	0.9329999999999999	0.545	0.67	0.426	0.654	0.6940000000000001	0.644	0.47100000000000003	0.92	0.643	0.8	0.47600000000000003	0.594	0.501	0.532	0.584	0.762	0.606	0.263	0.478	0.359	0.505	0.6579999999999999	0.816	0.684	0.44299999999999995	0.098	0.5	0.327	0.46	0.81	0.575	0.278	0.955	0.45899999999999996	0.375	1.226	0.524	0.75	0.611	0.251
2.50502	0.653	0.627	0.405	0.7509999999999999	0.5429999999999999	0.507	0.514	0.7979999999999999	0.643	0.711	0.466	0.752	0.875	0.596	0.451	0.929	0.74	0.846	0.603	0.637	0.628	0.598	0.513	0.887	0.561	0.313	0.37799999999999995	0.313	0.609	0.6409999999999999	0.688	0.675	0.542	0.289	0.546	0.312	0.557	0.79	0.643	0.40299999999999997	0.852	0.501	0.414	1.2690000000000001	0.5710000000000001	0.8170000000000001	0.65	0.46299999999999997
2.67184	0.753	0.6409999999999999	0.505	0.8220000000000001	0.47200000000000003	0.52	0.528	0.782	0.657	0.6970000000000001	0.452	0.7659999999999999	0.6609999999999999	0.609	0.436	0.9420000000000001	0.611	0.948	0.532	0.652	0.557	0.755	0.529	0.787	0.6609999999999999	0.302	0.39299999999999996	0.242	0.569	0.627	0.731	0.6629999999999999	0.5	0.221	0.648	0.327	0.514	0.774	0.629	0.24600000000000002	0.865	0.46	0.457	1.284	0.531	0.83	0.664	0.39299999999999996
2.83844	0.727	0.5589999999999999	0.5660000000000001	0.797	0.532	0.5539999999999999	0.531	0.845	0.659	0.7559999999999999	0.512	0.654	0.693	0.585	0.41200000000000003	0.9470000000000001	0.6709999999999999	0.833	0.563	0.625	0.445	0.644	0.501	0.847	0.607	0.27	0.509	0.273	0.624	0.63	0.875	0.547	0.473	0.18899999999999997	0.618	0.44299999999999995	0.545	0.922	0.546	0.33399999999999996	0.898	0.43200000000000005	0.317	1.114	0.557	0.8059999999999999	0.639	0.252
3.00507	0.61	0.556	0.5329999999999999	0.851	0.614	0.578	0.385	0.8109999999999999	0.6859999999999999	0.725	0.48100000000000004	0.6809999999999999	0.804	0.78	0.465	0.9420000000000001	0.6679999999999999	0.862	0.532	0.624	0.529	0.6970000000000001	0.614	0.815	0.804	0.331	0.45	0.413	0.541	0.6559999999999999	0.8170000000000001	0.606	0.5	0.221	0.6759999999999999	0.413	0.485	0.8029999999999999	0.657	0.27399999999999997	0.865	0.431	0.428	1.227	0.645	0.83	0.664	0.307
3.17181	0.753	0.7559999999999999	0.59	0.679	0.44299999999999995	0.606	0.442	0.782	0.6	0.725	0.623	0.6809999999999999	0.6609999999999999	0.609	0.465	0.885	0.6679999999999999	0.862	0.618	0.624	0.44299999999999995	0.612	0.843	0.873	0.6609999999999999	0.21600000000000003	0.39299999999999996	0.242	0.569	0.6559999999999999	0.8740000000000001	0.5770000000000001	0.5	0.049	0.47600000000000003	0.242	0.485	0.8029999999999999	0.629	0.24600000000000002	1.123	0.374	0.428	1.227	0.531	0.802	0.693	0.221
3.33848	0.753	0.727	0.619	0.736	0.44299999999999995	0.606	0.528	0.897	0.6	0.725	0.623	0.509	0.6609999999999999	0.552	0.465	0.7709999999999999	0.6679999999999999	0.919	0.618	0.624	0.44299999999999995	0.669	0.529	0.815	0.6609999999999999	0.245	0.39299999999999996	0.213	0.484	0.627	0.731	0.606	0.5	0.16399999999999998	0.562	0.299	0.485	0.8029999999999999	0.5429999999999999	0.27399999999999997	0.922	0.345	0.428	1.113	0.588	0.887	0.693	0.278
3.50522	0.787	0.79	0.738	0.7120000000000001	0.563	0.695	0.59	0.899	0.635	0.76	0.659	0.687	0.7509999999999999	0.669	0.382	0.888	0.644	0.873	0.654	0.574	0.478	0.616	0.48	0.8490000000000001	0.61	0.259	0.429	0.247	0.61	0.662	0.7390000000000001	0.561	0.507	0.005	0.544	0.335	0.462	0.835	0.5770000000000001	0.28	0.87	0.382	0.376	1.063	0.6859999999999999	0.8340000000000001	0.64	0.314
3.67184	0.701	0.618	0.738	0.77	0.505	0.7240000000000001	0.562	0.813	0.807	0.8170000000000001	0.773	0.716	0.6940000000000001	0.669	0.41100000000000003	0.831	0.7879999999999999	0.987	0.797	0.488	0.507	0.73	0.509	0.7340000000000001	0.696	0.20199999999999999	0.48700000000000004	0.276	0.61	0.605	0.6809999999999999	0.647	0.45	0.091	0.515	0.249	0.519	0.7490000000000001	0.5770000000000001	0.28	0.87	0.382	0.462	1.177	0.542	0.863	0.726	0.257
3.83858	0.899	0.7	0.7340000000000001	0.737	0.617	0.633	0.5870000000000001	0.779	0.805	0.758	0.7140000000000001	0.657	0.7190000000000001	0.521	0.521	0.9129999999999999	0.7559999999999999	1.0170000000000001	0.767	0.516	0.44799999999999995	0.64	0.7090000000000001	0.7020000000000001	0.779	0.205	0.457	0.387	0.555	0.7170000000000001	0.7659999999999999	0.677	0.47700000000000004	0.065	0.573	0.21899999999999997	0.573	0.945	0.603	0.33399999999999996	0.924	0.35200000000000004	0.401	1.262	0.602	0.888	0.752	0.19699999999999998
4.00525	0.701	0.79	0.7090000000000001	0.684	0.563	0.609	0.562	0.7559999999999999	0.693	0.8170000000000001	0.745	0.601	0.58	0.6409999999999999	0.41100000000000003	0.745	0.644	0.9009999999999999	0.625	0.431	0.392	0.501	0.5660000000000001	0.7340000000000001	0.581	0.11599999999999999	0.48700000000000004	0.33299999999999996	0.61	0.519	0.825	0.561	0.45	0.005	0.429	0.278	0.433	0.835	0.52	0.308	0.87	0.324	0.40399999999999997	1.149	0.7140000000000001	0.92	0.698	0.34299999999999997
4.17194	0.75	0.81	0.8140000000000001	0.617	0.6970000000000001	0.456	0.496	0.7170000000000001	0.799	0.752	0.851	0.565	0.7140000000000001	0.659	0.43	0.706	0.722	1.01	0.732	0.5379999999999999	0.528	0.46299999999999997	0.674	0.7829999999999999	0.687	0.198	0.42200000000000004	0.353	0.52	0.45299999999999996	0.789	0.556	0.44299999999999995	0.028999999999999998	0.48100000000000004	0.184	0.539	0.9109999999999999	0.597	0.3	0.889	0.26	0.424	1.199	0.738	0.997	0.718	0.335
4.33854	0.825	0.7979999999999999	0.831	0.72	0.542	0.672	0.513	0.6459999999999999	0.731	0.884	0.812	0.5529999999999999	0.616	0.503	0.503	0.7509999999999999	0.825	1.1740000000000002	0.779	0.557	0.431	0.536	0.5489999999999999	0.627	0.619	0.162	0.354	0.456	0.626	0.613	0.8640000000000001	0.5760000000000001	0.489	0.079	0.414	0.317	0.585	1.013	0.528	0.317	0.82	0.249	0.355	1.274	0.6729999999999999	0.956	0.648	0.267
4.5052	0.8270000000000001	0.973	0.72	0.695	0.6890000000000001	0.534	0.48700000000000004	0.652	0.7909999999999999	0.858	0.929	0.556	0.677	0.594	0.565	0.727	0.713	1.173	0.723	0.529	0.49	0.455	0.664	0.66	0.679	0.21600000000000003	0.442	0.43	0.509	0.616	0.6940000000000001	0.66	0.434	0.134	0.528	0.376	0.53	0.846	0.674	0.32	0.8240000000000001	0.308	0.387	1.276	0.642	0.9890000000000001	0.652	0.26899999999999996
4.67192	0.7390000000000001	0.97	0.746	0.52	0.6859999999999999	0.445	0.513	0.821	0.7879999999999999	0.74	0.868	0.43799999999999994	0.76	0.505	0.39	0.8109999999999999	0.653	1.255	0.72	0.44	0.43	0.5379999999999999	0.6609999999999999	0.6859999999999999	0.504	0.126	0.439	0.456	0.5920000000000001	0.527	0.8340000000000001	0.5710000000000001	0.45899999999999996	0.13	0.439	0.287	0.47	0.929	0.586	0.374	0.821	0.33399999999999996	0.384	1.187	0.725	1.072	0.649	0.18
4.83869	0.7390000000000001	0.97	0.746	0.46299999999999997	0.887	0.531	0.513	0.7070000000000001	0.816	0.941	1.012	0.524	0.674	0.505	0.505	0.753	0.653	1.227	0.835	0.526	0.48700000000000004	0.509	0.805	0.6859999999999999	0.619	0.212	0.496	0.542	0.5920000000000001	0.527	0.777	0.7140000000000001	0.431	0.044000000000000004	0.5539999999999999	0.344	0.528	0.986	0.7	0.374	0.821	0.33399999999999996	0.413	1.244	0.725	1.101	0.706	0.237
