,compound,clean_strain,pretty_name,slope,std,stderr
0,"1,2-propanediol",12PD3-8,12PD3-8,0.4991166842429775,0.19010595580295894,0.06336865193431965
121,"1,2-propanediol",metJ_relA,ΔmetJ relA::kan,0.16023046858031353,0.10015092916335061,0.05782216591205162
119,"1,2-propanediol",metJ_purT,ΔmetJ purT::kan,0.2517328420497665,0.13534331809701136,0.07814050113632666
117,"1,2-propanediol",metJ_acrB,ΔmetJ acrB::kan,0.24667101018788376,0.11890024380424291,0.048540821268818694
266,"1,2-propanediol",yfgF,yfgF::kan,0.16582472497480266,0.0948453854023958,0.03872046644891432
115,"1,2-propanediol",metJ-sm,,0.11033228866122384,0.013914904952900237,0.00803377412030501
113,"1,2-propanediol",metJ-lg,,0.0907607196938987,0.054227798917280835,0.03130843430245299
257,"1,2-propanediol",treA,treA::kan,0.12392844034721699,0.140785385917645,0.0812824804575177
254,"1,2-propanediol",sspA,sspA::kan,0.2590791765540021,0.02271832144942086,0.013116429004359585
46,"1,2-propanediol",MG1655,K-12 MG1655,0.13533265532342004,0.10866175331542095,0.0313679462636375
233,"1,2-propanediol",rph,rph::kan,0.181852574197324,0.16007201905515667,0.0924176232912216
84,"1,2-propanediol",fabR_yfgF,ΔfabR yfgF::kan,0.14202630865065732,0.01722982693749058,0.009947645220450852
228,"1,2-propanediol",relA_purT,ΔrelA purT::kan,0.10533969334526416,0.04684465559851994,0.027045774519900798
226,"1,2-propanediol",relA,relA::kan,0.1647600471330527,0.07925239487742074,0.032354654723874034
82,"1,2-propanediol",fabR,fabR::kan,0.1742068671667821,0.04311597191362743,0.01760202182542633
68,"1,2-propanediol",acrB,acrB::kan,0.21339507131685698,0.1332191959718839,0.05438650901249195
216,"1,2-propanediol",purT,purT::kan,0.1945026908071982,0.12846579895589347,0.05244594280681783
78,"1,2-propanediol",clsA,clsA::kan,0.12698160721062532,0.05449212779418012,0.03146104465068538
123,"1,2-propanediol",metJ_relA_acrB,ΔmetJ ΔrelA acrB::kan,0.15420992510831688,0.07234880541657528,0.041770602282807594
125,"1,2-propanediol",metJ_relA_clsA,ΔmetJ ΔrelA clsA::kan,0.13370915844771628,0.0152483485811073,0.008803638157999548
111,"1,2-propanediol",metJ,metJ::kan,0.31700636174029184,0.09388203848551782,0.03129401282850594
127,"1,2-propanediol",metJ_relA_purT,ΔmetJ ΔrelA purT::kan,0.19694485125609865,0.1733634452721179,0.10009143179549822
1,"1,2-propanediol",12PD4-6,12PD4-6,0.40663514759181535,0.25707085327419715,0.08569028442473238
2,"1,2-propanediol",12PD6-3,12PD6-3,0.28658922509007556,0.17197466966680064,0.05732488988893355
133,"1,2-propanediol",metJ_relA_treR,ΔmetJ ΔrelA treR::kan,0.18447138622878298,0.06147193579318797,0.03549083867780447
131,"1,2-propanediol",metJ_relA_treA,ΔmetJ ΔrelA treA::kan,0.20599780740090937,0.05266559346417181,0.03040649456357099
3,"1,2-propanediol",12PD7-6,12PD7-6,0.07172144622600125,0.21516433867800377,0.07172144622600125
129,"1,2-propanediol",metJ_relA_rnb,ΔmetJ ΔrelA rnb::kan,0.20372201449549346,0.03607537097329792,0.020828125142549166
135,"1,2-propanediol",metJ_relA_yeaR,ΔmetJ ΔrelA yeaR::kan,0.17850939709086863,0.07161819156807964,0.041348782180704965
5,"2,3-butanediol",23BD4-3,23BD4-3,0.3779914631906873,0.01696451795065489,0.005654839316884964
4,"2,3-butanediol",23BD2-4,23BD2-4,0.49962087313160874,0.05214994674470321,0.01738331558156774
217,"2,3-butanediol",purT,purT::kan,0.013877570566095595,0.03399296675640091,0.013877570566095598
255,"2,3-butanediol",sspA,sspA::kan,0.21298962006083041,0.05559934067372913,0.032100294304743225
126,"2,3-butanediol",metJ_relA_clsA,ΔmetJ ΔrelA clsA::kan,0.011785212735599742,0.02041258723606655,0.011785212735599742
6,"2,3-butanediol",23BD6-1,23BD6-1,0.3748210081120244,0.06694822354364388,0.02231607451454796
47,"2,3-butanediol",MG1655,K-12 MG1655,0.01435003527464127,0.02303536769338725,0.0066497378693295695
69,"2,3-butanediol",acrB,acrB::kan,0.0873610234576452,0.0456150612118003,0.018622270759121942
229,"2,3-butanediol",relA_purT,ΔrelA purT::kan,0.024021315793502352,0.024727127427693608,0.014276213676665084
83,"2,3-butanediol",fabR,fabR::kan,0.0148811583254206,0.028425684457092995,0.011604737084873418
253,"2,3-butanediol",rzpD,rzpD::kan,0.03614648609464608,0.06260755043100895,0.03614648609464609
136,"2,3-butanediol",metJ_relA_yeaR,ΔmetJ ΔrelA yeaR::kan,0.08682201443879474,0.03666156635254834,0.021166565202557112
227,"2,3-butanediol",relA,relA::kan,0.0050093215975523875,0.012270281871506817,0.005009321597552388
85,"2,3-butanediol",fabR_yfgF,ΔfabR yfgF::kan,0.011634130853223136,0.020150905739687124,0.011634130853223137
7,"2,3-butanediol",23BD7-4,23BD7-4,0.5047883157669423,0.011362587698114386,0.0037875292327047955
79,"2,3-butanediol",clsA,clsA::kan,0.017735544693259955,0.030718864508634824,0.01773554469325996
112,"2,3-butanediol",metJ,metJ::kan,0.1525623925050673,0.014569354485207995,0.004856451495069331
134,"2,3-butanediol",metJ_relA_treR,ΔmetJ ΔrelA treR::kan,0.09539642949413851,0.022281842536768553,0.012864427786644178
114,"2,3-butanediol",metJ-lg,,0.09633588951266146,0.041642357259153155,0.024042226173262644
132,"2,3-butanediol",metJ_relA_treA,ΔmetJ ΔrelA treA::kan,0.14385368267541587,0.030032710259241507,0.01733939335266712
267,"2,3-butanediol",yfgF,yfgF::kan,0.027060918315921566,0.028890879470026838,0.011794652153635975
116,"2,3-butanediol",metJ-sm,,0.1262199237921072,0.0193157197233197,0.011151935981849994
118,"2,3-butanediol",metJ_acrB,ΔmetJ acrB::kan,0.20044252495072945,0.011287890647435487,0.004608262059758566
130,"2,3-butanediol",metJ_relA_rnb,ΔmetJ ΔrelA rnb::kan,0.10563503937620104,0.05084974079029561,0.029358111533499865
120,"2,3-butanediol",metJ_purT,ΔmetJ purT::kan,0.1111710495450739,0.06768621627892861,0.03907865518906666
122,"2,3-butanediol",metJ_relA,ΔmetJ relA::kan,0.05042652237627499,0.014818599192402979,0.008555522232747031
128,"2,3-butanediol",metJ_relA_purT,ΔmetJ ΔrelA purT::kan,0.11900387927368876,0.016607263841445535,0.00958820824936172
124,"2,3-butanediol",metJ_relA_acrB,ΔmetJ ΔrelA acrB::kan,0.06209580873103321,0.027311771367873827,0.01576845855128747
258,"2,3-butanediol",treA,treA::kan,0.05115646464046331,0.046060675837402434,0.02659314359378039
193,HMDA,proV_ptsP_wbbK,ΔproV ΔptsP wbbK::kan,0.19310688744662596,0.04673329260857493,0.0190787868151982
169,HMDA,proV,proV::kan,0.3138670010026794,0.2335565931053482,0.07785219770178274
191,HMDA,proV_ptsP_nagC,ΔproV ΔptsP nagC::kan,0.2736411007161681,0.04004342841686604,0.02311908417575312
189,HMDA,proV_ptsP_mpl,ΔproV ΔptsP mpl::kan,0.306072249268482,0.0032850187350928622,0.001896606450998828
187,HMDA,proV_ptsP,ΔproV ptsP::kan,0.16335175969877624,0.042661514261006374,0.01422050475366879
186,HMDA,proV_nagC_ptsP,,0.18239175969539503,0.07891544927676032,0.04556185588315783
184,HMDA,proV_nagC,ΔproV nagC::kan,0.06607823388013973,0.06728627442642905,0.027469506506272008
180,HMDA,proV_cspC_ybeX_mpl,ΔproV ΔcspC ΔybeX mpl::kan,0.35173190415273625,0.01664492850121911,0.009609953950820928
178,HMDA,proV_cspC_ybeX,ΔproV ΔcspC ybeX::kan,0.27668286315677854,0.04343200755072122,0.025075481250854757
176,HMDA,proV_cspC_mpl,ΔproV ΔcspC mpl::kan,0.24765762770157881,0.017759942838561547,0.010253707778635877
174,HMDA,proV_cspC,ΔproV cspC::kan,0.1353172708239786,0.0767897329187026,0.04433457297161242
137,HMDA,mpl,ΔproV mpl::kan,0.13061958935674145,0.010431075793936788,0.006022384417566794
152,HMDA,nusA_sspA_ybeX_mpl,ΔproV sspA* nusA* ΔybeX mpl::kan,0.4097373989093429,0.037202437632601,0.021478837381692453
150,HMDA,nusA_sspA_ybeX,ΔproV sspA* nusA* ybeX::kan,0.29201026139741343,0.03141892645487052,0.01813972564636855
148,HMDA,nusA_sspA_mpl,ΔproV sspA* nusA* mpl::kan,0.34086042728967386,0.02665899892741207,0.015391580207067304
195,HMDA,proV_ptsP_ybeX,ΔproV ΔptsP ybeX::kan,0.242699369991738,0.030993048119741143,0.017893844674939575
146,HMDA,nusA_sspA,ΔproV nusA* sspA*,0.31726649062526596,0.06435590654597514,0.03715589996826115
197,HMDA,proV_ptsP_ybeX_mpl,ΔproV ΔptsP ΔybeX mpl::kan,0.3399909751991122,0.012003216858305533,0.006930060484284154
214,HMDA,ptsP,ptsP::kan,0.1799649702144885,0.031490931912152374,0.012856119118250117
205,HMDA,proV_sspA,ΔproV sspA*,0.27145581821804726,0.008478017377133773,0.004894785614882509
274,HMDA,ygaC_ybeX_mpl,ΔproV ygaC* ΔybeX mpl::kan,0.3561204167119196,0.04773400255612915,0.02755923922527945
272,HMDA,ygaC_ybeX,ΔproV ygaC* ybeX::kan,0.39050090435282464,0.008539555661277641,0.004930314759798439
270,HMDA,ygaC_mpl,ΔproV ygaC* mpl::kan,0.2594109423923799,0.008948178697073166,0.005166233379512068
268,HMDA,ygaC,ΔproV ygaC*,0.25612616632606117,0.004956000497705342,0.0028613482214540987
261,HMDA,ybeX,ΔproV ybeX::kan,0.17062587653938524,0.004877867328770681,0.0028162380153370337
35,HMDA,HMDA1-10,HMDA1-10,0.40728465708268957,0.021737525635883978,0.008874307679764031
36,HMDA,HMDA3-5,HMDA3-5,0.6480884316170173,0.03265484360059494,0.013331284075307702
37,HMDA,HMDA5-4,HMDA5-4,0.4641684255965403,0.36075083868143953,0.14727591317510252
38,HMDA,HMDA7-1,HMDA7-1,0.4055607545958753,0.019561751125689142,0.005646991139118546
199,HMDA,proV_rpsG1,ΔproV rpsG1*,0.27075576211093366,0.001406189599287122,0.0008118639436800719
251,HMDA,rpsG1_ybeX_mpl,ΔproV rpsG1* ΔybeX mpl::kan,0.31482755807471835,0.006624642290654916,0.003824739009794595
