FILE NAME,jose_20150815_123041.csv
PROTOCOL,jose
FILE_VERSION,3.3
DATE START,15.8.2015,12:31:00
DATE END,17.8.2015,13:52:01
DEVICE,BL053-CX_OEDE43
USER,rebecca,COMMENT,no comment available
PLATETYPE,MTP-48-Flowerplate,LOT,1120-std-Temp37
MTP ROWS,6
MTP COLUMNS,8
FILTERSETS,1

FILTERSET,FILTERNAME,EX [nm],EM [nm],LAYOUT,FILTERNO,GAIN,PHASESTATISTICSSIGMA,SIGNALQUALITYTOLERANCE,REFERENCE VALUE,Process Parameters,,Calibration Parameters,,,,Criterion Parameters,,
1,Biomass,620,620,Anna,1,10,1,0,100,SET TEMPERATURE [C],37,Phi0,72.01,Biomass Slope,0,CRITERION,,
,,,,,,,,,,SET HUMIDITY [%],85,Phi100,42.41,Biomass Offset,0,FI,,
,,,,,,,,,,SET O2 [%],20.95,Phi.min,55.88,Biomass Unit,DCW [g/L],FJ,,
,,,,,,,,,,SET CO2 [%],0,Phi.max,13.69,,,FACTOR,0,
,,,,,,,,,,SET SHAKER FREQUENCY [rpm],1000,pH0,5.92,,,S0,NaN,
,,,,,,,,,,SET CYCLE TIME [min],10,dpH,0.53,,,EXTRA INFO,,
,,,,,,,,,,SET EXP TIME [h],-1,Temp. Compensation for pH Calibration,False,Temp. pH [C],37,,,
,,,,,,,,,,,,Temp. Compensation for pO2 Calibration,False,Temp. pO2 [C],37,,,

WELL No.,CONTENT,DESCRIPTION,CHANNEL,
,,,READING ->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297
,,,TIME [h] ->,0.0049,0.17154,0.33821,0.50491,0.67168,0.83833,1.00504,1.17171,1.33838,1.5051,1.67176,1.83851,2.0052,2.17193,2.33854,2.50521,2.67196,2.83866,3.00544,3.17206,3.33875,3.50542,3.67213,3.83884,4.00553,4.17221,4.33888,4.50555,4.67236,4.83904,5.00574,5.17237,5.3391,5.50574,5.67238,5.83914,6.00589,6.17254,6.33937,6.50594,6.67258,6.83929,7.00598,7.17272,7.33936,7.50608,7.67284,7.83944,8.00621,8.17284,8.33953,8.50624,8.67291,8.83959,9.0063,9.17304,9.33975,9.50655,9.6731,9.83974,10.00658,10.17318,10.33994,10.50655,10.67329,10.84001,11.00669,11.17333,11.33996,11.50668,11.67347,11.84013,12.0068,12.17348,12.34021,12.50693,12.6736,12.84036,13.00696,13.17361,13.34038,13.50703,13.67379,13.84041,14.0071,14.17376,14.34056,14.50719,14.67389,14.84058,15.0073,15.17405,15.34064,15.50737,15.67403,15.84068,16.00743,16.17409,16.34091,16.50758,16.67424,16.84086,17.00766,17.17434,17.34094,17.50776,17.67433,17.84113,18.00775,18.17441,18.34108,18.50783,18.67454,18.84126,19.00795,19.17467,19.34141,19.50806,19.67467,19.84147,20.00799,20.17471,20.34152,20.50816,20.67478,20.84148,21.00826,21.1749,21.34163,21.50829,21.67494,21.84178,22.00842,22.17501,22.34174,22.50848,22.67512,22.84193,23.00857,23.17516,23.34194,23.5087,23.67534,23.842,24.00871,24.17545,24.34209,24.50884,24.67541,24.84217,25.00896,25.17559,25.34224,25.50895,25.67561,25.84234,26.00905,26.17573,26.34245,26.50907,26.67582,26.84246,27.00922,27.17585,27.3426,27.50925,27.67598,27.84265,28.00931,28.17603,28.34284,28.50937,28.67611,28.84289,29.00952,29.17617,29.34287,29.50965,29.67634,29.84302,30.00974,30.17636,30.34302,30.50982,30.67651,30.84316,31.00989,31.17647,31.34319,31.50991,31.67661,31.84325,32.00999,32.17671,32.34334,32.51003,32.67682,32.84349,33.01021,33.17678,33.34358,33.51028,33.67696,33.8436,34.01033,34.17697,34.34374,34.51047,34.67709,34.84375,35.01047,35.17712,35.34389,35.51067,35.67742,35.84406,36.01065,36.17731,36.34415,36.51079,36.67737,36.84418,37.01074,37.1776,37.34423,37.51097,37.6776,37.84421,38.01105,38.1776,38.34433,38.51112,38.67776,38.84441,39.01112,39.17786,39.34454,39.51126,39.67791,39.84465,40.01129,40.17793,40.34459,40.51142,40.6781,40.84471,41.01149,41.17809,41.34487,41.51155,41.67822,41.84486,42.01152,42.17822,42.34498,42.51165,42.6783,42.84511,43.01167,43.17847,43.34513,43.51176,43.67851,43.84528,44.01191,44.17862,44.34527,44.51191,44.67867,44.84537,45.01203,45.17886,45.34552,45.51218,45.6789,45.84552,46.0123,46.17898,46.34564,46.51232,46.67897,46.84568,47.01245,47.17917,47.34586,47.51255,47.67912,47.84586,48.01253,48.17928,48.34596,48.51274,48.67936,48.84598,49.01278,49.17939,49.34621
A01,X1,,1,14.228,14.188,14.13,14.184,14.184,14.278,14.3,14.318,14.069,14.283,14.192,14.3,14.355,14.278,14.3,14.353,14.403,14.274,14.181,14.33,14.242,14.34,14.225,14.333,14.364,14.324,14.45,14.321,14.275,14.31,14.15,14.27,14.27,14.252,14.207,14.279,14.279,14.334,14.258,14.265,14.269,14.323,14.093,14.233,14.099,14.294,14.181,14.236,14.318,14.132,14.136,14.166,14.318,14.286,14.248,14.234,14.282,14.135,14.326,14.24,14.396,14.297,14.283,14.364,14.296,14.357,14.296,14.289,14.253,14.325,14.239,14.257,14.228,14.319,14.355,14.391,14.382,14.26,14.361,14.407,14.437,14.414,14.295,14.414,14.389,14.379,14.472,14.396,14.423,14.426,14.542,14.504,14.513,14.607,14.595,14.483,14.479,14.495,14.481,14.693,14.492,14.685,14.715,14.67,14.753,14.582,14.638,14.764,14.682,14.72,14.796,14.794,14.883,14.876,14.815,14.931,14.794,14.906,15.107,15.077,15.178,15.308,15.111,15.189,15.401,15.274,15.367,15.468,15.375,15.475,15.714,15.702,15.698,15.657,15.899,15.891,16.092,15.936,16.1,16.313,16.202,16.289,16.405,16.403,16.602,16.648,16.652,16.66,16.743,16.785,16.6,16.851,16.729,16.842,16.762,16.778,17.045,16.837,16.87,16.972,16.993,17.074,16.929,16.831,17.023,16.843,16.907,16.877,16.741,16.911,16.743,16.743,16.752,16.739,16.928,16.949,16.743,16.88,16.833,16.825,16.928,16.756,16.808,16.98,16.932,16.804,16.898,16.782,16.885,16.877,16.766,16.8,16.911,16.8,16.877,16.817,16.894,16.907,16.971,16.95,17.035,16.925,16.844,16.912,16.899,17.048,17.001,17.078,16.993,17.214,17.189,17.04,17.074,17.133,17.167,17.172,17.193,17.222,17.133,17.32,17.193,17.053,17.205,17.268,17.154,17.378,17.424,17.356,17.389,17.394,17.515,17.414,17.41,17.503,17.569,17.502,17.502,17.502,17.677,17.502,17.673,17.631,17.653,17.712,17.757,17.766,17.725,17.67,17.817,17.826,17.867,17.967,17.958,17.972,17.941,17.867,17.999,18.153,18.162,18.082,18.021,18.034,18.222,18.226,18.186,18.253,18.088,18.193,18.354,18.242,18.105,18.332,18.314,18.476,18.341,18.42,18.291,18.305,18.49,18.429,18.355,18.364,18.414,18.549,18.449,18.431,18.44,18.459,18.482,18.687,18.524,18.538,18.724,18.724,18.763,18.531,18.621
A02,X2,,1,12.344,12.388,12.403,12.268,12.372,12.293,12.312,12.502,12.293,12.397,12.483,12.486,12.404,12.467,12.521,12.442,12.385,12.394,12.404,12.347,12.331,12.391,12.382,12.455,12.486,12.417,12.436,12.552,12.543,12.647,12.489,12.577,12.681,12.665,12.69,12.762,12.865,12.887,13.018,13.094,13.2,13.394,13.541,13.717,13.927,14.226,14.352,14.787,15.073,15.47,15.68,16.156,16.481,16.992,17.844,18.237,18.803,19.85,20.138,21.24,21.355,22.111,23.112,24.575,24.609,25.413,25.936,27.182,27.963,28.853,28.817,28.412,29.168,29.519,29.825,30.949,31.33,31.553,32.093,33.695,34.662,35.496,36.125,36.574,37.452,38.668,38.313,39.253,39.873,39.849,40.864,42.099,41.053,42.477,41.631,42.743,43.169,43.419,43.778,44.481,44.448,45.062,45.051,46.025,45.868,46.594,46.459,47.177,47.197,47.875,47.819,48.339,48.242,48.984,49.754,49.894,50.05,50.814,50.847,50.659,51.128,51.182,51.865,52.157,52.764,52.824,52.898,52.363,53.36,53.561,53.641,53.702,54.157,53.897,54.157,54.633,54.8,54.941,54.827,54.967,55.288,55.857,56.112,56.023,56.233,56.039,56.69,56.617,56.974,57.002,57.361,57.564,57.91,57.615,57.606,57.236,57.674,57.659,58.486,58.147,58.763,58.398,58.928,58.568,58.778,58.729,59.79,58.744,59.31,59.736,59.219,59.562,59.558,60.062,60.191,60.541,60.266,60.438,60.668,60.74,60.637,61.186,60.885,60.866,61.216,61.193,61.696,61.034,61.582,61.619,62.067,61.486,61.516,62.239,62.201,62.301,62.242,62.357,62.546,62.81,62.543,62.819,62.976,62.738,62.929,62.976,63.338,63.074,63.521,63.482,63.616,64.189,64.257,64.259,64.055,64.275,64.532,64.727,64.429,64.813,64.92,64.776,65.346,65.033,65.315,65.334,65.355,65.49,65.764,66.183,65.765,65.832,66.353,65.947,66.421,66.287,66.522,66.622,66.859,66.756,66.743,66.811,66.892,66.99,67.411,67.679,67.543,67.662,67.577,67.778,67.779,67.88,68.215,68.098,68.249,68.282,68.55,68.5,68.567,68.617,68.768,68.684,68.868,68.986,68.801,68.852,69.672,69.354,69.59,69.474,69.93,69.682,69.748,69.648,70.02,70.024,70.089,70.31,70.308,70.499,70.264,70.299,70.729,70.512,70.721,70.812,70.848,71.056,71.214,71.133,71.203,71.325,71.552,71.379,71.225,71.606,71.724
A03,X3,,1,13.589,14.396,15.117,15.335,15.369,15.427,15.381,15.366,15.218,15.296,15.273,15.242,15.226,15.218,15.242,15.222,15.203,15.145,15.156,15.199,15.215,15.211,15.129,15.203,15.199,15.191,15.215,15.257,15.245,15.245,15.153,15.203,15.134,15.218,15.172,15.211,15.211,15.161,15.188,15.161,15.165,15.15,15.161,15.127,15.165,15.153,15.211,15.234,15.211,15.23,15.131,15.23,15.142,15.108,15.207,15.192,15.173,15.161,15.146,15.162,15.146,15.15,15.135,15.113,15.181,15.173,15.181,15.173,15.169,15.139,15.222,15.173,15.109,15.132,15.166,15.136,15.226,15.17,15.203,15.147,15.177,15.155,15.136,15.189,15.129,15.118,15.144,15.17,15.162,15.099,15.147,15.144,15.151,15.11,15.233,15.222,15.151,15.133,15.185,15.196,15.23,15.222,15.118,15.14,15.088,15.185,15.107,15.2,15.218,15.088,15.133,15.095,15.151,15.077,15.118,15.099,15.095,15.174,15.107,15.178,15.178,15.073,15.211,15.155,15.267,15.073,15.066,15.099,15.308,15.207,15.111,15.066,15.163,15.155,15.263,15.289,15.155,15.166,15.163,15.174,15.267,15.152,15.2,15.233,15.062,15.107,15.211,15.218,15.2,15.14,15.222,15.166,15.211,15.188,15.211,15.256,15.249,15.279,15.309,15.275,15.328,15.271,15.362,15.332,15.385,15.408,15.435,15.439,15.511,15.405,15.577,15.44,15.482,15.539,15.554,15.471,15.574,15.505,15.493,15.554,15.554,15.451,15.641,15.644,15.561,15.538,15.63,15.618,15.618,15.644,15.705,15.739,15.713,15.637,15.61,15.652,15.8,15.743,15.705,15.72,15.806,15.662,15.855,15.787,15.775,15.753,15.775,15.853,15.736,15.819,15.759,15.886,15.784,15.81,15.81,15.78,15.802,15.869,16.014,15.763,15.943,15.806,15.822,15.854,16.076,15.963,15.944,15.977,16.013,16.017,16.039,16.173,15.934,16.058,16.06,15.993,15.926,15.993,16.037,16.027,16.1,15.992,16.045,16.035,15.982,16.023,16.08,16.128,16.072,16.248,16.023,15.989,16.049,16.128,16.033,16.023,15.992,16.181,16.088,16.11,16.112,16.124,16.145,16.049,16.214,16.039,16.145,16.015,16.072,16.193,16.187,16.239,16.223,16.145,16.145,16.185,16.128,16.207,16.157,16.159,16.184,16.192,16.236,16.196,16.331,16.41,16.35,16.297,16.009,16.209,16.32,16.264,16.345,16.345,16.245,16.254,16.345
A04,X4,,1,13.791,13.773,13.813,13.801,13.801,13.791,13.777,13.724,13.756,13.69,13.773,13.707,13.693,13.791,13.707,13.728,13.742,13.683,13.763,13.773,13.721,13.679,13.738,13.742,13.773,13.7,13.756,13.731,13.721,13.79,13.665,13.752,13.786,13.735,13.724,13.659,13.728,13.748,13.707,13.748,13.717,13.738,13.817,13.717,13.721,13.779,13.769,13.789,13.7,13.755,13.69,13.686,13.7,13.738,13.734,13.652,13.734,13.724,13.744,13.796,13.68,13.683,13.669,13.683,13.751,13.676,13.853,13.744,13.71,13.748,13.697,13.748,13.72,13.71,13.747,13.714,13.741,13.754,13.72,13.801,13.73,13.707,13.69,13.808,13.784,13.707,13.767,13.724,13.717,13.787,13.734,13.697,13.774,13.767,13.821,13.811,13.774,13.757,13.744,13.687,13.687,13.777,13.774,13.764,13.78,13.744,13.733,13.858,13.777,13.75,13.821,13.787,13.774,13.837,13.808,13.791,13.854,13.867,13.834,13.871,13.904,13.968,13.77,13.884,13.894,13.901,13.861,13.861,13.901,13.867,13.904,13.961,13.991,13.884,13.891,13.951,14.051,13.894,13.958,14.001,13.964,13.981,14.062,14.031,14.092,14.068,14.005,14.012,14.025,14.032,14.046,14.155,14.199,14.108,14.098,14.14,14.13,14.161,14.257,14.189,14.172,14.217,14.238,14.344,14.225,14.281,14.374,14.378,14.349,14.378,14.513,14.41,14.417,14.441,14.558,14.542,14.577,14.645,14.737,14.661,14.764,14.867,14.853,14.994,15.047,15.127,15.253,15.447,15.584,15.679,15.979,16.184,16.329,16.8,17.048,17.467,17.681,18.344,18.887,19.376,20.074,20.951,21.583,22.606,23.543,24.993,26.303,27.795,29.534,31.571,33.22,34.997,36.321,37.863,39.051,40.011,40.286,40.704,41.46,42.115,42.255,42.162,42.406,42.817,43.173,43.074,43.458,43.424,43.876,44.324,44.291,44.257,44.347,44.345,44.527,44.661,44.56,44.728,44.495,44.46,44.484,44.83,44.684,44.683,44.963,45.086,44.783,44.996,44.895,45.051,44.717,45.086,45.332,45.465,45.187,45.253,45.265,45.132,45.722,45.555,45.455,45.354,45.254,45.332,45.132,45.532,45.354,45.466,45.499,45.487,45.566,45.408,45.633,45.734,45.532,45.644,45.543,45.475,45.667,45.565,45.904,45.757,45.848,45.723,46.02,45.804,45.552,46.044,46.102,45.942,45.758,45.965,46.034,46.034,45.632,46.035,46.276
A05,X5,,1,38.143,38.1,38.197,38.267,38.057,38.028,38.261,38.1,38.307,37.995,38.077,38.052,38.222,38.098,38.087,38.021,38.303,37.88,37.978,37.98,38.349,38.079,37.98,37.955,38.05,37.978,38.106,37.83,37.94,37.94,38.159,38.146,38.319,37.684,37.931,37.872,37.975,38.144,37.883,37.902,37.946,38.012,38.04,38.126,37.826,38.141,37.975,37.929,37.907,37.869,37.638,37.937,37.975,37.89,37.812,37.843,37.812,37.955,37.951,38.006,38.105,37.773,37.94,38.122,37.986,37.899,37.986,38.069,37.907,38.018,38.039,37.916,38.01,38.016,37.999,37.788,37.879,37.823,37.823,38.205,37.893,38.022,37.773,38.089,37.957,37.895,38.112,37.942,37.923,37.966,38.003,38.061,37.929,37.977,37.966,38.039,37.996,37.949,37.946,37.839,37.839,37.938,37.895,38.236,38.156,37.845,38.152,37.882,37.812,37.972,38.033,38.041,38.029,37.894,38.029,37.949,38.041,37.884,38.119,38.028,38.028,38.119,37.927,38.206,38.201,37.918,37.899,38.067,38.085,38.018,37.994,38.1,37.957,38.106,37.857,37.872,38.039,38.067,38.191,37.817,38.017,38.096,37.966,37.983,38.057,37.985,38.095,37.912,38.184,38.001,38.106,38.05,38.247,38.005,38.044,38.089,38.02,38.01,37.984,38.222,38.031,38.297,38.116,38.228,38.275,38.162,37.989,38.307,37.991,38.238,37.878,38.29,38.103,38.178,38.216,38.126,38.298,38.057,38.132,38.113,38.181,38.25,38.178,38.135,38.389,38.126,38.115,38.257,38.086,38.101,38.185,38.287,38.135,38.082,37.999,38.154,38.029,38.126,38.116,38.171,38.236,38.012,38.154,38.29,38.228,38.086,38.16,38.069,38.269,38.409,38.122,38.086,38.188,38.101,38.304,38.178,38.387,38.403,38.067,38.157,38.033,38.218,38.087,38.205,38.117,38.224,38.278,38.143,38.203,38.649,38.419,38.386,38.376,38.365,38.29,38.257,38.156,38.19,38.234,38.257,38.225,38.474,38.353,38.141,38.43,38.381,38.304,38.357,38.486,38.236,38.348,38.549,38.363,38.391,38.325,38.65,38.306,38.245,38.464,38.269,38.32,38.18,38.119,38.229,38.178,38.386,38.521,38.162,38.318,38.13,38.33,38.386,38.28,38.54,38.134,38.296,38.172,38.2,38.332,38.451,38.27,38.323,38.394,38.29,38.162,38.37,38.252,38.187,38.544,38.44,38.425,38.316,38.724,38.345,38.423,38.512,38.172
A06,X6,,1,22.267,21.905,21.776,21.817,21.643,21.626,21.868,21.687,21.696,21.477,21.654,21.624,21.637,21.626,21.554,21.478,21.569,21.621,21.428,21.494,21.467,21.615,21.39,21.395,21.494,21.226,21.537,21.429,21.378,21.413,21.38,21.25,21.457,21.188,21.276,21.281,21.385,21.294,21.249,21.363,21.3,21.382,21.363,21.246,21.32,21.407,21.323,21.252,21.22,21.37,21.169,21.198,21.494,21.343,21.44,21.351,21.235,21.322,21.3,21.411,21.253,21.395,21.339,21.409,21.341,21.399,21.205,21.433,21.346,21.249,21.325,21.249,21.343,21.225,21.313,21.231,21.303,21.204,21.238,21.307,21.302,21.419,21.292,21.318,21.416,21.266,21.154,21.325,21.18,21.32,21.206,21.302,21.366,21.289,21.32,21.405,21.266,21.374,21.252,21.167,21.167,21.304,21.299,21.351,21.358,21.353,21.438,21.374,21.252,21.478,21.421,21.335,21.4,21.543,21.467,21.542,21.369,21.337,21.505,21.51,21.543,21.605,21.242,21.512,21.595,21.404,21.427,21.528,21.505,21.438,21.61,21.494,21.489,21.512,21.623,21.478,21.679,21.528,21.522,21.505,21.447,21.473,21.595,21.547,21.723,21.505,21.711,21.554,21.676,21.653,21.775,21.671,21.754,21.77,21.855,21.751,21.687,21.783,21.894,21.792,21.853,21.87,21.902,21.771,22.003,21.729,21.801,21.772,21.831,22.08,21.855,22.061,22.072,22.159,22.147,22.071,22.312,22.003,22.192,22.078,22.49,22.49,22.502,22.525,22.588,22.725,22.862,23.084,23.05,23.21,23.301,23.575,23.723,23.883,24.066,24.078,24.349,24.642,24.772,25.049,25.263,25.592,25.845,26.05,26.303,26.902,27.052,27.216,27.665,28.033,28.285,28.717,29.023,29.246,29.856,30.135,30.927,31.061,31.485,31.73,32.19,32.523,33.095,33.526,33.905,34.183,34.982,35.318,35.786,36.298,36.171,36.842,37.403,37.828,38.123,38.558,38.994,39.397,39.808,40.47,40.836,41.217,41.502,41.563,42.015,42.639,43.003,43.32,43.519,43.641,44.315,44.885,44.662,45.264,45.555,45.689,46.001,46.335,46.759,47.059,47.129,47.399,47.33,47.878,47.973,47.982,48.402,48.548,48.787,48.948,49.503,49.56,49.613,50.058,49.585,50.317,49.938,50.618,50.838,50.681,50.858,51.053,50.988,51.008,51.486,51.73,51.551,51.396,51.667,51.242,51.577,52.064,52.345,52.207,52.117,52.453,52.207
A07,X7,,1,11.134,11.316,11.417,11.501,11.396,11.388,11.3,11.28,11.283,11.28,11.263,11.3,11.359,11.283,11.3,11.33,11.341,11.35,11.393,11.338,11.324,11.347,11.338,11.376,11.338,11.307,11.359,11.339,11.33,11.33,11.313,11.333,11.402,11.319,11.276,11.313,11.279,11.302,11.262,11.371,11.27,11.362,11.302,11.345,11.279,11.339,11.365,11.348,11.262,11.354,11.322,11.354,11.365,11.34,11.405,11.394,11.337,11.294,11.317,11.371,11.394,11.363,11.351,11.368,11.368,11.363,11.266,11.329,11.335,11.337,11.323,11.337,11.315,11.307,11.349,11.479,11.377,11.327,11.36,11.344,11.341,11.349,11.302,11.349,11.431,11.389,11.316,11.403,11.431,11.333,11.344,11.408,11.389,11.383,11.501,11.391,11.389,11.375,11.364,11.506,11.372,11.425,11.523,11.38,11.366,11.397,11.389,11.308,11.397,11.375,11.333,11.405,11.389,11.358,11.422,11.308,11.506,11.456,11.556,11.492,11.392,11.456,11.459,11.475,11.484,11.389,11.45,11.484,11.456,11.556,11.492,11.484,11.581,11.542,11.548,11.542,11.542,11.584,11.548,11.59,11.625,11.472,11.651,11.625,11.648,11.657,11.593,11.565,11.677,11.682,11.727,11.661,11.737,11.78,11.872,11.907,12.029,12.026,12.084,12.186,12.269,12.38,12.501,12.64,12.758,12.88,13.108,13.248,13.563,13.693,13.93,14.342,14.589,14.99,15.245,15.883,16.192,16.674,17.383,17.923,18.747,19.4,19.963,21.122,22.074,23.204,24.37,25.824,27.023,28.721,30.247,31.513,33.103,34.421,35.705,37.572,38.337,39.221,40.511,41.452,42.401,42.891,43.269,43.473,44.974,44.973,45.485,45.893,45.95,46.744,46.733,47.013,47.556,47.533,47.872,48.63,48.933,48.148,49.365,49.016,49.281,49.104,49.051,49.111,49.441,49.439,49.681,50.622,50.12,50.334,49.794,49.894,50.352,50.224,50.696,50.562,50.495,50.394,50.32,50.663,50.375,50.652,51.249,50.788,50.86,51.421,51.564,50.964,51.438,51.06,51.589,50.985,51.798,51.601,50.877,51.119,51.488,50.982,51.408,51.438,51.082,50.784,51.182,51.831,51.551,51.337,51.082,51.563,51.874,51.434,51.32,51.654,51.299,52.186,51.713,51.637,51.223,52.005,51.278,52.341,51.299,51.392,51.839,52.202,52.169,51.867,51.791,52.186,51.701,51.689,52.059,51.134,51.759,52.138,52.048,52.039,51.759
A08,X8,,1,13.69,13.634,13.778,13.94,13.94,13.965,13.986,13.899,13.825,13.864,13.773,13.846,13.728,13.756,13.742,13.728,13.742,13.717,13.728,13.703,13.79,13.749,13.703,13.742,13.738,13.596,13.825,13.801,13.755,13.755,13.665,13.752,13.821,13.735,13.724,13.831,13.693,13.783,13.776,13.714,13.786,13.807,13.783,13.683,13.686,13.745,13.666,13.789,13.734,13.858,13.724,13.721,13.734,13.738,13.803,13.789,13.631,13.792,13.813,13.898,13.748,13.785,13.772,13.819,13.819,13.71,13.819,13.812,13.71,13.68,13.798,13.849,13.788,13.778,13.714,13.781,13.774,13.754,13.72,13.734,13.73,13.808,13.791,13.808,13.784,13.774,13.767,13.892,13.885,13.586,13.801,13.798,13.808,13.7,13.888,13.811,13.808,13.757,13.777,13.988,13.787,13.811,13.808,13.764,13.848,13.777,13.867,13.858,13.777,13.817,13.787,13.687,13.875,13.77,13.808,13.791,13.787,13.834,13.834,13.737,13.837,13.867,13.77,13.851,13.827,13.934,13.827,13.928,13.934,13.767,13.871,13.76,13.857,13.851,13.924,13.851,13.75,13.861,13.857,13.834,13.897,13.847,13.928,13.897,13.824,14.068,13.871,13.878,13.858,13.864,13.979,13.953,13.862,14.041,13.862,14.004,13.995,13.89,13.951,13.917,13.867,13.979,14,13.901,13.987,13.905,13.964,14.035,14.042,13.899,13.998,14.101,14.177,14.166,13.975,14.198,14.027,14.095,14.085,14.112,14.078,14.112,14.201,14.07,14.19,14.135,14.087,14.179,14.179,14.241,14.234,14.165,14.138,14.336,14.241,14.282,14.329,14.272,14.268,14.353,14.304,14.4,14.389,14.321,14.378,14.423,14.412,14.459,14.444,14.357,14.466,14.46,14.426,14.453,14.657,14.559,14.514,14.482,14.589,14.478,14.524,14.458,14.506,14.474,14.559,14.549,14.464,14.564,14.536,14.64,14.697,14.629,14.592,14.547,14.585,14.585,14.686,14.686,14.597,14.719,14.761,14.553,14.772,14.726,14.675,14.783,14.737,14.82,14.629,14.737,14.816,14.716,14.708,14.719,14.661,14.682,14.787,14.843,14.75,14.94,14.772,14.816,14.805,14.91,14.843,14.73,14.906,14.809,14.931,14.849,14.942,14.821,14.874,14.896,14.929,14.933,14.91,14.955,14.907,14.94,14.962,14.902,14.84,14.934,14.998,15.04,14.841,15.028,14.875,14.798,15.012,14.816,15.103,15.103,14.935,15.011,14.897
B01,X9,,1,15.17,15.33,15.398,15.335,15.439,15.497,15.451,15.436,15.392,15.471,15.517,15.521,15.505,15.497,15.416,15.5,15.377,15.493,15.435,15.477,15.458,15.385,15.477,15.377,15.616,15.469,15.458,15.534,15.523,15.453,15.534,15.583,15.479,15.494,15.483,15.487,15.59,15.574,15.532,15.574,15.372,15.563,15.643,15.333,15.337,15.497,15.417,15.509,15.52,15.401,15.474,15.607,15.485,15.553,15.481,15.466,15.481,15.469,15.557,15.537,15.522,15.526,15.612,15.555,15.385,15.649,15.657,15.547,15.441,15.716,15.731,15.648,15.584,15.572,15.639,15.677,15.53,15.507,15.608,15.518,15.581,15.626,15.574,15.593,15.768,15.655,15.681,15.708,15.801,15.704,15.72,15.716,15.655,15.748,15.805,15.894,15.756,15.77,15.721,15.766,15.766,15.693,15.89,15.912,15.725,15.654,15.743,15.737,15.855,15.724,15.805,15.8,15.89,15.881,15.756,15.904,15.968,15.877,15.944,15.948,16.149,15.944,16.149,16.059,15.97,16.078,16.171,16.271,16.045,16.145,16.283,16.338,16.334,16.326,16.535,16.46,16.527,16.773,16.736,16.782,16.737,16.958,16.941,16.937,17.037,17.083,17.188,17.263,17.414,17.356,17.474,17.492,17.538,17.652,17.707,17.793,17.993,17.989,18.058,18.058,18.047,18.06,18.224,18.126,18.353,18.141,18.207,18.383,18.278,18.383,18.322,18.322,18.331,18.351,18.267,18.358,18.496,18.186,18.345,18.164,18.267,18.232,18.145,18.109,18.132,18.173,18.132,18.118,18.118,18.212,18.066,18.1,18.178,18.203,17.972,18.187,18.262,18.173,18.169,17.975,18.23,18.051,18.037,18.139,18.126,18.242,18.126,18.269,18.149,18.405,18.21,18.33,18.16,18.253,18.253,18.325,18.244,18.305,18.457,18.503,18.375,18.3,18.352,18.514,18.503,18.523,18.5,18.567,18.631,18.67,18.656,18.622,18.752,18.746,18.743,18.609,18.743,18.743,18.682,18.877,18.711,18.902,18.791,18.886,18.83,18.839,19.001,18.877,19.092,19.068,18.973,19.174,19.064,19.179,19.045,19.174,19.237,19.223,19.232,19.318,19.16,19.14,19.327,19.366,19.39,19.461,19.26,19.433,19.562,19.619,19.519,19.412,19.494,19.625,19.489,19.538,19.813,19.523,19.74,19.649,19.712,19.62,19.742,19.606,19.713,19.801,19.88,19.9,19.925,19.857,19.798,19.813,19.931,20,19.936,20.015,19.931
