FILE NAME,jose_20140604_112830.csv
PROTOCOL,jose
FILE_VERSION,3.3
DATE START,4.6.2014,11:29:02
DATE END,4.6.2014,11:29:02
DEVICE,BL053-CX_OEDE43
USER,rlennen,COMMENT,no comment available
PLATETYPE,MTP-48-Flowerplate,LOT,1120-std-Temp37
MTP ROWS,6
MTP COLUMNS,8
FILTERSETS,1

FILTERSET,FILTERNAME,EX [nm],EM [nm],LAYOUT,FILTERNO,GAIN,PHASESTATISTICSSIGMA,SIGNALQUALITYTOLERANCE,REFERENCE VALUE,Process Parameters,,Calibration Parameters,,,,Criterion Parameters,,
1,Biomass,620,620,Anna,1,10,1,0,100,SET TEMPERATURE [C],37,Phi0,72.01,Biomass Slope,0,CRITERION,,
,,,,,,,,,,SET HUMIDITY [%],85,Phi100,42.41,Biomass Offset,0,FI,,
,,,,,,,,,,SET O2 [%],20.95,Phi.min,55.88,Biomass Unit,OD600 [-],FJ,,
,,,,,,,,,,SET CO2 [%],0,Phi.max,13.69,,,FACTOR,0,
,,,,,,,,,,SET SHAKER FREQUENCY [rpm],1000,pH0,5.92,,,S0,NaN,
,,,,,,,,,,SET CYCLE TIME [min],10,dpH,0.53,,,EXTRA INFO,,
,,,,,,,,,,SET EXP TIME [h],-1,Temp. Compensation for pH Calibration,False,Temp. pH [C],37,,,
,,,,,,,,,,,,Temp. Compensation for pO2 Calibration,False,Temp. pO2 [C],37,,,

WELL No.,CONTENT,DESCRIPTION,CHANNEL,
,,,READING ->,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158
,,,TIME [h] ->,0.00508,0.17167,0.33833,0.50501,0.67173,0.83841,1.00507,1.17169,1.33849,1.50515,1.67186,1.83854,2.00514,2.17181,2.33857,2.50529,2.67193,2.83855,3.00535,3.17202,3.3387,3.5054,3.67209,3.83872,4.00542,4.17217,4.33879,4.50545,4.67222,4.83893,5.00553,5.17226,5.33894,5.50573,5.67226,5.83901,6.00568,6.1723,6.33906,6.50565,6.67242,6.83909,7.00582,7.1724,7.33916,7.50586,7.6725,7.83917,8.00587,8.17251,8.3393,8.50588,8.67263,8.8394,9.00596,9.17271,9.33934,9.50606,9.67278,9.83943,10.00607,10.17284,10.33948,10.50615,10.67286,10.83951,11.00616,11.17287,11.33958,11.50631,11.6729,11.83957,12.00634,12.173,12.33968,12.50634,12.67302,12.8398,13.00643,13.17315,13.3398,13.50658,13.67318,13.83983,14.00647,14.17325,14.3398,14.50653,14.67327,14.84,15.00674,15.17328,15.34003,15.50671,15.6734,15.84005,16.00683,16.17345,16.34007,16.50673,16.67355,16.84011,17.00692,17.17356,17.34026,17.50686,17.67364,17.8402,18.00693,18.17365,18.34034,18.50701,18.6737,18.84038,19.00712,19.17376,19.34042,19.50717,19.67375,19.84047,20.0072,20.17388,20.34056,20.50728,20.67397,20.84064,21.00719,21.17409,21.34062,21.50734,21.67405,21.84068,22.00754,22.1741,22.3408,22.50751,22.67415,22.84085,23.00754,23.17428,23.34099,23.5076,23.67427,23.84097,24.00771,24.17433,24.34104,24.50774,24.67437,24.84103,25.00769,25.17443,25.34115,25.50778,25.67454,25.84121,26.00789,26.17456
A01,X1,,1,11.369,12.252,13.795,14.342,15.2,15.959,15.212,16.405,18.506,19.237,17.278,19.01,16.905,17.702,18.31,19.588,19.475,22.139,20.758,18.989,19.585,18.011,19.595,19.777,20.205,18.974,20.226,19.25,18.463,17.627,19.524,20.208,18.187,20.712,17.897,19.364,18.92,19.439,19.364,20.317,19.313,20.542,18.55,18.495,19.633,18.687,19.02,17.634,17.116,16.608,16.361,16.141,16.062,15.713,15.228,15.233,14.879,14.713,14.605,14.384,14.146,14.36,14.304,14.205,14.347,14.43,14.406,14.556,14.799,14.846,14.967,15.201,15.43,15.654,15.951,16.132,16.613,16.956,17.347,17.731,18.123,18.629,19.078,19.71,20.358,21.224,21.549,22.085,22.908,23.927,24.896,25.426,26.899,27.504,29.352,30.62,31.572,32.06,33.767,34.993,35.522,35.884,36.952,38.991,38.635,40.251,40.524,39.874,40.619,41.216,41.376,42.134,41.421,41.572,41.142,41.876,41.635,40.676,42.388,41.668,41.612,42.199,42.201,42.165,42.257,41.811,42.317,42.539,43.006,42.789,42.432,42.318,42.439,42.872,42.446,43.317,43.003,42.889,43.929,43.32,44.209,42.886,43.08,43.267,44.214,43.831,44.645,44.787,43.861,44.445,44.24,44.397,45.54,45.214,45.667,44.061,45.094,45.499
A02,X2,,1,11.284,11.824,12.711,14.32,18.071,18.476,19.688,17.225,16.676,16.207,19.282,16.77,17.531,19.117,16.776,16.253,16.746,15.493,18.886,18.872,18.318,17.471,17.034,16.857,19.71,18.69,18.171,17.072,17.276,16.843,17.952,17.205,18.092,17.208,17.587,17.959,16.746,16.961,16.53,15.863,15.736,15.942,15.712,15.666,15.706,16.164,15.564,15.754,15.904,15.941,16.456,16.664,16.941,17.066,17.94,18.91,19.626,19.958,20.922,21.124,22.359,23.118,24.116,24.877,25.873,27.106,28.836,30.321,30.875,31.799,32.938,34.664,36.114,37.773,37.983,38.981,40.634,40.567,42.219,43.216,43.997,43.665,43.523,44.778,45.155,45.8,45.037,46.297,46.478,46.862,46.58,46.485,47.139,47.778,47.789,48.327,48.656,48.397,47.245,49.046,49.137,48.128,48.42,47.624,49.183,47.75,48.403,50.084,47.813,48.27,48.826,47.763,49.889,48.811,49.673,49.355,50.382,48.986,50.998,49.445,49.5,50.62,49.58,51.372,50.548,50.805,50.479,52.3,51.697,51.848,50.999,52.199,52.216,52.131,53.265,53.22,54.107,55.872,54.64,55.013,56.289,55.977,55.973,56.481,57.002,55.275,57.38,57.648,58.877,58.364,58.337,59.728,60.378,61.127,61.286,61.681,62.631,64.999
A03,X3,,1,10.517,11.181,11.236,11.769,12.418,12.093,13.359,12.856,12.81,13.039,13.96,13.906,14.261,14.431,14.499,15.554,14.717,16.499,14.978,14.892,15.035,17.354,16.963,19.117,18.908,22.329,20.722,19.274,19.317,19.052,18.429,18.826,18.806,16.613,16.872,17.816,17.462,17.009,16.887,15.744,15.283,15.013,14.425,14.24,13.731,13.76,13.037,12.85,12.623,12.396,12.532,12.647,12.854,13.292,13.372,13.762,14.144,14.666,15.198,15.57,16.021,17.279,18.034,19.256,20.49,21.585,23.054,24.939,27.187,29.218,30.975,33.67,36.09,39.43,42.622,44.61,49.106,49.732,45.864,43.854,42.934,43.972,44.445,44.872,44.824,45.045,44.611,45.493,47.022,46.508,46.391,48.067,48.083,49.691,49.227,49.389,49.363,50.64,49.861,52.324,51.823,51.195,52.596,50.974,52.973,52.749,53.073,53.928,53.805,54.828,54.508,54.852,56.093,55.036,55.399,57.282,55.38,55.553,55.22,54.583,54.602,56.163,54.578,53.993,53.241,53.001,52.059,52.607,51.106,51.588,50.218,49.599,47.422,47.336,47.407,46.688,44.535,43.645,42.56,41.95,40.804,39.696,39.035,37.962,36.778,36.565,37.208,38.25,38.539,37.855,38.63,37.327,37.37,36.995,37.5,38.267,38.103,38.139
A04,X4,,1,10.006,10.56,11.431,11.857,11.372,12.453,13.087,12.901,14.549,15.449,15.296,13.721,14.586,14.825,18.752,15.041,15.463,14.416,15.844,14.587,15.949,15.147,16.094,15.704,16.244,15.997,15.146,14.23,14.69,14.586,14.548,14.346,14.259,14.015,14.012,14.267,14.142,13.65,13.147,13.147,13.137,12.749,12.78,12.457,12.446,12.284,12.179,11.922,12.124,12.158,12.318,12.433,12.664,12.888,12.92,13.43,13.764,14.262,14.629,15.096,15.736,16.187,17.012,17.525,18.474,19.406,20.685,21.668,23.074,25.335,26.743,29.218,31.499,33.605,36.895,38.508,40.989,45.73,47.023,47.92,44.966,43.972,42.105,42.7,43.148,43.251,43.619,44.808,44.705,45.564,46.202,46.32,47.092,47.116,47.671,47.642,47.499,47.406,48.589,49.141,49.231,49.756,49.34,49.747,49.418,50.084,50.408,50.956,51.092,50.7,52.645,51.743,53.262,53.197,52.618,54.168,54.437,54.494,53.121,52.792,51.201,50.691,49.557,51.112,48.47,49.247,47.766,47.762,45.982,45.06,43.947,42.318,40.148,38.006,37.935,37.492,37.887,37.791,38.101,37.888,37.518,38.09,38.088,37.062,36.802,37.467,38.111,37.655,38.325,38.069,37.964,38.85,39.061,39.163,39.452,39.317,39.392,38.904
A05,X5,,1,10.091,10.431,11.67,11.835,13.976,12.453,13.494,14.494,14.526,15.518,15.642,15.014,15.374,15.498,15.127,15.391,16.606,18.044,18.067,17.046,19.35,19.021,19.806,17.305,18.036,17.225,15.973,19.25,17.039,18.126,15.619,18.087,15.831,18.472,18.373,18.364,16.865,17.247,16.506,18.387,16.547,16.252,16.833,16.855,15.087,16.307,15.063,15.896,17.069,15.18,15.981,15.809,15.42,14.858,16.346,16.324,16.09,15.259,15.293,14.929,14.692,14.407,13.805,13.731,13.565,13.245,13.245,13.347,13.144,13.094,13.099,13.236,13.608,13.759,13.844,14.05,14.034,14.185,14.483,14.799,15.052,15.272,15.461,15.909,16.319,16.762,17.225,17.857,18.558,18.83,19.487,20.138,20.594,21.951,22.539,23.184,24.186,24.742,26.085,26.905,28.149,28.783,29.896,31.113,32.184,32.894,34.745,35.606,37.387,37.983,37.58,39.897,38.59,38.86,39.493,39.257,40.173,40.111,41.067,40.843,40.762,41.374,41.588,40.913,40.84,41.575,41.798,41.547,41.046,41.795,41.746,41.254,41.494,42.045,41.076,41.595,41.824,42.37,41.805,42.824,42.53,42.107,42.607,41.751,42.793,43.356,42.625,42.743,42.031,42.494,42.22,42.802,43.872,43.737,43.619,43.465,42.899,43.803
A06,X6,,1,10.687,12.081,13.318,13.176,14.243,15.24,16.071,16.041,16.722,17.125,17.024,18.595,17.067,18.607,18.635,18.935,20.384,19.284,19.729,20.839,19.796,20.548,19.219,18.67,17.823,18.218,18.289,19.155,17.917,17.817,17.738,17.539,16.497,16.708,16.109,16.41,15.862,15.985,15.148,15.172,14.997,14.918,14.878,15.262,15.016,15.14,15.683,15.944,16.118,16.132,16.456,16.76,17.178,18.063,18.202,19.195,19.649,20.243,21.349,21.742,22.762,23.783,24.188,25.991,27.059,27.485,29.357,30.084,31.514,32.344,33.718,35.02,35.664,37.796,40.373,40.778,42.456,43.409,44.065,44.776,44.611,44.162,45.296,44.99,47.328,46.013,46.525,48.186,48.228,48.585,49.107,49.295,50.658,49.242,49.722,49.365,50.614,50.097,49.767,48.787,49.467,50.818,50.071,51.328,50.548,49.542,51.375,50.721,50.361,49.567,50.264,50.424,50.549,51.428,51.322,50.652,51.514,49.88,49.7,52.156,52.429,51.776,50.83,51.443,51.918,53.119,52.507,52.063,52.689,53.693,54.005,53.713,54.058,54.186,53.808,54.776,55.05,55.494,55.395,55.839,56.668,56.898,57.487,58.423,58.636,59.169,58.236,58.789,60.493,63.17,64.257,67.226,68.238,69.965,71.357,72.124,72.771,74.104
A07,X7,,1,10.113,10.903,11.887,12.583,12.374,11.958,13.494,14.744,15.395,14.669,14.559,14.506,15.328,14.384,18.682,14.201,14.95,15.212,13.761,15.477,14.683,16.509,14.426,16.339,16.055,15.831,15.075,14.657,15.52,14.254,15.619,15.037,15.259,14.539,14.012,13.695,13.664,13.412,13.386,13.767,12.875,13.059,12.279,12.267,13.184,12.712,12.346,12.137,12.1,12.039,12.057,12.124,12.094,12.366,12.468,12.741,12.839,13.337,13.797,14.336,14.977,15.452,16.347,16.932,17.976,19.145,20.187,21.36,22.885,24.317,26.435,28.271,29.89,33.344,35.333,38.508,40.823,43.906,45.58,46.998,45.273,43.074,42.767,43.668,43.266,43.699,42.461,44.879,44.847,45.14,46.367,45.328,46.525,46.502,46.067,47.547,47.216,47.406,49.696,49.141,50.244,48.789,48.726,51.163,49.936,51.216,50.691,51.852,53.639,52.917,52.763,51.743,53.805,53.81,53.254,53.389,52.834,55.2,54.158,52.886,52.618,53.144,52.739,51.466,50.525,52.576,49.158,49.771,48.556,48.537,47.804,46.88,45.131,44.1,43.698,41.572,40.834,39.608,38.243,37.392,37.424,37.57,37.639,37.654,38.483,38.369,38.824,37.964,37.351,37.593,37.275,37.993,38.108,38.234,37.619,39.126,38.628,38.665
A08,X8,,1,10.198,12.98,15.401,16.718,18.049,20.342,19.1,17.361,19.192,18.617,17.623,18.479,18.273,16.658,18.217,19.541,16.606,17.646,18.231,17.912,16.325,16.79,16.682,18.34,17.682,18.336,17.225,16.669,18.771,16.083,16,16.896,16.664,17.423,17.205,16.982,16.483,17.819,16.53,16.982,16.213,16.205,15.784,15.286,15.587,14.545,14.038,14.873,14.525,13.752,13.365,12.956,12.949,13.173,13.229,13.596,13.764,14.191,14.676,15.167,15.855,16.662,17.392,18.308,19.422,20.543,21.064,23.256,24.894,27.727,29.438,32.155,34.907,35.878,40.492,43.144,45.911,48.264,49.627,44.965,43.312,42.152,43.05,42.016,45.651,43.865,43.784,44.927,45.273,45.8,46.202,45.682,46.123,47.258,47.906,48.681,47.924,48.209,48.4,47.325,49.467,49.402,48.774,49.559,49.771,50.485,50.431,50.296,49.417,50.322,50.736,52.238,51.021,52.371,52.406,50.818,50.618,48.986,47.86,46.759,47.092,46.209,44.417,43.062,42.635,41.268,37.741,38.214,36.889,36.119,38.386,38.275,37.999,38.147,38.714,37.657,36.543,37.531,36.993,38.242,38.038,38.869,37.686,38.365,38.436,38.393,39.061,39.177,39.156,38.021,38.63,39.588,39.299,38.282,38.095,37.695,38.771,37.805
B01,X9,,1,11.497,11.588,12.451,12.341,12.863,12.722,13.11,12.219,13.062,12.763,12.947,13.536,12.661,13.108,13.221,13.478,13.411,12.778,12.918,13.651,13.088,13.197,13.369,13.09,13.25,13.185,13.303,13.615,13.242,13.256,13.024,13.011,12.879,13.109,12.964,12.957,12.852,12.959,12.933,13.005,13.161,13.107,13.257,13.431,13.588,13.688,13.967,14.112,14.382,14.561,14.815,15.191,15.539,16.093,16.512,16.989,17.703,18.202,19.046,19.748,20.531,21.362,22.524,23.881,24.806,26.703,27.651,28.969,30.757,32.628,34.522,36.156,38.859,40.922,43.829,46.502,48.491,51.153,52.68,52.932,51.109,50.474,49.883,50.301,51.154,50.64,51.605,52.107,52.27,53.068,53.17,54.394,54.318,54.488,54.437,55.48,55.593,55.527,55.846,56.427,56.416,57.518,57.174,57.083,57.705,58.243,58.687,58.644,59.772,59.57,61.392,60.74,61.518,61.308,61.949,62.071,62.099,62.686,61.73,62.219,63.458,63.664,63.655,63.648,62.004,61.382,61.07,59.886,59.089,59.11,58.288,58.464,58.239,58.249,58.886,58.078,58.351,59.082,59.405,58.745,59.481,59.805,60.161,60.863,60.484,61.187,61.657,61.737,61.966,62.813,63.496,63.965,63.903,64.152,63.81,64.065,65.207,64.999
