GENE	MEDIUM	MEDIUM:STRAIN	STRAIN	medium_direction	strain_direction	interaction_direction
thrL	1.1508137303287214	0.5184957334264908	0.006374804079158025	-1.0	1.0	-1.0
rnhB	0.3393204149520024	1.5311119185567437	1.5696529409944517	1.0	1.0	1.0
yedL	14.264663870068329	0.176513496728246	0.5887436281549925	-1.0	-1.0	1.0
fliH	0.031567712014986316	0.11720409750386157	0.8583814820033675	1.0	-1.0	-1.0
fliF	0.21677166032303286	0.39507953916142735	4.482659176860813	1.0	-1.0	-1.0
fliG	0.12237528999675895	1.4775950295814293	1.2176684295299665	1.0	-1.0	-1.0
fliI	0.024776216832709586	0.011842744737495525	1.462563633152759	1.0	-1.0	-1.0
fliK	0.04728269887285341	0.1083270247261231	1.4380102790605183	-1.0	-1.0	-1.0
fliJ	0.007000032891498753	0.6381167989117762	2.1197840244979176	1.0	-1.0	-1.0
fliL	0.04354398647650992	1.452187710790013	5.967103565158322	1.0	-1.0	-1.0
fliN	0.006180855107559058	0.769045745803072	3.748670084047931	1.0	-1.0	-1.0
lpxB	1.0134214810418223	0.7576439477551702	1.358964850654973	1.0	1.0	1.0
fliM	0.03816372872007312	0.6147935013232448	4.450820639500862	1.0	-1.0	-1.0
fliP	0.002195339226269022	0.0727481137726127	0.09913489061588687	1.0	-1.0	-1.0
fliO	0.0011263659979161567	0.18576501387395838	1.204364765697496	1.0	-1.0	-1.0
fliQ	1.7252659577205005	1.5033071148332988	4.9369283845254746	1.0	-1.0	1.0
fliR	0.00048369285249444394	0.0006010835378545409	0.7788248472779051	-1.0	-1.0	-1.0
rcsA	0.827899375365206	0.6025194137470131	0.7704063409307129	-1.0	1.0	1.0
yodD	0.02187337233202946	1.559103120365684	0.16205454663115404	-1.0	-1.0	-1.0
yedP	0.05753892563815022	0.5119965246519733	0.21438972503324116	-1.0	-1.0	-1.0
yedA	0.46498441221128206	0.5691722344229266	0.3860945351455358	-1.0	-1.0	1.0
lpxA	0.3392868927522028	0.005306876418762041	0.31037422252872426	1.0	1.0	1.0
hchA	1.3091490823193617	0.9145541875030192	0.014637177370175891	-1.0	1.0	-1.0
hiuH	1.05164865902408	1.33950834822994	0.19956070760874844	-1.0	1.0	-1.0
yedY	0.4283682228988892	0.4552096005068367	0.1341229952313332	-1.0	1.0	-1.0
yedZ	1.1195437939339747	0.36187051917380053	1.0149296800438492	-1.0	1.0	-1.0
zinT	0.00037295166131667834	0.05686552342040735	3.2126384690086596	1.0	1.0	1.0
yodB	0.019875237509163313	0.6406222744258978	0.10461248201158124	1.0	-1.0	1.0
mtfA	1.019829695234093	0.16799651652057046	0.03585679225935667	1.0	-1.0	-1.0
yeeJ	5.068060767432492e-05	0.14599882260950364	0.038087061301466996	-1.0	1.0	-1.0
shiA	2.852092359249743	0.015173579609935262	1.0102438193478718	-1.0	-1.0	1.0
amn	0.24055806208078456	0.02565957430799104	0.6755901705999938	-1.0	-1.0	-1.0
dnaE	0.30591452479894365	0.3402102532314188	0.5930195606282906	1.0	1.0	1.0
yeeN	0.16233640861821375	0.1271471142414817	0.206183680418218	-1.0	1.0	1.0
flu	0.03799386371915309	0.005031178294877162	4.231238001105016	-1.0	-1.0	1.0
yeeR	0.27779039481517565	0.19387808781414495	0.027268832520573605	-1.0	1.0	-1.0
yeeS	0.9673931986920778	0.044414478654704936	0.2447547358273927	-1.0	1.0	-1.0
yeeT	0.11712949972002562	7.526246204632669	0.11712949972002207	-1.0	1.0	-1.0
cbeA	0.4500621189736247	3.11919379214487e-11	2.9223577037642237	1.0	1.0	1.0
accA	0.0024061087707636375	0.020359446864455677	0.18297195832320057	1.0	1.0	-1.0
cbtA	0.18229843652727418	0.3466569292873931	1.8226175403153828	1.0	1.0	-1.0
sbcB	1.527571215553007	0.05016717114130509	0.054290470918197054	1.0	-1.0	-1.0
hisG	2.446864730600794	0.6378247014910237	0.5743139142948444	-1.0	1.0	-1.0
hisC	0.5458518872133409	0.05950757262779316	0.10457184584463963	-1.0	-1.0	1.0
hisD	0.7091563720807494	0.020040929483200354	0.00129670560244044	-1.0	1.0	-1.0
hisB	0.3382361160222338	0.01746340319872175	0.08780564306733041	-1.0	-1.0	1.0
hisH	0.45230869155516995	0.003067783162559623	0.05871677546117393	-1.0	-1.0	-1.0
hisA	1.1219093346351965	0.0011718706729286765	0.000704802837183216	-1.0	1.0	-1.0
ldcC	0.008607170344128834	0.03850733924438199	0.004760068754286362	-1.0	1.0	-1.0
hisF	0.9193745155453676	0.008470511126983382	0.011708871998346027	-1.0	-1.0	-1.0
hisI	0.4359883037220058	0.07707204663772771	0.0366442907193445	-1.0	-1.0	1.0
yegH	0.06045863547748387	0.030640401589878352	0.03370021518767785	1.0	-1.0	-1.0
yegE	0.17480143876167942	0.044078556171189165	0.32020731653914014	1.0	-1.0	1.0
yegD	0.7600155326633624	0.008146914370054326	0.9646836710903206	1.0	1.0	1.0
yegJ	0.0019365436066643982	0.009828748843335067	0.9095687698208093	1.0	1.0	-1.0
mdtA	0.06763324464663695	0.02523454374660955	0.3221055270158528	1.0	-1.0	-1.0
mdtB	0.32357434420098274	0.005664203338545448	0.18969469329314548	1.0	-1.0	-1.0
mdtC	0.47528335487390394	0.08763380732663889	0.08650596507404401	1.0	-1.0	-1.0
mdtD	0.4505897199413216	0.004024882485652914	0.01406316487249104	1.0	1.0	1.0
yaeR	0.5882953772545496	0.02135645025335209	0.24463647502392072	-1.0	1.0	-1.0
baeS	0.2702834187689068	0.06976327230838858	0.01179739002358482	1.0	-1.0	-1.0
baeR	0.9190522932747691	0.15502023139675591	0.15119108171722617	1.0	1.0	1.0
yegP	0.8458068025947938	1.0477472111477297	0.6195792183253186	-1.0	-1.0	-1.0
yegQ	0.0006196515361533983	0.0017072485925249126	0.005227604452363588	-1.0	-1.0	-1.0
yegS	2.1487579961706897	0.08697140508820533	0.003600942212813152	-1.0	-1.0	1.0
yegV	0.08917237334295114	0.42860905998328713	1.445205321505615	-1.0	1.0	-1.0
yegU	0.0022807884296349723	0.49110653434100826	2.2463893028489332	-1.0	1.0	-1.0
yegT	0.011078145268844652	0.06007768166843008	0.4523774556715927	1.0	1.0	1.0
tilS	0.003681331558480161	0.07781012684929067	0.0010007214118871177	1.0	1.0	1.0
rcnA	0.07486942835723653	0.00853514184390125	0.22649192497967618	-1.0	-1.0	-1.0
rcnB	1.5290298812276566	0.34444910326209577	0.7824336781480445	1.0	1.0	1.0
metG	0.4309459654421417	0.020060434253029946	0.021768481297959497	1.0	-1.0	1.0
yehI	0.0011166825490635662	0.016072314046149033	0.033436732315509574	-1.0	-1.0	-1.0
yehK	0.4935113034587939	2.589822914627942	0.29544622378019625	-1.0	1.0	1.0
yehL	0.10833769511351377	0.029172614463608526	2.5016636410585225	1.0	1.0	1.0
yehM	0.11726074716860824	0.05718061264137475	0.8355199408662755	-1.0	1.0	-1.0
yehP	0.12882015342708097	0.06420832048946412	2.1249339453642344	-1.0	1.0	-1.0
yaeQ	0.0004811515534832722	0.007620041275120976	0.021268562925705226	1.0	-1.0	-1.0
yehR	0.43373598453052176	0.49778071488770315	1.2758075489472225	-1.0	1.0	-1.0
mlrA	0.011191224426087665	0.0018956152286477845	0.25052681660672027	-1.0	-1.0	1.0
yohO	23.43259360173385	6.373923611135979e-11	23.43259360173387	-1.0	1.0	-1.0
dld	1.0310988349334265	0.31075427493522834	0.010011831485742029	-1.0	1.0	-1.0
yohD	0.00017796669457281755	0.010743832861600078	0.020204311045127765	1.0	-1.0	1.0
yohP	32.93939573093333	-8.362377457160619e-11	32.939395730933825	1.0	-1.0	-1.0
yohK	0.5391097593334502	0.47166796722693366	0.5184131633808367	-1.0	1.0	-1.0
yohJ	1.3933251081496754	0.08263756923189397	1.1255045257217944	-1.0	1.0	-1.0
cdd	0.023351978281503705	3.9940424853309997	0.0007767496993338341	1.0	-1.0	-1.0
sanA	0.34300471948992656	0.21310871101505785	2.523620098117833	-1.0	1.0	1.0
arfB	0.3434226690269644	0.30144962965943467	0.15291687432665146	1.0	1.0	1.0
yeiS	0.3655768971944169	0.36582539130090375	1.0489751878171525	-1.0	1.0	1.0
preA	0.005027619378230153	0.43794941302258655	0.7895459623061178	-1.0	1.0	-1.0
preT	0.4376473459554089	1.0974940487692633	1.533521743624458	1.0	1.0	-1.0
yeiG	0.04272505705306884	0.2835645157314799	1.2020866897222913	1.0	-1.0	-1.0
yeiH	0.8443080170795842	0.10836454814510255	0.1430947185238789	-1.0	-1.0	1.0
nfo	0.5260031622756856	0.30931119547381325	0.055959727150658445	1.0	-1.0	-1.0
yeiI	0.42076761133047436	0.07241498339059882	0.0395166256410584	1.0	-1.0	-1.0
yeiL	0.6170348384056159	0.203236831922748	0.024536082312287988	-1.0	1.0	1.0
setB	0.02811218416523209	0.12547416295799918	0.05804607692861374	-1.0	1.0	1.0
yeiP	2.0475776756322404	0.014389971770416565	0.06212895175211486	-1.0	-1.0	-1.0
nhaA	0.0020176867624315253	0.22426985443458536	0.013718668586571559	1.0	-1.0	1.0
nlpE	0.05763001266562351	0.013245991160499848	0.18440358087697528	1.0	1.0	-1.0
yeiQ	0.4108295801451103	0.5604435282874571	0.2198429589417592	1.0	1.0	-1.0
yeiR	0.402147978181878	0.021679231751960515	0.01285161675696811	1.0	1.0	1.0
lpxT	0.606551414536777	0.15799810389981883	0.26957553519509214	1.0	-1.0	1.0
mepS	1.1038428118003871	0.4238863645432218	0.4817000118491137	1.0	-1.0	1.0
rtn	0.005714436691849234	0.09676609496081578	0.23135819795312917	1.0	-1.0	1.0
yejA	0.051837831350832975	0.11576392680150122	0.21063404496634752	1.0	-1.0	-1.0
yejE	0.020740295405730524	0.30231597366159435	0.534355181749157	1.0	-1.0	1.0
yejB	0.05207333484041654	0.08054117348368749	0.503922894706376	-1.0	-1.0	1.0
yejF	0.0044505452309805404	0.02534082464675108	2.1897152667545057	1.0	-1.0	-1.0
yejH	0.6827751536127094	0.0012826504516900705	0.141674370342539	1.0	-1.0	-1.0
gmhB	0.0005220215476882117	0.0005633904725348415	0.5195468673670458	-1.0	-1.0	-1.0
rplY	0.06130168115964807	0.5775039286832779	0.0017982417933808392	-1.0	-1.0	1.0
yejL	0.8860178797606437	0.9765535587714922	0.003378332780130222	1.0	1.0	1.0
yejM	0.7245323485966182	0.19257598997846648	0.14990742790410083	1.0	-1.0	1.0
narP	2.7102194508210493	0.9600549342120379	0.024938533132399243	-1.0	1.0	-1.0
eco	3.0046948646552902	1.8986697739724514	0.018076970033725104	1.0	-1.0	-1.0
rcsD	0.8010084681888489	0.00042958358544664677	0.5523456514723203	1.0	-1.0	-1.0
rcsB	0.0031230426481392293	0.02097462442391329	0.11154276456693957	-1.0	-1.0	1.0
atoC	0.013687335850110838	0.015973300011228764	0.25247701122995414	1.0	-1.0	-1.0
atoS	0.5278663951413228	0.3154772246952091	0.1396055879010475	1.0	-1.0	-1.0
atoE	0.3001092606912543	0.07299510491409666	0.214049729057882	1.0	1.0	-1.0
dkgB	0.5010243634024159	0.93465991454654	0.027600744478220918	-1.0	1.0	-1.0
atoA	0.4264082797573834	0.12341963964680547	0.6436298666444369	-1.0	1.0	1.0
atoD	0.14621912674963117	0.04565005463899996	0.04019572442960684	-1.0	-1.0	-1.0
atoB	0.1736912518138375	0.05746024878045186	0.00610867577401164	-1.0	-1.0	-1.0
ubiG	0.47461532803596107	0.0006123324509772488	0.4536225734407253	1.0	-1.0	-1.0
nrdA	0.014007596250769416	0.23111616529319579	0.1443417767592189	-1.0	1.0	1.0
yfaE	0.15174644638432255	0.6695987329740127	0.09220481162951444	1.0	1.0	1.0
nrdB	0.05895927024948294	0.020754868352419464	0.3432042782970379	-1.0	1.0	-1.0
glpB	0.1719278297944168	0.3877339373529741	0.3787090905345176	1.0	1.0	-1.0
glpC	0.042688099528380485	0.2159466633121382	0.023173560557031625	1.0	-1.0	-1.0
yafD	0.0627518277336625	0.15443138211567664	0.006914718880874915	1.0	-1.0	-1.0
glpA	2.59886593041922	0.805916348276938	0.003082964802632704	1.0	-1.0	-1.0
yfaD	0.1255560946451174	0.021316754293360884	0.18772444190139703	1.0	-1.0	1.0
ypaA	0.01180108224290688	0.6893039382138486	0.39396256456904943	1.0	-1.0	-1.0
nudI	0.0001920311313297618	0.03876689978746342	1.0289182298443857	-1.0	1.0	-1.0
arnB	0.667554128538637	0.015313515246682563	0.3121944200142721	-1.0	1.0	-1.0
arnT	0.02000389574484951	0.25728479008317306	0.01759559362293106	-1.0	1.0	-1.0
arnD	0.6830928449337661	0.05169284765687232	0.34787625804554656	-1.0	1.0	-1.0
arnA	0.25605676404974065	0.16510785731313404	0.053171016577274965	-1.0	1.0	-1.0
arnC	0.27913870521036355	0.025546774291768326	0.12336072698038891	-1.0	1.0	-1.0
arnE	0.16888665173172712	0.10686880815326161	0.06219067843807169	-1.0	-1.0	-1.0
yafE	0.2077110837874705	0.5946828297784501	0.018149641582112963	1.0	1.0	-1.0
arnF	0.048006631975380465	0.17022161438429517	1.2647473425980955	1.0	1.0	-1.0
rbn	0.16164045329788257	0.02128953810210152	0.03509075585347787	-1.0	-1.0	1.0
elaD	1.6461141023868961	0.287515374657781	0.20344281090985228	-1.0	1.0	-1.0
yfbL	0.8500478075153897	0.06458354251001053	1.8945478847205535	-1.0	1.0	-1.0
yfbM	0.019896616164045478	0.910770960629651	0.004505566547726048	-1.0	1.0	-1.0
yfbO	3.551644581894042	0.38296385123742693	2.0559203276125846	-1.0	1.0	-1.0
yfbP	0.5005962542806461	0.5786495898278873	1.6051247915783398	-1.0	1.0	-1.0
alaA	0.836550811975111	0.10763915325743978	0.23619874328458312	-1.0	1.0	1.0
yfbR	0.030090701692833427	0.011412060268820579	0.6491498460536649	-1.0	1.0	-1.0
ackA	0.1918586202506134	0.9316177438792401	0.0208309028320528	1.0	1.0	-1.0
yafS	0.11957076557303248	0.10357453897643076	0.0006063132171787444	1.0	1.0	1.0
pta	0.11414091400456794	0.530637870942904	0.32734044997085743	1.0	1.0	-1.0
yfcC	1.4075637932444676	1.4997386088577618	0.10910927948770377	1.0	-1.0	-1.0
yfcG	0.37931385324751865	0.646813701925657	0.009865575046791975	-1.0	1.0	-1.0
folX	0.3558555415808424	0.16103737337943702	0.06357925901797135	-1.0	-1.0	-1.0
yfcH	1.8788793880730736e-06	0.04289912804059015	0.028633315501219725	1.0	-1.0	-1.0
flk	0.0021984750311194734	0.14130050358301727	0.0007442928990695208	-1.0	-1.0	1.0
mnmC	5.131168692257788	0.026887420677703888	0.3403551787631587	1.0	1.0	1.0
smrB	0.0924028124917764	0.4332860954778434	0.16482936617736277	1.0	-1.0	-1.0
fadL	0.6845872236467132	0.020745143694258616	0.26264826807447594	-1.0	-1.0	-1.0
yfdF	1.1407799524799858	0.01142400502365526	0.24576045621330977	-1.0	1.0	-1.0
dnaQ	0.2589155115216044	0.04217119140731351	0.0304491899225732	1.0	-1.0	1.0
yfdC	1.735256382206373	0.10711386166641068	0.00024212020891045682	-1.0	1.0	-1.0
intS	0.03391839809171082	0.00844489266303916	0.19295355379642376	-1.0	1.0	1.0
gtrS	2.3812771184075636	3.226321637849847	0.02399526098466076	-1.0	1.0	-1.0
gtrB	1.2709213935947403	0.04112005439283717	0.008631129753860156	-1.0	-1.0	1.0
gtrA	0.738967779314236	0.6191568185027325	0.22916369921016777	-1.0	1.0	1.0
yfdP	0.01998036970368755	0.014002868873106866	0.7683686807912571	1.0	1.0	-1.0
yfdQ	0.03359759928229522	0.8907853214241681	2.4446459866867727	-1.0	1.0	-1.0
yfdT	0.021593991762977716	0.000707947804043485	0.28897708597179506	1.0	1.0	1.0
yfdS	0.07802320291009979	0.02611351598866407	0.2578931516810592	1.0	-1.0	1.0
yafT	0.6989500112674956	0.12044359208270627	0.6360634958765439	-1.0	1.0	1.0
yfdR	1.9801558327044608	1.4111905951415236	1.720971393189636	-1.0	1.0	1.0
torI	0.07667320621145546	0.16155864375179885	0.24550800946589657	1.0	1.0	-1.0
dsdX	0.42128220008636774	0.2767367582752628	0.6424351798953251	-1.0	1.0	-1.0
dsdA	0.7861830531715912	0.5179133045450924	0.5618649509620406	-1.0	1.0	-1.0
evgA	0.6441804079024763	0.12603416839334275	0.14061772590325639	-1.0	-1.0	1.0
evgS	0.9843387059698983	0.840103439633338	1.0396319592381893	-1.0	-1.0	1.0
ypdI	2.3426710028066013	0.9603925699305234	0.012018779168508242	1.0	-1.0	-1.0
lpxP	3.1494578297501574	0.34305852966954387	1.771771146516821	-1.0	1.0	-1.0
ypdA	0.08540216763151309	0.02680731810516873	0.02393837073182331	1.0	1.0	-1.0
ypdB	0.04366358853774466	0.39697871627230363	0.1691630485866803	-1.0	1.0	-1.0
ypdC	0.22283897834619382	0.029931848690123997	0.3102330988217018	-1.0	1.0	-1.0
yfeO	0.3275856262690067	0.004382265403508612	4.498765127702864e-06	-1.0	1.0	-1.0
ypeC	0.6706891765010345	0.4278353019112051	0.4057735252900214	-1.0	1.0	1.0
nupC	0.37002767551652704	0.0003413560248339831	0.06965805083379495	-1.0	1.0	-1.0
yfeC	0.01658409006314321	0.22876728593182516	0.055828855809534894	-1.0	-1.0	-1.0
yfeD	0.16612233158599232	0.19712166099474138	0.0404098896976548	-1.0	1.0	-1.0
yfeN	0.2650051744841586	0.15188938647241468	0.013889273545400371	1.0	1.0	1.0
ivy	0.00976351533255837	0.06785590954635623	0.41867638250954187	-1.0	-1.0	-1.0
yfeH	0.547352655897676	0.0724531628135976	1.0897579079893562	1.0	-1.0	-1.0
cysZ	0.00015292562010094102	0.12406299225329354	0.25245284424214587	-1.0	-1.0	1.0
cysK	2.138841047861945	0.2761744884783681	0.27310007358090616	1.0	-1.0	-1.0
ptsH	0.46620449165720856	0.5328719806064015	0.01671641851635286	-1.0	1.0	-1.0
ptsI	0.6835335005528549	0.09579664436885515	0.017836113315169655	-1.0	-1.0	-1.0
crr	0.9267843061309975	0.5528442484354628	0.0005646624674682243	-1.0	1.0	-1.0
yfeK	0.008007889928231648	0.20638091986521534	0.3059444607946178	-1.0	-1.0	-1.0
yfeS	0.0027896780343527605	0.314713546147064	0.00630509313742128	1.0	-1.0	-1.0
