GENE	MEDIUM	MEDIUM:STRAIN	STRAIN	medium_direction	strain_direction	interaction_direction
thrL	0.47262433975729223	3.1938392676154486	0.014565147039110826	1.0	-1.0	-1.0
rnhB	0.0036395853312948256	7.489492156981248e-05	0.05755617847600869	-1.0	1.0	-1.0
yedL	1.5523420198804292	5.15214845951193	31.639593347324563	-1.0	-1.0	1.0
fliH	0.15240320777271665	0.479906838089611	19.706668639342627	1.0	-1.0	-1.0
fliF	0.0629655234180806	5.279158822979468e-06	18.304934119652803	1.0	-1.0	-1.0
fliG	0.44807757135696424	0.23948027941071892	22.060073358827644	1.0	-1.0	-1.0
fliI	0.013343242264997168	5.536682223805656e-13	20.299478257229623	1.0	-1.0	-1.0
fliK	0.057375897694627254	0.18364480083803114	20.277121407515576	1.0	-1.0	-1.0
fliJ	0.45867120500361835	0.7716090529191972	14.481581229764616	1.0	-1.0	-1.0
fliL	0.862224282827837	1.4339306341082074	23.491632789162825	1.0	-1.0	-1.0
fliN	0.13299909763820672	1.733722694743175	15.625635884569812	1.0	-1.0	-1.0
lpxB	0.0027721050244557954	0.12039752112693436	0.13601653405806657	-1.0	1.0	-1.0
fliM	0.47294071165117524	0.4926369130778938	25.17269416247619	1.0	-1.0	-1.0
fliP	0.2993650754250101	0.5540997714379987	10.015579468992266	1.0	-1.0	-1.0
fliO	0.3485476868851993	1.2765122292535125e-11	18.96619658132527	1.0	-1.0	-1.0
fliQ	6.633801426403352e-06	1.8615503224128487	16.55530796641732	1.0	-1.0	-1.0
fliR	0.26421314389929085	5.192901664230476e-12	12.012831888077624	1.0	-1.0	-1.0
rcsA	0.1370756887103517	0.02148853528077943	22.48306415567046	-1.0	-1.0	1.0
yodD	0.03287011258876715	0.4689312784991744	27.183467141167885	1.0	-1.0	-1.0
yedP	0.13330354189805904	0.00045976296106908787	33.582174575380904	1.0	-1.0	-1.0
yedA	2.488329712119762	6.121647633250404e-11	22.103612771850653	1.0	-1.0	-1.0
lpxA	0.0012539753215854432	0.025625639346149587	0.07374294902589273	1.0	1.0	1.0
hchA	0.17094618657426963	0.5757669045228386	0.030882676496787553	1.0	1.0	1.0
hiuH	0.36784180764690966	12.8932279565911	0.006498865681860977	1.0	1.0	1.0
yedY	0.0007340124577259882	0.006700547099453821	2.269693999657405	-1.0	-1.0	1.0
yedZ	1.0610610460259906e-05	0.006627815337894416	1.4445467585033596	1.0	-1.0	-1.0
zinT	0.3013105004154968	0.45267550718475813	0.00829997152423223	1.0	1.0	1.0
yodB	0.3038309726162476	0.9084194415246651	0.9781300409192957	1.0	-1.0	1.0
mtfA	0.0700276359889736	0.06464434657300067	0.32624066927279594	-1.0	-1.0	-1.0
yeeJ	0.019506212364257536	0.5755107559736473	0.0716199250464924	-1.0	-1.0	-1.0
shiA	0.0025764894298183627	0.24675143778463582	0.053301951461641295	1.0	-1.0	1.0
amn	0.029161107958223353	0.008776200665023937	0.06972472313340139	-1.0	-1.0	-1.0
dnaE	0.018425855350718612	0.007565704089796954	0.09299195520496473	-1.0	1.0	-1.0
yeeN	0.007705284479371688	0.09364826849487784	1.4996183483733319	1.0	1.0	1.0
flu	0.23889073908154446	2.5361376332577734e-05	0.13656225523068058	-1.0	1.0	-1.0
yeeR	0.08370973227030043	0.15303367383543448	0.020164590834277962	-1.0	1.0	-1.0
yeeS	0.025208367865726444	0.3322238243318698	0.03850606430538761	1.0	-1.0	-1.0
cbeA	0.09603777804358682	4.198146230998786	0.09603777804358682	1.0	-1.0	-1.0
accA	0.029203842678043657	0.187491130490419	0.2192928091384303	-1.0	1.0	-1.0
cbtA	0.002584908295442112	0.7607796035890511	0.5981922039504841	-1.0	1.0	-1.0
sbcB	0.0009750460138171491	0.3455790638973081	0.07024098660237899	-1.0	1.0	-1.0
hisG	0.2158282997766916	0.006679932126985477	1.2637784619926	-1.0	1.0	-1.0
hisC	0.4242095072299741	0.12717531277701655	0.9663064160473951	-1.0	1.0	1.0
hisD	0.2657760861813001	0.028163718713082098	1.1141677499087441	-1.0	1.0	1.0
hisB	0.3563142193506934	0.23406168082246026	0.87811294948584	-1.0	1.0	1.0
hisH	0.45593464209381906	0.09507913477748708	0.9711773157062371	-1.0	1.0	1.0
hisA	0.5688216247903661	0.04060512417941742	1.2825408179071467	-1.0	1.0	-1.0
ldcC	0.026979350942646585	0.000493250227378117	2.931491698241858	-1.0	-1.0	1.0
hisF	0.4686653080317842	0.10440745151901731	1.4005968920573957	-1.0	1.0	1.0
hisI	0.15848870029048356	0.6147330554838426	0.9007069915028394	-1.0	1.0	1.0
yegH	0.02442306116471607	0.01658051187111048	0.0925004858357677	1.0	-1.0	-1.0
yegE	0.004219054986440263	0.42210623171937667	0.1294091185706523	1.0	-1.0	-1.0
yegD	0.005283181630540534	0.2077785707264319	0.050522347882338337	1.0	1.0	1.0
yegJ	0.9202613100084933	0.169161253697778	0.36965604429920274	1.0	-1.0	1.0
mdtA	0.0244291037996468	0.006937218298411707	0.12911481854420537	1.0	-1.0	1.0
mdtB	0.010228545160787472	0.05084629223313397	0.03773059170275128	1.0	-1.0	-1.0
mdtC	0.03769467346117317	0.20165726782386456	0.046464951066840954	1.0	-1.0	-1.0
mdtD	0.009590712064785456	0.3954773982106472	0.23983707657950581	1.0	-1.0	-1.0
yaeR	0.04364640333028502	0.24452961883893432	0.04322404860868767	-1.0	-1.0	-1.0
baeS	0.0007846442534675813	0.38492178041292224	0.15277565749608435	1.0	-1.0	-1.0
baeR	0.48789524944588436	0.020319067287751125	0.011543685031437212	1.0	-1.0	1.0
yegP	0.4050481594647053	1.2787356205953895	13.114520634213866	1.0	-1.0	-1.0
yegQ	0.005661404631436495	0.2594935443765829	0.37228317715296	-1.0	1.0	-1.0
yegS	0.4452914767055236	0.14949580725293554	7.536734832446035	-1.0	-1.0	1.0
yegV	0.013431591704314058	0.04739185146283814	0.4949679700625265	-1.0	1.0	-1.0
yegU	0.06752065367072113	0.49202800995942864	0.38165767357802904	-1.0	1.0	-1.0
yegT	0.06355031630060082	0.8678909417574543	0.38461243175155047	1.0	1.0	1.0
tilS	8.623766844628733e-05	0.22407111768849453	0.05527907672780907	-1.0	1.0	-1.0
rcnA	0.04873527974642622	0.3552345036988392	0.0707234543668912	1.0	1.0	-1.0
rcnB	0.34063759074735245	1.011655629888602	0.07213606795949978	1.0	-1.0	1.0
metG	0.0051895250555689665	0.029909880726669336	0.09469031041692189	-1.0	1.0	-1.0
yehI	0.04124390950604728	0.510294540749029	0.0006808855191494656	1.0	-1.0	-1.0
yehK	0.6149842447169069	0.6560485481759013	1.9842937876074318	-1.0	-1.0	1.0
yehL	0.24819740351987796	0.10906534231562648	0.08819144991200978	1.0	1.0	1.0
yehM	0.0009603555321479051	0.10423808954886499	0.2732039226848192	1.0	-1.0	-1.0
yehP	0.07848354180565043	0.5662507909132968	0.00218287973559228	1.0	-1.0	-1.0
yaeQ	0.12476330037816474	0.5286733283711259	0.07915171630917683	-1.0	1.0	-1.0
yehR	0.2598867532545987	0.0024466226679245584	0.0003168082435816566	1.0	1.0	1.0
mlrA	0.008360249794323815	0.2651853107697386	5.816479393393875	1.0	-1.0	-1.0
yohO	10.509823133417946	14.016580697877448	3.226732461141168	1.0	1.0	-1.0
dld	0.008341400737821358	0.05985763655394599	0.13869665258456848	-1.0	-1.0	-1.0
yohD	0.006999338830365076	0.36797464521930134	0.5245404709597994	1.0	-1.0	-1.0
yohP	0.014150098853477289	63.165210975208375	0.014150098852127257	1.0	-1.0	-1.0
yohK	0.0391705050408504	0.9814701163299568	0.9730910805089628	1.0	-1.0	-1.0
yohJ	0.3537650242850383	0.00042108285901565345	0.17253098586311455	1.0	-1.0	-1.0
cdd	0.03262514166827657	2.4712667814268015	0.16102348812639988	-1.0	1.0	-1.0
sanA	0.3672328932597382	0.019085029719334318	0.08256397890327999	1.0	1.0	1.0
arfB	0.032546533285759516	0.3717510536365416	5.8533935056725994e-05	-1.0	1.0	-1.0
yeiS	0.7347686239972963	0.163698454563182	0.019371782027193585	1.0	-1.0	1.0
preA	0.11647709188758348	0.023974209008068403	0.002443987496454525	1.0	1.0	1.0
preT	0.004056772861372737	0.586141306349887	0.002608149835992335	1.0	1.0	-1.0
yeiG	0.38135899405394724	0.061616799922175836	0.029467730213500687	-1.0	-1.0	-1.0
yeiH	0.0010995537909650466	1.7781920000890308	0.38156103177138334	-1.0	-1.0	1.0
nfo	0.0029816449073116758	0.2856527469637693	0.008705015398831506	1.0	1.0	-1.0
yeiI	2.5286831595527914e-05	0.12701356068414138	0.16992041663506363	-1.0	1.0	-1.0
yeiL	0.031230009218001564	0.7562860921262273	0.20598589073086448	-1.0	-1.0	1.0
setB	0.03460315504012901	0.016191081882144687	0.0006230600663248431	-1.0	1.0	-1.0
yeiP	0.3422544059216506	0.7971827016730211	0.2723173814112947	1.0	1.0	1.0
nhaA	0.669236970473924	0.06431220417534178	2.720253919981924	1.0	-1.0	-1.0
nlpE	0.07265094609582617	0.24307665191336053	0.02864912041525519	-1.0	-1.0	-1.0
yeiQ	0.03567274813574084	1.0097727364323938	0.07178286018908375	-1.0	1.0	1.0
yeiR	0.0832265738039144	1.341918387822537	0.8000069913027303	-1.0	-1.0	-1.0
lpxT	0.054857087054127174	0.17602688763903795	0.013240668876934425	-1.0	1.0	-1.0
mepS	0.009627845928861234	0.7573369977311541	0.006365279916280997	1.0	1.0	1.0
rtn	0.11643253274138199	0.17974797847204216	0.9860405301959567	1.0	-1.0	1.0
yejA	0.13236983140895248	0.01057486970055957	0.13012847744395545	1.0	-1.0	-1.0
yejE	0.14215290825562998	0.08368264923051427	0.247007290283224	1.0	-1.0	1.0
yejB	0.0067563345759806825	0.02785365754181024	0.38185851761813905	1.0	-1.0	1.0
yejF	0.000618684804872538	0.026103249058036043	0.18584225953283576	1.0	-1.0	-1.0
yejH	0.06695597890951688	0.44499900066271814	0.004509763737309935	-1.0	1.0	-1.0
gmhB	0.0037843990573231956	0.0032524584382471744	0.020661889618484253	-1.0	1.0	-1.0
rplY	0.161505491121126	0.7831163514951172	0.2388913817546836	1.0	1.0	1.0
yejL	0.07650172823508417	0.04922005513250127	0.05215349716390527	1.0	1.0	-1.0
yejM	0.0010215801499446897	0.168599161587087	0.21154603919429882	-1.0	1.0	-1.0
narP	0.1942558727053476	1.00350371191946	0.04710094633055384	1.0	-1.0	1.0
eco	0.007874653316001456	3.238076506991845	0.4042487193891233	1.0	-1.0	-1.0
rcsD	8.346608090903374e-06	0.20843680242894325	0.02828916957732286	-1.0	1.0	-1.0
rcsB	0.00012132513724338878	0.000315052929105164	0.004168610832126163	-1.0	1.0	1.0
atoC	0.000673945698138001	0.013070770991749497	0.033614620001766904	-1.0	-1.0	-1.0
atoS	0.013640960180991646	0.20440168841279693	8.841656954006183e-05	-1.0	1.0	-1.0
atoE	0.02877525903973055	0.37857540851190064	0.03093895795057655	1.0	1.0	-1.0
