GENE	MEDIUM	MEDIUM:STRAIN	STRAIN	medium_direction	strain_direction	interaction_direction
thrL	0.4392990995781929	0.48283274081177296	5.881796467675031	-1.0	1.0	1.0
rnhB	0.02338315515437106	0.22141759564832997	1.798473966535643	1.0	1.0	1.0
yedL	6.426828730671208	2.0501165653428264	3.466865382989927	-1.0	-1.0	1.0
fliH	0.0036049221993275093	0.4432971918471189	2.1434675081753003	-1.0	-1.0	1.0
fliF	0.06368263967391441	0.08481449798654828	6.039858714977851	-1.0	-1.0	1.0
fliG	0.012386570932559904	0.00016401947994737487	2.5514814137648134	-1.0	-1.0	1.0
fliI	0.030243055048561063	0.12645090237544349	2.805517174908463	1.0	-1.0	1.0
fliK	0.33628810161049993	0.3564619969980295	3.7120703413724674	1.0	-1.0	1.0
fliJ	0.03143019813340242	0.2690938272503045	3.283428775284932	1.0	-1.0	-1.0
fliL	0.01284402290416553	0.854528400483296	4.584203517226824	-1.0	-1.0	1.0
fliN	0.10337067620253881	0.019385409773357676	2.697067911022885	-1.0	-1.0	1.0
lpxB	0.24325558928981916	0.2202010700911181	2.038686392685517	1.0	1.0	1.0
fliM	0.37593815881053827	0.3193533944257113	6.295319128900062	1.0	-1.0	1.0
fliP	0.13348898626796046	0.023942172098567527	0.22358144850787265	1.0	-1.0	1.0
fliO	0.24101077380496605	0.004169360817812162	3.044397765342717	1.0	-1.0	-1.0
fliQ	0.9290672952156234	1.2863927484478168	4.252291289544658	1.0	-1.0	1.0
fliR	0.04270436640202191	0.32603075725970687	0.19054378126186466	1.0	-1.0	1.0
rcsA	0.010714739181631572	0.32292742663102114	3.0972954835509974	1.0	1.0	1.0
yodD	0.9791284740456327	0.19037698243851775	5.926282427166579	1.0	-1.0	-1.0
yedP	0.8030215105513133	0.00029335540712471797	10.351518403715383	1.0	-1.0	-1.0
yedA	5.193417928267662	0.6991410341631082	0.08641642348787015	1.0	1.0	1.0
lpxA	0.013917788552867627	0.019843972496507156	1.5639919391170674	-1.0	1.0	1.0
hchA	1.782514746580803	0.0020590587463074073	16.74719326544683	1.0	-1.0	-1.0
hiuH	0.1986505699566814	1.4216929755741545	3.143943353260317	1.0	-1.0	-1.0
yedY	0.04754559326498087	0.02533812188932405	0.9172946322822499	1.0	-1.0	-1.0
yedZ	0.21833265127768076	0.00181953198412238	0.11865063996456754	1.0	-1.0	-1.0
zinT	0.44711997574898543	0.1855705230339959	3.583847897629828	1.0	1.0	-1.0
yodB	0.9566546716545341	0.005649962286101928	0.5689702363284619	-1.0	-1.0	1.0
mtfA	0.00033511275163888854	0.024059342179040155	0.0009734504623581941	-1.0	-1.0	-1.0
yeeJ	0.0455479720725009	0.01387567668051121	0.196806172202639	1.0	-1.0	1.0
