NAME	DESCRIPTION	HMDA-HMDA-_1	HMDA-HMDA-_2	HMDA-HMDA-_3	HMDA-M9-_1	HMDA-M9-_2	HMDA-M9-_3	MG1655-HMDA-_1	MG1655-HMDA-_2	MG1655-HMDA-_3	MG1655-M9-_1	MG1655-M9-_2	MG1655-M9-_3
thrL	b0001	0.0	0.0	9811.54	5104.4	5594.6	17475.1	0.0	6602.54	7604.59	0.0	10219.4	7489.16
rnhB	b0183	499.325	548.678	479.954	170.19799999999998	189.15099999999998	158.173	161.291	91.3407	87.3964	166.24900000000002	200.34099999999998	123.38799999999999
yedL	b1932	13.1778	10.6482	10.923	46.5164	228.55200000000002	38.6025	12.8	17.7325	11.9452	89.3724	102.08	438.186
intG	b1936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fliH	b1940	3.7966800000000003	3.4157699999999998	4.0141	3.47097	5.6488	3.4607699999999997	8.35299	9.3553	7.39655	5.8783	6.6168	5.75456
fliF	b1938	2.1604	2.32881	1.6373799999999998	2.18375	3.18433	1.81902	15.1147	9.423760000000001	13.5958	6.64105	6.13112	6.85763
fliG	b1939	3.2928	5.78754	4.01414	6.573989999999999	10.1916	6.04929	22.3294	19.1366	15.539000000000001	8.5236	4.50579	8.95384
fliI	b1941	3.5292	2.64681	3.15976	2.56944	4.29022	2.2363	7.67278	7.340089999999999	6.83838	6.58413	6.43076	5.49737
fliK	b1943	2.7989900000000003	2.88023	2.4478	4.75098	3.9154	3.03118	10.1311	6.499	5.18036	6.53014	5.70279	8.37012
fliJ	b1942	1.15929	1.9274900000000001	2.1476599999999997	3.3219300000000005	1.88526	3.67655	9.319180000000001	9.32059	5.27709	6.42101	1.61445	6.05692
fliL	b1944	2.17932	2.27547	2.4916	8.0516	7.6435699999999995	2.58576	34.6914	20.5364	22.5043	12.1558	15.2687	17.4424
fliN	b1946	2.57544	0.6612140000000001	0.0	1.11901	3.0750900000000003	2.7288799999999998	5.10691	8.85318	9.55189	4.37531	3.26052	7.41927
lpxB	b0182	587.207	757.102	641.578	191.65599999999998	259.94599999999997	202.646	229.11	185.76	178.832	199.96	188.07	150.309
fliM	b1945	3.19105	2.31875	4.144369999999999	4.99258	5.30731	4.18037	30.4396	19.4338	12.0827	13.427999999999999	13.6297	7.8498399999999995
fliP	b1948	0.9254549999999999	1.00134	2.40346	1.65377	2.50477	0.971144	1.84497	1.07691	3.6886300000000003	0.680187	2.51151	2.10645
fliO	b1947	2.26165	0.0	3.94821	1.94701	3.1623200000000002	3.16202	7.2254	4.7972	5.1697	3.7494699999999996	4.10992	5.08474
fliQ	b1949	5.15099	1.9037	4.33371	1.50498	0.0	0.0	13.1512	9.526860000000001	4.30279	14.4402	2.38754	4.18201
fliR	b1950	1.02643	0.690654	1.18698	0.8892680000000001	0.643682	1.48406	2.09554	2.19271	1.51881	1.82571	2.4969	1.48761
rcsA	b1951	15.0312	22.0943	22.5615	14.501	24.1864	27.3842	4.02275	6.97611	10.6808	24.0326	10.6286	26.2108
yodD	b1953	75.5011	113.08	56.7365	191.292	13.5258	354.164	103.094	300.474	250.615	160.097	92.2799	92.8179
yedP	b1955	73.8506	57.3448	75.6529	141.421	21.2733	199.204	136.923	142.8	133.371	115.406	111.897	86.838
yedA	b1959	0.9281530000000001	2.60317	1.0134	1.9619799999999998	1.27072	0.9428799999999999	1.41295	1.0826	1.47563	4.11369	2.61131	4.25661
yedS	b4496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
lpxA	b0181	1067.42	1325.73	1145.29	715.323	903.704	802.11	748.862	844.71	863.565	591.693	598.817	638.4019999999999
hchA	b1967	235.666	245.46099999999998	225.65400000000002	880.8	52.5882	1530.32	357.166	371.505	418.292	564.855	502.01	247.19799999999998
hiuH	b1970	37.8089	20.1374	48.7778	110.0	65.0384	222.12900000000002	82.3028	39.2417	39.0361	52.5937	62.5254	38.1315
yedY	b1971	27.9596	27.3181	27.1316	64.4357	24.9096	91.62799999999999	32.918	37.2749	28.4283	35.3323	26.8664	35.8524
yedZ	b1972	15.7416	16.3169	11.7372	43.27	16.4818	58.8389	16.0836	10.3141	7.80432	14.2152	16.0938	14.8873
zinT	b1973	49.268	45.1912	72.3163	50.6521	44.9783	51.3409	15.3121	16.2601	17.722	19.4048	17.8512	20.2573
yodB	b1974	9.03176	6.613410000000001	4.64565	1.54834	3.1775	6.3650199999999995	6.9471	3.1692099999999996	5.03411	3.12368	8.33238	11.2724
mtfA	b1976	127.14	92.7637	126.171	80.0591	80.7936	81.5888	113.053	206.265	170.862	70.7243	64.5896	77.9692
