"Medium_ES"	"Medium_p_UP"	"Medium_p_DN"	"Strain_ES"	"Strain_p_UP"	"Strain_p_DN"	"Interaction_ES"	"Interaction_p_UP"	"Interaction_p_DN"
"ECO00010"	0.47566	0.92735	NA	-0.51236	NA	0.7612	-0.74298	NA	0.046936
"ECO00020"	0.87034	0.38397	NA	-0.50414	NA	0.8064	0.41033	0.87697	NA
"ECO00030"	-0.44089	NA	0.84819	-0.50072	NA	0.8157	-0.80017	NA	0.050192
"ECO00040"	0.3904	0.96515	NA	0.59301	0.97552	NA	0.73558	0.38735	NA
"ECO00051"	-0.48046	NA	0.80409	0.45975	0.88426	NA	-0.40234	NA	0.82692
"ECO00052"	-0.65717	NA	0.52922	0.37314	0.92829	NA	-0.43908	NA	0.78289
"ECO00053"	0.83518	0.50396	NA	0.62503	0.98467	NA	0.80769	0.39183	NA
"ECO00061"	-0.79946	NA	0.38795	0.79171	0.71901	NA	-0.59628	NA	0.68621
"ECO00071"	-0.22466	NA	0.99665	-0.70231	NA	0.55787	0.65168	0.50589	NA
"ECO00130"	0.49004	0.92918	NA	-0.40967	NA	0.9445	0.32161	1	NA
"ECO00190"	-0.84648	NA	0.18467	0.3074	0.97581	NA	-0.41809	NA	0.81856
"ECO00220"	-0.59779	NA	0.70607	-0.90961	NA	0.11047	0.60924	0.53953	NA
"ECO00230"	-0.33045	NA	0.92673	0.64768	0.70632	NA	-0.5774	NA	0.31675
"ECO00240"	-0.37317	NA	0.87769	0.48707	0.98377	NA	-0.40754	NA	0.78429
"ECO00250"	-0.61353	NA	0.67848	0.48662	0.89451	NA	-0.55427	NA	0.65161
"ECO00260"	0.34923	0.97807	NA	0.51884	0.99773	NA	-0.42511	NA	0.81499
"ECO00261"	-0.66007	NA	0.67804	0.51217	0.88927	NA	-0.79129	NA	0.34612
"ECO00270"	-0.36282	NA	0.92776	0.43027	0.89467	NA	-0.29653	NA	0.96499
"ECO00280"	0.72155	0.66867	NA	-0.64663	NA	0.70566	0.65049	0.56223	NA
"ECO00281"	-0.64747	NA	0.80649	-0.76844	NA	0.66959	0.83267	0.42541	NA
"ECO00290"	-0.73476	NA	0.54906	-0.49047	NA	0.86194	-0.49527	NA	0.7869
"ECO00300"	-0.66613	NA	0.64353	0.53341	0.89985	NA	-0.44591	NA	0.8645
"ECO00310"	0.51848	0.9347	NA	-0.67247	NA	0.68027	0.76786	0.30929	NA
"ECO00330"	-0.66354	NA	0.60289	-0.84397	NA	0.17855	0.58851	0.52584	NA
"ECO00332"	-0.85473	NA	0.66769	0.74078	0.99466	NA	0.76906	0.66293	NA
"ECO00340"	-0.7642	NA	0.62102	-0.32284	NA	0.97558	-0.85619	NA	0.25545
"ECO00350"	-0.44962	NA	0.92498	-0.81552	NA	0.43965	-0.48556	NA	0.86834
"ECO00360"	-0.79414	NA	0.22547	0.3729	0.93486	NA	-0.5361	NA	0.67798
"ECO00362"	-0.32238	NA	0.99084	-0.67069	NA	0.67223	0.8106	0.38988	NA
"ECO00380"	-0.8073	NA	0.57543	-0.6578	NA	0.71667	0.42949	0.94892	NA
"ECO00400"	0.44528	0.92665	NA	-0.58607	NA	0.71158	0.36706	0.94753	NA
"ECO00401"	-0.76278	NA	0.67255	-0.38923	NA	0.9947	0.51513	0.92616	NA
"ECO00410"	0.61389	0.78043	NA	-0.84892	NA	0.25392	-0.73696	NA	0.37059
"ECO00430"	0.90614	0.51612	NA	-0.89385	NA	0.41179	-0.809	NA	0.47711
"ECO00440"	-0.50626	NA	0.8789	-0.44869	NA	0.94076	0.40958	0.96652	NA
"ECO00450"	-0.59034	NA	0.71299	0.64337	0.94093	NA	-0.78059	NA	0.20832
"ECO00460"	-0.77164	NA	0.66097	-0.89075	NA	0.40709	0.63207	0.69261	NA
"ECO00471"	0.50545	0.95584	NA	-0.49012	NA	0.93271	-0.80937	NA	0.52768
"ECO00473"	0.70775	0.84696	NA	0.7929	0.97371	NA	-0.76093	NA	0.65257
"ECO00480"	-0.70789	NA	0.57078	-0.55293	NA	0.78685	-0.61525	NA	0.6438
"ECO00500"	-0.4225	NA	0.85939	-0.85345	NA	0.10856	-0.55634	NA	0.63833
"ECO00511"	0.8263	0.71273	NA	0.71246	0.95194	NA	0.86252	0.46214	NA
"ECO00520"	-0.61996	NA	0.54796	0.83377	0.23948	NA	-0.56069	NA	0.59209
"ECO00521"	-0.81586	NA	0.53709	-0.54273	NA	0.84968	0.79329	0.32061	NA
"ECO00523"	-0.90715	NA	0.44516	-0.57627	NA	0.84735	0.79151	0.45193	NA
"ECO00525"	-0.91782	NA	0.54242	-0.53362	NA	0.91204	0.78337	0.54477	NA
"ECO00540"	-0.46747	NA	0.82356	0.83796	0.37648	NA	-0.56775	NA	0.64246
"ECO00550"	0.68499	0.61689	NA	0.56873	0.96212	NA	0.64419	0.43145	NA
"ECO00561"	0.43891	0.9531	NA	-0.33166	NA	0.97973	-0.44916	NA	0.88316
"ECO00562"	-0.5186	NA	0.92822	0.40325	0.97581	NA	-0.92369	NA	0.39413
"ECO00564"	0.44901	0.91095	NA	-0.50989	NA	0.8059	0.56765	0.53904	NA
"ECO00590"	0.6542	0.92091	NA	-0.92462	NA	0.51038	0.61501	0.87067	NA
"ECO00592"	0.52254	0.94801	NA	-0.38586	NA	0.97523	0.83482	0.51708	NA
"ECO00600"	-0.54111	NA	0.91543	0.71942	1	NA	0.69906	0.69789	NA
"ECO00620"	0.79054	0.3942	NA	-0.63934	NA	0.44882	-0.45573	NA	0.7078
"ECO00621"	0.28189	0.99943	NA	-0.38073	NA	0.985	0.48656	0.94549	NA
"ECO00622"	0.28189	0.99943	NA	-0.38073	NA	0.985	0.48656	0.94549	NA
"ECO00625"	0.44276	0.97036	NA	-0.79022	NA	0.65551	-0.46353	NA	0.93738
"ECO00626"	0.44276	0.97036	NA	-0.79022	NA	0.65551	-0.46353	NA	0.93738
"ECO00627"	0.28887	1	NA	0.59851	0.92457	NA	0.54288	0.7963	NA
"ECO00630"	0.46841	0.90337	NA	-0.47769	NA	0.80728	0.59161	0.43053	NA
"ECO00633"	0.86715	0.54415	NA	-0.36109	NA	0.99455	-0.66229	NA	0.68896
"ECO00640"	-0.39897	NA	0.87352	0.53742	0.94842	NA	0.48974	0.6688	NA
"ECO00650"	0.48503	0.93625	NA	-0.7324	NA	0.29128	-0.5583	NA	0.62072
"ECO00660"	-0.85591	NA	0.41869	0.42546	0.93929	NA	0.65745	0.57174	NA
"ECO00670"	0.469	0.92582	NA	0.58256	0.99389	NA	0.31256	1	NA
"ECO00680"	-0.54424	NA	0.72057	0.58308	0.97175	NA	-0.59789	NA	0.59593
"ECO00730"	0.77361	0.56929	NA	0.54613	0.8907	NA	-0.5464	NA	0.74328
"ECO00740"	-0.72353	NA	0.66703	0.71463	0.96543	NA	-0.80444	NA	0.39156
"ECO00750"	-0.71235	NA	0.66603	-0.5524	NA	0.8449	0.53377	0.79683	NA
"ECO00760"	-0.51558	NA	0.79971	0.8788	0.41695	NA	-0.57952	NA	0.67762
"ECO00770"	-0.73794	NA	0.4152	0.64417	0.95224	NA	-0.57598	NA	0.6657
"ECO00780"	0.57047	0.90943	NA	0.80843	0.8022	NA	-0.71988	NA	0.4427
"ECO00785"	0.83277	0.7059	NA	0.79434	0.97085	NA	-0.71853	NA	0.72373
"ECO00790"	0.20291	0.9981	NA	0.61166	0.96325	NA	-0.53832	NA	0.71124
"ECO00860"	0.38303	0.94451	NA	0.68842	0.9389	NA	-0.60749	NA	0.59181
"ECO00900"	0.66095	0.76246	NA	0.75588	0.93414	NA	0.37827	0.97126	NA
"ECO00903"	-0.67714	NA	0.80732	-0.94206	NA	0.42155	0.96475	0.29887	NA
"ECO00910"	-0.7069	NA	0.46559	-0.68823	NA	0.46677	0.67283	0.30923	NA
"ECO00920"	-0.43639	NA	0.84938	0.55007	0.98911	NA	-0.61647	NA	0.47441
"ECO00930"	-0.67714	NA	0.80732	-0.94206	NA	0.42155	0.96475	0.29887	NA
"ECO00970"	-0.71254	NA	0.46218	0.65196	0.96371	NA	-0.57337	NA	0.6388
"ECO01040"	-0.76926	NA	0.65707	-0.82575	NA	0.51705	0.74427	0.53025	NA
